sys2_row	doc_id	src_id	src_bucket	category	verifiability	axis_verdict	variant	scope	tc_coverage	cover_basis	covering_tcs	verif_criteria	er_match
22	SR26_20250813-1632	4820122	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
23	SR26_20250813-1632	4820123	物件頭	Out of scope	Y	適用	Disassociated	隨變體層	無	無		Create the DTC and check the contents.	不可比
24	SR26_20250813-1632	4820124	物件頭	Out of scope	Y	適用	Disassociated	隨變體層	無	無		Create the DTC and check the contents.	不可比
25	SR26_20250813-1632	4820126	物件頭	Out of scope	Y	適用	Disassociated	隨變體層	無	無		Create the DTC and check the contents.	不可比
26	SR26_20250813-1632	4820127	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		Create the DTC and check the contents.	不可比
27	SR26_20250813-1632	4820128	物件頭	Out of scope	Y	適用	Disassociated	隨變體層	無	無		Create the DTC and check the contents.	不可比
28	SR26_20250813-1632	4820129	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		Create the DTC and check the contents.	不可比
29	SR26_20250813-1632	4820132	物件頭	Heading		不適用	Disassociated	隨變體層	無	無		EMPTY	不可比
30	SR26_20250813-1632	4820947	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
31	SR26_20250813-1632	4820950	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		*Set the $DCSD_DISP_STAT$ != DISP_HOT 1st and next set the $DCSD_DISP_STAT$ == DISP_HOT in the respective CAN signal using external tool. *Check in the Logs it shall able to receive the $DCSD_DISP_STAT$ value. *Check in HU shall display the 'Display Hot State' warning screen. *Check the Can signal with respect to TGW_DISP_STAT and RQ_DISP_INTS LID using external tool.	不可比
32	SR26_20250813-1632	4820952	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		*Set the $DCSD_DISP_STAT$ = DISP_HOT 1st and next set the $DCSD_DISP_STAT$ = DISP_OFF in the respective CAN signal using external tool. *Check in the Logs it shall able to receive the $DCSD_DISP_STAT$ value. *Check the Can signal with respect to TGW_DISP_STAT and RQ_DISP_INTS LID using external tool. *The vlaue of TGW_DISP_STAT = DISP_OFF and RQ_DISP_INTS = [0% Intensity]	不可比
33	SR26_20250813-1632	4820954	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		* Simulate the conditon HU have to send $TGW_DISP_STAT$ = Disp_OFF and $RQ_DISP_INTS$ = [0% Intensity]. *Simulate the condition to display temporarily turn back on. * Check the HU shall send $TGW_DISP_STAT$ != [DISP_OFF] and $RQ_DISP_INTS$ = [current non-zero value].	不可比
34	SR26_20250813-1632	4820957	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		*Set the $DCSD_DISP_STAT$ = DISP_HOT 1st and next set the $DCSD_DISP_STAT$ = DISP_ON in the respective CAN signal using external tool. *Check in the Logs HU shall resume the Normal display operations	不可比
35	SR26_20250813-1632	4821012	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
36	SR26_20250813-1632	4821019	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
37	SR26_20250813-1632	4821020	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		* Simulate the Start Up Sequence. * check we are in Splash/Disclaimer Screen' * In the Splash/Disclaimer Screen' time period simulate the condition to turn on the rear view camera. * Check HU shall give the priority to display the Rear view camera to display. *Check the Hu shall send $TGW_DISP_STAT$ = [DISP_REAR_CAMERA] by using external tool or log. *At the same check Hu shall able to receive the $DCSD_DISP_STAT$ = [RR_CMRA]. *After this simaulte the condition to rear view camer off and then check the display shall resume the splash/Disclaimer screen and restarted the screen timer.	不可比
38	SR26_20250813-1632	4821021	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
39	SR26_20250813-1632	4821022	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	有	行為等值：b03「Power hardkey pressed while HU screen on」之步驟 1／ER 1 觀察 HU Screen ON 態下 $TELEMATIC_DISPLAY2.TGW_DISP_STATSts$ = 2 (Normal_mode)，即本條所述之持續發送行為		* Simulate the condition to make HU Dispaly ON. * Check HU shall send $TGW_DISP_STAT$ = [DISP_NORMAL] and $RQ_DISP_INTS$ != [0% Intensity]) by using external tool or logs.	我方較寬
40	SR26_20250813-1632	4821025	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
41	SR26_20250813-1632	4821026	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		* Simulate the condition to make HU Dispaly ON and DCSD display ON conditions. *Simulate the condition to turn on the rear view camera condition. * Check Hu shall send $TGW_DISP_STAT$ = [DISP_REAR_CAMERA] and $RQ_DISP_INTS$ != [0% Intensity] and also HU shall switch to the 'Rear Camera' screen.	不可比
42	SR26_20250813-1632	4821029	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		* Simulate the condition to turn off the rear view camera. * Check the HU shall send $TGW_DISP_STAT$ = [DISP_NORMAL] and $RQ_DISP_INTS$ != [0% Intensity] verify this through logs or trace the CAN signal through external tool. * Verify HU shall return back to HU screen ON state.	不可比
43	SR26_20250813-1632	4821035	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
44	SR26_20250813-1632	4821036	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		* Simulate the condition to make 'TOUCH SCREEN TO TURN ON' Screen. *Simulate the condition to turn on the rear view camera condition. * Check Hu shall send $TGW_DISP_STAT$ = [DISP_REAR_CAMERA] and $RQ_DISP_INTS$ != [0% Intensity] and also HU shall switch to the 'Rear Camera' screen. *HU shall abort the 'TOUCH SCREEN TO TURN ON' display.	不可比
45	SR26_20250813-1632	4821039	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		* Simulate the condition to turn off the rear view camera. * Check the HU shall send $TGW_DISP_STAT$ = [DISP_OFF] and $RQ_DISP_INTS$ != [0% Intensity] verify this through logs or trace the CAN signal through external tool. * Verify HU shall return back to 'TOUCH SCREEN TO TURN ON' screen.	不可比
46	SR26_20250813-1632	4821041	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
47	SR26_20250813-1632	4821044	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		* Check HU shall able to receive the DCSD touch coordinates. * Check HU shall send the $TGW_DISP_STAT$ = [DISP_NORMAL] and $RQ_DISP_INTS$ = [current non-zero value] when it receives the DCSD coordinates. * Check HU shall go the HU screen ON with previous screen.	不可比
48	SR26_20250813-1632	4821046	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
49	SR26_20250813-1632	4821047	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	有	行為等值：b03「Three second period completed after screen off hardkey」驗三秒逾時後 = 0 (Display_off)，即本條之逾時行為		"* Check ""TOUCH SCREEN TO TURN ON"" screen times out in the HU logs. * Check HU shall send $TGW_DISP_STAT$ = [DISP_OFF] and $RQ_DISP_INTS$ = [0% Intensity] after the ""TOUCH SCREEN TO TURN ON"" screen times out. Monitor the CAN signals using external tool or trace through the logs."	一致
50	SR26_20250813-1632	4821050	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
51	SR26_20250813-1632	4821051	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
52	SR26_20250813-1632	4821052	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		* Turn Off the HU and DCSD display. * Simulate the rear view camera turn on. *Check Hu shall send the $TGW_DISP_STAT$ = [DISP_REAR_CAMERA] and $RQ_DISP_INTS$ != [0% Intensity]trace the related CAN signals through external tool. *Check HU shall show the Rear camera screen.	不可比
53	SR26_20250813-1632	4821055	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		* Simulate the condition to turn off the rear view camera. * Check the HU shall send $TGW_DISP_STAT$ = [DISP_OFF] and $RQ_DISP_INTS$ != [0% Intensity] verify this through logs or trace the CAN signal through external tool. * Verify HU shall return back to Screen OFF state.	不可比
54	SR26_20250813-1632	4821056	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		* Simulate the condition to turn off the rear view camera. * Check the HU shall send $TGW_DISP_STAT$ = [DISP_OFF] and $RQ_DISP_INTS$ != [0% Intensity] verify this through logs or trace the CAN signal through external tool. Check HU shall receive the $DCSD_DISP_STAT$ = [OFF] status * Verify HU shall return back to 'DCSD Screen OFF' state.	不可比
55	SR26_20250813-1632	4821060	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
56	SR26_20250813-1632	4821064	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		* Check HU shall able to receive the DCSD touch coordinates at HU SCREEN OFF state. * Check HU shall send the $TGW_DISP_STAT$ = [DISP_NORMAL] and $RQ_DISP_INTS$ = [current non-zero value] when it receives the DCSD coordinates. * Check HU shall go the HU screen ON with previous screen.	不可比
57	SR26_20250813-1632	4821682	物件頭	Information		不適用	Associated	算數（R-ICS39，裁決）	無	無		EMPTY	不可比
58	SR26_20250813-1632	EMPTY	來源空白	Functional Requirement	Y	NA	NA	NA	無	無		"* Check HU shall with interface with 8.4"" display according to the requirement."	不可比
59	SR26_20250813-1632	EMPTY	來源空白	Functional Requirement	Y	NA	NA	NA	無	無		"* Check HU shall with interface with 10.1L"" display according to the requirement."	不可比
60	SR26_20250813-1632	EMPTY	來源空白	Functional Requirement	Y	NA	NA	NA	無	無		"* Check HU shall with interface with 10.1P"" display according to the requirement."	不可比
61	SR26_20250813-1632	EMPTY	來源空白	Functional Requirement	Y	NA	NA	NA	無	無		* Check HU shall with interface with 10.25 display according to the requirement.	不可比
62	SR26_20250813-1632	EMPTY	來源空白	Heading	NA	NA	NA	NA	無	無		EMPTY	不可比
63	SR26_20250813-1632	EMPTY	來源空白	Information	NA	NA	NA	NA	無	無		EMPTY	不可比
64	SR26_20250813-1632	EMPTY	來源空白	Out of scope	NA	NA	NA	NA	無	無		EMPTY	不可比
65	SR26_20250813-1632	EMPTY	來源空白	Functional Requirement	Y	NA	NA	NA	無	無		Verify by measurement: first DCSD backchannel access occurs ≥1200 ms after IGN OFF→ON.	不可比
66	SR26_20250813-1632	EMPTY	來源空白	Functional Requirement	Y	NA	NA	NA	無	無		Verify by measurement: first DCSD touch data read occurs ≥1800 ms after IGN ON.	不可比
67	SR26_20250813-1632	EMPTY	來源空白	Functional Requirement	Y	NA	NA	NA	無	無		Verify by inspection and I2C bus trace that DCSD operates as an I2C slave at address 0x12 (Write 0x24 / Read 0x25).	不可比
68	SR26_20250813-1632	EMPTY	來源空白	Functional Requirement	Y	NA	NA	NA	無	無		Verify via touch test that up to 5 simultaneous touch points are detected with 11-bit coordinate resolution.	不可比
69	SR26_20250813-1632	EMPTY	來源空白	Functional Requirement	Y	NA	NA	NA	無	無		Verify via logs or bus trace that retry intervals are 100 ms for DCSD version requests and 17 ms for touch data requests.	不可比
70	SR26_20250813-1632	EMPTY	來源空白	Out of scope	NA	NA	NA	NA	無	無		EMPTY	不可比
71	SR26_20250813-1632	EMPTY	來源空白	Functional Requirement	Y	NA	NA	NA	無	無		Verify via configuration review and I2C bus trace that the Radio operates as I2C Master and DCSD operates as I2C Slave (Case 2).	不可比
72	SR26_20250813-1632	EMPTY	來源空白	Heading	NA	NA	NA	NA	無	無		EMPTY	不可比
73	SR26_20250813-1632	EMPTY	來源空白	Functional Requirement	Y	NA	NA	NA	無	無		Verify via GPIO trace that GPIO-0 is high in idle state and transitions low on DCSD interrupt.	不可比
74	SR26_20250813-1632	EMPTY	來源空白	Functional Requirement	Y	NA	NA	NA	無	無		Verify via GPIO and I2C trace that GPIO-0 returns high after touch data is read or after 100 ms with no Radio response.	不可比
75	SR26_20250813-1632	EMPTY	來源空白	Information	NA	NA	NA	NA	無	無		EMPTY	不可比
76	SR26_20250813-1632	EMPTY	來源空白	Functional Requirement	Y	NA	NA	NA	無	無		Verify via touch drag test that duplicate touch events with identical coordinates are continuously reported and not filtered.	不可比
77	SR26_20250813-1632	EMPTY	來源空白	Functional Requirement	Y	NA	NA	NA	無	無		Verify via timing measurement that touch transmit interval is ≥15 ms and end-to-end Radio latency is ≤16.6 ms.	不可比
78	SR26_20250813-1632	EMPTY	來源空白	Functional Requirement	NA	NA	NA	NA	無	無		EMPTY	不可比
79	SR26_20250813-1632	EMPTY	來源空白	Functional Requirement	NA	NA	NA	NA	無	無		EMPTY	不可比
80		EMPTY	來源空白	Functional Requirement		NA	NA	NA	無	無		EMPTY	不可比
81		EMPTY	來源空白	Out of scope		NA	NA	NA	無	無		EMPTY	不可比
82		EMPTY	來源空白	Functional Requirement		NA	NA	NA	無	無		EMPTY	不可比
83		EMPTY	來源空白	Functional Requirement		NA	NA	NA	無	無		EMPTY	不可比
84		EMPTY	來源空白	Functional Requirement		NA	NA	NA	無	無		EMPTY	不可比
85		EMPTY	來源空白	Information		NA	NA	NA	無	無		EMPTY	不可比
86		EMPTY	來源空白	Functional Requirement		NA	NA	NA	無	無		EMPTY	不可比
87		EMPTY	來源空白	Functional Requirement		NA	NA	NA	無	無		EMPTY	不可比
88		EMPTY	來源空白	Functional Requirement		NA	NA	NA	無	無		EMPTY	不可比
89	SR26_20260310-1533	4819144	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
90	SR26_20260310-1534	4819146	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
91	SR26_20260310-1535	4819150	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
92	SR26_20260310-1536	4819151	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
93	SR26_20260310-1537	4819152	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
94	SR26_20260310-1538	4819153	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
95	SR26_20260310-1539	4819154	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
96	SR26_20260310-1540	4819157	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
97	SR26_20260310-1541	4819158	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
98	SR26_20260310-1542	4819159	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
99	SR26_20260310-1543	4819160	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
100	SR26_20260310-1544	4819161	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
101	SR26_20260310-1545	4819185	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
102	SR26_20260310-1546	4819186	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
103	SR26_20260310-1547	4819187	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
104	SR26_20260310-1548	4819188	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
105	SR26_20260310-1549	4819189	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
106	SR26_20260310-1550	4819192	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
107	SR26_20260310-1551	4819193	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
108	SR26_20260310-1552	4819194	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
109	SR26_20260310-1553	4819195	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
110	SR26_20260310-1554	4819196	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
111	SR26_20260310-1555	4819213	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
112	SR26_20260310-1556	4819214	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
113	SR26_20260310-1557	4819215	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
114	SR26_20260310-1558	4819216	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
115	SR26_20260310-1559	4819217	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
116	SR26_20260310-1560	4819220	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
117	SR26_20260310-1561	4819221	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
118	SR26_20260310-1562	4819222	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
119	SR26_20260310-1563	4819223	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
120	SR26_20260310-1564	4819224	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
121	SR26_20260310-1565	4819227	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
122	SR26_20260310-1566	4819228	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
123	SR26_20260310-1567	4819229	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
124	SR26_20260310-1568	4819230	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
125	SR26_20260310-1569	4819231	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
126	SR26_20260310-1570	4819233	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
127	SR26_20260310-1571	4819234	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
128	SR26_20260310-1572	4819235	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
129	SR26_20260310-1573	4819238	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
130	SR26_20260310-1574	4819239	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
131	SR26_20260310-1575	4819240	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
132	SR26_20260310-1576	4819241	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
133	SR26_20260310-1577	4819242	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
134	SR26_20260310-1578	4819245	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
135	SR26_20260310-1579	4819246	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
136	SR26_20260310-1580	4819247	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
137	SR26_20260310-1581	4819248	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
138	SR26_20260310-1582	4819249	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
139	SR26_20260310-1583	4819270	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
140	SR26_20260310-1584	4819271	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
141	SR26_20260310-1585	4819272	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
142	SR26_20260310-1586	4819273	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
143	SR26_20260310-1587	4819274	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
144	SR26_20260310-1588	4819294	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
145	SR26_20260310-1589	4819297	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
146	SR26_20260310-1590	4819298	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
147	SR26_20260310-1591	4819299	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
148	SR26_20260310-1592	4819300	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
149	SR26_20260310-1593	4819301	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
150	SR26_20260310-1594	4819304	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
151	SR26_20260310-1595	4819305	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
152	SR26_20260310-1596	4819306	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
153	SR26_20260310-1597	4819307	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
154	SR26_20260310-1598	4819308	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
155	SR26_20260310-1599	4819311	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
156	SR26_20260310-1600	4819312	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
157	SR26_20260310-1601	4819313	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
158	SR26_20260310-1602	4819314	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
159	SR26_20260310-1603	4819315	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
160	SR26_20260310-1604	4819331	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
161	SR26_20260310-1605	4819334	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
162	SR26_20260310-1606	4819335	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
163	SR26_20260310-1607	4819336	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
164	SR26_20260310-1608	4819337	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
165	SR26_20260310-1609	4819338	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
166	SR26_20260310-1610	4819341	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
167	SR26_20260310-1611	4819344	物件頭	Information		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
168	SR26_20260310-1612	4819347	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
169	SR26_20260310-1613	4819348	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
170	SR26_20260310-1614	4819349	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
171	SR26_20260310-1615	4819350	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
172	SR26_20260310-1616	4819351	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
173	SR26_20260310-1617	4819355	物件頭	Out of Scope		適用	Unclassified	隨變體層	無	無		EMPTY	不可比
174	SR26_20260310-1618	4819541	物件頭	Information		適用	Disassociated	隨變體層	有	錨命中	Button responsive after release|Knob 2 rotated clock-wise|Knob 2 rotated counter clock-wise|Press ignored during stuck condition|Three detents counted in one rotation|Three detents rotated clock-wise	EMPTY	不可比
175	SR26_20260310-1619	4819545	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
176	SR26_20260310-1620	4819547	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
177	SR26_20260310-1621	4819548	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
178	SR26_20260310-1622	4819549	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
179	SR26_20260310-1623	4819550	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
180	SR26_20260310-1624	4819551	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
181	SR26_20260310-1625	4819552	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
182	SR26_20260310-1626	4819553	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	不可比
183	SR26_20260310-1627	4819555	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	有	錨命中	Enter button pressed	Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
184	SR26_20260310-1628	4819558	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	部分	行為等值：b03 四條驗「回應」分支（screen on／off × Telematic Power 二態），**未驗「忽略」分支**		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
185	SR26_20260310-1629	4819559	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	不可比
186	SR26_20260310-1630	4819560	物件頭	Out of Scope		適用	Disassociated	隨變體層	有	錨命中	Power hardkey pressed while HU screen on	EMPTY	不可比
187	SR26_20260310-1631	4819561	物件頭	Out of Scope		適用	Disassociated	隨變體層	有	錨命中	Power hardkey pressed at Telematic Power full operation	EMPTY	不可比
188	SR26_20260310-1632	4819563	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	有	錨命中	Power hardkey pressed while HU screen off	Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
