doc_id	filename	sha256	version	features	note
cfts019_audiomanagement_part1_released_20260415	CFTS019-AudioManagement-Part1_released_20260415.xlsx	2aae3ed71a9efb1c492a5a20303e8d49712349e2627b1de7e248c9a00cbecc84	20260415	audio_mgmt	proposed｜路徑：features/audio_mgmt/inputs/CFTS019-AudioManagement-Part1_released_20260415.xlsx
cfts022_driver_distraction_fm_wi_fsm_035_a02_stla_report_sysra	CFTS022_Driver_Distraction-FM-WI-FSM-035-A02 STLA 技術安全需求分析報告_SYSRA STLA Technical Safety Requirement Analysis Report_SYSRA.xlsx	81052306af593bbe28326932557cf3aa1c1330d250515afafc658ec8c9201724		driver_distraction	proposed｜路徑：features/driver_distraction/inputs/CFTS022_Driver_Distraction-FM-WI-FSM-035-A02 STLA 技術安全需求分析報告_SYSRA STLA Technical Safety Requirement Analysis Report_SYSRA.xlsx
cfts022_privacy_mode_fm_wi_fsm_035_a02_stla_sysra_report_sysra	CFTS022_Privacy_mode-FM-WI-FSM-035-A02 STLA 技術安全需求分析報告_SYSRA STLA Technical Safety Requirement Analysis Report_SYSRA.xlsx	f46d15ca29b6a75d689a1e331a92d2e1286ebe549668936dfe2eec31839c2854		privacy	proposed｜路徑：features/privacy/inputs/CFTS022_Privacy_mode-FM-WI-FSM-035-A02 STLA 技術安全需求分析報告_SYSRA STLA Technical Safety Requirement Analysis Report_SYSRA.xlsx
comfort_hmi_logic_and_flow_r1_sr25_post_3a_cr29359_feb_24_2025	Comfort HMI Logic and Flow R1 SR25 Post 3A CR29359 (Feb 24 2025).pdf	1ee4aaaa6506fb4497cfe0e026af8096d33815f9560d70cfb2a6417a6e14040b	R1 	vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/Comfort HMI Logic and Flow R1 SR25 Post 3A CR29359 (Feb 24 2025).pdf
core_hmi_lf_pdf	Core HMI Logic and Flow R1 SR24 Post 2A (February 2 2023).pdf	a9d0be2f13e4c44cc1f5086865d7f6bf0eb2a738a88640523ccf01737fca9c75	R1_SR24_Post_2A_(February_2_2023)	popup	無文字層（pdftotext 全 21 頁非空白字元 0；pdfplumber 同）；spec_mode C 之圖面來源｜路徑：_intake/Popup/Core HMI Logic and Flow R1 SR24 Post 2A (February 2 2023).pdf；sources/raw/core_hmi_lf_pdf/Core HMI Logic and Flow R1 SR24 Post 2A (February 2 2023).pdf
dd_swe1_0807_en	DD_SWE1_0807_EN.xlsx	f0acfbac68b1c7a49d8b406b426156d03055bcd7275a26e5592536c96fbd2add		driver_distraction	proposed｜路徑：features/driver_distraction/inputs/DD_SWE1_0807_EN.xlsx
dtcs_matrix_core_list_rev_1_6	DTCs Matrix Core List Rev. 1.6.xlsx	06612fb48adbdd67d68689028c6e621f94b25b39b3f461d913b30006c96d4b3a			proposed｜FORMS｜路徑：forms/DTCs Matrix Core List Rev. 1.6.xlsx
display_management_fm_wi_fsm_037_a03_stla_report_swra	Display_Management_FM-WI-FSM-037-A03_STLA_Report_SWRA.xlsx	ab3198e81fb21d2182f5dd7a665488aac5eb937481cf6bede9ecc668f3185050		display	proposed｜路徑：_intake/Display/Display_Management_FM-WI-FSM-037-A03_STLA_Report_SWRA.xlsx；features/display/inputs/Display_Management_FM-WI-FSM-037-A03_STLA_Report_SWRA.xlsx
driver_lockout_hmi_logic_and_flow_r1_sr24_1a_may_3_2021	Driver Lockout HMI Logic and Flow R1 SR24 1A (May 3 2021).pdf	a7144602b7fb28df2dd5d0d6a0459553e389dc0f13bf14bdeae80cb4374be889	R1 	driver_distraction	proposed｜路徑：features/driver_distraction/inputs/Driver Lockout HMI Logic and Flow R1 SR24 1A (May 3 2021).pdf
entire_vehicle_fota_management_vf747_v1_r3	Entire_Vehicle_FOTA_Management_VF747_V1_R3.docx	8970eb04dbc158e841108ac7003b82c7fab52dabbb0e9e1a23ca9cfa1855a416	V1	sw_update	proposed｜路徑：_intake/SW_Update/Entire_Vehicle_FOTA_Management_VF747_V1_R3.docx；features/sw_update/inputs/Entire_Vehicle_FOTA_Management_VF747_V1_R3.docx
error_code_list	Error_Code_List.xlsx	4625753cdf90a6b0788e8da32448e8e6aef4ee987b6966bb9934f2ab49451aad		sw_update	proposed｜FORMS｜路徑：features/sw_update/inputs/Error_Code_List.xlsx；forms/Error_Code_List.xlsx
fm_wi_fsm_035_a02_vf230_hdcc_dt_stla_sysra_stla_v4_released	FM-WI-FSM-035-A02_VF230_HDCC_DT_STLA 技術安全需求分析報告_SYSRA STLA Technical Safety Requirement Analysis Report_SYSRA_VF230_V4_Released.xlsx	b0d8d1ba1d88f37bac0b10a1aff58620ebb7681ad7c11c39ce9322d034f7dd68	V4	vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/FM-WI-FSM-035-A02_VF230_HDCC_DT_STLA 技術安全需求分析報告_SYSRA STLA Technical Safety Requirement Analysis Report_SYSRA_VF230_V4_Released.xlsx
vf665_v42_sysra	FM-WI-FSM-035-A02_VF665_V42_STLA 技術安全需求分析報告_SYSRA STLA Vehicle Setup Management Requirement Analysis Report_SYSRA_VF665_V42_Released.xlsx	72411efdd597482bc1b3bb394dbba002107feb27dca33bd6934b46008668994c	VF665_V42_Released	vsm_v42	跨源驗核（R-VL4：非母體，不得直接生成 TC）。手工附加｜路徑：sources/raw/vf665_v42_sysra/FM-WI-FSM-035-A02_VF665_V42_STLA 技術安全需求分析報告_SYSRA STLA Vehicle Setup Management Requirement Analysis Report_SYSRA_VF665_V42_Released.xlsx
vf665_v43_sysra	FM-WI-FSM-035-A02_VF665_V43_STLA_SYSRA STLA Vehicle Setup Management by VP-LTM (R1L)Requirement Analysis Report_SYSRA_VF665_V43_Release.xlsx	4e8db108ad12d28508419571b56e0dab8475982ac74eee8018f857142e45fb49	VF665_V43_Release	vsm_v43	跨源驗核，**非母體**（R-VT4）。extract_source.py §F-6 自驗誤報而中止，無 extracted/（A-VT8）；W-4 直讀 raw/｜路徑：sources/raw/vf665_v43_sysra/FM-WI-FSM-035-A02_VF665_V43_STLA_SYSRA STLA Vehicle Setup Management by VP-LTM (R1L)Requirement Analysis Report_SYSRA_VF665_V43_Release.xlsx
fm_wi_fsm_036_a01_stla_swqt_stla_test_case_swqt_20260121	FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260121.xlsx	cd876c202c71e74b0eca92dd7b4454af1879ac9a700744d5fe448687f7a9287d	20260121	comfort,privacy,sxm	proposed｜路徑：features/comfort/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260121.xlsx；features/privacy/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260121.xlsx；features/sxm/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_SXM_20260810.xlsx
fm_wi_fsm_036_a01_stla_swqt_stla_test_case_20260817_ext	FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	6372fb6be02f48dc3a3e091a60d2e2b3cf26d8704c27e25d79b7c9516fb825b2	20260817	audio_mgmt,display,power_moding,sw_update,time_management,user_profiles,vehicle_category	proposed｜FORMS｜路徑：_intake/SW_Update/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx；features/audio_mgmt/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx；features/display/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx；features/power_moding/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx；features/sw_update/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx；features/time_management/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx；features/user_profiles/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx；features/vehicle_category/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx；forms/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx
fm_wi_fsm_036_a01_stla_swqt_stla_test_case_aacp_20260624	FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Audio(AACP)_20260624.xlsx	caf9cb24dfaf4a812b349d5419fe5fb1f1aaf8c3a6879430c7f88c41188e6610	20260624	audio_mgmt	proposed｜路徑：features/audio_mgmt/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Audio(AACP)_20260624.xlsx
fm_wi_fsm_036_a01_stla_swqt_stla_test_case_controls_20260819	FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_CFTS044_Vehicle Controls_20260819.xlsx	ebe5a65f30a0d4bcf9e46b51a43145ce222027ac49ad523fe5c2d2b6566a5089	20260819	vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_CFTS044_Vehicle Controls_20260819.xlsx
fm_wi_fsm_036_a01_stla_swqt_stla_test_powermanagement_20260816	FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerManagement_20260816.xlsx	ce93174794d0d43c03d25dcd577c2811b85a8ebb2fd754a5201e5d6979297eda	20260816	power	proposed｜路徑：features/power/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerManagement_20260816.xlsx
fm_wi_fsm_036_a01_stla_swqt_stla_test_powermodinghmi_20260819	FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerModingHMI_20260819.xlsx	2be63febf005dd87ad302b78989ee7800a1a90c60f1f6673f9b455e664625a54	20260819	power_moding	proposed｜路徑：features/power_moding/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerModingHMI_20260819.xlsx
fm_wi_fsm_036_a01_stla_swqt_stla_test_case_vf230_20260819	FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_VF230_20260819.xlsx	adee5dc462ae0e989baff92daca4af91b4733e3307dbdec717ee09cf3b1f8e27	20260819	vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_VF230_20260819.xlsx
fm_wi_fsm_037_a03_n1l_swe1_bedloweringmode_hmi_v0_1_stla	FM-WI-FSM-037-A03-N1L-SWE1-BedLoweringMode-HMI-V0.1 STLA 報告.xlsx	8d09ab46e69da3ad804703c6ed33e113aef8f47e06ac32363040212cab59b9ab	V0.1	bed_lowering	proposed｜路徑：features/bed_lowering/inputs/FM-WI-FSM-037-A03-N1L-SWE1-BedLoweringMode-HMI-V0.1 STLA 報告.xlsx
fm_wi_fsm_037_a03_n1l_swe1_comfort_hmi_v0_1_stla	FM-WI-FSM-037-A03-N1L-SWE1-Comfort-HMI-V0.1 STLA 報告.xlsx	a8186089a28c9a31ee69b7ba66a62f88dd95a2f3d2b41a4d73744b317ca079b6	V0.1	comfort	proposed｜路徑：features/comfort/inputs/FM-WI-FSM-037-A03-N1L-SWE1-Comfort-HMI-V0.1 STLA 報告.xlsx
fm_wi_fsm_037_a03_n1l_swe1_personalaccount_hmi_v0_1_stla	FM-WI-FSM-037-A03-N1L-SWE1-PersonalAccount-HMI-V0.1 STLA 報告.xlsx	9d176ddef6d013539bd33e8a74e8b67d01fba232486aaac9eedad109a783eedb	V0.1	user_profiles	proposed｜路徑：features/user_profiles/inputs/FM-WI-FSM-037-A03-N1L-SWE1-PersonalAccount-HMI-V0.1 STLA 報告.xlsx
popup_037_v0_2	FM-WI-FSM-037-A03-N1L-SWE1-Popup-HMI-V0.2 STLA 報告.xlsx	cdf0812fb9f74b710a723a73b72b141ade7f97a99f60d5059696f65477fb7eef	V0.2	popup	SWE1 Analysis Report；TC 生成範圍之來源（R-POP2）｜路徑：_intake/Popup/FM-WI-FSM-037-A03-N1L-SWE1-Popup-HMI-V0.2 STLA 報告.xlsx；sources/raw/popup_037_v0_2/FM-WI-FSM-037-A03-N1L-SWE1-Popup-HMI-V0.2 STLA 報告.xlsx
fm_wi_fsm_037_a03_n1l_swe1_powermoding_hmi_v0_1_stla	FM-WI-FSM-037-A03-N1L-SWE1-PowerModing-HMI-V0.1 STLA 報告.xlsx	e896a32ac9efef8a3eb8e77e6aa98f1eb1eec8229f70ab4172a2ff6202e8cf9a	V0.1	power_moding	proposed｜路徑：features/power_moding/inputs/FM-WI-FSM-037-A03-N1L-SWE1-PowerModing-HMI-V0.1 STLA 報告.xlsx
fm_wi_fsm_037_a03_n1l_swe1_vehiclecategory_hmi_v0_1_stla	FM-WI-FSM-037-A03-N1L-SWE1-VehicleCategory-HMI-V0.1 STLA 報告.xlsx	cb80a77e8d57721ef0851c4ce263c46d3cbf5d028bd1a03c89c9d7debfd877ed	V0.1	vehicle_category	proposed｜路徑：_intake/Vehicle_Category/FM-WI-FSM-037-A03-N1L-SWE1-VehicleCategory-HMI-V0.1 STLA 報告.xlsx；features/vehicle_category/inputs/FM-WI-FSM-037-A03-N1L-SWE1-VehicleCategory-HMI-V0.1 STLA 報告.xlsx
fm_wi_fsm_037_a03_swe1_cfts044_stla_swra_stla_common_features	FM-WI-FSM-037-A03_SWE1_CFTS044 STLA 報告_SWRA STLA Report_SWRA_Common Features.xlsx	494f2d74547dd731bfff6b0e95a1917a742aef2e6ae4d55a09044b80fe3629c0		vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/FM-WI-FSM-037-A03_SWE1_CFTS044 STLA 報告_SWRA STLA Report_SWRA_Common Features.xlsx
fm_wi_fsm_037_a03_swe1_cfts044_stla_swra_stla_swra_heatedseat	FM-WI-FSM-037-A03_SWE1_CFTS044 STLA 報告_SWRA STLA Report_SWRA_HeatedSeat.xlsx	3251a931f7967099d9ca8a0a96428cceb369f1f8c954e71ea5ff0d9fb54bcbb1		vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/FM-WI-FSM-037-A03_SWE1_CFTS044 STLA 報告_SWRA STLA Report_SWRA_HeatedSeat.xlsx
fm_wi_fsm_037_a03_swe1_cfts044_stla_swra_stla_steering_wheel	FM-WI-FSM-037-A03_SWE1_CFTS044 STLA 報告_SWRA STLA Report_SWRA_Heated_Steering_Wheel.xlsx	393b682165ccda6a0eb2788f8b11e3f5e7bae6ec86766c3d3eb07845b792711d		vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/FM-WI-FSM-037-A03_SWE1_CFTS044 STLA 報告_SWRA STLA Report_SWRA_Heated_Steering_Wheel.xlsx
fm_wi_fsm_037_a03_swe1_cfts044_stla_swra_stla_swra_ventedseat	FM-WI-FSM-037-A03_SWE1_CFTS044 STLA 報告_SWRA STLA Report_SWRA_VentedSeat.xlsx	26090b977c120b85ec7cae1b650a4e999c0e6506e50c5101bfa7e8a8508af027		vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/FM-WI-FSM-037-A03_SWE1_CFTS044 STLA 報告_SWRA STLA Report_SWRA_VentedSeat.xlsx
fm_wi_fsm_037_a03_swe1_vf230_stla_swra_stla_sense_features	FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA STLA Report_SWRA_Blind Spot Alert_Passive Entry_Phone Repetition_Park Sense_features.xlsx	49d27af66ee297bd949ca302ef5ddd3855a93c07a663fcb5ad7dfd8484678d73		vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA STLA Report_SWRA_Blind Spot Alert_Passive Entry_Phone Repetition_Park Sense_features.xlsx
fm_wi_fsm_037_a03_swe1_vf230_stla_swra_stla_report_lane_features	FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA STLA Report_SWRA_Cornering Lights_lane_features.xlsx	93fba5e5cf2da1c1ffd3adf559a992236f9c096a2511b93e257839f23a47355b		vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA STLA Report_SWRA_Cornering Lights_lane_features.xlsx
fm_wi_fsm_037_a03_swe1_vf230_stla_swra_stla_delay_features	FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA STLA Report_SWRA_Daytime_Running_Light And Headlights_Off_Delay features^.xlsx	effdfde6b905390592649e6157338801a2925c1bd5787fbd75a8a1e2a2f6aa64		vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA STLA Report_SWRA_Daytime_Running_Light And Headlights_Off_Delay features^.xlsx
fm_wi_fsm_037_a03_swe1_vf230_stla_swra_stla_report_unit_features	FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA STLA Report_SWRA_Pressure_Unit , Power_Unit And Torque_Unit features.xlsx	b90a8be5c7d0f389fab9e5aff7597a7138955e27b3e338faee13e2a931d957dc		vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA STLA Report_SWRA_Pressure_Unit , Power_Unit And Torque_Unit features.xlsx
fm_wi_fsm_037_a03_swe1_vf230_stla_swra_stla_camera_features	FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA STLA Report_SWRA_Time_Date_Autodoor_Camera_features.xlsx	6970af7a94e1ad898f22f3c7b43735bc5fca856b695063131cb0d852f012ab76		vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA STLA Report_SWRA_Time_Date_Autodoor_Camera_features.xlsx
fm_wi_fsm_037_a03_swe1_vf230_stla_swra_stla_report_save_features	FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA STLA Report_SWRA__6 Aux Switches, SWITCH 1 Power Mode and E-Save features.xlsx	099bc9bb33d7f8f20db64049170d9361aeb253a78ac123e650030217a49d6877		vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA STLA Report_SWRA__6 Aux Switches, SWITCH 1 Power Mode and E-Save features.xlsx
fm_wi_fsm_037_a03_swe1_vf230_stla_swra_stla_number_report	FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA_STLA_Illuminated_Approach - Trailer_Number_Report.xlsx	434236a6864f01153a52483cb1e076ecf946f9d6717345ecde8bf48e9b41325d		vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA_STLA_Illuminated_Approach - Trailer_Number_Report.xlsx
fm_wi_fsm_037_a03_swe1_vf230_stla_swra_stla_features_report_ve0124004	FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA_STLA_SWITCH_1_Type - SWITCH 4 Hold_Last_State Features_Report.xlsx	e012400423c33eda3571753d329f4889364f8d428b347dc9a6b7d9008b802c61		vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA_STLA_SWITCH_1_Type - SWITCH 4 Hold_Last_State Features_Report.xlsx
fm_wi_fsm_037_a03_swe1_vf230_stla_swra_stla_features_report_v27f87f8b	FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA_STLA_Suspension_Flash_Lights_With_Lower - SWITCH 4_Power_Mode Features_Report.xlsx	27f87f8b62cc7cb885bdab5a084632e8774ac6cd5563f05699e316f53672ec08		vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA_STLA_Suspension_Flash_Lights_With_Lower - SWITCH 4_Power_Mode Features_Report.xlsx
fm_wi_fsm_037_a03_swe1_vf230_stla_swra_stla_features_report_v36e4ef19	FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA_STLA_Suspension_Service_Mode - Headlights_with_Wipers Features_Report.xlsx	36e4ef190dcb6c5e1c415af48b2f31705e1e48b57d3d235f048cdf62dd6c54bb		vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA_STLA_Suspension_Service_Mode - Headlights_with_Wipers Features_Report.xlsx
fm_wi_fsm_037_a03_swe1_vf230_stla_swra_stla_trailer_level_report	FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA_STLA_Trailer_Name - Max_Power_Level_Report.xlsx	effe232998a4f18c5095cce59e1aaad1d3449b448710685a34e8c96405186b32		vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/FM-WI-FSM-037-A03_SWE1_VF230_STLA 報告_SWRA_STLA_Trailer_Name - Max_Power_Level_Report.xlsx
vf665_037_parksense	FM-WI-FSM-037-A03_SWE1_VF665_STLA 報告_SWRA_STLA_Park_Sense_And_Restore Default Setting __Features_Report.xlsx	be55d8978f9472f3b7bae8643eee139525f2c455b8bddce24f3911c4128e9d05	未載明	vsm_v42;vsm_v43	vsm_v42 之母體；**非 vsm_v43 之母體**（R-VT4），供 E7 與 DR-VT1 佐證。sha 與 vsm_v42/inputs 同名檔全等，不另建 doc_id｜路徑：sources/raw/vf665_037_parksense/FM-WI-FSM-037-A03_SWE1_VF665_STLA 報告_SWRA_STLA_Park_Sense_And_Restore Default Setting __Features_Report.xlsx
