old_row	new_row	old_tc_id	new_tc_id	requirement_id
35	34	NR1L-VehicleSetting-026	NR1L-VehicleSetting-025	SWE1-VC-ThirdRowHeadrestDump-038
36	35	NR1L-VehicleSetting-027	NR1L-VehicleSetting-026	SWE1-VC-ThirdRowHeadrestDump-039
37	36	NR1L-VehicleSetting-028	NR1L-VehicleSetting-027	SWE1-VC-ThirdRowHeadrestDump-040
38	37	NR1L-VehicleSetting-029	NR1L-VehicleSetting-028	SWE1-VC-ThirdRowHeadrestDump-041
39	38	NR1L-VehicleSetting-030	NR1L-VehicleSetting-029	SWE1-VC-ThirdRowHeadrestDump-042
40	39	NR1L-VehicleSetting-031	NR1L-VehicleSetting-030	SWE1-VC-ThirdRowHeadrestDump-043
41	40	NR1L-VehicleSetting-032	NR1L-VehicleSetting-031	SWE1-VC-ThirdRowHeadrestDump-044
42	41	NR1L-VehicleSetting-033	NR1L-VehicleSetting-032	SWE1-VC-ThirdRowHeadrestDump-045
43	42	NR1L-VehicleSetting-034	NR1L-VehicleSetting-033	SWE1-VC-ScreenOFF-047
44	43	NR1L-VehicleSetting-035	NR1L-VehicleSetting-034	SWE1-VC-ScreenOFF-048
45	44	NR1L-VehicleSetting-036	NR1L-VehicleSetting-035	SWE1-VC-ScreenOFF-049
46	45	NR1L-VehicleSetting-037	NR1L-VehicleSetting-036	SWE1-VC-ScreenOFF-050
47	46	NR1L-VehicleSetting-038	NR1L-VehicleSetting-037	SWE1-VC-ScreenOFF-051
48		NR1L-VehicleSetting-039	DELETED	SWE1-VC-ScreenOFF-052
49	47	NR1L-VehicleSetting-040	NR1L-VehicleSetting-038	SWE1-VC-ScreenOFF-052
50	48	NR1L-VehicleSetting-041	NR1L-VehicleSetting-039	SWE1-VC-StopStartSystemBehavior-054
51	49	NR1L-VehicleSetting-042	NR1L-VehicleSetting-040	SWE1-VC-StopStartSystemBehavior-055
52	50	NR1L-VehicleSetting-043	NR1L-VehicleSetting-041	SWE1-VC-StopStartSystemBehavior-056
53	51	NR1L-VehicleSetting-044	NR1L-VehicleSetting-042	SWE1-VC-SwitchLHD/RHDConfiguration-012
54	52	NR1L-VehicleSetting-045	NR1L-VehicleSetting-043	SWE1-VC-SwitchLHD/RHDConfiguration-013
55	53	NR1L-VehicleSetting-046	NR1L-VehicleSetting-044	SWE1-VC-SwitchLHD/RHDConfiguration-014
56	54	NR1L-VehicleSetting-047	NR1L-VehicleSetting-045	SWE1-VC-PHEVFeatures-017
57	55	NR1L-VehicleSetting-048	NR1L-VehicleSetting-046	SWE1-VC-FeaturesEnableCriteria-021
58	56	NR1L-VehicleSetting-049	NR1L-VehicleSetting-047	SWE1-VC-FeaturesEnableCriteria-022
59	57	NR1L-VehicleSetting-050	NR1L-VehicleSetting-048	SWE1-VC-FeaturesEnableCriteria-022
60	58	NR1L-VehicleSetting-051	NR1L-VehicleSetting-049	SWE1-VC-FeaturesEnableCriteria-023
61	59	NR1L-VehicleSetting-052	NR1L-VehicleSetting-050	SWE1-VC-LeftFrontHeatedSeat-003
62	60	NR1L-VehicleSetting-053	NR1L-VehicleSetting-051	SWE1-VC-LeftFrontHeatedSeat-004
63	61	NR1L-VehicleSetting-054	NR1L-VehicleSetting-052	SWE1-VC-LeftFrontHeatedSeat-005
64	62	NR1L-VehicleSetting-055	NR1L-VehicleSetting-053	SWE1-VC-LeftFrontHeatedSeat-006
65	63	NR1L-VehicleSetting-056	NR1L-VehicleSetting-054	SWE1-VC-LeftFrontHeatedSeat-007
66	64	NR1L-VehicleSetting-057	NR1L-VehicleSetting-055	SWE1-VC-LeftFrontHeatedSeat-008
67	65	NR1L-VehicleSetting-058	NR1L-VehicleSetting-056	SWE1-VC-LeftFrontHeatedSeat-009
68	66	NR1L-VehicleSetting-059	NR1L-VehicleSetting-057	SWE1-VC-LeftFrontHeatedSeat-010
69	67	NR1L-VehicleSetting-060	NR1L-VehicleSetting-058	SWE1-VC-LeftFrontHeatedSeat-011
70	68	NR1L-VehicleSetting-061	NR1L-VehicleSetting-059	SWE1-VC-LeftFrontHeatedSeat-012
71	69	NR1L-VehicleSetting-062	NR1L-VehicleSetting-060	SWE1-VC-LeftFrontHeatedSeat-013
72	70	NR1L-VehicleSetting-063	NR1L-VehicleSetting-061	SWE1-VC-LeftFrontHeatedSeat-014
73	71	NR1L-VehicleSetting-064	NR1L-VehicleSetting-062	SWE1-VC-LeftFrontHeatedSeat-015
74	72	NR1L-VehicleSetting-065	NR1L-VehicleSetting-063	SWE1-VC-LeftFrontHeatedSeat-016
75	73	NR1L-VehicleSetting-066	NR1L-VehicleSetting-064	SWE1-VC-LeftFrontHeatedSeat-017
76	74	NR1L-VehicleSetting-067	NR1L-VehicleSetting-065	SWE1-VC-LeftFrontHeatedSeat-018
77	75	NR1L-VehicleSetting-068	NR1L-VehicleSetting-066	SWE1-VC-LeftFrontHeatedSeat-019
78	76	NR1L-VehicleSetting-069	NR1L-VehicleSetting-067	SWE1-VC-RightFrontHeatedSeat-022
79	77	NR1L-VehicleSetting-070	NR1L-VehicleSetting-068	SWE1-VC-RightFrontHeatedSeat-023
80	78	NR1L-VehicleSetting-071	NR1L-VehicleSetting-069	SWE1-VC-RightFrontHeatedSeat-024
81	79	NR1L-VehicleSetting-072	NR1L-VehicleSetting-070	SWE1-VC-RightFrontHeatedSeat-025
82	80	NR1L-VehicleSetting-073	NR1L-VehicleSetting-071	SWE1-VC-RightFrontHeatedSeat-026
83	81	NR1L-VehicleSetting-074	NR1L-VehicleSetting-072	SWE1-VC-RightFrontHeatedSeat-027
84	82	NR1L-VehicleSetting-075	NR1L-VehicleSetting-073	SWE1-VC-RightFrontHeatedSeat-028
85	83	NR1L-VehicleSetting-076	NR1L-VehicleSetting-074	SWE1-VC-RightFrontHeatedSeat-029
86	84	NR1L-VehicleSetting-077	NR1L-VehicleSetting-075	SWE1-VC-RightFrontHeatedSeat-030
87	85	NR1L-VehicleSetting-078	NR1L-VehicleSetting-076	SWE1-VC-RightFrontHeatedSeat-031
88	86	NR1L-VehicleSetting-079	NR1L-VehicleSetting-077	SWE1-VC-RightFrontHeatedSeat-032
89	87	NR1L-VehicleSetting-080	NR1L-VehicleSetting-078	SWE1-VC-RightFrontHeatedSeat-033
90	88	NR1L-VehicleSetting-081	NR1L-VehicleSetting-079	SWE1-VC-RightFrontHeatedSeat-034
91	89	NR1L-VehicleSetting-082	NR1L-VehicleSetting-080	SWE1-VC-RightFrontHeatedSeat-035
92	90	NR1L-VehicleSetting-083	NR1L-VehicleSetting-081	SWE1-VC-RightFrontHeatedSeat-036
93	91	NR1L-VehicleSetting-084	NR1L-VehicleSetting-082	SWE1-VC-OneStageHeatedSeat-039
94	92	NR1L-VehicleSetting-085	NR1L-VehicleSetting-083	SWE1-VC-OneStageHeatedSeat-040
95	93	NR1L-VehicleSetting-086	NR1L-VehicleSetting-084	SWE1-VC-OneStageHeatedSeat-041
96	94	NR1L-VehicleSetting-087	NR1L-VehicleSetting-085	SWE1-VC-OneStageHeatedSeat-042
97	95	NR1L-VehicleSetting-088	NR1L-VehicleSetting-086	SWE1-VC-OneStageHeatedSeat-043
98	96	NR1L-VehicleSetting-089	NR1L-VehicleSetting-087	SWE1-VC-OneStageHeatedSeat-044
99	97	NR1L-VehicleSetting-090	NR1L-VehicleSetting-088	SWE1-VC-OneStageHeatedSeat-045
100	98	NR1L-VehicleSetting-091	NR1L-VehicleSetting-089	SWE1-VC-OneStageHeatedSeat-046
101	99	NR1L-VehicleSetting-092	NR1L-VehicleSetting-090	SWE1-VC-OneStageHeatedSeat-047
102	100	NR1L-VehicleSetting-093	NR1L-VehicleSetting-091	SWE1-VC-OneStageHeatedSeat-048
103	101	NR1L-VehicleSetting-094	NR1L-VehicleSetting-092	SWE1-VC-OneStageHeatedSeat-049
104	102	NR1L-VehicleSetting-095	NR1L-VehicleSetting-093	SWE1-VC-OneStageHeatedSeat-050
105	103	NR1L-VehicleSetting-096	NR1L-VehicleSetting-094	SWE1-VC-OneStageHeatedSeat-051
106	104	NR1L-VehicleSetting-097	NR1L-VehicleSetting-095	SWE1-VC-OneStageHeatedSeat-052
107	105	NR1L-VehicleSetting-098	NR1L-VehicleSetting-096	SWE1-VC-TwoStagesHeatedSeat-055
108	106	NR1L-VehicleSetting-099	NR1L-VehicleSetting-097	SWE1-VC-TwoStagesHeatedSeat-056
109	107	NR1L-VehicleSetting-100	NR1L-VehicleSetting-098	SWE1-VC-TwoStagesHeatedSeat-057
110	108	NR1L-VehicleSetting-101	NR1L-VehicleSetting-099	SWE1-VC-TwoStagesHeatedSeat-058
111	109	NR1L-VehicleSetting-102	NR1L-VehicleSetting-100	SWE1-VC-TwoStagesHeatedSeat-059
112	110	NR1L-VehicleSetting-103	NR1L-VehicleSetting-101	SWE1-VC-TwoStagesHeatedSeat-060
113	111	NR1L-VehicleSetting-104	NR1L-VehicleSetting-102	SWE1-VC-TwoStagesHeatedSeat-061
114	112	NR1L-VehicleSetting-105	NR1L-VehicleSetting-103	SWE1-VC-TwoStagesHeatedSeat-062
115	113	NR1L-VehicleSetting-106	NR1L-VehicleSetting-104	SWE1-VC-TwoStagesHeatedSeat-063
116	114	NR1L-VehicleSetting-107	NR1L-VehicleSetting-105	SWE1-VC-TwoStagesHeatedSeat-064
117	115	NR1L-VehicleSetting-108	NR1L-VehicleSetting-106	SWE1-VC-TwoStagesHeatedSeat-065
118	116	NR1L-VehicleSetting-109	NR1L-VehicleSetting-107	SWE1-VC-TwoStagesHeatedSeat-066
119	117	NR1L-VehicleSetting-110	NR1L-VehicleSetting-108	SWE1-VC-TwoStagesHeatedSeat-067
120	118	NR1L-VehicleSetting-111	NR1L-VehicleSetting-109	SWE1-VC-TwoStagesHeatedSeat-068
121	119	NR1L-VehicleSetting-112	NR1L-VehicleSetting-110	SWE1-VC-TwoStagesHeatedSeat-069
122	120	NR1L-VehicleSetting-113	NR1L-VehicleSetting-111	SWE1-VC-TwoStagesHeatedSeat-070
123	121	NR1L-VehicleSetting-114	NR1L-VehicleSetting-112	SWE1-VC-TwoStagesHeatedSeat-071
124	122	NR1L-VehicleSetting-115	NR1L-VehicleSetting-113	SWE1-VC-TwoStagesHeatedSeat-072
125	123	NR1L-VehicleSetting-116	NR1L-VehicleSetting-114	SWE1-VC-TwoStagesHeatedSeat-073
126	124	NR1L-VehicleSetting-117	NR1L-VehicleSetting-115	SWE1-VC-TwoStagesHeatedSeat-074
127	125	NR1L-VehicleSetting-118	NR1L-VehicleSetting-116	SWE1-VC-ThreeStagesHeatedSeat-078
128	126	NR1L-VehicleSetting-119	NR1L-VehicleSetting-117	SWE1-VC-ThreeStagesHeatedSeat-079
129	127	NR1L-VehicleSetting-120	NR1L-VehicleSetting-118	SWE1-VC-ThreeStagesHeatedSeat-080
130	128	NR1L-VehicleSetting-121	NR1L-VehicleSetting-119	SWE1-VC-ThreeStagesHeatedSeat-081
131	129	NR1L-VehicleSetting-122	NR1L-VehicleSetting-120	SWE1-VC-ThreeStagesHeatedSeat-082
132	130	NR1L-VehicleSetting-123	NR1L-VehicleSetting-121	SWE1-VC-ThreeStagesHeatedSeat-083
133	131	NR1L-VehicleSetting-124	NR1L-VehicleSetting-122	SWE1-VC-ThreeStagesHeatedSeat-084
134	132	NR1L-VehicleSetting-125	NR1L-VehicleSetting-123	SWE1-VC-ThreeStagesHeatedSeat-085
135	133	NR1L-VehicleSetting-126	NR1L-VehicleSetting-124	SWE1-VC-ThreeStagesHeatedSeat-086
136	134	NR1L-VehicleSetting-127	NR1L-VehicleSetting-125	SWE1-VC-ThreeStagesHeatedSeat-087
137	135	NR1L-VehicleSetting-128	NR1L-VehicleSetting-126	SWE1-VC-ThreeStagesHeatedSeat-088
138	136	NR1L-VehicleSetting-129	NR1L-VehicleSetting-127	SWE1-VC-ThreeStagesHeatedSeat-089
139	137	NR1L-VehicleSetting-130	NR1L-VehicleSetting-128	SWE1-VC-ThreeStagesHeatedSeat-090
140	138	NR1L-VehicleSetting-131	NR1L-VehicleSetting-129	SWE1-VC-ThreeStagesHeatedSeat-091
141	139	NR1L-VehicleSetting-132	NR1L-VehicleSetting-130	SWE1-VC-ThreeStagesHeatedSeat-092
142	140	NR1L-VehicleSetting-133	NR1L-VehicleSetting-131	SWE1-VC-ThreeStagesHeatedSeat-093
143	141	NR1L-VehicleSetting-134	NR1L-VehicleSetting-132	SWE1-VC-ThreeStagesHeatedSeat-094
144	142	NR1L-VehicleSetting-135	NR1L-VehicleSetting-133	SWE1-VC-ThreeStagesHeatedSeat-095
145	143	NR1L-VehicleSetting-136	NR1L-VehicleSetting-134	SWE1-VC-ThreeStagesHeatedSeat-096
146	144	NR1L-VehicleSetting-137	NR1L-VehicleSetting-135	SWE1-VC-ThreeStagesHeatedSeat-097
147	145	NR1L-VehicleSetting-138	NR1L-VehicleSetting-136	SWE1-VC-ThreeStagesHeatedSeat-098
148	146	NR1L-VehicleSetting-139	NR1L-VehicleSetting-137	SWE1-VC-ThreeStagesHeatedSeat-099
149	147	NR1L-VehicleSetting-140	NR1L-VehicleSetting-138	SWE1-VC-LeftFrontVentedSeat-003
150	148	NR1L-VehicleSetting-141	NR1L-VehicleSetting-139	SWE1-VC-LeftFrontVentedSeat-004
151	149	NR1L-VehicleSetting-142	NR1L-VehicleSetting-140	SWE1-VC-LeftFrontVentedSeat-005
152	150	NR1L-VehicleSetting-143	NR1L-VehicleSetting-141	SWE1-VC-LeftFrontVentedSeat-006
153	151	NR1L-VehicleSetting-144	NR1L-VehicleSetting-142	SWE1-VC-LeftFrontVentedSeat-007
154	152	NR1L-VehicleSetting-145	NR1L-VehicleSetting-143	SWE1-VC-LeftFrontVentedSeat-008
155	153	NR1L-VehicleSetting-146	NR1L-VehicleSetting-144	SWE1-VC-LeftFrontVentedSeat-009
156	154	NR1L-VehicleSetting-147	NR1L-VehicleSetting-145	SWE1-VC-LeftFrontVentedSeat-010
157	155	NR1L-VehicleSetting-148	NR1L-VehicleSetting-146	SWE1-VC-LeftFrontVentedSeat-011
158	156	NR1L-VehicleSetting-149	NR1L-VehicleSetting-147	SWE1-VC-LeftFrontVentedSeat-012
159	157	NR1L-VehicleSetting-150	NR1L-VehicleSetting-148	SWE1-VC-LeftFrontVentedSeat-013
160	158	NR1L-VehicleSetting-151	NR1L-VehicleSetting-149	SWE1-VC-LeftFrontVentedSeat-014
161	159	NR1L-VehicleSetting-152	NR1L-VehicleSetting-150	SWE1-VC-LeftFrontVentedSeat-015
162	160	NR1L-VehicleSetting-153	NR1L-VehicleSetting-151	SWE1-VC-LeftFrontVentedSeat-016
163	161	NR1L-VehicleSetting-154	NR1L-VehicleSetting-152	SWE1-VC-LeftFrontVentedSeat-017
164	162	NR1L-VehicleSetting-155	NR1L-VehicleSetting-153	SWE1-VC-RightFrontVentedSeat-020
165	163	NR1L-VehicleSetting-156	NR1L-VehicleSetting-154	SWE1-VC-RightFrontVentedSeat-021
166	164	NR1L-VehicleSetting-157	NR1L-VehicleSetting-155	SWE1-VC-RightFrontVentedSeat-022
167	165	NR1L-VehicleSetting-158	NR1L-VehicleSetting-156	SWE1-VC-RightFrontVentedSeat-023
168	166	NR1L-VehicleSetting-159	NR1L-VehicleSetting-157	SWE1-VC-RightFrontVentedSeat-024
169	167	NR1L-VehicleSetting-160	NR1L-VehicleSetting-158	SWE1-VC-RightFrontVentedSeat-025
170	168	NR1L-VehicleSetting-161	NR1L-VehicleSetting-159	SWE1-VC-RightFrontVentedSeat-026
171	169	NR1L-VehicleSetting-162	NR1L-VehicleSetting-160	SWE1-VC-RightFrontVentedSeat-027
172	170	NR1L-VehicleSetting-163	NR1L-VehicleSetting-161	SWE1-VC-RightFrontVentedSeat-028
173	171	NR1L-VehicleSetting-164	NR1L-VehicleSetting-162	SWE1-VC-RightFrontVentedSeat-029
174	172	NR1L-VehicleSetting-165	NR1L-VehicleSetting-163	SWE1-VC-RightFrontVentedSeat-030
175	173	NR1L-VehicleSetting-166	NR1L-VehicleSetting-164	SWE1-VC-RightFrontVentedSeat-031
176	174	NR1L-VehicleSetting-167	NR1L-VehicleSetting-165	SWE1-VC-RightFrontVentedSeat-032
177	175	NR1L-VehicleSetting-168	NR1L-VehicleSetting-166	SWE1-VC-RightFrontVentedSeat-033
178	176	NR1L-VehicleSetting-169	NR1L-VehicleSetting-167	SWE1-VC-RightFrontVentedSeat-034
179	177	NR1L-VehicleSetting-170	NR1L-VehicleSetting-168	SWE1-VC-TwoStagesVentedSeatsManagement-037
180	178	NR1L-VehicleSetting-171	NR1L-VehicleSetting-169	SWE1-VC-TwoStagesVentedSeatsManagement-038
181	179	NR1L-VehicleSetting-172	NR1L-VehicleSetting-170	SWE1-VC-TwoStagesVentedSeatsManagement-039
182	180	NR1L-VehicleSetting-173	NR1L-VehicleSetting-171	SWE1-VC-TwoStagesVentedSeatsManagement-040
183	181	NR1L-VehicleSetting-174	NR1L-VehicleSetting-172	SWE1-VC-TwoStagesVentedSeatsManagement-041
184	182	NR1L-VehicleSetting-175	NR1L-VehicleSetting-173	SWE1-VC-TwoStagesVentedSeatsManagement-042
185	183	NR1L-VehicleSetting-176	NR1L-VehicleSetting-174	SWE1-VC-TwoStagesVentedSeatsManagement-043
186	184	NR1L-VehicleSetting-177	NR1L-VehicleSetting-175	SWE1-VC-TwoStagesVentedSeatsManagement-044
187	185	NR1L-VehicleSetting-178	NR1L-VehicleSetting-176	SWE1-VC-TwoStagesVentedSeatsManagement-045
188	186	NR1L-VehicleSetting-179	NR1L-VehicleSetting-177	SWE1-VC-TwoStagesVentedSeatsManagement-046
189	187	NR1L-VehicleSetting-180	NR1L-VehicleSetting-178	SWE1-VC-TwoStagesVentedSeatsManagement-047
190	188	NR1L-VehicleSetting-181	NR1L-VehicleSetting-179	SWE1-VC-TwoStagesVentedSeatsManagement-048
191	189	NR1L-VehicleSetting-182	NR1L-VehicleSetting-180	SWE1-VC-TwoStagesVentedSeatsManagement-049
192	190	NR1L-VehicleSetting-183	NR1L-VehicleSetting-181	SWE1-VC-TwoStagesVentedSeatsManagement-050
193	191	NR1L-VehicleSetting-184	NR1L-VehicleSetting-182	SWE1-VC-TwoStagesVentedSeatsManagement-051
194	192	NR1L-VehicleSetting-185	NR1L-VehicleSetting-183	SWE1-VC-TwoStagesVentedSeatsManagement-052
195	193	NR1L-VehicleSetting-186	NR1L-VehicleSetting-184	SWE1-VC-TwoStagesVentedSeatsManagement-053
196	194	NR1L-VehicleSetting-187	NR1L-VehicleSetting-185	SWE1-VC-TwoStagesVentedSeatsManagement-054
197	195	NR1L-VehicleSetting-188	NR1L-VehicleSetting-186	SWE1-VC-TwoStagesVentedSeatsManagement-055
198	196	NR1L-VehicleSetting-189	NR1L-VehicleSetting-187	SWE1-VC-TwoStagesVentedSeatsManagement-056
199	197	NR1L-VehicleSetting-190	NR1L-VehicleSetting-188	SWE1-VC-ThreeStagesVentedSeatsManagement-060
200	198	NR1L-VehicleSetting-191	NR1L-VehicleSetting-189	SWE1-VC-ThreeStagesVentedSeatsManagement-061
201	199	NR1L-VehicleSetting-192	NR1L-VehicleSetting-190	SWE1-VC-ThreeStagesVentedSeatsManagement-062
202	200	NR1L-VehicleSetting-193	NR1L-VehicleSetting-191	SWE1-VC-ThreeStagesVentedSeatsManagement-063
203	201	NR1L-VehicleSetting-194	NR1L-VehicleSetting-192	SWE1-VC-ThreeStagesVentedSeatsManagement-064
204	202	NR1L-VehicleSetting-195	NR1L-VehicleSetting-193	SWE1-VC-ThreeStagesVentedSeatsManagement-065
205	203	NR1L-VehicleSetting-196	NR1L-VehicleSetting-194	SWE1-VC-ThreeStagesVentedSeatsManagement-066
206	204	NR1L-VehicleSetting-197	NR1L-VehicleSetting-195	SWE1-VC-ThreeStagesVentedSeatsManagement-067
207	205	NR1L-VehicleSetting-198	NR1L-VehicleSetting-196	SWE1-VC-ThreeStagesVentedSeatsManagement-068
208	206	NR1L-VehicleSetting-199	NR1L-VehicleSetting-197	SWE1-VC-ThreeStagesVentedSeatsManagement-069
209	207	NR1L-VehicleSetting-200	NR1L-VehicleSetting-198	SWE1-VC-ThreeStagesVentedSeatsManagement-070
210	208	NR1L-VehicleSetting-201	NR1L-VehicleSetting-199	SWE1-VC-ThreeStagesVentedSeatsManagement-071
211	209	NR1L-VehicleSetting-202	NR1L-VehicleSetting-200	SWE1-VC-ThreeStagesVentedSeatsManagement-072
212	210	NR1L-VehicleSetting-203	NR1L-VehicleSetting-201	SWE1-VC-ThreeStagesVentedSeatsManagement-073
213	211	NR1L-VehicleSetting-204	NR1L-VehicleSetting-202	SWE1-VC-ThreeStagesVentedSeatsManagement-074
214	212	NR1L-VehicleSetting-205	NR1L-VehicleSetting-203	SWE1-VC-ThreeStagesVentedSeatsManagement-075
215	213	NR1L-VehicleSetting-206	NR1L-VehicleSetting-204	SWE1-VC-ThreeStagesVentedSeatsManagement-076
216	214	NR1L-VehicleSetting-207	NR1L-VehicleSetting-205	SWE1-VC-ThreeStagesVentedSeatsManagement-077
217	215	NR1L-VehicleSetting-208	NR1L-VehicleSetting-206	SWE1-VC-ThreeStagesVentedSeatsManagement-078
218	216	NR1L-VehicleSetting-209	NR1L-VehicleSetting-207	SWE1-VC-ThreeStagesVentedSeatsManagement-079
219	217	NR1L-VehicleSetting-210	NR1L-VehicleSetting-208	SWE1-VC-ThreeStagesVentedSeatsManagement-080
220	218	NR1L-VehicleSetting-211	NR1L-VehicleSetting-209	SWE1-VC-ThreeStagesVentedSeatsManagement-081
221	219	NR1L-VehicleSetting-212	NR1L-VehicleSetting-210	SWE1-VC-HeatedSteeringWheelManagement-025
222	220	NR1L-VehicleSetting-213	NR1L-VehicleSetting-211	SWE1-VC-HeatedSteeringWheelManagement-026
223	221	NR1L-VehicleSetting-214	NR1L-VehicleSetting-212	SWE1-VC-HeatedSteeringWheelManagement-027
224	222	NR1L-VehicleSetting-215	NR1L-VehicleSetting-213	SWE1-VC-HeatedSteeringWheel-003
225	223	NR1L-VehicleSetting-216	NR1L-VehicleSetting-214	SWE1-VC-HeatedSteeringWheel-004
226	224	NR1L-VehicleSetting-217	NR1L-VehicleSetting-215	SWE1-VC-HeatedSteeringWheel-005
227	225	NR1L-VehicleSetting-218	NR1L-VehicleSetting-216	SWE1-VC-HeatedSteeringWheel-006
228	226	NR1L-VehicleSetting-219	NR1L-VehicleSetting-217	SWE1-VC-HeatedSteeringWheel-007
229	227	NR1L-VehicleSetting-220	NR1L-VehicleSetting-218	SWE1-VC-HeatedSteeringWheel-008
230	228	NR1L-VehicleSetting-221	NR1L-VehicleSetting-219	SWE1-VC-HeatedSteeringWheel-010
231	229	NR1L-VehicleSetting-222	NR1L-VehicleSetting-220	SWE1-VC-HeatedSteeringWheel-011
232	230	NR1L-VehicleSetting-223	NR1L-VehicleSetting-221	SWE1-VC-HeatedSteeringWheel-012
233	231	NR1L-VehicleSetting-224	NR1L-VehicleSetting-222	SWE1-VC-HeatedSteeringWheel-013
234	232	NR1L-VehicleSetting-225	NR1L-VehicleSetting-223	SWE1-VC-HeatedSteeringWheel-013
235	233	NR1L-VehicleSetting-226	NR1L-VehicleSetting-224	SWE1-VC-HeatedSteeringWheel-014
236	234	NR1L-VehicleSetting-227	NR1L-VehicleSetting-225	SWE1-VC-HeatedSteeringWheel-015
237	235	NR1L-VehicleSetting-228	NR1L-VehicleSetting-226	SWE1-VC-HeatedSteeringWheel-016
238	236	NR1L-VehicleSetting-229	NR1L-VehicleSetting-227	SWE1-VC-HeatedSteeringWheel-017
239	237	NR1L-VehicleSetting-230	NR1L-VehicleSetting-228	SWE1-VC-HeatedSteeringWheel-018
240	238	NR1L-VehicleSetting-231	NR1L-VehicleSetting-229	SWE1-VC-HeatedSteeringWheel-019
241	239	NR1L-VehicleSetting-232	NR1L-VehicleSetting-230	SWE1-VC-HeatedSteeringWheel-020
242	240	NR1L-VehicleSetting-233	NR1L-VehicleSetting-231	SWE1-VC-HeatedSteeringWheel-021
243	241	NR1L-VehicleSetting-234	NR1L-VehicleSetting-232	SWE1-VC-HeatedSteeringWheel-022
244	242	NR1L-VehicleSetting-235	NR1L-VehicleSetting-233	SWE1-VC-HeatedSteeringWheelManagement-028
245	243	NR1L-VehicleSetting-236	NR1L-VehicleSetting-234	SWE1-VC-HeatedSteeringWheelManagement-029
246	244	NR1L-VehicleSetting-237	NR1L-VehicleSetting-235	SWE1-VC-HeatedSteeringWheelManagement-030
247	245	NR1L-VehicleSetting-238	NR1L-VehicleSetting-236	SWE1-VC-HeatedSteeringWheelManagement-031
248	246	NR1L-VehicleSetting-239	NR1L-VehicleSetting-237	SWE1-VC-HeatedSteeringWheelManagement-032
249	247	NR1L-VehicleSetting-240	NR1L-VehicleSetting-238	SWE1-VC-HeatedSteeringWheelManagement-033
250	248	NR1L-VehicleSetting-241	NR1L-VehicleSetting-239	SWE1-VC-HeatedSteeringWheelManagement-034
