row	intake_id	intake_outline	cache_id	cache_outline	same_id	same_outline	same_desc
80	NRL-127990	6.3	NRL-127991	6.4	False	False	False
81	NRL-127991	6.4	NRL-127992	6.5	False	False	False
82	NRL-127992	6.5	NRL-127993	7	False	False	False
83	NRL-127993	7	NRL-127994	7.1	False	False	False
84	NRL-127994	7.1	NRL-127995	7.2	False	False	False
85	NRL-127995	7.2	NRL-127996	7.3	False	False	False
86	NRL-127996	7.3	NRL-127997	7.4	False	False	False
87	NRL-127997	7.4	NRL-127998	7.5	False	False	False
88	NRL-127998	7.5	NRL-127999	7.6	False	False	False
89	NRL-127999	7.6	NRL-128000	8	False	False	False
90	NRL-128000	8	NRL-128001	8.1	False	False	False
91	NRL-128001	8.1	NRL-128002	8.2	False	False	False
92	NRL-128002	8.2	NRL-128003	8.3	False	False	False
93	NRL-128003	8.3	NRL-128004	9	False	False	False
94	NRL-128004	9	NRL-128005	9.1	False	False	False
95	NRL-128005	9.1	NRL-128006	9.2	False	False	False
96	NRL-128006	9.2	NRL-128007	9.3	False	False	False
97	NRL-128007	9.3	NRL-128008	9.3.1	False	False	False
98	NRL-128008	9.3.1	NRL-128009	9.4	False	False	False
99	NRL-128009	9.4	NRL-128010	9.5	False	False	False
100	NRL-128010	9.5	NRL-128011	9.6	False	False	False
101	NRL-128011	9.6	NRL-128012	9.7	False	False	False
102	NRL-128012	9.7	NRL-128013	9.8	False	False	False
103	NRL-128013	9.8	NRL-128014	9.9	False	False	False
104	NRL-128014	9.9	NRL-128015	9.10	False	False	False
105	NRL-128015	9.10	NRL-128016	9.11	False	False	False
106	NRL-128016	9.11	NRL-128017	9.11.1	False	False	False
107	NRL-128017	9.11.1	NRL-128018	9.11.2	False	False	False
108	NRL-128018	9.11.2	NRL-128019	9.12	False	False	False
109	NRL-128019	9.12	NRL-128020	9.13	False	False	False
110	NRL-128020	9.13	NRL-128021	9.13.1	False	False	False
111	NRL-128021	9.13.1	NRL-128022	9.14	False	False	False
112	NRL-128022	9.14	NRL-128023	9.15	False	False	False
113	NRL-128023	9.15	NRL-128024	9.16	False	False	False
114	NRL-128024	9.16	NRL-128025	9.17	False	False	False
115	NRL-128025	9.17	NRL-128026	9.18	False	False	False
116	NRL-128026	9.18	NRL-128027	9.19	False	False	False
117	NRL-128027	9.19	NRL-128028	10	False	False	False
118	NRL-128028	10	NRL-128029	10.1	False	False	False
119	NRL-128029	10.1	NRL-128030	10.2	False	False	False
120	NRL-128030	10.2	NRL-128031	10.2.1	False	False	False
121	NRL-128031	10.2.1	NRL-128032	10.2.2	False	False	False
122	NRL-128032	10.2.2	NRL-128033	10.2.3	False	False	False
123	NRL-128033	10.2.3	NRL-128034	10.3	False	False	False
124	NRL-128034	10.3	NRL-128035	10.4	False	False	False
125	NRL-128035	10.4	NRL-128036	10.5	False	False	False
126	NRL-128036	10.5	NRL-128037	10.6	False	False	False
127	NRL-128037	10.6	NRL-128038	10.7	False	False	False
128	NRL-128038	10.7	NRL-128039	10.8	False	False	False
129	NRL-128039	10.8	NRL-128040	10.9	False	False	False
130	NRL-128040	10.9	NRL-128041	10.10	False	False	False
131	NRL-128041	10.10	NRL-128042	10.11	False	False	False
132	NRL-128042	10.11	NRL-128043	10.12	False	False	False
133	NRL-128043	10.12	NRL-128044	10.13	False	False	False
134	NRL-128044	10.13	NRL-128045	10.14	False	False	False
135	NRL-128045	10.14	NRL-128046	10.14.1	False	False	False
136	NRL-128046	10.14.1	NRL-128047	10.14.2	False	False	False
137	NRL-128047	10.14.2	NRL-128048	11	False	False	False
138	NRL-128048	11	NRL-128049	11.1	False	False	False
139	NRL-128049	11.1	NRL-128050	11.1.1	False	False	False
140	NRL-128050	11.1.1	NRL-128051	11.1.2	False	False	False
141	NRL-128051	11.1.2	NRL-128052	12	False	False	False
142	NRL-128052	12	NRL-128053	12.1	False	False	False
143	NRL-128053	12.1	NRL-128054	12.2	False	False	False
144	NRL-128054	12.2	NRL-128055	12.3	False	False	False
145	NRL-128055	12.3	NRL-128056	12.4	False	False	False
146	NRL-128056	12.4	NRL-128057	12.5	False	False	False
147	NRL-128057	12.5	NRL-128058	12.5.1	False	False	False
148	NRL-128058	12.5.1	NRL-128059	12.5.2	False	False	False
149	NRL-128059	12.5.2	NRL-128060	12.6	False	False	False
150	NRL-128060	12.6	NRL-128061	12.7	False	False	False
151	NRL-128061	12.7	NRL-128062	12.8	False	False	False
152	NRL-128062	12.8	NRL-128063	12.9	False	False	False
153	NRL-128063	12.9	NRL-128064	12.10	False	False	False
154	NRL-128064	12.10	NRL-128065	12.11	False	False	False
155	NRL-128065	12.11	NRL-128066	12.12	False	False	False
156	NRL-128066	12.12	NRL-128067	12.13	False	False	False
157	NRL-128067	12.13	NRL-128068	12.14	False	False	False
158	NRL-128068	12.14	NRL-128069	13	False	False	False
159	NRL-128069	13	NRL-128070	13.1	False	False	False
160	NRL-128070	13.1	NRL-128071	13.1.1	False	False	False
161	NRL-128071	13.1.1	NRL-128072	13.2	False	False	False
162	NRL-128072	13.2	NRL-128073	13.2.1	False	False	False
163	NRL-128073	13.2.1	NRL-128074	13.2.2	False	False	False
164	NRL-128074	13.2.2	NRL-128075	13.3	False	False	False
165	NRL-128075	13.3	NRL-128076	13.4	False	False	False
166	NRL-128076	13.4	NRL-128077	13.4.1	False	False	False
167	NRL-128077	13.4.1	NRL-128078	14	False	False	False
168	NRL-128078	14	NRL-128079	14.1	False	False	False
169	NRL-128079	14.1	NRL-128080	14.2	False	False	False
170	NRL-128080	14.2	NRL-128081	14.3	False	False	False
171	NRL-128081	14.3	NRL-128082	14.4	False	False	False
172	NRL-128082	14.4	NRL-128083	14.5	False	False	False
173	NRL-128083	14.5	NRL-128084	14.5.1	False	False	False
174	NRL-128084	14.5.1	NRL-128085	14.6	False	False	False
175	NRL-128085	14.6	NRL-128086	14.7	False	False	False
176	NRL-128086	14.7	NRL-128087	14.8	False	False	False
177	NRL-128087	14.8	NRL-128088	14.9	False	False	False
178	NRL-128088	14.9	NRL-128089	14.9.1	False	False	False
179	NRL-128089	14.9.1	NRL-128090	14.10	False	False	False
180	NRL-128090	14.10	NRL-128091	14.11	False	False	False
181	NRL-128091	14.11	NRL-128092	15	False	False	False
182	NRL-128092	15	NRL-128093	15.1	False	False	False
183	NRL-128093	15.1	NRL-128094	15.2	False	False	False
184	NRL-128094	15.2	NRL-128095	15.3	False	False	False
185	NRL-128095	15.3	NRL-128096	16	False	False	False
186	NRL-128096	16	NRL-128097	16.1	False	False	False
187	NRL-128097	16.1	NRL-128098	16.2	False	False	False
188	NRL-128098	16.2	NRL-128099	16.3	False	False	False
189	NRL-128099	16.3	NRL-128100	16.4	False	False	False
190	NRL-128100	16.4	NRL-128101	17	False	False	False
191	NRL-128101	17	NRL-128102	17.1	False	False	False
192	NRL-128102	17.1	NRL-128103	17.2	False	False	False
193	NRL-128103	17.2	NRL-128104	17.3	False	False	False
194	NRL-128104	17.3	NRL-128105	17.4	False	False	False
195	NRL-128105	17.4	NRL-128106	17.5	False	False	False
196	NRL-128106	17.5	NRL-128107	17.6	False	False	False
197	NRL-128108	17.6	NRL-128108	17.7	True	False	True
198	NRL-128109	17.7	NRL-128109	17.8	True	False	True
199	NRL-128110	17.8	NRL-128110	17.9	True	False	True
200	NRL-128111	18	NRL-128111	18	True	True	True
201	NRL-128112	18.1	NRL-128112	18.1	True	True	True
202	NRL-128113	18.2	NRL-128113	18.2	True	True	True
203	NRL-128114	18.3	NRL-128114	18.3	True	True	True
204	NRL-128115	18.3.1	NRL-128115	18.3.1	True	True	True
205	NRL-128116	18.3.2	NRL-128116	18.3.2	True	True	True
206	NRL-128117	18.3.3	NRL-128117	18.3.3	True	True	True
207	NRL-128118	18.4	NRL-128118	18.4	True	True	True
208	NRL-128119	18.5	NRL-128119	18.5	True	True	True
209	NRL-128120	18.6	NRL-128120	18.6	True	True	True
210	NRL-128121	19	NRL-128121	19	True	True	True
211	NRL-128122	19.1	NRL-128122	19.1	True	True	True
212	NRL-128123	19.2	NRL-128123	19.2	True	True	True
213	NRL-128124	19.3	NRL-128124	19.3	True	True	True
214	NRL-128125	19.4	NRL-128125	19.4	True	True	True
215	NRL-128126	19.5	NRL-128126	19.5	True	True	True
216	NRL-128127	19.6	NRL-128127	19.6	True	True	True
217	NRL-128128	19.7	NRL-128128	19.7	True	True	True
218	NRL-128129	19.8	NRL-128129	19.8	True	True	True
219	NRL-128130	19.9	NRL-128130	19.9	True	True	True
220	NRL-128131	20	NRL-128131	20	True	True	True
221	NRL-128132	20.1	NRL-128132	20.1	True	True	True
222	NRL-128133	20.2	NRL-128133	20.2	True	True	True
223	NRL-128134	20.3	NRL-128134	20.3	True	True	True
224	NRL-128135	20.4	NRL-128135	20.4	True	True	True
225	NRL-128136	20.5	NRL-128136	20.5	True	True	True
226	NRL-128137	20.6	NRL-128137	20.6	True	True	True
227	NRL-128138	20.7	NRL-128138	20.7	True	True	True
228	NRL-128139	21	NRL-128139	21	True	True	True
229	NRL-128140	21.1	NRL-128140	21.1	True	True	True
230	NRL-128141	22	NRL-128141	22	True	True	True
231	NRL-128142	22.1	NRL-128142	22.1	True	True	True
232	NRL-128143	22.1.1	NRL-128143	22.1.1	True	True	True
233	NRL-128144	22.1.2	NRL-128144	22.1.2	True	True	True
234	NRL-128145	23	NRL-128145	23	True	True	True
235	NRL-128146	23.1	NRL-128146	23.1	True	True	True
236	NRL-128147	23.1.1	NRL-128147	23.1.1	True	True	True
237	NRL-128148	23.1.2	NRL-128148	23.1.2	True	True	True
238	NRL-128149	24	NRL-128149	24	True	True	True
239	NRL-128150	24.1	NRL-128150	24.1	True	True	True
240	NRL-128151	24.2	NRL-128151	24.2	True	True	True
241	NRL-128152	24.3	NRL-128152	24.3	True	True	True
242	NRL-128153	24.4	NRL-128153	24.4	True	True	True
243	NRL-128154	24.5	NRL-128154	24.5	True	True	True
244	NRL-128155	24.6	NRL-128155	24.6	True	True	True
245	NRL-128156	24.7	NRL-128156	24.7	True	True	True
246	NRL-128157	24.8	NRL-128157	24.8	True	True	True
247	NRL-128158	25	NRL-128158	25	True	True	True
248	NRL-128159	25.1	NRL-128159	25.1	True	True	True
249	NRL-128160	25.2	NRL-128160	25.2	True	True	True
250	NRL-128161	25.2.1	NRL-128161	25.2.1	True	True	True
251	NRL-128162	25.2.2	NRL-128162	25.2.2	True	True	True
252	NRL-128163	25.3	NRL-128163	25.3	True	True	True
253	NRL-128164	25.4	NRL-128164	25.4	True	True	True
254	NRL-128165	25.5	NRL-128165	25.5	True	True	True
255	NRL-128166	25.5.1	NRL-128166	25.5.1	True	True	True
256	NRL-128167	25.5.2	NRL-128167	25.5.2	True	True	True
257	NRL-128168	25.6	NRL-128168	25.6	True	True	True
258	NRL-128169	25.6.1	NRL-128169	25.6.1	True	True	True
259	NRL-128170	25.7	NRL-128170	25.7	True	True	True
260	NRL-128171	25.7.1	NRL-128171	25.7.1	True	True	True
261	NRL-128172	25.7.2	NRL-128172	25.7.2	True	True	True
262	NRL-128173	25.8	NRL-128173	25.8	True	True	True
263	NRL-128174	25.9	NRL-128174	25.9	True	True	True
264	NRL-128175	25.9.1	NRL-128175	25.9.1	True	True	True
265	NRL-128176	25.10	NRL-128176	25.10	True	True	True
266	NRL-128177	26	NRL-128177	26	True	True	True
267	NRL-128178	26.1	NRL-128178	26.1	True	True	True
268	NRL-128179	26.2	NRL-128179	26.2	True	True	True
269	NRL-128180	26.3	NRL-128180	26.3	True	True	True
270	NRL-128181	26.4	NRL-128181	26.4	True	True	True
271	NRL-128182	26.5	NRL-128182	26.5	True	True	True
272	NRL-128183	27	NRL-128183	27	True	True	True
273	NRL-128184	27.1	NRL-128184	27.1	True	True	True
274	NRL-128185	27.2	NRL-128185	27.2	True	True	True
