swe_id	source_req_id	hmi_source_id	key_hit	sys1_nrl	sys1_outline	desc_verdict	similarity
SWE1-HMI-024	SYS-HMI-RA-PHONE-047	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.2	YES	NRL-127961	5.2	EXACT	1.000
SWE1-HMI-025	SYS-HMI-RA-PHONE-048	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.3	YES	NRL-396175	5.3	EXACT	1.000
SWE1-HMI-026	SYS-HMI-RA-PHONE-049	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.3.1	YES	NRL-127962	5.3.1	EXACT	1.000
SWE1-HMI-027	SYS-HMI-RA-PHONE-050	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.4	YES	NRL-127963	5.4	EXACT	1.000
SWE1-HMI-028	SYS-HMI-RA-PHONE-051	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.5	YES	NRL-127964	5.5	EXACT	1.000
SWE1-HMI-029	SYS-HMI-RA-PHONE-052	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.5.1	YES	NRL-127965	5.5.1	EXACT	1.000
SWE1-HMI-030	SYS-HMI-RA-PHONE-053	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.6	YES	NRL-127966	5.6	EXACT	1.000
SWE1-HMI-031	SYS-HMI-RA-PHONE-054	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.7	YES	NRL-127967	5.7	EXACT	1.000
SWE1-HMI-032	SYS-HMI-RA-PHONE-055	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.8	YES	NRL-127968	5.8	EXACT	1.000
SWE1-HMI-033	SYS-HMI-RA-PHONE-056	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.9	YES	NRL-127969	5.9	EXACT	1.000
SWE1-HMI-034	SYS-HMI-RA-PHONE-057	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.9.1	YES	NRL-127970	5.9.1	EXACT	1.000
SWE1-HMI-035	SYS-HMI-RA-PHONE-058	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.9.2	YES	NRL-127971	5.9.2	EXACT	1.000
SWE1-HMI-036	SYS-HMI-RA-PHONE-059	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.9.3	YES	NRL-127972	5.9.3	EXACT	1.000
SWE1-HMI-037	SYS-HMI-RA-PHONE-060	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.9.4	YES	NRL-127973	5.9.4	EXACT	1.000
SWE1-HMI-038	SYS-HMI-RA-PHONE-061	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.10	YES	NRL-127974	5.10	EXACT	1.000
SWE1-HMI-039	SYS-HMI-RA-PHONE-062	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.11	YES	NRL-127975	5.11	EXACT	1.000
SWE1-HMI-040	SYS-HMI-RA-PHONE-063	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.11.1	YES	NRL-127976	5.11.1	EXACT	1.000
SWE1-HMI-041	SYS-HMI-RA-PHONE-064	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.12	YES	NRL-127977	5.12	EXACT	1.000
SWE1-HMI-042	SYS-HMI-RA-PHONE-065	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.13	YES	NRL-127978	5.13	EXACT	1.000
SWE1-HMI-043	SYS-HMI-RA-PHONE-066	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.14	YES	NRL-127979	5.14	EXACT	1.000
SWE1-HMI-044	SYS-HMI-RA-PHONE-067	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.15	YES	NRL-127980	5.15	EXACT	1.000
SWE1-HMI-045	SYS-HMI-RA-PHONE-068	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.16	YES	NRL-127981	5.16	EXACT	1.000
SWE1-HMI-046	SYS-HMI-RA-PHONE-069	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.16.1	YES	NRL-127982	5.16.1	EXACT	1.000
SWE1-HMI-047	SYS-HMI-RA-PHONE-070	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.16.2	NO			KEY_MISS	
SWE1-HMI-048	SYS-HMI-RA-PHONE-071	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.17	YES	NRL-535272	5.17	LOWSIM	0.078
SWE1-HMI-049	SYS-HMI-RA-PHONE-072	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.18	YES	NRL-127983	5.18	LOWSIM	0.010
SWE1-HMI-050	SYS-HMI-RA-PHONE-073	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.19	YES	NRL-127984	5.19	LOWSIM	0.025
SWE1-HMI-051	SYS-HMI-RA-PHONE-074	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.20	YES	NRL-127985	5.20	LOWSIM	0.032
SWE1-HMI-052	SYS-HMI-RA-PHONE-076	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_6.1	YES	NRL-127988	6.1	EXACT	1.000
SWE1-HMI-053	SYS-HMI-RA-PHONE-077	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_6.2	YES	NRL-127989	6.2	EXACT	1.000
SWE1-HMI-054	SYS-HMI-RA-PHONE-078	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_6.3	YES	NRL-127990	6.3	EXACT	1.000
SWE1-HMI-055	SYS-HMI-RA-PHONE-079	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_6.4	YES	NRL-127991	6.4	EXACT	1.000
SWE1-HMI-056	SYS-HMI-RA-PHONE-080	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_6.5	YES	NRL-127992	6.5	EXACT	1.000
SWE1-HMI-057	SYS-HMI-RA-PHONE-082	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_7.1	YES	NRL-127994	7.1	EXACT	1.000
SWE1-HMI-058	SYS-HMI-RA-PHONE-083	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_7.2	YES	NRL-127995	7.2	EXACT	1.000
SWE1-HMI-059	SYS-HMI-RA-PHONE-084	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_7.3	YES	NRL-127996	7.3	EXACT	1.000
SWE1-HMI-060	SYS-HMI-RA-PHONE-085	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_7.4	YES	NRL-127997	7.4	EXACT	1.000
SWE1-HMI-061	SYS-HMI-RA-PHONE-086	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_7.5	YES	NRL-127998	7.5	EXACT	1.000
SWE1-HMI-062	SYS-HMI-RA-PHONE-087	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_7.6	YES	NRL-127999	7.6	EXACT	1.000
SWE1-HMI-063	SYS-HMI-RA-PHONE-089	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_8.1	YES	NRL-128001	8.1	EXACT	1.000
SWE1-HMI-064	SYS-HMI-RA-PHONE-090	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_8.2	YES	NRL-128002	8.2	EXACT	1.000
SWE1-HMI-065	SYS-HMI-RA-PHONE-091	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_8.3	YES	NRL-128003	8.3	EXACT	1.000
SWE1-HMI-066	SYS-HMI-RA-PHONE-093	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.1	YES	NRL-128005	9.1	EXACT	1.000
SWE1-HMI-067	SYS-HMI-RA-PHONE-094	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.2	YES	NRL-128006	9.2	EXACT	1.000
SWE1-HMI-068	SYS-HMI-RA-PHONE-095	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.3	YES	NRL-128007	9.3	EXACT	1.000
SWE1-HMI-069	SYS-HMI-RA-PHONE-096	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.3.1	YES	NRL-128008	9.3.1	EXACT	1.000
SWE1-HMI-070	SYS-HMI-RA-PHONE-097	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.4	YES	NRL-128009	9.4	EXACT	1.000
SWE1-HMI-071	SYS-HMI-RA-PHONE-098	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.5	YES	NRL-128010	9.5	EXACT	1.000
SWE1-HMI-072	SYS-HMI-RA-PHONE-099	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.6	YES	NRL-128011	9.6	EXACT	1.000
SWE1-HMI-073	SYS-HMI-RA-PHONE-100	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.7	YES	NRL-128012	9.7	EXACT	1.000
SWE1-HMI-074	SYS-HMI-RA-PHONE-101	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.8	YES	NRL-128013	9.8	EXACT	1.000
SWE1-HMI-075	SYS-HMI-RA-PHONE-102	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.10	YES	NRL-128015	9.10	EXACT	1.000
SWE1-HMI-076	SYS-HMI-RA-PHONE-103	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.11	YES	NRL-128016	9.11	EXACT	1.000
SWE1-HMI-077	SYS-HMI-RA-PHONE-104	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.11.1	YES	NRL-128017	9.11.1	EXACT	1.000
SWE1-HMI-078	SYS-HMI-RA-PHONE-105	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.11.2	YES	NRL-128018	9.11.2	EXACT	1.000
SWE1-HMI-079	SYS-HMI-RA-PHONE-106	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.12	YES	NRL-128019	9.12	EXACT	1.000
SWE1-HMI-080	SYS-HMI-RA-PHONE-107	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.13	YES	NRL-128020	9.13	EXACT	1.000
SWE1-HMI-081	SYS-HMI-RA-PHONE-109	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.14	YES	NRL-128022	9.14	EXACT	1.000
SWE1-HMI-082	SYS-HMI-RA-PHONE-110	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.15	YES	NRL-128023	9.15	EXACT	1.000
SWE1-HMI-083	SYS-HMI-RA-PHONE-111	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.16	YES	NRL-128024	9.16	EXACT	1.000
SWE1-HMI-084	SYS-HMI-RA-PHONE-112	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.17	YES	NRL-128025	9.17	EXACT	1.000
SWE1-HMI-085	SYS-HMI-RA-PHONE-113	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.18	YES	NRL-128026	9.18	EXACT	1.000
SWE1-HMI-086	SYS-HMI-RA-PHONE-114	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_9.19	YES	NRL-128027	9.19	EXACT	1.000
SWE1-HMI-087	SYS-HMI-RA-PHONE-117	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_10.2	YES	NRL-128030	10.2	EXACT	1.000
SWE1-HMI-088	SYS-HMI-RA-PHONE-118	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_10.2.1	YES	NRL-128031	10.2.1	EXACT	1.000
SWE1-HMI-089	SYS-HMI-RA-PHONE-119	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_10.2.2	YES	NRL-128032	10.2.2	EXACT	1.000
SWE1-HMI-090	SYS-HMI-RA-PHONE-120	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_10.2.3	YES	NRL-128033	10.2.3	EXACT	1.000
SWE1-HMI-091	SYS-HMI-RA-PHONE-121	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_10.3	YES	NRL-128034	10.3	EXACT	1.000
SWE1-HMI-092	SYS-HMI-RA-PHONE-122	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_10.4	YES	NRL-128035	10.4	EXACT	1.000
SWE1-HMI-093	SYS-HMI-RA-PHONE-123	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_10.5	YES	NRL-128036	10.5	EXACT	1.000
SWE1-HMI-094	SYS-HMI-RA-PHONE-124	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_10.6	YES	NRL-128037	10.6	EXACT	1.000
SWE1-HMI-095	SYS-HMI-RA-PHONE-125	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_10.7	YES	NRL-128038	10.7	EXACT	1.000
SWE1-HMI-096	SYS-HMI-RA-PHONE-126	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_10.8	YES	NRL-128039	10.8	EXACT	1.000
SWE1-HMI-097	SYS-HMI-RA-PHONE-127	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_10.9	YES	NRL-128040	10.9	EXACT	1.000
SWE1-HMI-098	SYS-HMI-RA-PHONE-128	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_10.10	YES	NRL-128041	10.10	EXACT	1.000
SWE1-HMI-099	SYS-HMI-RA-PHONE-129	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_10.11	YES	NRL-128042	10.11	EXACT	1.000
SWE1-HMI-100	SYS-HMI-RA-PHONE-130	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_10.12	YES	NRL-128043	10.12	EXACT	1.000
SWE1-HMI-101	SYS-HMI-RA-PHONE-131	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_10.13	YES	NRL-128044	10.13	EXACT	1.000
SWE1-HMI-102	SYS-HMI-RA-PHONE-132	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_10.14	YES	NRL-128045	10.14	EXACT	1.000
SWE1-HMI-103	SYS-HMI-RA-PHONE-133	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_10.14.1	YES	NRL-128046	10.14.1	EXACT	1.000
SWE1-HMI-104	SYS-HMI-RA-PHONE-134	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_10.14.2	YES	NRL-128047	10.14.2	EXACT	1.000
SWE1-HMI-105	SYS-HMI-RA-PHONE-136	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_11.1	YES	NRL-128049	11.1	EXACT	1.000
SWE1-HMI-106	SYS-HMI-RA-PHONE-137	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_11.1.1	YES	NRL-128050	11.1.1	EXACT	1.000
SWE1-HMI-107	SYS-HMI-RA-PHONE-138	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_11.1.2	YES	NRL-128051	11.1.2	EXACT	1.000
SWE1-HMI-108	SYS-HMI-RA-PHONE-140	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_12.1	YES	NRL-128053	12.1	EXACT	1.000
SWE1-HMI-109	SYS-HMI-RA-PHONE-142	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_12.3	YES	NRL-128055	12.3	EXACT	1.000
SWE1-HMI-110	SYS-HMI-RA-PHONE-144	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_12.5	YES	NRL-128057	12.5	EXACT	1.000
SWE1-HMI-111	SYS-HMI-RA-PHONE-145	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_12.5.1	YES	NRL-128058	12.5.1	EXACT	1.000
SWE1-HMI-112	SYS-HMI-RA-PHONE-146	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_12.5.2	YES	NRL-128059	12.5.2	EXACT	1.000
SWE1-HMI-113	SYS-HMI-RA-PHONE-147	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_12.6	YES	NRL-128060	12.6	EXACT	1.000
SWE1-HMI-114	SYS-HMI-RA-PHONE-148	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_12.7	YES	NRL-128061	12.7	EXACT	1.000
SWE1-HMI-115	SYS-HMI-RA-PHONE-149	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_12.8	YES	NRL-128062	12.8	EXACT	1.000
SWE1-HMI-116	SYS-HMI-RA-PHONE-150	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_12.9	YES	NRL-128063	12.9	EXACT	1.000
SWE1-HMI-117	SYS-HMI-RA-PHONE-151	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_12.10	YES	NRL-128064	12.10	EXACT	1.000
SWE1-HMI-118	SYS-HMI-RA-PHONE-152	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_12.11	YES	NRL-128065	12.11	EXACT	1.000
SWE1-HMI-119	SYS-HMI-RA-PHONE-153	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_12.12	YES	NRL-128066	12.12	EXACT	1.000
SWE1-HMI-120	SYS-HMI-RA-PHONE-154	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_12.13	YES	NRL-128067	12.13	EXACT	1.000
SWE1-HMI-121	SYS-HMI-RA-PHONE-155	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_12.14	YES	NRL-128068	12.14	EXACT	1.000
SWE1-HMI-122	SYS-HMI-RA-PHONE-157	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_13.1	YES	NRL-128070	13.1	EXACT	1.000
SWE1-HMI-123	SYS-HMI-RA-PHONE-158	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_13.1.1	YES	NRL-128071	13.1.1	EXACT	1.000
SWE1-HMI-124	SYS-HMI-RA-PHONE-159	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_13.2	YES	NRL-128072	13.2	EXACT	1.000
SWE1-HMI-125	SYS-HMI-RA-PHONE-160	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_13.2.1	YES	NRL-128073	13.2.1	EXACT	1.000
SWE1-HMI-126	SYS-HMI-RA-PHONE-161	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_13.2.2	YES	NRL-128074	13.2.2	EXACT	1.000
SWE1-HMI-127	SYS-HMI-RA-PHONE-162	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_13.3	YES	NRL-128075	13.3	EXACT	1.000
SWE1-HMI-128	SYS-HMI-RA-PHONE-163	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_13.4	YES	NRL-128076	13.4	EXACT	1.000
SWE1-HMI-129	SYS-HMI-RA-PHONE-164	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_13.4.1	YES	NRL-128077	13.4.1	EXACT	1.000
SWE1-HMI-130	SYS-HMI-RA-PHONE-166	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_14.1	YES	NRL-128079	14.1	EXACT	1.000
SWE1-HMI-131	SYS-HMI-RA-PHONE-167	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_14.2	YES	NRL-128080	14.2	EXACT	1.000
SWE1-HMI-132	SYS-HMI-RA-PHONE-168	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_14.3	YES	NRL-128081	14.3	EXACT	1.000
SWE1-HMI-133	SYS-HMI-RA-PHONE-169	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_14.4	YES	NRL-128082	14.4	EXACT	1.000
SWE1-HMI-134	SYS-HMI-RA-PHONE-170	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_14.5	YES	NRL-128083	14.5	EXACT	1.000
SWE1-HMI-135	SYS-HMI-RA-PHONE-171	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_14.5.1	YES	NRL-128084	14.5.1	EXACT	1.000
SWE1-HMI-136	SYS-HMI-RA-PHONE-172	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_14.6	YES	NRL-128085	14.6	EXACT	1.000
SWE1-HMI-137	SYS-HMI-RA-PHONE-173	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_14.7	YES	NRL-128086	14.7	EXACT	1.000
SWE1-HMI-138	SYS-HMI-RA-PHONE-174	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_14.8	YES	NRL-128087	14.8	EXACT	1.000
SWE1-HMI-139	SYS-HMI-RA-PHONE-175	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_14.9	YES	NRL-128088	14.9	EXACT	1.000
SWE1-HMI-140	SYS-HMI-RA-PHONE-176	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_14.9.1	YES	NRL-128089	14.9.1	EXACT	1.000
SWE1-HMI-141	SYS-HMI-RA-PHONE-177	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_14.10	YES	NRL-128090	14.10	EXACT	1.000
SWE1-HMI-142	SYS-HMI-RA-PHONE-178	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_14.11	YES	NRL-128091	14.11	EXACT	1.000
SWE1-HMI-143	SYS-HMI-RA-PHONE-180	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_15.1	YES	NRL-128093	15.1	EXACT	1.000
SWE1-HMI-144	SYS-HMI-RA-PHONE-181	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_15.2	YES	NRL-128094	15.2	EXACT	1.000
SWE1-HMI-145	SYS-HMI-RA-PHONE-184	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_16.1	YES	NRL-128097	16.1	EXACT	1.000
SWE1-HMI-146	SYS-HMI-RA-PHONE-185	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_16.2	YES	NRL-128098	16.2	EXACT	1.000
SWE1-HMI-147	SYS-HMI-RA-PHONE-186	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_16.3	YES	NRL-128099	16.3	EXACT	1.000
SWE1-HMI-148	SYS-HMI-RA-PHONE-187	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_16.4	YES	NRL-128100	16.4	EXACT	1.000
SWE1-HMI-149	SYS-HMI-RA-PHONE-190	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_17.2	YES	NRL-128103	17.2	EXACT	1.000
SWE1-HMI-150	SYS-HMI-RA-PHONE-191	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_17.3	YES	NRL-128104	17.3	EXACT	1.000
SWE1-HMI-151	SYS-HMI-RA-PHONE-192	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_17.4	YES	NRL-128105	17.4	EXACT	1.000
SWE1-HMI-152	SYS-HMI-RA-PHONE-193	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_17.5	YES	NRL-128106	17.5	NEAR	0.937
