sys2_row	sys_ra_id	category	swhw	heading_ancestor	signals	values	documents	values_narrow_REPEALED	melco	anchor_kind	candidate_leaf	candidate_from	empty_semantics	note	func_l1	func_l2	func_l3
39	SYS-RA-DM-038	Functional Requirement	System	r38 HU and DCSD Screen ON behavior	RQ_DISP_INTS ¦ TGW_DISP_STAT	0% Intensity ¦ DISP_NORMAL		0% Intensity ¦ DISP_NORMAL		signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	顯示與互動管理(Display and Interaction Management)	顯示狀態控制(Display State Control)	DCSD 顯示狀態發送 (DCSD Display State Sending)
41	SYS-RA-DM-040	Functional Requirement	System	r40 Rear Camera Events	RQ_DISP_INTS ¦ TGW_DISP_STAT	0% Intensity ¦ DISP_REAR_CAMERA		0% Intensity ¦ DISP_REAR_CAMERA		signal	SWE-DM-007 ¦ SWE-DM-008	glossary_phrase		heading 錨無逐字 leaf 片語；glossary 錨（R-DM22，區分大小寫）：SWE-DM-007←RVC->'Rear View Camera' @description；SWE-DM-008←RVC->'Rear View Camera' @description	影像顯示與切換(Image Display and Switching)	攝影機啟動與停用邏輯(Camera Activation and Deactivation Logic)	顯示優先級 (Display Priority)
42	SYS-RA-DM-041	Functional Requirement	System	r40 Rear Camera Events	RQ_DISP_INTS ¦ TGW_DISP_STAT	0% Intensity ¦ DISP_NORMAL		0% Intensity ¦ DISP_NORMAL		signal	SWE-DM-007 ¦ SWE-DM-008	glossary_phrase		heading 錨無逐字 leaf 片語；glossary 錨（R-DM22，區分大小寫）：SWE-DM-007←RVC->'Rear View Camera' @description；SWE-DM-008←RVC->'Rear View Camera' @description	影像顯示與切換(Image Display and Switching)	攝影機啟動與停用邏輯(Camera Activation and Deactivation Logic)	顯示優先級 (Display Priority)
44	SYS-RA-DM-043	Functional Requirement	System	r43 Rear Camera Interrupts	RQ_DISP_INTS ¦ TGW_DISP_STAT	0% Intensity ¦ DISP_REAR_CAMERA		0% Intensity ¦ DISP_REAR_CAMERA		signal	SWE-DM-007 ¦ SWE-DM-008	glossary_phrase		heading 錨無逐字 leaf 片語；glossary 錨（R-DM22，區分大小寫）：SWE-DM-007←RVC->'Rear View Camera' @description；SWE-DM-008←RVC->'Rear View Camera' @description	影像顯示與切換(Image Display and Switching)	攝影機啟動與停用邏輯(Camera Activation and Deactivation Logic)	顯示優先級 (Display Priority)
45	SYS-RA-DM-044	Functional Requirement	System	r43 Rear Camera Interrupts	RQ_DISP_INTS ¦ TGW_DISP_STAT	0% Intensity ¦ DISP_OFF		0% Intensity ¦ DISP_OFF		signal	SWE-DM-007 ¦ SWE-DM-008	glossary_phrase		heading 錨無逐字 leaf 片語；glossary 錨（R-DM22，區分大小寫）：SWE-DM-007←RVC->'Rear View Camera' @description；SWE-DM-008←RVC->'Rear View Camera' @description	影像顯示與切換(Image Display and Switching)	攝影機啟動與停用邏輯(Camera Activation and Deactivation Logic)	顯示優先級 (Display Priority)
47	SYS-RA-DM-046	Functional Requirement	System	r46 Screen Touch Event Interrupts for DCSD	RQ_DISP_INTS ¦ TGW_DISP_STAT	DISP_NORMAL ¦ current non-zero value		DISP_NORMAL		signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	使用者互動與設定(User Interaction & Settings)	觸控螢幕互動(Touchscreen Interaction)	外部顯示器手勢處理 (External Display Gesture Handling)
49	SYS-RA-DM-048	Functional Requirement	System	r48 HU 3-second Timer Times Out	RQ_DISP_INTS ¦ TGW_DISP_STAT	0% Intensity ¦ DISP_OFF		0% Intensity ¦ DISP_OFF		signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	使用者互動與設定(User Interaction & Settings)	觸控螢幕互動(Touchscreen Interaction)	外部顯示器手勢處理 (External Display Gesture Handling)
52	SYS-RA-DM-051	Functional Requirement	System	r51 Rear Camera Events	RQ_DISP_INTS ¦ TGW_DISP_STAT	0% Intensity ¦ DISP_REAR_CAMERA		0% Intensity ¦ DISP_REAR_CAMERA		signal	SWE-DM-007 ¦ SWE-DM-008	glossary_phrase		heading 錨無逐字 leaf 片語；glossary 錨（R-DM22，區分大小寫）：SWE-DM-007←RVC->'Rear View Camera' @description；SWE-DM-008←RVC->'Rear View Camera' @description	影像顯示與切換(Image Display and Switching)	攝影機啟動與停用邏輯(Camera Activation and Deactivation Logic)	顯示優先級 (Display Priority)
53	SYS-RA-DM-052	Functional Requirement	System	r51 Rear Camera Events	RQ_DISP_INTS ¦ TGW_DISP_STAT	0% Intensity ¦ DISP_OFF		0% Intensity ¦ DISP_OFF		signal	SWE-DM-007 ¦ SWE-DM-008	glossary_phrase		heading 錨無逐字 leaf 片語；glossary 錨（R-DM22，區分大小寫）：SWE-DM-007←RVC->'Rear View Camera' @description；SWE-DM-008←RVC->'Rear View Camera' @description	核心顯示管理(Core Display Management)	螢幕開啟/關閉控制(Screen On/Off Control)	螢幕啟動/關閉邏輯 (Screen Activation/Deactivation Logic)
54	SYS-RA-DM-053	Functional Requirement	System	r51 Rear Camera Events	DCSD_DISP_STAT ¦ RQ_DISP_INTS ¦ TGW_DISP_STAT	0% Intensity ¦ DISP_OFF ¦ OFF		0% Intensity ¦ DISP_OFF ¦ OFF	PSCFTS020-1-56-10 ¦ PSCFTS020-1-56-9	signal	SWE-DM-007 ¦ SWE-DM-008	glossary_phrase		heading 錨無逐字 leaf 片語；glossary 錨（R-DM22，區分大小寫）：SWE-DM-007←RVC->'Rear View Camera' @description；SWE-DM-008←RVC->'Rear View Camera' @description；Melco 命中 037 Excluded（HW 排除項）['PSCFTS020-1-56-10', 'PSCFTS020-1-56-9']	核心顯示管理(Core Display Management)	螢幕開啟/關閉控制(Screen On/Off Control)	螢幕啟動/關閉邏輯 (Screen Activation/Deactivation Logic)
56	SYS-RA-DM-055	Functional Requirement	System	r55 Screen Touch Events	RQ_DISP_INTS ¦ TGW_DISP_STAT	DISP_NORMAL ¦ current non-zero value		DISP_NORMAL		signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	使用者互動與設定(User Interaction & Settings)	觸控螢幕互動(Touchscreen Interaction)	外部顯示器手勢處理 (External Display Gesture Handling)
58	SYS-RA-DM-057	Functional Requirement	HW	r55 Screen Touch Events						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	A. ICS/DCSD 系統整合(ICS/DCSD System Integration)	A.1. 模組間通訊(Inter-module Communication)	A.1.1. 模組互動 (Module Interaction)
59	SYS-RA-DM-058	Functional Requirement	HW	r55 Screen Touch Events						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	A. ICS/DCSD 系統整合(ICS/DCSD System Integration)	A.1. 模組間通訊(Inter-module Communication)	A.1.1. 模組互動 (Module Interaction)
60	SYS-RA-DM-059	Functional Requirement	HW	r55 Screen Touch Events						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	A. ICS/DCSD 系統整合(ICS/DCSD System Integration)	A.1. 模組間通訊(Inter-module Communication)	A.1.1. 模組互動 (Module Interaction)
61	SYS-RA-DM-060	Functional Requirement	HW	r55 Screen Touch Events						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	A. ICS/DCSD 系統整合(ICS/DCSD System Integration)	A.1. 模組間通訊(Inter-module Communication)	A.1.1. 模組互動 (Module Interaction)
65	SYS-RA-DM-064	Functional Requirement	HW	r62 2.3 LVDS Interface						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	A. ICS/DCSD 系統整合(ICS/DCSD System Integration)	A.1. 模組間通訊(Inter-module Communication)	A.1.1. 模組互動 (Module Interaction)
66	SYS-RA-DM-065	Functional Requirement	HW	r62 2.3 LVDS Interface						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	A. ICS/DCSD 系統整合(ICS/DCSD System Integration)	A.1. 模組間通訊(Inter-module Communication)	A.1.1. 模組互動 (Module Interaction)
67	SYS-RA-DM-066	Functional Requirement	HW	r62 2.3 LVDS Interface						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	A. ICS/DCSD 系統整合(ICS/DCSD System Integration)	A.1. 模組間通訊(Inter-module Communication)	A.1.1. 模組互動 (Module Interaction)
68	SYS-RA-DM-067	Functional Requirement	HW	r62 2.3 LVDS Interface						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	A. ICS/DCSD 系統整合(ICS/DCSD System Integration)	A.1. 模組間通訊(Inter-module Communication)	A.1.1. 模組互動 (Module Interaction)
69	SYS-RA-DM-068	Functional Requirement	HW	r62 2.3 LVDS Interface						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	A. ICS/DCSD 系統整合(ICS/DCSD System Integration)	A.1. 模組間通訊(Inter-module Communication)	A.1.1. 模組互動 (Module Interaction)
71	SYS-RA-DM-070	Functional Requirement	HW	r62 2.3 LVDS Interface						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	A. ICS/DCSD 系統整合(ICS/DCSD System Integration)	A.1. 模組間通訊(Inter-module Communication)	
73	SYS-RA-DM-072	Functional Requirement	HW	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	A. ICS/DCSD 系統整合(ICS/DCSD System Integration)	A.1. 模組間通訊(Inter-module Communication)	
74	SYS-RA-DM-073	Functional Requirement	HW	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	A. ICS/DCSD 系統整合(ICS/DCSD System Integration)	A.1. 模組間通訊(Inter-module Communication)	
76	SYS-RA-DM-075	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	A. ICS/DCSD 系統整合(ICS/DCSD System Integration)	A.1. 模組間通訊(Inter-module Communication)	
77	SYS-RA-DM-076	Functional Requirement	HW	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	A. ICS/DCSD 系統整合(ICS/DCSD System Integration)	A.1. 模組間通訊(Inter-module Communication)	
78	SYS-RA-DM-077	Functional Requirement	HW	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	A. ICS/DCSD 系統整合(ICS/DCSD System Integration)	A.1. 模組間通訊(Inter-module Communication)	
79	SYS-RA-DM-078	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	A. ICS/DCSD 系統整合(ICS/DCSD System Integration)	A.1. 模組間通訊(Inter-module Communication)	
80	SYS-RA-DM-079	Functional Requirement	HW	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中			
82	SYS-RA-DM-081	Functional Requirement	HW	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中			
83	SYS-RA-DM-082	Functional Requirement	HW	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中			
84	SYS-RA-DM-083	Functional Requirement	HW	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中			
86	SYS-RA-DM-085	Functional Requirement	HW	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中			
87	SYS-RA-DM-086	Functional Requirement	HW	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中			
88	SYS-RA-DM-087	Functional Requirement	HW	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中			
182	SYS2-RA-181	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	ICSMuteButton	pressed		pressed		signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
183	SYS2-RA-182	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	Enter_Button	pressed		pressed		signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
184	SYS2-RA-183	Functional Requirement	HW	r72 2.2 Serializer Touch Interrupt PIN Definition	ICSPowerButton	pressed		pressed		signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
185	SYS2-RA-184	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	ICSPowerButton	pressed		pressed		signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
188	SYS2-RA-187	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	RQ_DISP_INTS ¦ TGW_DISP_STAT	DISP_NORMAL ¦ current non-zero value		DISP_NORMAL		signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
189	SYS2-RA-188	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	RQ_DISP_INTS ¦ TGW_DISP_STAT ¦ Telematic_Power	DISP_NORMAL ¦ Idle ¦ current non-zero value		DISP_NORMAL ¦ Idle		signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
190	SYS2-RA-189	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
192	SYS2-RA-191	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	RQ_DISP_INTS ¦ TGW_DISP_STAT	DISP_NORMAL ¦ current non-zero value		DISP_NORMAL		signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
193	SYS2-RA-192	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	RQ_DISP_INTS ¦ TGW_DISP_STAT	0% Intensity ¦ DISP_OFF		0% Intensity ¦ DISP_OFF		signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
194	SYS2-RA-193	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	RQ_DISP_INTS ¦ TGW_DISP_STAT	0% Intensity ¦ DISP_NORMAL ¦ DISP_OFF		0% Intensity ¦ DISP_NORMAL ¦ DISP_OFF		signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
195	SYS2-RA-194	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	RQ_DISP_INTS ¦ TGW_DISP_STAT	DISP_NORMAL ¦ current non-zero value		DISP_NORMAL		signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
201	SYS2-RA-200	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	ICS_KNOB1_DIR ¦ ICS_KNOB1_VAL					signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
202	SYS2-RA-201	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	ICS_KNOB2_DIR ¦ ICS_KNOB2_VAL					signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
203	SYS2-RA-202	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
209	SYS2-RA-208	Functional Requirement	HW	r72 2.2 Serializer Touch Interrupt PIN Definition	RQ_DISP_INTS ¦ TGW_DISP_STAT	0% Intensity ¦ DISP_NORMAL		0% Intensity ¦ DISP_NORMAL		signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
213	SYS2-RA-212	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	RQ_DISP_INTS ¦ TGW_DISP_STAT	0% Intensity ¦ DISP_NORMAL		0% Intensity ¦ DISP_NORMAL		signal	SWE-DM-007 ¦ SWE-DM-008	glossary_phrase		heading 錨無逐字 leaf 片語；glossary 錨（R-DM22，區分大小寫）：SWE-DM-007←RVC->'Rear View Camera' @description；SWE-DM-008←RVC->'Rear View Camera' @description	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
