# RETRACTED 2026-08-24 by R-DM13 (下放包 03 §3.1/§3.3)。本檔以 bag-of-words token 重疊產出，對 SYS2 r31-r34 同時產生偽陰性與偽陽性（SWE-DM-004/005 被誤報為命中 0 列）。其 swe_dm 欄不得引用。取代者：coverage_sys2_vs_swe_dm.tsv（錨定法）。依 R-TM13 不刪除，加註保留。
sys2_row	sys2_feature_id	melco_id	sw_hw	swe_dm	basis
80	SYS-RA-DM-079		HW	無	無（最佳文字分數 1，SWE-DM-002 ['touch']）
82	SYS-RA-DM-081		HW	SWE-DM-002	Description 文字：共通 token 5 個 ['coordinates', 'dcsd', 'event', 'touch', 'valid']
83	SYS-RA-DM-082		HW	無	無（最佳文字分數 1，SWE-DM-002 ['touch']）
84	SYS-RA-DM-083		HW	SWE-DM-002	Description 文字：共通 token 3 個 ['coordinates', 'dcsd', 'touch']
86	SYS-RA-DM-085		HW	無	無（最佳文字分數 2，SWE-DM-002 ['coordinates', 'touch']）
87	SYS-RA-DM-086		HW	無	無（最佳文字分數 2，SWE-DM-002 ['dcsd', 'touch']）
88	SYS-RA-DM-087		HW	SWE-DM-002	Description 文字：共通 token 3 個 ['coordinates', 'dcsd', 'touch']
182	SYS2-RA-181		System	無	無（最佳文字分數 1，SWE-DM-005 ['determine']）
183	SYS2-RA-182		System	無	無（最佳文字分數 1，SWE-DM-003 ['screen']）
184	SYS2-RA-183		HW	SWE-DM-006	Description 文字：共通 token 3 個 ['events', 'priority', 'requests']
185	SYS2-RA-184		System	無	無（最佳文字分數 1，SWE-DM-005 ['determine']）
188	SYS2-RA-187		System	無	無（最佳文字分數 2，SWE-DM-003 ['normal', 'screen']）
189	SYS2-RA-188		System	無	無（最佳文字分數 2，SWE-DM-003 ['normal', 'screen']）
190	SYS2-RA-189		System	SWE-DM-006	Description 文字：共通 token 3 個 ['events', 'priority', 'requests']
192	SYS2-RA-191		System	無	無（最佳文字分數 2，SWE-DM-002 ['previous', 'touch']）
193	SYS2-RA-192		System	無	無（最佳文字分數 1，SWE-DM-001 ['send']）
194	SYS2-RA-193		System	無	無（最佳文字分數 1，SWE-DM-001 ['send']）
195	SYS2-RA-194		System	無	無（最佳文字分數 2，SWE-DM-003 ['normal', 'screen']）
201	SYS2-RA-200		System	無	無（最佳文字分數 1，SWE-DM-005 ['determine']）
202	SYS2-RA-201		System	無	無（最佳文字分數 1，SWE-DM-003 ['screen']）
203	SYS2-RA-202		System	無	無（最佳文字分數 1，SWE-DM-002 ['received']）
209	SYS2-RA-208		HW	無	無（最佳文字分數 2，SWE-DM-003 ['normal', 'screen']）
213	SYS2-RA-212		System	SWE-DM-008	Description 文字：共通 token 4 個 ['camera', 'rear', 'screen', 'view']
217	SYS2-RA-216		System	SWE-DM-008	Description 文字：共通 token 4 個 ['camera', 'rear', 'screen', 'view']
219	SYS2-RA-218		System	SWE-DM-008	Description 文字：共通 token 4 個 ['camera', 'rear', 'screen', 'view']
222	SYS2-RA-221		System	無	無（最佳文字分數 2，SWE-DM-001 ['conditions', 'send']）
226	SYS2-RA-225		System	SWE-DM-008	Description 文字：共通 token 4 個 ['camera', 'rear', 'screen', 'view']
238	SYS2-RA-237		System	無	無（最佳文字分數 2，SWE-DM-002 ['coordinates', 'touch']）
241	SYS2-RA-240		System	無	無（最佳文字分數 1，SWE-DM-001 ['send']）
245	SYS2-RA-244		SW	無	無（最佳文字分數 1，SWE-DM-002 ['event']）
246	SYS2-RA-245		SW	無	無（最佳文字分數 1，SWE-DM-002 ['touch']）
247	SYS2-RA-246		SW	無	無（最佳文字分數 2，SWE-DM-002 ['event', 'touch']）
248	SYS2-RA-247		SW	無	無（最佳文字分數 1，SWE-DM-002 ['event']）
249	SYS2-RA-248		SW	無	無（最佳文字分數 1，SWE-DM-002 ['touch']）
294	SYS2-RA-293		System	無	無（最佳文字分數 0）
295	SYS2-RA-294		System	無	無（最佳文字分數 1，SWE-DM-001 ['manage']）
296	SYS2-RA-295		System	無	無（最佳文字分數 0）
297	SYS2-RA-296		System	無	無（最佳文字分數 1，SWE-DM-001 ['manage']）
298	SYS2-RA-297		System	無	無（最佳文字分數 1，SWE-DM-003 ['screen']）
299	SYS2-RA-298		System	無	無（最佳文字分數 1，SWE-DM-003 ['screen']）
302	SYS2-RA-301		System	無	無（最佳文字分數 1，SWE-DM-004 ['logic']）
303	SYS2-RA-302		HW	無	無（最佳文字分數 1，SWE-DM-007 ['signal']）
314	SYS2-RA-313		System	無	無（最佳文字分數 1，SWE-DM-005 ['determine']）
