sys2_signal	lid_row	atl_high_signal_name	can	format	sna	dbc_file	dbc_msg_id	dbc_val_labels	resolved	note
ICSPowerButton	1039	DIS_CENTERSTACK.DCSD_Power	CAN-B	1 bit signal 0 = Button NOT pressed 1 = Button pressed	N/A	BHCAN2-R1	1445 DIS_CENTERSTACK tx=SGW	0 "Button_Not_Pressed" 1 "Button_Pressed"	Y	
ICSScreenOffButton	1044	CLIMATIC_PANEL.Radio_btn2	CAN-B	1 bit signal 0 = Not_Pressed (Screen Off button) 1 = Pressed (Screen Off button)		BHCAN2-R1	1050 CLIMATIC_PANEL tx=SGW	0 "Not_Pressed" 1 "Pressed"	Y	
ICSScreenOffButton	1044	DIS_CENTERSTACK.DCSD_Screen_Off	CAN-B	1 bit signal 0 = Not_Pressed (Screen Off button) 1 = Pressed (Screen Off button)		BHCAN2-R1	1445 DIS_CENTERSTACK tx=SGW	0 "Screen_Off_Not_Pressed" 1 "Screen_Off_Pressed"	Y	
ICS_KNOB1_DIR	1024	CLIMATIC_PANEL.Radio_Knob1_DIR	CAN-B	Atlantis 2 bit signal 0 = Knob_no_change 1 = Knob_increment 2 = Knob_decrement 3 = Knob_enter		BHCAN2-R1	1050 CLIMATIC_PANEL tx=SGW	0 "Knob_no_change" 1 "Knob_increment" 2 "Knob_decrement" 3 "Knob_enter"	Y	
ICS_KNOB1_DIR	1024	DIS_CENTERSTACK.DCSD_VOLKNOB_DIR	CAN-B	Atlantis 2 bit signal 0 = Knob_no_change 1 = Knob_increment 2 = Knob_decrement 3 = Knob_enter		BHCAN2-R1	1445 DIS_CENTERSTACK tx=SGW	0 "KNOB_NO_CHNG" 1 "KNOB_INC_POS" 2 "KNOB_DEC_NEG" 3 "KNOB_ENTER"	Y	
ICS_KNOB1_VAL	1025	CLIMATIC_PANEL.Radio_Knob1_VAL	CAN-B	Atlantis 6 bit signal 0 - +63 resolution = 1		BHCAN2-R1	1050 CLIMATIC_PANEL tx=SGW		Y	
ICS_KNOB1_VAL	1025	DIS_CENTERSTACK.DCSD_VOLKNOB_VAL	CAN-B	Atlantis 6 bit signal 0 - +63 resolution = 1		BHCAN2-R1	1445 DIS_CENTERSTACK tx=SGW		Y	
ICS_KNOB2_DIR	1026	CLIMATIC_PANEL.Radio_Knob2_DIR	CAN-B	Atlantis 2 bit signal 0 = Knob_no_change 1 = Knob_increment 2 = Knob_decrement 3 = Knob_enter		BHCAN2-R1	1050 CLIMATIC_PANEL tx=SGW	0 "Knob_no_change" 1 "Knob_increment" 2 "Knob_decrement" 3 "Knob_enter"	Y	
ICS_KNOB2_DIR	1026	DIS_CENTERSTACK.DCSD_TUNEKNOB_DIR	CAN-B	Atlantis 2 bit signal 0 = Knob_no_change 1 = Knob_increment 2 = Knob_decrement 3 = Knob_enter		BHCAN2-R1	1445 DIS_CENTERSTACK tx=SGW	0 "KNOB_NO_CHNG" 1 "KNOB_INC_POS" 2 "KNOB_DEC_NEG" 3 "KNOB_ENTER"	Y	
ICS_KNOB2_VAL	1027	CLIMATIC_PANEL.Radio_Knob2_VAL	CAN-B	Atlantis 6 bit signal 0-63 resolution = 1		BHCAN2-R1	1050 CLIMATIC_PANEL tx=SGW		Y	
ICS_KNOB2_VAL	1027	DIS_CENTERSTACK.DCSD_TUNEKNOB_VAL	CAN-B	Atlantis 6 bit signal 0-63 resolution = 1		BHCAN2-R1	1445 DIS_CENTERSTACK tx=SGW		Y	
RQ_DISP_INTS	1626	RADIO_B3.RQ_DISP_INTS	B-CAN	8 bit signal Range is 0-100% Factor is 0.5% Offset = 0 255 = SNA	255	BHCAN2-R1	1283 RADIO_B3 tx=ETM	255 "SNA"	Y	
TGW_DISP_STAT	2084	TELEMATIC_DISPLAY2.TGW_DISP_STATSts	CAN-B CAN-FD	CAN-BH: 0=Display_off 1= Diplay_closed 2=Normal_mode 3=DVD_menu 4=DVD_Setup 5=DVD_display 6=Mode_select_display 7=Rear_Camera_Display 8=On_blanked_screen 9=Splashscreen_Display A=Rear Entertainment HMI B=Rear Entertainment Full Screen Video C=DTV Program Display D= DTV fullscreen Video Display E=DTV Camera Video Display F= SNA	Fh	BHCAN2-R1	1500 TELEMATIC_DISPLAY2 tx=ETM	0 "Display_off" 1 "Display_closed" 2 "Normal_mode" 3 "DVD_menu" 4 "DVD_Setup" 5 "DVD_display" 6 "Mode_select_display" 7 "Rear_Camera_Display" 8 "On_blanked_screen" 9 "Splashscreen_Display" 10 "Rear Entertainment HMI" 11 "Rear Entertainment Full Screen Video " 12 "DTV Program Display" 13 "DTV fullscreen Video Display" 14 "DTV Camera Video Display" 15 "SNA"	Y	
TGW_DISP_STAT	2084	TELEMATIC_FD_4.TGW_DISP_STATSts	CAN-B CAN-FD	CAN-BH: 0=Display_off 1= Diplay_closed 2=Normal_mode 3=DVD_menu 4=DVD_Setup 5=DVD_display 6=Mode_select_display 7=Rear_Camera_Display 8=On_blanked_screen 9=Splashscreen_Display A=Rear Entertainment HMI B=Rear Entertainment Full Screen Video C=DTV Program Display D= DTV fullscreen Video Display E=DTV Camera Video Display F= SNA	Fh	FDCAN8-R1	1427 TELEMATIC_FD_4 tx=ETM	0 "Display_off" 1 "Display_closed" 2 "Normal_mode" 3 "DVD_menu" 4 "DVD_Setup" 5 "DVD_display" 6 "Mode_select_display" 7 "Rear_Camera_Display" 8 "On_blanked_screen" 9 "Splashscreen_Display" 10 "Rear Entertainment HMI" 11 "Rear Entertainment Full Screen Video " 12 "DTV Program Display" 13 "DTV fullscreen Video Display" 14 "DTV Camera Video Display" 15 "SNA"	Y	
Telematic_Power	2069	TELEMATIC_FD_4.PowerSts_Telematic	CAN_FD CAN-BH	0=Sleep 1=Standby 2=Timed 3=Idle 4=Full_Operation 5=Logistic_On 6=Bench 7=Partial_Operation		FDCAN8-R1	1427 TELEMATIC_FD_4 tx=ETM	0 "Sleep" 1 "Standby" 2 "Timed" 3 "Idle" 4 "Full_Operation" 5 "Logistic_On" 6 "Bench" 7 "Partial_Operation"	Y	
Telematic_Power	2069	STATUS_TELEMATIC.PowerSts_Telematic	CAN_FD CAN-BH	0=Sleep 1=Standby 2=Timed 3=Idle 4=Full_Operation 5=Logistic_On 6=Bench 7=Partial_Operation		BHCAN2-R1	1470 STATUS_TELEMATIC tx=ETM	0 "Sleep" 1 "Standby" 2 "Timed" 3 "Idle" 4 "Full_Operation" 5 "Logistic_On" 6 "Bench" 7 "Partial_Operation"	Y	
