lid_row	logical_identifier	function	atlantis_signal_name	lookup_key	proxi_row	proxi_values	related_leaf	anchor_kind	note	keyword_note
30	BDL_PRSNT	Bed Lowering Present						none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['EC_AudTel3B <BDL_PRSNT>', 'BDL_PRSNT']	
31	BSSPresent	Blind-Spot Module (1=present)	<CAN node 51 (LBSS)> <CAN node 52 (RBSS)> Blind_Spot_Monitoring (only used for 332BEV project)					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['<CAN node 51 (LBSS)>', '<CAN node 52 (RBSS)>', 'Blind_Spot_Monitoring (only used for 332BEV project)', 'Proxi_CAN_ nod_ent)', 'BSSPresent']	
32	CabinEQ	Cabin EQ	<Acustic_Configuration>					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['<Acustic_Configuration>', 'Proxi_<Acustic_Configuration>', 'CabinEQ']	
33	Car_Shape_Configuration	PROXI parameter that defines Car Body Shapes	Car_Configuration_10.Car_Shape_Configuration	Logical Identifier=Car_Shape_Configuration	305	0 = Invalid 1 = Sedan 2 = Station Wagon 3 = Cargo 4 = Combi 5 = Panorama 6 = Cabrio 7 = Hatch 8 = SUV 9 = CUV 10 = Truck		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r305（Parameter Group: Car_Configuration_10；查詢鍵 Logical Identifier=Car_Shape_Configuration）	
34	CARB_Regulation_Type	Configuration Parameter for CARB	PROXI: CARB_Regulation_Type	Logical Identifier=CARB_Regulation_Type	1052	0 = Not requested 1 = CARB_Regulation_Type_1		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r1052（Parameter Group: （空）；查詢鍵 Logical Identifier=CARB_Regulation_Type）	
35	CCDMF_Present	CCDMF Presence	CAN node 94 (CCDMF)	Atlantis Signal Name=CAN node 94 (CCDMF)	100	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r100（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=CAN node 94 (CCDMF)）	
36	Cell_Presence		Cell_Presence	Atlantis Signal Name=Cell_Presence ¦ Logical Identifier=Cell_Presence	544	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r544（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Cell_Presence ¦ Logical Identifier=Cell_Presence）	
37	Clima_Zone		Clima_Zone	Atlantis Signal Name=Clima_Zone ¦ Logical Identifier=Clima_Zone	515	0 = Mono Zone 1 = 2 Zone 2 = 3 Zone 3 = 4 Zone		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r515（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Clima_Zone ¦ Logical Identifier=Clima_Zone）	
38	Climate_Type	HVAC Configuration	Climate_Type	Atlantis Signal Name=Climate_Type ¦ Logical Identifier=Climate_Type	343	0 = Absent 1 = Manual 2 = Automatic		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r343（Parameter Group: Climate_configuration_1；查詢鍵 Atlantis Signal Name=Climate_Type ¦ Logical Identifier=Climate_Type）	
39	Cluster_Display_Type	Cluster Display Type	Cluster_Display_Type	Atlantis Signal Name=Cluster_Display_Type ¦ Logical Identifier=Cluster_Display_Type	489	0 = Absent 1 = Base Display (3.5 inch) 2 = Medium Display (7 inch) 3 = High Display (12 inch) 4 = TFT B/W Display 5 = TFT Color display		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r489（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Cluster_Display_Type ¦ Logical Identifier=Cluster_Display_Type）	僅揭露，非錨：Disp
40	Configuration_Families	Configuration Families	Configuration_Families	Atlantis Signal Name=Configuration_Families ¦ Logical Identifier=Configuration_Families	419	0 = Invalid 1 = Type 1 2 = Type 2		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r419（Parameter Group: Chassis_Configuration_4；查詢鍵 Atlantis Signal Name=Configuration_Families ¦ Logical Identifier=Configuration_Families）	
41	Connected_Services_Presence		Connected_Services_Presence	Atlantis Signal Name=Connected_Services_Presence ¦ Logical Identifier=Connected_Services_Presence	609	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r609（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Connected_Services_Presence ¦ Logical Identifier=Connected_Services_Presence）	
42	Cooled_Seats	Cooled Seat Presence	Cooled_Seats	Atlantis Signal Name=Cooled_Seats ¦ Logical Identifier=Cooled_Seats	330	0 = Absent 1 = Front Seats 2 = Front And Rear Seats 3 = Not Used		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r330（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Cooled_Seats ¦ Logical Identifier=Cooled_Seats）	
43	Country_Code	Country Code	Car_Configuration_16.Country_Code	Logical Identifier=Country_Code	468	0 = World 2 = United States of America 4 = Canada 14 = Mexico 16 = China Mainland 18 = Bahrain 97 = Iraq 104 = Jordan 108 = Kuwait 112 = Lebanon 149 = Oman 160 = Qatar 165 = Saudi Arabia 204 = United Arab Emirates 215 = Yemen		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r468（Parameter Group: Car_Configuration_16；查詢鍵 Logical Identifier=Country_Code）	
44	CPD	ANC Calibration Parameter Dataset	<ANC Calibration Parameter Dataset>					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['<ANC Calibration Parameter Dataset>', 'Proxi_CAN_ Cal_aset', 'CPD']	
45	Creep_Present	PROXI Parameter defining presence of xEV Creep setting	Creeping_Feature	Atlantis Signal Name=Creeping_Feature	816	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r816（Parameter Group: Powertrain_Configuration_6；查詢鍵 Atlantis Signal Name=Creeping_Feature）	
46	DAB_Presence	DAB/DMB present	DAB_Presence	Atlantis Signal Name=DAB_Presence ¦ Logical Identifier=DAB_Presence	541	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r541（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=DAB_Presence ¦ Logical Identifier=DAB_Presence）	
47	DCM_DPresent	Door Control Module Driver (1=present)	PROXI					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['PROXI', 'NetCfg_DCM_DR', 'DCM_DPresent']	
48	DCM_PPresent	DCM Pass Present	CAN node 17 (PDM)	Atlantis Signal Name=CAN node 17 (PDM)	23	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r23（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=CAN node 17 (PDM)）	
49	DCM_RLPresent	DCM RL Present						none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['NetCfg_DCM_RL', 'DCM_RLPresent']	
50	DCM_RRPresent	DCM RR Present						none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['NetCfg_DCM_RR', 'DCM_RRPresent']	
51	DCSD_cfg	DCSD Present	CAN node 31 (DCSD)	Atlantis Signal Name=CAN node 31 (DCSD)	37	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r37（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=CAN node 31 (DCSD)）	僅揭露，非錨：DCSD
52	DEFROST_Cfg		DEFROST_Cfg					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['DEFROST_Cfg', 'DEFROST_Cfg']	
53	DEFROST_MODE_PRSNT_cfg	Rear Heated Window and/or Heated Mirror present						none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['EC_AudTel3B-<DEFROST_MODE_PRSNT>', 'DEFROST_MODE_PRSNT_cfg']	
54	Digital_Key_Present	Feature present	Digital_Key_Present					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['Digital_Key_Present', 'Digital_Key_Present']	
55	Displacement		Engine_Type	Atlantis Signal Name=Engine_Type	303	0 = Invalid 1 = Type1 (ESL - 6.4L V8 HEMI Upgrade HD ENGINE)) 2 = Type2 (ETM - 6.7L I6 CUMMINS HO TURBO DIESEL ENGINE) 3 = Type3 (ESD - 6.2L SUPERCHARGED HEMI V8 SRT ENGINE) 4 = Type4 (ETN - 6.7L I6 CUMMINS TURBO DIESEL ENGINE) 5 = Type5 (EFH - 3.0L I6 TWIN TURBO ENGINE W/ESS) 6 = Type6 (EZH - 5.7L V8 HEMI MDS ENGINE) 7 = Type 7 (EL3 - 800V HT700 FR/RR w/3.0L Poseidon Aux)) 8 = Type8 (ERG - 3.6L V6 24V VVT ETorque) 9 = Type9 (ESG - 6.4L V8 SRT Hemi MDS) 10 = Type10 (EZL - 5.7L V8 Hemi MDS VVT BSG) 11 = Type11 (EFC - 3.0L I6 HURRICANE HO Twin Turbo W/ESS) 12 = Type12 (EL5 - 800V HT350 RR w/3.0L Poseidon Aux)) 13 = Type13 (EL2 – 400V G2500 FR/RR W/3.6L AUX PWR) 14 = Type 14 (ELD - 400V G2500 FR/RR ELEC DRIVE) 15 = Type 15 (EFE - 3.0L I6 Hurricane SO / T/Turbo w/o ESS)		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r303（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Engine_Type）	僅揭露，非錨：Disp
56	Driver_Power_Seat_Variants	Power Seat Variant	Driver_Power_Seat_Variants	Atlantis Signal Name=Driver_Power_Seat_Variants ¦ Logical Identifier=Driver_Power_Seat_Variants	792	0 = Absent 1 = cushion, height, and backrest adjustment 2 = cushion, height, and tilt adjustment 3 = cushion, height, tilt, and backrest adjustment 4 = cushion, height, tilt, backrest, cushion ext., and back bolsters adjustment 5 = cushion, height, tilt, backrest, cushion ext., cushion bolsters, and horizontal and vertical headrest adjustment 6 = cushion, height, tilt, backrest, cushion ext., cushion and back bolsters, horizontal and vertical headrest adjustment		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r792（Parameter Group: Car_Configuration_42；查詢鍵 Atlantis Signal Name=Driver_Power_Seat_Variants ¦ Logical Identifier=Driver_Power_Seat_Variants）	
57	DriverSide	Left/right hand drive configuration	Car_Configuration_1.Driver_Side					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['Car_Configuration_1.Driver_Side', 'D_fxe_LhandrigLeft', 'DriverSide']	
58	DriveStyleSelector_presence		Drive_Style_Selector	Atlantis Signal Name=Drive_Style_Selector	414	0 = Absent 1 = Drive Selector 2 = Terrain Selector		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r414（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Drive_Style_Selector）	
59	DrowsyDriverAlert_presence		Driver_Drowsy_Alert	Atlantis Signal Name=Driver_Drowsy_Alert	707	0 = Absent 1 = Present on VP 2 = Present on IPC 3 = Present on IPC and VP		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r707（Parameter Group: Adas_Configuration_3；查詢鍵 Atlantis Signal Name=Driver_Drowsy_Alert）	
60	DSBL_CD_EJCT	disable disc eject	n/a					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['n/a', 'EC_AudTel2-<DSBL_CD_EJCT >', 'DSBL_CD_EJCT']	
61	Dsbl_Nav_Lkout	Disable Navigation lockout	n/a					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['n/a', 'kosxo_Digatle Disa', 'Dsbl_Nav_Lkout']	
62	DSM_Presence		CAN node 18					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['CAN node 18', 'DSM_Presence']	
63	DSP_SK_PRSNT		Display_OFF_SoftKey_Prsnt					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['Display_OFF_SoftKey_Prsnt', 'EC_AudTel2-<DSP_SK_PRSNT>', 'DSP_SK_PRSNT']	
64	DSP_SK_PRSNT	Display off soft key present	Display_OFF_SoftKey	Atlantis Signal Name=Display_OFF_SoftKey	692	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r692（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Display_OFF_SoftKey）	僅揭露，非錨：Disp
65	DTV_FrntCam_PRSNT	DTV Front Camera Present	DTV_Front_Cam_Presence	Atlantis Signal Name=DTV_Front_Cam_Presence	464	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r464（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=DTV_Front_Cam_Presence）	僅揭露，非錨：Camera
66	DTV_PRSNT_NC	Non-CAN DTV module present	Digital_Television_Feature	Atlantis Signal Name=Digital_Television_Feature	312	0 = Disabled 1 = Enabled		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r312（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Digital_Television_Feature）	
67	DTV_SideCam_PRSNT	DTV Side Camera Present	DTV_Side_Cam_Presence	Atlantis Signal Name=DTV_Side_Cam_Presence	465	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r465（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=DTV_Side_Cam_Presence）	僅揭露，非錨：Camera
68	E_Coasting_Adjustable_Levels	PROXI Parameter defining number of e-Coasting Levels (if set to none, feature is not present) 2-5 Levels possible	E_Coasting_Adjustable_Levels					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['E_Coasting_Adjustable_Levels', 'E_Coasting_Adjustable_Levels']	
69	EC_AudTel1A	Audio and telematics ecu configuration 1A	N/A					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['N/A', 'EC_AudTel1A', 'EC_AudTel1A']	
70	EC_AudTel1B	Audio and telematics ecu configuration 1B	Not Applicable					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['Not Applicable', 'Tedx _Aelem anAudi', 'EC_AudTel1B']	
71	EC_AudTel2	Audio and telematics ecu configuration 2	Not Applicable					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['Not Applicable', 'dTdx_Aelem anAudi', 'EC_AudTel2']	
72	EC_Cluster1A	Cluster configuration	Not Applicable					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['Not Applicable', 'EC_Cluster1A', 'EC_Cluster1A']	
73	EC_ECUCfg16_Stat	ECU16 config status	Not Applicable					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['Not Applicable', 'EC_ECUCfg16_Stat', 'EC_ECUCfg16_Stat']	
74	EC_ECUCfg3_Stat	ECU Configuration messages status 3	Not Applicable					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['Not Applicable', 'EC_ECUCfg3_Stat', 'EC_ECUCfg3_Stat']	
75	EC_Mirror_HK_Prsnt	EC Mirror Hard Key present	EC_Mirror_Hard_Button_Present	Atlantis Signal Name=EC_Mirror_Hard_Button_Present	630	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r630（Parameter Group: Car_Configuration_29；查詢鍵 Atlantis Signal Name=EC_Mirror_Hard_Button_Present）	
76	Ecall_Button_Config		Ecall_Button_Config	Atlantis Signal Name=Ecall_Button_Config ¦ Logical Identifier=Ecall_Button_Config	730	0 = Absent 1 = Hardwired 2 = Virtual (CAN/LIN) 3 = Hardwire - only TBM call		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r730（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Ecall_Button_Config ¦ Logical Identifier=Ecall_Button_Config）	
77	Ecall_Button_Variant	SOS/Help Text swap	Ecall_Button_Variant	Atlantis Signal Name=Ecall_Button_Variant ¦ Logical Identifier=Ecall_Button_Variant	871	0 = SOS Button 1 = HELP Button		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r871（Parameter Group: telematic_Configuration_4；查詢鍵 Atlantis Signal Name=Ecall_Button_Variant ¦ Logical Identifier=Ecall_Button_Variant）	
78	Emission_Regulation_Type	Configuration Parameter for Euro7	PROXI: Emission_Regulation_Type	Logical Identifier=Emission_Regulation_Type	1044	0 = Not requested 1 = Emission Regulation Type_1		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r1044（Parameter Group: （空）；查詢鍵 Logical Identifier=Emission_Regulation_Type）	
79	Engine_Torque_MAX	See proxi file	Engine_Torque_Parameter_MAX	Atlantis Signal Name=Engine_Torque_Parameter_MAX	606			proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r606（Parameter Group: Infotainment_Configuration_18；查詢鍵 Atlantis Signal Name=Engine_Torque_Parameter_MAX）	
80	EngineAspiration		Engine_Type	Atlantis Signal Name=Engine_Type	303	0 = Invalid 1 = Type1 (ESL - 6.4L V8 HEMI Upgrade HD ENGINE)) 2 = Type2 (ETM - 6.7L I6 CUMMINS HO TURBO DIESEL ENGINE) 3 = Type3 (ESD - 6.2L SUPERCHARGED HEMI V8 SRT ENGINE) 4 = Type4 (ETN - 6.7L I6 CUMMINS TURBO DIESEL ENGINE) 5 = Type5 (EFH - 3.0L I6 TWIN TURBO ENGINE W/ESS) 6 = Type6 (EZH - 5.7L V8 HEMI MDS ENGINE) 7 = Type 7 (EL3 - 800V HT700 FR/RR w/3.0L Poseidon Aux)) 8 = Type8 (ERG - 3.6L V6 24V VVT ETorque) 9 = Type9 (ESG - 6.4L V8 SRT Hemi MDS) 10 = Type10 (EZL - 5.7L V8 Hemi MDS VVT BSG) 11 = Type11 (EFC - 3.0L I6 HURRICANE HO Twin Turbo W/ESS) 12 = Type12 (EL5 - 800V HT350 RR w/3.0L Poseidon Aux)) 13 = Type13 (EL2 – 400V G2500 FR/RR W/3.6L AUX PWR) 14 = Type 14 (ELD - 400V G2500 FR/RR ELEC DRIVE) 15 = Type 15 (EFE - 3.0L I6 Hurricane SO / T/Turbo w/o ESS)		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r303（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Engine_Type）	
