section_id	outline_number	polarion_id	phys_row	chars
9.5.1	9.5.1	NRL-145550	123	226
9.5.2	9.5.2	NRL-145551	124	274
9.5.3	9.5.3	NRL-145552	125	158
9.6	9.6	NRL-145553	126	348
9.6.1	9.6.1	NRL-145554	127	233
9.7	9.7	NRL-145555	128	156
9.7.1	9.7.1	NRL-145556	129	114
9.7.2	9.7.2	NRL-145557	130	143
9.8	9.8	NRL-145558	131	237
9.9	9.9	NRL-145559	132	85
10	10	NRL-145560	133	17
10.1	10.1	NRL-145561	134	184
10.2	10.2	NRL-145562	135	333
10.3	10.3	NRL-145563	136	124
10.3.1	10.3.1	NRL-145564	137	337
11	11	NRL-145565	138	21
11.1	11.1	NRL-145566	139	47
11.2	11.2	NRL-145567	140	130
11.3	11.3	NRL-145568	141	193
11.3.1	11.3.1	NRL-145569	142	203
11.4	11.4	NRL-145570	143	712
11.5	11.5	NRL-145571	144	306
12	12	NRL-145572	145	10
12.1	12.1	NRL-145573	146	236
12.1.1	12.1.1	NRL-145574	147	216
12.2	12.2	NRL-145575	148	157
12.2.1	12.2.1	NRL-145576	149	191
12.3	12.3	NRL-145577	150	80
12.3.1	12.3.1	NRL-145578	151	74
12.3.2	12.3.2	NRL-145579	152	144
12.3.3	12.3.3	NRL-145580	153	91
12.4	12.4	NRL-145581	154	169
12.5	12.5	NRL-145582	155	105
12.6	12.6	NRL-145583	156	196
12.7	12.7	NRL-145584	157	143
12.8	12.8	NRL-145585	158	463
12.8.1	12.8.1	NRL-145586	159	348
12.8.2	12.8.2	NRL-145587	160	150
12.9	12.9	NRL-145588	161	166
12.10	12.10	NRL-145589	162	217
12.10.1	12.10.1	NRL-145590	163	65
13	13	NRL-145591	164	18
13.1	13.1	NRL-145592	165	225
13.2	13.2	NRL-145593	166	282
13.3	13.3	NRL-145594	167	96
14	14	NRL-145595	168	17
14.1	14.1	NRL-145596	169	351
14.2	14.2	NRL-145597	170	219
