# pending_judgements.tsv — 待判之判定登記（G-A，42 包 §二）
#
# **這張表不是豁免名單。** 每一列都帶 `digest`（該 TC 之 pre_conditions／
# test_procedure／expected_result／remarks／specification_reference／
# design_method 之 sha1 前 12 碼）。**該 TC 一被改動，digest 即不符，
# 它自動回到待判清單**（`audit_pending.py` 之 PJ-2）。
#
# 欄：
#   scan          掃描代號
#   tc_id         條號
#   verdict       成立 / 不成立
#   disposition   judged-closed（已判定並登記）；空白且逾三輪 → G-A 逾期（PJ-3）
#   digest        受檢欄位之摘要，由程式產生**不得手填**
#   carried_at_42 立案於 42 輪時已帶之輪數（記錄用，非判準）
#   reason        **逐條之理由，不得以「同上」帶過**
#
# 42 輪之全量判定：43 條全部判為「不成立」。
# 其意義**不是**「這五支掃描沒有用」，而是「它們縮小之範圍已被讀完一次」——
# 其後之價值全在 digest：**改動即回列**。
# 45 輪：AB-1（ER 與前步紀錄之比對，兩端並排）16 條入表。
# 其中 `148`／`154` 為本輪修正後之形 —— 修正前之判定不適用（digest 已變）。
scan	tc_id	verdict	disposition	digest	carried_at_42	reason
V-1	NR1L-UserProfiles-064	不成立	judged-closed	b480a69ca6fe	11	`prior to activating Valet Mode` 與 `upon deactivating` **確為時序要求**，而本條之步驟即「先記錄手套箱狀態 → 啟用 → 停用 → 比對」，順序一致
V-1	NR1L-UserProfiles-065	不成立	judged-closed	61c358e39c92	11	`before system cancels` 為**次數用盡之後果**（10 次），本條之 procedure 依次數而非時刻推進，順序一致
V-1	NR1L-UserProfiles-066	不成立	judged-closed	27c8181a9c1c	11	`before system cancels` 為**次數用盡之後果**（10 次），本條之 procedure 依次數而非時刻推進，順序一致
V-1	NR1L-UserProfiles-088	不成立	judged-closed	80af61cc1d12	11	`saved before the new Profile is loaded` **確為時序要求**，本條 ER2 即斷言 B 之值不是 A 所改之值 —— 順序已由該斷言承載
V-1	NR1L-UserProfiles-089	不成立	judged-closed	0a6b25ad33ed	11	`At the start of a new key cycle` **確為時序要求**，本條之 procedure 於 key-on 之時讀取現用 profile，順序一致（32 輪 V-1 之 TC-091 即為此類，已修正）
V-1	NR1L-UserProfiles-090	不成立	judged-closed	04645cdeab37	11	`At the start of a new key cycle` **確為時序要求**，本條之 procedure 於 key-on 之時讀取現用 profile，順序一致（32 輪 V-1 之 TC-091 即為此類，已修正）
V-1	NR1L-UserProfiles-091	不成立	judged-closed	bceff55b5971	11	`At the start of a new key cycle` **確為時序要求**，本條之 procedure 於 key-on 之時讀取現用 profile，順序一致（32 輪 V-1 之 TC-091 即為此類，已修正）
V-1	NR1L-UserProfiles-106	不成立	judged-closed	b06485f21005	11	`before creating a different new Profile` 陳述的是**不必要性**（不需先客製化），非時序要求
V-1	NR1L-UserProfiles-115	不成立	judged-closed	43b661f74202	9	`before creating a new one` 在 **PU0584 之 popup 文字**內，是給使用者看的句子，不約束測試步驟之順序
V-1	NR1L-UserProfiles-116	不成立	judged-closed	822d06e78278	9	`before creating a new one` 在 **PU0584 之 popup 文字**內，是給使用者看的句子，不約束測試步驟之順序
V-1	NR1L-UserProfiles-150	不成立	judged-closed	d4609f99165a	3	`upon vehicle entry` 為顯示之時點，本條步驟 1 即 ignition on 後讀取，順序一致
V-1	NR1L-UserProfiles-171	不成立	judged-closed	2378c77a4634	2	`before saving/completing setup` 陳述的是**不必先選**（自動 highlight 之目的），非時序要求；本條之 procedure 不依賴該順序
V-1	NR1L-UserProfiles-172	不成立	judged-closed	7389c9f64986	2	`before saving/completing setup` 陳述的是**不必先選**（自動 highlight 之目的），非時序要求；本條之 procedure 不依賴該順序
U-1	NR1L-UserProfiles-002	不成立	judged-closed	8afda289a1bd	12	PU1088 之兩個觸發皆為「回復預設之確認」，本條 pre-condition 已固定其一（4.1.1 之現用 profile 側），ER 綁得住
U-1	NR1L-UserProfiles-031	不成立	judged-closed	238dcb4ba4d5	12	PU0588 之兩句觸發同為「存到他人所連之座椅」，9.6 與 5.10.1 為同一行為之兩處記載，分支唯一
U-1	NR1L-UserProfiles-082	不成立	judged-closed	63ba8d36e0a2	12	同 `002` —— 4.1.1 之另一個 leaf，pre-condition 同樣固定了分支　**48 輪重判**：digest 因交付淨化（「上游未決事項」改為「上游素材未齊」）而變，**受比對之 procedure／ER 兩欄未動**，原判定不變。
U-1	NR1L-UserProfiles-128	不成立	judged-closed	19c117a75d97	9	本條 procedure **明寫於 PU0588 選 No**（35 輪 X-1 所補），分支已由該步驟綁定
U-1	NR1L-UserProfiles-131	不成立	judged-closed	b0014c440ca8	9	pre-condition 固定「現用者非該座椅之連結者」，即 PU0588 兩個觸發中之一側
U-1	NR1L-UserProfiles-132	不成立	judged-closed	0c63543dd2f7	9	同 `131`，另加「現用 profile 原無座椅」之分支條件
U-1	NR1L-UserProfiles-133	不成立	judged-closed	4363ec62f45e	9	同 `131`，另加「現用 profile 原有座椅」之分支條件
Q-1	NR1L-UserProfiles-013	不成立	judged-closed	84aa5ae60ee2	18	Table CPA2 之欄名逐列轉錄，其形態已由子層列舉標示（Q-1 之界線本身）
Q-1	NR1L-UserProfiles-018	不成立	judged-closed	6f69ea3b3be1	18	ER 逐字沿用被引之節之措辭 —— **§8.4.1 要求不自擬**，而該節之用語即最精確之表達；本條之 ER 行仍為可觀察之結果句，非條文之整句照抄
Q-1	NR1L-UserProfiles-021	不成立	judged-closed	29edb039be82	18	ER 逐字沿用被引之節之措辭 —— **§8.4.1 要求不自擬**，而該節之用語即最精確之表達；本條之 ER 行仍為可觀察之結果句，非條文之整句照抄
Q-1	NR1L-UserProfiles-037	不成立	judged-closed	6c7fed103b5b	18	ER 逐字沿用被引之節之措辭 —— **§8.4.1 要求不自擬**，而該節之用語即最精確之表達；本條之 ER 行仍為可觀察之結果句，非條文之整句照抄
Q-1	NR1L-UserProfiles-054	不成立	judged-closed	48c5312d463c	18	ER 逐字沿用被引之節之措辭 —— **§8.4.1 要求不自擬**，而該節之用語即最精確之表達；本條之 ER 行仍為可觀察之結果句，非條文之整句照抄
Q-1	NR1L-UserProfiles-062	不成立	judged-closed	1b5316eb9f0d	18	ER 逐字沿用被引之節之措辭 —— **§8.4.1 要求不自擬**，而該節之用語即最精確之表達；本條之 ER 行仍為可觀察之結果句，非條文之整句照抄
Q-1	NR1L-UserProfiles-063	不成立	judged-closed	ea10895632ba	18	ER 逐字沿用被引之節之措辭 —— **§8.4.1 要求不自擬**，而該節之用語即最精確之表達；本條之 ER 行仍為可觀察之結果句，非條文之整句照抄
Q-1	NR1L-UserProfiles-098	不成立	judged-closed	f42f7c08bee1	15	ER 逐字沿用被引之節之措辭 —— **§8.4.1 要求不自擬**，而該節之用語即最精確之表達；本條之 ER 行仍為可觀察之結果句，非條文之整句照抄
Q-1	NR1L-UserProfiles-104	不成立	judged-closed	8e026a5b756a	15	ER 逐字沿用被引之節之措辭 —— **§8.4.1 要求不自擬**，而該節之用語即最精確之表達；本條之 ER 行仍為可觀察之結果句，非條文之整句照抄
Q-1	NR1L-UserProfiles-129	不成立	judged-closed	3d7100f690b3	9	ER 逐字沿用被引之節之措辭 —— **§8.4.1 要求不自擬**，而該節之用語即最精確之表達；本條之 ER 行仍為可觀察之結果句，非條文之整句照抄
Q-1	NR1L-UserProfiles-131	不成立	judged-closed	b0014c440ca8	9	ER 逐字沿用被引之節之措辭 —— **§8.4.1 要求不自擬**，而該節之用語即最精確之表達；本條之 ER 行仍為可觀察之結果句，非條文之整句照抄
Q-1	NR1L-UserProfiles-139	不成立	judged-closed	b44f5b25407a	3	`all Profiles are cleared and the default Profiles are restored` 為 5.13.1 之**適用條件**，改寫會使該條件之範圍改變
Q-1	NR1L-UserProfiles-146	不成立	judged-closed	00c240142772	3	`the Core HMI Logic and Flow truncation rules` 為**外部文件之專名**，改寫即失其指涉
AB-1	NR1L-UserProfiles-004	不成立	judged-closed	21a70014029e	1	兩端皆為**同一組三個位置**（步驟 2 所設 vs 步驟 5 所讀），中間事件為 key cycle —— 判別力在該事件：不存者 key-on 後即不符
AB-1	NR1L-UserProfiles-045	不成立	judged-closed	c66e9467a8e5	1	兩端皆為現用 profile 之偏好（Valet 前 vs 退出後），中間事件為 Valet 之進出；ER2 另以「**not** those recorded in step 1」作反向對照，故非恆真
AB-1	NR1L-UserProfiles-084	不成立	judged-closed	74642a8a4e2c	1	兩端同物而中間事件為 key cycle（4.3 之本體即跨 key cycle 之保留）
AB-1	NR1L-UserProfiles-085	不成立	judged-closed	7ed088e8a7a2	1	**主詞已指名** `Driver Profile B's own value` —— 兩端不同物，且同句另以 differs 斷言其不等於步驟 1 所記者
AB-1	NR1L-UserProfiles-086	不成立	judged-closed	9e49c07140dd	1	同 `085`，觸發途徑為記憶座椅鍵
AB-1	NR1L-UserProfiles-087	不成立	judged-closed	d8d95c45110c	1	同 `085`，觸發途徑為 key fob
AB-1	NR1L-UserProfiles-088	不成立	judged-closed	80af61cc1d12	1	兩端皆為 A 之偏好，中間事件為「切到 B 再切回 A」—— 4.3.1 所驗者即該切換前之保存
AB-1	NR1L-UserProfiles-101	不成立	judged-closed	42f519253157	1	兩端皆為狀態列圖示，中間事件為切換 profile，且 ER 為 **differs**（要求它變），非 unchanged
AB-1	NR1L-UserProfiles-129	不成立	judged-closed	3d7100f690b3	1	兩端皆為座椅位置，中間事件為行車中之移動嘗試 —— 不動才是斷言
AB-1	NR1L-UserProfiles-130	不成立	judged-closed	37293d20ce67	1	**主詞已指名** `The seat position stored for Driver Profile B` —— 兩端為「所存之值」與「所讀之新位置」，不同物
AB-1	NR1L-UserProfiles-137	不成立	judged-closed	2455d19292d1	1	兩端皆為 profile 順序，中間事件為編輯記憶座椅連結 —— 5.12.2 所驗者即該編輯不改順序
AB-1	NR1L-UserProfiles-144	不成立	judged-closed	cf3ab6abf2c4	1	ER 為 **differs**（拖曳後順序須變），兩端同物而斷言其不等 —— 恆真之反面
AB-1	NR1L-UserProfiles-148	不成立	judged-closed	2b09770bbb9c	1	**45 輪已修正**：兩端指名為現用 Driver Profile 之偏好（設定前後兩時點）；中間事件為 avatar 步驟，於 base 變體上正是 CPA 介入之處，故非恆真　**48 輪重判**：digest 因 remarks 之交付淨化（刪去內部登記表字樣）而變，**受比對之 procedure／ER 兩欄未動**，故原判定不變。
AB-1	NR1L-UserProfiles-154	不成立	judged-closed	fcc0dd89d007	1	**45 輪已修正（AB-1 之標的）**：兩端改為**兩個不同的 profile** —— A 端為新建 profile 之偏好，B 端為步驟 1 所記之現用 profile 之偏好；ER 斷言其**相同**（carry-over 成立），非「未改變」
AB-1	NR1L-UserProfiles-184	不成立	judged-closed	93ffe6a9ccda	1	**兩端已各自指名**：A 端 `The new Profile's preferences`、B 端步驟 1 之 `Driver Profile A` —— 不同物
AB-1	NR1L-UserProfiles-187	不成立	judged-closed	ef7f89d7de77	1	同 `101`：兩端皆為狀態列圖示而 ER 為 differs，中間事件為完成新增設定
