# source_sha256	72411efdd597482bc1b3bb394dbba002107feb27dca33bd6934b46008668994c	 sheet	Instructions
		FM-WI-FSM-035-A02	
品質特性\nQuality Characteristics	可行性 \n\nFeasibility	應確認該需求是可以實現的。 \n\nThe requirement should be confirmed that it is achievable.	
	影響 \n\nImpact	對於成本、時程、運行環境的影響需被分析及列出\n\nThe impacts on cost, schedule, and operating environment shall be analyzed and documented.	
	風險因素 \n\nRisk Factor	需求的風險因素意味著無法在專案中按時交付預期功能的因素。\n\nRisk factors of requirements mean that factors that do not able to deliver expected functions on time in the project.\n\nHigh: \n這項需求從未開發過應設置為高風險。\nThe requirement never been developed should be set to High Risk. \n不合理的時程安排，應該具有高風險。\nUnrealistic schedule, it should have High risk.\n\nMedium: \n對於需求外包，至少應設置為中風險。\nFor requirements outsourced, it should be set to Medium risk. \n重用性高或低應設置為中風險。\nThe reusability is High or Low should be set to Medium risk.\n\nLow: \n重用性 100%應設置為低風險。\nThe reusability is 100% should be set to Low risk.	
可重用性 (Reusability)	可重用\nReusable	重用項編碼與此需求可重覆使用的百分比。\nThe reuse item ID & percentage of reusable for this requirement.\n\n• 此欄位可選完全，高，低和無。 指南是 :\nThis field can been selected: Fully, High, Low and None. The Guidelines are:\n\n。 完全 (100%):該需求與先前的需求相同。\nFully (100%): The requirement is the same as previous requirement.\n\n。 高 (>= 50%): 該需求可以重複使用超過先前需求的50％，但不能完全重複使用。\nHigh (>= 50%): The requirement can reuse above 50% of previous requirement, but not fully reuseable.\n\n。 低 (< 50%): 該需求與先前的需求部分相似，並且再利用部分低於先前需求的50％。\nLow (< 50%): The requirement is partially like previous requirement and the reuse part is under 50% of previous requirement.\n\n。 無 (0%): 新需求。\nNone (0%): New requirement.\n	
	可重用的描述 (Description/Action for Reusable)	描述”可重用百分比”的原因\nTo describe the reason for the percentage of Reusable\n	
驗證標準與方法 Verification Criteria & Method	驗證標準\nVerification Criteria	此需求的驗證標準。\nVerification Criteria for this requirement.	
	驗證方法\nVerification Method	此需求的驗證方法。\nVerification Method for this requirement.	
與硬體關聯\nRelation with HW	與硬體關聯\nRelation with HW	判斷是否與該硬體相關 (參考6.3.3.D)\nDetermine whether it is related to the specified hardware (refer to section 6.3.3.D).	
	USB	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	Bluetooth	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	GPS	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	WiFi	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	Acoustic DSPs Except CDSP	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	Radio Tuner (FM/AM, DAB, HD), etc.	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	VICS Tuner	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	Gyro Sensor	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	CCD/DVD Mechanical	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	eMMC/SD	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	NOR Flash	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	CAN	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	MOST	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	Vehicular Signals (Hardwired)	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	Camera	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	Sub Display	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	Drive Recorder	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	DTV	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	Microphone	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	HDMI	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
	External Amp	如果此需求與之相關，請打勾\nIf this requirement is relevant, please check it.	
