LID	Arch	ArchColumn	SignalName	CAN	Format	SNA	SourceRow
GPSDateTmSecond	Atlantis High	Atlantis High (col 26-30)	TELEMATIC_FD_1.GPS_UTC_Second	FD	Atlantis / 16 bit signal / 0 - 59.99 seconds / resolution = .01 sec		860
GPSDateTmSecond	Atlantis Mid	Atlantis (col 16-20)	GPS_POS3.GPS_POS3_Date_Seconds	CAN-B	Atlantis / 16 bit signal / 0 - 59.99 seconds / resolution = .01 sec		860
GPSDateTmYear	Atlantis High	Atlantis High (col 26-30)	TELEMATIC_FD_1.GPS_Date_Year	FD	Atlantis / 16 bit signal / 0 - 65534 Years / resolution = 1 Year		861
GPSDateTmYear	Atlantis Mid	Atlantis (col 16-20)	GPS_POS3.GPS_POS3_Date_Year	(NO SEGMENT)	Atlantis / 16 bit signal / 0 - 65534 Years / resolution = 1 Year		861
GPSDateTmMonth	Atlantis High	Atlantis High (col 26-30)	TELEMATIC_FD_1.GPS_Date_Month	FD	Atlantis / 8 bit signal / 1 - 12 Months / resolution = 1 Month		859
GPSDateTmMonth	Atlantis Mid	Atlantis (col 16-20)	GPS_POS3.GPS_POS3_Date_Month	(NO SEGMENT)	Atlantis / 8 bit signal / 1 - 12 Months / resolution = 1 Month		859
GPSDateTmDay	Atlantis High	Atlantis High (col 26-30)	TELEMATIC_FD_1.GPS_Date_Day	FD	Atlantis / 8 bit signal / 1 - 31 Days / resolution = 1 Day		856
GPSDateTmDay	Atlantis Mid	Atlantis (col 16-20)	GPS_POS3.GPS_POS3_Date_Day	(NO SEGMENT)	Atlantis / 8 bit signal / 1 - 31 Days / resolution = 1 Day		856
TLM_MANAGED_TIME_DATE_Hour	Atlantis High	Atlantis High (col 26-30)	(NO SIGNAL)	(NO SIGNAL)	(NO SIGNAL)	(NO SIGNAL)	2121
TLM_MANAGED_TIME_DATE_Hour	Atlantis Mid	Atlantis (col 16-20)	TLM_MANAGED_TIME_DATE.Hour1_TLM_Master / TLM_MANAGED_TIME_DATE.Hour2_TLM_Master	CAN-B	4 bits each / 0 to 9 (digit 1) / 0 to 9 (digit 2)		2121
TLM_MANAGED_TIME_DATE_Minute	Atlantis High	Atlantis High (col 26-30)	(NO SIGNAL)	(NO SIGNAL)	(NO SIGNAL)	(NO SIGNAL)	2122
TLM_MANAGED_TIME_DATE_Minute	Atlantis Mid	Atlantis (col 16-20)	TLM_MANAGED_TIME_DATE.Minute1_TLM_Master / TLM_MANAGED_TIME_DATE.Minute2_TLM_Master	CAN-B	4 bits each / 0 to 9 (digit 1) / 0 to 9 (digit 2)		2122
TLM_MANAGED_TIME_DATE_Day	Atlantis High	Atlantis High (col 26-30)	(NO SIGNAL)	(NO SIGNAL)	(NO SIGNAL)	(NO SIGNAL)	2120
TLM_MANAGED_TIME_DATE_Day	Atlantis Mid	Atlantis (col 16-20)	TLM_MANAGED_TIME_DATE.Day1_TLM_Master / TLM_MANAGED_TIME_DATE.Day2_TLM_Master	CAN-B	4 bits each / 0 to 9 (digit 1) / 0 to 9 (digit 2)		2120
TLM_MANAGED_TIME_DATE_Month	Atlantis High	Atlantis High (col 26-30)	(NO SIGNAL)	(NO SIGNAL)	(NO SIGNAL)	(NO SIGNAL)	2123
TLM_MANAGED_TIME_DATE_Month	Atlantis Mid	Atlantis (col 16-20)	TLM_MANAGED_TIME_DATE.Month1_TLM_Master / TLM_MANAGED_TIME_DATE.Month2_TLM_Master	CAN-B	4 bits each / 0 to 9 (digit 1) / 0 to 9 (digit 2)		2123
TLM_MANAGED_TIME_DATE_Year	Atlantis High	Atlantis High (col 26-30)	(NO SIGNAL)	(NO SIGNAL)	(NO SIGNAL)	(NO SIGNAL)	2124
TLM_MANAGED_TIME_DATE_Year	Atlantis Mid	Atlantis (col 16-20)	TLM_MANAGED_TIME_DATE.Year1_TLM_Master / TLM_MANAGED_TIME_DATE.Year2_TLM_Master / TLM_MANAGED_TIME_DATE.Year3_TLM_Master / TLM_MANAGED_TIME_DATE.Year4_TLM_Master	CAN-B	4 bits each / 0 to 9 (digit 1) / 0 to 9 (digit 2) / 0 to 9 (digit 3) / 0 to 9 (digit 4)		2124
