req_id	source_req_ids	title	description	categorization	sub_categorization	priority	verification_criteria	verification_method	description_raw	vc_raw	had_x000D
SWE1-RA-Driver_Distraction-011	SYS-RA-Driver_Distraction-118	Locked Out State	AC1:\nWhen the signal simulation tool sends vehicle signals that change the Lock Out State to RESTRICTED\nAnd DD Service provides restriction-state judgment and notification, and HMI provides feature lockout\nCase [Normal]the state becomes RESTRICTED while the user is using a restricted feature\nThen DD Service reports RESTRICTED and HMI displays the driver-distraction lockout notification	Functional	Driver_Distraction	High	1. DD Service reports RESTRICTED and HMI displays the driver-distraction lockout notification	1. Use the signal simulation tool to send a speed above 5 MPH or another RESTRICTED condition\n2. Operate the corresponding HMI feature and confirm the expected lockout behavior	AC1:\nWhen the signal simulation tool sends vehicle signals that change the Lock Out State to RESTRICTED\nAnd DD Service provides restriction-state judgment and notification, and HMI provides feature lockout\nCase [Normal]the state becomes RESTRICTED while the user is using a restricted feature\nThen DD Service reports RESTRICTED and HMI displays the driver-distraction lockout notification	1. DD Service reports RESTRICTED and HMI displays the driver-distraction lockout notification	no
SWE1-RA-Driver_Distraction-012	SYS-RA-Driver_Distraction-118	Locked Out State	AC2:\nWhen the signal simulation tool stops transmitting a vehicle message required for DD judgment\nAnd DD Service provides signal-timeout fail-safe behavior, and HMI applies lockout for RESTRICTED\nCase [Exception]a required vehicle signal is unavailable\nThen DD Service outputs RESTRICTED and HMI keeps the corresponding feature locked	Functional	Driver_Distraction	High	1. State is RESTRICTED after the required signal timeout\n2. HMI keeps the corresponding feature locked	1. Stop transmitting the message required by the current Type using the signal simulation tool\n2. After the signal timeout, confirm that HMI remains locked	AC2:\nWhen the signal simulation tool stops transmitting a vehicle message required for DD judgment\nAnd DD Service provides signal-timeout fail-safe behavior, and HMI applies lockout for RESTRICTED\nCase [Exception]a required vehicle signal is unavailable\nThen DD Service outputs RESTRICTED and HMI keeps the corresponding feature locked	1. State is RESTRICTED after the required signal timeout\n2. HMI keeps the corresponding feature locked	no
SWE1-RA-Driver_Distraction-013	SYS-RA-Driver_Distraction-120	Locked Out State	AC1:\nWhen the signal simulation tool sends vehicle signals that change the Lock Out State to RESTRICTED\nAnd DD Service provides restriction-state judgment and notification, and HMI provides feature lockout\nCase [Normal]HMI has selected the applicable lockout table and judgment Type for the All architecture\nThen DD Service outputs RESTRICTED and HMI locks features marked L/O in the table	Functional	Driver_Distraction	High	1. DD Service outputs RESTRICTED and HMI locks features marked L/O in the table	1. Use the signal simulation tool to send a speed above 5 MPH or another RESTRICTED condition\n2. Operate the corresponding HMI feature and confirm the expected lockout behavior	AC1:\nWhen the signal simulation tool sends vehicle signals that change the Lock Out State to RESTRICTED\nAnd DD Service provides restriction-state judgment and notification, and HMI provides feature lockout\nCase [Normal]HMI has selected the applicable lockout table and judgment Type for the All architecture\nThen DD Service outputs RESTRICTED and HMI locks features marked L/O in the table	1. DD Service outputs RESTRICTED and HMI locks features marked L/O in the table	no
SWE1-RA-Driver_Distraction-014	SYS-RA-Driver_Distraction-120	Locked Out State	AC2:\nWhen the signal simulation tool stops transmitting a vehicle message required for DD judgment\nAnd DD Service provides signal-timeout fail-safe behavior, and HMI applies lockout for RESTRICTED\nCase [Exception]a required vehicle signal is unavailable\nThen DD Service outputs RESTRICTED and HMI keeps the corresponding feature locked	Functional	Driver_Distraction	High	1. State is RESTRICTED after the required signal timeout\n2. HMI keeps the corresponding feature locked	1. Stop transmitting the message required by the current Type using the signal simulation tool\n2. After the signal timeout, confirm that HMI remains locked	AC2:\nWhen the signal simulation tool stops transmitting a vehicle message required for DD judgment\nAnd DD Service provides signal-timeout fail-safe behavior, and HMI applies lockout for RESTRICTED\nCase [Exception]a required vehicle signal is unavailable\nThen DD Service outputs RESTRICTED and HMI keeps the corresponding feature locked	1. State is RESTRICTED after the required signal timeout\n2. HMI keeps the corresponding feature locked	no
SWE1-RA-Driver_Distraction-015	SYS-RA-Driver_Distraction-121	Locked Out State	AC1:\nWhen the signal simulation tool sends vehicle signals that change the Lock Out State to RESTRICTED\nAnd DD Service provides restriction-state judgment and notification, and HMI provides feature lockout\nCase [Normal]DD Service outputs RESTRICTED and HMI locks features marked L/O in the table	Functional	Driver_Distraction	High	1. DD Service outputs RESTRICTED and HMI locks features marked L/O in the table	1. Use the signal simulation tool to send a speed above 5 MPH or another RESTRICTED condition\n2. Operate the corresponding HMI feature and confirm the expected lockout behavior	AC1:\nWhen the signal simulation tool sends vehicle signals that change the Lock Out State to RESTRICTED\nAnd DD Service provides restriction-state judgment and notification, and HMI provides feature lockout\nCase [Normal]DD Service outputs RESTRICTED and HMI locks features marked L/O in the table	1. DD Service outputs RESTRICTED and HMI locks features marked L/O in the table	no
SWE1-RA-Driver_Distraction-016	SYS-RA-Driver_Distraction-121	Locked Out State	AC2:\nWhen the signal simulation tool stops transmitting a vehicle message required for DD judgment\nAnd DD Service provides signal-timeout fail-safe behavior, and HMI applies lockout for RESTRICTED\nCase [Exception]a required vehicle signal is unavailable\nThen DD Service outputs RESTRICTED and HMI keeps the corresponding feature locked	Functional	Driver_Distraction	High	1. State is RESTRICTED after the required signal timeout\n2. HMI keeps the corresponding feature locked	1. Stop transmitting the message required by the current Type using the signal simulation tool\n2. After the signal timeout, confirm that HMI remains locked	AC2:\nWhen the signal simulation tool stops transmitting a vehicle message required for DD judgment\nAnd DD Service provides signal-timeout fail-safe behavior, and HMI applies lockout for RESTRICTED\nCase [Exception]a required vehicle signal is unavailable\nThen DD Service outputs RESTRICTED and HMI keeps the corresponding feature locked	1. State is RESTRICTED after the required signal timeout\n2. HMI keeps the corresponding feature locked	no
SWE1-RA-Driver_Distraction-017	SYS-RA-Driver_Distraction-125; SYS-RA-Driver_Distraction-126	"VC_Trans_Equipped
PresentGear"	AC1:\nWhen Country_Code is Hong Kong\nAnd DD Service obtains valid VC_Trans_Equipped and PresentGear inputs\nCase [Normal]VC_Trans_Equipped is Automatic and PresentGear is P\nThen DD Service sets the Lock Out State to NOT_RESTRICTED and notifies the subscribed Listener	Functional	Driver_Distraction	High	1. When Country_Code is Hong Kong, transmission is Automatic, and PresentGear is P, the Lock Out State is NOT_RESTRICTED\n2. The subscribed Listener receives a NOT_RESTRICTED notification	1. Preset Country_Code to Hong Kong\n2. Preset VC_Trans_Equipped to Automatic\n3. Use the signal simulation tool to set PresentGear to P\n4. Confirm that the Lock Out State and Listener callback are NOT_RESTRICTED	AC1:\nWhen Country_Code is Hong Kong\nAnd DD Service obtains valid VC_Trans_Equipped and PresentGear inputs\nCase [Normal]VC_Trans_Equipped is Automatic and PresentGear is P\nThen DD Service sets the Lock Out State to NOT_RESTRICTED and notifies the subscribed Listener	1. When Country_Code is Hong Kong, transmission is Automatic, and PresentGear is P, the Lock Out State is NOT_RESTRICTED\n2. The subscribed Listener receives a NOT_RESTRICTED notification	no
SWE1-RA-Driver_Distraction-018	SYS-RA-Driver_Distraction-125; SYS-RA-Driver_Distraction-126	"VC_Trans_Equipped
PresentGear"	AC2:\nWhen Country_Code is Hong Kong\nAnd DD Service cannot obtain valid VC_Trans_Equipped or PresentGear input\nCase [Exception]the transmission configuration or dynamic gear input required for judgment is unavailable\nThen DD Service sets the Lock Out State to RESTRICTED and notifies the subscribed Listener	Functional	Driver_Distraction	High	1. When Country_Code is Hong Kong and a required input is unavailable, the Lock Out State is RESTRICTED\n2. The subscribed Listener receives a RESTRICTED notification	1. Preset Country_Code to Hong Kong\n2. Stop or suppress PresentGear updates, or make VC_Trans_Equipped unavailable through fault injection\n3. After the agreed input timeout, confirm that the Lock Out State and Listener callback are RESTRICTED	AC2:\nWhen Country_Code is Hong Kong\nAnd DD Service cannot obtain valid VC_Trans_Equipped or PresentGear input\nCase [Exception]the transmission configuration or dynamic gear input required for judgment is unavailable\nThen DD Service sets the Lock Out State to RESTRICTED and notifies the subscribed Listener	1. When Country_Code is Hong Kong and a required input is unavailable, the Lock Out State is RESTRICTED\n2. The subscribed Listener receives a RESTRICTED notification	no
SWE1-RA-Driver_Distraction-019	SYS-RA-Driver_Distraction-125; SYS-RA-Driver_Distraction-127	"VC_Trans_Equipped
PresentGear"	AC1:\nWhen Country_Code is Hong Kong\nAnd DD Service obtains valid VC_Trans_Equipped and PresentGear inputs\nCase [Normal]VC_Trans_Equipped is Automatic and PresentGear is not P\nThen DD Service sets the Lock Out State to RESTRICTED and notifies the subscribed Listener	Functional	Driver_Distraction	High	1. When Country_Code is Hong Kong, transmission is Automatic, and PresentGear is not P, the Lock Out State is RESTRICTED\n2. The subscribed Listener receives a RESTRICTED notification	1. Preset Country_Code to Hong Kong\n2. Preset VC_Trans_Equipped to Automatic\n3. Use the signal simulation tool to set PresentGear to a value other than P\n4. Confirm that the Lock Out State and Listener callback are RESTRICTED	AC1:\nWhen Country_Code is Hong Kong\nAnd DD Service obtains valid VC_Trans_Equipped and PresentGear inputs\nCase [Normal]VC_Trans_Equipped is Automatic and PresentGear is not P\nThen DD Service sets the Lock Out State to RESTRICTED and notifies the subscribed Listener	1. When Country_Code is Hong Kong, transmission is Automatic, and PresentGear is not P, the Lock Out State is RESTRICTED\n2. The subscribed Listener receives a RESTRICTED notification	no
SWE1-RA-Driver_Distraction-020	SYS-RA-Driver_Distraction-125; SYS-RA-Driver_Distraction-127	"VC_Trans_Equipped
PresentGear"	AC2:\nWhen Country_Code is Hong Kong\nAnd DD Service cannot obtain valid VC_Trans_Equipped or PresentGear input\nCase [Exception]the transmission configuration or dynamic gear input required for judgment is unavailable\nThen DD Service sets the Lock Out State to RESTRICTED and notifies the subscribed Listener	Functional	Driver_Distraction	High	1. When Country_Code is Hong Kong and a required input is unavailable, the Lock Out State is RESTRICTED\n2. The subscribed Listener receives a RESTRICTED notification	1. Preset Country_Code to Hong Kong\n2. Stop or suppress PresentGear updates, or make VC_Trans_Equipped unavailable through fault injection\n3. After the agreed input timeout, confirm that the Lock Out State and Listener callback are RESTRICTED	AC2:\nWhen Country_Code is Hong Kong\nAnd DD Service cannot obtain valid VC_Trans_Equipped or PresentGear input\nCase [Exception]the transmission configuration or dynamic gear input required for judgment is unavailable\nThen DD Service sets the Lock Out State to RESTRICTED and notifies the subscribed Listener	1. When Country_Code is Hong Kong and a required input is unavailable, the Lock Out State is RESTRICTED\n2. The subscribed Listener receives a RESTRICTED notification	no
SWE1-RA-Driver_Distraction-021	SYS-RA-Driver_Distraction-125; SYS-RA-Driver_Distraction-128	"VC_Trans_Equipped
PARK_BRK_EGD"	AC1:\nWhen Country_Code is Hong Kong\nAnd DD Service obtains valid VC_Trans_Equipped and PARK_BRK_EGD inputs\nCase [Normal]VC_Trans_Equipped is Manual and PARK_BRK_EGD is ON\nThen DD Service sets the Lock Out State to NOT_RESTRICTED and notifies the subscribed Listener	Functional	Driver_Distraction	High	1. When Country_Code is Hong Kong, transmission is Manual, and PARK_BRK_EGD is ON, the Lock Out State is NOT_RESTRICTED\n2. The subscribed Listener receives a NOT_RESTRICTED notification	1. Preset Country_Code to Hong Kong\n2. Preset VC_Trans_Equipped to Manual\n3. Use the signal simulation tool to set PARK_BRK_EGD to ON\n4. Confirm that the Lock Out State and Listener callback are NOT_RESTRICTED	AC1:\nWhen Country_Code is Hong Kong\nAnd DD Service obtains valid VC_Trans_Equipped and PARK_BRK_EGD inputs\nCase [Normal]VC_Trans_Equipped is Manual and PARK_BRK_EGD is ON\nThen DD Service sets the Lock Out State to NOT_RESTRICTED and notifies the subscribed Listener	1. When Country_Code is Hong Kong, transmission is Manual, and PARK_BRK_EGD is ON, the Lock Out State is NOT_RESTRICTED\n2. The subscribed Listener receives a NOT_RESTRICTED notification	no
SWE1-RA-Driver_Distraction-022	SYS-RA-Driver_Distraction-125; SYS-RA-Driver_Distraction-128	"VC_Trans_Equipped
PARK_BRK_EGD"	AC2:\nWhen Country_Code is Hong Kong\nAnd DD Service cannot obtain valid VC_Trans_Equipped or PARK_BRK_EGD input\nCase [Exception]the transmission configuration or parking-brake input required for judgment is unavailable\nThen DD Service sets the Lock Out State to RESTRICTED and notifies the subscribed Listener	Functional	Driver_Distraction	High	1. When Country_Code is Hong Kong and a required input is unavailable, the Lock Out State is RESTRICTED\n2. The subscribed Listener receives a RESTRICTED notification	1. Preset Country_Code to Hong Kong\n2. Stop or suppress PARK_BRK_EGD updates, or make VC_Trans_Equipped unavailable through fault injection\n3. After the agreed input timeout, confirm that the Lock Out State and Listener callback are RESTRICTED	AC2:\nWhen Country_Code is Hong Kong\nAnd DD Service cannot obtain valid VC_Trans_Equipped or PARK_BRK_EGD input\nCase [Exception]the transmission configuration or parking-brake input required for judgment is unavailable\nThen DD Service sets the Lock Out State to RESTRICTED and notifies the subscribed Listener	1. When Country_Code is Hong Kong and a required input is unavailable, the Lock Out State is RESTRICTED\n2. The subscribed Listener receives a RESTRICTED notification	no
SWE1-RA-Driver_Distraction-023	SYS-RA-Driver_Distraction-125; SYS-RA-Driver_Distraction-129	"VC_Trans_Equipped
PARK_BRK_EGD"	AC1:\nWhen Country_Code is Hong Kong\nAnd DD Service obtains valid VC_Trans_Equipped and PARK_BRK_EGD inputs\nCase [Normal]VC_Trans_Equipped is Manual and PARK_BRK_EGD is OFF\nThen DD Service sets the Lock Out State to RESTRICTED and notifies the subscribed Listener	Functional	Driver_Distraction	High	1. When Country_Code is Hong Kong, transmission is Manual, and PARK_BRK_EGD is OFF, the Lock Out State is RESTRICTED\n2. The subscribed Listener receives a RESTRICTED notification	1. Preset Country_Code to Hong Kong\n2. Preset VC_Trans_Equipped to Manual\n3. Use the signal simulation tool to set PARK_BRK_EGD to OFF\n4. Confirm that the Lock Out State and Listener callback are RESTRICTED	AC1:\nWhen Country_Code is Hong Kong\nAnd DD Service obtains valid VC_Trans_Equipped and PARK_BRK_EGD inputs\nCase [Normal]VC_Trans_Equipped is Manual and PARK_BRK_EGD is OFF\nThen DD Service sets the Lock Out State to RESTRICTED and notifies the subscribed Listener	1. When Country_Code is Hong Kong, transmission is Manual, and PARK_BRK_EGD is OFF, the Lock Out State is RESTRICTED\n2. The subscribed Listener receives a RESTRICTED notification	no
SWE1-RA-Driver_Distraction-024	SYS-RA-Driver_Distraction-125; SYS-RA-Driver_Distraction-129	"VC_Trans_Equipped
PARK_BRK_EGD"	AC2:\nWhen Country_Code is Hong Kong\nAnd DD Service cannot obtain valid VC_Trans_Equipped or PARK_BRK_EGD input\nCase [Exception]the transmission configuration or parking-brake input required for judgment is unavailable\nThen DD Service sets the Lock Out State to RESTRICTED and notifies the subscribed Listener	Functional	Driver_Distraction	High	1. When Country_Code is Hong Kong and a required input is unavailable, the Lock Out State is RESTRICTED\n2. The subscribed Listener receives a RESTRICTED notification	1. Preset Country_Code to Hong Kong\n2. Stop or suppress PARK_BRK_EGD updates, or make VC_Trans_Equipped unavailable through fault injection\n3. After the agreed input timeout, confirm that the Lock Out State and Listener callback are RESTRICTED	AC2:\nWhen Country_Code is Hong Kong\nAnd DD Service cannot obtain valid VC_Trans_Equipped or PARK_BRK_EGD input\nCase [Exception]the transmission configuration or parking-brake input required for judgment is unavailable\nThen DD Service sets the Lock Out State to RESTRICTED and notifies the subscribed Listener	1. When Country_Code is Hong Kong and a required input is unavailable, the Lock Out State is RESTRICTED\n2. The subscribed Listener receives a RESTRICTED notification	no
SWE1-RA-Driver_Distraction-025	SYS-RA-Driver_Distraction-125; SYS-RA-Driver_Distraction-132	Speedometer	AC1:\nWhen Country_Code is Hong Kong\nAnd DD Service obtains a valid Speedometer value\nCase [Normal]vehicle speed increases from below 5 MPH to 5 MPH or above\nThen DD Service sets the Lock Out State to RESTRICTED and notifies the subscribed Listener	Functional	Driver_Distraction	High	1. When Country_Code is Hong Kong and vehicle speed is 5 MPH or above, the Lock Out State is RESTRICTED\n2. The subscribed Listener receives a RESTRICTED notification	1. Preset Country_Code to Hong Kong\n2. Use the signal simulation tool to send a speed below 5 MPH and then increase it to 5 MPH or above\n3. Confirm that the Lock Out State and Listener callback are RESTRICTED	AC1:\nWhen Country_Code is Hong Kong\nAnd DD Service obtains a valid Speedometer value\nCase [Normal]vehicle speed increases from below 5 MPH to 5 MPH or above\nThen DD Service sets the Lock Out State to RESTRICTED and notifies the subscribed Listener	1. When Country_Code is Hong Kong and vehicle speed is 5 MPH or above, the Lock Out State is RESTRICTED\n2. The subscribed Listener receives a RESTRICTED notification	no
SWE1-RA-Driver_Distraction-026	SYS-RA-Driver_Distraction-125; SYS-RA-Driver_Distraction-132	Speedometer	AC2:\nWhen Country_Code is Hong Kong\nAnd DD Service cannot obtain a valid Speedometer value\nCase [Exception]the speed input required for judgment times out or is invalid\nThen DD Service sets the Lock Out State to RESTRICTED and notifies the subscribed Listener	Functional	Driver_Distraction	High	1. When Country_Code is Hong Kong and the speed input is unavailable, the Lock Out State is RESTRICTED\n2. The subscribed Listener receives a RESTRICTED notification	1. Preset Country_Code to Hong Kong\n2. Use the signal simulation tool to stop or suppress Speedometer updates\n3. After the agreed speed-input timeout, confirm that the Lock Out State and Listener callback are RESTRICTED	AC2:\nWhen Country_Code is Hong Kong\nAnd DD Service cannot obtain a valid Speedometer value\nCase [Exception]the speed input required for judgment times out or is invalid\nThen DD Service sets the Lock Out State to RESTRICTED and notifies the subscribed Listener	1. When Country_Code is Hong Kong and the speed input is unavailable, the Lock Out State is RESTRICTED\n2. The subscribed Listener receives a RESTRICTED notification	no
SWE1-RA-Driver_Distraction-027	SYS-RA-Driver_Distraction-125; SYS-RA-Driver_Distraction-133	Speedometer	AC1:\nWhen Country_Code is Hong Kong\nAnd DD Service obtains a valid Speedometer value\nCase [Normal]vehicle speed decreases from above 3 MPH to 3 MPH or below\nThen DD Service sets the Lock Out State to NOT_RESTRICTED and notifies the subscribed Listener	Functional	Driver_Distraction	High	1. When Country_Code is Hong Kong and vehicle speed is 3 MPH or below, the Lock Out State is NOT_RESTRICTED\n2. The subscribed Listener receives a NOT_RESTRICTED notification	1. Preset Country_Code to Hong Kong\n2. Use the signal simulation tool to send a speed above 3 MPH and then reduce it to 3 MPH or below\n3. Confirm that the Lock Out State and Listener callback are NOT_RESTRICTED	AC1:\nWhen Country_Code is Hong Kong\nAnd DD Service obtains a valid Speedometer value\nCase [Normal]vehicle speed decreases from above 3 MPH to 3 MPH or below\nThen DD Service sets the Lock Out State to NOT_RESTRICTED and notifies the subscribed Listener	1. When Country_Code is Hong Kong and vehicle speed is 3 MPH or below, the Lock Out State is NOT_RESTRICTED\n2. The subscribed Listener receives a NOT_RESTRICTED notification	no
