req_id	stla_id	doc	section	section_title	resolution
SWE-RA-SXM-043	4872820	CFTS024	1.5.9.1	Favorites - Store/Delete	reqif
SWE-RA-SXM-044	4872821	CFTS024	1.5.9.1	Favorites - Store/Delete	reqif
SWE-RA-SXM-045	4872822	CFTS024	1.5.9.1	Favorites - Store/Delete	reqif
SWE-RA-SXM-046	4872823	CFTS024	1.5.9.1	Favorites - Store/Delete	reqif
SWE-RA-SXM-047	4872824	CFTS024	1.5.9.1	Favorites - Store/Delete	reqif
SWE-RA-SXM-048	4872825	CFTS024	1.5.9.1	Favorites - Store/Delete	reqif
SWE-RA-SXM-049	4872827	CFTS024	1.5.9.1	Favorites - Store/Delete	reqif
SWE-RA-SXM-050	4872828	CFTS024	1.5.9.1	Favorites - Store/Delete	reqif
SWE-RA-SXM-051	4872829	CFTS024	1.5.9.1	Favorites - Store/Delete	reqif
SWE-RA-SXM-052	4872830	CFTS024	1.5.9.1	Favorites - Store/Delete	reqif
SWE-RA-SXM-053	4872831	CFTS024	1.5.9.1	Favorites - Store/Delete	reqif
SWE-RA-SXM-054	4872832	CFTS024	1.5.9.1	Favorites - Store/Delete	reqif
SWE-RA-SXM-055	4872834	CFTS024	1.5.9.2	Activation	reqif
SWE-RA-SXM-056	4872835	CFTS024	1.5.9.2	Activation	reqif
SWE-RA-SXM-057	4872836	CFTS024	1.5.9.2	Activation	reqif
SWE-RA-SXM-058	4872837	CFTS024	1.5.9.2	Activation	reqif
SWE-RA-SXM-059	4872838	CFTS024	1.5.9.2	Activation	reqif
SWE-RA-SXM-060	4872839	CFTS024	1.5.9.2	Activation	reqif
SWE-RA-SXM-061	4872840	CFTS024	1.5.9.2	Activation	reqif
SWE-RA-SXM-062	4872841	CFTS024	1.5.9.2	Activation	reqif
SWE-RA-SXM-063	4872843	CFTS024	1.5.10	Instant Replay	reqif
SWE-RA-SXM-064	4872844	CFTS024	1.5.10	Instant Replay	reqif
SWE-RA-SXM-065	4872845	CFTS024	1.5.10	Instant Replay	reqif
SWE-RA-SXM-066	4872846	CFTS024	1.5.10	Instant Replay	reqif
SWE-RA-SXM-067	4872847	CFTS024	1.5.10	Instant Replay	reqif
SWE-RA-SXM-068	4872848	CFTS024	1.5.10	Instant Replay	reqif
SWE-RA-SXM-069	4872850	CFTS024	1.5.10.1	Pause	reqif
SWE-RA-SXM-070	4872851	CFTS024	1.5.10.1	Pause	reqif
SWE-RA-SXM-071	4872852	CFTS024	1.5.10.1	Pause	reqif
SWE-RA-SXM-072	4872853	CFTS024	1.5.10.1	Pause	reqif
SWE-RA-SXM-073	4872854	CFTS024	1.5.10.1	Pause	reqif
SWE-RA-SXM-074	4872855	CFTS024	1.5.10.1	Pause	reqif
SWE-RA-SXM-075	4872856	CFTS024	1.5.10.1	Pause	reqif
SWE-RA-SXM-076	4872858	CFTS024	1.5.10.2	Play	reqif
SWE-RA-SXM-077	4872859	CFTS024	1.5.10.2	Play	reqif
SWE-RA-SXM-078	4872860	CFTS024	1.5.10.2	Play	reqif
SWE-RA-SXM-079	4872861	CFTS024	1.5.10.2	Play	reqif
SWE-RA-SXM-080	4872862	CFTS024	1.5.10.2	Play	reqif
SWE-RA-SXM-081	4872863	CFTS024	1.5.10.2	Play	reqif
SWE-RA-SXM-082	4872865	CFTS024	1.5.10.3	Rewind	reqif
SWE-RA-SXM-083	4872866	CFTS024	1.5.10.3	Rewind	reqif
SWE-RA-SXM-084	4872867	CFTS024	1.5.10.3	Rewind	reqif
SWE-RA-SXM-085	4872868	CFTS024	1.5.10.3	Rewind	reqif
SWE-RA-SXM-086	4872869	CFTS024	1.5.10.3	Rewind	reqif
SWE-RA-SXM-087	4872871	CFTS024	1.5.10.4	Fast Forward	reqif
SWE-RA-SXM-088	4872872	CFTS024	1.5.10.4	Fast Forward	reqif
SWE-RA-SXM-089	4872873	CFTS024	1.5.10.4	Fast Forward	reqif
SWE-RA-SXM-090	4872874	CFTS024	1.5.10.4	Fast Forward	reqif
SWE-RA-SXM-091	4872875	CFTS024	1.5.10.4	Fast Forward	reqif
SWE-RA-SXM-092	4872876	CFTS024	1.5.10.4	Fast Forward	reqif
SWE-RA-SXM-093	4872878	CFTS024	1.5.11	Sirius Browse	reqif
SWE-RA-SXM-094	4872879	CFTS024	1.5.11	Sirius Browse	reqif
SWE-RA-SXM-095	4872881	CFTS024	1.5.11	Sirius Browse	reqif
SWE-RA-SXM-096	4872882	CFTS024	1.5.11	Sirius Browse	reqif
SWE-RA-SXM-097	4872883	CFTS024	1.5.11	Sirius Browse	reqif
SWE-RA-SXM-098	4872885	CFTS024	1.5.11	Sirius Browse	reqif
SWE-RA-SXM-099	4872886	CFTS024	1.5.11	Sirius Browse	reqif
SWE-RA-SXM-100	4872887	CFTS024	1.5.11	Sirius Browse	reqif
SWE-RA-SXM-101	4872888	CFTS024	1.5.11	Sirius Browse	reqif
SWE-RA-SXM-102	4872889	CFTS024	1.5.11	Sirius Browse	reqif
SWE-RA-SXM-103	4872890	CFTS024	1.5.11	Sirius Browse	reqif
SWE-RA-SXM-104	4872892	CFTS024	1.5.12	Browse All Channels	reqif
SWE-RA-SXM-105	4872894	CFTS024	1.5.12	Browse All Channels	reqif
SWE-RA-SXM-106	4872896	CFTS024	1.5.12	Browse All Channels	reqif
SWE-RA-SXM-107	4872898	CFTS024	1.5.12.1	Browse Presets	reqif
SWE-RA-SXM-108	4872899	CFTS024	1.5.12.1	Browse Presets	reqif
SWE-RA-SXM-109	4872900	CFTS024	1.5.12.1	Browse Presets	reqif
SWE-RA-SXM-110	4872901	CFTS024	1.5.12.1	Browse Presets	reqif
SWE-RA-SXM-111	4872903	CFTS024	1.5.12.1.1	Browse Genre	reqif
SWE-RA-SXM-112	4872904	CFTS024	1.5.12.1.1	Browse Genre	reqif
SWE-RA-SXM-113	4872911	CFTS024	1.5.12.1.2	Browse Game Alerts/ Game Zone	reqif
SWE-RA-SXM-114	4872912	CFTS024	1.5.12.1.2	Browse Game Alerts/ Game Zone	reqif
SWE-RA-SXM-115	4872913	CFTS024	1.5.12.1.2	Browse Game Alerts/ Game Zone	reqif
SWE-RA-SXM-116	4872914	CFTS024	1.5.12.1.2	Browse Game Alerts/ Game Zone	reqif
SWE-RA-SXM-117	4872915	CFTS024	1.5.12.1.2	Browse Game Alerts/ Game Zone	reqif
SWE-RA-SXM-118	4872916	CFTS024	1.5.12.1.2	Browse Game Alerts/ Game Zone	reqif
SWE-RA-SXM-119	4872917	CFTS024	1.5.12.1.2	Browse Game Alerts/ Game Zone	reqif
SWE-RA-SXM-120	4872918	CFTS024	1.5.12.1.2	Browse Game Alerts/ Game Zone	reqif
SWE-RA-SXM-121	4872921	CFTS024	1.5.12.1.3	Browse Jump / Browse Traffic/Weather	reqif
SWE-RA-SXM-122	4872922	CFTS024	1.5.12.1.3	Browse Jump / Browse Traffic/Weather	reqif
SWE-RA-SXM-123	4872923	CFTS024	1.5.12.1.3	Browse Jump / Browse Traffic/Weather	reqif
SWE-RA-SXM-124	4872925	CFTS024	1.5.12.1.4	Browse Favorites (FAV)	reqif
SWE-RA-SXM-125	4872926	CFTS024	1.5.12.1.4	Browse Favorites (FAV)	reqif
SWE-RA-SXM-126	4872927	CFTS024	1.5.12.1.4	Browse Favorites (FAV)	reqif
SWE-RA-SXM-127	4872928	CFTS024	1.5.12.1.4	Browse Favorites (FAV)	reqif
SWE-RA-SXM-128	4872929	CFTS024	1.5.12.1.4	Browse Favorites (FAV)	reqif
SWE-RA-SXM-129	4872930	CFTS024	1.5.12.1.4	Browse Favorites (FAV)	reqif
SWE-RA-SXM-130	4872931	CFTS024	1.5.12.1.4	Browse Favorites (FAV)	reqif
SWE-RA-SXM-131	4872932	CFTS024	1.5.12.1.4	Browse Favorites (FAV)	reqif
SWE-RA-SXM-132	4872934	CFTS024	1.5.13	Scroll Up/Down	reqif
SWE-RA-SXM-133	4872935	CFTS024	1.5.13	Scroll Up/Down	reqif
SWE-RA-SXM-134	4872936	CFTS024	1.5.13	Scroll Up/Down	reqif
SWE-RA-SXM-135	4872937	CFTS024	1.5.13	Scroll Up/Down	reqif
SWE-RA-SXM-136	4872938	CFTS024	1.5.13	Scroll Up/Down	reqif
SWE-RA-SXM-137	4872939	CFTS024	1.5.13	Scroll Up/Down	reqif
SWE-RA-SXM-138	4872940	CFTS024	1.5.13	Scroll Up/Down	reqif
SWE-RA-SXM-139	4872941	CFTS024	1.5.13	Scroll Up/Down	reqif
SWE-RA-SXM-140	4872943	CFTS024	1.5.14	Page Up/Down	reqif
SWE-RA-SXM-141	4872944	CFTS024	1.5.14	Page Up/Down	reqif
SWE-RA-SXM-142	4872945	CFTS024	1.5.14	Page Up/Down	reqif
SWE-RA-SXM-143	4872946	CFTS024	1.5.14	Page Up/Down	reqif
SWE-RA-SXM-144	4872947	CFTS024	1.5.14	Page Up/Down	reqif
SWE-RA-SXM-145	4872948	CFTS024	1.5.14	Page Up/Down	reqif
SWE-RA-SXM-146	4872950	CFTS024	1.5.15	Enter or Item Select	reqif
SWE-RA-SXM-147	4872951	CFTS024	1.5.15	Enter or Item Select	reqif
SWE-RA-SXM-148	4872952	CFTS024	1.5.15	Enter or Item Select	reqif
SWE-RA-SXM-149	4872954	CFTS024	1.5.15	Enter or Item Select	reqif
SWE-RA-SXM-150	4872956	CFTS024	1.5.15	Enter or Item Select	reqif
SWE-RA-SXM-151	4872958	CFTS024	1.5.16	SiriusXM Traffic & Weather Now	reqif
SWE-RA-SXM-152	4872959	CFTS024	1.5.16	SiriusXM Traffic & Weather Now	reqif
SWE-RA-SXM-153	4872961	CFTS024	1.5.16	SiriusXM Traffic & Weather Now	reqif
SWE-RA-SXM-154	4872962	CFTS024	1.5.16	SiriusXM Traffic & Weather Now	reqif
SWE-RA-SXM-155	4872963	CFTS024	1.5.16	SiriusXM Traffic & Weather Now	reqif
SWE-RA-SXM-156	4872964	CFTS024	1.5.16	SiriusXM Traffic & Weather Now	reqif
SWE-RA-SXM-157	4872966	CFTS024	1.5.16	SiriusXM Traffic & Weather Now	reqif
SWE-RA-SXM-158	4872967	CFTS024	1.5.16	SiriusXM Traffic & Weather Now	reqif
SWE-RA-SXM-159	4872970	CFTS024	1.5.17	Game Alert	reqif
SWE-RA-SXM-160	4872972	CFTS024	1.5.17	Game Alert	reqif
SWE-RA-SXM-161	4872973	CFTS024	1.5.17	Game Alert	reqif
SWE-RA-SXM-162	4872974	CFTS024	1.5.17	Game Alert	reqif
SWE-RA-SXM-163	4872975	CFTS024	1.5.17	Game Alert	reqif
SWE-RA-SXM-164	4872976	CFTS024	1.5.17	Game Alert	reqif
SWE-RA-SXM-165	4872977	CFTS024	1.5.17	Game Alert	reqif
SWE-RA-SXM-166	4872978	CFTS024	1.5.17	Game Alert	reqif
SWE-RA-SXM-167	4872979	CFTS024	1.5.17	Game Alert	reqif
SWE-RA-SXM-168	4873277	CFTS024	1.5.19	Parental Skip	reqif
SWE-RA-SXM-169	4873278	CFTS024	1.5.19	Parental Skip	reqif
SWE-RA-SXM-170	4873279	CFTS024	1.5.19	Parental Skip	reqif
SWE-RA-SXM-171	4873280	CFTS024	1.5.19	Parental Skip	reqif
SWE-RA-SXM-172	4873281	CFTS024	1.5.19	Parental Skip	reqif
SWE-RA-SXM-173	4873282	CFTS024	1.5.19	Parental Skip	reqif
SWE-RA-SXM-174	4873283	CFTS024	1.5.19	Parental Skip	reqif
SWE-RA-SXM-175	4873284	CFTS024	1.5.19	Parental Skip	reqif
SWE-RA-SXM-176	4873289	CFTS024	1.5.20	HU Satellite Audio Error Displays	reqif
SWE-RA-SXM-177	4873290	CFTS024	1.5.20	HU Satellite Audio Error Displays	reqif
SWE-RA-SXM-178	4873291	CFTS024	1.5.20	HU Satellite Audio Error Displays	reqif
SWE-RA-SXM-179	4873292	CFTS024	1.5.20	HU Satellite Audio Error Displays	reqif
SWE-RA-SXM-180	4873293	CFTS024	1.5.20	HU Satellite Audio Error Displays	reqif
SWE-RA-SXM-181	4873294	CFTS024	1.5.20	HU Satellite Audio Error Displays	reqif
SWE-RA-SXM-182	4873296	CFTS024	1.5.20	HU Satellite Audio Error Displays	reqif
SWE-RA-SXM-183	4873309	CFTS024	1.5.21.2	Performance Requirements	reqif
SWE-RA-SXM-184	4873310	CFTS024	1.5.21.2	Performance Requirements	reqif
SWE-RA-SXM-185	4873319	CFTS024	1.5.21.2.2	General	reqif
SWE-RA-SXM-186	4873323	CFTS024	1.5.21.2.3	User Notification During Buffering	reqif
SWE-RA-SXM-187	4873324	CFTS024	1.5.21.2.3	User Notification During Buffering	reqif
SWE-RA-SXM-188	4873326	CFTS024	1.5.21.2.4	Abnormal Transition Delays	reqif
SWE-RA-SXM-189	4873327	CFTS024	1.5.21.2.4	Abnormal Transition Delays	reqif
SWE-RA-SXM-190	4873328	CFTS024	1.5.21.2.4	Abnormal Transition Delays	reqif
SWE-RA-SXM-191	4873329	CFTS024	1.5.21.2.4	Abnormal Transition Delays	reqif
SWE-RA-SXM-192	4873331	CFTS024	1.5.21.2.5	Abnormal Display Behavior	reqif
SWE-RA-SXM-193	4873332	CFTS024	1.5.21.2.5	Abnormal Display Behavior	reqif
SWE-RA-SXM-194	4873333	CFTS024	1.5.21.2.5	Abnormal Display Behavior	reqif
SWE-RA-SXM-195	4873334	CFTS024	1.5.21.2.5	Abnormal Display Behavior	reqif
SWE-RA-SXM-196	4873335	CFTS024	1.5.21.2.5	Abnormal Display Behavior	reqif
SWE-RA-SXM-197	4873337	CFTS024	1.5.21.2.6	Haptic Input	reqif
SWE-RA-SXM-198	4873338	CFTS024	1.5.21.2.6	Haptic Input	reqif
SWE-RA-SXM-199	4873340	CFTS024	1.5.21.2.7	Fit and Finish	reqif
SWE-RA-SXM-200	4873341	CFTS024	1.5.21.2.7	Fit and Finish	reqif
SWE-RA-SXM-201	4873342	CFTS024	1.5.21.2.7	Fit and Finish	reqif
SWE-RA-SXM-202	4873343	CFTS024	1.5.21.2.7	Fit and Finish	reqif
