row	req_id	setting
292	SWE1-VC-SWITCH2PowerMode-036	SWITCH 2 Power Mode
293	SWE1-VC-SWITCH3PowerMode-038	SWITCH 3 Power Mode
294	SWE1-VC-SWITCH3PowerMode-039	SWITCH 3 Power Mode
295	SWE1-VC-SWITCH3PowerMode-040	SWITCH 3 Power Mode
296	SWE1-VC-SWITCH4PowerMode-042	SWITCH 4 Power Mode
297	SWE1-VC-SWITCH4PowerMode-043	SWITCH 4 Power Mode
298	SWE1-VC-SWITCH4PowerMode-044	SWITCH 4 Power Mode
301	SWE1-VC-SuspensionServiceMode-004	Suspension Service Mode
302	SWE1-VC-SuspensionServiceMode-005	Suspension Service Mode
303	SWE1-VC-SuspensionServiceMode-006	Suspension Service Mode
321	SWE1-VC-ReadytoDrivePopUp-028	Ready to Drive Pop-Up
322	SWE1-VC-ReadytoDrivePopUp-029	Ready to Drive Pop-Up
323	SWE1-VC-ReadytoDrivePopUp-030	Ready to Drive Pop-Up
326	SWE1-VC-AutoFoldMirrors-034	Auto Fold Mirrors
327	SWE1-VC-AutoFoldMirrors-035	Auto Fold Mirrors
328	SWE1-VC-AutoFoldMirrors-036	Auto Fold Mirrors
331	SWE1-VC-DriverEasyExitSeat-040	Driver Easy Exit Seat
332	SWE1-VC-DriverEasyExitSeat-041	Driver Easy Exit Seat
333	SWE1-VC-DriverEasyExitSeat-042	Driver Easy Exit Seat
334	SWE1-VC-EngineOffPowerDelay-046	Engine Off Power Delay
335	SWE1-VC-EngineOffPowerDelay-048	Engine Off Power Delay
336	SWE1-VC-EngineOffPowerDelay-049	Engine Off Power Delay
337	SWE1-VC-EngineOffPowerDelay-050	Engine Off Power Delay
356	SWE1-VC-AutomaticTrailerLight Check-041	Automatic Trailer Light Check
357	SWE1-VC-AutomaticTrailerLight Check-042	Automatic Trailer Light Check
358	SWE1-VC-AutomaticTrailerLight Check-043	Automatic Trailer Light Check
444	SWE1-VC-HourMode-010	Hour Mode
447	SWE1-VC-DistanceUnit-021	Distance Unit
448	SWE1-VC-SpeedUnit-026	Speed Unit
449	SWE1-VC-ConsumptionUnit-031	Consumption Unit
