tc_id	req_id	sections_before	sections_after	external_before	external_after	same_set	own_first	ascending_rest
NR1L-ComfortHMI-067	SWE1-HVAC-044-01	2.14|10.1	10.1|2.14			True	True	True
NR1L-ComfortHMI-068	SWE1-HVAC-045	2.14|10.1|10.2	10.2|2.14|10.1			True	True	True
NR1L-ComfortHMI-069	SWE1-HVAC-046	2.14|10.1|10.3	10.3|2.14|10.1			True	True	True
NR1L-ComfortHMI-070	SWE1-HVAC-047	2.14|10.1|10.4	10.4|2.14|10.1			True	True	True
NR1L-ComfortHMI-071	SWE1-HVAC-048-01	2.14|10.1|10.5	10.5|2.14|10.1			True	True	True
NR1L-ComfortHMI-072	SWE1-HVAC-048-02	2.14|10.1|10.5	10.5|2.14|10.1			True	True	True
NR1L-ComfortHMI-073	SWE1-HVAC-048-03	2.14|10.1|10.5	10.5|2.14|10.1			True	True	True
NR1L-ComfortHMI-074	SWE1-HVAC-049-01	2.14|10.1|10.6	10.6|2.14|10.1			True	True	True
NR1L-ComfortHMI-075	SWE1-HVAC-049-02	2.14|10.1|10.6	10.6|2.14|10.1			True	True	True
NR1L-ComfortHMI-076	SWE1-HVAC-050	2.14|10.1|10.7	10.7|2.14|10.1			True	True	True
NR1L-ComfortHMI-077	SWE1-HVAC-051	2.14|6.3|10.1|10.8	10.8|2.14|6.3|10.1			True	True	True
NR1L-ComfortHMI-078	SWE1-HVAC-052	2.14|10.1|10.9	10.9|2.14|10.1			True	True	True
NR1L-ComfortHMI-079	SWE1-HVAC-053-01	2.14|10.1|10.9.1	10.9.1|2.14|10.1			True	True	True
NR1L-ComfortHMI-080	SWE1-HVAC-053-02	2.14|10.1|10.9.1	10.9.1|2.14|10.1			True	True	True
NR1L-ComfortHMI-081	SWE1-HVAC-044-02	2.14|10.1	10.1|2.14			True	True	True
NR1L-ComfortHMI-082	SWE1-HVAC-106-01	2.14|6.3|16.2	16.2|2.14|6.3			True	True	True
NR1L-ComfortHMI-083	SWE1-HVAC-106-02	2.14|6.3|16.2	16.2|2.14|6.3			True	True	True
NR1L-ComfortHMI-084	SWE1-HVAC-106-03	2.14|16.2	16.2|2.14			True	True	True
NR1L-ComfortHMI-085	SWE1-HVAC-106-04	2.14|16.2|16.11	16.2|2.14|16.11			True	True	True
NR1L-ComfortHMI-086	SWE1-HVAC-106-05	2.14|16.2	16.2|2.14			True	True	True
NR1L-ComfortHMI-087	SWE1-HVAC-106-06	2.14|16.2	16.2|2.14			True	True	True
NR1L-ComfortHMI-088	SWE1-HVAC-106-07	2.14|16.2	16.2|2.14			True	True	True
NR1L-ComfortHMI-089	SWE1-HVAC-106-08	2.14|6.3|16.2	16.2|2.14|6.3			True	True	True
NR1L-ComfortHMI-090	SWE1-HVAC-106-09	2.14|16.2	16.2|2.14			True	True	True
NR1L-ComfortHMI-091	SWE1-HVAC-120-01	2.14|6.3|16.2|16.14	16.14|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-092	SWE1-HVAC-120-02	2.14|6.3|16.2|16.14	16.14|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-093	SWE1-HVAC-120-03	2.14|6.3|16.2|16.14	16.14|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-094	SWE1-HVAC-122-01	6.3|16.2|16.16	16.16|6.3|16.2			True	True	True
NR1L-ComfortHMI-095	SWE1-HVAC-122-03	6.3|16.2|16.16	16.16|6.3|16.2			True	True	True
NR1L-ComfortHMI-096	SWE1-HVAC-122-04	6.3|16.2|16.16	16.16|6.3|16.2			True	True	True
NR1L-ComfortHMI-097	SWE1-HVAC-122-05	6.3|16.2|16.16	16.16|6.3|16.2			True	True	True
NR1L-ComfortHMI-098	SWE1-HVAC-110-01	2.14|6.3|16.2|16.6	16.6|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-099	SWE1-HVAC-110-02	2.14|6.3|16.2|16.6	16.6|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-100	SWE1-HVAC-110-03	2.14|6.3|16.2|16.6	16.6|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-101	SWE1-HVAC-110-04	2.14|16.2|16.6	16.6|2.14|16.2			True	True	True
NR1L-ComfortHMI-102	SWE1-HVAC-110-05	2.14|6.3|16.2|16.6	16.6|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-103	SWE1-HVAC-110-06	2.14|16.2|16.6|16.11	16.6|2.14|16.2|16.11			True	True	True
NR1L-ComfortHMI-104	SWE1-HVAC-111-01	2.14|6.3|16.2|16.6.1|16.11	16.6.1|2.14|6.3|16.2|16.11			True	True	True
NR1L-ComfortHMI-105	SWE1-HVAC-111-02	2.14|6.3|16.2|16.6.1|16.11	16.6.1|2.14|6.3|16.2|16.11			True	True	True
NR1L-ComfortHMI-106	SWE1-HVAC-111-03	2.14|6.3|16.2|16.6.1	16.6.1|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-107	SWE1-HVAC-111-04	2.14|6.3|16.2|16.6.1	16.6.1|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-108	SWE1-HVAC-111-05	2.14|6.3|16.2|16.6.1	16.6.1|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-109	SWE1-HVAC-112-01	2.14|6.3|16.2|16.7	16.7|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-110	SWE1-HVAC-112-02	2.14|6.3|16.2|16.7	16.7|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-111	SWE1-HVAC-112-03	2.14|16.2|16.7	16.7|2.14|16.2			True	True	True
NR1L-ComfortHMI-112	SWE1-HVAC-112-04	2.14|6.3|16.2|16.7	16.7|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-113	SWE1-HVAC-112-05	2.14|6.3|16.2|16.7	16.7|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-114	SWE1-HVAC-123	2.14|6.3|16.2|16.17	16.17|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-115	SWE1-HVAC-124-01	2.14|6.3|16.2|17.1|17.3	17.1|2.14|6.3|16.2|17.3			True	True	True
NR1L-ComfortHMI-116	SWE1-HVAC-124-02	2.14|6.3|16.2|17.1	17.1|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-117	SWE1-HVAC-124-03	2.14|6.3|16.2|17.1|17.3	17.1|2.14|6.3|16.2|17.3			True	True	True
NR1L-ComfortHMI-118	SWE1-HVAC-125-01	2.14|6.3|16.2|17.1|17.2	17.2|2.14|6.3|16.2|17.1			True	True	True
NR1L-ComfortHMI-119	SWE1-HVAC-125-02	2.11|2.13|2.14|6.3|16.2|17.1|17.2	17.2|2.11|2.13|2.14|6.3|16.2|17.1			True	True	True
NR1L-ComfortHMI-120	SWE1-HVAC-125-03	2.14|6.3|16.2|17.1|17.2	17.2|2.14|6.3|16.2|17.1			True	True	True
NR1L-ComfortHMI-121	SWE1-HVAC-125-04	2.14|6.3|16.2|17.1|17.2	17.2|2.14|6.3|16.2|17.1			True	True	True
NR1L-ComfortHMI-122	SWE1-HVAC-125-05	2.11|2.14|6.3|16.2|17.1|17.2	17.2|2.11|2.14|6.3|16.2|17.1			True	True	True
NR1L-ComfortHMI-123	SWE1-HVAC-125-06	2.13|2.14|6.3|16.2|17.1|17.2	17.2|2.13|2.14|6.3|16.2|17.1			True	True	True
NR1L-ComfortHMI-124	SWE1-HVAC-125-07	2.14|6.3|16.2|17.1|17.2	17.2|2.14|6.3|16.2|17.1			True	True	True
NR1L-ComfortHMI-125	SWE1-HVAC-126-01	2.14|6.3|16.2|17.1|17.3	17.3|2.14|6.3|16.2|17.1			True	True	True
NR1L-ComfortHMI-126	SWE1-HVAC-126-03	2.14|6.3|16.2|17.1|17.3	17.3|2.14|6.3|16.2|17.1			True	True	True
NR1L-ComfortHMI-127	SWE1-HVAC-003-01	2.3|2.14|6.3|16.2	2.3|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-128	SWE1-HVAC-003-02	2.3|2.14|6.3|16.2	2.3|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-129	SWE1-HVAC-003-03	2.3|2.14|6.3|16.2	2.3|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-130	SWE1-HVAC-003-04	2.3|2.14|6.3|16.2	2.3|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-131	SWE1-HVAC-003-05	2.3|2.14|6.3|16.2	2.3|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-132	SWE1-HVAC-003-06	2.3|2.14|6.3|16.2	2.3|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-133	SWE1-HVAC-003-07	2.3|2.14|6.3|16.2	2.3|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-134	SWE1-HVAC-003-08	2.3|2.14|6.3|16.2	2.3|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-135	SWE1-HVAC-003-09	2.3|2.14|6.3|16.2	2.3|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-136	SWE1-HVAC-005-01	2.4|2.14|6.3|16.2	2.4|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-137	SWE1-HVAC-005-02	2.4|2.14|6.3|16.2	2.4|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-138	SWE1-HVAC-005-03	2.4|2.14|6.3|16.2	2.4|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-139	SWE1-HVAC-005-04	2.4|2.14|6.3|16.2	2.4|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-140	SWE1-HVAC-006-01	2.5|2.14|6.3|16.2	2.5|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-141	SWE1-HVAC-006-02	2.5|2.14|6.3|16.2	2.5|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-142	SWE1-HVAC-006-03	2.5|2.14|6.3|16.2	2.5|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-143	SWE1-HVAC-014-01	2.10|2.14|6.3|16.2	2.10|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-144	SWE1-HVAC-014-02	2.10|2.14|3.2|3.4|6.3|16.2	2.10|2.14|3.2|3.4|6.3|16.2			True	True	True
NR1L-ComfortHMI-145	SWE1-HVAC-014-03	2.10|2.14|6.3|16.2	2.10|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-146	SWE1-HVAC-014-04	2.10|2.14|6.3|16.2	2.10|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-147	SWE1-HVAC-014-05	2.10|2.14|6.3|16.2	2.10|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-148	SWE1-HVAC-014-06	2.10|2.14|6.3|16.2	2.10|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-149	SWE1-HVAC-015-01	2.11|2.14|6.3|16.2	2.11|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-150	SWE1-HVAC-015-02	2.11|2.14|6.3|16.2	2.11|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-151	SWE1-HVAC-015-03	2.11|2.14|6.3|16.2	2.11|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-152	SWE1-HVAC-019-01	2.13|2.14|6.3|16.2	2.13|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-153	SWE1-HVAC-012-01	2.8|2.14|6.3|16.2	2.8|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-154	SWE1-HVAC-012-02	2.8|2.14|6.3|16.2	2.8|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-155	SWE1-HVAC-012-03	2.8|2.14|6.3|16.2	2.8|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-156	SWE1-HVAC-012-04	2.8|2.14|6.3|16.2	2.8|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-157	SWE1-HVAC-012-05	2.3|2.8|2.14|6.3|16.2	2.8|2.3|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-158	SWE1-HVAC-012-06	2.8|2.14|6.3|16.2	2.8|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-159	SWE1-HVAC-013-01	2.9|2.14|3.4|6.3|16.2	2.9|2.14|3.4|6.3|16.2			True	True	True
NR1L-ComfortHMI-160	SWE1-HVAC-013-02	2.9|2.14|3.4|6.3|16.2	2.9|2.14|3.4|6.3|16.2			True	True	True
NR1L-ComfortHMI-161	SWE1-HVAC-013-03	2.9|2.14|3.4|6.3|16.2	2.9|2.14|3.4|6.3|16.2			True	True	True
NR1L-ComfortHMI-162	SWE1-HVAC-013-04	2.9|2.14|3.4|6.3|16.2	2.9|2.14|3.4|6.3|16.2			True	True	True
NR1L-ComfortHMI-163	SWE1-HVAC-017-01	2.12.1|2.14|6.3|16.2	2.12.1|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-164	SWE1-HVAC-017-02	2.12.1|2.14|6.3|16.2	2.12.1|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-165	SWE1-HVAC-021-01	2.14|2.15|6.3|16.2	2.15|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-166	SWE1-HVAC-021-02	2.14|2.15|6.3|16.2	2.15|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-167	SWE1-HVAC-084	2.14|6.3|14.1.1|16.2	14.1.1|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-168	SWE1-HVAC-085	2.14|6.3|14.2|16.2	14.2|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-169	SWE1-HVAC-086-01	2.14|6.3|14.3|16.2	14.3|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-170	SWE1-HVAC-086-02	2.14|6.3|14.3|16.2	14.3|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-171	SWE1-HVAC-087-01	2.14|6.3|14.4|16.2	14.4|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-172	SWE1-HVAC-087-02	2.14|6.3|14.4|16.2	14.4|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-173	SWE1-HVAC-088	2.14|6.3|14.5|16.2	14.5|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-174	SWE1-HVAC-089	2.14|6.3|14.6|16.2	14.6|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-175	SWE1-HVAC-090-01	2.14|6.3|14.7|16.2	14.7|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-176	SWE1-HVAC-090-02	2.14|6.3|14.7|16.2	14.7|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-177	SWE1-HVAC-091	2.14|6.3|14.8|16.2	14.8|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-178	SWE1-HVAC-092	2.14|6.3|14.9|16.2	14.9|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-179	SWE1-HVAC-093	2.14|6.3|14.10|16.2	14.10|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-180	SWE1-HVAC-094	2.14|6.3|14.10.1|16.2	14.10.1|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-181	SWE1-HVAC-095-01	2.14|6.3|14.11|16.2	14.11|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-182	SWE1-HVAC-095-02	2.14|6.3|14.11|16.2	14.11|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-183	SWE1-HVAC-097	2.14|6.3|14.13|16.2	14.13|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-184	SWE1-HVAC-100-01	2.14|6.3|14.15|14.16|16.2	14.16|2.14|6.3|14.15|16.2			True	True	True
NR1L-ComfortHMI-185	SWE1-HVAC-100-02	2.14|6.3|14.15|14.16|16.2	14.16|2.14|6.3|14.15|16.2			True	True	True
NR1L-ComfortHMI-186	SWE1-HVAC-100-03	2.14|6.3|14.15|14.16|16.2	14.16|2.14|6.3|14.15|16.2			True	True	True
NR1L-ComfortHMI-187	SWE1-HVAC-101-01	2.14|6.3|14.15|14.16.1|16.2	14.16.1|2.14|6.3|14.15|16.2			True	True	True
NR1L-ComfortHMI-188	SWE1-HVAC-101-02	2.14|6.3|14.15|14.16.1|16.2	14.16.1|2.14|6.3|14.15|16.2			True	True	True
NR1L-ComfortHMI-189	SWE1-HVAC-101-03	2.14|6.3|14.15|14.16.1|16.2	14.16.1|2.14|6.3|14.15|16.2			True	True	True
NR1L-ComfortHMI-190	SWE1-HVAC-102	2.14|6.3|14.15|14.17|16.2	14.17|2.14|6.3|14.15|16.2			True	True	True
NR1L-ComfortHMI-191	SWE1-HVAC-103-01	2.14|6.3|14.15|14.18|16.2	14.18|2.14|6.3|14.15|16.2			True	True	True
NR1L-ComfortHMI-192	SWE1-HVAC-103-02	2.14|6.3|14.15|14.18|16.2	14.18|2.14|6.3|14.15|16.2			True	True	True
NR1L-ComfortHMI-193	SWE1-HVAC-104-01	2.14|6.3|14.19|16.2	14.19|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-194	SWE1-HVAC-104-02	2.14|6.3|14.19|16.2	14.19|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-195	SWE1-HVAC-104-03	2.14|6.3|14.19|16.2	14.19|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-196	SWE1-HVAC-104-04	2.14|6.3|14.19|16.2	14.19|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-197	SWE1-HVAC-104-05	2.14|6.3|14.19|16.2	14.19|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-198	SWE1-HVAC-104-06	2.14|6.3|14.19|16.2	14.19|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-199	SWE1-HVAC-104-07	2.14|6.3|14.19|16.2	14.19|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-200	SWE1-HVAC-104-08	2.14|6.3|14.19|16.2	14.19|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-201	SWE1-HVAC-105-01	2.14|6.3|15.1|16.2	15.1|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-202	SWE1-HVAC-105-02	2.14|6.3|15.1|16.2	15.1|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-203	SWE1-HVAC-107-01	2.14|6.3|16.2|16.3	16.3|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-204	SWE1-HVAC-107-02	2.14|6.3|16.2|16.3	16.3|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-205	SWE1-HVAC-107-03	2.14|6.3|16.2|16.3	16.3|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-206	SWE1-HVAC-107-04	2.14|6.3|16.2|16.3	16.3|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-207	SWE1-HVAC-107-05	2.14|3.2|6.3|16.2|16.3|16.13	16.3|2.14|3.2|6.3|16.2|16.13			True	True	True
NR1L-ComfortHMI-208	SWE1-HVAC-107-06	2.14|3.2|6.3|16.2|16.3|16.13	16.3|2.14|3.2|6.3|16.2|16.13			True	True	True
NR1L-ComfortHMI-209	SWE1-HVAC-107-07	2.14|6.3|16.2|16.3	16.3|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-210	SWE1-HVAC-107-08	2.14|6.3|16.2|16.3	16.3|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-211	SWE1-HVAC-107-09	2.14|6.3|16.2|16.3	16.3|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-212	SWE1-HVAC-108	2.14|3.2|3.4|6.3|16.2|16.4|16.13	16.4|2.14|3.2|3.4|6.3|16.2|16.13			True	True	True
NR1L-ComfortHMI-213	SWE1-HVAC-109-01	2.14|6.3|16.2|16.5	16.5|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-214	SWE1-HVAC-109-02	2.14|6.3|16.2|16.5	16.5|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-215	SWE1-HVAC-115-01	2.14|6.3|16.2|16.10	16.10|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-216	SWE1-HVAC-115-02	2.14|3.2|3.4|6.3|16.2|16.10	16.10|2.14|3.2|3.4|6.3|16.2			True	True	True
NR1L-ComfortHMI-217	SWE1-HVAC-115-03	2.14|6.3|16.2|16.10	16.10|2.14|6.3|16.2			True	True	True
