sheet	cell	tc_id	item	before	after
Test Case Specification 測試用例規範	N16	NR1L-ComfortHMI-033	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2、2.14、16.2	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
Test Case Specification 測試用例規範	T16	NR1L-ComfortHMI-033	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	U16	NR1L-ComfortHMI-033	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	W16	NR1L-ComfortHMI-033	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	X16	NR1L-ComfortHMI-033	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	Y16	NR1L-ComfortHMI-033	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	N17	NR1L-ComfortHMI-034	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2、2.14、16.2、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
Test Case Specification 測試用例規範	T17	NR1L-ComfortHMI-034	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	U17	NR1L-ComfortHMI-034	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	W17	NR1L-ComfortHMI-034	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	X17	NR1L-ComfortHMI-034	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	Y17	NR1L-ComfortHMI-034	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	J18	NR1L-ComfortHMI-035	軸 2 PC	"1. The vehicle has climate hard controls and a climate touchscreen
2. The vehicle has a passenger side temperature control
3. The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed
4. The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16"	"1. The vehicle has climate hard controls and a climate touchscreen
2. The vehicle has a passenger side temperature control
3. The vehicle is not a single zone climate configuration, for which Sync is not shown
4. The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed
5. The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16"
Test Case Specification 測試用例規範	L18	NR1L-ComfortHMI-035	M7	"1. Turn Sync on
2. Adjust the driver temperature slider"	"1. Turn ""SYNC"" on
2. Adjust the driver temperature slider"
Test Case Specification 測試用例規範	M18	NR1L-ComfortHMI-035	M7	"1. Sync is on
2. No slider pop-up is shown on the passenger side"	"1. SYNC is on
2. No slider pop-up is shown on the passenger side"
Test Case Specification 測試用例規範	N18	NR1L-ComfortHMI-035	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2、2.14、16.2	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.11
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
Test Case Specification 測試用例規範	T18	NR1L-ComfortHMI-035	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	U18	NR1L-ComfortHMI-035	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	W18	NR1L-ComfortHMI-035	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	X18	NR1L-ComfortHMI-035	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	Y18	NR1L-ComfortHMI-035	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	I19	NR1L-ComfortHMI-036	R-C50+R-C50(amend)	"If the user is outside of the climate main category and the temperature is changed through hard controls, a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set, for MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.

(change the temperature using the temperature hard control -> A pop-up comes down from the temperature in the status bar and displays the degree being set, in half degree increments)"	"A pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set

(change the temperature using the temperature hard control -> A pop-up comes down from the temperature in the status bar and displays the degree being set, in half degree increments)"
Test Case Specification 測試用例規範	N19	NR1L-ComfortHMI-036	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2、2.14、16.2	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
Test Case Specification 測試用例規範	T19	NR1L-ComfortHMI-036	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	U19	NR1L-ComfortHMI-036	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	W19	NR1L-ComfortHMI-036	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	X19	NR1L-ComfortHMI-036	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	Y19	NR1L-ComfortHMI-036	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	I20	NR1L-ComfortHMI-037	R-C50+R-C50(amend)	"If the user is outside of the climate main category and the temperature is changed through hard controls, a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set, for MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.

(change the temperature using the temperature hard control -> A pop-up comes down from the temperature in the status bar and displays the degree being set, without half degrees)"	"A pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set

(change the temperature using the temperature hard control -> A pop-up comes down from the temperature in the status bar and displays the degree being set, without half degrees)"
Test Case Specification 測試用例規範	N20	NR1L-ComfortHMI-037	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2、2.14	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14"
Test Case Specification 測試用例規範	T20	NR1L-ComfortHMI-037	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	U20	NR1L-ComfortHMI-037	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	W20	NR1L-ComfortHMI-037	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	X20	NR1L-ComfortHMI-037	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	Y20	NR1L-ComfortHMI-037	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	I21	NR1L-ComfortHMI-038	R-C50+R-C50(amend)	"If the user is outside of the climate main category and the temperature is changed through hard controls, a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set, for MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.

(continue altering the temperature using the temperature hard control -> The arrow moves with the temperature being set)"	"For MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.

(continue altering the temperature using the temperature hard control -> The arrow moves with the temperature being set)"
Test Case Specification 測試用例規範	N21	NR1L-ComfortHMI-038	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2、2.14、16.2	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
Test Case Specification 測試用例規範	T21	NR1L-ComfortHMI-038	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	U21	NR1L-ComfortHMI-038	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	V21	NR1L-ComfortHMI-038	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	W21	NR1L-ComfortHMI-038	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	X21	NR1L-ComfortHMI-038	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	Y21	NR1L-ComfortHMI-038	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	Z21	NR1L-ComfortHMI-038	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	N22	NR1L-ComfortHMI-039	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2、2.14、16.2、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
Test Case Specification 測試用例規範	T22	NR1L-ComfortHMI-039	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	U22	NR1L-ComfortHMI-039	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	W22	NR1L-ComfortHMI-039	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	X22	NR1L-ComfortHMI-039	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	Y22	NR1L-ComfortHMI-039	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	N23	NR1L-ComfortHMI-040	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2、2.14、16.2	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
Test Case Specification 測試用例規範	T23	NR1L-ComfortHMI-040	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	U23	NR1L-ComfortHMI-040	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	W23	NR1L-ComfortHMI-040	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	X23	NR1L-ComfortHMI-040	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	Y23	NR1L-ComfortHMI-040	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	L24	NR1L-ComfortHMI-127	M7	"1. Turn AUTO on from the climate screen
2. Read the fan speed indicator"	"1. Turn ""AUTO"" on from the climate screen
2. Read the fan speed indicator"
Test Case Specification 測試用例規範	N24	NR1L-ComfortHMI-127	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3、2.14、16.2、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
Test Case Specification 測試用例規範	T24	NR1L-ComfortHMI-127	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	U24	NR1L-ComfortHMI-127	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	W24	NR1L-ComfortHMI-127	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	X24	NR1L-ComfortHMI-127	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	Y24	NR1L-ComfortHMI-127	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	L25	NR1L-ComfortHMI-128	M7	"1. Turn AUTO on from the climate screen
2. Read the main category control"	"1. Turn ""AUTO"" on from the climate screen
2. Read the main category control"
Test Case Specification 測試用例規範	N25	NR1L-ComfortHMI-128	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3、2.14、16.2、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
Test Case Specification 測試用例規範	T25	NR1L-ComfortHMI-128	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	U25	NR1L-ComfortHMI-128	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	W25	NR1L-ComfortHMI-128	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	X25	NR1L-ComfortHMI-128	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	Y25	NR1L-ComfortHMI-128	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	I26	NR1L-ComfortHMI-129	M7	"AUTO affects Fan speed, Modes, AC in order to reach desired temperature as quickly as possible.

(turn AUTO on and read the fan speed and the airflow mode -> The fan speed and the airflow mode are set by the system)"	"AUTO affects Fan speed, Modes, AC in order to reach desired temperature as quickly as possible.

(turn ""AUTO"" on and read the fan speed and the airflow mode -> The fan speed and the airflow mode are set by the system)"
Test Case Specification 測試用例規範	L26	NR1L-ComfortHMI-129	M7	"1. Set a fan speed and an airflow mode from the climate screen with AUTO off
2. Turn AUTO on and read the fan speed and the airflow mode"	"1. Set a fan speed and an airflow mode from the climate screen with AUTO off
2. Turn ""AUTO"" on and read the fan speed and the airflow mode"
Test Case Specification 測試用例規範	N26	NR1L-ComfortHMI-129	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3、2.14、16.2、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
Test Case Specification 測試用例規範	T26	NR1L-ComfortHMI-129	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	U26	NR1L-ComfortHMI-129	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	W26	NR1L-ComfortHMI-129	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	X26	NR1L-ComfortHMI-129	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	Y26	NR1L-ComfortHMI-129	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	I27	NR1L-ComfortHMI-130	M7	"Auto is mutually exclusive with the four airflow modes and front defrost.

(turn AUTO on -> The airflow mode buttons and ""FRONT DEF"" are no longer active)"	"Auto is mutually exclusive with the four airflow modes and front defrost.

(turn ""AUTO"" on -> The airflow mode buttons and ""FRONT DEF"" are no longer active)"
