# proxi_axis_values.tsv -- PROXI configured values for 7 Comfort parameters, listed side by side (NOT mapped to profile axes).
# Generated read-only by CMF-02 section 5-1 investigation (2026-09-18). Sources: forms/proxi/<folder>/<file>.
# wb_col / wb_header_row9: column letter and verbatim row-9 header of sheet 'Test Case Specification 測試用例規範' in features/comfort/delivered/..._ComfortHMI_20260907.xlsx.
# U <-> DT28_ATL_HI: workbook header 'DT27 Atl-Hi' and folder forms/proxi/DT28_ATL_HI are the SAME vehicle per Pei's confirmation of 2026-09-18 (docs/fw036/handoff/down/20260918_CMF-02_A.md section 1). Header text is not changed.
# T 'HDCC27 Atl-Hi': both HDCC27_initial and HDCC28_ATL_HI listed; Pei's confirmation does NOT cover T, no choice made (CMF-02_A section 1).
# W 'Commander (598)' and X 'Regengade (5210)': no PROXI folder exists under forms/proxi/ (status NO_PROXI).
# xlsx format (HDCC/DT): configured_cell_raw = column I 'Data' verbatim; value/label split at first '='. xlsm format: configured_value = column Y 'Dec' (Setting Value), label = the matching line of column I 'Table'; proxi_read_col_value = column AC ('PROXI Read' / 'Read').
# txt_byte_at_start_byte: raw token at 1-indexed position start_byte of the folder's .txt (comma-separated hex). Bit extraction not performed here.
# Escaping: newline in a cell -> literal \n; tab -> \t; backslash -> \\.
# R-C48(amend) / Pei 2026-09-21 (docs/fw036/handoff/down/20260921_CMF-03_A.md section 1): the feature exists on Alt-Mi only -- fastback / promaster / toro.
#   The seven climate parameters read 0 in all three Atl-Hi PROXI files (HDCC27_initial, HDCC28_ATL_HI, DT28_ATL_HI); that is CONSISTENT with the ruling (the feature is absent on Atl-Hi), not a missing value.
#   Workbook vehicle-model columns follow the ruling: T=0 U=0 V=1 W=0 X=0 Y=1 Z=1 (all rows). Per-axis subdivision is a plan only -- see docs/reports/vm_axis_plan.tsv.
#   This note is a provenance record; no value in the table below was changed by CMF-03.
wb_col	wb_header_row9	proxi_folder	proxi_file	sheet	parameter	status	param_cell	start_byte	stop_byte	start_bit	stop_bit	coding	configured_value	configured_label	configured_cell	configured_cell_raw	enum_verbatim	enum_source	proxi_read_col_value	txt_file	txt_byte_at_start_byte	search_note
U	DT27\nAtl-Hi\n	DT28_ATL_HI	PROXI_HDCC27_Use_DT24_default.xlsx	Sheet1	Climate_Panel_Type	FOUND	A701	165	165	0	2	Data Type=Not Used	0	(no label in file)	I701	0	(not listed in file)	(no data validation on cell; Max/Min Value = N/A)	(no such column)	PROXI_HDCC27_Use_DT24_default.txt	0x00	
U	DT27\nAtl-Hi\n	DT28_ATL_HI	PROXI_HDCC27_Use_DT24_default.xlsx	Sheet1	Integrated_Climate_Touchscreen	FOUND	A354	78	78	7	7	Data Type=Not Used	0	(no label in file)	I354	0	(not listed in file)	(no data validation on cell; Max/Min Value = N/A)	(no such column)	PROXI_HDCC27_Use_DT24_default.txt	0x08	
U	DT27\nAtl-Hi\n	DT28_ATL_HI	PROXI_HDCC27_Use_DT24_default.xlsx	Sheet1	Automatic_Recirculation	FOUND	A344	77	77	3	3	Data Type=Not Used	0	(no label in file)	I344	0	(not listed in file)	(no data validation on cell; Max/Min Value = N/A)	(no such column)	PROXI_HDCC27_Use_DT24_default.txt	0x40	
U	DT27\nAtl-Hi\n	DT28_ATL_HI	PROXI_HDCC27_Use_DT24_default.xlsx	Sheet1	HVAC_AUTO_ECO_Mode	FOUND	A972	220	220	2	2	Data Type=Not Used	0	(no label in file)	I972	0	(not listed in file)	(no data validation on cell; Max/Min Value = N/A)	(no such column)	PROXI_HDCC27_Use_DT24_default.txt	0x00	
U	DT27\nAtl-Hi\n	DT28_ATL_HI	PROXI_HDCC27_Use_DT24_default.xlsx	Sheet1	HVAC_Mode_Type	FOUND	A879	201	201	0	1	Data Type=Not Used	0	(no label in file)	I879	0	(not listed in file)	(no data validation on cell; Max/Min Value = N/A)	(no such column)	PROXI_HDCC27_Use_DT24_default.txt	0x00	
V	VF(ProMaster)637\nAtl-Mi	Promaster_ATL_MI	FCA_PROXI_BIN_EN_CRC16_637_R42_20220204.XLSM	PROXI Write_Read	Climate_Type	FOUND	F347	77	77	0	1	Coding=Table	2	Automatic	Y347	Y347(Dec)=2; AB347(Edit)=02	 0 = Absent \n 1 = Manual \n 2 = Automatic	PROXI Write_Read I347 ('Table' column)	AC347=3	(none in folder)		
V	VF(ProMaster)637\nAtl-Mi	Promaster_ATL_MI	FCA_PROXI_BIN_EN_CRC16_637_R42_20220204.XLSM	PROXI Write_Read	Rear_Climate	FOUND	F355	78	78	2	2	Coding=Not Used	0	Absent	Y355	Y355(Dec)=0; AB355(Edit)=00	 0 = Absent \n 1 = Present	PROXI Write_Read I355 ('Table' column)	AC355=1	(none in folder)		
V	VF(ProMaster)637\nAtl-Mi	Promaster_ATL_MI	FCA_PROXI_BIN_EN_CRC16_637_R42_20220204.XLSM	PROXI Write_Read	Climate_Panel_Type	FOUND	F706	165	165	0	2	Coding=Table	7	No knobs	Y706	Y706(Dec)=7; AB706(Edit)=07	 0 = Only blower knob \n 1 = Only temp knob \n 2 = Only mode knob \n 3 = Temp and mode knobs \n 4 = Blower and mode knobs \n 5 = Temp and blower knobs \n 6 = 3 knobs \n 7 = No knobs	PROXI Write_Read I706 ('Table' column)	AC706=7	(none in folder)		
V	VF(ProMaster)637\nAtl-Mi	Promaster_ATL_MI	FCA_PROXI_BIN_EN_CRC16_637_R42_20220204.XLSM	PROXI Write_Read	Integrated_Climate_Touchscreen	FOUND	F359	78	78	7	7	Coding=Table	1	Present	Y359	Y359(Dec)=1; AB359(Edit)=01	 0 = Absent \n 1 = Present	PROXI Write_Read I359 ('Table' column)	AC359=1	(none in folder)		
V	VF(ProMaster)637\nAtl-Mi	Promaster_ATL_MI	FCA_PROXI_BIN_EN_CRC16_637_R42_20220204.XLSM	PROXI Write_Read	Automatic_Recirculation	FOUND	F349	77	77	3	3	Coding=Not Used	0	Absent	Y349	Y349(Dec)=0; AB349(Edit)=00	 0 = Absent \n 1 = Present	PROXI Write_Read I349 ('Table' column)	AC349=1	(none in folder)		
V	VF(ProMaster)637\nAtl-Mi	Promaster_ATL_MI	FCA_PROXI_BIN_EN_CRC16_637_R42_20220204.XLSM		HVAC_AUTO_ECO_Mode	ABSENT																regex /HVAC_AUTO_ECO_Mode/i over every cell of all sheets; sheets scanned: Data | PROXI Write_Read; 0 hits
V	VF(ProMaster)637\nAtl-Mi	Promaster_ATL_MI	FCA_PROXI_BIN_EN_CRC16_637_R42_20220204.XLSM	PROXI Write_Read	HVAC_Mode_Type	FOUND	F880	201	201	0	1	Coding=Not Used	0	No Trimode	Y880	Y880(Dec)=0; AB880(Edit)=00	 0 = No Trimode \n 1 = Trimode_5 modes \n 2 = Trimode_7 modes	PROXI Write_Read I880 ('Table' column)	AC880=0	(none in folder)		
W	Commander (598)\nAtl-Mi	(none)	(none)		Climate_Type	NO_PROXI																ls forms/proxi/ -> 6 folders (HDCC27_initial, DT28_ATL_HI, HDCC28_ATL_HI, Promaster_ATL_MI, Toro_ATL_MI, Fastback_ATL_MI); none for this vehicle
W	Commander (598)\nAtl-Mi	(none)	(none)		Rear_Climate	NO_PROXI																ls forms/proxi/ -> 6 folders (HDCC27_initial, DT28_ATL_HI, HDCC28_ATL_HI, Promaster_ATL_MI, Toro_ATL_MI, Fastback_ATL_MI); none for this vehicle
W	Commander (598)\nAtl-Mi	(none)	(none)		Climate_Panel_Type	NO_PROXI																ls forms/proxi/ -> 6 folders (HDCC27_initial, DT28_ATL_HI, HDCC28_ATL_HI, Promaster_ATL_MI, Toro_ATL_MI, Fastback_ATL_MI); none for this vehicle
W	Commander (598)\nAtl-Mi	(none)	(none)		Integrated_Climate_Touchscreen	NO_PROXI																ls forms/proxi/ -> 6 folders (HDCC27_initial, DT28_ATL_HI, HDCC28_ATL_HI, Promaster_ATL_MI, Toro_ATL_MI, Fastback_ATL_MI); none for this vehicle
W	Commander (598)\nAtl-Mi	(none)	(none)		Automatic_Recirculation	NO_PROXI																ls forms/proxi/ -> 6 folders (HDCC27_initial, DT28_ATL_HI, HDCC28_ATL_HI, Promaster_ATL_MI, Toro_ATL_MI, Fastback_ATL_MI); none for this vehicle
W	Commander (598)\nAtl-Mi	(none)	(none)		HVAC_AUTO_ECO_Mode	NO_PROXI																ls forms/proxi/ -> 6 folders (HDCC27_initial, DT28_ATL_HI, HDCC28_ATL_HI, Promaster_ATL_MI, Toro_ATL_MI, Fastback_ATL_MI); none for this vehicle
W	Commander (598)\nAtl-Mi	(none)	(none)		HVAC_Mode_Type	NO_PROXI																ls forms/proxi/ -> 6 folders (HDCC27_initial, DT28_ATL_HI, HDCC28_ATL_HI, Promaster_ATL_MI, Toro_ATL_MI, Fastback_ATL_MI); none for this vehicle
X	Regengade (5210)\nAtl-Mi	(none)	(none)		Climate_Type	NO_PROXI																ls forms/proxi/ -> 6 folders (HDCC27_initial, DT28_ATL_HI, HDCC28_ATL_HI, Promaster_ATL_MI, Toro_ATL_MI, Fastback_ATL_MI); none for this vehicle
X	Regengade (5210)\nAtl-Mi	(none)	(none)		Rear_Climate	NO_PROXI																ls forms/proxi/ -> 6 folders (HDCC27_initial, DT28_ATL_HI, HDCC28_ATL_HI, Promaster_ATL_MI, Toro_ATL_MI, Fastback_ATL_MI); none for this vehicle
X	Regengade (5210)\nAtl-Mi	(none)	(none)		Climate_Panel_Type	NO_PROXI																ls forms/proxi/ -> 6 folders (HDCC27_initial, DT28_ATL_HI, HDCC28_ATL_HI, Promaster_ATL_MI, Toro_ATL_MI, Fastback_ATL_MI); none for this vehicle
X	Regengade (5210)\nAtl-Mi	(none)	(none)		Integrated_Climate_Touchscreen	NO_PROXI																ls forms/proxi/ -> 6 folders (HDCC27_initial, DT28_ATL_HI, HDCC28_ATL_HI, Promaster_ATL_MI, Toro_ATL_MI, Fastback_ATL_MI); none for this vehicle
X	Regengade (5210)\nAtl-Mi	(none)	(none)		Automatic_Recirculation	NO_PROXI																ls forms/proxi/ -> 6 folders (HDCC27_initial, DT28_ATL_HI, HDCC28_ATL_HI, Promaster_ATL_MI, Toro_ATL_MI, Fastback_ATL_MI); none for this vehicle
X	Regengade (5210)\nAtl-Mi	(none)	(none)		HVAC_AUTO_ECO_Mode	NO_PROXI																ls forms/proxi/ -> 6 folders (HDCC27_initial, DT28_ATL_HI, HDCC28_ATL_HI, Promaster_ATL_MI, Toro_ATL_MI, Fastback_ATL_MI); none for this vehicle
X	Regengade (5210)\nAtl-Mi	(none)	(none)		HVAC_Mode_Type	NO_PROXI																ls forms/proxi/ -> 6 folders (HDCC27_initial, DT28_ATL_HI, HDCC28_ATL_HI, Promaster_ATL_MI, Toro_ATL_MI, Fastback_ATL_MI); none for this vehicle
Y	Toro(2261)\nAtl-Mi	Toro_ATL_MI	FCA_PROXI_BIN_EN_CRC16_Toro_20191112.XLSM	PROXI Write	Climate_Type	FOUND	F347	77	77	0	1	Coding=Table	1	Manual	Y347	Y347(Dec)=1; AB347(Edit)=01	0 = Absent\n1 = Manual\n2 = Automatic\n# = Not Used	PROXI Write I347 ('Table' column)	AC347=(empty)	(none in folder)		
Y	Toro(2261)\nAtl-Mi	Toro_ATL_MI	FCA_PROXI_BIN_EN_CRC16_Toro_20191112.XLSM	PROXI Write	Rear_Climate	FOUND	F355	78	78	2	2	Coding=Not Used	1	Present	Y355	Y355(Dec)=1; AB355(Edit)=01	0 = Absent\n1 = Present	PROXI Write I355 ('Table' column)	AC355=(empty)	(none in folder)		
Y	Toro(2261)\nAtl-Mi	Toro_ATL_MI	FCA_PROXI_BIN_EN_CRC16_Toro_20191112.XLSM	PROXI Write	Climate_Panel_Type	FOUND	F698	165	165	0	2	Coding=Not Used	6	3 knobs	Y698	Y698(Dec)=6; AB698(Edit)=06	0 =Only blower knob \n1 = Only temp knob\n2 = Only mode knob\n3 = Temp and mode knobs\n4 = Blower and mode knobs\n5 = Temp and blower knobs\n6 = 3 knobs\n# = Not Used	PROXI Write I698 ('Table' column)	AC698=(empty)	(none in folder)		
Y	Toro(2261)\nAtl-Mi	Toro_ATL_MI	FCA_PROXI_BIN_EN_CRC16_Toro_20191112.XLSM	PROXI Write	Integrated_Climate_Touchscreen	FOUND	F359	78	78	7	7	Coding=Not Used	1	Present	Y359	Y359(Dec)=1; AB359(Edit)=01	0 = Absent\n1 = Present	PROXI Write I359 ('Table' column)	AC359=(empty)	(none in folder)		
Y	Toro(2261)\nAtl-Mi	Toro_ATL_MI	FCA_PROXI_BIN_EN_CRC16_Toro_20191112.XLSM	PROXI Write	Automatic_Recirculation	FOUND	F349	77	77	3	3	Coding=Not Used	1	Present	Y349	Y349(Dec)=1; AB349(Edit)=01	0 = Absent\n1 = Present	PROXI Write I349 ('Table' column)	AC349=(empty)	(none in folder)		
Y	Toro(2261)\nAtl-Mi	Toro_ATL_MI	FCA_PROXI_BIN_EN_CRC16_Toro_20191112.XLSM		HVAC_AUTO_ECO_Mode	ABSENT																regex /HVAC_AUTO_ECO_Mode/i over every cell of all sheets; sheets scanned: Data | PROXI Write | PROXI Read; 0 hits
Y	Toro(2261)\nAtl-Mi	Toro_ATL_MI	FCA_PROXI_BIN_EN_CRC16_Toro_20191112.XLSM		HVAC_Mode_Type	ABSENT																regex /HVAC_Mode_Type/i over every cell of all sheets; sheets scanned: Data | PROXI Write | PROXI Read; 0 hits
Z	Fastack (376)\nAtl-Mi	Fastback_ATL_MI	R1L_PROXI_363_376_3A_CR2783_20220802.XLSM	PROXI Write_Read	Climate_Type	FOUND	F347	77	77	0	1	Coding=Table	2	Automatic	Y347	Y347(Dec)=2; AB347(Edit)=02	 0 = Absent \n 1 = Manual \n 2 = Automatic	PROXI Write_Read I347 ('Table' column)	AC347=3	(none in folder)		
Z	Fastack (376)\nAtl-Mi	Fastback_ATL_MI	R1L_PROXI_363_376_3A_CR2783_20220802.XLSM	PROXI Write_Read	Rear_Climate	FOUND	F355	78	78	2	2	Coding=Not Used	0	Absent	Y355	Y355(Dec)=0; AB355(Edit)=00	 0 = Absent \n 1 = Present	PROXI Write_Read I355 ('Table' column)	AC355=1	(none in folder)		
Z	Fastack (376)\nAtl-Mi	Fastback_ATL_MI	R1L_PROXI_363_376_3A_CR2783_20220802.XLSM	PROXI Write_Read	Climate_Panel_Type	FOUND	F706	165	165	0	2	Coding=Not Used	0	Only blower knob	Y706	Y706(Dec)=0; AB706(Edit)=00	 0 = Only blower knob \n 1 = Only temp knob \n 2 = Only mode knob \n 3 = Temp and mode knobs \n 4 = Blower and mode knobs \n 5 = Temp and blower knobs \n 6 = 3 knobs \n 7 = No knobs	PROXI Write_Read I706 ('Table' column)	AC706=7	(none in folder)		
Z	Fastack (376)\nAtl-Mi	Fastback_ATL_MI	R1L_PROXI_363_376_3A_CR2783_20220802.XLSM	PROXI Write_Read	Integrated_Climate_Touchscreen	FOUND	F359	78	78	7	7	Coding=Table	1	Present	Y359	Y359(Dec)=1; AB359(Edit)=01	 0 = Absent \n 1 = Present	PROXI Write_Read I359 ('Table' column)	AC359=1	(none in folder)		
Z	Fastack (376)\nAtl-Mi	Fastback_ATL_MI	R1L_PROXI_363_376_3A_CR2783_20220802.XLSM	PROXI Write_Read	Automatic_Recirculation	FOUND	F349	77	77	3	3	Coding=Not Used	0	Absent	Y349	Y349(Dec)=0; AB349(Edit)=00	 0 = Absent \n 1 = Present	PROXI Write_Read I349 ('Table' column)	AC349=1	(none in folder)		
Z	Fastack (376)\nAtl-Mi	Fastback_ATL_MI	R1L_PROXI_363_376_3A_CR2783_20220802.XLSM		HVAC_AUTO_ECO_Mode	ABSENT																regex /HVAC_AUTO_ECO_Mode/i over every cell of all sheets; sheets scanned: Data | PROXI Write_Read; 0 hits
Z	Fastack (376)\nAtl-Mi	Fastback_ATL_MI	R1L_PROXI_363_376_3A_CR2783_20220802.XLSM		HVAC_Mode_Type	ABSENT																regex /HVAC_Mode_Type/i over every cell of all sheets; sheets scanned: Data | PROXI Write_Read; 0 hits
