# vm_unmapped.tsv —— CMF-04 §2（**只出 plan，未填入任何工作簿**：§3 四個停點全數命中，見上繳包 §0）。
# PROXI 值取 docs/reports/proxi_axis_values.tsv 之 `Dec`（含 label）—— R-C62 之裁定；
#   `Dec` 與 `PROXI Read` 不一致者，另一值以 [PROXI Read=n] 併列於同格。
# V=Promaster、Y=Toro、Z=Fastback（工作簿欄名）。
# R-C62-4：PC 載有軸，但該軸無 PROXI 參數對應 —— 三台維持 1，待 Pei。
tc_id	req_id	pc_line_verbatim	reason
NR1L-ComfortHMI-103	SWE1-HVAC-110-06	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-104	SWE1-HVAC-111-01	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-105	SWE1-HVAC-111-02	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-106	SWE1-HVAC-111-03	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-107	SWE1-HVAC-111-04	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-108	SWE1-HVAC-111-05	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-109	SWE1-HVAC-112-01	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-110	SWE1-HVAC-112-02	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-111	SWE1-HVAC-112-03	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-112	SWE1-HVAC-112-04	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-113	SWE1-HVAC-112-05	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-114	SWE1-HVAC-123	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-115	SWE1-HVAC-124-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-116	SWE1-HVAC-124-02	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-117	SWE1-HVAC-124-03	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-118	SWE1-HVAC-125-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-119	SWE1-HVAC-125-02	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-120	SWE1-HVAC-125-03	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-121	SWE1-HVAC-125-04	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-122	SWE1-HVAC-125-05	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-123	SWE1-HVAC-125-06	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-124	SWE1-HVAC-125-07	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-125	SWE1-HVAC-126-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-126	SWE1-HVAC-126-03	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-127	SWE1-HVAC-003-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-128	SWE1-HVAC-003-02	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-129	SWE1-HVAC-003-03	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-130	SWE1-HVAC-003-04	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-131	SWE1-HVAC-003-05	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-132	SWE1-HVAC-003-06	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-133	SWE1-HVAC-003-07	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-134	SWE1-HVAC-003-08	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-135	SWE1-HVAC-003-09	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-136	SWE1-HVAC-005-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-137	SWE1-HVAC-005-02	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-138	SWE1-HVAC-005-03	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-139	SWE1-HVAC-005-04	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-140	SWE1-HVAC-006-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-141	SWE1-HVAC-006-02	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-142	SWE1-HVAC-006-03	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-143	SWE1-HVAC-014-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-144	SWE1-HVAC-014-02	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-145	SWE1-HVAC-014-03	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-146	SWE1-HVAC-014-04	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-147	SWE1-HVAC-014-05	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-148	SWE1-HVAC-014-06	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-149	SWE1-HVAC-015-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-150	SWE1-HVAC-015-02	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-151	SWE1-HVAC-015-03	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-152	SWE1-HVAC-019-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-153	SWE1-HVAC-012-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-154	SWE1-HVAC-012-02	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-155	SWE1-HVAC-012-03	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-156	SWE1-HVAC-012-04	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-157	SWE1-HVAC-012-05	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-158	SWE1-HVAC-012-06	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-159	SWE1-HVAC-013-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-160	SWE1-HVAC-013-02	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-161	SWE1-HVAC-013-03	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-162	SWE1-HVAC-013-04	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-163	SWE1-HVAC-017-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-164	SWE1-HVAC-017-02	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-165	SWE1-HVAC-021-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-166	SWE1-HVAC-021-02	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
