tc_id	req_id	nav_steps	destination	entry_fixed_today	enter_comfort_reaches	missing_hop	hop_label_in_comfort_spec	hop_label_evidence	er_shift_if_rewritten
NR1L-ComfortHMI-048	SWE1-HVAC-008-01	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-049	SWE1-HVAC-008-02	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-050	SWE1-HVAC-008-03		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-051	SWE1-HVAC-008-04	Open a screen other than the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-052	SWE1-HVAC-008-05		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-053	SWE1-HVAC-009-01		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-054	SWE1-HVAC-009-02		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-055	SWE1-HVAC-009-03	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-056	SWE1-HVAC-009-04	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-057	SWE1-HVAC-009-05	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-058	SWE1-HVAC-009-06	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-059	SWE1-HVAC-010-01	Open the climate screen	Comfort category	no	yes（2 hops 到 Comfort app）	Comfort app -> Climate main	none	2.12.2／16.12.1 寫 `Climate main category control`，為描述語非按鍵標籤；10.8 之 `The Comfort main Menu Bar icon` 亦無 label	yes
NR1L-ComfortHMI-060	SWE1-HVAC-010-02	Open a screen other than the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-061	SWE1-HVAC-010-03	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-062	SWE1-HVAC-010-04	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-063	SWE1-HVAC-010-05	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-064	SWE1-HVAC-022-01	Open the climate screen and read the fan speed	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-065	SWE1-HVAC-022-02		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-066	SWE1-HVAC-011	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-067	SWE1-HVAC-044-01	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-068	SWE1-HVAC-045		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-069	SWE1-HVAC-046		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-070	SWE1-HVAC-047		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-071	SWE1-HVAC-048-01		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-072	SWE1-HVAC-048-02		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-073	SWE1-HVAC-048-03		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-074	SWE1-HVAC-049-01	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-075	SWE1-HVAC-049-02	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-076	SWE1-HVAC-050	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-077	SWE1-HVAC-051	(入口只宣告於 PC)	Comfort category	yes	yes（2 hops 到 Comfort app）	Comfort app -> Climate main	none	2.12.2／16.12.1 寫 `Climate main category control`，為描述語非按鍵標籤；10.8 之 `The Comfort main Menu Bar icon` 亦無 label	no
NR1L-ComfortHMI-078	SWE1-HVAC-052		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-079	SWE1-HVAC-053-01		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-080	SWE1-HVAC-053-02		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-081	SWE1-HVAC-044-02		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-082	SWE1-HVAC-106-01	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-083	SWE1-HVAC-106-02	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-084	SWE1-HVAC-106-03	Open a screen other than the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-085	SWE1-HVAC-106-04	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-086	SWE1-HVAC-106-05	Open a screen outside the climate main category	Comfort category	no	yes（2 hops 到 Comfort app）	Comfort app -> Climate main	none	2.12.2／16.12.1 寫 `Climate main category control`，為描述語非按鍵標籤；10.8 之 `The Comfort main Menu Bar icon` 亦無 label	yes
NR1L-ComfortHMI-087	SWE1-HVAC-106-06	Open a screen outside the climate main category	Comfort category	no	yes（2 hops 到 Comfort app）	Comfort app -> Climate main	none	2.12.2／16.12.1 寫 `Climate main category control`，為描述語非按鍵標籤；10.8 之 `The Comfort main Menu Bar icon` 亦無 label	yes
NR1L-ComfortHMI-088	SWE1-HVAC-106-07	Open a screen outside the climate main category	Comfort category	no	yes（2 hops 到 Comfort app）	Comfort app -> Climate main	none	2.12.2／16.12.1 寫 `Climate main category control`，為描述語非按鍵標籤；10.8 之 `The Comfort main Menu Bar icon` 亦無 label	yes
NR1L-ComfortHMI-089	SWE1-HVAC-106-08	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-090	SWE1-HVAC-106-09	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-091	SWE1-HVAC-120-01	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-092	SWE1-HVAC-120-02	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-093	SWE1-HVAC-120-03	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-094	SWE1-HVAC-122-01	Open the controls screen	Controls screen	no	yes（2 hops 到 Comfort app）	Comfort app -> controls screen	none	無按鍵標籤	yes
NR1L-ComfortHMI-095	SWE1-HVAC-122-03	Open the controls screen	Controls screen	no	yes（2 hops 到 Comfort app）	Comfort app -> controls screen	none	無按鍵標籤	yes
NR1L-ComfortHMI-096	SWE1-HVAC-122-04	Open the controls screen	Controls screen	no	yes（2 hops 到 Comfort app）	Comfort app -> controls screen	none	無按鍵標籤	yes
NR1L-ComfortHMI-097	SWE1-HVAC-122-05	(入口只宣告於 PC)	Controls screen	no	yes（2 hops 到 Comfort app）	Comfort app -> controls screen	none	無按鍵標籤	yes
NR1L-ComfortHMI-098	SWE1-HVAC-110-01	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-099	SWE1-HVAC-110-02	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-100	SWE1-HVAC-110-03	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-101	SWE1-HVAC-110-04	Open a screen other than the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-102	SWE1-HVAC-110-05	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-103	SWE1-HVAC-110-06	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-104	SWE1-HVAC-111-01	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-105	SWE1-HVAC-111-02	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-106	SWE1-HVAC-111-03	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-107	SWE1-HVAC-111-04	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-108	SWE1-HVAC-111-05		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-109	SWE1-HVAC-112-01	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-110	SWE1-HVAC-112-02	Open the climate screen	Comfort category	no	yes（2 hops 到 Comfort app）	Comfort app -> Climate main	none	2.12.2／16.12.1 寫 `Climate main category control`，為描述語非按鍵標籤；10.8 之 `The Comfort main Menu Bar icon` 亦無 label	yes
NR1L-ComfortHMI-111	SWE1-HVAC-112-03	Open a screen other than the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-112	SWE1-HVAC-112-04	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-113	SWE1-HVAC-112-05	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-114	SWE1-HVAC-123	Open the climate screen and read the fan speed indicator	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-115	SWE1-HVAC-124-01	Open the home screen | Move through the Comfort widget screens until the first screen is shown again	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
NR1L-ComfortHMI-116	SWE1-HVAC-124-02	Open the home screen	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
NR1L-ComfortHMI-117	SWE1-HVAC-124-03	Open the home screen | Move to the second Comfort widget screen	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
