# coverage.tsv —— CMF-06 §3-6：403 個 leaf（Requirement ID）→ TC 之對映。
# `workbook_tc_ids` 為交付本 F 欄之值；`json_tc_ids` 為語料層之 tc_id ——
#   依 R-C46 既有 466 列之 F 不重編，兩者自 CMF-02 起為兩套號碼（A-CMF19）。
# `vehicle_V_Y_Z` 逐列之三台旗標（V Promaster／Y Toro／Z Fastback）。
# `blocked` 非空者為佔列不產步驟之 marker 列（R-C24／R-C38）。
req_id	outline	tc_count	workbook_rows	workbook_tc_ids	json_tc_ids	vehicle_V_Y_Z	blocked
SWE1-HVAC-020-03	2.14	1	119	NR1L-ComfortHMI-109	NR1L-ComfortHMI-045	010	
SWE1-HVAC-020-04	2.14	2	120,121	NR1L-ComfortHMI-110,NR1L-ComfortHMI-111	NR1L-ComfortHMI-046,NR1L-ComfortHMI-047	010;000	
SWE1-HVAC-021-01	2.15	1	122	NR1L-ComfortHMI-112	NR1L-ComfortHMI-165	101	
SWE1-HVAC-021-02	2.15	1	123	NR1L-ComfortHMI-113	NR1L-ComfortHMI-166	101	
SWE1-HVAC-022-01	2.16	1	124	NR1L-ComfortHMI-114	NR1L-ComfortHMI-064	101	
SWE1-HVAC-022-02	2.16	1	125	NR1L-ComfortHMI-115	NR1L-ComfortHMI-065	101	
SWE1-HVAC-023-01	3.1	3	126,127,128	NR1L-ComfortHMI-116,NR1L-ComfortHMI-117,NR1L-ComfortHMI-118	NR1L-ComfortHMI-015,NR1L-ComfortHMI-397,NR1L-ComfortHMI-398	000;000;000	
SWE1-HVAC-023-02	3.1	1	129	NR1L-ComfortHMI-119	NR1L-ComfortHMI-016	000	
SWE1-HVAC-023-03	3.1	2	130,131	NR1L-ComfortHMI-120,NR1L-ComfortHMI-121	NR1L-ComfortHMI-017,NR1L-ComfortHMI-399	000;000	
SWE1-HVAC-024-01	3.2	1	132	NR1L-ComfortHMI-122	NR1L-ComfortHMI-018	101	
SWE1-HVAC-024-02	3.2	1	133	NR1L-ComfortHMI-123	NR1L-ComfortHMI-019	101	
SWE1-HVAC-024-03	3.2	1	134	NR1L-ComfortHMI-124	NR1L-ComfortHMI-020	101	
SWE1-HVAC-024-04	3.2	1	135	NR1L-ComfortHMI-125	NR1L-ComfortHMI-021	101	
SWE1-HVAC-024-05	3.2	1	136	NR1L-ComfortHMI-126	NR1L-ComfortHMI-022	101	
SWE1-HVAC-024-06	3.2	1	137	NR1L-ComfortHMI-127	NR1L-ComfortHMI-023	101	
SWE1-HVAC-024-07	3.2	4	138,139,140,141	NR1L-ComfortHMI-128,NR1L-ComfortHMI-129,NR1L-ComfortHMI-130,NR1L-ComfortHMI-131	NR1L-ComfortHMI-024,NR1L-ComfortHMI-025,NR1L-ComfortHMI-026,NR1L-ComfortHMI-027	101;101;101;101	
SWE1-HVAC-024-08	3.2	1	142	NR1L-ComfortHMI-132	NR1L-ComfortHMI-028	101	
SWE1-HVAC-025-01	3.3	1	143	NR1L-ComfortHMI-133	NR1L-ComfortHMI-029	101	
SWE1-HVAC-025-02	3.3	1	144	NR1L-ComfortHMI-134	NR1L-ComfortHMI-030	101	
SWE1-HVAC-026	3.4	1	145	NR1L-ComfortHMI-135	NR1L-ComfortHMI-031	101	
SWE1-HVAC-027	6.3	1	146	NR1L-ComfortHMI-136	NR1L-ComfortHMI-041	101	
SWE1-HVAC-028-01	7.1	1	147	NR1L-ComfortHMI-137	NR1L-ComfortHMI-266	000	
SWE1-HVAC-028-02	7.1	1	148	NR1L-ComfortHMI-138	NR1L-ComfortHMI-267	000	
SWE1-HVAC-028-03	7.1	1	149	NR1L-ComfortHMI-139	NR1L-ComfortHMI-268	000	
SWE1-HVAC-029-01	7.1.1	1	150	NR1L-ComfortHMI-140	NR1L-ComfortHMI-269	101	
SWE1-HVAC-029-02	7.1.1	1	151	NR1L-ComfortHMI-141	NR1L-ComfortHMI-270	101	
SWE1-HVAC-029-03	7.1.1	1	152	NR1L-ComfortHMI-142	NR1L-ComfortHMI-271	000	
SWE1-HVAC-030-01	7.2	1	153	NR1L-ComfortHMI-143	NR1L-ComfortHMI-272	000	
SWE1-HVAC-030-02	7.2	1	154	NR1L-ComfortHMI-144	NR1L-ComfortHMI-273	000	
SWE1-HVAC-030-03	7.2	1	155	NR1L-ComfortHMI-145	NR1L-ComfortHMI-274	000	
SWE1-HVAC-030-04	7.2	1	156	NR1L-ComfortHMI-146	NR1L-ComfortHMI-275	000	
SWE1-HVAC-030-05	7.2	1	157	NR1L-ComfortHMI-147	NR1L-ComfortHMI-276	000	
SWE1-HVAC-031-01	7.3	2	158,159	NR1L-ComfortHMI-148,NR1L-ComfortHMI-149	NR1L-ComfortHMI-277,NR1L-ComfortHMI-400	000;000	
SWE1-HVAC-031-02	7.3	1	160	NR1L-ComfortHMI-150	NR1L-ComfortHMI-278	000	
SWE1-HVAC-031-03	7.3	1	161	NR1L-ComfortHMI-151	NR1L-ComfortHMI-279	000	
SWE1-HVAC-032-01	7.4	3	162,163,164	NR1L-ComfortHMI-152,NR1L-ComfortHMI-153,NR1L-ComfortHMI-154	NR1L-ComfortHMI-280,NR1L-ComfortHMI-401,NR1L-ComfortHMI-402	000;000;000	
SWE1-HVAC-032-02	7.4	1	165	NR1L-ComfortHMI-155	NR1L-ComfortHMI-281	000	
SWE1-HVAC-032-03	7.4	1	166	NR1L-ComfortHMI-156	NR1L-ComfortHMI-282	000	
SWE1-HVAC-032-04	7.4	2	167,168	NR1L-ComfortHMI-157,NR1L-ComfortHMI-158	NR1L-ComfortHMI-283,NR1L-ComfortHMI-403	000;000	
SWE1-HVAC-033-01	7.5	2	169,170	NR1L-ComfortHMI-159,NR1L-ComfortHMI-160	NR1L-ComfortHMI-284,NR1L-ComfortHMI-404	000;000	
SWE1-HVAC-033-02	7.5	1	171	NR1L-ComfortHMI-161	NR1L-ComfortHMI-285	000	
SWE1-HVAC-033-03	7.5	1	172	NR1L-ComfortHMI-162	NR1L-ComfortHMI-286	000	
SWE1-HVAC-033-04	7.5	1	173	NR1L-ComfortHMI-163	NR1L-ComfortHMI-287	000	
SWE1-HVAC-034-01	7.6	1	174	NR1L-ComfortHMI-164	NR1L-ComfortHMI-288	000	
SWE1-HVAC-034-02	7.6	1	175	NR1L-ComfortHMI-165	NR1L-ComfortHMI-289	000	
SWE1-HVAC-034-03	7.6	1	176	NR1L-ComfortHMI-166	NR1L-ComfortHMI-290	000	
SWE1-HVAC-034-04	7.6	1	177	NR1L-ComfortHMI-167	NR1L-ComfortHMI-291	000	
SWE1-HVAC-034-05	7.6	1	178	NR1L-ComfortHMI-168	NR1L-ComfortHMI-292	000	
SWE1-HVAC-035-01	7.7	1	179	NR1L-ComfortHMI-169	NR1L-ComfortHMI-293	000	
SWE1-HVAC-035-02	7.7	1	180	NR1L-ComfortHMI-170	NR1L-ComfortHMI-294	000	
SWE1-HVAC-035-03	7.7	1	181	NR1L-ComfortHMI-171	NR1L-ComfortHMI-295	000	
SWE1-HVAC-036-01	7.8	3	182,183,184	NR1L-ComfortHMI-172,NR1L-ComfortHMI-173,NR1L-ComfortHMI-174	NR1L-ComfortHMI-296,NR1L-ComfortHMI-405,NR1L-ComfortHMI-406	000;000;000	
SWE1-HVAC-036-02	7.8	1	185	NR1L-ComfortHMI-175	NR1L-ComfortHMI-297	000	
SWE1-HVAC-036-03	7.8	1	186	NR1L-ComfortHMI-176	NR1L-ComfortHMI-298	000	
SWE1-HVAC-036-04	7.8	1	187	NR1L-ComfortHMI-177	NR1L-ComfortHMI-299	000	
SWE1-HVAC-036-05	7.8	2	188,189	NR1L-ComfortHMI-178,NR1L-ComfortHMI-179	NR1L-ComfortHMI-300,NR1L-ComfortHMI-407	000;000	
SWE1-HVAC-037	7.9	1	190	NR1L-ComfortHMI-180	NR1L-ComfortHMI-301	000	
SWE1-HVAC-038-01	7.10	1	191	NR1L-ComfortHMI-181	NR1L-ComfortHMI-302	101	
SWE1-HVAC-038-02	7.10	1	192	NR1L-ComfortHMI-182	NR1L-ComfortHMI-303	101	
SWE1-HVAC-039	9.1	1	193	NR1L-ComfortHMI-183	NR1L-ComfortHMI-459	101	
SWE1-HVAC-040-01	9.2	3	194,195,196	NR1L-ComfortHMI-184,NR1L-ComfortHMI-185,NR1L-ComfortHMI-186	NR1L-ComfortHMI-367,NR1L-ComfortHMI-408,NR1L-ComfortHMI-409	101;101;101	
SWE1-HVAC-040-02	9.2	1	197	NR1L-ComfortHMI-187	NR1L-ComfortHMI-368	101	
SWE1-HVAC-041	9.3	1	198	NR1L-ComfortHMI-188	NR1L-ComfortHMI-369	101	
SWE1-HVAC-042-01	9.4	1	199	NR1L-ComfortHMI-189	NR1L-ComfortHMI-370	101	
SWE1-HVAC-042-02	9.4	1	200	NR1L-ComfortHMI-190	NR1L-ComfortHMI-371	101	
SWE1-HVAC-042-03	9.4	1	201	NR1L-ComfortHMI-191	NR1L-ComfortHMI-372	101	
SWE1-HVAC-043	9.4.1	1	202	NR1L-ComfortHMI-192	NR1L-ComfortHMI-373	101	
SWE1-HVAC-044-01	10.1	1	203	NR1L-ComfortHMI-193	NR1L-ComfortHMI-067	101	
SWE1-HVAC-044-02	10.1	1	204	NR1L-ComfortHMI-194	NR1L-ComfortHMI-081	101	[BLOCKED-NON-HMI]
SWE1-HVAC-045	10.2	1	205	NR1L-ComfortHMI-195	NR1L-ComfortHMI-068	101	
SWE1-HVAC-046	10.3	1	206	NR1L-ComfortHMI-196	NR1L-ComfortHMI-069	101	
SWE1-HVAC-047	10.4	2	207,208	NR1L-ComfortHMI-197,NR1L-ComfortHMI-198	NR1L-ComfortHMI-070,NR1L-ComfortHMI-460	101;000	
SWE1-HVAC-048-01	10.5	1	209	NR1L-ComfortHMI-199	NR1L-ComfortHMI-071	101	
SWE1-HVAC-048-02	10.5	1	210	NR1L-ComfortHMI-200	NR1L-ComfortHMI-072	101	
SWE1-HVAC-048-03	10.5	1	211	NR1L-ComfortHMI-201	NR1L-ComfortHMI-073	101	
SWE1-HVAC-049-01	10.6	1	212	NR1L-ComfortHMI-202	NR1L-ComfortHMI-074	101	
SWE1-HVAC-049-02	10.6	1	213	NR1L-ComfortHMI-203	NR1L-ComfortHMI-075	101	
SWE1-HVAC-050	10.7	1	214	NR1L-ComfortHMI-204	NR1L-ComfortHMI-076	101	
SWE1-HVAC-051	10.8	1	215	NR1L-ComfortHMI-205	NR1L-ComfortHMI-077	101	
SWE1-HVAC-052	10.9	1	216	NR1L-ComfortHMI-206	NR1L-ComfortHMI-078	101	
SWE1-HVAC-053-01	10.9.1	1	217	NR1L-ComfortHMI-207	NR1L-ComfortHMI-079	101	
SWE1-HVAC-053-02	10.9.1	1	218	NR1L-ComfortHMI-208	NR1L-ComfortHMI-080	101	
SWE1-HVAC-054-01	11.1	1	219	NR1L-ComfortHMI-209	NR1L-ComfortHMI-304	101	
SWE1-HVAC-054-02	11.1	1	220	NR1L-ComfortHMI-210	NR1L-ComfortHMI-305	101	
SWE1-HVAC-054-03	11.1	1	221	NR1L-ComfortHMI-211	NR1L-ComfortHMI-306	101	
SWE1-HVAC-054-04	11.1	1	222	NR1L-ComfortHMI-212	NR1L-ComfortHMI-307	101	
SWE1-HVAC-055-01	11.2	1	223	NR1L-ComfortHMI-213	NR1L-ComfortHMI-308	101	
SWE1-HVAC-055-02	11.2	1	224	NR1L-ComfortHMI-214	NR1L-ComfortHMI-309	101	
SWE1-HVAC-055-03	11.2	1	225	NR1L-ComfortHMI-215	NR1L-ComfortHMI-310	101	
SWE1-HVAC-055-04	11.2	1	226	NR1L-ComfortHMI-216	NR1L-ComfortHMI-311	101	
SWE1-HVAC-056	11.3	1	227	NR1L-ComfortHMI-217	NR1L-ComfortHMI-312	101	
SWE1-HVAC-057-01	11.4	1	228	NR1L-ComfortHMI-218	NR1L-ComfortHMI-313	101	
SWE1-HVAC-057-02	11.4	1	229	NR1L-ComfortHMI-219	NR1L-ComfortHMI-314	101	
SWE1-HVAC-058	11.5	1	230	NR1L-ComfortHMI-220	NR1L-ComfortHMI-382	101	
SWE1-HVAC-059-01	11.6	1	231	NR1L-ComfortHMI-221	NR1L-ComfortHMI-315	101	
SWE1-HVAC-059-02	11.6	1	232	NR1L-ComfortHMI-222	NR1L-ComfortHMI-316	101	
SWE1-HVAC-059-03	11.6	1	233	NR1L-ComfortHMI-223	NR1L-ComfortHMI-317	101	
SWE1-HVAC-059-04	11.6	1	234	NR1L-ComfortHMI-224	NR1L-ComfortHMI-318	101	
SWE1-HVAC-059-05	11.6	1	235	NR1L-ComfortHMI-225	NR1L-ComfortHMI-319	101	
SWE1-HVAC-059-06	11.6	1	236	NR1L-ComfortHMI-226	NR1L-ComfortHMI-320	101	
SWE1-HVAC-060-01	11.6.1	1	237	NR1L-ComfortHMI-227	NR1L-ComfortHMI-321	101	
SWE1-HVAC-060-02	11.6.1	1	238	NR1L-ComfortHMI-228	NR1L-ComfortHMI-322	101	
SWE1-HVAC-061-01	11.7	1	239	NR1L-ComfortHMI-229	NR1L-ComfortHMI-323	101	
SWE1-HVAC-061-02	11.7	1	240	NR1L-ComfortHMI-230	NR1L-ComfortHMI-324	101	
SWE1-HVAC-061-03	11.7	1	241	NR1L-ComfortHMI-231	NR1L-ComfortHMI-325	101	
SWE1-HVAC-061-04	11.7	1	242	NR1L-ComfortHMI-232	NR1L-ComfortHMI-326	101	
SWE1-HVAC-062-01	11.8	1	243	NR1L-ComfortHMI-233	NR1L-ComfortHMI-327	101	
SWE1-HVAC-062-02	11.8	1	244	NR1L-ComfortHMI-234	NR1L-ComfortHMI-328	101	
SWE1-HVAC-062-03	11.8	1	245	NR1L-ComfortHMI-235	NR1L-ComfortHMI-329	101	
SWE1-HVAC-062-04	11.8	1	246	NR1L-ComfortHMI-236	NR1L-ComfortHMI-330	101	
SWE1-HVAC-063-01	11.9	1	247	NR1L-ComfortHMI-237	NR1L-ComfortHMI-331	101	
SWE1-HVAC-063-02	11.9	1	248	NR1L-ComfortHMI-238	NR1L-ComfortHMI-332	101	
SWE1-HVAC-064-01	11.10	1	249	NR1L-ComfortHMI-239	NR1L-ComfortHMI-333	101	
SWE1-HVAC-064-02	11.10	1	250	NR1L-ComfortHMI-240	NR1L-ComfortHMI-334	101	
SWE1-HVAC-064-03	11.10	1	251	NR1L-ComfortHMI-241	NR1L-ComfortHMI-335	101	
SWE1-HVAC-065-01	11.11	1	252	NR1L-ComfortHMI-242	NR1L-ComfortHMI-336	101	
SWE1-HVAC-065-02	11.11	1	253	NR1L-ComfortHMI-243	NR1L-ComfortHMI-337	101	
SWE1-HVAC-065-03	11.11	1	254	NR1L-ComfortHMI-244	NR1L-ComfortHMI-338	101	
SWE1-HVAC-066	11.11.1	1	255	NR1L-ComfortHMI-245	NR1L-ComfortHMI-339	101	
SWE1-HVAC-067-01	12.1	1	256	NR1L-ComfortHMI-246	NR1L-ComfortHMI-340	101	
SWE1-HVAC-067-02	12.1	1	257	NR1L-ComfortHMI-247	NR1L-ComfortHMI-341	101	
SWE1-HVAC-067-03	12.1	1	258	NR1L-ComfortHMI-248	NR1L-ComfortHMI-342	101	
SWE1-HVAC-067-04	12.1	1	259	NR1L-ComfortHMI-249	NR1L-ComfortHMI-343	101	
SWE1-HVAC-068-01	12.2	1	260	NR1L-ComfortHMI-250	NR1L-ComfortHMI-344	101	
SWE1-HVAC-068-02	12.2	1	261	NR1L-ComfortHMI-251	NR1L-ComfortHMI-345	101	
SWE1-HVAC-068-03	12.2	1	262	NR1L-ComfortHMI-252	NR1L-ComfortHMI-346	101	
