cell	sheet	tc_id	item	v3	v4
Y113	Test Case Specification 測試用例規範	NR1L-ComfortHMI-457	R-C48(amend2)/R-C62 車型欄	1	0
Z113	Test Case Specification 測試用例規範	NR1L-ComfortHMI-457	R-C48(amend2)/R-C62 車型欄	1	0
Y114	Test Case Specification 測試用例規範	NR1L-ComfortHMI-152	R-C48(amend2)/R-C62 車型欄	1	0
Y115	Test Case Specification 測試用例規範	NR1L-ComfortHMI-458	R-C48(amend2)/R-C62 車型欄	1	0
Y116	Test Case Specification 測試用例規範	NR1L-ComfortHMI-466	R-C48(amend2)/R-C62 車型欄	1	0
V117	Test Case Specification 測試用例規範	NR1L-ComfortHMI-043	R-C48(amend2)/R-C62 車型欄	1	0
Y117	Test Case Specification 測試用例規範	NR1L-ComfortHMI-043	R-C48(amend2)/R-C62 車型欄	1	0
Z117	Test Case Specification 測試用例規範	NR1L-ComfortHMI-043	R-C48(amend2)/R-C62 車型欄	1	0
V118	Test Case Specification 測試用例規範	NR1L-ComfortHMI-044	R-C48(amend2)/R-C62 車型欄	1	0
Y118	Test Case Specification 測試用例規範	NR1L-ComfortHMI-044	R-C48(amend2)/R-C62 車型欄	1	0
Z118	Test Case Specification 測試用例規範	NR1L-ComfortHMI-044	R-C48(amend2)/R-C62 車型欄	1	0
V119	Test Case Specification 測試用例規範	NR1L-ComfortHMI-045	R-C48(amend2)/R-C62 車型欄	1	0
Z119	Test Case Specification 測試用例規範	NR1L-ComfortHMI-045	R-C48(amend2)/R-C62 車型欄	1	0
V120	Test Case Specification 測試用例規範	NR1L-ComfortHMI-046	R-C48(amend2)/R-C62 車型欄	1	0
Z120	Test Case Specification 測試用例規範	NR1L-ComfortHMI-046	R-C48(amend2)/R-C62 車型欄	1	0
V121	Test Case Specification 測試用例規範	NR1L-ComfortHMI-047	R-C48(amend2)/R-C62 車型欄	1	0
Y121	Test Case Specification 測試用例規範	NR1L-ComfortHMI-047	R-C48(amend2)/R-C62 車型欄	1	0
Z121	Test Case Specification 測試用例規範	NR1L-ComfortHMI-047	R-C48(amend2)/R-C62 車型欄	1	0
Y122	Test Case Specification 測試用例規範	NR1L-ComfortHMI-165	R-C48(amend2)/R-C62 車型欄	1	0
Y123	Test Case Specification 測試用例規範	NR1L-ComfortHMI-166	R-C48(amend2)/R-C62 車型欄	1	0
Y124	Test Case Specification 測試用例規範	NR1L-ComfortHMI-064	R-C48(amend2)/R-C62 車型欄	1	0
Y125	Test Case Specification 測試用例規範	NR1L-ComfortHMI-065	R-C48(amend2)/R-C62 車型欄	1	0
V126	Test Case Specification 測試用例規範	NR1L-ComfortHMI-015	R-C48(amend2)/R-C62 車型欄	1	0
Y126	Test Case Specification 測試用例規範	NR1L-ComfortHMI-015	R-C48(amend2)/R-C62 車型欄	1	0
Z126	Test Case Specification 測試用例規範	NR1L-ComfortHMI-015	R-C48(amend2)/R-C62 車型欄	1	0
V127	Test Case Specification 測試用例規範	NR1L-ComfortHMI-397	R-C48(amend2)/R-C62 車型欄	1	0
Y127	Test Case Specification 測試用例規範	NR1L-ComfortHMI-397	R-C48(amend2)/R-C62 車型欄	1	0
Z127	Test Case Specification 測試用例規範	NR1L-ComfortHMI-397	R-C48(amend2)/R-C62 車型欄	1	0
V128	Test Case Specification 測試用例規範	NR1L-ComfortHMI-398	R-C48(amend2)/R-C62 車型欄	1	0
Y128	Test Case Specification 測試用例規範	NR1L-ComfortHMI-398	R-C48(amend2)/R-C62 車型欄	1	0
Z128	Test Case Specification 測試用例規範	NR1L-ComfortHMI-398	R-C48(amend2)/R-C62 車型欄	1	0
V129	Test Case Specification 測試用例規範	NR1L-ComfortHMI-016	R-C48(amend2)/R-C62 車型欄	1	0
Y129	Test Case Specification 測試用例規範	NR1L-ComfortHMI-016	R-C48(amend2)/R-C62 車型欄	1	0
Z129	Test Case Specification 測試用例規範	NR1L-ComfortHMI-016	R-C48(amend2)/R-C62 車型欄	1	0
V130	Test Case Specification 測試用例規範	NR1L-ComfortHMI-017	R-C48(amend2)/R-C62 車型欄	1	0
Y130	Test Case Specification 測試用例規範	NR1L-ComfortHMI-017	R-C48(amend2)/R-C62 車型欄	1	0
Z130	Test Case Specification 測試用例規範	NR1L-ComfortHMI-017	R-C48(amend2)/R-C62 車型欄	1	0
V131	Test Case Specification 測試用例規範	NR1L-ComfortHMI-399	R-C48(amend2)/R-C62 車型欄	1	0
Y131	Test Case Specification 測試用例規範	NR1L-ComfortHMI-399	R-C48(amend2)/R-C62 車型欄	1	0
Z131	Test Case Specification 測試用例規範	NR1L-ComfortHMI-399	R-C48(amend2)/R-C62 車型欄	1	0
Y132	Test Case Specification 測試用例規範	NR1L-ComfortHMI-018	R-C48(amend2)/R-C62 車型欄	1	0
Y133	Test Case Specification 測試用例規範	NR1L-ComfortHMI-019	R-C48(amend2)/R-C62 車型欄	1	0
Y134	Test Case Specification 測試用例規範	NR1L-ComfortHMI-020	R-C48(amend2)/R-C62 車型欄	1	0
Y135	Test Case Specification 測試用例規範	NR1L-ComfortHMI-021	R-C48(amend2)/R-C62 車型欄	1	0
Y136	Test Case Specification 測試用例規範	NR1L-ComfortHMI-022	R-C48(amend2)/R-C62 車型欄	1	0
Y137	Test Case Specification 測試用例規範	NR1L-ComfortHMI-023	R-C48(amend2)/R-C62 車型欄	1	0
Y138	Test Case Specification 測試用例規範	NR1L-ComfortHMI-024	R-C48(amend2)/R-C62 車型欄	1	0
Y139	Test Case Specification 測試用例規範	NR1L-ComfortHMI-025	R-C48(amend2)/R-C62 車型欄	1	0
Y140	Test Case Specification 測試用例規範	NR1L-ComfortHMI-026	R-C48(amend2)/R-C62 車型欄	1	0
Y141	Test Case Specification 測試用例規範	NR1L-ComfortHMI-027	R-C48(amend2)/R-C62 車型欄	1	0
Y142	Test Case Specification 測試用例規範	NR1L-ComfortHMI-028	R-C48(amend2)/R-C62 車型欄	1	0
Y143	Test Case Specification 測試用例規範	NR1L-ComfortHMI-029	R-C48(amend2)/R-C62 車型欄	1	0
Y144	Test Case Specification 測試用例規範	NR1L-ComfortHMI-030	R-C48(amend2)/R-C62 車型欄	1	0
Y145	Test Case Specification 測試用例規範	NR1L-ComfortHMI-031	R-C48(amend2)/R-C62 車型欄	1	0
Y146	Test Case Specification 測試用例規範	NR1L-ComfortHMI-041	R-C48(amend2)/R-C62 車型欄	1	0
V147	Test Case Specification 測試用例規範	NR1L-ComfortHMI-266	R-C48(amend2)/R-C62 車型欄	1	0
Y147	Test Case Specification 測試用例規範	NR1L-ComfortHMI-266	R-C48(amend2)/R-C62 車型欄	1	0
Z147	Test Case Specification 測試用例規範	NR1L-ComfortHMI-266	R-C48(amend2)/R-C62 車型欄	1	0
V148	Test Case Specification 測試用例規範	NR1L-ComfortHMI-267	R-C48(amend2)/R-C62 車型欄	1	0
Y148	Test Case Specification 測試用例規範	NR1L-ComfortHMI-267	R-C48(amend2)/R-C62 車型欄	1	0
Z148	Test Case Specification 測試用例規範	NR1L-ComfortHMI-267	R-C48(amend2)/R-C62 車型欄	1	0
V149	Test Case Specification 測試用例規範	NR1L-ComfortHMI-268	R-C48(amend2)/R-C62 車型欄	1	0
Y149	Test Case Specification 測試用例規範	NR1L-ComfortHMI-268	R-C48(amend2)/R-C62 車型欄	1	0
Z149	Test Case Specification 測試用例規範	NR1L-ComfortHMI-268	R-C48(amend2)/R-C62 車型欄	1	0
Y150	Test Case Specification 測試用例規範	NR1L-ComfortHMI-269	R-C48(amend2)/R-C62 車型欄	1	0
Y151	Test Case Specification 測試用例規範	NR1L-ComfortHMI-270	R-C48(amend2)/R-C62 車型欄	1	0
V152	Test Case Specification 測試用例規範	NR1L-ComfortHMI-271	R-C48(amend2)/R-C62 車型欄	1	0
Y152	Test Case Specification 測試用例規範	NR1L-ComfortHMI-271	R-C48(amend2)/R-C62 車型欄	1	0
Z152	Test Case Specification 測試用例規範	NR1L-ComfortHMI-271	R-C48(amend2)/R-C62 車型欄	1	0
V153	Test Case Specification 測試用例規範	NR1L-ComfortHMI-272	R-C48(amend2)/R-C62 車型欄	1	0
Y153	Test Case Specification 測試用例規範	NR1L-ComfortHMI-272	R-C48(amend2)/R-C62 車型欄	1	0
Z153	Test Case Specification 測試用例規範	NR1L-ComfortHMI-272	R-C48(amend2)/R-C62 車型欄	1	0
V154	Test Case Specification 測試用例規範	NR1L-ComfortHMI-273	R-C48(amend2)/R-C62 車型欄	1	0
Y154	Test Case Specification 測試用例規範	NR1L-ComfortHMI-273	R-C48(amend2)/R-C62 車型欄	1	0
Z154	Test Case Specification 測試用例規範	NR1L-ComfortHMI-273	R-C48(amend2)/R-C62 車型欄	1	0
V155	Test Case Specification 測試用例規範	NR1L-ComfortHMI-274	R-C48(amend2)/R-C62 車型欄	1	0
Y155	Test Case Specification 測試用例規範	NR1L-ComfortHMI-274	R-C48(amend2)/R-C62 車型欄	1	0
Z155	Test Case Specification 測試用例規範	NR1L-ComfortHMI-274	R-C48(amend2)/R-C62 車型欄	1	0
V156	Test Case Specification 測試用例規範	NR1L-ComfortHMI-275	R-C48(amend2)/R-C62 車型欄	1	0
Y156	Test Case Specification 測試用例規範	NR1L-ComfortHMI-275	R-C48(amend2)/R-C62 車型欄	1	0
Z156	Test Case Specification 測試用例規範	NR1L-ComfortHMI-275	R-C48(amend2)/R-C62 車型欄	1	0
V157	Test Case Specification 測試用例規範	NR1L-ComfortHMI-276	R-C48(amend2)/R-C62 車型欄	1	0
Y157	Test Case Specification 測試用例規範	NR1L-ComfortHMI-276	R-C48(amend2)/R-C62 車型欄	1	0
Z157	Test Case Specification 測試用例規範	NR1L-ComfortHMI-276	R-C48(amend2)/R-C62 車型欄	1	0
V158	Test Case Specification 測試用例規範	NR1L-ComfortHMI-277	R-C48(amend2)/R-C62 車型欄	1	0
Y158	Test Case Specification 測試用例規範	NR1L-ComfortHMI-277	R-C48(amend2)/R-C62 車型欄	1	0
