# vm_assign.tsv —— CMF-04 §2（**只出 plan，未填入任何工作簿**：§3 四個停點全數命中，見上繳包 §0）。
# PROXI 值取 docs/reports/proxi_axis_values.tsv 之 `Dec`（含 label）—— R-C62 之裁定；
#   `Dec` 與 `PROXI Read` 不一致者，另一值以 [PROXI Read=n] 併列於同格。
# V=Promaster、Y=Toro、Z=Fastback（工作簿欄名）。
# rule_branch 對應 CMF-04 §1 之四列；`(test-setup 蘊含)` 為執行層之判斷，見上繳包 §2-3。
# ~~CMF-06 §2／R-C67（2026-09-22）：R-C67 裁「本交付三台皆非 EMEA ICS 車」，**本輪未套用**。~~
#   其所指之 `-403`／`-404` 為**工作簿 F**（req `116-03`／`116-04`），該二列已為 V=Y=Z=0，無格可改。
#   若套用，涵蓋面為帶正向 EMEA PC 之 119 條 TC（112 列／229 格），三台皆 0 由 65 升為 177 —— 見 A-CMF24。
#   本表之值仍為 R-C62 之判定（＝候選本 v4 與交付候選本所填之值）。
# CMF-07／R-C68（Pei 2026-09-22「可以的話不寫 EMEA 也沒問題，因為不含在販售的範圍內」）：
#   帶正向 EMEA PC 之 119 條 TC，V／Y／Z 全 0（判準機械化：PC 含該句）。**列保留、不刪**（R-C46）。
#   實改 112 列／229 格；307 條否定式 EMEA PC 不動。依 R-C63 不加 Remarks。
tc_id	req_id	V_Promaster	Y_Toro	Z_Fastback	all_zero	rule_branch	deciding_pc_lines	proxi_params	proxi_values_dec	per_axis_result
NR1L-ComfortHMI-016	SWE1-HVAC-023-02	0	0	0	YES	R-C62-1	The vehicle is equipped with Tri-Mode climate ‖ The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	HVAC_Mode_Type ‖ Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=0(No Trimode)／Toro=None(ABSENT)／Fastback=None(ABSENT) ‖ Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=0／Toro=0／Fastback=0 ‖ Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-017	SWE1-HVAC-023-03	0	0	0	YES	R-C62-1	The vehicle is equipped with Tri-Mode climate ‖ The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	HVAC_Mode_Type ‖ Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=0(No Trimode)／Toro=None(ABSENT)／Fastback=None(ABSENT) ‖ Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=0／Toro=0／Fastback=0 ‖ Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-018	SWE1-HVAC-024-01	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-019	SWE1-HVAC-024-02	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-020	SWE1-HVAC-024-03	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-021	SWE1-HVAC-024-04	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-022	SWE1-HVAC-024-05	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-023	SWE1-HVAC-024-06	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-024	SWE1-HVAC-024-07	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-025	SWE1-HVAC-024-07	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-026	SWE1-HVAC-024-07	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-027	SWE1-HVAC-024-07	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-028	SWE1-HVAC-024-08	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-029	SWE1-HVAC-025-01	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-030	SWE1-HVAC-025-02	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-031	SWE1-HVAC-026	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-032	SWE1-HVAC-002-01	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-033	SWE1-HVAC-002-02	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-034	SWE1-HVAC-002-03	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-035	SWE1-HVAC-002-04	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-036	SWE1-HVAC-002-05	1	0	1		R-C62-1	The climate system is ATC ‖ The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Type ‖ Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=2(Automatic)[PROXI Read=3]／Toro=1(Manual)／Fastback=2(Automatic)[PROXI Read=3] ‖ Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1 ‖ Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-037	SWE1-HVAC-002-05	1	0	1		R-C62-1	The climate system is ATC ‖ The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Type ‖ Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=2(Automatic)[PROXI Read=3]／Toro=1(Manual)／Fastback=2(Automatic)[PROXI Read=3] ‖ Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1 ‖ Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-038	SWE1-HVAC-002-06	0	0	0	YES	R-C62-1	The climate system is MTC ‖ The MTC has a Climate screen ‖ The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Type ‖ Climate_Type ‖ Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=2(Automatic)[PROXI Read=3]／Toro=1(Manual)／Fastback=2(Automatic)[PROXI Read=3] ‖ Promaster=2(Automatic)[PROXI Read=3]／Toro=1(Manual)／Fastback=2(Automatic)[PROXI Read=3] ‖ Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=0／Toro=1／Fastback=0 ‖ Promaster=0／Toro=1／Fastback=0 ‖ Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-039	SWE1-HVAC-002-07	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-040	SWE1-HVAC-002-08	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-041	SWE1-HVAC-027	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-042	SWE1-HVAC-001-03	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-043	SWE1-HVAC-020-01	0	0	0	YES	R-C62-1	The climate system is MTC ‖ The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Type ‖ Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=2(Automatic)[PROXI Read=3]／Toro=1(Manual)／Fastback=2(Automatic)[PROXI Read=3] ‖ Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=0／Toro=1／Fastback=0 ‖ Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-044	SWE1-HVAC-020-02	0	0	0	YES	R-C62-1	The climate system is MTC ‖ The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Type ‖ Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=2(Automatic)[PROXI Read=3]／Toro=1(Manual)／Fastback=2(Automatic)[PROXI Read=3] ‖ Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=0／Toro=1／Fastback=0 ‖ Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-045	SWE1-HVAC-020-03	0	1	0		R-C62-1	The climate system is MTC ‖ The vehicle has 3 knob HVAC controls with ICS	Climate_Type ‖ Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=2(Automatic)[PROXI Read=3]／Toro=1(Manual)／Fastback=2(Automatic)[PROXI Read=3] ‖ Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=0／Toro=1／Fastback=0 ‖ Promaster=0／Toro=1／Fastback=0
NR1L-ComfortHMI-046	SWE1-HVAC-020-04	0	1	0		R-C62-1	The climate system is MTC ‖ The vehicle has 3 knob HVAC controls with ICS	Climate_Type ‖ Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=2(Automatic)[PROXI Read=3]／Toro=1(Manual)／Fastback=2(Automatic)[PROXI Read=3] ‖ Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=0／Toro=1／Fastback=0 ‖ Promaster=0／Toro=1／Fastback=0
NR1L-ComfortHMI-047	SWE1-HVAC-020-04	0	0	0	YES	R-C62-1	The climate system is MTC ‖ The vehicle is one zone MTC with push button TEMPERATURE and hard controls that would not create a mismatch between hard controls	Climate_Type ‖ Climate_Type+Climate_Panel_Type	Promaster=2(Automatic)[PROXI Read=3]／Toro=1(Manual)／Fastback=2(Automatic)[PROXI Read=3] ‖ Promaster=2(Automatic)[PROXI Read=3]／Toro=1(Manual)／Fastback=2(Automatic)[PROXI Read=3]	Promaster=0／Toro=1／Fastback=0 ‖ Promaster=0／Toro=0／Fastback=0
NR1L-ComfortHMI-048	SWE1-HVAC-008-01	1	0	1		R-C62-1	The climate system is ATC ‖ The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Type ‖ Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=2(Automatic)[PROXI Read=3]／Toro=1(Manual)／Fastback=2(Automatic)[PROXI Read=3] ‖ Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1 ‖ Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-049	SWE1-HVAC-008-02	1	0	1		R-C62-1	The climate system is ATC ‖ The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Type ‖ Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=2(Automatic)[PROXI Read=3]／Toro=1(Manual)／Fastback=2(Automatic)[PROXI Read=3] ‖ Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1 ‖ Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-050	SWE1-HVAC-008-03	1	0	1		R-C62-1	The climate system is ATC ‖ The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Type ‖ Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=2(Automatic)[PROXI Read=3]／Toro=1(Manual)／Fastback=2(Automatic)[PROXI Read=3] ‖ Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1 ‖ Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-051	SWE1-HVAC-008-04	1	0	1		R-C62-1	The climate system is ATC ‖ The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Type ‖ Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=2(Automatic)[PROXI Read=3]／Toro=1(Manual)／Fastback=2(Automatic)[PROXI Read=3] ‖ Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1 ‖ Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-052	SWE1-HVAC-008-05	1	0	1		R-C62-1	The climate system is ATC ‖ The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Type ‖ Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=2(Automatic)[PROXI Read=3]／Toro=1(Manual)／Fastback=2(Automatic)[PROXI Read=3] ‖ Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1 ‖ Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-053	SWE1-HVAC-009-01	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-054	SWE1-HVAC-009-02	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-055	SWE1-HVAC-009-03	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-056	SWE1-HVAC-009-04	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-057	SWE1-HVAC-009-05	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-058	SWE1-HVAC-009-06	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-059	SWE1-HVAC-010-01	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-060	SWE1-HVAC-010-02	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-061	SWE1-HVAC-010-03	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-062	SWE1-HVAC-010-04	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-063	SWE1-HVAC-010-05	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-064	SWE1-HVAC-022-01	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-065	SWE1-HVAC-022-02	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-066	SWE1-HVAC-011	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-067	SWE1-HVAC-044-01	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-068	SWE1-HVAC-045	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
