tc_id	field	item	before	after
NR1L-ComfortHMI-453	test_item	R-C50(amend)	"a small pop-up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main.

(press the Mode hard control once -> A small pop-up appears above the Climate main category control and the Climate main screen is still not displayed)"	"A small pop-up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main.

(press the Mode hard control once -> A small pop-up appears above the Climate main category control and the Climate main screen is still not displayed)"
NR1L-ComfortHMI-454	test_item	R-C50(amend)	"a small pop-up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed)

(do not interact with the head unit for 3 seconds -> The pop-up is no longer shown)"	"A small pop-up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed)

(do not interact with the head unit for 3 seconds -> The pop-up is no longer shown)"
NR1L-ComfortHMI-455	test_item	R-C50(amend)	"a small pop-up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed)

(press a button other than the Mode hard control -> The pop-up is no longer shown)"	"A small pop-up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed)

(press a button other than the Mode hard control -> The pop-up is no longer shown)"
NR1L-ComfortHMI-087	test_item	R-C50(amend)	"a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius) being set

(change the temperature using the temperature hard control -> The pop-up displays the degree being set in half degree increments)"	"A pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius) being set

(change the temperature using the temperature hard control -> The pop-up displays the degree being set in half degree increments)"
NR1L-ComfortHMI-088	test_item	R-C50(amend)	"for MTC it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.

(change the temperature using the temperature hard control -> The pop-up displays a slider bar with the arrow pointing to the current setting)"	"For MTC it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.

(change the temperature using the temperature hard control -> The pop-up displays a slider bar with the arrow pointing to the current setting)"
NR1L-ComfortHMI-255	test_item	R-C50(amend)	"the user will be shifted with each press, press and hold of the control will only move one mode over, it will not continue to move through modes.

(press and hold the Mode hard control and read the airflow mode -> The Face/Feet airflow mode is active and the mode does not move further while the control is held)"	"The user will be shifted with each press, press and hold of the control will only move one mode over, it will not continue to move through modes.

(press and hold the Mode hard control and read the airflow mode -> The Face/Feet airflow mode is active and the mode does not move further while the control is held)"
NR1L-ComfortHMI-258	test_item	R-C50(amend)	"if the user is not on Climate main when pressing the Mode hard control a small pop -up will appear above the Climate main category control

(press the Mode hard control and read the airflow mode -> The airflow mode has moved to the next mode in the loop)"	"If the user is not on Climate main when pressing the Mode hard control a small pop -up will appear above the Climate main category control

(press the Mode hard control and read the airflow mode -> The airflow mode has moved to the next mode in the loop)"
NR1L-ComfortHMI-259	test_item	R-C50(amend)	"if the user is not on Climate main when pressing the Mode hard control a small pop -up will appear above the Climate main category control

(press the Mode hard control and read the area above the Climate main category control -> A small pop-up is shown above the Climate main category control)"	"If the user is not on Climate main when pressing the Mode hard control a small pop -up will appear above the Climate main category control

(press the Mode hard control and read the area above the Climate main category control -> A small pop-up is shown above the Climate main category control)"
NR1L-ComfortHMI-260	test_item	R-C50(amend)	"a small pop -up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed)

(wait 3 seconds without further interaction -> The pop-up is no longer shown)"	"A small pop -up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed)

(wait 3 seconds without further interaction -> The pop-up is no longer shown)"
NR1L-ComfortHMI-426	test_item	R-C50(amend)	"a small pop -up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed)

(press the fan speed hard control and read the screen -> The pop-up is no longer shown)"	"A small pop -up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed)

(press the fan speed hard control and read the screen -> The pop-up is no longer shown)"
NR1L-ComfortHMI-261	test_item	R-C50(amend)	"a small pop -up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main.

(press the Mode hard control and read the displayed screen -> The displayed screen is the one opened in step 1)"	"A small pop -up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main.

(press the Mode hard control and read the displayed screen -> The displayed screen is the one opened in step 1)"
NR1L-ComfortHMI-019	pre_conditions	軸 2 PC	"1. [spec-derived] The vehicle is equipped with MAX DEF (3.2)
2. [spec-derived] The front HVAC fan range of the vehicle is Off, 1-7 (2.7)
3. [spec-derived] The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed (2.14)
4. [spec-derived] The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16 (16.2)"	"1. [spec-derived] The vehicle is equipped with MAX DEF (3.2)
2. [spec-derived] The front HVAC fan range of the vehicle is Off, 1-7 (2.7)
3. [spec-derived] The vehicle is not a single zone climate configuration, for which Sync is not shown (2.11)
4. [spec-derived] The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed (2.14)
5. [spec-derived] The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16 (16.2)"
NR1L-ComfortHMI-019	specification_reference	軸 2 PC	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_3.2; SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.7; SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14; SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_3.2; SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.7; SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14; SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2; SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.11
NR1L-ComfortHMI-035	pre_conditions	軸 2 PC	"1. [spec-derived] The vehicle has climate hard controls and a climate touchscreen (2.2)
2. [spec-derived] The vehicle has a passenger side temperature control (2.2)
3. [spec-derived] The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed (2.14)
4. [spec-derived] The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16 (16.2)"	"1. [spec-derived] The vehicle has climate hard controls and a climate touchscreen (2.2)
2. [spec-derived] The vehicle has a passenger side temperature control (2.2)
3. [spec-derived] The vehicle is not a single zone climate configuration, for which Sync is not shown (2.11)
4. [spec-derived] The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed (2.14)
5. [spec-derived] The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16 (16.2)"
NR1L-ComfortHMI-035	specification_reference	軸 2 PC	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2; SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14; SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2; SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14; SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2; SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.11
NR1L-ComfortHMI-139	test_procedure	R-C55 slim	"1. Turn ""A/C"" off from the climate screen and note the ""A/C"" button
2. Turn ""FRONT DEF"" on and read the ""A/C"" button
3. Turn ""RECIRC"" on and read the ""A/C"" button"	"1. Turn ""A/C"" off from the climate screen and note the ""A/C"" button
2. Turn ""FRONT DEF"" on and read the ""A/C"" button"
NR1L-ComfortHMI-139	expected_result	R-C55 slim	"1. The ""A/C"" button is not highlighted
2. The ""A/C"" button is not highlighted
3. The ""A/C"" button is not highlighted"	"1. The ""A/C"" button is not highlighted
2. The ""A/C"" button is not highlighted"
NR1L-ComfortHMI-139	test_item	R-C55 slim	"Defrost can automatically turn on AC (Do not show this change).

(turn ""RECIRC"" on and read the ""A/C"" button -> The ""A/C"" button is not highlighted)"	"Defrost can automatically turn on AC (Do not show this change).

(turn ""FRONT DEF"" on and read the ""A/C"" button -> The ""A/C"" button is not highlighted)"
NR1L-ComfortHMI-139	tc_title	R-C55 slim	Defrost and Recirc turn A/C on without showing it	Defrost turns A/C on without showing it
NR1L-ComfortHMI-139	split_flag	R-C55 slim	False	True
NR1L-ComfortHMI-139	split_reason	R-C55 slim		§8.2.2 之拆分，依 R-C44 三問（**R-C55，CMF-02_review §2**）：2.4（C3）之 `Defrost can automatically turn on AC (Do not show this change).` 與 `Recirc can automatically turn on AC.` 為兩句各自具名之連動，條文逐字列舉、各為一種操作、無舉例語 —— 三問皆是，故一觸發一條。本條留 Defrost 一句，Recirc 一句移出為同 req 之另一列。
NR1L-ComfortHMI-475	(new TC)	R-C54/R-C55 sibling		NR1L-ComfortHMI-475
NR1L-ComfortHMI-476	(new TC)	R-C54/R-C55 sibling		NR1L-ComfortHMI-476
NR1L-ComfortHMI-035	test_procedure	M7	"1. Turn Sync on
2. Adjust the driver temperature slider"	"1. Turn ""SYNC"" on
2. Adjust the driver temperature slider"
NR1L-ComfortHMI-035	expected_result	M7	"1. Sync is on
2. No slider pop-up is shown on the passenger side"	"1. SYNC is on
2. No slider pop-up is shown on the passenger side"
NR1L-ComfortHMI-127	test_procedure	M7	"1. Turn AUTO on from the climate screen
2. Read the fan speed indicator"	"1. Turn ""AUTO"" on from the climate screen
2. Read the fan speed indicator"
NR1L-ComfortHMI-128	test_procedure	M7	"1. Turn AUTO on from the climate screen
2. Read the main category control"	"1. Turn ""AUTO"" on from the climate screen
2. Read the main category control"
NR1L-ComfortHMI-129	test_procedure	M7	"1. Set a fan speed and an airflow mode from the climate screen with AUTO off
2. Turn AUTO on and read the fan speed and the airflow mode"	"1. Set a fan speed and an airflow mode from the climate screen with AUTO off
2. Turn ""AUTO"" on and read the fan speed and the airflow mode"
NR1L-ComfortHMI-129	test_item	M7	"AUTO affects Fan speed, Modes, AC in order to reach desired temperature as quickly as possible.

(turn AUTO on and read the fan speed and the airflow mode -> The fan speed and the airflow mode are set by the system)"	"AUTO affects Fan speed, Modes, AC in order to reach desired temperature as quickly as possible.

(turn ""AUTO"" on and read the fan speed and the airflow mode -> The fan speed and the airflow mode are set by the system)"
NR1L-ComfortHMI-130	test_procedure	M7	"1. Select an airflow mode on the climate screen
2. Turn front defrost on from the climate screen
3. Turn AUTO on"	"1. Select an airflow mode on the climate screen
2. Turn front defrost on from the climate screen
3. Turn ""AUTO"" on"
NR1L-ComfortHMI-130	test_item	M7	"Auto is mutually exclusive with the four airflow modes and front defrost.

(turn AUTO on -> The airflow mode buttons and ""FRONT DEF"" are no longer active)"	"Auto is mutually exclusive with the four airflow modes and front defrost.

(turn ""AUTO"" on -> The airflow mode buttons and ""FRONT DEF"" are no longer active)"
NR1L-ComfortHMI-131	test_procedure	M7	"1. Read the state of the ""A/C"" button on the climate screen with AUTO off and record it
2. Turn AUTO on and read the ""A/C"" button"	"1. Read the state of the ""A/C"" button on the climate screen with AUTO off and record it
2. Turn ""AUTO"" on and read the ""A/C"" button"
NR1L-ComfortHMI-131	test_item	M7	"Auto can change the state of AC, but do not show this change.

(turn AUTO on and read the ""A/C"" button -> The ""A/C"" button state is unchanged)"	"Auto can change the state of AC, but do not show this change.

(turn ""AUTO"" on and read the ""A/C"" button -> The ""A/C"" button state is unchanged)"
NR1L-ComfortHMI-132	test_procedure	M7	"1. Turn AUTO on from the climate screen
2. Press ""A/C"""	"1. Turn ""AUTO"" on from the climate screen
2. Press ""A/C"""
NR1L-ComfortHMI-386	test_procedure	M7	"1. Turn AUTO on from the climate screen
2. Select another airflow mode"	"1. Turn ""AUTO"" on from the climate screen
2. Select another airflow mode"
NR1L-ComfortHMI-387	test_procedure	M7	"1. Turn AUTO on from the climate screen
2. Change the fan speed"	"1. Turn ""AUTO"" on from the climate screen
2. Change the fan speed"
NR1L-ComfortHMI-133	test_procedure	M7	"1. Turn AUTO on from the climate screen
2. Press the ""Feet"" airflow mode button"	"1. Turn ""AUTO"" on from the climate screen
2. Press the ""Feet"" airflow mode button"
NR1L-ComfortHMI-134	test_procedure	M7	"1. Turn AUTO on from the climate screen
2. Press ""REAR DEFROST"""	"1. Turn ""AUTO"" on from the climate screen
2. Press ""REAR DEFROST"""
NR1L-ComfortHMI-467	test_procedure	M7	"1. Turn AUTO on from the climate screen
2. Press ""A/C"""	"1. Turn ""AUTO"" on from the climate screen
2. Press ""A/C"""
NR1L-ComfortHMI-468	test_procedure	M7	"1. Turn AUTO on from the climate screen
2. Change the fan speed"	"1. Turn ""AUTO"" on from the climate screen
2. Change the fan speed"
NR1L-ComfortHMI-363	test_procedure	M7	"1. Open the climate screen
2. Read the AUTO controls"	"1. Open the climate screen
2. Read the ""AUTO"" controls"
NR1L-ComfortHMI-363	test_item	M7	"C2.1) Some vehicles with dual zone climate with dual airflow mode can have a configuration for dual AUTO modes, one for the driver side and passenger side.

(read the AUTO controls -> A driver side AUTO mode and a passenger side AUTO mode are provided)"	"C2.1) Some vehicles with dual zone climate with dual airflow mode can have a configuration for dual AUTO modes, one for the driver side and passenger side.

(read the ""AUTO"" controls -> A driver side AUTO mode and a passenger side AUTO mode are provided)"
NR1L-ComfortHMI-364	test_procedure	M7	"1. Turn the driver side AUTO on
2. Read the driver and passenger AUTO indicators"	"1. Turn the driver side ""AUTO"" on
2. Read the driver and passenger ""AUTO"" indicators"
NR1L-ComfortHMI-364	expected_result	M7	"1. The driver side AUTO is on
2. The driver side AUTO indicator is shown as on and the passenger side AUTO indicator is shown separately"	"1. The driver side AUTO is on
2. The driver side ""AUTO"" indicator is shown as on and the passenger side ""AUTO"" indicator is shown separately"
NR1L-ComfortHMI-364	test_item	M7	"C2.1) Some vehicles with dual zone climate with dual airflow mode can have a configuration for dual AUTO modes, one for the driver side and passenger side.

(read the driver and passenger AUTO indicators -> The driver side AUTO indicator is shown as on and the passenger side AUTO indicator is shown separately)"	"C2.1) Some vehicles with dual zone climate with dual airflow mode can have a configuration for dual AUTO modes, one for the driver side and passenger side.

(read the driver and passenger ""AUTO"" indicators -> The driver side ""AUTO"" indicator is shown as on and the passenger side ""AUTO"" indicator is shown separately)"
NR1L-ComfortHMI-137	test_procedure	M7	"1. Turn ""A/C"" off and AUTO off from the climate screen
2. Turn AUTO on and read the ""A/C"" button"	"1. Turn ""A/C"" off and ""AUTO"" off from the climate screen
2. Turn ""AUTO"" on and read the ""A/C"" button"
NR1L-ComfortHMI-137	test_item	M7	"Auto can automatically turn on AC. AC will break Auto.

(turn AUTO on and read the ""A/C"" button -> The ""A/C"" button is highlighted)"	"Auto can automatically turn on AC. AC will break Auto.

(turn ""AUTO"" on and read the ""A/C"" button -> The ""A/C"" button is highlighted)"
NR1L-ComfortHMI-138	test_procedure	M7	"1. Turn AUTO on from the climate screen
2. Press ""A/C"""	"1. Turn ""AUTO"" on from the climate screen
2. Press ""A/C"""
NR1L-ComfortHMI-439	test_procedure	M7	"1. Open the climate screen
2. Read the RECIRC icon"	"1. Open the climate screen
2. Read the ""RECIRC"" icon"
NR1L-ComfortHMI-439	expected_result	M7	"1. The climate screen is displayed
2. A RECIRC icon is displayed and it matches the vehicle's configuration — the model specific icon, or the generic recirc symbol where the vehicle model cannot be detected"	"1. The climate screen is displayed
2. A ""RECIRC"" icon is displayed and it matches the vehicle's configuration — the model specific icon, or the generic recirc symbol where the vehicle model cannot be detected"
NR1L-ComfortHMI-439	test_item	M7	"The recirc icon will display the vehicle model specific icon as displayed in the table.

(read the RECIRC icon -> A RECIRC icon is displayed and it matches the vehicle's configuration — the model specific icon, or the generic recirc symbol where the vehicle model cannot be detected)"	"The recirc icon will display the vehicle model specific icon as displayed in the table.

(read the ""RECIRC"" icon -> A ""RECIRC"" icon is displayed and it matches the vehicle's configuration — the model specific icon, or the generic recirc symbol where the vehicle model cannot be detected)"
NR1L-ComfortHMI-365	test_procedure	M7	"1. Press the RECIRC button
2. Press the RECIRC button again
3. Press the RECIRC button again"	"1. Press the ""RECIRC"" button
2. Press the ""RECIRC"" button again
3. Press the ""RECIRC"" button again"
NR1L-ComfortHMI-365	test_item	M7	"C4.1) Some vehicles have a configuration for a 3 state toggle recirc button: Auto, Manual, Open.

(press the RECIRC button again -> RECIRC is in the Open state)"	"C4.1) Some vehicles have a configuration for a 3 state toggle recirc button: Auto, Manual, Open.

(press the ""RECIRC"" button again -> RECIRC is in the Open state)"
NR1L-ComfortHMI-388	test_procedure	M7	"1. Press the RECIRC button until RECIRC is in the Open state
2. Press the RECIRC button again and read the RECIRC state"	"1. Press the ""RECIRC"" button until RECIRC is in the Open state
2. Press the ""RECIRC"" button again and read the ""RECIRC"" button state"
NR1L-ComfortHMI-388	test_item	M7	"C4.1) Some vehicles have a configuration for a 3 state toggle recirc button: Auto, Manual, Open.

(press the RECIRC button again and read the RECIRC state -> RECIRC is in the Auto state and no further state is offered)"	"C4.1) Some vehicles have a configuration for a 3 state toggle recirc button: Auto, Manual, Open.

(press the ""RECIRC"" button again and read the ""RECIRC"" button state -> RECIRC is in the Auto state and no further state is offered)"
NR1L-ComfortHMI-366	test_procedure	M7	"1. Set RECIRC to Manual
2. Read the RECIRC control on the climate screen"	"1. Set ""RECIRC"" to Manual
2. Read the ""RECIRC"" control on the climate screen"
NR1L-ComfortHMI-366	test_item	M7	"C4.1) Some vehicles have a configuration for a 3 state toggle recirc button: Auto, Manual, Open.

(read the RECIRC control on the climate screen -> The climate screen indicates the Manual state)"	"C4.1) Some vehicles have a configuration for a 3 state toggle recirc button: Auto, Manual, Open.

(read the ""RECIRC"" control on the climate screen -> The climate screen indicates the Manual state)"
NR1L-ComfortHMI-053	test_procedure	M7	"1. Turn SYNC on
2. Change the driver temperature"	"1. Turn ""SYNC"" on
2. Change the driver temperature"
NR1L-ComfortHMI-054	test_procedure	M7	"1. Turn SYNC on
2. Change the passenger temperature"	"1. Turn ""SYNC"" on
2. Change the passenger temperature"
NR1L-ComfortHMI-157	test_procedure	M7	"1. Turn ""FRONT DEF"" on from the climate screen
2. Turn AUTO on and read the ""FRONT DEF"" button"	"1. Turn ""FRONT DEF"" on from the climate screen
2. Turn ""AUTO"" on and read the ""FRONT DEF"" button"
NR1L-ComfortHMI-157	test_item	M7	"Turning Defrost on while in Auto will break Auto and turn it off.

(turn AUTO on and read the ""FRONT DEF"" button -> The ""FRONT DEF"" button is no longer highlighted)"	"Turning Defrost on while in Auto will break Auto and turn it off.

(turn ""AUTO"" on and read the ""FRONT DEF"" button -> The ""FRONT DEF"" button is no longer highlighted)"
NR1L-ComfortHMI-396	test_procedure	M7	"1. Turn AUTO on from the climate screen
2. Turn ""FRONT DEF"" on and read the ""AUTO"" button"	"1. Turn ""AUTO"" on from the climate screen
2. Turn ""FRONT DEF"" on and read the ""AUTO"" button"
NR1L-ComfortHMI-161	test_procedure	M7	"1. Turn ""REAR DEFROST"" on from the climate screen
2. Turn AUTO on and read the ""REAR DEFROST"" button
3. Turn ""FRONT DEF"" on and read the ""REAR DEFROST"" button"	"1. Turn ""REAR DEFROST"" on from the climate screen
2. Turn ""AUTO"" on and read the ""REAR DEFROST"" button
3. Turn ""FRONT DEF"" on and read the ""REAR DEFROST"" button"
NR1L-ComfortHMI-163	test_procedure	M7	"1. Select the Face airflow mode on the climate screen
2. Move to the next airflow mode four times, reading the mode after each"	"1. Select the ""Face"" airflow mode on the climate screen
2. Move to the next airflow mode four times, reading the mode after each"
NR1L-ComfortHMI-164	test_procedure	M7	"1. Select the Feet airflow mode on the climate screen
2. Select the Windshield airflow mode"	"1. Select the ""Feet"" airflow mode on the climate screen
2. Select the Windshield airflow mode"
NR1L-ComfortHMI-446	test_procedure	M7	"1. Set the airflow mode to Face
2. Press the Mode hard control once"	"1. Select the ""Face"" airflow mode
2. Press the Mode hard control once"
NR1L-ComfortHMI-448	test_procedure	M7	"1. Set the airflow mode to Feet
2. Press the Mode hard control once"	"1. Select the ""Feet"" airflow mode
2. Press the Mode hard control once"
NR1L-ComfortHMI-450	test_procedure	M7	"1. Set the airflow mode to Face
2. Press the Mode hard control four times, reading the airflow mode after each press"	"1. Select the ""Face"" airflow mode
2. Press the Mode hard control four times, reading the airflow mode after each press"
NR1L-ComfortHMI-451	test_procedure	M7	"1. Set the airflow mode to Face
2. Press and hold the Mode hard control"	"1. Select the ""Face"" airflow mode
2. Press and hold the Mode hard control"
NR1L-ComfortHMI-166	test_procedure	M7	"1. Turn the exterior rear-view mirror defrost on
2. Turn AUTO on and read the exterior rear-view mirror defrost state
3. Turn the climate system off and read the exterior rear-view mirror defrost state"	"1. Turn the exterior rear-view mirror defrost on
2. Turn ""AUTO"" on and read the exterior rear-view mirror defrost state
3. Turn the climate system off and read the exterior rear-view mirror defrost state"
NR1L-ComfortHMI-019	test_procedure	M7	"1. Open the climate screen with MAX DEF not active
2. Press ""MAX DEF""
3. Read the A/C state
4. Read the airflow mode
5. Read the fan speed
6. Read the temperature setting for the driver and, if available, the passenger
7. Read the RECIRC state and its LED
8. Read the Sync state
9. Read the REAR DEFROST state"	"1. Open the climate screen with MAX DEF not active
2. Press ""MAX DEF""
3. Read the A/C state
4. Read the airflow mode
5. Read the fan speed
6. Read the temperature setting for the driver and, if available, the passenger
7. Read the ""RECIRC"" button state and its LED
8. Read the SYNC state
9. Read the REAR DEFROST state"
NR1L-ComfortHMI-019	expected_result	M7	"1. The ""MAX DEF"" button is not active
2. The ""MAX DEF"" button is active
3. A/C is on
4. The airflow mode is Windshield
5. The fan speed is at the highest setting (7/7)
6. The temperature is at the highest setting (HI) for the driver and, if available, the passenger
7. RECIRC is open and its LED is off
8. Sync is on
9. REAR DEFROST is active"	"1. The ""MAX DEF"" button is not active
2. The ""MAX DEF"" button is active
3. A/C is on
4. The airflow mode is Windshield
5. The fan speed is at the highest setting (7/7)
6. The temperature is at the highest setting (HI) for the driver and, if available, the passenger
7. RECIRC is open and its LED is off
8. SYNC is on
9. REAR DEFROST is active"
NR1L-ComfortHMI-025	test_procedure	M7	"1. Press ""MAX DEF""
2. Change RECIRC"	"1. Press ""MAX DEF""
2. Change ""RECIRC"""
NR1L-ComfortHMI-025	test_item	M7	"Changing temperature, recirculation, mode distribution or pressing again MAX DEF breaks MAX DEF (turns MAX DEF off) and the system goes back to the previous manual mode with the A/C on.

(change RECIRC -> The ""MAX DEF"" button is no longer active and the system is in the previous manual mode with A/C on)"	"Changing temperature, recirculation, mode distribution or pressing again MAX DEF breaks MAX DEF (turns MAX DEF off) and the system goes back to the previous manual mode with the A/C on.

(change ""RECIRC"" -> The ""MAX DEF"" button is no longer active and the system is in the previous manual mode with A/C on)"
NR1L-ComfortHMI-272	test_procedure	M7	"1. Turn rear AUTO on
2. Read the rear fan speed indicator"	"1. Turn rear ""AUTO"" on
2. Read the rear fan speed indicator"
NR1L-ComfortHMI-272	expected_result	M7	"1. The rear AUTO button is highlighted
2. The rear fan speed indicator shows AUTO instead of the actual fan speed"	"1. The rear ""AUTO"" button is highlighted
2. The rear fan speed indicator shows ""AUTO"" instead of the actual fan speed"
