# label_quote_plan.tsv - CMF-02 M7 (quote plan only; nothing applied)
# source: features/comfort/sandbox/revise_0918/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_ComfortHMI_20260918.xlsx
# source sha256: 28a0998c8b36a88b182b3fa209492cc5c6fda3999f48e6031d571d66439a266f
# sheet: Test Case Specification 測試用例規範; rows 10-483; columns L (Test procedure) + M (Expected Result); F = tc_id, D = req_id
# scan: case-sensitive whole word \b(AUTO|Face|Feet|RECIRC|SYNC|Sync)\b per physical line; a hit is "already quoted" when it lies inside a "..." span on the same line (ASCII double quotes; no curly quotes found)
# line_no = 1-based physical line within the cell; context = that line verbatim
# counts (unquoted hits listed below / already-quoted not listed): AUTO 173/45; Face 54/10; Feet 55/12; RECIRC 29/18; SYNC 24/39; Sync 4/0
# CMF-01 L+M (0907 workbook, unquoted): AUTO 161 (quoted 43), Face 54, Feet 55, RECIRC 29, SYNC 24, Sync 4
# class totals: label 144, state 184, verbatim 11; of which ambiguous (note starts with "ambiguous:") 25
# per token x class: AUTO l92/s70/v11; Face l8/s46/v0; Feet l10/s45/v0; RECIRC l14/s15/v0; SYNC l19/s5/v0; Sync l1/s3/v0 (l=label s=state v=verbatim)
# suggestion: label -> full line with every label hit of that line quoted (same text on each hit row of the line); state/verbatim -> keep
row	tc_id_F	req_id	column	line_no	token	class	context	suggestion	note
30	NR1L-ComfortHMI-021	SWE1-HVAC-003-06	L	1	AUTO	label	1. Turn AUTO on from the climate screen	1. Turn "AUTO" on from the climate screen	
31	NR1L-ComfortHMI-022	SWE1-HVAC-003-06	L	1	AUTO	label	1. Turn AUTO on from the climate screen	1. Turn "AUTO" on from the climate screen	
32	NR1L-ComfortHMI-023	SWE1-HVAC-003-07	L	1	AUTO	label	1. Turn AUTO on from the climate screen	1. Turn "AUTO" on from the climate screen	
32	NR1L-ComfortHMI-023	SWE1-HVAC-003-07	M	2	Feet	state	2. The "AUTO" button is no longer highlighted and the Feet airflow mode is active	keep	
33	NR1L-ComfortHMI-024	SWE1-HVAC-003-08	L	1	AUTO	label	1. Turn AUTO on from the climate screen	1. Turn "AUTO" on from the climate screen	
35	NR1L-ComfortHMI-026	SWE1-HVAC-004-01	L	2	AUTO	label	2. Read the AUTO controls	2. Read the "AUTO" controls	dual-AUTO configuration (2.3.1): the two AUTO controls
35	NR1L-ComfortHMI-026	SWE1-HVAC-004-01	M	2	AUTO	state	2. A driver side AUTO mode and a passenger side AUTO mode are provided	keep	paraphrase of 2.3.1 C2.1 "dual AUTO modes, one for the driver side and passenger side"
35	NR1L-ComfortHMI-026	SWE1-HVAC-004-01	M	2	AUTO	state	2. A driver side AUTO mode and a passenger side AUTO mode are provided	keep	paraphrase of 2.3.1 C2.1 "dual AUTO modes, one for the driver side and passenger side"
36	NR1L-ComfortHMI-027	SWE1-HVAC-004-02	L	1	AUTO	label	1. Turn the driver side AUTO on	1. Turn the driver side "AUTO" on	
36	NR1L-ComfortHMI-027	SWE1-HVAC-004-02	L	2	AUTO	label	2. Read the driver and passenger AUTO indicators	2. Read the driver and passenger "AUTO" indicators	
36	NR1L-ComfortHMI-027	SWE1-HVAC-004-02	M	1	AUTO	state	1. The driver side AUTO is on	keep	
36	NR1L-ComfortHMI-027	SWE1-HVAC-004-02	M	2	AUTO	label	2. The driver side AUTO indicator is shown as on and the passenger side AUTO indicator is shown separately	2. The driver side "AUTO" indicator is shown as on and the passenger side "AUTO" indicator is shown separately	
36	NR1L-ComfortHMI-027	SWE1-HVAC-004-02	M	2	AUTO	label	2. The driver side AUTO indicator is shown as on and the passenger side AUTO indicator is shown separately	2. The driver side "AUTO" indicator is shown as on and the passenger side "AUTO" indicator is shown separately	
38	NR1L-ComfortHMI-029	SWE1-HVAC-005-02	L	1	AUTO	label	1. Turn "A/C" off and AUTO off from the climate screen	1. Turn "A/C" off and "AUTO" off from the climate screen	
38	NR1L-ComfortHMI-029	SWE1-HVAC-005-02	L	2	AUTO	label	2. Turn AUTO on and read the "A/C" button	2. Turn "AUTO" on and read the "A/C" button	
39	NR1L-ComfortHMI-030	SWE1-HVAC-005-03	L	1	AUTO	label	1. Turn AUTO on from the climate screen	1. Turn "AUTO" on from the climate screen	
44	NR1L-ComfortHMI-035	SWE1-HVAC-006-04	L	2	RECIRC	label	2. Read the RECIRC icon	2. Read the "RECIRC" icon	
44	NR1L-ComfortHMI-035	SWE1-HVAC-006-04	M	2	RECIRC	label	2. A RECIRC icon is displayed and it matches the vehicle's configuration — the model specific icon, or the generic recirc symbol where the vehicle model cannot be detected	2. A "RECIRC" icon is displayed and it matches the vehicle's configuration — the model specific icon, or the generic recirc symbol where the vehicle model cannot be detected	
45	NR1L-ComfortHMI-036	SWE1-HVAC-007-01	L	1	RECIRC	label	1. Press the RECIRC button	1. Press the "RECIRC" button	
45	NR1L-ComfortHMI-036	SWE1-HVAC-007-01	L	2	RECIRC	label	2. Press the RECIRC button again	2. Press the "RECIRC" button again	
45	NR1L-ComfortHMI-036	SWE1-HVAC-007-01	L	3	RECIRC	label	3. Press the RECIRC button again	3. Press the "RECIRC" button again	
45	NR1L-ComfortHMI-036	SWE1-HVAC-007-01	M	1	RECIRC	state	1. RECIRC is in the Auto state	keep	
45	NR1L-ComfortHMI-036	SWE1-HVAC-007-01	M	2	RECIRC	state	2. RECIRC is in the Manual state	keep	
45	NR1L-ComfortHMI-036	SWE1-HVAC-007-01	M	3	RECIRC	state	3. RECIRC is in the Open state	keep	
46	NR1L-ComfortHMI-037	SWE1-HVAC-007-01	L	1	RECIRC	label	1. Press the RECIRC button until RECIRC is in the Open state	1. Press the "RECIRC" button until RECIRC is in the Open state	
46	NR1L-ComfortHMI-037	SWE1-HVAC-007-01	L	1	RECIRC	state	1. Press the RECIRC button until RECIRC is in the Open state	keep	
46	NR1L-ComfortHMI-037	SWE1-HVAC-007-01	L	2	RECIRC	label	2. Press the RECIRC button again and read the RECIRC state	2. Press the "RECIRC" button again and read the RECIRC state	
46	NR1L-ComfortHMI-037	SWE1-HVAC-007-01	L	2	RECIRC	state	2. Press the RECIRC button again and read the RECIRC state	keep	ambiguous: the word names the function whose state is read, not a control; kept as state for consistency with "The AUTO state is AUTO ECO". Conflicts with already-quoted precedent row 433 L2 `Press "MAX A/C" and read the "RECIRC" state and its LED` - one of the two conventions must win
46	NR1L-ComfortHMI-037	SWE1-HVAC-007-01	M	1	RECIRC	state	1. RECIRC is in the Open state	keep	
46	NR1L-ComfortHMI-037	SWE1-HVAC-007-01	M	2	RECIRC	state	2. RECIRC is in the Auto state and no further state is offered	keep	
47	NR1L-ComfortHMI-038	SWE1-HVAC-007-02	L	1	RECIRC	label	1. Set RECIRC to Manual	1. Set "RECIRC" to Manual	ambiguous: "Set RECIRC to <value>" treated like "Turn X on" (tester operates the RECIRC control; precedent `Turn "RECIRC" on`); alternative reading = function set-up by value (state). Row 433 has this line unquoted next to quoted `read the "RECIRC" state` in the same cell
47	NR1L-ComfortHMI-038	SWE1-HVAC-007-02	L	2	RECIRC	label	2. Read the RECIRC control on the climate screen	2. Read the "RECIRC" control on the climate screen	
47	NR1L-ComfortHMI-038	SWE1-HVAC-007-02	M	1	RECIRC	state	1. RECIRC is in the Manual state	keep	
54	NR1L-ComfortHMI-045	SWE1-HVAC-009-01	L	1	SYNC	label	1. Turn SYNC on	1. Turn "SYNC" on	
54	NR1L-ComfortHMI-045	SWE1-HVAC-009-01	M	1	SYNC	state	1. SYNC is on	keep	
55	NR1L-ComfortHMI-046	SWE1-HVAC-009-02	L	1	SYNC	label	1. Turn SYNC on	1. Turn "SYNC" on	
55	NR1L-ComfortHMI-046	SWE1-HVAC-009-02	M	1	SYNC	state	1. SYNC is on	keep	
55	NR1L-ComfortHMI-046	SWE1-HVAC-009-02	M	2	SYNC	state	2. SYNC is off	keep	
76	NR1L-ComfortHMI-067	SWE1-HVAC-012-05	L	2	AUTO	label	2. Turn AUTO on and read the "FRONT DEF" button	2. Turn "AUTO" on and read the "FRONT DEF" button	
77	NR1L-ComfortHMI-068	SWE1-HVAC-012-05	L	1	AUTO	label	1. Turn AUTO on from the climate screen	1. Turn "AUTO" on from the climate screen	
81	NR1L-ComfortHMI-072	SWE1-HVAC-013-03	L	2	AUTO	label	2. Turn AUTO on and read the "REAR DEFROST" button	2. Turn "AUTO" on and read the "REAR DEFROST" button	
100	NR1L-ComfortHMI-091	SWE1-HVAC-017-01	L	1	Face	label	1. Select the Face airflow mode on the climate screen	1. Select the "Face" airflow mode on the climate screen	
100	NR1L-ComfortHMI-091	SWE1-HVAC-017-01	M	1	Face	state	1. The Face airflow mode is active	keep	
100	NR1L-ComfortHMI-091	SWE1-HVAC-017-01	M	2	Face	state	2. The modes were Mix of Face and Feet, then Feet, then Mix of Feet and Windshield, then Windshield	keep	mode names listed in spec loop order (2.12.1/2.12.2/16.12.1); prose about which mode is active, not a label; spec 2.12.1 writes "Mix of Face & Feet"
100	NR1L-ComfortHMI-091	SWE1-HVAC-017-01	M	2	Feet	state	2. The modes were Mix of Face and Feet, then Feet, then Mix of Feet and Windshield, then Windshield	keep	mode names listed in spec loop order (2.12.1/2.12.2/16.12.1); prose about which mode is active, not a label; spec 2.12.1 writes "Mix of Face & Feet"
100	NR1L-ComfortHMI-091	SWE1-HVAC-017-01	M	2	Feet	state	2. The modes were Mix of Face and Feet, then Feet, then Mix of Feet and Windshield, then Windshield	keep	mode names listed in spec loop order (2.12.1/2.12.2/16.12.1); prose about which mode is active, not a label; spec 2.12.1 writes "Mix of Face & Feet"
100	NR1L-ComfortHMI-091	SWE1-HVAC-017-01	M	2	Feet	state	2. The modes were Mix of Face and Feet, then Feet, then Mix of Feet and Windshield, then Windshield	keep	mode names listed in spec loop order (2.12.1/2.12.2/16.12.1); prose about which mode is active, not a label; spec 2.12.1 writes "Mix of Face & Feet"
101	NR1L-ComfortHMI-092	SWE1-HVAC-017-02	L	1	Feet	label	1. Select the Feet airflow mode on the climate screen	1. Select the "Feet" airflow mode on the climate screen	
101	NR1L-ComfortHMI-092	SWE1-HVAC-017-02	M	1	Feet	state	1. The climate screen shows the Feet mode as active	keep	
102	NR1L-ComfortHMI-093	SWE1-HVAC-018-01	L	1	Face	state	1. Set the airflow mode to Face	keep	ambiguous: set-up by value (018-01 hard-control loop start point, channel not specified) -> state; if read as "Select the X airflow mode" (precedent quoted `Select the "Face" airflow mode`) it would be label -> `Set the airflow mode to "X"`
102	NR1L-ComfortHMI-093	SWE1-HVAC-018-01	M	1	Face	state	1. The Face airflow mode is active	keep	
102	NR1L-ComfortHMI-093	SWE1-HVAC-018-01	M	2	Face	state	2. The Face/Feet airflow mode is active	keep	
102	NR1L-ComfortHMI-093	SWE1-HVAC-018-01	M	2	Feet	state	2. The Face/Feet airflow mode is active	keep	
103	NR1L-ComfortHMI-094	SWE1-HVAC-018-01	L	1	Face	state	1. Set the airflow mode to Face/Feet	keep	ambiguous: set-up by value (018-01 hard-control loop start point, channel not specified) -> state; if read as "Select the X airflow mode" (precedent quoted `Select the "Face" airflow mode`) it would be label -> `Set the airflow mode to "X"`
103	NR1L-ComfortHMI-094	SWE1-HVAC-018-01	L	1	Feet	state	1. Set the airflow mode to Face/Feet	keep	ambiguous: set-up by value (018-01 hard-control loop start point, channel not specified) -> state; if read as "Select the X airflow mode" (precedent quoted `Select the "Face" airflow mode`) it would be label -> `Set the airflow mode to "X"`
103	NR1L-ComfortHMI-094	SWE1-HVAC-018-01	M	1	Face	state	1. The Face/Feet airflow mode is active	keep	
103	NR1L-ComfortHMI-094	SWE1-HVAC-018-01	M	1	Feet	state	1. The Face/Feet airflow mode is active	keep	
103	NR1L-ComfortHMI-094	SWE1-HVAC-018-01	M	2	Feet	state	2. The Feet airflow mode is active	keep	
104	NR1L-ComfortHMI-095	SWE1-HVAC-018-01	L	1	Feet	state	1. Set the airflow mode to Feet	keep	ambiguous: set-up by value (018-01 hard-control loop start point, channel not specified) -> state; if read as "Select the X airflow mode" (precedent quoted `Select the "Face" airflow mode`) it would be label -> `Set the airflow mode to "X"`
104	NR1L-ComfortHMI-095	SWE1-HVAC-018-01	M	1	Feet	state	1. The Feet airflow mode is active	keep	
104	NR1L-ComfortHMI-095	SWE1-HVAC-018-01	M	2	Feet	state	2. The Feet plus Windshield airflow mode is active	keep	
105	NR1L-ComfortHMI-096	SWE1-HVAC-018-01	L	1	Feet	state	1. Set the airflow mode to Feet plus Windshield	keep	ambiguous: set-up by value (018-01 hard-control loop start point, channel not specified) -> state; if read as "Select the X airflow mode" (precedent quoted `Select the "Face" airflow mode`) it would be label -> `Set the airflow mode to "X"`
105	NR1L-ComfortHMI-096	SWE1-HVAC-018-01	M	1	Feet	state	1. The Feet plus Windshield airflow mode is active	keep	
105	NR1L-ComfortHMI-096	SWE1-HVAC-018-01	M	2	Face	state	2. The Face airflow mode is active	keep	
106	NR1L-ComfortHMI-097	SWE1-HVAC-018-01	L	1	Face	state	1. Set the airflow mode to Face	keep	ambiguous: set-up by value (018-01 hard-control loop start point, channel not specified) -> state; if read as "Select the X airflow mode" (precedent quoted `Select the "Face" airflow mode`) it would be label -> `Set the airflow mode to "X"`
106	NR1L-ComfortHMI-097	SWE1-HVAC-018-01	M	1	Face	state	1. The Face airflow mode is active	keep	
106	NR1L-ComfortHMI-097	SWE1-HVAC-018-01	M	2	Face	state	2. The airflow mode read after the four presses is Face/Feet, then Feet, then Feet plus Windshield, then Face again, and Defrost is not among them	keep	mode names listed in spec loop order (2.12.1/2.12.2/16.12.1); prose about which mode is active, not a label; notation of 2.12.2 C13.1 loop
106	NR1L-ComfortHMI-097	SWE1-HVAC-018-01	M	2	Feet	state	2. The airflow mode read after the four presses is Face/Feet, then Feet, then Feet plus Windshield, then Face again, and Defrost is not among them	keep	mode names listed in spec loop order (2.12.1/2.12.2/16.12.1); prose about which mode is active, not a label; notation of 2.12.2 C13.1 loop
106	NR1L-ComfortHMI-097	SWE1-HVAC-018-01	M	2	Feet	state	2. The airflow mode read after the four presses is Face/Feet, then Feet, then Feet plus Windshield, then Face again, and Defrost is not among them	keep	mode names listed in spec loop order (2.12.1/2.12.2/16.12.1); prose about which mode is active, not a label; notation of 2.12.2 C13.1 loop
106	NR1L-ComfortHMI-097	SWE1-HVAC-018-01	M	2	Feet	state	2. The airflow mode read after the four presses is Face/Feet, then Feet, then Feet plus Windshield, then Face again, and Defrost is not among them	keep	mode names listed in spec loop order (2.12.1/2.12.2/16.12.1); prose about which mode is active, not a label; notation of 2.12.2 C13.1 loop
106	NR1L-ComfortHMI-097	SWE1-HVAC-018-01	M	2	Face	state	2. The airflow mode read after the four presses is Face/Feet, then Feet, then Feet plus Windshield, then Face again, and Defrost is not among them	keep	mode names listed in spec loop order (2.12.1/2.12.2/16.12.1); prose about which mode is active, not a label; notation of 2.12.2 C13.1 loop
107	NR1L-ComfortHMI-098	SWE1-HVAC-018-02	L	1	Face	state	1. Set the airflow mode to Face	keep	ambiguous: set-up by value (018-01 hard-control loop start point, channel not specified) -> state; if read as "Select the X airflow mode" (precedent quoted `Select the "Face" airflow mode`) it would be label -> `Set the airflow mode to "X"`
107	NR1L-ComfortHMI-098	SWE1-HVAC-018-02	M	1	Face	state	1. The Face airflow mode is active	keep	
107	NR1L-ComfortHMI-098	SWE1-HVAC-018-02	M	2	Face	state	2. The Face/Feet airflow mode is active and the airflow mode does not continue to move while the control is held	keep	
107	NR1L-ComfortHMI-098	SWE1-HVAC-018-02	M	2	Feet	state	2. The Face/Feet airflow mode is active and the airflow mode does not continue to move while the control is held	keep	
123	NR1L-ComfortHMI-113	SWE1-HVAC-021-02	L	2	AUTO	label	2. Turn AUTO on and read the exterior rear-view mirror defrost state	2. Turn "AUTO" on and read the exterior rear-view mirror defrost state	
126	NR1L-ComfortHMI-116	SWE1-HVAC-023-01	M	2	Face	state	2. The Face mode is toggled ON and the Windshield and Feet modes are unchanged	keep	Tri-Mode (2.12.3) mode state in prose; the button itself would be `"Face" mode button`
126	NR1L-ComfortHMI-116	SWE1-HVAC-023-01	M	2	Feet	state	2. The Face mode is toggled ON and the Windshield and Feet modes are unchanged	keep	Tri-Mode (2.12.3) mode state in prose; the button itself would be `"Face" mode button`
126	NR1L-ComfortHMI-116	SWE1-HVAC-023-01	M	3	Face	state	3. The Face mode is toggled OFF and the Windshield and Feet modes are unchanged	keep	Tri-Mode (2.12.3) mode state in prose; the button itself would be `"Face" mode button`
126	NR1L-ComfortHMI-116	SWE1-HVAC-023-01	M	3	Feet	state	3. The Face mode is toggled OFF and the Windshield and Feet modes are unchanged	keep	Tri-Mode (2.12.3) mode state in prose; the button itself would be `"Face" mode button`
127	NR1L-ComfortHMI-117	SWE1-HVAC-023-01	M	2	Feet	state	2. The Feet mode is toggled ON and the Windshield and Face modes are unchanged	keep	Tri-Mode (2.12.3) mode state in prose; the button itself would be `"Face" mode button`
127	NR1L-ComfortHMI-117	SWE1-HVAC-023-01	M	2	Face	state	2. The Feet mode is toggled ON and the Windshield and Face modes are unchanged	keep	Tri-Mode (2.12.3) mode state in prose; the button itself would be `"Face" mode button`
127	NR1L-ComfortHMI-117	SWE1-HVAC-023-01	M	3	Feet	state	3. The Feet mode is toggled OFF and the Windshield and Face modes are unchanged	keep	Tri-Mode (2.12.3) mode state in prose; the button itself would be `"Face" mode button`
127	NR1L-ComfortHMI-117	SWE1-HVAC-023-01	M	3	Face	state	3. The Feet mode is toggled OFF and the Windshield and Face modes are unchanged	keep	Tri-Mode (2.12.3) mode state in prose; the button itself would be `"Face" mode button`
128	NR1L-ComfortHMI-118	SWE1-HVAC-023-01	M	2	Face	state	2. The Windshield mode is toggled ON and the Face and Feet modes are unchanged	keep	Tri-Mode (2.12.3) mode state in prose; the button itself would be `"Face" mode button`
128	NR1L-ComfortHMI-118	SWE1-HVAC-023-01	M	2	Feet	state	2. The Windshield mode is toggled ON and the Face and Feet modes are unchanged	keep	Tri-Mode (2.12.3) mode state in prose; the button itself would be `"Face" mode button`
128	NR1L-ComfortHMI-118	SWE1-HVAC-023-01	M	3	Face	state	3. The Windshield mode is toggled OFF and the Face and Feet modes are unchanged	keep	Tri-Mode (2.12.3) mode state in prose; the button itself would be `"Face" mode button`
128	NR1L-ComfortHMI-118	SWE1-HVAC-023-01	M	3	Feet	state	3. The Windshield mode is toggled OFF and the Face and Feet modes are unchanged	keep	Tri-Mode (2.12.3) mode state in prose; the button itself would be `"Face" mode button`
129	NR1L-ComfortHMI-119	SWE1-HVAC-023-02	L	1	Face	state	1. Press the hard control MODE button repeatedly until the Face mode alone is active	keep	
129	NR1L-ComfortHMI-119	SWE1-HVAC-023-02	M	1	Face	state	1. Only the Face mode is active	keep	
129	NR1L-ComfortHMI-119	SWE1-HVAC-023-02	M	2	Face	state	2. The Face and Feet modes are active	keep	
129	NR1L-ComfortHMI-119	SWE1-HVAC-023-02	M	2	Feet	state	2. The Face and Feet modes are active	keep	
129	NR1L-ComfortHMI-119	SWE1-HVAC-023-02	M	3	Feet	state	3. Only the Feet mode is active	keep	
129	NR1L-ComfortHMI-119	SWE1-HVAC-023-02	M	4	Feet	state	4. The Windshield and Feet modes are active	keep	
129	NR1L-ComfortHMI-119	SWE1-HVAC-023-02	M	6	Face	state	6. The Windshield and Face modes are active	keep	
129	NR1L-ComfortHMI-119	SWE1-HVAC-023-02	M	7	Face	state	7. The Windshield, Face and Feet modes are active	keep	
129	NR1L-ComfortHMI-119	SWE1-HVAC-023-02	M	7	Feet	state	7. The Windshield, Face and Feet modes are active	keep	
129	NR1L-ComfortHMI-119	SWE1-HVAC-023-02	M	8	Face	state	8. Only the Face mode is active	keep	
130	NR1L-ComfortHMI-120	SWE1-HVAC-023-03	L	1	Face	state	1. Toggle the MODE control repeatedly until the Face mode alone is active	keep	
130	NR1L-ComfortHMI-120	SWE1-HVAC-023-03	M	1	Face	state	1. Only the Face mode is active	keep	
130	NR1L-ComfortHMI-120	SWE1-HVAC-023-03	M	2	Face	state	2. The Face and Feet modes are active	keep	
130	NR1L-ComfortHMI-120	SWE1-HVAC-023-03	M	2	Feet	state	2. The Face and Feet modes are active	keep	
130	NR1L-ComfortHMI-120	SWE1-HVAC-023-03	M	3	Feet	state	3. Only the Feet mode is active	keep	
131	NR1L-ComfortHMI-121	SWE1-HVAC-023-03	L	1	Feet	state	1. Toggle the MODE control repeatedly until the Feet mode alone is active	keep	
131	NR1L-ComfortHMI-121	SWE1-HVAC-023-03	M	1	Feet	state	1. Only the Feet mode is active	keep	
131	NR1L-ComfortHMI-121	SWE1-HVAC-023-03	M	2	Face	state	2. The Face and Feet modes are active	keep	
131	NR1L-ComfortHMI-121	SWE1-HVAC-023-03	M	2	Feet	state	2. The Face and Feet modes are active	keep	
131	NR1L-ComfortHMI-121	SWE1-HVAC-023-03	M	3	Face	state	3. Only the Face mode is active	keep	
133	NR1L-ComfortHMI-123	SWE1-HVAC-024-02	L	7	RECIRC	state	7. Read the RECIRC state and its LED	keep	ambiguous: the word names the function whose state is read, not a control; kept as state for consistency with "The AUTO state is AUTO ECO". Conflicts with already-quoted precedent row 433 L2 `Press "MAX A/C" and read the "RECIRC" state and its LED` - one of the two conventions must win
133	NR1L-ComfortHMI-123	SWE1-HVAC-024-02	L	8	Sync	state	8. Read the Sync state	keep	ambiguous: the word names the function whose state is read, not a control; kept as state for consistency with "The AUTO state is AUTO ECO". Conflicts with already-quoted precedent row 433 L2 `Press "MAX A/C" and read the "RECIRC" state and its LED` - one of the two conventions must win; spelling: canon button label is SYNC (2.8 C12 "highlight button if SYNC"); SR24 also writes "Sync" in prose (2.8, MAX DEF "turns on Sync"). Analysis layer to decide whether to normalise to SYNC
133	NR1L-ComfortHMI-123	SWE1-HVAC-024-02	M	7	RECIRC	state	7. RECIRC is open and its LED is off	keep	
133	NR1L-ComfortHMI-123	SWE1-HVAC-024-02	M	8	Sync	state	8. Sync is on	keep	spelling: canon button label is SYNC (2.8 C12 "highlight button if SYNC"); SR24 also writes "Sync" in prose (2.8, MAX DEF "turns on Sync"). Analysis layer to decide whether to normalise to SYNC
136	NR1L-ComfortHMI-126	SWE1-HVAC-024-05	M	2	AUTO	state	2. The "MAX DEF" button is no longer active and the climate system is in AUTO	keep	
139	NR1L-ComfortHMI-129	SWE1-HVAC-024-07	L	2	RECIRC	label	2. Change RECIRC	2. Change "RECIRC"	ambiguous: "Change RECIRC" = operate the RECIRC control (label); could also be read as changing the recirc state in prose (state)
153	NR1L-ComfortHMI-143	SWE1-HVAC-030-01	L	1	AUTO	label	1. Turn rear AUTO on	1. Turn rear "AUTO" on	
153	NR1L-ComfortHMI-143	SWE1-HVAC-030-01	M	1	AUTO	label	1. The rear AUTO button is highlighted	1. The rear "AUTO" button is highlighted	
153	NR1L-ComfortHMI-143	SWE1-HVAC-030-01	M	2	AUTO	label	2. The rear fan speed indicator shows AUTO instead of the actual fan speed	2. The rear fan speed indicator shows "AUTO" instead of the actual fan speed	value read off the UI (fan speed indicator / pop up), §11 "values follow the same convention"; spec 2.3/7.2 writes "Auto", R-C2 -> AUTO
154	NR1L-ComfortHMI-144	SWE1-HVAC-030-02	L	1	AUTO	label	1. Turn rear AUTO on	1. Turn rear "AUTO" on	
154	NR1L-ComfortHMI-144	SWE1-HVAC-030-02	M	1	AUTO	label	1. The rear AUTO button is highlighted	1. The rear "AUTO" button is highlighted	
155	NR1L-ComfortHMI-145	SWE1-HVAC-030-03	L	2	AUTO	label	2. Turn rear AUTO on	2. Turn rear "AUTO" on	
155	NR1L-ComfortHMI-145	SWE1-HVAC-030-03	M	2	AUTO	label	2. The rear AUTO button is highlighted	2. The rear "AUTO" button is highlighted	
156	NR1L-ComfortHMI-146	SWE1-HVAC-030-04	L	1	AUTO	label	1. Turn rear AUTO on	1. Turn rear "AUTO" on	
156	NR1L-ComfortHMI-146	SWE1-HVAC-030-04	L	3	AUTO	label	3. Turn rear AUTO on again	3. Turn rear "AUTO" on again	
156	NR1L-ComfortHMI-146	SWE1-HVAC-030-04	M	1	AUTO	label	1. The rear AUTO button is highlighted	1. The rear "AUTO" button is highlighted	
156	NR1L-ComfortHMI-146	SWE1-HVAC-030-04	M	2	AUTO	label	2. The rear AUTO button is no longer highlighted and the system is in the manual mode that most closely matches the exited AUTO mode	2. The rear "AUTO" button is no longer highlighted and the system is in the manual mode that most closely matches the exited AUTO mode	
