cell	tc_id	item	before	after
J18	NR1L-ComfortHMI-035	軸 2 PC	"1. The vehicle has climate hard controls and a climate touchscreen
2. The vehicle has a passenger side temperature control
3. The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed
4. The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16"	"1. The vehicle has climate hard controls and a climate touchscreen
2. The vehicle has a passenger side temperature control
3. The vehicle is not a single zone climate configuration, for which Sync is not shown
4. The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed
5. The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16"
L18	NR1L-ComfortHMI-035	M7	"1. Turn Sync on
2. Adjust the driver temperature slider"	"1. Turn ""SYNC"" on
2. Adjust the driver temperature slider"
M18	NR1L-ComfortHMI-035	M7	"1. Sync is on
2. No slider pop-up is shown on the passenger side"	"1. SYNC is on
2. No slider pop-up is shown on the passenger side"
N18	NR1L-ComfortHMI-035	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2、2.14、16.2	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.11
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
T18	NR1L-ComfortHMI-035	R-C48(amend)	1	0
U18	NR1L-ComfortHMI-035	R-C48(amend)	1	0
W18	NR1L-ComfortHMI-035	R-C48(amend)	1	0
X18	NR1L-ComfortHMI-035	R-C48(amend)	1	0
I19	NR1L-ComfortHMI-036	R-C50+R-C50(amend)	"If the user is outside of the climate main category and the temperature is changed through hard controls, a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set, for MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.

(change the temperature using the temperature hard control -> A pop-up comes down from the temperature in the status bar and displays the degree being set, in half degree increments)"	"A pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set

(change the temperature using the temperature hard control -> A pop-up comes down from the temperature in the status bar and displays the degree being set, in half degree increments)"
N19	NR1L-ComfortHMI-036	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2、2.14、16.2	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
T19	NR1L-ComfortHMI-036	R-C48(amend)	1	0
U19	NR1L-ComfortHMI-036	R-C48(amend)	1	0
W19	NR1L-ComfortHMI-036	R-C48(amend)	1	0
X19	NR1L-ComfortHMI-036	R-C48(amend)	1	0
I20	NR1L-ComfortHMI-037	R-C50+R-C50(amend)	"If the user is outside of the climate main category and the temperature is changed through hard controls, a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set, for MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.

(change the temperature using the temperature hard control -> A pop-up comes down from the temperature in the status bar and displays the degree being set, without half degrees)"	"A pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set

(change the temperature using the temperature hard control -> A pop-up comes down from the temperature in the status bar and displays the degree being set, without half degrees)"
N20	NR1L-ComfortHMI-037	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2、2.14	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14"
T20	NR1L-ComfortHMI-037	R-C48(amend)	1	0
U20	NR1L-ComfortHMI-037	R-C48(amend)	1	0
W20	NR1L-ComfortHMI-037	R-C48(amend)	1	0
X20	NR1L-ComfortHMI-037	R-C48(amend)	1	0
I21	NR1L-ComfortHMI-038	R-C50+R-C50(amend)	"If the user is outside of the climate main category and the temperature is changed through hard controls, a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set, for MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.

(continue altering the temperature using the temperature hard control -> The arrow moves with the temperature being set)"	"For MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.

(continue altering the temperature using the temperature hard control -> The arrow moves with the temperature being set)"
N21	NR1L-ComfortHMI-038	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2、2.14、16.2	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
T21	NR1L-ComfortHMI-038	R-C48(amend)	1	0
U21	NR1L-ComfortHMI-038	R-C48(amend)	1	0
W21	NR1L-ComfortHMI-038	R-C48(amend)	1	0
X21	NR1L-ComfortHMI-038	R-C48(amend)	1	0
N22	NR1L-ComfortHMI-039	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2、2.14、16.2、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
T22	NR1L-ComfortHMI-039	R-C48(amend)	1	0
U22	NR1L-ComfortHMI-039	R-C48(amend)	1	0
W22	NR1L-ComfortHMI-039	R-C48(amend)	1	0
X22	NR1L-ComfortHMI-039	R-C48(amend)	1	0
N23	NR1L-ComfortHMI-040	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2、2.14、16.2	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
T23	NR1L-ComfortHMI-040	R-C48(amend)	1	0
U23	NR1L-ComfortHMI-040	R-C48(amend)	1	0
W23	NR1L-ComfortHMI-040	R-C48(amend)	1	0
X23	NR1L-ComfortHMI-040	R-C48(amend)	1	0
L24	NR1L-ComfortHMI-127	M7	"1. Turn AUTO on from the climate screen
2. Read the fan speed indicator"	"1. Turn ""AUTO"" on from the climate screen
2. Read the fan speed indicator"
N24	NR1L-ComfortHMI-127	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3、2.14、16.2、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
T24	NR1L-ComfortHMI-127	R-C48(amend)	1	0
U24	NR1L-ComfortHMI-127	R-C48(amend)	1	0
W24	NR1L-ComfortHMI-127	R-C48(amend)	1	0
X24	NR1L-ComfortHMI-127	R-C48(amend)	1	0
L25	NR1L-ComfortHMI-128	M7	"1. Turn AUTO on from the climate screen
2. Read the main category control"	"1. Turn ""AUTO"" on from the climate screen
2. Read the main category control"
N25	NR1L-ComfortHMI-128	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3、2.14、16.2、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
T25	NR1L-ComfortHMI-128	R-C48(amend)	1	0
U25	NR1L-ComfortHMI-128	R-C48(amend)	1	0
W25	NR1L-ComfortHMI-128	R-C48(amend)	1	0
X25	NR1L-ComfortHMI-128	R-C48(amend)	1	0
I26	NR1L-ComfortHMI-129	M7	"AUTO affects Fan speed, Modes, AC in order to reach desired temperature as quickly as possible.

(turn AUTO on and read the fan speed and the airflow mode -> The fan speed and the airflow mode are set by the system)"	"AUTO affects Fan speed, Modes, AC in order to reach desired temperature as quickly as possible.

(turn ""AUTO"" on and read the fan speed and the airflow mode -> The fan speed and the airflow mode are set by the system)"
L26	NR1L-ComfortHMI-129	M7	"1. Set a fan speed and an airflow mode from the climate screen with AUTO off
2. Turn AUTO on and read the fan speed and the airflow mode"	"1. Set a fan speed and an airflow mode from the climate screen with AUTO off
2. Turn ""AUTO"" on and read the fan speed and the airflow mode"
N26	NR1L-ComfortHMI-129	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3、2.14、16.2、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
T26	NR1L-ComfortHMI-129	R-C48(amend)	1	0
U26	NR1L-ComfortHMI-129	R-C48(amend)	1	0
W26	NR1L-ComfortHMI-129	R-C48(amend)	1	0
X26	NR1L-ComfortHMI-129	R-C48(amend)	1	0
I27	NR1L-ComfortHMI-130	M7	"Auto is mutually exclusive with the four airflow modes and front defrost.

(turn AUTO on -> The airflow mode buttons and ""FRONT DEF"" are no longer active)"	"Auto is mutually exclusive with the four airflow modes and front defrost.

(turn ""AUTO"" on -> The airflow mode buttons and ""FRONT DEF"" are no longer active)"
L27	NR1L-ComfortHMI-130	M7+M9-compound	"1. Select an airflow mode and turn front defrost on from the climate screen
2. Turn AUTO on"	"1. Select an airflow mode on the climate screen
2. Turn front defrost on from the climate screen
3. Turn ""AUTO"" on"
M27	NR1L-ComfortHMI-130	M9-compound	"1. The selected airflow mode and ""FRONT DEF"" are active
2. The airflow mode buttons and ""FRONT DEF"" are no longer active"	"1. The selected airflow mode is active
2. ""FRONT DEF"" is active
3. The airflow mode buttons and ""FRONT DEF"" are no longer active"
N27	NR1L-ComfortHMI-130	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3、2.14、16.2、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
T27	NR1L-ComfortHMI-130	R-C48(amend)	1	0
U27	NR1L-ComfortHMI-130	R-C48(amend)	1	0
W27	NR1L-ComfortHMI-130	R-C48(amend)	1	0
X27	NR1L-ComfortHMI-130	R-C48(amend)	1	0
I28	NR1L-ComfortHMI-131	M7	"Auto can change the state of AC, but do not show this change.

(turn AUTO on and read the ""A/C"" button -> The ""A/C"" button state is unchanged)"	"Auto can change the state of AC, but do not show this change.

(turn ""AUTO"" on and read the ""A/C"" button -> The ""A/C"" button state is unchanged)"
L28	NR1L-ComfortHMI-131	M7+M9-Note	"1. Note the state of the ""A/C"" button on the climate screen with AUTO off
2. Turn AUTO on and read the ""A/C"" button"	"1. Read the state of the ""A/C"" button on the climate screen with AUTO off and record it
2. Turn ""AUTO"" on and read the ""A/C"" button"
N28	NR1L-ComfortHMI-131	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3、2.14、16.2、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
T28	NR1L-ComfortHMI-131	R-C48(amend)	1	0
U28	NR1L-ComfortHMI-131	R-C48(amend)	1	0
W28	NR1L-ComfortHMI-131	R-C48(amend)	1	0
X28	NR1L-ComfortHMI-131	R-C48(amend)	1	0
L29	NR1L-ComfortHMI-132	M7	"1. Turn AUTO on from the climate screen
2. Press ""A/C"""	"1. Turn ""AUTO"" on from the climate screen
2. Press ""A/C"""
N29	NR1L-ComfortHMI-132	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3、2.14、16.2、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
T29	NR1L-ComfortHMI-132	R-C48(amend)	1	0
U29	NR1L-ComfortHMI-132	R-C48(amend)	1	0
W29	NR1L-ComfortHMI-132	R-C48(amend)	1	0
X29	NR1L-ComfortHMI-132	R-C48(amend)	1	0
L30	NR1L-ComfortHMI-386	M7	"1. Turn AUTO on from the climate screen
2. Select another airflow mode"	"1. Turn ""AUTO"" on from the climate screen
2. Select another airflow mode"
N30	NR1L-ComfortHMI-386	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3、2.14、16.2、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
T30	NR1L-ComfortHMI-386	R-C48(amend)	1	0
U30	NR1L-ComfortHMI-386	R-C48(amend)	1	0
W30	NR1L-ComfortHMI-386	R-C48(amend)	1	0
X30	NR1L-ComfortHMI-386	R-C48(amend)	1	0
L31	NR1L-ComfortHMI-387	M7	"1. Turn AUTO on from the climate screen
2. Change the fan speed"	"1. Turn ""AUTO"" on from the climate screen
2. Change the fan speed"
N31	NR1L-ComfortHMI-387	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3、2.14、16.2、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
T31	NR1L-ComfortHMI-387	R-C48(amend)	1	0
U31	NR1L-ComfortHMI-387	R-C48(amend)	1	0
W31	NR1L-ComfortHMI-387	R-C48(amend)	1	0
X31	NR1L-ComfortHMI-387	R-C48(amend)	1	0
L32	NR1L-ComfortHMI-133	M7	"1. Turn AUTO on from the climate screen
2. Press the ""Feet"" airflow mode button"	"1. Turn ""AUTO"" on from the climate screen
2. Press the ""Feet"" airflow mode button"
N32	NR1L-ComfortHMI-133	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3、2.14、16.2、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
T32	NR1L-ComfortHMI-133	R-C48(amend)	1	0
U32	NR1L-ComfortHMI-133	R-C48(amend)	1	0
W32	NR1L-ComfortHMI-133	R-C48(amend)	1	0
X32	NR1L-ComfortHMI-133	R-C48(amend)	1	0
L33	NR1L-ComfortHMI-134	M7	"1. Turn AUTO on from the climate screen
2. Press ""REAR DEFROST"""	"1. Turn ""AUTO"" on from the climate screen
2. Press ""REAR DEFROST"""
N33	NR1L-ComfortHMI-134	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3、2.14、16.2、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
T33	NR1L-ComfortHMI-134	R-C48(amend)	1	0
U33	NR1L-ComfortHMI-134	R-C48(amend)	1	0
W33	NR1L-ComfortHMI-134	R-C48(amend)	1	0
X33	NR1L-ComfortHMI-134	R-C48(amend)	1	0
