# vm_split_plan.tsv —— CMF-04 §2-2（**只出 plan，未產任何 sibling**：§3 停點全數命中）。
# R-C62-2：同一 leaf 只有一條 TC，而其觸發／ER 依 PROXI 值在三台間不同者，每台一組值一條 sibling。
# **偵測為啟發式**（body 命中該軸之字樣且 PC 未宣告該軸），非證明；每條須人工複判 —— 見上繳包 §2-4。
# 每條只計其第一個命中之軸；同時涉兩軸者之實際拆數會高於本表。
# CMF-05 §3 補三欄（applicable_vehicles／axis_values_in_set／verdict）：依 R-C48(amend2) 定出各 TC 之適用車型集合後，逐條複判該差異軸是否仍有差異。
# 實產拆題 0 條。本表之 71 列為**三台全集下**之啟發式上界，不作廢 —— 日後加入第四台車時仍為候選。
tc_id	req_id	differing_axis	proxi_values_dec	split_into	new_rows_added	differing_field	evidence_in_body	note	applicable_vehicles	axis_values_in_set	verdict
NR1L-ComfortHMI-071	SWE1-HVAC-048-01	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-072	SWE1-HVAC-048-02	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-073	SWE1-HVAC-048-03	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-074	SWE1-HVAC-049-01	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-075	SWE1-HVAC-049-02	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-076	SWE1-HVAC-050	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-077	SWE1-HVAC-051	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-078	SWE1-HVAC-052	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-079	SWE1-HVAC-053-01	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-080	SWE1-HVAC-053-02	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-109	SWE1-HVAC-112-01	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-119	SWE1-HVAC-125-02	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	auto	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-121	SWE1-HVAC-125-04	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	auto	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-134	SWE1-HVAC-003-08	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	REAR	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-137	SWE1-HVAC-005-02	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-138	SWE1-HVAC-005-03	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-144	SWE1-HVAC-014-02	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	REAR	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-159	SWE1-HVAC-013-01	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	REAR	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-160	SWE1-HVAC-013-02	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	REAR	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-161	SWE1-HVAC-013-03	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-162	SWE1-HVAC-013-04	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	REAR	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-165	SWE1-HVAC-021-01	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	rear	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-166	SWE1-HVAC-021-02	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-197	SWE1-HVAC-104-05	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-212	SWE1-HVAC-108	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	REAR	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-216	SWE1-HVAC-115-02	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	REAR	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-219	SWE1-HVAC-115-05	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	REAR	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-235	SWE1-HVAC-119-11	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-242	SWE1-HVAC-113-06	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	REAR	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-249	SWE1-HVAC-114-01	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	REAR	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-250	SWE1-HVAC-114-02	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	REAR	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-263	SWE1-HVAC-118-10	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	Rear	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-264	SWE1-HVAC-121-01	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	rear	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-265	SWE1-HVAC-121-02	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-269	SWE1-HVAC-029-01	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	rear	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-270	SWE1-HVAC-029-02	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	rear	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-272	SWE1-HVAC-030-01	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	(空)	(無適用車型)	不拆 —— 適用車型集合為空（三台皆 0，依 R-C63 照填一條）
NR1L-ComfortHMI-273	SWE1-HVAC-030-02	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	(空)	(無適用車型)	不拆 —— 適用車型集合為空（三台皆 0，依 R-C63 照填一條）
NR1L-ComfortHMI-274	SWE1-HVAC-030-03	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	(空)	(無適用車型)	不拆 —— 適用車型集合為空（三台皆 0，依 R-C63 照填一條）
NR1L-ComfortHMI-275	SWE1-HVAC-030-04	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	(空)	(無適用車型)	不拆 —— 適用車型集合為空（三台皆 0，依 R-C63 照填一條）
NR1L-ComfortHMI-276	SWE1-HVAC-030-05	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	(空)	(無適用車型)	不拆 —— 適用車型集合為空（三台皆 0，依 R-C63 照填一條）
NR1L-ComfortHMI-298	SWE1-HVAC-036-03	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	(空)	(無適用車型)	不拆 —— 適用車型集合為空（三台皆 0，依 R-C63 照填一條）
NR1L-ComfortHMI-363	SWE1-HVAC-004-01	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-364	SWE1-HVAC-004-02	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-365	SWE1-HVAC-007-01	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	Auto	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-367	SWE1-HVAC-040-01	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	rear	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-368	SWE1-HVAC-040-02	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	Rear	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-369	SWE1-HVAC-041	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	Rear	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-370	SWE1-HVAC-042-01	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	Rear	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-371	SWE1-HVAC-042-02	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	Rear	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-372	SWE1-HVAC-042-03	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	Rear	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-373	SWE1-HVAC-043	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	Rear	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-382	SWE1-HVAC-058	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	Auto	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-388	SWE1-HVAC-007-01	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	Auto	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-404	SWE1-HVAC-033-01	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	(空)	(無適用車型)	不拆 —— 適用車型集合為空（三台皆 0，依 R-C63 照填一條）
