cell	sheet	tc_id	item	revise_0918	revise_0921
I21	Test Case Specification 測試用例規範	NR1L-ComfortHMI-038	R-C50+R-C50(amend)	"for MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.

(continue altering the temperature using the temperature hard control -> The arrow moves with the temperature being set)"	"For MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.

(continue altering the temperature using the temperature hard control -> The arrow moves with the temperature being set)"
T21	Test Case Specification 測試用例規範	NR1L-ComfortHMI-038	R-C48(amend)	1	0
U21	Test Case Specification 測試用例規範	NR1L-ComfortHMI-038	R-C48(amend)	1	0
T22	Test Case Specification 測試用例規範	NR1L-ComfortHMI-039	R-C48(amend)	1	0
U22	Test Case Specification 測試用例規範	NR1L-ComfortHMI-039	R-C48(amend)	1	0
T23	Test Case Specification 測試用例規範	NR1L-ComfortHMI-040	R-C48(amend)	1	0
U23	Test Case Specification 測試用例規範	NR1L-ComfortHMI-040	R-C48(amend)	1	0
L24	Test Case Specification 測試用例規範	NR1L-ComfortHMI-127	M7	"1. Turn AUTO on from the climate screen
2. Read the fan speed indicator"	"1. Turn ""AUTO"" on from the climate screen
2. Read the fan speed indicator"
T24	Test Case Specification 測試用例規範	NR1L-ComfortHMI-127	R-C48(amend)	1	0
U24	Test Case Specification 測試用例規範	NR1L-ComfortHMI-127	R-C48(amend)	1	0
L25	Test Case Specification 測試用例規範	NR1L-ComfortHMI-128	M7	"1. Turn AUTO on from the climate screen
2. Read the main category control"	"1. Turn ""AUTO"" on from the climate screen
2. Read the main category control"
T25	Test Case Specification 測試用例規範	NR1L-ComfortHMI-128	R-C48(amend)	1	0
U25	Test Case Specification 測試用例規範	NR1L-ComfortHMI-128	R-C48(amend)	1	0
I26	Test Case Specification 測試用例規範	NR1L-ComfortHMI-129	M7	"AUTO affects Fan speed, Modes, AC in order to reach desired temperature as quickly as possible.

(turn AUTO on and read the fan speed and the airflow mode -> The fan speed and the airflow mode are set by the system)"	"AUTO affects Fan speed, Modes, AC in order to reach desired temperature as quickly as possible.

(turn ""AUTO"" on and read the fan speed and the airflow mode -> The fan speed and the airflow mode are set by the system)"
L26	Test Case Specification 測試用例規範	NR1L-ComfortHMI-129	M7	"1. Set a fan speed and an airflow mode from the climate screen with AUTO off
2. Turn AUTO on and read the fan speed and the airflow mode"	"1. Set a fan speed and an airflow mode from the climate screen with AUTO off
2. Turn ""AUTO"" on and read the fan speed and the airflow mode"
T26	Test Case Specification 測試用例規範	NR1L-ComfortHMI-129	R-C48(amend)	1	0
U26	Test Case Specification 測試用例規範	NR1L-ComfortHMI-129	R-C48(amend)	1	0
I27	Test Case Specification 測試用例規範	NR1L-ComfortHMI-130	M7	"Auto is mutually exclusive with the four airflow modes and front defrost.

(turn AUTO on -> The airflow mode buttons and ""FRONT DEF"" are no longer active)"	"Auto is mutually exclusive with the four airflow modes and front defrost.

(turn ""AUTO"" on -> The airflow mode buttons and ""FRONT DEF"" are no longer active)"
L27	Test Case Specification 測試用例規範	NR1L-ComfortHMI-130	M7+M9-compound	"1. Select an airflow mode on the climate screen
2. Turn front defrost on from the climate screen
3. Turn AUTO on"	"1. Select an airflow mode on the climate screen
2. Turn front defrost on from the climate screen
3. Turn ""AUTO"" on"
T27	Test Case Specification 測試用例規範	NR1L-ComfortHMI-130	R-C48(amend)	1	0
U27	Test Case Specification 測試用例規範	NR1L-ComfortHMI-130	R-C48(amend)	1	0
I28	Test Case Specification 測試用例規範	NR1L-ComfortHMI-131	M7	"Auto can change the state of AC, but do not show this change.

(turn AUTO on and read the ""A/C"" button -> The ""A/C"" button state is unchanged)"	"Auto can change the state of AC, but do not show this change.

(turn ""AUTO"" on and read the ""A/C"" button -> The ""A/C"" button state is unchanged)"
L28	Test Case Specification 測試用例規範	NR1L-ComfortHMI-131	M7+M9-Note	"1. Read the state of the ""A/C"" button on the climate screen with AUTO off and record it
2. Turn AUTO on and read the ""A/C"" button"	"1. Read the state of the ""A/C"" button on the climate screen with AUTO off and record it
2. Turn ""AUTO"" on and read the ""A/C"" button"
T28	Test Case Specification 測試用例規範	NR1L-ComfortHMI-131	R-C48(amend)	1	0
U28	Test Case Specification 測試用例規範	NR1L-ComfortHMI-131	R-C48(amend)	1	0
L29	Test Case Specification 測試用例規範	NR1L-ComfortHMI-132	M7	"1. Turn AUTO on from the climate screen
2. Press ""A/C"""	"1. Turn ""AUTO"" on from the climate screen
2. Press ""A/C"""
T29	Test Case Specification 測試用例規範	NR1L-ComfortHMI-132	R-C48(amend)	1	0
U29	Test Case Specification 測試用例規範	NR1L-ComfortHMI-132	R-C48(amend)	1	0
L30	Test Case Specification 測試用例規範	NR1L-ComfortHMI-386	M7	"1. Turn AUTO on from the climate screen
2. Select another airflow mode"	"1. Turn ""AUTO"" on from the climate screen
2. Select another airflow mode"
T30	Test Case Specification 測試用例規範	NR1L-ComfortHMI-386	R-C48(amend)	1	0
U30	Test Case Specification 測試用例規範	NR1L-ComfortHMI-386	R-C48(amend)	1	0
L31	Test Case Specification 測試用例規範	NR1L-ComfortHMI-387	M7	"1. Turn AUTO on from the climate screen
2. Change the fan speed"	"1. Turn ""AUTO"" on from the climate screen
2. Change the fan speed"
T31	Test Case Specification 測試用例規範	NR1L-ComfortHMI-387	R-C48(amend)	1	0
U31	Test Case Specification 測試用例規範	NR1L-ComfortHMI-387	R-C48(amend)	1	0
L32	Test Case Specification 測試用例規範	NR1L-ComfortHMI-133	M7	"1. Turn AUTO on from the climate screen
2. Press the ""Feet"" airflow mode button"	"1. Turn ""AUTO"" on from the climate screen
2. Press the ""Feet"" airflow mode button"
T32	Test Case Specification 測試用例規範	NR1L-ComfortHMI-133	R-C48(amend)	1	0
U32	Test Case Specification 測試用例規範	NR1L-ComfortHMI-133	R-C48(amend)	1	0
L33	Test Case Specification 測試用例規範	NR1L-ComfortHMI-134	M7	"1. Turn AUTO on from the climate screen
2. Press ""REAR DEFROST"""	"1. Turn ""AUTO"" on from the climate screen
2. Press ""REAR DEFROST"""
T33	Test Case Specification 測試用例規範	NR1L-ComfortHMI-134	R-C48(amend)	1	0
U33	Test Case Specification 測試用例規範	NR1L-ComfortHMI-134	R-C48(amend)	1	0
T34	Test Case Specification 測試用例規範	NR1L-ComfortHMI-135	R-C48(amend)	1	0
U34	Test Case Specification 測試用例規範	NR1L-ComfortHMI-135	R-C48(amend)	1	0
I35	Test Case Specification 測試用例規範	NR1L-ComfortHMI-363	M7	"C2.1) Some vehicles with dual zone climate with dual airflow mode can have a configuration for dual AUTO modes, one for the driver side and passenger side.

(read the AUTO controls -> A driver side AUTO mode and a passenger side AUTO mode are provided)"	"C2.1) Some vehicles with dual zone climate with dual airflow mode can have a configuration for dual AUTO modes, one for the driver side and passenger side.

(read the ""AUTO"" controls -> A driver side AUTO mode and a passenger side AUTO mode are provided)"
L35	Test Case Specification 測試用例規範	NR1L-ComfortHMI-363	M7	"1. Open the climate screen
2. Read the AUTO controls"	"1. Open the climate screen
2. Read the ""AUTO"" controls"
T35	Test Case Specification 測試用例規範	NR1L-ComfortHMI-363	R-C48(amend)	1	0
U35	Test Case Specification 測試用例規範	NR1L-ComfortHMI-363	R-C48(amend)	1	0
I36	Test Case Specification 測試用例規範	NR1L-ComfortHMI-364	M7	"C2.1) Some vehicles with dual zone climate with dual airflow mode can have a configuration for dual AUTO modes, one for the driver side and passenger side.

(read the driver and passenger AUTO indicators -> The driver side AUTO indicator is shown as on and the passenger side AUTO indicator is shown separately)"	"C2.1) Some vehicles with dual zone climate with dual airflow mode can have a configuration for dual AUTO modes, one for the driver side and passenger side.

(read the driver and passenger ""AUTO"" indicators -> The driver side ""AUTO"" indicator is shown as on and the passenger side ""AUTO"" indicator is shown separately)"
L36	Test Case Specification 測試用例規範	NR1L-ComfortHMI-364	M7	"1. Turn the driver side AUTO on
2. Read the driver and passenger AUTO indicators"	"1. Turn the driver side ""AUTO"" on
2. Read the driver and passenger ""AUTO"" indicators"
M36	Test Case Specification 測試用例規範	NR1L-ComfortHMI-364	M7	"1. The driver side AUTO is on
2. The driver side AUTO indicator is shown as on and the passenger side AUTO indicator is shown separately"	"1. The driver side AUTO is on
2. The driver side ""AUTO"" indicator is shown as on and the passenger side ""AUTO"" indicator is shown separately"
T36	Test Case Specification 測試用例規範	NR1L-ComfortHMI-364	R-C48(amend)	1	0
U36	Test Case Specification 測試用例規範	NR1L-ComfortHMI-364	R-C48(amend)	1	0
T37	Test Case Specification 測試用例規範	NR1L-ComfortHMI-136	R-C48(amend)	1	0
U37	Test Case Specification 測試用例規範	NR1L-ComfortHMI-136	R-C48(amend)	1	0
I38	Test Case Specification 測試用例規範	NR1L-ComfortHMI-137	M7	"Auto can automatically turn on AC. AC will break Auto.

(turn AUTO on and read the ""A/C"" button -> The ""A/C"" button is highlighted)"	"Auto can automatically turn on AC. AC will break Auto.

(turn ""AUTO"" on and read the ""A/C"" button -> The ""A/C"" button is highlighted)"
L38	Test Case Specification 測試用例規範	NR1L-ComfortHMI-137	M7	"1. Turn ""A/C"" off and AUTO off from the climate screen
2. Turn AUTO on and read the ""A/C"" button"	"1. Turn ""A/C"" off and ""AUTO"" off from the climate screen
2. Turn ""AUTO"" on and read the ""A/C"" button"
T38	Test Case Specification 測試用例規範	NR1L-ComfortHMI-137	R-C48(amend)	1	0
U38	Test Case Specification 測試用例規範	NR1L-ComfortHMI-137	R-C48(amend)	1	0
L39	Test Case Specification 測試用例規範	NR1L-ComfortHMI-138	M7	"1. Turn AUTO on from the climate screen
2. Press ""A/C"""	"1. Turn ""AUTO"" on from the climate screen
2. Press ""A/C"""
T39	Test Case Specification 測試用例規範	NR1L-ComfortHMI-138	R-C48(amend)	1	0
U39	Test Case Specification 測試用例規範	NR1L-ComfortHMI-138	R-C48(amend)	1	0
I40	Test Case Specification 測試用例規範	NR1L-ComfortHMI-139	R-C55 slim	"Defrost can automatically turn on AC (Do not show this change).

(turn ""RECIRC"" on and read the ""A/C"" button -> The ""A/C"" button is not highlighted)"	"Defrost can automatically turn on AC (Do not show this change).

(turn ""FRONT DEF"" on and read the ""A/C"" button -> The ""A/C"" button is not highlighted)"
L40	Test Case Specification 測試用例規範	NR1L-ComfortHMI-139	R-C55 slim	"1. Turn ""A/C"" off from the climate screen and note the ""A/C"" button
2. Turn ""FRONT DEF"" on and read the ""A/C"" button
3. Turn ""RECIRC"" on and read the ""A/C"" button"	"1. Turn ""A/C"" off from the climate screen and note the ""A/C"" button
2. Turn ""FRONT DEF"" on and read the ""A/C"" button"
M40	Test Case Specification 測試用例規範	NR1L-ComfortHMI-139	R-C55 slim	"1. The ""A/C"" button is not highlighted
2. The ""A/C"" button is not highlighted
3. The ""A/C"" button is not highlighted"	"1. The ""A/C"" button is not highlighted
2. The ""A/C"" button is not highlighted"
T40	Test Case Specification 測試用例規範	NR1L-ComfortHMI-139	R-C48(amend)	1	0
U40	Test Case Specification 測試用例規範	NR1L-ComfortHMI-139	R-C48(amend)	1	0
T41	Test Case Specification 測試用例規範	NR1L-ComfortHMI-140	R-C48(amend)	1	0
U41	Test Case Specification 測試用例規範	NR1L-ComfortHMI-140	R-C48(amend)	1	0
T42	Test Case Specification 測試用例規範	NR1L-ComfortHMI-141	R-C48(amend)	1	0
U42	Test Case Specification 測試用例規範	NR1L-ComfortHMI-141	R-C48(amend)	1	0
T43	Test Case Specification 測試用例規範	NR1L-ComfortHMI-142	R-C48(amend)	1	0
U43	Test Case Specification 測試用例規範	NR1L-ComfortHMI-142	R-C48(amend)	1	0
I44	Test Case Specification 測試用例規範	NR1L-ComfortHMI-439	M7	"The recirc icon will display the vehicle model specific icon as displayed in the table.

(read the RECIRC icon -> A RECIRC icon is displayed and it matches the vehicle's configuration — the model specific icon, or the generic recirc symbol where the vehicle model cannot be detected)"	"The recirc icon will display the vehicle model specific icon as displayed in the table.

(read the ""RECIRC"" icon -> A ""RECIRC"" icon is displayed and it matches the vehicle's configuration — the model specific icon, or the generic recirc symbol where the vehicle model cannot be detected)"
L44	Test Case Specification 測試用例規範	NR1L-ComfortHMI-439	M7	"1. Open the climate screen
2. Read the RECIRC icon"	"1. Open the climate screen
2. Read the ""RECIRC"" icon"
M44	Test Case Specification 測試用例規範	NR1L-ComfortHMI-439	M7	"1. The climate screen is displayed
2. A RECIRC icon is displayed and it matches the vehicle's configuration — the model specific icon, or the generic recirc symbol where the vehicle model cannot be detected"	"1. The climate screen is displayed
2. A ""RECIRC"" icon is displayed and it matches the vehicle's configuration — the model specific icon, or the generic recirc symbol where the vehicle model cannot be detected"
T44	Test Case Specification 測試用例規範	NR1L-ComfortHMI-439	R-C48(amend)	1	0
U44	Test Case Specification 測試用例規範	NR1L-ComfortHMI-439	R-C48(amend)	1	0
I45	Test Case Specification 測試用例規範	NR1L-ComfortHMI-365	M7	"C4.1) Some vehicles have a configuration for a 3 state toggle recirc button: Auto, Manual, Open.

(press the RECIRC button again -> RECIRC is in the Open state)"	"C4.1) Some vehicles have a configuration for a 3 state toggle recirc button: Auto, Manual, Open.

(press the ""RECIRC"" button again -> RECIRC is in the Open state)"
L45	Test Case Specification 測試用例規範	NR1L-ComfortHMI-365	M7	"1. Press the RECIRC button
2. Press the RECIRC button again
3. Press the RECIRC button again"	"1. Press the ""RECIRC"" button
2. Press the ""RECIRC"" button again
3. Press the ""RECIRC"" button again"
T45	Test Case Specification 測試用例規範	NR1L-ComfortHMI-365	R-C48(amend)	1	0
U45	Test Case Specification 測試用例規範	NR1L-ComfortHMI-365	R-C48(amend)	1	0
I46	Test Case Specification 測試用例規範	NR1L-ComfortHMI-388	M7	"C4.1) Some vehicles have a configuration for a 3 state toggle recirc button: Auto, Manual, Open.

(press the RECIRC button again and read the RECIRC state -> RECIRC is in the Auto state and no further state is offered)"	"C4.1) Some vehicles have a configuration for a 3 state toggle recirc button: Auto, Manual, Open.

(press the ""RECIRC"" button again and read the ""RECIRC"" button state -> RECIRC is in the Auto state and no further state is offered)"
L46	Test Case Specification 測試用例規範	NR1L-ComfortHMI-388	M7	"1. Press the RECIRC button until RECIRC is in the Open state
2. Press the RECIRC button again and read the RECIRC state"	"1. Press the ""RECIRC"" button until RECIRC is in the Open state
2. Press the ""RECIRC"" button again and read the ""RECIRC"" button state"
T46	Test Case Specification 測試用例規範	NR1L-ComfortHMI-388	R-C48(amend)	1	0
U46	Test Case Specification 測試用例規範	NR1L-ComfortHMI-388	R-C48(amend)	1	0
I47	Test Case Specification 測試用例規範	NR1L-ComfortHMI-366	M7	"C4.1) Some vehicles have a configuration for a 3 state toggle recirc button: Auto, Manual, Open.

(read the RECIRC control on the climate screen -> The climate screen indicates the Manual state)"	"C4.1) Some vehicles have a configuration for a 3 state toggle recirc button: Auto, Manual, Open.

(read the ""RECIRC"" control on the climate screen -> The climate screen indicates the Manual state)"
L47	Test Case Specification 測試用例規範	NR1L-ComfortHMI-366	M7	"1. Set RECIRC to Manual
2. Read the RECIRC control on the climate screen"	"1. Set ""RECIRC"" to Manual
2. Read the ""RECIRC"" control on the climate screen"
T47	Test Case Specification 測試用例規範	NR1L-ComfortHMI-366	R-C48(amend)	1	0
U47	Test Case Specification 測試用例規範	NR1L-ComfortHMI-366	R-C48(amend)	1	0
T48	Test Case Specification 測試用例規範	NR1L-ComfortHMI-048	R-C48(amend)	1	0
U48	Test Case Specification 測試用例規範	NR1L-ComfortHMI-048	R-C48(amend)	1	0
T49	Test Case Specification 測試用例規範	NR1L-ComfortHMI-049	R-C48(amend)	1	0
U49	Test Case Specification 測試用例規範	NR1L-ComfortHMI-049	R-C48(amend)	1	0
T50	Test Case Specification 測試用例規範	NR1L-ComfortHMI-389	R-C48(amend)	1	0
U50	Test Case Specification 測試用例規範	NR1L-ComfortHMI-389	R-C48(amend)	1	0
T51	Test Case Specification 測試用例規範	NR1L-ComfortHMI-050	R-C48(amend)	1	0
U51	Test Case Specification 測試用例規範	NR1L-ComfortHMI-050	R-C48(amend)	1	0
T52	Test Case Specification 測試用例規範	NR1L-ComfortHMI-051	R-C48(amend)	1	0
U52	Test Case Specification 測試用例規範	NR1L-ComfortHMI-051	R-C48(amend)	1	0
T53	Test Case Specification 測試用例規範	NR1L-ComfortHMI-052	R-C48(amend)	1	0
U53	Test Case Specification 測試用例規範	NR1L-ComfortHMI-052	R-C48(amend)	1	0
L54	Test Case Specification 測試用例規範	NR1L-ComfortHMI-053	M7	"1. Turn SYNC on
2. Change the driver temperature"	"1. Turn ""SYNC"" on
2. Change the driver temperature"
T54	Test Case Specification 測試用例規範	NR1L-ComfortHMI-053	R-C48(amend)	1	0
U54	Test Case Specification 測試用例規範	NR1L-ComfortHMI-053	R-C48(amend)	1	0
L55	Test Case Specification 測試用例規範	NR1L-ComfortHMI-054	M7	"1. Turn SYNC on
2. Change the passenger temperature"	"1. Turn ""SYNC"" on
2. Change the passenger temperature"
T55	Test Case Specification 測試用例規範	NR1L-ComfortHMI-054	R-C48(amend)	1	0
U55	Test Case Specification 測試用例規範	NR1L-ComfortHMI-054	R-C48(amend)	1	0
T56	Test Case Specification 測試用例規範	NR1L-ComfortHMI-055	R-C48(amend)	1	0
U56	Test Case Specification 測試用例規範	NR1L-ComfortHMI-055	R-C48(amend)	1	0
T57	Test Case Specification 測試用例規範	NR1L-ComfortHMI-390	R-C48(amend)	1	0
U57	Test Case Specification 測試用例規範	NR1L-ComfortHMI-390	R-C48(amend)	1	0
T58	Test Case Specification 測試用例規範	NR1L-ComfortHMI-056	R-C48(amend)	1	0
U58	Test Case Specification 測試用例規範	NR1L-ComfortHMI-056	R-C48(amend)	1	0
T59	Test Case Specification 測試用例規範	NR1L-ComfortHMI-057	R-C48(amend)	1	0
U59	Test Case Specification 測試用例規範	NR1L-ComfortHMI-057	R-C48(amend)	1	0
T60	Test Case Specification 測試用例規範	NR1L-ComfortHMI-391	R-C48(amend)	1	0
U60	Test Case Specification 測試用例規範	NR1L-ComfortHMI-391	R-C48(amend)	1	0
T61	Test Case Specification 測試用例規範	NR1L-ComfortHMI-058	R-C48(amend)	1	0
U61	Test Case Specification 測試用例規範	NR1L-ComfortHMI-058	R-C48(amend)	1	0
T62	Test Case Specification 測試用例規範	NR1L-ComfortHMI-392	R-C48(amend)	1	0
U62	Test Case Specification 測試用例規範	NR1L-ComfortHMI-392	R-C48(amend)	1	0
T63	Test Case Specification 測試用例規範	NR1L-ComfortHMI-059	R-C48(amend)	1	0
U63	Test Case Specification 測試用例規範	NR1L-ComfortHMI-059	R-C48(amend)	1	0
T64	Test Case Specification 測試用例規範	NR1L-ComfortHMI-060	R-C48(amend)	1	0
U64	Test Case Specification 測試用例規範	NR1L-ComfortHMI-060	R-C48(amend)	1	0
T65	Test Case Specification 測試用例規範	NR1L-ComfortHMI-061	R-C48(amend)	1	0
U65	Test Case Specification 測試用例規範	NR1L-ComfortHMI-061	R-C48(amend)	1	0
T66	Test Case Specification 測試用例規範	NR1L-ComfortHMI-393	R-C48(amend)	1	0
U66	Test Case Specification 測試用例規範	NR1L-ComfortHMI-393	R-C48(amend)	1	0
T67	Test Case Specification 測試用例規範	NR1L-ComfortHMI-394	R-C48(amend)	1	0
U67	Test Case Specification 測試用例規範	NR1L-ComfortHMI-394	R-C48(amend)	1	0
T68	Test Case Specification 測試用例規範	NR1L-ComfortHMI-062	R-C48(amend)	1	0
U68	Test Case Specification 測試用例規範	NR1L-ComfortHMI-062	R-C48(amend)	1	0
T69	Test Case Specification 測試用例規範	NR1L-ComfortHMI-395	R-C48(amend)	1	0
U69	Test Case Specification 測試用例規範	NR1L-ComfortHMI-395	R-C48(amend)	1	0
T70	Test Case Specification 測試用例規範	NR1L-ComfortHMI-063	R-C48(amend)	1	0
U70	Test Case Specification 測試用例規範	NR1L-ComfortHMI-063	R-C48(amend)	1	0
T71	Test Case Specification 測試用例規範	NR1L-ComfortHMI-066	R-C48(amend)	1	0
U71	Test Case Specification 測試用例規範	NR1L-ComfortHMI-066	R-C48(amend)	1	0
T72	Test Case Specification 測試用例規範	NR1L-ComfortHMI-153	R-C48(amend)	1	0
U72	Test Case Specification 測試用例規範	NR1L-ComfortHMI-153	R-C48(amend)	1	0
T73	Test Case Specification 測試用例規範	NR1L-ComfortHMI-154	R-C48(amend)	1	0
U73	Test Case Specification 測試用例規範	NR1L-ComfortHMI-154	R-C48(amend)	1	0
T74	Test Case Specification 測試用例規範	NR1L-ComfortHMI-155	R-C48(amend)	1	0
U74	Test Case Specification 測試用例規範	NR1L-ComfortHMI-155	R-C48(amend)	1	0
T75	Test Case Specification 測試用例規範	NR1L-ComfortHMI-156	R-C48(amend)	1	0
U75	Test Case Specification 測試用例規範	NR1L-ComfortHMI-156	R-C48(amend)	1	0
I76	Test Case Specification 測試用例規範	NR1L-ComfortHMI-157	M7	"Turning Defrost on while in Auto will break Auto and turn it off.

(turn AUTO on and read the ""FRONT DEF"" button -> The ""FRONT DEF"" button is no longer highlighted)"	"Turning Defrost on while in Auto will break Auto and turn it off.

(turn ""AUTO"" on and read the ""FRONT DEF"" button -> The ""FRONT DEF"" button is no longer highlighted)"
L76	Test Case Specification 測試用例規範	NR1L-ComfortHMI-157	M7	"1. Turn ""FRONT DEF"" on from the climate screen
2. Turn AUTO on and read the ""FRONT DEF"" button"	"1. Turn ""FRONT DEF"" on from the climate screen
2. Turn ""AUTO"" on and read the ""FRONT DEF"" button"
T76	Test Case Specification 測試用例規範	NR1L-ComfortHMI-157	R-C48(amend)	1	0
U76	Test Case Specification 測試用例規範	NR1L-ComfortHMI-157	R-C48(amend)	1	0
L77	Test Case Specification 測試用例規範	NR1L-ComfortHMI-396	M7	"1. Turn AUTO on from the climate screen
2. Turn ""FRONT DEF"" on and read the ""AUTO"" button"	"1. Turn ""AUTO"" on from the climate screen
2. Turn ""FRONT DEF"" on and read the ""AUTO"" button"
T77	Test Case Specification 測試用例規範	NR1L-ComfortHMI-396	R-C48(amend)	1	0
U77	Test Case Specification 測試用例規範	NR1L-ComfortHMI-396	R-C48(amend)	1	0
T78	Test Case Specification 測試用例規範	NR1L-ComfortHMI-158	R-C48(amend)	1	0
U78	Test Case Specification 測試用例規範	NR1L-ComfortHMI-158	R-C48(amend)	1	0
T79	Test Case Specification 測試用例規範	NR1L-ComfortHMI-159	R-C48(amend)	1	0
U79	Test Case Specification 測試用例規範	NR1L-ComfortHMI-159	R-C48(amend)	1	0
T80	Test Case Specification 測試用例規範	NR1L-ComfortHMI-160	R-C48(amend)	1	0
U80	Test Case Specification 測試用例規範	NR1L-ComfortHMI-160	R-C48(amend)	1	0
