swe1_id	component	verification_method	ccvr_batch	blackbox_possible	observation_means	basis	disposition
SYSAD_SEC_ECUCERT_ECUONLINE_DOWNLOADCERT_INTF	ECUCert	Peer Review	1	N	—	VC 為連線 STLA 下載；CS.165 workshop 明訂端到端（STLA backend／下載／恢復）不可測，DR-SEC-d	CONVERT_DOC (R-SEC23)
SWE1-SRA-SECURITY-SWDL-001	SwdlSecureLib	Peer Review : config parameters	1	N	—	VC 為 config 保存與 KEY／certificate 介面控制，屬程式庫組態面	CONVERT_DOC (R-SEC23)
SWE1-SRA-SECURITY-SWDL-002	SwdlSecureLib	Peer Review : interact protocol	1	N	—	VC 為與 KEY／certificate provider 之互動協定，程序內	CONVERT_DOC (R-SEC23)
SWE1-SRA-SECURITY-SWDL-003	SwdlSecureLib	Peer Review	1	Y(間接)	以加密 package 走 SWDL 安裝路徑，觀察解密成功／失敗之結果	VC 之 decrypt pass/failed 可由 package 安裝結果間接觀察；直接介面測試不可黑箱	CONVERT (R-SEC11(a))
SWE1-SRA-SECURITY-SWDL-004	SwdlSecureLib	Peer Review	1	Y(間接)	以簽章損毀之 package 走 SWDL 安裝路徑，觀察拒絕	同上	CONVERT (R-SEC11(a))
SWE1-SRA-SECURITY-SWDL-005	SwdlSecureLib	Peer Review	1	N	—	VC 為取金鑰之回傳值與換鑰解密，程序內	CONVERT_DOC (R-SEC23)
SWE1-LOGENC-001	libLogEncrypt	Peer Review	2	N	—	VC 受詞為 source code 與 build environment	CONVERT_DOC (R-SEC23)
SWE1-LOGENC-002	libLogEncrypt	Peer Review	2	N	—	VC 受詞為 project build／link error	CONVERT_DOC (R-SEC23)
SWE1-LOGENC-003	libLogEncrypt	Peer Review	2	N	—	VC 為 API 簽名存在性，屬靜態	CONVERT_DOC (R-SEC23)
SWE1-LOGENC-004	libLogEncrypt	Peer Review	2	N	—	VC 受詞為 source code 之演算法選用（AES-256）	CONVERT_DOC (R-SEC23)
SWE1-LOGENC-005	libLogEncrypt	Peer Review	2	N	—	VC 受詞為 source code 之演算法選用（RSA）	CONVERT_DOC (R-SEC23)
SWE1-LOGENC-007	libLogEncrypt	Peer Review	2	N	—	VC 明寫 In source code	CONVERT_DOC (R-SEC23)
SWE1-LOGENC-008	libLogEncrypt	Peer Review	2	N	—	VC 明寫 In source code	CONVERT_DOC (R-SEC23)
SWE1-LOGENC-009	libLogEncrypt	Peer Review	2	N	—	VC 明寫 In source code	CONVERT_DOC (R-SEC23)
