old_id_v13	new_id_v14	swe1_id	note
NR1L-LOGENC-006	NR1L-LOGENC-006	SWE1-LOGENC-005	unchanged
NR1L-LOGENC-007	NR1L-LOGENC-007	SWE1-LOGENC-006	unchanged
NR1L-LOGENC-008	NR1L-LOGENC-008	SWE1-LOGENC-006	unchanged
NR1L-LOGENC-009	NR1L-LOGENC-009	SWE1-LOGENC-006	unchanged
NR1L-LOGENC-010	NR1L-LOGENC-010	SWE1-LOGENC-007	unchanged
NR1L-LOGENC-011	NR1L-LOGENC-011	SWE1-LOGENC-008	unchanged
NR1L-LOGENC-012	NR1L-LOGENC-012	SWE1-LOGENC-009	unchanged
	NR1L-CP-003	SWE1-CertProvider-001	new in v14 (SEC-20)
	NR1L-CP-010	SWE1-CertProvider-004	new in v14 (SEC-20)
	NR1L-CP-011	SWE1-CertProvider-004	new in v14 (SEC-20)
	NR1L-CP-012	SWE1-CertProvider-004	new in v14 (SEC-20)
	NR1L-CP-013	SWE1-CertProvider-004	new in v14 (SEC-20)
	NR1L-ECUC-003	SYSAD_SEC_ECUCERT_ECUCERT_API	new in v14 (SEC-20)
	NR1L-ECUC-004	SYSAD_SEC_ECUCERT_ECUCERT_API	new in v14 (SEC-20)
	NR1L-ECUC-005	SYSAD_SEC_ECUCERT_ECUCERT_API	new in v14 (SEC-20)
	NR1L-ECUC-006	SYSAD_SEC_ECUCERT_ECUCERT_API	new in v14 (SEC-20)
	NR1L-ECUC-021	SYSAD_SEC_ECUCERT_ECUCERT_SRV_EXPORTCSR_INTF	new in v14 (SEC-20)
