swe1_id	workbook	disposition	ccvr_batch	tc_count	tc_ids
SWE1-SAM-0004	SAM	PRODUCED	1	1	NR1L-SAM-005
SWE1-SAM-0005	SAM	PRODUCED	2	2	NR1L-SAM-006;NR1L-SAM-007
SWE1-SAM-0006	SAM	PRODUCED	2	2	NR1L-SAM-008;NR1L-SAM-009
SWE1-SAM-0007	SAM	PRODUCED	1	2	NR1L-SAM-010;NR1L-SAM-011
SWE1-SAM-0008	SAM	PRODUCED	2	2	NR1L-SAM-012;NR1L-SAM-013
SWE1-SAM-0009	SAM	PRODUCED	2	2	NR1L-SAM-014;NR1L-SAM-015
SWE1-SAM-0010	SAM	PRODUCED	2	2	NR1L-SAM-016;NR1L-SAM-017
SWE1-SAM-0011	SAM	PRODUCED	2	1	NR1L-SAM-018
SWE1-SAM-0012	SAM	PRODUCED	2	3	NR1L-SAM-019;NR1L-SAM-020;NR1L-SAM-021
SWE1-SAM-0013	SAM	PRODUCED	2	4	NR1L-SAM-022;NR1L-SAM-023;NR1L-SAM-024;NR1L-SAM-025
SWE1-SAM-0014	SAM	PRODUCED	2	1	NR1L-SAM-026
SWE1-SAM-0015	SAM	PRODUCED	1	1	NR1L-SAM-027
SWE1-SAM-0016	SAM	PRODUCED	2	2	NR1L-SAM-028;NR1L-SAM-029
SWE1-SAM-0017	SAM	PRODUCED	2	2	NR1L-SAM-030;NR1L-SAM-031
SWE1-SAM-0018	SAM	PRODUCED	1	1	NR1L-SAM-032
SWE1-SAM-0019	SAM	PRODUCED	1	1	NR1L-SAM-033
SYSAD_SEC_ECUCERT_ECUCERT_API	ECUCert	PRODUCED	1	2	NR1L-ECUC-001;NR1L-ECUC-002
SYSAD_SEC_ECUCERT_ECUCERT_SERVICE	ECUCert	PRODUCED	1	2	NR1L-ECUC-003;NR1L-ECUC-004
SYSAD_SEC_ECUCERT_ECUONLINE	ECUCert	PRODUCED	1	2	NR1L-ECUC-005;NR1L-ECUC-006
SYSAD_SEC_ECUCERT_DIAG	ECUCert	PRODUCED	1	3	NR1L-ECUC-007;NR1L-ECUC-008;NR1L-ECUC-009
SYSAD_SEC_ECUCERT_DEALER	ECUCert	PRODUCED	1	2	NR1L-ECUC-010;NR1L-ECUC-011
SYSAD_SEC_ECUCERT_ECUCERT_SERVICE_BINDER	ECUCert	PRODUCED	1	1	NR1L-ECUC-012
SYSAD_SEC_ECUCERT_ECUONLINE_BINDER	ECUCert	PRODUCED	1	1	NR1L-ECUC-013
SYSAD_SEC_ECUCERT_ECUCERT_STORAGE_IO	ECUCert	PRODUCED	1	1	NR1L-ECUC-014
SYSAD_SEC_ECUCERT_ECUCERT_JNI	ECUCert	PRODUCED	1	1	NR1L-ECUC-015
SYSAD_SEC_ECUCERT_ECUCERT_SRV_EXPORTCSR_INTF	ECUCert	PRODUCED	1	1	NR1L-ECUC-016
SYSAD_SEC_ECUCERT_ECUCERT_SRV_EXPORTCERT_INTF	ECUCert	PRODUCED	1	1	NR1L-ECUC-017
SYSAD_SEC_ECUCERT_ECUCERT_SRV_IMPORTCERT_INTF	ECUCert	PRODUCED	1	1	NR1L-ECUC-018
SYSAD_SEC_ECUCERT_ECUONLINE_DOWNLOADCERT_INTF	ECUCert	PRODUCED	1	2	NR1L-ECUC-019;NR1L-ECUC-020
SWE1-SRA-SECURITY-SWDL-001	SwdlSecureLib	PRODUCED	1	2	NR1L-SWDL-001;NR1L-SWDL-002
SWE1-SRA-SECURITY-SWDL-002	SwdlSecureLib	PRODUCED	1	1	NR1L-SWDL-003
SWE1-SRA-SECURITY-SWDL-003	SwdlSecureLib	PRODUCED	1	3	NR1L-SWDL-004;NR1L-SWDL-005;NR1L-SWDL-006
SWE1-SRA-SECURITY-SWDL-004	SwdlSecureLib	PRODUCED	1	3	NR1L-SWDL-007;NR1L-SWDL-008;NR1L-SWDL-009
SWE1-SRA-SECURITY-SWDL-005	SwdlSecureLib	PRODUCED	1	2	NR1L-SWDL-010;NR1L-SWDL-011
SWE1-LOGENC-001	libLogEncrypt	PRODUCED	2	1	NR1L-LOGENC-001
SWE1-LOGENC-002	libLogEncrypt	PRODUCED	2	1	NR1L-LOGENC-002
SWE1-LOGENC-003	libLogEncrypt	PRODUCED	2	1	NR1L-LOGENC-003
SWE1-LOGENC-004	libLogEncrypt	PRODUCED	2	2	NR1L-LOGENC-004;NR1L-LOGENC-005
SWE1-LOGENC-005	libLogEncrypt	PRODUCED	2	1	NR1L-LOGENC-006
SWE1-LOGENC-006	libLogEncrypt	PRODUCED	2	3	NR1L-LOGENC-007;NR1L-LOGENC-008;NR1L-LOGENC-009
SWE1-LOGENC-007	libLogEncrypt	PRODUCED	2	1	NR1L-LOGENC-010
SWE1-LOGENC-008	libLogEncrypt	PRODUCED	2	1	NR1L-LOGENC-011
SWE1-LOGENC-009	libLogEncrypt	PRODUCED	2	1	NR1L-LOGENC-012
