swe1_id	candidates_all	lines	status	category_excluded_if_filtered	preview
SWE1-KeyInsyall-003	13	13	OK	0	CFTS084-4949528 ⏎ CFTS084-4949736 ⏎ CFTS084-4949737 ⏎ CFTS084-4949738 ⏎ CFTS084-4949739 …
SWE1-KeyInsyall-004	13	13	OK	0	CFTS084-4949528 ⏎ CFTS084-4949736 ⏎ CFTS084-4949737 ⏎ CFTS084-4949738 ⏎ CFTS084-4949739 …
SWE1-KeyInsyall-005	13	13	OK	0	CFTS084-4949528 ⏎ CFTS084-4949736 ⏎ CFTS084-4949737 ⏎ CFTS084-4949738 ⏎ CFTS084-4949739 …
SWE1-KeyInsyall-006	13	13	OK	0	CFTS084-4949528 ⏎ CFTS084-4949736 ⏎ CFTS084-4949737 ⏎ CFTS084-4949738 ⏎ CFTS084-4949739 …
SWE1-KeyInsyall-007	17	17	OK	0	CFTS084-4949457 ⏎ CFTS084-4949458 ⏎ CFTS084-4949459 ⏎ CFTS084-4949461 ⏎ CFTS084-4949528 …
SWE1-KeyInsyall-008	14	14	OK	0	CFTS084-4949457 ⏎ CFTS084-4949528 ⏎ CFTS084-4949736 ⏎ CFTS084-4949737 ⏎ CFTS084-4949738 …
SWE1-KeyInsyall-009	13	13	OK	0	CFTS084-4949528 ⏎ CFTS084-4949736 ⏎ CFTS084-4949737 ⏎ CFTS084-4949738 ⏎ CFTS084-4949739 …
SWE1-KeyInsyall-010	13	13	OK	0	CFTS084-4949528 ⏎ CFTS084-4949736 ⏎ CFTS084-4949737 ⏎ CFTS084-4949738 ⏎ CFTS084-4949739 …
SWE1-KeyInsyall-011	13	13	OK	0	CFTS084-4949528 ⏎ CFTS084-4949736 ⏎ CFTS084-4949737 ⏎ CFTS084-4949738 ⏎ CFTS084-4949739 …
SWE1-KeyInsyall-012	13	13	OK	0	CFTS084-4949528 ⏎ CFTS084-4949736 ⏎ CFTS084-4949737 ⏎ CFTS084-4949738 ⏎ CFTS084-4949739 …
SWE1-KeyInsyall-013	13	13	OK	0	CFTS084-4949528 ⏎ CFTS084-4949736 ⏎ CFTS084-4949737 ⏎ CFTS084-4949738 ⏎ CFTS084-4949739 …
SWE1-SAM-0001	3	3	OK	0	CFTS084-4949332 ⏎ CFTS084-4949351 ⏎ CFTS084-4949352
SWE1-SAM-0002	3	3	OK	0	CFTS084-4949332 ⏎ CFTS084-4949351 ⏎ CFTS084-4949352
SWE1-SAM-0003	4	4	OK	0	CFTS084-4949331 ⏎ CFTS084-4949334 ⏎ CFTS084-4949336 ⏎ CFTS084-4949337
SWE1-SAM-0004	4	4	OK	0	CFTS084-4949331 ⏎ CFTS084-4949334 ⏎ CFTS084-4949336 ⏎ CFTS084-4949337
SWE1-SAM-0005	4	4	OK	0	CFTS084-4949331 ⏎ CFTS084-4949334 ⏎ CFTS084-4949336 ⏎ CFTS084-4949337
SWE1-SAM-0006	4	4	OK	0	CFTS084-4949331 ⏎ CFTS084-4949334 ⏎ CFTS084-4949336 ⏎ CFTS084-4949337
SWE1-SAM-0007	4	4	OK	0	CFTS084-4949331 ⏎ CFTS084-4949334 ⏎ CFTS084-4949336 ⏎ CFTS084-4949337
SWE1-SAM-0008	4	4	OK	0	CFTS084-4949331 ⏎ CFTS084-4949334 ⏎ CFTS084-4949336 ⏎ CFTS084-4949337
SWE1-SAM-0009	3	3	OK	0	CFTS084-4949338 ⏎ CFTS084-4949339 ⏎ CFTS084-4949340
SWE1-SAM-0010	3	3	OK	0	CFTS084-4949338 ⏎ CFTS084-4949339 ⏎ CFTS084-4949340
SWE1-SAM-0011	1	1	OK	0	CFTS084-4949333
SWE1-SAM-0012	1	1	OK	0	CFTS084-4949354
SWE1-SAM-0013	1	1	OK	0	CFTS084-4949353
SWE1-SAM-0014	1	1	OK	0	CFTS084-4949353
SWE1-SAM-0015	1	1	OK	0	CFTS084-4949353
SWE1-SAM-0016	1	1	OK	0	CFTS084-4949353
SWE1-SAM-0017	1	1	OK	0	CFTS084-4949353
SWE1-SAM-0018	3	3	OK	0	CFTS084-4949332 ⏎ CFTS084-4949351 ⏎ CFTS084-4949352
SWE1-SAM-0019	3	3	OK	0	CFTS084-4949332 ⏎ CFTS084-4949351 ⏎ CFTS084-4949352
SYSAD_SEC_ECUCERT_ECUCERT_API	20	20	OK	0	CFTS084-4949787 ⏎ CFTS084-4949789 ⏎ CFTS084-4949790 ⏎ CFTS084-4949791 ⏎ CFTS084-4949792 …
SYSAD_SEC_ECUCERT_ECUCERT_SERVICE	21	21	OK	0	CFTS084-4949786 ⏎ CFTS084-4949787 ⏎ CFTS084-4949788 ⏎ CFTS084-4949792 ⏎ CFTS084-4949795 …
SYSAD_SEC_ECUCERT_ECUONLINE	18	18	OK	0	CFTS084-4949786 ⏎ CFTS084-4949787 ⏎ CFTS084-4949788 ⏎ CFTS084-4949792 ⏎ CFTS084-4949799 …
SYSAD_SEC_ECUCERT_DIAG	7	7	OK	0	CFTS084-4949787 ⏎ CFTS084-4949788 ⏎ CFTS084-4949792 ⏎ CFTS084-4949798 ⏎ CFTS084-4949800 …
SYSAD_SEC_ECUCERT_DEALER	8	8	OK	0	CFTS084-4949787 ⏎ CFTS084-4949788 ⏎ CFTS084-4949792 ⏎ CFTS084-4949798 ⏎ CFTS084-4949800 …
SYSAD_SEC_ECUCERT_ECUCERT_SERVICE_BINDER	7	7	OK	0	CFTS084-4949787 ⏎ CFTS084-4949792 ⏎ CFTS084-4949799 ⏎ CFTS084-4949800 ⏎ CFTS084-4949802 …
SYSAD_SEC_ECUCERT_ECUONLINE_BINDER	6	6	OK	0	CFTS084-4949787 ⏎ CFTS084-4949792 ⏎ CFTS084-4949799 ⏎ CFTS084-4949800 ⏎ CFTS084-4949900 …
SYSAD_SEC_ECUCERT_ECUCERT_STORAGE_IO	7	7	OK	0	CFTS084-4949787 ⏎ CFTS084-4949792 ⏎ CFTS084-4949799 ⏎ CFTS084-4949800 ⏎ CFTS084-4949802 …
SYSAD_SEC_ECUCERT_ECUCERT_JNI	7	7	OK	0	CFTS084-4949787 ⏎ CFTS084-4949792 ⏎ CFTS084-4949799 ⏎ CFTS084-4949800 ⏎ CFTS084-4949802 …
SYSAD_SEC_ECUCERT_ECUCERT_SRV_EXPORTCSR_INTF	14	14	OK	0	CFTS084-4949787 ⏎ CFTS084-4949789 ⏎ CFTS084-4949790 ⏎ CFTS084-4949791 ⏎ CFTS084-4949792 …
SYSAD_SEC_ECUCERT_ECUCERT_SRV_EXPORTCERT_INTF	5	5	OK	0	CFTS084-4949787 ⏎ CFTS084-4949792 ⏎ CFTS084-4949800 ⏎ CFTS084-4949900 ⏎ CFTS084-4949901
SYSAD_SEC_ECUCERT_ECUCERT_SRV_IMPORTCERT_INTF	6	6	OK	0	CFTS084-4949787 ⏎ CFTS084-4949792 ⏎ CFTS084-4949800 ⏎ CFTS084-4949802 ⏎ CFTS084-4949900 …
SYSAD_SEC_ECUCERT_ECUONLINE_DOWNLOADCERT_INTF	24	24	OK	0	CFTS084-4949787 ⏎ CFTS084-4949789 ⏎ CFTS084-4949790 ⏎ CFTS084-4949791 ⏎ CFTS084-4949792 …
SWE1-SRA-SECURITY-SWDL-001	64	64	OK	1	CFTS084-4949510 ⏎ CFTS084-4949511 ⏎ CFTS084-4949512 ⏎ CFTS084-4949513 ⏎ CFTS084-4949516 …
SWE1-SRA-SECURITY-SWDL-002	10	10	OK	0	CFTS084-4949587 ⏎ CFTS084-4949588 ⏎ CFTS084-4949593 ⏎ CFTS084-4949599 ⏎ CFTS084-4949606 …
SWE1-SRA-SECURITY-SWDL-003	15	15	OK	0	CFTS084-4949531 ⏎ CFTS084-4949534 ⏎ CFTS084-4949535 ⏎ CFTS084-4949588 ⏎ CFTS084-4949593 …
SWE1-SRA-SECURITY-SWDL-004	13	13	OK	0	CFTS084-4949531 ⏎ CFTS084-4949534 ⏎ CFTS084-4949535 ⏎ CFTS084-4949588 ⏎ CFTS084-4949593 …
SWE1-SRA-SECURITY-SWDL-005	10	10	OK	0	CFTS084-4949587 ⏎ CFTS084-4949588 ⏎ CFTS084-4949593 ⏎ CFTS084-4949599 ⏎ CFTS084-4949606 …
SWE1-LOGENC-001	1	1	OK	0	CFTS084-4949731
SWE1-LOGENC-002	1	1	OK	0	CFTS084-4949731
SWE1-LOGENC-003	1	1	OK	0	CFTS084-4949731
SWE1-LOGENC-004	1	1	OK	0	CFTS084-4949731
SWE1-LOGENC-005	1	1	OK	0	CFTS084-4949731
SWE1-LOGENC-006	1	1	OK	0	CFTS084-4949731
SWE1-LOGENC-007	1	1	OK	0	CFTS084-4949731
SWE1-LOGENC-008	1	1	OK	0	CFTS084-4949731
SWE1-LOGENC-009	1	1	OK	0	CFTS084-4949731
