kind	id	name	support_status	roles	used_by	definition_source	note
DID	F181	Application Software version	Functional Requirement		Auth-Prog 第 6/7 rollback	CS00102:SYS-RA-CS00102-091	5.2.1.12-6
RID	9001	金鑰佈建 transport key 握手（CAN）	-		KeyInstall-007/011；SYSAD_IF_KI_DIAG；CS.212 第 10/12 項	PENDING:DR-SEC-k	**CS.00102 查無、R1L SWQT 查無** → PENDING: DR-SEC-k
RID	9003	金鑰佈建 payload 注入（CAN）	-		同上（injectKeysFromJson）	PENDING:DR-SEC-k	同上 → PENDING: DR-SEC-k
RID	1902FF	Read DTC by status mask	-		Auth-Boot 第 6/11	UDS-STD:ISO14229 $19 02	UDS 標準服務，無需專屬定義本
DTC	U3033-00	Control Module Security Certificate Missing/Invalid	-		CertProvider-004/005 之撤銷失敗	CS00098:§5.4.10（碼已定，規格本未投遞）	CS.00098/01 §5.4.10；碼已定
DTC	U160B-45	ECU Boot Software 1 Missing/Invalid	-		Auth-Boot 第 11/12	CS00093:§5.2.8（碼已定，規格本未投遞）	CS.00093 §5.2.8；碼已定
DTC	C221C-00	Boot failure 系列	-		Auth-Boot 第 11/12	CS00093:§5.2.8（碼已定，規格本未投遞）	CS.00093 §5.2.8
DTC	B2250	Boot failure 系列	-		Auth-Boot 第 11/12	CS00093:§5.2.8（碼已定，規格本未投遞）	CS.00093 §5.2.8
DTC	P0602-00	ECU Not Programmed / Flash Required	-		Auth-Boot 第 12	DTCMatrix:r110（CS.00101 RQMT-37~41；CFTS084-2178/2180）	CS.00093 §5.2.8
DTC	A2500 00F	bootloader DTC（原文 `0xA2 50 00 0F`）	-		SWDL（Auth-Prog 第 2/4/5 evidence 欄）	PENDING:DR-SEC-l	格式非標準 DTC，逐字回報
DTC	(空)	Certificate validation failure from Stellantis service	-		ECUCert R11；CS.165 DTC 條件	PENDING:DR-SEC-m	CS.00165 §5.6；**sheet 未給碼** → PENDING: DR-SEC-m
DTC	(空)	Identity certificate not installed due to verification failure	-		ECUCert R20	PENDING:DR-SEC-m	SD.00125 §5.1；**未給碼** → PENDING: DR-SEC-m
DTC	B22A9-00	ECU Internal Failure	-		內部失效類	DTCMatrix:r（`DTC's in CFTS's`）	_F §4；Security 直接可用之第二碼
DID	FF02	SecurityKeyInstallStatus	-		KeyInstall-011	R1L-SWQT:22345/22346	`62 FF 02 01`=未裝、`00`=已裝；**兩態 vs 037 四態** → DR-SEC-o；CS.00102 查無
DID	FF01(R1L)	SSN（R1L 舊號，NR1L 已改）	-		SAM-0006；KeyInstall-003	R1L-SWQT:22341~22344	**作廢**：NR1L 之 FF01 為 RID；SSN 改用 2975（DR-SEC-o）
DID	2951	Software Inventory（R1L 前例本）	-		CertProvider-007/009；Cert Val 第 1 項	R1L-SWQT:22031/22032/22081/22157	**CS.00102 查無 2951** → DR-SEC-p 結案：改用 2955/295D/295E；CCVR sheet 之「2951 Certificate Store UUID」登 A-SEC-1
SVC	$27	SecurityAccess	-		Auth-Prog 第 8/10 session 鎖；SYSAD_IF_KI_DIAG	R1L-SWQT:27001~	`27 05` seed／`27 06` key；default session NRC `7F 27 7F`
SVC	$2850	Arch type 設定	-		Vehicle Model 前提	VHAL-R5:§2.4	`2E 28 50 03`=Atl-Mid／`05`=Atl-Hi；診斷 CAN ID Hi 0x7BF/0x53F、Mid 0x18DA87F1/0x18DAF187
OPS	KeyInstallDiagService 重連	服務可用性（Fault Injection 型）	-		KeyInstall-011	R1L-SWQT:Diag基本機能 00053	`ps -A | grep keyinstall` → kill → `10 60` → `22 FF 02` 得 PR
OPS	ECUCertDiagManager connected	DiagService 啟動 log 關鍵字	-		ECUCert R12	R1L-SWQT:Diag基本機能 00056	ER 之 log 關鍵字
