swe1_id	value
SWE1-KeyInsyall-009	CFTS084-4949528⏎CFTS084-4949736⏎CFTS084-4949737⏎CFTS084-4949738⏎CFTS084-4949739⏎CFTS084-4949740⏎CFTS084-4949741⏎CFTS084-4949742⏎CFTS084-4949743⏎CFTS084-4949744⏎CFTS084-4949776⏎CFTS084-4949821⏎CFTS084-4949931
SWE1-KeyInsyall-010	CFTS084-4949528⏎CFTS084-4949736⏎CFTS084-4949737⏎CFTS084-4949738⏎CFTS084-4949739⏎CFTS084-4949740⏎CFTS084-4949741⏎CFTS084-4949742⏎CFTS084-4949743⏎CFTS084-4949744⏎CFTS084-4949776⏎CFTS084-4949821⏎CFTS084-4949931
SWE1-KeyInsyall-011	CFTS084-4949528⏎CFTS084-4949736⏎CFTS084-4949737⏎CFTS084-4949738⏎CFTS084-4949739⏎CFTS084-4949740⏎CFTS084-4949741⏎CFTS084-4949742⏎CFTS084-4949743⏎CFTS084-4949744⏎CFTS084-4949776⏎CFTS084-4949821⏎CFTS084-4949931
SWE1-KeyInsyall-012	CFTS084-4949528⏎CFTS084-4949736⏎CFTS084-4949737⏎CFTS084-4949738⏎CFTS084-4949739⏎CFTS084-4949740⏎CFTS084-4949741⏎CFTS084-4949742⏎CFTS084-4949743⏎CFTS084-4949744⏎CFTS084-4949776⏎CFTS084-4949821⏎CFTS084-4949931
SWE1-KeyInsyall-013	CFTS084-4949528⏎CFTS084-4949736⏎CFTS084-4949737⏎CFTS084-4949738⏎CFTS084-4949739⏎CFTS084-4949740⏎CFTS084-4949741⏎CFTS084-4949742⏎CFTS084-4949743⏎CFTS084-4949744⏎CFTS084-4949776⏎CFTS084-4949821⏎CFTS084-4949931
SWE1-SAM-0001	CFTS084-4949332⏎CFTS084-4949351⏎CFTS084-4949352
SWE1-SAM-0002	CFTS084-4949332⏎CFTS084-4949351⏎CFTS084-4949352
SWE1-SAM-0003	CFTS084-4949331⏎CFTS084-4949334⏎CFTS084-4949336⏎CFTS084-4949337
SWE1-SAM-0004	CFTS084-4949331⏎CFTS084-4949334⏎CFTS084-4949336⏎CFTS084-4949337
SWE1-SAM-0005	CFTS084-4949331⏎CFTS084-4949334⏎CFTS084-4949336⏎CFTS084-4949337
SWE1-SAM-0006	CFTS084-4949331⏎CFTS084-4949334⏎CFTS084-4949336⏎CFTS084-4949337
SWE1-SAM-0007	CFTS084-4949331⏎CFTS084-4949334⏎CFTS084-4949336⏎CFTS084-4949337
SWE1-SAM-0008	CFTS084-4949331⏎CFTS084-4949334⏎CFTS084-4949336⏎CFTS084-4949337
SWE1-SAM-0009	CFTS084-4949338⏎CFTS084-4949339⏎CFTS084-4949340
SWE1-SAM-0010	CFTS084-4949338⏎CFTS084-4949339⏎CFTS084-4949340
SWE1-SAM-0011	CFTS084-4949333
SWE1-SAM-0012	CFTS084-4949354
SWE1-SAM-0013	CFTS084-4949353
SWE1-SAM-0014	CFTS084-4949353
SWE1-SAM-0015	CFTS084-4949353
SWE1-SAM-0016	CFTS084-4949353
SWE1-SAM-0017	CFTS084-4949353
SWE1-SAM-0018	CFTS084-4949332⏎CFTS084-4949351⏎CFTS084-4949352
SWE1-SAM-0019	CFTS084-4949332⏎CFTS084-4949351⏎CFTS084-4949352
SYSAD_SEC_ECUCERT_ECUCERT_API	CFTS084-4949787⏎CFTS084-4949789⏎CFTS084-4949790⏎CFTS084-4949791⏎CFTS084-4949792⏎CFTS084-4949793⏎CFTS084-4949794⏎CFTS084-4949799⏎CFTS084-4949800⏎CFTS084-4949801⏎CFTS084-4949802⏎CFTS084-4949803⏎CFTS084-4949804⏎CFTS084-4949805⏎CFTS084-4949806⏎CFTS084-4949807⏎CFTS084-4949809⏎CFTS084-4949810⏎CFTS084-4949900⏎CFTS084-4949901
SYSAD_SEC_ECUCERT_ECUCERT_SERVICE	CFTS084-4949786⏎CFTS084-4949787⏎CFTS084-4949788⏎CFTS084-4949792⏎CFTS084-4949795⏎CFTS084-4949796⏎CFTS084-4949797⏎CFTS084-4949798⏎CFTS084-4949799⏎CFTS084-4949800⏎CFTS084-4949801⏎CFTS084-4949802⏎CFTS084-4949803⏎CFTS084-4949804⏎CFTS084-4949805⏎CFTS084-4949806⏎CFTS084-4949807⏎CFTS084-4949809⏎CFTS084-4949810⏎CFTS084-4949900⏎CFTS084-4949901
SYSAD_SEC_ECUCERT_ECUONLINE	CFTS084-4949786⏎CFTS084-4949787⏎CFTS084-4949788⏎CFTS084-4949792⏎CFTS084-4949799⏎CFTS084-4949800⏎CFTS084-4949801⏎CFTS084-4949803⏎CFTS084-4949804⏎CFTS084-4949805⏎CFTS084-4949806⏎CFTS084-4949807⏎CFTS084-4949808⏎CFTS084-4949809⏎CFTS084-4949810⏎CFTS084-4949900⏎CFTS084-4949901⏎CFTS084-4949903
SYSAD_SEC_ECUCERT_DIAG	CFTS084-4949787⏎CFTS084-4949788⏎CFTS084-4949792⏎CFTS084-4949798⏎CFTS084-4949800⏎CFTS084-4949900⏎CFTS084-4949901
SYSAD_SEC_ECUCERT_DEALER	CFTS084-4949787⏎CFTS084-4949788⏎CFTS084-4949792⏎CFTS084-4949798⏎CFTS084-4949800⏎CFTS084-4949802⏎CFTS084-4949900⏎CFTS084-4949901
SYSAD_SEC_ECUCERT_ECUCERT_SERVICE_BINDER	CFTS084-4949787⏎CFTS084-4949792⏎CFTS084-4949799⏎CFTS084-4949800⏎CFTS084-4949802⏎CFTS084-4949900⏎CFTS084-4949901
SYSAD_SEC_ECUCERT_ECUONLINE_BINDER	CFTS084-4949787⏎CFTS084-4949792⏎CFTS084-4949799⏎CFTS084-4949800⏎CFTS084-4949900⏎CFTS084-4949901
SYSAD_SEC_ECUCERT_ECUCERT_STORAGE_IO	CFTS084-4949787⏎CFTS084-4949792⏎CFTS084-4949799⏎CFTS084-4949800⏎CFTS084-4949802⏎CFTS084-4949900⏎CFTS084-4949901
SYSAD_SEC_ECUCERT_ECUCERT_JNI	CFTS084-4949787⏎CFTS084-4949792⏎CFTS084-4949799⏎CFTS084-4949800⏎CFTS084-4949802⏎CFTS084-4949900⏎CFTS084-4949901
SYSAD_SEC_ECUCERT_ECUCERT_SRV_EXPORTCSR_INTF	CFTS084-4949787⏎CFTS084-4949789⏎CFTS084-4949790⏎CFTS084-4949791⏎CFTS084-4949792⏎CFTS084-4949793⏎CFTS084-4949794⏎CFTS084-4949795⏎CFTS084-4949796⏎CFTS084-4949797⏎CFTS084-4949798⏎CFTS084-4949800⏎CFTS084-4949900⏎CFTS084-4949901
SYSAD_SEC_ECUCERT_ECUCERT_SRV_EXPORTCERT_INTF	CFTS084-4949787⏎CFTS084-4949792⏎CFTS084-4949800⏎CFTS084-4949900⏎CFTS084-4949901
SYSAD_SEC_ECUCERT_ECUCERT_SRV_IMPORTCERT_INTF	CFTS084-4949787⏎CFTS084-4949792⏎CFTS084-4949800⏎CFTS084-4949802⏎CFTS084-4949900⏎CFTS084-4949901
SYSAD_SEC_ECUCERT_ECUONLINE_DOWNLOADCERT_INTF	CFTS084-4949787⏎CFTS084-4949789⏎CFTS084-4949790⏎CFTS084-4949791⏎CFTS084-4949792⏎CFTS084-4949793⏎CFTS084-4949794⏎CFTS084-4949795⏎CFTS084-4949796⏎CFTS084-4949797⏎CFTS084-4949798⏎CFTS084-4949799⏎CFTS084-4949800⏎CFTS084-4949801⏎CFTS084-4949803⏎CFTS084-4949804⏎CFTS084-4949805⏎CFTS084-4949806⏎CFTS084-4949807⏎CFTS084-4949809⏎CFTS084-4949810⏎CFTS084-4949900⏎CFTS084-4949901⏎CFTS084-4949903
SWE1-SRA-SECURITY-SWDL-001	CFTS084-4949510⏎CFTS084-4949511⏎CFTS084-4949512⏎CFTS084-4949513⏎CFTS084-4949516⏎CFTS084-4949521⏎CFTS084-4949522⏎CFTS084-4949529⏎CFTS084-4949531⏎CFTS084-4949532⏎CFTS084-4949533⏎CFTS084-4949534⏎CFTS084-4949535⏎CFTS084-4949538⏎CFTS084-4949540⏎CFTS084-4949541⏎CFTS084-4949542⏎CFTS084-4949545⏎CFTS084-4949546⏎CFTS084-4949547⏎CFTS084-4949587⏎CFTS084-4949588⏎CFTS084-4949593⏎CFTS084-4949599⏎CFTS084-4949606⏎CFTS084-4949607⏎CFTS084-4949608⏎CFTS084-4949609⏎CFTS084-4949610⏎CFTS084-4949611⏎CFTS084-4949614⏎CFTS084-4949615⏎CFTS084-4949617⏎CFTS084-4949618⏎CFTS084-4949619⏎CFTS084-4949620⏎CFTS084-4949621⏎CFTS084-4949622⏎CFTS084-4949623⏎CFTS084-4949624⏎CFTS084-4949627⏎CFTS084-4949628⏎CFTS084-4949629⏎CFTS084-4949630⏎CFTS084-4949631⏎CFTS084-4949632⏎CFTS084-4949633⏎CFTS084-4949634⏎CFTS084-4949635⏎CFTS084-4949636⏎CFTS084-4949637⏎CFTS084-4949639⏎CFTS084-4949640⏎CFTS084-4949642⏎CFTS084-4949645⏎CFTS084-4949646⏎CFTS084-4949853⏎CFTS084-4949878⏎CFTS084-4949879⏎CFTS084-4949880⏎CFTS084-4949882⏎CFTS084-4949883⏎CFTS084-4949896⏎CFTS084-4949905
SWE1-SRA-SECURITY-SWDL-002	CFTS084-4949587⏎CFTS084-4949588⏎CFTS084-4949593⏎CFTS084-4949599⏎CFTS084-4949606⏎CFTS084-4949607⏎CFTS084-4949608⏎CFTS084-4949609⏎CFTS084-4949610⏎CFTS084-4949611
SWE1-SRA-SECURITY-SWDL-003	CFTS084-4949531⏎CFTS084-4949534⏎CFTS084-4949535⏎CFTS084-4949588⏎CFTS084-4949593⏎CFTS084-4949599⏎CFTS084-4949606⏎CFTS084-4949607⏎CFTS084-4949608⏎CFTS084-4949609⏎CFTS084-4949610⏎CFTS084-4949611⏎CFTS084-4949642⏎CFTS084-4949645⏎CFTS084-4949646
SWE1-SRA-SECURITY-SWDL-004	CFTS084-4949531⏎CFTS084-4949534⏎CFTS084-4949535⏎CFTS084-4949588⏎CFTS084-4949593⏎CFTS084-4949599⏎CFTS084-4949606⏎CFTS084-4949609⏎CFTS084-4949610⏎CFTS084-4949611⏎CFTS084-4949642⏎CFTS084-4949645⏎CFTS084-4949646
SWE1-SRA-SECURITY-SWDL-005	CFTS084-4949587⏎CFTS084-4949588⏎CFTS084-4949593⏎CFTS084-4949599⏎CFTS084-4949606⏎CFTS084-4949607⏎CFTS084-4949608⏎CFTS084-4949609⏎CFTS084-4949610⏎CFTS084-4949611
SWE1-LOGENC-001	CFTS084-4949731
SWE1-LOGENC-002	CFTS084-4949731
SWE1-LOGENC-003	CFTS084-4949731
SWE1-LOGENC-004	CFTS084-4949731
SWE1-LOGENC-005	CFTS084-4949731
SWE1-LOGENC-006	CFTS084-4949731
SWE1-LOGENC-007	CFTS084-4949731
SWE1-LOGENC-008	CFTS084-4949731
SWE1-LOGENC-009	CFTS084-4949731
