swe_id	source_requirement_id
SWE-CAM-023	SYS-RA-VF617_V5-283
SWE-CAM-023	SYS-RA-VF617_V5-284
SWE-CAM-023	SYS-RA-VF617_V5-286
SWE-CAM-023	SYS-RA-VF617_V5-287
SWE-CAM-023	SYS-RA-VF617_V5-289
SWE-CAM-023	SYS-RA-VF617_V5-290
SWE-CAM-023	SYS-RA-VF617_V5-292
SWE-CAM-023	SYS-RA-VF617_V5-293
SWE-CAM-023	SYS-RA-VF617_V5-295
SWE-CAM-023	SYS-RA-VF617_V5-296
SWE-CAM-024	SYS-RA-VF617_V5-182
SWE-CAM-024	SYS-RA-VF617_V5-197
SWE-CAM-024	SYS-RA-VF617_V5-198
SWE-CAM-024	SYS-RA-VF617_V5-200
SWE-CAM-024	SYS-RA-VF617_V5-206
SWE-CAM-024	SYS-RA-VF617_V5-219
SWE-CAM-024	SYS-RA-VF617_V5-220
SWE-CAM-024	SYS-RA-VF617_V5-221
SWE-CAM-024	SYS-RA-VF617_V5-262
SWE-CAM-024	SYS-RA-VF617_V5-264
SWE-CAM-024	SYS-RA-VF617_V5-267
SWE-CAM-024	SYS-RA-VF617_V5-270
