# CAM-28 附帶量測（範圍外，只列不處置）：037 A 本所引 SYS-RA 來源之處置狀態（R-CAM13(a)）
# 母體：layer3_a_vf_chapters.tsv 之相異 source_requirement_id；disposition 判定序：TC source_object_id → Out of Scope → Heading/Information → plan 有記 → reasoning 具名 → NO RECORD
source_id	swe_ids	book	category	disposition	detail
SYS-RA-VF551_V4-116	SWE-CAM-001	VF551_V4	Functional Requirement	PLAN-RECORDED	batch02_plan.tsv：covered_by: V2-531 之 TC —— 逐字同句、同平台（HDCC27）
SYS-RA-VF551_V42-217	SWE-CAM-001;SWE-CAM-003	VF551_V42	Functional Requirement	TC	NR1L-RVC-066
SYS-RA-VF551_V42-221	SWE-CAM-001;SWE-CAM-003	VF551_V42	Functional Requirement	TC	NR1L-RVC-067
SYS-RA-VF551_V42-223	SWE-CAM-001;SWE-CAM-003	VF551_V42	Functional Requirement	TC	NR1L-RVC-068
SYS-RA-VF551_V42-230	SWE-CAM-001;SWE-CAM-023	VF551_V42	Functional Requirement	TC	NR1L-RVC-056
SYS-RA-VF551_V42-258	SWE-CAM-001;SWE-CAM-023	VF551_V42	Functional Requirement	PLAN-RECORDED	batch02_plan.tsv：covered_by: V42-230 之 TC
SYS-RA-VF551_V2-446	SWE-CAM-002;SWE-CAM-010	VF551_V2	Functional Requirement	TC	NR1L-RVC-073
SYS-RA-VF551_V2-447	SWE-CAM-002;SWE-CAM-010	VF551_V2	Functional Requirement	TC	NR1L-RVC-074
SYS-RA-VF551_V2-484	SWE-CAM-002;SWE-CAM-010	VF551_V2	Functional Requirement	TC	NR1L-RVC-079
SYS-RA-VF551_V2-519	SWE-CAM-002;SWE-CAM-010	VF551_V2	Functional Requirement	TC	NR1L-RVC-080
SYS-RA-VF551_V2-520	SWE-CAM-002;SWE-CAM-010	VF551_V2	Functional Requirement	TC	NR1L-RVC-081
SYS-RA-VF551_V2-536	SWE-CAM-002;SWE-CAM-003	VF551_V2	Functional Requirement	TC	NR1L-RVC-085
SYS-RA-VF551_V2-538	SWE-CAM-002;SWE-CAM-008	VF551_V2	Functional Requirement	TC	NR1L-RVC-088
SYS-RA-VF551_V2-555	SWE-CAM-002;SWE-CAM-003	VF551_V2	Functional Requirement	TC	NR1L-RVC-086
SYS-RA-VF551_V2-751	SWE-CAM-002;SWE-CAM-010	VF551_V2	Functional Requirement	TC	NR1L-RVC-075
SYS-RA-VF551_V3-212	SWE-CAM-002	VF551_V3	Functional requirement	PLAN-RECORDED	batch02_plan.tsv：covered_by: V2-536 之 TC
SYS-RA-VF551_V3-257	SWE-CAM-002	VF551_V3	Functional requirement	TC	NR1L-RVC-083;NR1L-RVC-084
SYS-RA-VF551_V3-258	SWE-CAM-002	VF551_V3	Functional requirement	TC	NR1L-RVC-089;NR1L-RVC-090
SYS-RA-VF551_V3-270	SWE-CAM-002	VF551_V3	Functional requirement	PLAN-RECORDED	batch02_plan.tsv：covered_by: V2-484 之 TC
SYS-RA-VF551_V3-287	SWE-CAM-002;SWE-CAM-010	VF551_V3	Functional requirement	TC	NR1L-RVC-076;NR1L-RVC-077
SYS-RA-VF551_V4-112	SWE-CAM-002	VF551_V4	Functional Requirement	TC	NR1L-RVC-087
SYS-RA-VF551_V4-125	SWE-CAM-002	VF551_V4	Functional Requirement	TC	NR1L-RVC-082
SYS-RA-VF551_V4-126	SWE-CAM-002	VF551_V4	Functional Requirement	PLAN-RECORDED	batch02_plan.tsv：covered_by: V2-519 之 TC
SYS-RA-VF551_V42-209	SWE-CAM-002;SWE-CAM-003	VF551_V42	Functional Requirement	PLAN-RECORDED	batch02_plan.tsv：covered_by: V2-536 之 TC（同一前提宣告）
SYS-RA-VF551_V42-322	SWE-CAM-002;SWE-CAM-010	VF551_V42	Functional Requirement	TC	NR1L-RVC-091
SYS-RA-VF551_V42-327	SWE-CAM-002;SWE-CAM-010	VF551_V42	Functional Requirement	TC	NR1L-RVC-078
SYS-RA-VF617_V5-170	SWE-CAM-002	(查無)		PLAN-RECORDED	batch02_plan.tsv：查無（DR-CAM-a）
SYS-RA-VF617_V5-171	SWE-CAM-002	(查無)		PLAN-RECORDED	batch02_plan.tsv：查無（DR-CAM-a）
SYS-RA-VF617_V5-245	SWE-CAM-002	(查無)		PLAN-RECORDED	batch02_plan.tsv：查無（DR-CAM-a）
SYS-RA-VF617_V5-246	SWE-CAM-002	(查無)		PLAN-RECORDED	batch02_plan.tsv：查無（DR-CAM-a）
SYS-RA-VF617_V5-247	SWE-CAM-002	(查無)		PLAN-RECORDED	batch02_plan.tsv：查無（DR-CAM-a）
SYS-RA-VF617_V5-248	SWE-CAM-002	(查無)		PLAN-RECORDED	batch02_plan.tsv：查無（DR-CAM-a）
SYS-RA-VF617_V5-269	SWE-CAM-002	(查無)		PLAN-RECORDED	batch02_plan.tsv：查無（DR-CAM-a）
SYS-RA-CAM-069	SWE-CAM-003	CFTS092	Functional Requirement	TC	NR1L-RVC-095
SYS-RA-CAM-086	SWE-CAM-003	CFTS092	Functional Requirement	TC	NR1L-RVC-096
SYS-RA-CAM-087	SWE-CAM-003	CFTS092	Functional Requirement	TC	NR1L-RVC-097
SYS-RA-VF551_V2-491	SWE-CAM-003;SWE-CAM-022	VF551_V2	Functional Requirement	TC	NR1L-RVC-098
SYS-RA-VF551_V2-501	SWE-CAM-003;SWE-CAM-022	VF551_V2	Functional Requirement	TC	NR1L-RVC-099
SYS-RA-VF551_V2-507	SWE-CAM-003;SWE-CAM-022	VF551_V2	Functional Requirement	TC	NR1L-RVC-100
SYS-RA-VF551_V2-509	SWE-CAM-003;SWE-CAM-022	VF551_V2	Functional Requirement	TC	NR1L-RVC-101
SYS-RA-VF551_V2-513	SWE-CAM-003	VF551_V2	Non Functional Requirement	TC	NR1L-RVC-102
SYS-RA-VF551_V2-514	SWE-CAM-003;SWE-CAM-016	VF551_V2	Functional Requirement	TC	NR1L-RVC-103
SYS-RA-VF551_V2-523	SWE-CAM-003;SWE-CAM-021	VF551_V2	Functional Requirement	TC	NR1L-RVC-104
SYS-RA-VF551_V2-524	SWE-CAM-003;SWE-CAM-022	VF551_V2	Functional Requirement	TC	NR1L-RVC-105
SYS-RA-VF551_V2-534	SWE-CAM-003;SWE-CAM-016	VF551_V2	Functional Requirement	TC	NR1L-RVC-106
SYS-RA-VF551_V2-535	SWE-CAM-003;SWE-CAM-016	VF551_V2	Functional Requirement	TC	NR1L-RVC-107
SYS-RA-VF551_V33-222	SWE-CAM-003	VF551_V33	Functional requirement	TC-ANCHOR	NR1L-RVC-062（specification_reference 承接）
SYS-RA-VF551_V33-224	SWE-CAM-003	VF551_V33	Functional requirement	TC-ANCHOR	NR1L-RVC-063（specification_reference 承接）
SYS-RA-VF551_V33-241	SWE-CAM-003	VF551_V33	Functional requirement	PLAN-RECORDED	batch02_plan.tsv：條件片段（3 token），非獨立驗證點；併入 V33 之退出點
SYS-RA-VF551_V33-432	SWE-CAM-003	VF551_V33	Functional requirement	TC	NR1L-RVC-108
SYS-RA-VF551_V33-440	SWE-CAM-003	VF551_V33	Functional requirement	TC	NR1L-RVC-109
SYS-RA-VF551_V33-443	SWE-CAM-003	VF551_V33	Functional requirement	TC	NR1L-RVC-110
SYS-RA-VF551_V4-095	SWE-CAM-003	VF551_V4	Functional Requirement	TC	NR1L-RVC-111
SYS-RA-VF551_V4-096	SWE-CAM-003	VF551_V4	Functional Requirement	PLAN-RECORDED	batch02_plan.tsv：**不生成** —— hybrid 分支之 PT_SYSTEM_FD_1.ShiftLeverPosition_PT 不可注入（A-CA15，同 batch01
SYS-RA-VF551_V4-105	SWE-CAM-003	VF551_V4	Functional Requirement	PLAN-RECORDED	batch02_plan.tsv：covered_by: V4-095 之 TC
SYS-RA-VF551_V4-106	SWE-CAM-003	VF551_V4	Functional Requirement	PLAN-RECORDED	batch02_plan.tsv：同上
SYS-RA-VF551_V4-117	SWE-CAM-003	VF551_V4	Functional Requirement	TC	NR1L-RVC-112
SYS-RA-VF551_V4-119	SWE-CAM-003	VF551_V4	Functional Requirement	TC	NR1L-RVC-113
SYS-RA-VF551_V4-130	SWE-CAM-003	VF551_V4	Non Functional Requirement	TC	NR1L-RVC-114
SYS-RA-VF551_V4-131	SWE-CAM-003	VF551_V4	Functional Requirement	TC	NR1L-RVC-115
SYS-RA-VF551_V4-138	SWE-CAM-003	VF551_V4	Functional Requirement	TC	NR1L-RVC-116
SYS-RA-VF551_V42-215	SWE-CAM-003	VF551_V42	Functional Requirement	PLAN-RECORDED	batch02_plan.tsv：條件 header，非獨立驗證點
SYS-RA-VF551_V42-218	SWE-CAM-003	VF551_V42	Functional Requirement	PLAN-RECORDED	batch02_plan.tsv：條件 header，非獨立驗證點
SYS-RA-VF551_V42-255	SWE-CAM-003;SWE-CAM-016	VF551_V42	Functional Requirement	TC	NR1L-RVC-117
SYS-RA-VF617V5-406	SWE-CAM-003	(查無)		PLAN-RECORDED	batch02_plan.tsv：查無（DR-CAM-a）—— 且代號缺底線（`VF617V5`），登 RDF-05
SYS-RA-VF617V5-407	SWE-CAM-003	(查無)		PLAN-RECORDED	batch02_plan.tsv：查無（DR-CAM-a）—— 且代號缺底線（`VF617V5`），登 RDF-05
SYS-RA-VF617_V5-087	SWE-CAM-003	(查無)		PLAN-RECORDED	batch02_plan.tsv：查無（DR-CAM-a）
SYS-RA-VF617_V5-090	SWE-CAM-003	(查無)		PLAN-RECORDED	batch02_plan.tsv：查無（DR-CAM-a）
SYS-RA-VF617_V5-169	SWE-CAM-003	(查無)		PLAN-RECORDED	batch02_plan.tsv：查無（DR-CAM-a）
SYS-RA-VF617_V5-189	SWE-CAM-003	(查無)		PLAN-RECORDED	batch02_plan.tsv：查無（DR-CAM-a）
SYS-RA-VF617_V5-233	SWE-CAM-003	(查無)		PLAN-RECORDED	batch02_plan.tsv：查無（DR-CAM-a）
SYS-RA-VF617_V5-261	SWE-CAM-003	(查無)		PLAN-RECORDED	batch02_plan.tsv：查無（DR-CAM-a）
SYS-RA-VF617_V5-300	SWE-CAM-003	(查無)		PLAN-RECORDED	batch02_plan.tsv：查無（DR-CAM-a）
SYS-RA-VF617_V5-301	SWE-CAM-003	(查無)		PLAN-RECORDED	batch02_plan.tsv：查無（DR-CAM-a）
SYS-RA-VF551_V2-205	SWE-CAM-004	VF551_V2	Functional Requirement	TC	NR1L-RVC-185
SYS-RA-VF551_V2-208	SWE-CAM-004	VF551_V2	Functional Requirement	PLAN-RECORDED	batch03_plan.tsv：covered_by: V2-205 之 TC —— 逐字同句（同本之另一節）
SYS-RA-VF551_V2-214	SWE-CAM-004;SWE-CAM-009	VF551_V2	Functional Requirement	TC	NR1L-RVC-184
SYS-RA-VF551_V2-215	SWE-CAM-004;SWE-CAM-009	VF551_V2	Functional Requirement	TC	NR1L-RVC-183
SYS-RA-VF551_V2-217	SWE-CAM-004;SWE-CAM-009	VF551_V2	Functional Requirement	TC	NR1L-RVC-182
SYS-RA-VF551_V2-218	SWE-CAM-004;SWE-CAM-009	VF551_V2	Functional Requirement	TC	NR1L-RVC-181
SYS-RA-VF551_V2-220	SWE-CAM-004;SWE-CAM-009	VF551_V2	Functional Requirement	TC	NR1L-RVC-180
SYS-RA-VF551_V2-221	SWE-CAM-004;SWE-CAM-009	VF551_V2	Functional Requirement	TC	NR1L-RVC-179
SYS-RA-VF551_V2-569	SWE-CAM-004;SWE-CAM-009;SWE-CAM-017;SWE-CAM-023	VF551_V2	Out of Scope	OUT-OF-SCOPE	recon_out_of_scope.tsv
SYS-RA-VF551_V2-583	SWE-CAM-004;SWE-CAM-009;SWE-CAM-023	VF551_V2	Out of Scope	OUT-OF-SCOPE	recon_out_of_scope.tsv
SYS-RA-VF551_V3-196	SWE-CAM-004;SWE-CAM-009;SWE-CAM-023	VF551_V3	Out of scope	OUT-OF-SCOPE	recon_out_of_scope.tsv
SYS-RA-VF551_V3-527	SWE-CAM-004;SWE-CAM-009	VF551_V3	Functional requirement	TC	NR1L-RVC-186
SYS-RA-VF551_V3-529	SWE-CAM-004;SWE-CAM-009	VF551_V3	Functional requirement	TC	NR1L-RVC-187
SYS-RA-VF551_V3-531	SWE-CAM-004;SWE-CAM-009	VF551_V3	Functional requirement	TC	NR1L-RVC-188
SYS-RA-VF551_V33-429	SWE-CAM-004	VF551_V33	Functional requirement	TC	NR1L-RVC-189
SYS-RA-VF551_V42-583	SWE-CAM-004;SWE-CAM-009	VF551_V42	Functional Requirement	TC	NR1L-RVC-190
SYS-RA-VF551_V42-584	SWE-CAM-004;SWE-CAM-009	VF551_V42	Functional Requirement	TC	NR1L-RVC-191
SYS-RA-VF551_V42-586	SWE-CAM-004;SWE-CAM-009	VF551_V42	Functional Requirement	TC	NR1L-RVC-192
SYS-RA-VF551_V42-587	SWE-CAM-004;SWE-CAM-009	VF551_V42	Functional Requirement	TC	NR1L-RVC-193
SYS-RA-VF551_V42-589	SWE-CAM-004;SWE-CAM-009	VF551_V42	Functional Requirement	TC	NR1L-RVC-194
SYS-RA-VF551_V42-590	SWE-CAM-004;SWE-CAM-009	VF551_V42	Functional Requirement	PLAN-RECORDED	batch03_plan.tsv：委派 SWE-CAM-004（R-CAM10）
SYS-RA-VF551_V42-595	SWE-CAM-004;SWE-CAM-013	VF551_V42	Functional Requirement	TC	NR1L-RVC-195
SYS-RA-VF551_V42-600	SWE-CAM-004;SWE-CAM-009	VF551_V42	Functional Requirement	PLAN-RECORDED	batch03_plan.tsv：委派 SWE-CAM-004（R-CAM10）
SYS-RA-VF551_V42-601	SWE-CAM-004;SWE-CAM-009	VF551_V42	Functional Requirement	PLAN-RECORDED	batch03_plan.tsv：委派 SWE-CAM-004（R-CAM10）
SYS-RA-VF551_V3-254	SWE-CAM-005	VF551_V3	Functional requirement	TC	NR1L-RVC-092
SYS-RA-VF617_V5-183	SWE-CAM-005	(查無)		PLAN-RECORDED	batch02_plan.tsv：查無（DR-CAM-a）
SYS-RA-VF551_V2-211	SWE-CAM-006	VF551_V2	Functional Requirement	TC	NR1L-RVC-198
SYS-RA-VF551_V2-212	SWE-CAM-006	VF551_V2	Functional Requirement	TC	NR1L-RVC-197
SYS-RA-VF551_V2-539	SWE-CAM-006;SWE-CAM-009	VF551_V2	Functional Requirement	TC	NR1L-RVC-196
SYS-RA-VF551_V3-533	SWE-CAM-006	VF551_V3	Functional requirement	TC	NR1L-RVC-199
SYS-RA-VF551_V42-210	SWE-CAM-006;SWE-CAM-007	VF551_V42	Functional Requirement	TC	NR1L-RVC-200;NR1L-RVC-246
SYS-RA-VF551_V42-216	SWE-CAM-006;SWE-CAM-012;SWE-CAM-014	VF551_V42	Functional Requirement	TC	NR1L-RVC-209
SYS-RA-VF551_V42-219	SWE-CAM-006;SWE-CAM-012	VF551_V42	Functional Requirement	TC	NR1L-RVC-210
SYS-RA-VF551_V42-226	SWE-CAM-006	VF551_V42	Functional Requirement	TC	NR1L-RVC-201;NR1L-RVC-243
SYS-RA-VF551_V42-237	SWE-CAM-006	VF551_V42	Functional Requirement	PLAN-RECORDED	batch03_plan.tsv：條件 header（`if one of the following conditions is verified:`），非獨立驗證點
SYS-RA-VF551_V42-253	SWE-CAM-006	VF551_V42	Functional Requirement	TC	NR1L-RVC-202
SYS-RA-VF551_V42-262	SWE-CAM-006	VF551_V42	Functional Requirement	TC	NR1L-RVC-204
SYS-RA-VF551_V42-263	SWE-CAM-006	VF551_V42	Functional Requirement	TC	NR1L-RVC-205
SYS-RA-VF551_V42-266	SWE-CAM-006	VF551_V42	Functional Requirement	TC	NR1L-RVC-206
SYS-RA-VF551_V42-268	SWE-CAM-006	VF551_V42	Functional Requirement	TC	NR1L-RVC-207
SYS-RA-VF551_V42-271	SWE-CAM-006	VF551_V42	Functional Requirement	PLAN-RECORDED	batch03_plan.tsv：covered_by: V42-253 之 TC —— 逐字同句
SYS-RA-VF551_V42-274	SWE-CAM-006	VF551_V42	Functional Requirement	TC	NR1L-RVC-203
SYS-RA-VF551_V42-277	SWE-CAM-006	VF551_V42	Functional Requirement	PLAN-RECORDED	batch03_plan.tsv：同上
SYS-RA-VF551_V42-285	SWE-CAM-006	VF551_V42	Functional Requirement	PLAN-RECORDED	batch03_plan.tsv：同上
SYS-RA-VF551_V42-301	SWE-CAM-006	VF551_V42	Functional Requirement	TC	NR1L-RVC-208
SYS-RA-VF551_V42-592	SWE-CAM-006;SWE-CAM-013	VF551_V42	Functional Requirement	TC	NR1L-RVC-211
SYS-RA-VF551_V42-593	SWE-CAM-006;SWE-CAM-013	VF551_V42	Functional Requirement	TC	NR1L-RVC-212;NR1L-RVC-247
SYS-RA-VF617_V5-195	SWE-CAM-006	(查無)		PLAN-RECORDED	batch03_plan.tsv：查無（DR-CAM-a）
SYS-RA-VF551_V2-449	SWE-CAM-008	VF551_V2	Functional Requirement	PLAN-RECORDED	batch03_plan.tsv：covered_by: V2-477 之 TC —— 逐字近同之 `b.` 子句
SYS-RA-VF551_V2-450	SWE-CAM-008	VF551_V2	Functional Requirement	TC	NR1L-RVC-119
SYS-RA-VF551_V2-451	SWE-CAM-008	VF551_V2	Functional Requirement	TC	NR1L-RVC-118
SYS-RA-VF551_V2-477	SWE-CAM-008	VF551_V2	Functional Requirement	TC	NR1L-RVC-120
SYS-RA-VF551_V2-478	SWE-CAM-008;SWE-CAM-023	VF551_V2	Functional Requirement	TC	NR1L-RVC-121
SYS-RA-VF551_V2-479	SWE-CAM-008;SWE-CAM-023	VF551_V2	Functional Requirement	TC	NR1L-RVC-122
SYS-RA-VF551_V2-480	SWE-CAM-008;SWE-CAM-023	VF551_V2	Functional Requirement	TC	NR1L-RVC-123
SYS-RA-VF551_V2-582	SWE-CAM-008;SWE-CAM-010;SWE-CAM-012;SWE-CAM-014;SWE-CAM-023	VF551_V2	Out of Scope	OUT-OF-SCOPE	recon_out_of_scope.tsv
SYS-RA-VF551_V3-284	SWE-CAM-008	VF551_V3	Functional requirement	TC	NR1L-RVC-124;NR1L-RVC-125;NR1L-RVC-126;NR1L-RVC-127
SYS-RA-VF551_V42-319	SWE-CAM-008	VF551_V42	Functional Requirement	TC	NR1L-RVC-128
SYS-RA-VF551_V42-320	SWE-CAM-008	VF551_V42	Functional Requirement	TC	NR1L-RVC-129
SYS-RA-VF551_V2-485	SWE-CAM-009;SWE-CAM-016	VF551_V2	Functional Requirement	TC	NR1L-RVC-130
SYS-RA-VF551_V2-486	SWE-CAM-009;SWE-CAM-016	VF551_V2	Functional Requirement	TC	NR1L-RVC-131;NR1L-RVC-132;NR1L-RVC-133;NR1L-RVC-134;NR1L-RVC-135
SYS-RA-VF551_V2-570	SWE-CAM-009;SWE-CAM-023	VF551_V2	Out of Scope	OUT-OF-SCOPE	recon_out_of_scope.tsv
SYS-RA-VF551_V2-571	SWE-CAM-009;SWE-CAM-023	VF551_V2	Out of Scope	OUT-OF-SCOPE	recon_out_of_scope.tsv
SYS-RA-VF551_V3-194	SWE-CAM-009;SWE-CAM-023	VF551_V3	Out of scope	OUT-OF-SCOPE	recon_out_of_scope.tsv
SYS-RA-VF551_V3-195	SWE-CAM-009;SWE-CAM-023	VF551_V3	Out of scope	OUT-OF-SCOPE	recon_out_of_scope.tsv
SYS-RA-VF551_V2-443	SWE-CAM-010	VF551_V2	Functional Requirement	TC	NR1L-RVC-136
SYS-RA-VF551_V2-444	SWE-CAM-010	VF551_V2	Functional Requirement	TC	NR1L-RVC-137
SYS-RA-VF551_V2-445	SWE-CAM-010	VF551_V2	Functional Requirement	TC	NR1L-RVC-138
SYS-RA-VF551_V2-578	SWE-CAM-010;SWE-CAM-017;SWE-CAM-023	VF551_V2	Out of Scope	OUT-OF-SCOPE	recon_out_of_scope.tsv
SYS-RA-VF551_V2-580	SWE-CAM-010;SWE-CAM-017;SWE-CAM-023	VF551_V2	Out of Scope	OUT-OF-SCOPE	recon_out_of_scope.tsv
SYS-RA-VF551_V3-185	SWE-CAM-010;SWE-CAM-017;SWE-CAM-023	VF551_V3	Out of scope	OUT-OF-SCOPE	recon_out_of_scope.tsv
SYS-RA-VF551_V3-286	SWE-CAM-010	VF551_V3	Functional requirement	TC	NR1L-RVC-139;NR1L-RVC-140
SYS-RA-VF551_V3-288	SWE-CAM-010	VF551_V3	Functional requirement	TC	NR1L-RVC-141;NR1L-RVC-142
SYS-RA-VF551_V42-323	SWE-CAM-010	VF551_V42	Functional Requirement	TC	NR1L-RVC-143;NR1L-RVC-144
SYS-RA-VF551_V42-326	SWE-CAM-010	VF551_V42	Functional Requirement	TC	NR1L-RVC-145;NR1L-RVC-146;NR1L-RVC-147;NR1L-RVC-148;NR1L-RVC-149
SYS-RA-VF551_V2-746	SWE-CAM-011	VF551_V2	Functional Requirement	TC	NR1L-RVC-155
SYS-RA-VF551_V3-282	SWE-CAM-011	VF551_V3	Functional requirement	TC	NR1L-RVC-171;NR1L-RVC-172
SYS-RA-VF551_V3-283	SWE-CAM-011	VF551_V3	Functional requirement	TC	NR1L-RVC-173;NR1L-RVC-174
SYS-RA-VF551_V2-453	SWE-CAM-011	VF551_V2	Functional Requirement	TC	NR1L-RVC-160
SYS-RA-VF551_V2-456	SWE-CAM-011	VF551_V2	Functional Requirement	TC	NR1L-RVC-157
SYS-RA-VF551_V3-280	SWE-CAM-011	VF551_V3	Functional requirement	TC	NR1L-RVC-167;NR1L-RVC-168
SYS-RA-VF551_V2-747	SWE-CAM-011	VF551_V2	Functional Requirement	TC	NR1L-RVC-158
SYS-RA-VF551_V42-314	SWE-CAM-011	VF551_V42	Functional Requirement	TC	NR1L-RVC-178
SYS-RA-VF551_V2-748	SWE-CAM-011	VF551_V2	Functional Requirement	TC	NR1L-RVC-159
SYS-RA-VF551_V2-750	SWE-CAM-011	VF551_V2	Functional Requirement	PLAN-RECORDED	batch03_plan.tsv：**不生成** —— 同上
SYS-RA-VF551_V2-458	SWE-CAM-011	VF551_V2	Functional Requirement	TC	NR1L-RVC-153
SYS-RA-VF551_V2-460	SWE-CAM-011	VF551_V2	Functional Requirement	TC	NR1L-RVC-151
SYS-RA-VF551_V42-312	SWE-CAM-011	VF551_V42	Functional Requirement	TC	NR1L-RVC-177
SYS-RA-VF551_V2-749	SWE-CAM-011	VF551_V2	Functional Requirement	PLAN-RECORDED	batch03_plan.tsv：**不生成** —— hybrid 分支（A-CA15）
SYS-RA-VF551_V2-455	SWE-CAM-011	VF551_V2	Functional Requirement	PLAN-RECORDED	batch03_plan.tsv：**不生成** —— hybrid 分支之 PT_SYSTEM_FD_1 不可注入（A-CA15）
SYS-RA-VF551_V2-442	SWE-CAM-011	VF551_V2	Functional Requirement	TC	NR1L-RVC-163
SYS-RA-VF551_V2-448	SWE-CAM-011	VF551_V2	Functional Requirement	TC	NR1L-RVC-164
SYS-RA-VF551_V42-317	SWE-CAM-011	VF551_V42	Functional Requirement	PLAN-RECORDED	batch03_plan.tsv：covered_by: V42-312 之 TC —— 逐字同句（V42 之另一節）
SYS-RA-VF551_V2-745	SWE-CAM-011	VF551_V2	Functional Requirement	TC	NR1L-RVC-154
SYS-RA-VF551_V42-310	SWE-CAM-011	VF551_V42	Functional Requirement	TC	NR1L-RVC-176
SYS-RA-VF551_V2-483	SWE-CAM-011	VF551_V2	Functional Requirement	TC	NR1L-RVC-162
SYS-RA-VF551_V2-454	SWE-CAM-011	VF551_V2	Functional Requirement	PLAN-RECORDED	batch03_plan.tsv：**不生成** —— 同上（hybrid 分支之 SNA 側）
SYS-RA-VF551_V3-281	SWE-CAM-011	VF551_V3	Functional requirement	TC	NR1L-RVC-169;NR1L-RVC-170
SYS-RA-VF551_V2-461	SWE-CAM-011	VF551_V2	Functional Requirement	TC	NR1L-RVC-150
SYS-RA-VF551_V2-452	SWE-CAM-011	VF551_V2	Functional Requirement	TC	NR1L-RVC-161
SYS-RA-VF551_V3-285	SWE-CAM-011	VF551_V3	Functional requirement	TC	NR1L-RVC-165;NR1L-RVC-166
SYS-RA-VF551_V2-459	SWE-CAM-011	VF551_V2	Functional Requirement	TC	NR1L-RVC-152
SYS-RA-VF551_V3-271	SWE-CAM-011	VF551_V3	Functional requirement	PLAN-RECORDED	batch03_plan.tsv：covered_by: V2-483 之 TC —— 逐字同句（Atl-Mi 本）
SYS-RA-VF551_V2-457	SWE-CAM-011	VF551_V2	Functional Requirement	TC	NR1L-RVC-156
SYS-RA-VF551_V42-308	SWE-CAM-011	VF551_V42	Functional Requirement	TC	NR1L-RVC-175
SYS-RA-VF551_V2-550	SWE-CAM-012;SWE-CAM-014	VF551_V2	Functional Requirement	TC	NR1L-RVC-069
SYS-RA-VF551_V2-553	SWE-CAM-012;SWE-CAM-014	VF551_V2	Functional Requirement	TC	NR1L-RVC-070
SYS-RA-VF551_V3-205	SWE-CAM-012;SWE-CAM-014	VF551_V3	Non Functional requirement	TC	NR1L-RVC-071
