swe_id	kind	book	section	hmi_source_id	title
SWE1-RVC-015	leaf	RVC+PAM	7.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.3	RVC-Only Layout Activation Trigger Conditions
SWE1-RVC-016	leaf	RVC+PAM	7.3.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.3.1	Fallback to RVC-Only Layout when PAM Capability Absent
SWE1-RVC-017	leaf	RVC+PAM	7.3.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.3.2	"Fallback to RVC-Only Layout on 7"" and 8.4"" Head Units"
SWE1-RVC-018	leaf	RVC+PAM	7.3.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.3.3	Vehicle Controls in RVC-Only Layout for 10.1 Portrait HU
SWE1-RVC-019	umbrella	RVC+PAM	7.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.4	Camera Activation Behavior and View Control (Umbrella)
SWE1-RVC-019-01	leaf	RVC+PAM	7.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.4	Initial default view on activation
SWE1-RVC-019-02	leaf	RVC+PAM	7.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.4	Image display while under speed threshold
SWE1-RVC-019-03	leaf	RVC+PAM	7.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.4	Soft button greyed when over speed threshold
SWE1-RVC-019-04	leaf	RVC+PAM	7.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.4	Manual button press shows RVC + sensors
SWE1-RVC-020	leaf	RVC+PAM	7.5	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.5	RVC+PAM Layout Dismissal Trigger Conditions
SWE1-RVC-021	leaf	RVC+PAM	7.5.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.5.1	Dismissal When Speed Threshold or RVC Timeout Reached (Drive)
SWE1-RVC-022	leaf	RVC+PAM	7.5.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.5.2	Dismissal When Gear Leaves Reverse and RVC Timeout Expires
SWE1-RVC-023	umbrella	RVC+PAM	7.5.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.5.3	Camera Display Behavior After Shifting Out of Reverse (Umbrella)
SWE1-RVC-023-01	leaf	RVC+PAM	7.5.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.5.3	10-second delay timer after exiting REVERSE
SWE1-RVC-023-02	leaf	RVC+PAM	7.5.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.5.3	Auto-dismiss at 8 mph speed threshold
SWE1-RVC-023-03	leaf	RVC+PAM	7.5.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.5.3	"Manual dismiss via ""X"" soft control (PU0361)"
SWE1-RVC-024	umbrella	RVC+PAM	8.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.1	X Exit Button Placement and Behavior in Non-Reverse Gear
SWE1-RVC-024-01	leaf	RVC+PAM	8.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.1	X exit button placement in non-REVERSE
SWE1-RVC-024-02	leaf	RVC+PAM	8.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.1	X exit button reverts to last known screen
SWE1-RVC-025	umbrella	RVC+PAM	8.1.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.1.1	"RVC Feed Persistence and ""X"" Unavailability in Reverse"
SWE1-RVC-025-01	leaf	RVC+PAM	8.1.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.1.1	RVC feed remains on while vehicle is in REVERSE
SWE1-RVC-025-02	leaf	RVC+PAM	8.1.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.1.1	X button unavailable while vehicle is in REVERSE
SWE1-RVC-026	leaf	RVC+PAM	8.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.2	Check Entire Surroundings Banner Display Duration
SWE1-RVC-027	leaf	RVC+PAM	8.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.3	Banner Edge-Fade to Avoid Covering Buttons
SWE1-RVC-028	leaf	RVC+PAM	8.3.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.3.1	Banner Fade Behavior Applied to All Camera Messages
SWE1-RVC-029	leaf	RVC+PAM	8.3.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.3.2	Return to Last Known HU State on RVC Turn-Off
SWE1-RVC-030	leaf	RVC+PAM	8.3.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.3.3	"No Camera Delay When ""X"" Cannot Be Shown in Drive"
SWE1-RVC-031	umbrella	RVC+PAM	8.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.4	Camera-Overlay Visual Specification (Color and Transparency)
SWE1-RVC-031-01	leaf	RVC+PAM	8.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.4	X button and banner color/contrast
SWE1-RVC-031-02	leaf	RVC+PAM	8.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.4	Overlay transparency at 60% (+/-5%)
SWE1-RVC-032	leaf	RVC+PAM	8.4.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.4.1	Overlay Execution Only When No Other Layout Fits
SWE1-RVC-033	leaf	RVC+PAM	8.6	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.6	RVC Display While Radio is Off
SWE1-RVC-034	leaf	RVC+PAM	8.7	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.7	No Camera Display in Accessory Ignition Mode
SWE1-RVC-035	leaf	RVC+PAM	8.8	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.8	PAM Graphic Sourced from PDO Graphical Releases
SWE1-RVC-036	leaf	RVC+PAM	9.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_9.2	Error-Banner Sequence for Camera Diagnostic Events
SWE1-RVC-037	leaf	RVC+PAM	9.2.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_9.2.1	"Display ""Camera System Unavailable"" for Camera Feed Faults"
SWE1-RVC-038	leaf	RVC+PAM	9.2.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_9.2.2	"Display ""Camera System Unavailable"" for Blue-Screen Conditions"
SWE1-RVC-039	leaf	RVC+PAM	9.2.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_9.2.3	"Display ""Camera Out of Position"" for Camera Misalignment Events"
SWE1-RVC-040	leaf	RVC+PAM	11.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_11.1	PAM Visualization Adapts to Vehicle Proxy Configuration
SWE1-RVC-041	leaf	HeadUnitCameraSystems	6.1.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.1.2	"Camera Delay Option Disabled When ""X"" Cannot Be Shown"
SWE1-RVC-042	leaf	HeadUnitCameraSystems	6.1.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.1.3	Camera Feed Unavailable in OFF and ACC Ignition States
SWE1-RVC-043	leaf	HeadUnitCameraSystems	6.1.5	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.1.5	RVC is Non-Persistent When Enhanced Camera App is Equipped
SWE1-RVC-044	leaf	HeadUnitCameraSystems	6.1.6	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.1.6	RVC Follows General Camera Activation/Deactivation Strategy
SWE1-RVC-045	leaf	HeadUnitCameraSystems	6.2.2.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.2.2.1	Rear View Camera Delay Setting (Default OFF)
SWE1-RVC-046	leaf	HeadUnitCameraSystems	6.2.2.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.2.2.2	Rear View Camera Active Guidelines Setting (Default ON)
SWE1-RVC-047	umbrella	HeadUnitCameraSystems	6.2.2.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.2.2.3	Rear View Camera Fixed Guidelines Setting and Mutual Exclusivity
SWE1-RVC-047-01	leaf	HeadUnitCameraSystems	6.2.2.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.2.2.3	Fixed Guidelines on/off toggle with default OFF
SWE1-RVC-047-02	leaf	HeadUnitCameraSystems	6.2.2.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.2.2.3	Mutual exclusivity with Active Guidelines
SWE1-RVC-048	umbrella	HeadUnitCameraSystems	6.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.5.1	Manual RVC Activation Entry Points (Controls / Apps Drawer / Camera App)
SWE1-RVC-048-01	leaf	HeadUnitCameraSystems	6.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.5.1	Activate RVC from controls page
SWE1-RVC-048-02	leaf	HeadUnitCameraSystems	6.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.5.1	Activate RVC from apps drawer
SWE1-RVC-048-03	leaf	HeadUnitCameraSystems	6.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.5.1	Activate RVC from camera app
SWE1-RVC-049	leaf	HeadUnitCameraSystems	6.5.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.5.2	RVC Soft Control in View Corner for TRG / CHMSL / FFCTL Configurations
SWE1-RVC-050	leaf	HeadUnitCameraSystems	6.5.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.5.3	RVC Not Accessible on Controls Page When Camera App is Present
SWE1-RVC-051	umbrella	HeadUnitCameraSystems	6.7.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.7.1	Enhanced Camera App Rear View Access and Controls (Umbrella)
SWE1-RVC-051-01	leaf	HeadUnitCameraSystems	6.7.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.7.1	Access rear view via Controls page
SWE1-RVC-051-02	leaf	HeadUnitCameraSystems	6.7.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.7.1	Access rear view via Apps Drawer
SWE1-RVC-051-03	leaf	HeadUnitCameraSystems	6.7.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.7.1	Display SVC bar in rear view
SWE1-RVC-051-04	leaf	HeadUnitCameraSystems	6.7.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.7.1	Limit X exit control to P/N/D
SWE1-RVC-052	leaf	HeadUnitCameraSystems	6.10.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.10.1	Camera View Soft Controls for Equipped Camera Features
SWE1-RVC-053	leaf	HeadUnitCameraSystems	27.1.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.1.1	Wired/Wireless AUX Cameras are Non-Persistent with Enhanced Camera App
SWE1-RVC-054	leaf	HeadUnitCameraSystems	27.1.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.1.2	AUX Camera Features Follow General Activation/Deactivation Strategy
SWE1-RVC-055	leaf	HeadUnitCameraSystems	27.1.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.1.3	Selected View Soft Control is Highlighted
SWE1-RVC-056	leaf	HeadUnitCameraSystems	27.1.4	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.1.4	Camera Feature Follows Core HU Lockout Conditions
SWE1-RVC-057	leaf	HeadUnitCameraSystems	27.1.5	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.1.5	Wireless AUX Limited to Four MOPAR Cameras via WiFi
SWE1-RVC-058	leaf	HeadUnitCameraSystems	27.1.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.1.5.1	Wireless AUX Authentication via QR-Code Token
SWE1-RVC-059	leaf	HeadUnitCameraSystems	27.2.1.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.1.1	Second-Surface AUX Cam Controls within Back-Up and CHMSL Views
SWE1-RVC-060	leaf	HeadUnitCameraSystems	27.2.2.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.2.1	AUX Cameras Icons Present in Camera Views
SWE1-RVC-061	leaf	HeadUnitCameraSystems	27.2.3.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.3.1	Wired AUX Camera is Always a Selectable Option
SWE1-RVC-062	leaf	HeadUnitCameraSystems	27.2.3.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.3.2	"Wireless AUX ""AUX Cameras"" Button Greyed When Unavailable"
SWE1-RVC-063	leaf	HeadUnitCameraSystems	27.2.4.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.4.1	"Camera Personalization Settings Grouped under ""Cameras"" Line"
SWE1-RVC-064	leaf	HeadUnitCameraSystems	27.2.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.5.1	HMI Behavior Pattern V-3 for Push Button Control
SWE1-RVC-065	leaf	HeadUnitCameraSystems	27.2.6.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.6.1	Equipped Camera Feature Set (RVC / CHMSL / TRG / FFCTL / SVC)
SWE1-RVC-066	leaf	HeadUnitCameraSystems	27.2.6.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.6.2	Camera Access via Apps Drawer
SWE1-RVC-067	leaf	HeadUnitCameraSystems	27.2.6.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.6.3	Camera Access via Camera App Home Page
SWE1-RVC-068	leaf	HeadUnitCameraSystems	27.2.6.4	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.6.4	Selected View Soft Control Highlight (Second Surface)
SWE1-RVC-069	leaf	HeadUnitCameraSystems	27.3.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.3.2	First Surface Has No Additional Requirements
SWE1-RVC-070	leaf	HeadUnitCameraSystems	27.3.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.3.3	Camera Pop-Up Messages per R1 HMI Pop-Up List
SWE1-RVC-071	leaf	HeadUnitCameraSystems	27.3.4.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.3.4.1	Camera Connection Process Lockout when Vehicle in Motion
SWE1-RVC-072	leaf	HeadUnitCameraSystems	27.3.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.3.5.1	Wireless Camera Authentication via QR-Code WiFi Credentials
SWE1-RVC-073	leaf	HeadUnitCameraSystems	27.4.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.4.1	Wireless Cameras Setting Toggle to Enable
SWE1-RVC-074	leaf	HeadUnitCameraSystems	27.4.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.4.2	Wireless Cameras Toggle Popup When Projection Session Active
SWE1-RVC-075	leaf	HeadUnitCameraSystems	27.4.2.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.4.2.1	Wireless Toggle YES Disconnects Projection and Enables Wireless
SWE1-RVC-076	leaf	HeadUnitCameraSystems	27.4.2.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.4.2.2	Wireless Toggle NO Maintains Projection and Keeps Wireless Disabled
SWE1-RVC-077	leaf	HeadUnitCameraSystems	27.4.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.4.3	Wireless Toggle Activates Silently When No Projection Active
SWE1-RVC-078	leaf	HeadUnitCameraSystems	27.4.4	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.4.4	Enable Wireless Cameras Setting Updates Dynamically
SWE1-RVC-079	leaf	HeadUnitCameraSystems	27.4.5	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.4.5	Projection Plug-In Popup Disables Wireless Cameras
SWE1-RVC-080	leaf	HeadUnitCameraSystems	27.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.5.1	Connecting Message When Wireless AUX Cam Wakes from Sleep
SWE1-RVC-081	leaf	HeadUnitCameraSystems	27.5.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.5.2	Wireless Setting Auto-Enables on AUX Selection (No Projection)
SWE1-RVC-082	umbrella	HeadUnitCameraSystems	27.6.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.6.1	Wireless AUX Selection Popup with Projection Active (Setting OFF)
SWE1-RVC-082-01	leaf	HeadUnitCameraSystems	27.6.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.6.1	Display confirmation popup on selection
SWE1-RVC-082-02	leaf	HeadUnitCameraSystems	27.6.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.6.1	YES auto-enables the setting
SWE1-RVC-083	leaf	HeadUnitCameraSystems	27.6.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.6.2	Connecting Message for Sleeping Wireless AUX Camera
SWE1-RVC-084	leaf	HeadUnitCameraSystems	27.7.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.7.1	Wired and Wireless AUX Access via Controls Page and Apps Drawer
SWE1-RVC-085	leaf	HeadUnitCameraSystems	27.7.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.7.2	AUX Soft Controls Not on Controls Page When Camera App Present
SWE1-RVC-086	leaf	HeadUnitCameraSystems	27.7.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.7.3	Cross-Reference: Wireless Cameras Connection Pages
SWE1-RVC-087	leaf	HeadUnitCameraSystems	27.8.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.8.1	More Aux Button Opens Popup of Available AUX Cameras
SWE1-RVC-088	leaf	HeadUnitCameraSystems	27.8.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.8.2	Selecting New View in Popup Switches to That View
SWE1-RVC-089	leaf	HeadUnitCameraSystems	27.8.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.8.3	"Pressing ""More AUX"" Again Closes the Popup"
SWE1-RVC-090	leaf	HeadUnitCameraSystems	27.8.4	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.8.4	Signal Strength and Battery Shown Below More AUX Button
SWE1-RVC-091	leaf	HeadUnitCameraSystems	27.8.5	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.8.5	Cross-Reference: Wireless Cameras Connection Pages
SWE1-RVC-092	leaf	HeadUnitCameraSystems	28.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_28.1	More Cams Button Provides Access to Camera App Popup
SWE1-RVC-093	leaf	HeadUnitCameraSystems	28.2.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_28.2.1	Check Entire Surroundings Shown 5s on AUX Cam Access
SWE1-RVC-094	leaf	HeadUnitCameraSystems	28.2.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_28.2.2	"AUX Access Does Not Reset ""Check Entire Surroundings"" Timer"
SWE1-RVC-095	leaf	HeadUnitCameraSystems	28.2.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_28.2.3	WiFi Signal and Battery Shown After 5s for Wireless AUX
SWE1-RVC-096	leaf	HeadUnitCameraSystems	28.2.4	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_28.2.4	X Returns to Previous Screen from AUX Camera
