# CAM-28 §3　VF551_V2：`sys2_vf551_v2_sysra_v01`（既有本）↔ `sys2_vf551_v2_dependency_20260311`（dependency 本）之 Description 差異列
# 比對鍵 = SYS2 Sys-RA-Feature-ID；desc 欄以 \n／\r／\t 逸出。disposition：(a) NO-OP = 以空白與字面 `_x000D_` 正規化後相同
sys_ra_id	anchor	x000D_delta	newline_delta	len_delta	disposition	cited_tcs	desc_existing	desc_dependency
SYS-RA-VF551_V2-206	VF551_V2_PHDCC27_VF_1820	1	0	7	(a) NO-OP	—	When Ignition is On AND PT_SYSTEM_FD_1.ShiftLeverPosition_PT signal equal to "SNA" value, the Head Unit shall:\no Set the DTC as defined in the DTC Criteria Matrix to True.	When Ignition is On AND PT_SYSTEM_FD_1.ShiftLeverPosition_PT signal equal to "SNA" value, the Head Unit shall:_x000D_\no Set the DTC as defined in the DTC Criteria Matrix to True.
SYS-RA-VF551_V2-207	VF551_V2_PHDCC27_VF_1819	1	0	8	(a) NO-OP	—	1.13.2.2.6 \nID 16.0 Description	1.13.2.2.6 _x000D_\nID 16.0 Description 
SYS-RA-VF551_V2-208	VF551_V2_PHDCC27_VF_1593	2	0	14	(a) NO-OP	—	When Ignition is On AND the gear status is no longer "SNA" the Head Unit shall:\no heal the DTC.\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.	When Ignition is On AND the gear status is no longer "SNA" the Head Unit shall:_x000D_\no heal the DTC._x000D_\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.
SYS-RA-VF551_V2-209	VF551_V2_PHDCC27_VF_930	1	0	7	(a) NO-OP	—	When Ignition is On AND TRANSM_FD_4.ShiftLeverPosition signal equal to "SNA" value, the Head Unit shall:\no Set the DTC as defined in the DTC Criteria Matrix to True.	When Ignition is On AND TRANSM_FD_4.ShiftLeverPosition signal equal to "SNA" value, the Head Unit shall:_x000D_\no Set the DTC as defined in the DTC Criteria Matrix to True.
SYS-RA-VF551_V2-210	VF551_V2_PHDCC27_VF_923	1	0	8	(a) NO-OP	—	1.13.2.2.5 \nID 15.0 Description	1.13.2.2.5 _x000D_\nID 15.0 Description 
SYS-RA-VF551_V2-211	VF551_V2_PHDCC27_VF_1592	2	0	14	(a) NO-OP	NR1L-RVC-198	When Ignition is On AND the head unit receives LVDS Video Signal, the ETM shall:\no heal the DTC.\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.	When Ignition is On AND the head unit receives LVDS Video Signal, the ETM shall:_x000D_\no heal the DTC._x000D_\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.
SYS-RA-VF551_V2-212	VF551_V2_PHDCC27_VF_931	2	0	14	(a) NO-OP	NR1L-RVC-197	When Ignition is On AND the head unit does not receive LVDS Video Signal and ADAS_LVDS_RRCamera_Cable signal, the Head Unit shall:\n- Set the DTC to True\n- Display HMI as defined in the "HMI camera Logic and Flow" document.	When Ignition is On AND the head unit does not receive LVDS Video Signal and ADAS_LVDS_RRCamera_Cable signal, the Head Unit shall:_x000D_\n- Set the DTC to True_x000D_\n- Display HMI as defined in the "HMI camera Logic and Flow" document.
SYS-RA-VF551_V2-213	VF551_V2_PHDCC27_VF_922	1	0	7	(a) NO-OP	—	1.13.2.2.4 \nID 14.0 Description	1.13.2.2.4 _x000D_\nID 14.0 Description
SYS-RA-VF551_V2-214	VF551_V2_PHDCC27_VF_1591	1	0	7	(a) NO-OP	NR1L-RVC-184	· Once the systemStatus.Communications_Timeout signal is set to False, the Head Unit shall:\no Clear the DTC	· Once the systemStatus.Communications_Timeout signal is set to False, the Head Unit shall:_x000D_\no Clear the DTC
SYS-RA-VF551_V2-215	VF551_V2_PHDCC27_VF_927	1	0	7	(a) NO-OP	NR1L-RVC-183	· When Ignition is On AND the Head Unit receives the systemStatus.Communications_Timeout signal equal to True, the Head Unit shall:\no Set the DTC as defined in the DTC Criteria Matrix	· When Ignition is On AND the Head Unit receives the systemStatus.Communications_Timeout signal equal to True, the Head Unit shall:_x000D_\no Set the DTC as defined in the DTC Criteria Matrix
SYS-RA-VF551_V2-216	VF551_V2_PHDCC27_VF_919	1	0	7	(a) NO-OP	—	1.13.2.2.3 \nID 13.0 Description	1.13.2.2.3 _x000D_\nID 13.0 Description
SYS-RA-VF551_V2-217	VF551_V2_PHDCC27_VF_1590	1	0	7	(a) NO-OP	NR1L-RVC-182	· Once the systemStatus.ExternalErrorStatus signal is set to False, the Head Unit shall:\no Clear the DTC	· Once the systemStatus.ExternalErrorStatus signal is set to False, the Head Unit shall:_x000D_\no Clear the DTC
SYS-RA-VF551_V2-218	VF551_V2_PHDCC27_VF_926	1	0	7	(a) NO-OP	NR1L-RVC-181	· When Ignition is On AND the Head Unit receives the systemStatus.ExternalErrorStatus signal equal to True, the Head Unit shall:\no Set the DTC as defined in the DTC Criteria Matrix	· When Ignition is On AND the Head Unit receives the systemStatus.ExternalErrorStatus signal equal to True, the Head Unit shall:_x000D_\no Set the DTC as defined in the DTC Criteria Matrix
SYS-RA-VF551_V2-219	VF551_V2_PHDCC27_VF_918	1	0	8	(a) NO-OP	—	1.13.2.2.2 \nID 12.0 Description	1.13.2.2.2 _x000D_\nID 12.0 Description 
SYS-RA-VF551_V2-220	VF551_V2_PHDCC27_VF_1589	1	0	7	(a) NO-OP	NR1L-RVC-180	· Once the systemStatus.InternalErrorStatus signal is set to False, the Head Unit shall:\no Clear the DTC	· Once the systemStatus.InternalErrorStatus signal is set to False, the Head Unit shall:_x000D_\no Clear the DTC
SYS-RA-VF551_V2-221	VF551_V2_PHDCC27_VF_123	1	0	7	(a) NO-OP	NR1L-RVC-179	· When Ignition is On AND the Head Unit receives the systemStatus.InternalErrorStatus signal equal to True, the Head Unit shall:\no Set the DTC as defined in the DTC Criteria Matrix	· When Ignition is On AND the Head Unit receives the systemStatus.InternalErrorStatus signal equal to True, the Head Unit shall:_x000D_\no Set the DTC as defined in the DTC Criteria Matrix
SYS-RA-VF551_V2-222	VF551_V2_PHDCC27_VF_122	1	0	7	(a) NO-OP	—	1.13.2.2.1 \nID 11.0 Description	1.13.2.2.1 _x000D_\nID 11.0 Description
SYS-RA-VF551_V2-224	VF551_V2_PHDCC27_VF_1588	2	0	14	(a) NO-OP	—	· When Ignition is On AND the vehicleUpdate_2.VehicleSpeedVSOSig signal is no longer equal to "SNA", the RVCM shall:\no Send systemStatus.Communications_Timeout signal to False\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.	· When Ignition is On AND the vehicleUpdate_2.VehicleSpeedVSOSig signal is no longer equal to "SNA", the RVCM shall:_x000D_\no Send systemStatus.Communications_Timeout signal to False_x000D_\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.
SYS-RA-VF551_V2-225	VF551_V2_PHDCC27_VF_917	3	0	21	(a) NO-OP	—	· When Ignition is On AND the RVCM receives vehicleUpdate_2.VehicleSpeedVSOSig signal equal to "SNA" value, the RVCM shall:\no Send systemStatus.Communications_Timeout to True.\no Disable Zoom functionality\no Send systemStatus.ZoomViewRes = SNA	· When Ignition is On AND the RVCM receives vehicleUpdate_2.VehicleSpeedVSOSig signal equal to "SNA" value, the RVCM shall:_x000D_\no Send systemStatus.Communications_Timeout to True._x000D_\no Disable Zoom functionality_x000D_\no Send systemStatus.ZoomViewRes = SNA
SYS-RA-VF551_V2-227	VF551_V2_PHDCC27_VF_1587	2	0	14	(a) NO-OP	—	· When Ignition is On AND vehicleUpdate_2.ShiftLeverPosition signal is no longer equal to "SNA", the RVCM shall:\no Send systemStatus.Communications_Timeout signal to False\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.	· When Ignition is On AND vehicleUpdate_2.ShiftLeverPosition signal is no longer equal to "SNA", the RVCM shall:_x000D_\no Send systemStatus.Communications_Timeout signal to False_x000D_\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.
SYS-RA-VF551_V2-228	VF551_V2_PHDCC27_VF_916	3	0	21	(a) NO-OP	—	· When Ignition is On AND the RVCM receives vehicleUpdate_2.ShiftLeverPosition signal equal to "SNA" value, the RVCM shall:\no Send systemStatus.Communications_Timeout to True.\no Disable Zoom functionality\no Send systemStatus.ZoomViewRes = SNA	· When Ignition is On AND the RVCM receives vehicleUpdate_2.ShiftLeverPosition signal equal to "SNA" value, the RVCM shall:_x000D_\no Send systemStatus.Communications_Timeout to True._x000D_\no Disable Zoom functionality_x000D_\no Send systemStatus.ZoomViewRes = SNA
SYS-RA-VF551_V2-229	VF551_V2_PHDCC27_VF_901	1	0	7	(a) NO-OP	—	1.13.2.1.9 \nID 9.0 Description	1.13.2.1.9 _x000D_\nID 9.0 Description
SYS-RA-VF551_V2-230	VF551_V2_PHDCC27_VF_1586	2	0	14	(a) NO-OP	—	· When Ignition is On AND the vehicleUpdate_1.TGW_CAMERA_DISP_STAT signal is no longer equal to "SNA", the RVCM shall:\no Send the systemStatus.Communications_Timeout signal to False.\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.	· When Ignition is On AND the vehicleUpdate_1.TGW_CAMERA_DISP_STAT signal is no longer equal to "SNA", the RVCM shall:_x000D_\no Send the systemStatus.Communications_Timeout signal to False._x000D_\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.
SYS-RA-VF551_V2-231	VF551_V2_PHDCC27_VF_915	2	0	14	(a) NO-OP	—	· When Ignition is On AND the RVCM receives vehicleUpdate_1.TGW_CAMERA_DISP_STAT signal equal to "SNA" value, the RVCM shall:\no Send systemStatus.Communications_Timeout to True.\no Consider as vehicleUpdate_1.TGW_CAMERA_DISP_STAT = DISP_NON_CAMERA	· When Ignition is On AND the RVCM receives vehicleUpdate_1.TGW_CAMERA_DISP_STAT signal equal to "SNA" value, the RVCM shall:_x000D_\no Send systemStatus.Communications_Timeout to True._x000D_\no Consider as vehicleUpdate_1.TGW_CAMERA_DISP_STAT = DISP_NON_CAMERA
SYS-RA-VF551_V2-232	VF551_V2_PHDCC27_VF_900	1	0	7	(a) NO-OP	—	1.13.2.1.8 \nID 8.0 Description	1.13.2.1.8 _x000D_\nID 8.0 Description
SYS-RA-VF551_V2-233	VF551_V2_PHDCC27_VF_1585	2	0	14	(a) NO-OP	—	· When Ignition is On AND RVCM receives valid values in the gridZoomRequest message the RVCM shall:\no Set the systemStatus.Communications_Timeout to False.\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.	· When Ignition is On AND RVCM receives valid values in the gridZoomRequest message the RVCM shall:_x000D_\no Set the systemStatus.Communications_Timeout to False._x000D_\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.
SYS-RA-VF551_V2-234	VF551_V2_PHDCC27_VF_914	2	0	14	(a) NO-OP	—	· When Ignition is On AND the RVCM does not receive gridZoomRequest message for six or more consecutive message cycles, the RVCM shall:\no Send systemStatus.Communications_Timeout to True.\no Not overlay active dynamic grid lines on the camera video image.	· When Ignition is On AND the RVCM does not receive gridZoomRequest message for six or more consecutive message cycles, the RVCM shall:_x000D_\no Send systemStatus.Communications_Timeout to True._x000D_\no Not overlay active dynamic grid lines on the camera video image.
SYS-RA-VF551_V2-235	VF551_V2_PHDCC27_VF_899	1	0	7	(a) NO-OP	—	1.13.2.1.7 \nID 7.0 Description	1.13.2.1.7 _x000D_\nID 7.0 Description
SYS-RA-VF551_V2-236	VF551_V2_PHDCC27_VF_1584	2	0	14	(a) NO-OP	—	· When Ignition is On AND RVCM receives valid values in the vehicleUpdate_1 message the RVCM shall:\no Send systemStatus.Communications_Timeout to False.\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.	· When Ignition is On AND RVCM receives valid values in the vehicleUpdate_1 message the RVCM shall:_x000D_\no Send systemStatus.Communications_Timeout to False._x000D_\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.
SYS-RA-VF551_V2-237	VF551_V2_PHDCC27_VF_913	2	0	14	(a) NO-OP	—	· When Ignition is On AND the RVCM does not receive vehicleUpdate_1 message for six or more consecutive message cycles, the RVCM shall:\no Send systemStatus.Communications_Timeout to True.\no Overlay active dynamic gridlines with 0 degree angle on the camera video image when previous status was ON.	· When Ignition is On AND the RVCM does not receive vehicleUpdate_1 message for six or more consecutive message cycles, the RVCM shall:_x000D_\no Send systemStatus.Communications_Timeout to True._x000D_\no Overlay active dynamic gridlines with 0 degree angle on the camera video image when previous status was ON.
SYS-RA-VF551_V2-238	VF551_V2_PHDCC27_VF_898	1	0	7	(a) NO-OP	—	1.13.2.1.6 \nID 6.0 Description	1.13.2.1.6 _x000D_\nID 6.0 Description
SYS-RA-VF551_V2-239	VF551_V2_PHDCC27_VF_1583	2	0	14	(a) NO-OP	—	· When Ignition is On AND vehicleUpdate_2 message is no longer missing, the RVCM shall:\no Send systemStatus.Communications_Timeout to False\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements	· When Ignition is On AND vehicleUpdate_2 message is no longer missing, the RVCM shall:_x000D_\no Send systemStatus.Communications_Timeout to False_x000D_\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements
SYS-RA-VF551_V2-240	VF551_V2_PHDCC27_VF_912	4	0	28	(a) NO-OP	—	· When Ignition is On AND the RVCM does not receive vehicleUpdate_2 message for six or more consecutive message cycles, the RVCM shall:\no Send systemStatus.Communications_Timeout to True.\no Overlay active dynamic grid lines with 0 degree angle on the camera video image when previous status was ON.\no Disable the Zoom functionality\no Send systemStatus.ZoomViewRes = SNA	· When Ignition is On AND the RVCM does not receive vehicleUpdate_2 message for six or more consecutive message cycles, the RVCM shall:_x000D_\no Send systemStatus.Communications_Timeout to True._x000D_\no Overlay active dynamic grid lines with 0 degree angle on the camera video image when previous status was ON._x000D_\no Disable the Zoom functionality_x000D_\no Send systemStatus.ZoomViewRes = SNA
SYS-RA-VF551_V2-241	VF551_V2_PHDCC27_VF_897	1	0	8	(a) NO-OP	—	1.13.2.1.5 \nID 5.0 Description	1.13.2.1.5 _x000D_\nID 5.0 Description 
SYS-RA-VF551_V2-242	VF551_V2_PHDCC27_VF_1582	2	0	14	(a) NO-OP	—	· When Ignition is On AND the vehicleUpdate_2.ZoomViewReq signal is no longer equal to "SNA", the RVCM shall:\no Send systemStatus.Communications_Timeout to False\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.	· When Ignition is On AND the vehicleUpdate_2.ZoomViewReq signal is no longer equal to "SNA", the RVCM shall:_x000D_\no Send systemStatus.Communications_Timeout to False_x000D_\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.
SYS-RA-VF551_V2-243	VF551_V2_PHDCC27_VF_911	3	0	21	(a) NO-OP	—	· When Ignition is On AND the RVCM receives vehicleUpdate_2.ZoomViewReq signal equal to "SNA" value, the RVCM shall:\no Send systemStatus.Communications_Timeout to True.\no Disable Zoom functionality\no Send systemStatus.ZoomViewRes = SNA	· When Ignition is On AND the RVCM receives vehicleUpdate_2.ZoomViewReq signal equal to "SNA" value, the RVCM shall:_x000D_\no Send systemStatus.Communications_Timeout to True._x000D_\no Disable Zoom functionality_x000D_\no Send systemStatus.ZoomViewRes = SNA
SYS-RA-VF551_V2-244	VF551_V2_PHDCC27_VF_896	1	0	7	(a) NO-OP	—	1.13.2.1.4 \nID 4.0 Description	1.13.2.1.4 _x000D_\nID 4.0 Description
SYS-RA-VF551_V2-245	VF551_V2_PHDCC27_VF_1581	3	0	21	(a) NO-OP	—	· When Ignition is On AND the vehicleUpdate_2.LwsAngle signal is no longer equal to "SNA", the RVCM shall:\n  o Overlay active dynamic gridlines on the camera video image based on the gridZoomRequest.DynamicGridRQSts\no Send systemStatus.Communications_Timeout to False\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.	· When Ignition is On AND the vehicleUpdate_2.LwsAngle signal is no longer equal to "SNA", the RVCM shall:_x000D_\n  o Overlay active dynamic gridlines on the camera video image based on the gridZoomRequest.DynamicGridRQSts_x000D_\no Send systemStatus.Communications_Timeout to False_x000D_\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.
SYS-RA-VF551_V2-246	VF551_V2_PHDCC27_VF_910	2	0	14	(a) NO-OP	—	· When Ignition is On AND the RVCM receives vehicleUpdate_2.LwsAngle signal equal to "SNA" value, the RVCM shall:\n         o Overlay active dynamic gridlines with 0 degree angle on the camera video image when previous status was ON.\n         o Send systemStatus.Communications_Timeout to True	· When Ignition is On AND the RVCM receives vehicleUpdate_2.LwsAngle signal equal to "SNA" value, the RVCM shall:_x000D_\n         o Overlay active dynamic gridlines with 0 degree angle on the camera video image when previous status was ON._x000D_\n         o Send systemStatus.Communications_Timeout to True
SYS-RA-VF551_V2-247	VF551_V2_PHDCC27_VF_895	1	0	8	(a) NO-OP	—	1.13.2.1.3 \nID 3.0 Description	1.13.2.1.3 _x000D_\nID 3.0 Description 
SYS-RA-VF551_V2-248	VF551_V2_PHDCC27_VF_1580	2	0	14	(a) NO-OP	—	When Ignition is On AND the Internal fail is no longer present the RVCM shall:\no Send systemStatus.ExternalErrorStatus to False\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.	When Ignition is On AND the Internal fail is no longer present the RVCM shall:_x000D_\no Send systemStatus.ExternalErrorStatus to False_x000D_\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.
SYS-RA-VF551_V2-249	VF551_V2_PHDCC27_VF_909	1	0	7	(a) NO-OP	—	When Ignition is On AND the RVCM detects the electric diagnosis present, then the RVCM shall:\n        o Send systemStatus.ExternalErrorStatus to True	When Ignition is On AND the RVCM detects the electric diagnosis present, then the RVCM shall:_x000D_\n        o Send systemStatus.ExternalErrorStatus to True
SYS-RA-VF551_V2-250	VF551_V2_PHDCC27_VF_894	1	0	7	(a) NO-OP	—	1.13.2.1.2 \nID 2.0 Description	1.13.2.1.2 _x000D_\nID 2.0 Description
SYS-RA-VF551_V2-251	VF551_V2_PHDCC27_VF_1579	3	0	21	(a) NO-OP	—	When Ignition is On AND Internal fail is no longer present the RVCM shall:\no Send systemStatus.InternalErrorStatus to False\no Send valid value for systemStatus.ZoomViewRes\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.	When Ignition is On AND Internal fail is no longer present the RVCM shall:_x000D_\no Send systemStatus.InternalErrorStatus to False_x000D_\no Send valid value for systemStatus.ZoomViewRes_x000D_\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.
SYS-RA-VF551_V2-252	VF551_V2_PHDCC27_VF_120	2	0	14	(a) NO-OP	—	When Ignition is On AND RVCM internal fail is present, the RVCM shall:\n        o Send the systemStatus.InternalErrorStatus to True\n        o Send systemStatus.ZoomViewRes = SNA	When Ignition is On AND RVCM internal fail is present, the RVCM shall:_x000D_\n        o Send the systemStatus.InternalErrorStatus to True_x000D_\n        o Send systemStatus.ZoomViewRes = SNA
SYS-RA-VF551_V2-253	VF551_V2_PHDCC27_VF_119	1	0	8	(a) NO-OP	—	1.13.2.1.1 \nID 1.0 Description	1.13.2.1.1 _x000D_\nID 1.0 Description 
SYS-RA-VF551_V2-261	VF551_V2_PHDCC27_VF_1815	1	0	7	(a) NO-OP	—	ETM\nLTM	ETM_x000D_\nLTM
SYS-RA-VF551_V2-262	VF551_V2_PHDCC27_VF_1814	1	0	7	(a) NO-OP	—	ETM\nLTM	ETM_x000D_\nLTM
SYS-RA-VF551_V2-269	VF551_V2_PHDCC27_VF_891	1	0	7	(a) NO-OP	—	ETM\nLTM	ETM_x000D_\nLTM
SYS-RA-VF551_V2-270	VF551_V2_PHDCC27_VF_890	1	0	7	(a) NO-OP	—	ETM\nLTM	ETM_x000D_\nLTM
SYS-RA-VF551_V2-277	VF551_V2_PHDCC27_VF_883	1	0	7	(a) NO-OP	—	ETM\nLTM	ETM_x000D_\nLTM
SYS-RA-VF551_V2-278	VF551_V2_PHDCC27_VF_882	1	0	7	(a) NO-OP	—	ETM\nLTM	ETM_x000D_\nLTM
SYS-RA-VF551_V2-285	VF551_V2_PHDCC27_VF_859	1	0	7	(a) NO-OP	—	ETM\nLTM	ETM_x000D_\nLTM
SYS-RA-VF551_V2-286	VF551_V2_PHDCC27_VF_858	1	0	7	(a) NO-OP	—	ETM\nLTM	ETM_x000D_\nLTM
SYS-RA-VF551_V2-293	VF551_V2_PHDCC27_VF_851	1	0	7	(a) NO-OP	—	ETM\nLTM	ETM_x000D_\nLTM
SYS-RA-VF551_V2-294	VF551_V2_PHDCC27_VF_850	1	0	7	(a) NO-OP	—	ETM\nLTM	ETM_x000D_\nLTM
SYS-RA-VF551_V2-301	VF551_V2_PHDCC27_VF_843	1	0	7	(a) NO-OP	—	ETM\nLTM	ETM_x000D_\nLTM
SYS-RA-VF551_V2-302	VF551_V2_PHDCC27_VF_842	1	0	7	(a) NO-OP	—	ETM\nLTM	ETM_x000D_\nLTM
SYS-RA-VF551_V2-437	VF551_V2_PHDCC27_VF_273	3	0	21	(a) NO-OP	—	E = Enabled with LogisticsMode ON\nD = Disabled with LogisticsMode ON\n-  = No Changes in normal functionality\nM = Modified with LogisticsModeON	E = Enabled with LogisticsMode ON_x000D_\nD = Disabled with LogisticsMode ON_x000D_\n-  = No Changes in normal functionality_x000D_\nM = Modified with LogisticsModeON
SYS-RA-VF551_V2-481	VF551_V2_PHDCC27_VF_1667	1	0	7	(a) NO-OP	—	1.10.2.5.1 \n· HU Dynamic Gridlines request:	1.10.2.5.1 _x000D_\n· HU Dynamic Gridlines request:
SYS-RA-VF551_V2-485	VF551_V2_PHDCC27_VF_595	7	0	49	(a) NO-OP	NR1L-RVC-130	· When all of the following conditions hold true:\n- RVC display active on the Radio vehicleUpdate_1.TGW_CAMERA_DISP_STAT = DISP_DIGITAL_RVC_CAMERA\n- Vehicle speed above c_VEHSPD_MAX BRAKE_FD_2.VehicleSpeedVSOSig >= c_VEHSPD_MAX\n- for each value of systemStatus.ZoomViewRes.\n\nthe Head Unit shall:\n- grayout Zoom Soft Button\n- send vehicleUpdate_2.ZoomViewReq = Not_Pressed	· When all of the following conditions hold true:_x000D_\n- RVC display active on the Radio vehicleUpdate_1.TGW_CAMERA_DISP_STAT = DISP_DIGITAL_RVC_CAMERA_x000D_\n- Vehicle speed above c_VEHSPD_MAX BRAKE_FD_2.VehicleSpeedVSOSig >= c_VEHSPD_MAX_x000D_\n- for each value of systemStatus.ZoomViewRes._x000D_\n_x000D_\nthe Head Unit shall:_x000D_\n- grayout Zoom Soft Button_x000D_\n- send vehicleUpdate_2.ZoomViewReq = Not_Pressed
SYS-RA-VF551_V2-488	VF551_V2_PHDCC27_VF_484	5	0	35	(a) NO-OP	NR1L-RVC-011	· When all of the following conditions hold True:\n- BCM_FD_10.CmdIgnSts = RUN\n- RVC image active\n- Shift Lever changes to Reverse ShiftLeverPosition = R > Reverse_Deb\n\nthe Head Unit shall continue to display RVC image and switch to the Automatic Display mode.	· When all of the following conditions hold True:_x000D_\n- BCM_FD_10.CmdIgnSts = RUN_x000D_\n- RVC image active_x000D_\n- Shift Lever changes to Reverse ShiftLeverPosition = R > Reverse_Deb_x000D_\n_x000D_\nthe Head Unit shall continue to display RVC image and switch to the Automatic Display mode.
SYS-RA-VF551_V2-508	VF551_V2_PHDCC27_VF_1683	3	0	21	(a) NO-OP	—	The Head Unit shall transition to Head Unit Audio Mode Off mode if each of the conditions is met:\n1. Audio System Power button is pressed\n2. Head Unit Audio Mode is ON\n3. Rear camera image is active	The Head Unit shall transition to Head Unit Audio Mode Off mode if each of the conditions is met:_x000D_\n1. Audio System Power button is pressed_x000D_\n2. Head Unit Audio Mode is ON_x000D_\n3. Rear camera image is active
SYS-RA-VF551_V2-519	VF551_V2_PHDCC27_VF_1574	2	0	14	(a) NO-OP	NR1L-RVC-080	When none of the camera views are displayed on the Radio, then the head unit shall transmit following signals:\n- TELEMATIC_FD_14.TGW_CAMERA_DISP_STAT = DISP_NON_CAMERA\n- vehicleUpdate_1.TGW_CAMERA_DISP_STAT = DISP_NON_CAMERA.	When none of the camera views are displayed on the Radio, then the head unit shall transmit following signals:_x000D_\n- TELEMATIC_FD_14.TGW_CAMERA_DISP_STAT = DISP_NON_CAMERA_x000D_\n- vehicleUpdate_1.TGW_CAMERA_DISP_STAT = DISP_NON_CAMERA.
