swe_id	kind	sys1_book	section	spec_reference	verbatim_source_pid	verbatim_section	tc_id	axis	vehicle_model_1	proxi_premise	hop_or_trigger	pending	design_method	priority	note
SWE1-RVC-130	leaf	HeadUnitCameraSystems	34.1.2.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.1.2.1	NRL-188157	34.1.2.1	NR1L-RVCHMI-082	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	AUX Cameras icons exist in the camera views on R1 Low	—	功能測試 (Functional based ; no specific technique)	P2	
SWE1-RVC-131	leaf	HeadUnitCameraSystems	34.1.3.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.1.3.1	NRL-188159	34.1.3.1	NR1L-RVCHMI-083	none	HDCC27;DT27;637;2261;376	—	the AUX cam is always a selectable field on R1 Low	—	功能測試 (Functional based ; no specific technique)	P1	
SWE1-RVC-132	leaf	HeadUnitCameraSystems	34.1.4.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.1.4.1	NRL-188161	34.1.4.1	NR1L-RVCHMI-084	none	HDCC27;DT27;637;2261;376	—	camera personalization settings are grouped under the Camera	—	功能測試 (Functional based ; no specific technique)	P2	
SWE1-RVC-133	leaf	HeadUnitCameraSystems	34.1.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.1.5.1	NRL-188163	34.1.5.1	NR1L-RVCHMI-085	PROXI 配備	HDCC27;DT27	Rear_View_Camera = 1 (Present);Digital_CHMSL_Camera_Prsnt = 1 (Present)	the R1 Low camera feature set is RearView Camera Cargo Camer	—	決策表 (Decision Table Testing)	P2	
SWE1-RVC-134	leaf	HeadUnitCameraSystems	34.3.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.3.2	NRL-188167	34.3.2	NR1L-RVCHMI-086	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	the X control is not present when the view is entered by shi	—	負向測試 (Negative / Invalid)	P1	
SWE1-RVC-135	leaf	HeadUnitCameraSystems	34.4.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.4.1	NRL-188169	34.4.1	NR1L-RVCHMI-087	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 0 (Absent);Digital_CHMSL_Camera_Prsnt = 1 (Present)	a CHMSL camera only configuration is not offered	—	負向測試 (Negative / Invalid)	P2	
SWE1-RVC-136	leaf	HeadUnitCameraSystems	34.4.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.4.2	NRL-188170	34.4.2	—	none	—	—	—	—	—	—	零 TC —— 與 §34.3.2（`NR1L-RVCHMI-086`）逐字全等且父題全等（原始格亦全等），委派該列（R-CAM16）
SWE1-RVC-137	leaf	HeadUnitCameraSystems	34.4.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.4.3	NRL-188171	34.4.3	NR1L-RVCHMI-088	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	the AUX Cam button always lands on the Aux 1 screen	—	功能測試 (Functional based ; no specific technique)	P1	
SWE1-RVC-138	leaf	HeadUnitCameraSystems	34.6	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.6	NRL-188173	34.6	NR1L-RVCHMI-089	PROXI 配備	HDCC27;DT27	Rear_View_Camera = 1 (Present);Digital_CHMSL_Camera_Prsnt = 1 (Present)	AUX cameras are accessible from the back-up and the cargo ca	—	功能測試 (Functional based ; no specific technique)	P2	
SWE1-RVC-139	leaf	HeadUnitCameraSystems	34.6.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.6.1	NRL-188174	34.6.1	—	none	—	—	—	—	—	—	零 TC —— 與 §34.4.1（`NR1L-RVCHMI-087`）逐字全等，委派該列（R-CAM10(b) 最小者承接）
SWE1-RVC-140	leaf	HeadUnitCameraSystems	34.6.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.6.2	NRL-188175	34.6.2	NR1L-RVCHMI-090	PROXI 配備	HDCC27;DT27	Rear_View_Camera = 1 (Present);Digital_CHMSL_Camera_Prsnt = 1 (Present)	the X control is not present when the cargo configuration vi	—	負向測試 (Negative / Invalid)	P1	
SWE1-RVC-141	leaf	HeadUnitCameraSystems	34.6.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.6.3	NRL-188176	34.6.3	NR1L-RVCHMI-091	PROXI 配備	HDCC27;DT27	Rear_View_Camera = 1 (Present);Digital_CHMSL_Camera_Prsnt = 1 (Present)	the same AUX access behaviour applies when starting from the	—	功能測試 (Functional based ; no specific technique)	P2	
SWE1-RVC-142	leaf	HeadUnitCameraSystems	34.7.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.7.1	NRL-188178	34.7.1	NR1L-RVCHMI-092	PROXI 配備	HDCC27;DT27	Surround_View_Camera = 1 (Present)	DT and HDCC with SVC and camera app have no AUX access via t	DR-CAM-r	負向測試 (Negative / Invalid)	P2	
SWE1-RVC-143-01	leaf	HeadUnitCameraSystems	34.7.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.7.2	NRL-188179	34.7.2	NR1L-RVCHMI-093	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	the X control is not available in REVERSE except when it act	—	決策表 (Decision Table Testing)	P1	
SWE1-RVC-143-02	leaf	HeadUnitCameraSystems	34.7.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.7.2	NRL-188179	34.7.2	NR1L-RVCHMI-094	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	a camera image is always up while the vehicle is in REVERSE	—	狀態轉換 (State Transition Testing)	P1	
SWE1-RVC-144	leaf	HeadUnitCameraSystems	34.8.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.8.1	NRL-188181	34.8.1	NR1L-RVCHMI-095	none	HDCC27;DT27;637;2261;376	—	the AUX button always lands on the AUX 1 screen when cameras	—	功能測試 (Functional based ; no specific technique)	P1	
SWE1-RVC-145	leaf	HeadUnitCameraSystems	34.8.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.8.2	NRL-188182	34.8.2	NR1L-RVCHMI-096	none	HDCC27;DT27;637;2261;376	—	a blue camera system unavailable screen is displayed when th	—	負向測試 (Negative / Invalid)	P1	
SWE1-RVC-146	leaf	HeadUnitCameraSystems	34.8.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.8.3	NRL-188183	34.8.3	NR1L-RVCHMI-097	none	HDCC27;DT27;637;2261;376	—	AUX 2 can be selected from the unavailable screen when only 	—	決策表 (Decision Table Testing)	P1	
SWE1-RVC-147	leaf	HeadUnitCameraSystems	34.8.4	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.8.4	NRL-188184	34.8.4	NR1L-RVCHMI-098	PROXI 配備	HDCC27;DT27	Digital_CHMSL_Camera_Prsnt = 1 (Present)	the same not-connected behaviour applies when starting from 	—	功能測試 (Functional based ; no specific technique)	P2	
