swe_id	test_set	kind	sys1_book	section	spec_reference	title	verification_point	axis	est_tc	note
SWE1-RVC-023-03	Activation and Exit	leaf	RVC+PAM	7.5.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.5.3	"Manual dismiss via ""X"" soft control (PU0361)"	When the vehicle is shifted from REVERSE to PARK or DRIVE/NEUTRAL (AGSM) or ANY OTHER GEAR (manual gearshift);…	none	1	
SWE1-RVC-024	Activation and Exit	umbrella	RVC+PAM	8.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.1	X Exit Button Placement and Behavior in Non-Reverse Gear	—	—	0	UMBRELLA — covered by children
SWE1-RVC-024-01	Activation and Exit	leaf	RVC+PAM	8.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.1	X exit button placement in non-REVERSE	RVC1) In ANY OTHER GEAR different from REVERSE an “X” exit button will be placed in the upper-right corner of …	none	1	
SWE1-RVC-024-02	Activation and Exit	leaf	RVC+PAM	8.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.1	X exit button reverts to last known screen	RVC1) In ANY OTHER GEAR different from REVERSE an “X” exit button will be placed in the upper-right corner of …	none	1	
SWE1-RVC-025	Activation and Exit	umbrella	RVC+PAM	8.1.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.1.1	"RVC Feed Persistence and ""X"" Unavailability in Reverse"	—	—	0	UMBRELLA — covered by children
SWE1-RVC-025-01	Activation and Exit	leaf	RVC+PAM	8.1.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.1.1	RVC feed remains on while vehicle is in REVERSE	RVC1.1) RVC feed will not turn off as long as vehicle stays in REVERSE gear so the “X” button will not be avai…	none	1	
SWE1-RVC-025-02	Activation and Exit	leaf	RVC+PAM	8.1.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.1.1	X button unavailable while vehicle is in REVERSE	RVC1.1) RVC feed will not turn off as long as vehicle stays in REVERSE gear so the “X” button will not be avai…	none	1	
SWE1-RVC-026	Warning Banners	leaf	RVC+PAM	8.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.2	Check Entire Surroundings Banner Display Duration	RVC2) When the Head Unit (HU) transitions the display to any camera image, a message stating “Check Entire Sur…	none	1	互參 A 本 SWE-CAM-021／SWE-CAM-023
SWE1-RVC-027	Warning Banners	leaf	RVC+PAM	8.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.3	Banner Edge-Fade to Avoid Covering Buttons	RVC2.1) The banner will fade out towards the edges of the screen as to not cover any potential buttons on the …	PROXI 配備	1	互參 A 本 SWE-CAM-021／SWE-CAM-023
SWE1-RVC-028	Warning Banners	leaf	RVC+PAM	8.3.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.3.1	Banner Fade Behavior Applied to All Camera Messages	RVC2.2) The fade out banner will apply to any message/error that appears where “Check Entire Surroundings” app…	none	1	互參 A 本 SWE-CAM-021／SWE-CAM-023
SWE1-RVC-029	Warning Banners	leaf	RVC+PAM	8.3.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.3.2	Return to Last Known HU State on RVC Turn-Off	RVC2.3) When the Rear View Camera is turned off, the user is then returned to their last known HU state	none	1	
SWE1-RVC-030	Warning Banners	leaf	RVC+PAM	8.3.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.3.3	"No Camera Delay When ""X"" Cannot Be Shown in Drive"	RVC2.4) If the system technological constraints prevent the camera from displaying the “X” exit button on the …	none	1	
SWE1-RVC-031	Warning Banners	umbrella	RVC+PAM	8.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.4	Camera-Overlay Visual Specification (Color and Transparency)	—	—	0	UMBRELLA — covered by children
SWE1-RVC-031-01	Warning Banners	leaf	RVC+PAM	8.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.4	X button and banner color/contrast	RVC3) The “X” exit button and any banners (check entire surroundings) will be white with a background to provi…	none	1	
SWE1-RVC-031-02	Warning Banners	leaf	RVC+PAM	8.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.4	Overlay transparency at 60% (+/-5%)	RVC3) The “X” exit button and any banners (check entire surroundings) will be white with a background to provi…	none	1	
SWE1-RVC-032	Warning Banners	leaf	RVC+PAM	8.4.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.4.1	Overlay Execution Only When No Other Layout Fits	RVC3.1) The message/button overlaid execution should only be performed when there is no other option to fit ev…	none	1	
SWE1-RVC-033	Activation and Exit	leaf	RVC+PAM	8.6	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.6	RVC Display While Radio is Off	RVC5) When the radio is turned off/screen is off, the rear view camera shall still be displayed when rear view…	none	1	
SWE1-RVC-034	Activation and Exit	leaf	RVC+PAM	8.7	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.7	No Camera Display in Accessory Ignition Mode	RVC6) When the vehicle is in accessory mode, the image shall not be displayed. RVC is an ignition fed module a…	none	1	
SWE1-RVC-035	PAM Integration	leaf	RVC+PAM	8.8	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.8	PAM Graphic Sourced from PDO Graphical Releases	RVC7) The PAM graphic will be based on the current vehicle and be provided on PDO graphical releases.	none	1	
SWE1-RVC-036	Warning Banners	leaf	RVC+PAM	9.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_9.2	Error-Banner Sequence for Camera Diagnostic Events	RVCF2) Display “Check Entire Surroundings” for 5 seconds for the following events, then display “Camera System…	none	1	互參 A 本 SWE-CAM-025
SWE1-RVC-037	Warning Banners	leaf	RVC+PAM	9.2.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_9.2.1	"Display ""Camera System Unavailable"" for Camera Feed Faults"	RVCF2.1) Display “Camera System Unavailable” error message screen for any event that prevents the camera feed …	none	1	
SWE1-RVC-038	Warning Banners	leaf	RVC+PAM	9.2.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_9.2.2	"Display ""Camera System Unavailable"" for Blue-Screen Conditions"	RVCF2.2) Display “Camera System Unavailable” message for any event which creates a blue screen condition	none	1	
SWE1-RVC-039	Warning Banners	leaf	RVC+PAM	9.2.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_9.2.3	"Display ""Camera Out of Position"" for Camera Misalignment Events"	RVCF2.3) Display “Camera Out of Position” message for any event related to other diagnosable events which plac…	none	1	互參 A 本 SWE-CAM-025
SWE1-RVC-040	PAM Integration	leaf	RVC+PAM	11.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_11.1	PAM Visualization Adapts to Vehicle Proxy Configuration	PAM Visualization graphics are feature dependent and should adapt based on vehicle proxy configuration: (image…	none	1	
SWE1-RVC-041	Activation and Exit	leaf	HeadUnitCameraSystems	6.1.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.1.2	"Camera Delay Option Disabled When ""X"" Cannot Be Shown"	If the system technological constraints prevent the camera from displaying the “X” exit button on the camera i…	none	1	
SWE1-RVC-042	Activation and Exit	leaf	HeadUnitCameraSystems	6.1.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.1.3	Camera Feed Unavailable in OFF and ACC Ignition States	Camera feed not available in OFF and ACC ignition states	none	1	
SWE1-RVC-043	Activation and Exit	leaf	HeadUnitCameraSystems	6.1.5	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.1.5	RVC is Non-Persistent When Enhanced Camera App is Equipped	Rear view camera is a non-persistent camera view When equipped with “Enhanced Camera App” feature	PROXI 配備	1	
SWE1-RVC-044	Activation and Exit	leaf	HeadUnitCameraSystems	6.1.6	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.1.6	RVC Follows General Camera Activation/Deactivation Strategy	Rear view camera follows general camera activation and deactivation strategies	none	1	
SWE1-RVC-045	Camera Settings	leaf	HeadUnitCameraSystems	6.2.2.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.2.2.1	Rear View Camera Delay Setting (Default OFF)	Rear View Camera Delay (on/off) – maintain camera image after shifting out of REVERSE for up to 10 sec or unti…	none	1	互參 A 本 SWE-CAM-015／SWE-CAM-018
SWE1-RVC-046	Camera Settings	leaf	HeadUnitCameraSystems	6.2.2.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.2.2.2	Rear View Camera Active Guidelines Setting (Default ON)	Rear View Camera Active Guidelines (on/off) – provides the user with the option to toggle between having dynam…	none	1	
SWE1-RVC-047	Camera Settings	umbrella	HeadUnitCameraSystems	6.2.2.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.2.2.3	Rear View Camera Fixed Guidelines Setting and Mutual Exclusivity	—	—	0	UMBRELLA — covered by children
SWE1-RVC-047-01	Camera Settings	leaf	HeadUnitCameraSystems	6.2.2.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.2.2.3	Fixed Guidelines on/off toggle with default OFF	Rear View Camera Fixed Guidelines (on/off) – provides the user with the option to toggle between having fixed …	none	1	
SWE1-RVC-047-02	Camera Settings	leaf	HeadUnitCameraSystems	6.2.2.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.2.2.3	Mutual exclusivity with Active Guidelines	Rear View Camera Fixed Guidelines (on/off) – provides the user with the option to toggle between having fixed …	none	1	
SWE1-RVC-048	Activation and Exit	umbrella	HeadUnitCameraSystems	6.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.5.1	Manual RVC Activation Entry Points (Controls / Apps Drawer / Camera App)	—	—	0	UMBRELLA — covered by children
SWE1-RVC-048-01	Activation and Exit	leaf	HeadUnitCameraSystems	6.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.5.1	Activate RVC from controls page	The Rear View Camera can be manually activated via the controls page, apps drawer, or camera app	none	1	
SWE1-RVC-048-02	Activation and Exit	leaf	HeadUnitCameraSystems	6.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.5.1	Activate RVC from apps drawer	The Rear View Camera can be manually activated via the controls page, apps drawer, or camera app	none	1	
SWE1-RVC-048-03	Activation and Exit	leaf	HeadUnitCameraSystems	6.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.5.1	Activate RVC from camera app	The Rear View Camera can be manually activated via the controls page, apps drawer, or camera app	none	1	
SWE1-RVC-049	Activation and Exit	leaf	HeadUnitCameraSystems	6.5.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.5.2	RVC Soft Control in View Corner for TRG / CHMSL / FFCTL Configurations	When not equipped with Vehicle Surround View and equipped with any of the following; TRG, CHMSL/Cargo, and/or …	PROXI 配備	1	
SWE1-RVC-050	Activation and Exit	leaf	HeadUnitCameraSystems	6.5.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.5.3	RVC Not Accessible on Controls Page When Camera App is Present	If the camera app is present, the Rear View Camera will not be accessible on the controls page_x000D_ (image: …	PROXI 配備	1	互參 A 本 SWE-CAM-016
SWE1-RVC-051	Activation and Exit	umbrella	HeadUnitCameraSystems	6.7.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.7.1	Enhanced Camera App Rear View Access and Controls (Umbrella)	—	—	0	UMBRELLA — covered by children
SWE1-RVC-051-01	Activation and Exit	leaf	HeadUnitCameraSystems	6.7.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.7.1	Access rear view via Controls page	When not equipped with a camera app but equipped with “enhanced camera app” the rear view can be accessed via …	PROXI 配備	1	
SWE1-RVC-051-02	Activation and Exit	leaf	HeadUnitCameraSystems	6.7.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.7.1	Access rear view via Apps Drawer	When not equipped with a camera app but equipped with “enhanced camera app” the rear view can be accessed via …	PROXI 配備	1	
SWE1-RVC-051-03	Activation and Exit	leaf	HeadUnitCameraSystems	6.7.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.7.1	Display SVC bar in rear view	When not equipped with a camera app but equipped with “enhanced camera app” the rear view can be accessed via …	PROXI 配備	1	
SWE1-RVC-051-04	Activation and Exit	leaf	HeadUnitCameraSystems	6.7.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.7.1	Limit X exit control to P/N/D	When not equipped with a camera app but equipped with “enhanced camera app” the rear view can be accessed via …	PROXI 配備	1	
SWE1-RVC-052	Activation and Exit	leaf	HeadUnitCameraSystems	6.10.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_6.10.1	Camera View Soft Controls for Equipped Camera Features	When equipped, the following camera features will have access via a soft control in the corner of each of the …	PROXI 配備	1	
SWE1-RVC-053	AUX Camera Access	leaf	HeadUnitCameraSystems	27.1.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_27.1.1	Wired/Wireless AUX Cameras are Non-Persistent with Enhanced Camera App	When “Enhanced Camera App” Feature is present, wired and wireless Auxiliary cameras are non-persistent, latchi…	PROXI 配備	1	互參 A 本 SWE-CAM-024
SWE1-RVC-054	AUX Camera Access	leaf	HeadUnitCameraSystems	27.1.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_27.1.2	AUX Camera Features Follow General Activation/Deactivation Strategy	Auxiliary Camera features will follow the general camera activation/deactivation strategies	none	1	互參 A 本 SWE-CAM-024
SWE1-RVC-055	AUX Camera Access	leaf	HeadUnitCameraSystems	27.1.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_27.1.3	Selected View Soft Control is Highlighted	Selected View soft control will be highlighted	none	1	互參 A 本 SWE-CAM-024
SWE1-RVC-056	AUX Camera Access	leaf	HeadUnitCameraSystems	27.1.4	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_27.1.4	Camera Feature Follows Core HU Lockout Conditions	Feature will follow core head unit logic and flow regarding lockout conditions	none	1	
SWE1-RVC-057	AUX Camera Access	leaf	HeadUnitCameraSystems	27.1.5	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_27.1.5	Wireless AUX Limited to Four MOPAR Cameras via WiFi	Wireless Aux Feature functionality will be limited to four (4) wireless MOPAR-provided cameras, connected via …	none	1	
SWE1-RVC-058	AUX Camera Access	leaf	HeadUnitCameraSystems	27.1.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_27.1.5.1	Wireless AUX Authentication via QR-Code Token	The authentication method is via token pass through QR code.	none	1	
SWE1-RVC-059	AUX Camera Access	leaf	HeadUnitCameraSystems	27.2.1.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_27.2.1.1	Second-Surface AUX Cam Controls within Back-Up and CHMSL Views	Second surface (AUX Cam controls within camera view – back up and CHMSL)	none	1	互參 A 本 SWE-CAM-024
SWE1-RVC-060	AUX Camera Access	leaf	HeadUnitCameraSystems	27.2.2.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_27.2.2.1	AUX Cameras Icons Present in Camera Views	Icons will exist for “AUX Cameras” in the camera views	none	1	互參 A 本 SWE-CAM-024
SWE1-RVC-061	AUX Camera Access	leaf	HeadUnitCameraSystems	27.2.3.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_27.2.3.1	Wired AUX Camera is Always a Selectable Option	Wired AUX cam will always be a selectable field	none	1	互參 A 本 SWE-CAM-024
SWE1-RVC-062	AUX Camera Access	leaf	HeadUnitCameraSystems	27.2.3.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th, 2023)_27.2.3.2	"Wireless AUX ""AUX Cameras"" Button Greyed When Unavailable"	Wireless AUX Cams “AUX Cameras” button will be greyed out when wireless cameras are not available	none	1	互參 A 本 SWE-CAM-024
