swe_id	sub_cat	source_id	src_total	src_resolved	books	vf_chapters	title
SWE-CAM-011	NCD HAL	VF551_V2, VF551_V3, VF551_V42	30	30	VF551_V2,VF551_V3,VF551_V42	1.10.2,1.10.2.4,1.10.3.2,1.11.2.1,1.13.1	Message: vehicleUpdate_2
SWE-CAM-012	NCD HAL	VF551_V2, VF551_V3, VF551_V42	6	6	VF551_V2,VF551_V3,VF551_V42	1.10.2,1.11.1.2,1.14.1	Message: PowerShutDownNotifcation
SWE-CAM-013	NCD HAL	VF551_V42	3	3	VF551_V42	1.13.2.1.2.0.4,1.13.2.1.2.0.5	Message: diagnosticRequest / Response
SWE-CAM-014	NormalCameraDaemon	VF551_V2, VF551_V3, VF551_V42	6	6	VF551_V2,VF551_V3,VF551_V42	1.10.2,1.11.1.2,1.14.1	RVCM Power Notification Control
SWE-CAM-015	NormalCameraDaemon	VF551_V2, VF551_V3, VF551_V33, VF551_V4, VF551_V42, VF617_V5	42	31	VF551_V2,VF551_V3,VF551_V33,VF551_V4,VF551_V42	1.10.2.1,1.10.2.2,1.10.2.3,1.11.1.2,1.11.1.2.0.2.2,1.11.1.2.0.5,1.11.1.2.1,1.11.1.2.2,1.13.2,1.13.2.1.1,1.13.2.1.2,1.13.2.1.3,1.13.2.2.5	Camera Auto Mode Arbitration Logic
SWE-CAM-016	NormalCamera App	CFTS092, VF551_V2, VF551_V3, VF551_V4, VF551_V42, VF617_V5	72	56	CFTS092,VF551_V2,VF551_V3,VF551_V4,VF551_V42	1.10.2,1.10.2.1,1.10.2.3,1.10.2.4,1.11.1.2.0.3,1.11.1.2.0.5,1.13.2,1.13.2.1.5,1.13.2.1.7,1.13.2.1.9,1.13.2.2.4,1.13.2.2.5,1.14.1	Camera Manual Mode Arbitration Logic
SWE-CAM-017	NormalCameraDaemon	CFTS092, VF551_V2, VF551_V3	6	6	CFTS092,VF551_V2,VF551_V3	1.10.1.1,1.14.1	Camera State Signaling
SWE-CAM-018	NormalCameraDaemon	CFTS092, VF551_V2, VF551_V33, VF551_V42, VF617_V5	35	25	CFTS092,VF551_V2,VF551_V33,VF551_V42	1.10.2,1.11.1.2.0.2,1.11.1.2.0.2.2,1.11.1.2.0.3.2,1.11.1.2.0.5,1.11.1.2.2,1.13.2,1.13.2.1,1.13.2.1.1,1.13.2.1.2,1.13.2.1.3,1.14.1	Display Exit Conditions and Speed Thresholds
SWE-CAM-019	NormalCameraApp, NormalCameraDaemon	VF551_V33	3	3	VF551_V33	1.11.1.2.1,1.11.1.2.2	FMVSS 111 Safety Control
SWE-CAM-020	NormalCameraDaemon	VF551_V33	1	1	VF551_V33	1.11.1.2	Bed Extender Interlock - Image Suppression
SWE-CAM-021	NormalCamera App	VF551_V2, VF551_V3, VF551_V4, VF617_V5	21	17	VF551_V2,VF551_V3,VF551_V4	1.10.2.1,1.13.2.1.4,1.13.2.1.5,1.13.2.1.6,1.13.2.1.7,1.13.2.1.8,1.13.2.2.1,1.13.2.2.3	Camera HMI Display and Interrupt Logic
SWE-CAM-022	NormalCamera App	VF551_V2, VF551_V4	14	14	VF551_V2,VF551_V4	1.13.2.1.1,1.13.2.1.4,1.13.2.1.5,1.13.2.1.6,1.13.2.1.7,1.13.2.2.2	Camera Display Fallback & Update Logic
SWE-CAM-023	NormalCamera App	VF551_V2, VF551_V3, VF551_V42, VF617_V5	79	32	VF551_V2,VF551_V3,VF551_V42	1.10.1.1,1.10.1.5,1.10.2.1,1.11.1.2.0.2.1,1.11.1.2.0.3.1,1.11.1.2.0.5,1.13.1,1.13.2.2.2,1.13.2.2.3,1.13.2.2.4,1.13.2.2.5,1.14.1	Camera HMI and Overlays
SWE-CAM-024	NormalCamera App	VF617_V5	12	0			AUX Camera HMI Switching and Timers
SWE-CAM-025	NormalCamera App	VF551_V33	1	1	VF551_V33	1.11.1.2	Bed Extender Interlock - Warning Overlay
