# CAM-29 §2　RD 對帳 PARTIAL 中「含來源所載之點」53 列（64 點）之全案 465 列重判（不限同錨；含 B 本）
# verdict：COVERED-BY／TRUE-GAP（須於 SYS2 Description 逐字定位，evidence 為該片段）／NOT-IN-SOURCE（重判時定位不到 → RD 自加）；`internal-only`＝只涉內部訊號
sys_ra_id	point_no	missing_point	verdict	tc_ids	evidence	test_set_candidate	axis|est_tc
SYS-RA-VF551_V2-448	1	for all defined states and ranges	NOT-IN-SOURCE	—	RD-added: source only "gate PROXI Steering_Ratio_Rack_Pinion_Type to LVDS vehicleUpdate_2.VC_Steering_Cfactor"; partially exercised by RVC-164/165/166 ("15.5" -> Type_1, "not 15.5" -> not Type_1)	—	—
SYS-RA-VF551_V2-452	1	continue to transmit LVDS vehicleUpdate_2.ASCM_Stat = [SNA] as long as the ASCM_FD_2.ASCM_Stat signal remains missing	NOT-IN-SOURCE	—	RD-added: source "sends LVDS vehicleUpdate_2.ASCM_Stat= SNA when FD-CAN8 ASCM_FD_2.ASCM_Stat is missing" has no continuous/as-long-as clause; SNA-on-missing covered by RVC-161	—	—
SYS-RA-VF551_V2-456	1	correctly evaluate the condition: Hybrid_Type != "Range Electric Paradigm Breaker" AND Hybrid_Type != "Fuel Cell Electric Vehicle"	TRUE-GAP	—	source: "when FD-CAN8 TRANSM_FD_4.ShiftLeverPosition is missing and Hybrid_Type != "Range Electric Paradigm Breaker" OR "Fuel Cell Electric Vehicle"" - RVC-157 has no Hybrid_Type precondition; REPB/FCEV exclusion untested (RVC-111 sets Hybrid_Type only for the display path)	LVDS Messaging	vehicle|2
SYS-RA-VF551_V2-457	1	correctly evaluate the condition: Hybrid_Type != "Range Electric Paradigm Breaker" AND Hybrid_Type != "Fuel Cell Electric Vehicle"	TRUE-GAP	—	source: "gate FD-CAN8 TRANSM_FD_4.ShiftLeverPosition to LVDS vehicleUpdate_2.ShiftLeverPosition when Hybrid_Type != "Range Electric Paradigm Breaker" OR "Fuel Cell Electric Vehicle"" - RVC-156 has no Hybrid_Type precondition; REPB/FCEV exclusion untested	LVDS Messaging	vehicle|2
SYS-RA-VF551_V2-459	1	precise adherence to any defined scaling factors, unit conversions, and sign conventions (e.g., degrees, radians, direction)	NOT-IN-SOURCE	—	RD-added: source only "gate FD-CAN8 STEERING1.LwsAngle_SCCM to LVDS vehicleUpdate_2.LwsAngle"; no scaling/sign convention stated	—	—
SYS-RA-VF551_V2-461	1	at all valid input ranges, considering any specified scaling or conversion factors	NOT-IN-SOURCE	—	RD-added: source only "gate FD-CAN8 BRAKE_FD_2.VehicleSpeedVSOSig to LVDS vehicleUpdate_2.VehicleSpeedVSOSig"; no range/scaling stated (RVC-150/167 test one value)	—	—
SYS-RA-VF551_V2-477	1	under any operating condition, including power-up, normal operation, error conditions, mode changes, and power-down sequences	TRUE-GAP	—	source: "The HU shall never send gridZoomRequest.DynamicGridRQSts = [SNA] to RVCM." - RVC-120/127 record only in Full-Operation ("gridZoomRequest.DynamicGridRQSts is never sent as SNA in the whole recording"); power-up / power-down not recorded (enumerated conditions are RD wording)	Startup and Shutdown	none|1
SYS-RA-VF551_V2-485	1	c. each value of systemStatus.ZoomViewRes	TRUE-GAP	—	source: "for each value of systemStatus.ZoomViewRes." - RVC-130 does not set ZoomViewRes; RVC-131/132/133 set 1X/4X/SNA only at 205 (below threshold)	LVDS Messaging	none|3
SYS-RA-VF551_V2-488	1	wait for reverse debounce time (Reverse_Deb = 750 ms)	TRUE-GAP	—	source: "Shift Lever changes to Reverse ShiftLeverPosition = R > Reverse_Deb" (750 ms value is RD-added) - RVC-011 (from RVC image active) has no debounce hold; RVC-019/020 test Reverse_Deb only from no-image state	Display Arbitration	boundary|2
SYS-RA-VF551_V2-491	1	Precondition: Head Unit is in Manual Display mode	NOT-IN-SOURCE	—	RD-added: source only "When any of the preceding conditions occur, the Head Unit shall switch back to non-camera display operation."; Manual Display Mode precondition not stated (RVC-098 uses Automatic Display Mode)	—	—
SYS-RA-VF551_V2-491	2	IGN != RUN (BCM_FD_10.CmdIgnSts != RUN)	NOT-IN-SOURCE	—	RD-added: IGN != RUN not stated in this description ("preceding conditions" undefined here); behaviour exercised by NR1L-RVC-017 "CmdIgnSts = 3 (ACC) ... no longer displayed" and NR1L-RVCHMI-002	—	—
SYS-RA-VF551_V2-491	3	RVC image defeat button is pressed.	NOT-IN-SOURCE	—	RD-added: defeat button not stated in this description; behaviour exercised by NR1L-RVC-242 "RVC_ImageDefeat.Req = Pressed ... no longer displayed"	—	—
SYS-RA-VF551_V2-491	4	VehicleSpeed >= c_VEHSPD_MAX and last for 10 seconds (Ttimer2)	NOT-IN-SOURCE	—	RD-added: speed/Ttimer2 condition not stated in this description; behaviour exercised by NR1L-RVCHMI-033 (206, wait 10 s -> "no longer displayed")	—	—
SYS-RA-VF551_V2-497	1	The RVC image shall last for Ttimer1 (10 seconds)	COVERED-BY	NR1L-RVCHMI-034	RVCHMI-034 (B, all vehicles incl. HDCC27/DT27, delay On, shift to D): "Wait 10 seconds from the recorded timestamp" -> "The RVC+PAM layout remains displayed during the timeout ... is no longer displayed"; also RVCHMI-035 (9 s still shown / 11 s off)	—	—
SYS-RA-VF551_V2-504	1	App shall not interrupt the rear camera image display if Audio Mode is OFF. (anchored TC runs in Audio Mode ON)	NOT-IN-SOURCE	NR1L-RVC-217	Description ("The Head Unit shall not interrupt the rear camera image display.") names no Audio Mode; Audio Mode OFF belongs to sibling SYS-RA-VF551_V2-506, already verified by NR1L-RVC-217: "The HU is in Audio Mode OFF ... The rear view camera image is not interrupted"	—	—
SYS-RA-VF551_V2-511	1	when the head unit executes entertainment and non-entertainment features (TC only opens App Drawer; no entertainment feature executed)	TRUE-GAP	—	Source: "When the head unit executes entertainment and non-entertainment features, the Head Unit shall not interrupt the rear camera image display." NR1L-RVC-218 only opens App Drawer; NR1L-RVC-115/-219 only read "features are functional" without executing any feature	HMI Overlays	none|2
SYS-RA-VF551_V2-526	1	accurately reflect the current value of the IPC_VEHICLE_SETUP.LanguageSelection signal received by the Head Unit (TC changes language via HU Settings UI, signal not driven/checked)	TRUE-GAP	—	Source: "correspond to the Language signal, IPC_VEHICLE_SETUP.LanguageSelection". NR1L-RVC-233/-113 change language via Settings > Language UI only; no TC sends or reads IPC_VEHICLE_SETUP.LanguageSelection	HMI Overlays	none|1
SYS-RA-VF551_V2-528	1	(or is 'Open' upon camera activation)	NOT-IN-SOURCE	—	Description only states "when BCM_FD_9.RHatchSts = Open"; the hatch-already-Open-at-camera-activation scenario is an RD addition. Existing NR1L-RVC-049 covers the Closed->Open transition while image is displayed	—	—
SYS-RA-VF551_V2-531	1	for five seconds (TC reads within 5 s but does not verify 5 s display duration)	COVERED-BY	NR1L-RVCHMI-173	RVCHMI-173 (B, all vehicles incl. HDCC27/DT27): "Read the HU display 4 seconds after the recorded timestamp and check that the message is still shown / 6 seconds after ... no longer shown" for "Check Entire Surroundings"	—	—
SYS-RA-VF551_V2-533	1	if and only if ShiftLeverPosition is not R (e.g., P, N, D) (only D verified; P, N not verified; absence of [X] in R not verified)	COVERED-BY	NR1L-RVC-021;NR1L-RVC-005;NR1L-RVCHMI-041	D: RVC-021 "The X exit button is overlaid on the rear view camera image"; P: RVC-005 (shift lever in P) "displayed in Manual Display Mode with the X exit button overlaid"; R: RVCHMI-041 "No X button is shown on the camera image while the gear is R". N not named in source (source says only "!= R")	—	—
SYS-RA-VF551_V2-534	1	available (enabled and visible) state when BCM_FD_10.CmdIgnSts is exactly RUN	COVERED-BY	NR1L-RVC-023	RVC-023 (all vehicles, Full-Operation/RUN): "The Rear View Camera entry is shown in the available state and can be selected"	—	—
SYS-RA-VF551_V2-534	2	unavailable (greyed out or hidden) state when BCM_FD_10.CmdIgnSts is not RUN (e.g., OFF, ACC) (only ACC verified, OFF not)	TRUE-GAP	—	Source: "shall be in the available state only when BCM_FD_10.CmdIgnSts = RUN". Only ACC verified (NR1L-RVC-106/-024 "CmdIgnSts = 3 (ACC) ... not in the available state"); no TC checks soft key state at IGN_LK/OFF (RVCHMI-002 checks image, not soft key)	State Handling	boundary|1
SYS-RA-VF551_V2-538	1	transmit its value on the LVDS interface accurately, reflecting its internal state or the most current vehicle data (TC checks presence only, no values)	NOT-IN-SOURCE	—	Description only lists signals the HU "shall transmit ... on LVDS"; value accuracy is RD addition. Value gating is specified/verified under separate gate requirements (e.g. NR1L-RVC-154, -156, -158 "reports the same value and is sent over LVDS")	—	—
SYS-RA-VF551_V2-545	1	set APP_Menu_BACKUP.Req= Pressed (internal signal not checked; TC checks camera display only)	TRUE-GAP	—	internal-only. Source: "set internal Signal APP_Menu_BACKUP.Req= Pressed". No TC in corpus references APP_Menu_BACKUP (NR1L-RVC-005 checks camera display only)	Display Arbitration	none|1
SYS-RA-VF551_V2-549	1	set RVC_ImageDefeat.Req = Pressed (internal signal not checked; TC checks screen restore only)	COVERED-BY	NR1L-RVC-242;NR1L-RVC-205	internal-only. RVC-242 (all vehicles): "The RVC Image soft button registers the press and the HU sets RVC_ImageDefeat.Req = Pressed"; RVC-205 (637): "the internal RVC_ImageDefeat.Req becomes Pressed"	—	—
SYS-RA-VF551_V2-745	1	For every update of EPS_FD_1.LwsAngle (TC sends single value 0.0 deg)	NOT-IN-SOURCE	—	Description: "shall gate FD-CAN8 EPS_FD_1.LwsAngle to LVDS vehicleUpdate_2.LwsAngle" - no "every update"/multi-value requirement; RD addition. Gating itself verified by NR1L-RVC-154	—	—
SYS-RA-VF551_V2-747	1	When Hybrid_Type is set to a non-EV value (e.g., ICE) (Hybrid_Type not configured in TC)	TRUE-GAP	—	Source: "when Hybrid_Type != "Range Electric Paradigm Breaker" OR "Battery Electric Vehicle"". NR1L-RVC-158/-156 do not configure Hybrid_Type; NR1L-RVC-111 sets Hybrid_Type but checks display only, not LVDS	LVDS Messaging	none|1
SYS-RA-VF551_V2-747	2	every update of TRANSM_FD_4.ShiftLeverPosition (single value R only)	NOT-IN-SOURCE	—	Description: "shall gate FD-CAN8 TRANSM_FD_4.ShiftLeverPosition to LVDS vehicleUpdate_2.ShiftLeverPosition" - no "every update" requirement; RD addition	—	—
SYS-RA-VF551_V2-748	1	For ICE or HEV variants (Hybrid_Type not configured in TC)	TRUE-GAP	—	Source: "is missing and Hybrid_Type != "Range Electric Paradigm Breaker" OR "Battery Electric Vehicle"". NR1L-RVC-159 stops TRANSM_FD_4 but does not set Hybrid_Type; no SNA TC with Hybrid_Type configured	LVDS Messaging	none|1
SYS-RA-VF551_V3-206	1	Confirm the RVCM power line remains energized for the full Tpower period after ignition is locked	COVERED-BY	NR1L-RVC-072	RVC-072 (637/2261/376; Tpower = 5 s per its reasoning): "Hold for 5 s / Read the LVDS supply to the RVCM and check that it is still present" -> "The HU is still supplying power to the RVCM over LVDS"	—	—
SYS-RA-VF551_V3-251	1	The message must disappear exactly after 5 seconds if the view remains active	COVERED-BY	NR1L-RVCHMI-173	RVCHMI-173 (B, all vehicles incl. 637/2261/376): "still shown 4 seconds after the transition / no longer shown 6 seconds after the transition"	—	—
SYS-RA-VF551_V3-251	2	Font size must exceed 18 arc minutes based on the defined design viewing distance, complying with ISO 15008	TRUE-GAP	—	Source: "This warning text shall be in accordance with ISO font 15008 and sized greater than 18 arc minutes." Font TCs NR1L-RVC-112/-235/-236 are HDCC27/DT27 only; no V3-vehicle (637/2261/376) font/size TC	HMI Overlays	vehicle|1
SYS-RA-VF551_V3-252	1	Verify "Camera Not in Position" appears first for 5s	TRUE-GAP	—	Source: "displays the text, "Camera Not in Position" for five seconds ... followed by ''check entire surroundings''". NR1L-RVC-050 only reads "within 5 s" and "after the first text is removed"; the 5 s duration of "Camera Not in Position" is not timed (NR1L-RVC-051 asserts "for 5 s" but for 2261/STATUS_BH_BCM.RHatchSts, not STATUS_BH_BCM1)	Startup and Shutdown	boundary|1
SYS-RA-VF551_V3-252	2	using ISO 15008 font, with a visual size > 18 arc minutes	TRUE-GAP	—	Source: "This warning text shall be in accordance with ISO font 15008 and sized greater than 18 arc minutes." No font/size TC for "Camera Not in Position" nor for V3 vehicles (NR1L-RVC-112/-235/-236 are HDCC27/DT27, Check Entire Surroundings)	HMI Overlays	vehicle|1
SYS-RA-VF551_V3-253	1	Every language option available in the IPC must have a corresponding, accurate translation for all camera warning strings	TRUE-GAP	—	Source: "The warning text shall be available in all languages supported by the Head Unit". NR1L-RVC-234 selects only one other language and checks a single warning text	HMI Overlays	none|1
SYS-RA-VF551_V3-254	1	The final displayed image must maintain the aspect ratio defined in the PDO (e.g., 16:10) without unintended stretching or squeezing	COVERED-BY	NR1L-RVC-200	RVC-200 (637 only): "check that the rear view image fills the display without distortion" -> "The image is scaled to the display that PROXI Radio_Display_Type configures". Source only says "refer to HMI and PDO for the aspect ratio"; 2261/376 not covered	—	—
SYS-RA-VF551_V3-258	1	Rear_Camera_Enable.Info must be TRUE only when the RVC video frames are being rendered; it must be FALSE in all other HMI states	COVERED-BY	NR1L-RVC-089;NR1L-RVC-090	internal-only. RVC-090: "The HU reports its current display status as being displayed"; RVC-089: "The HU reports its current display status as not being displayed". "all other HMI states" is RD expansion	—	—
SYS-RA-VF551_V3-260	1	The system must NOT trigger the RVC display if the gear remains in REVERSE for a time shorter than Reverse_Deb	TRUE-GAP	—	Source: "Gear_Stat.info = [REVERSE] > Reverse_Deb". Negative case covered only for HDCC27/DT27 by NR1L-RVC-020 ("Hold for less than Reverse_Deb ... No camera image is displayed"); no V3-vehicle (637/2261/376) TC	Display Arbitration	vehicle|1
SYS-RA-VF551_V3-261	1	The image must exit immediately if: 1) Ign != RUN, 2) Speed >= c_VEHSPD_MAX, 3) Gear = Park, or 4) User presses the [X] button	COVERED-BY	NR1L-RVC-017;NR1L-RVC-018;NR1L-RVC-009;NR1L-RVC-030;NR1L-RVCHMI-037;NR1L-RVC-242	Ign: RVC-017 "CmdIgnSts = 3 (ACC) ... no longer displayed"; Park: RVC-018 "ShiftLeverPosition = 1 (P) ... no longer displayed"; Speed during delay: RVC-009 (376) / RVC-030 (637/2261) "no longer displayed"; [X] during delay: RVCHMI-037 "The camera image is turned off". Note 017/018 precondition is Automatic Display Mode, not explicitly the delay period	—	—
SYS-RA-VF551_V3-265	1	RVC must exit immediately if Ign != RUN, Gear = PARK, or the user presses [X]	TRUE-GAP	—	Source: "unless one of these conditions occur: STATUS_BH_BCM2.CmdIgnSts != [RUN] OR Shift Lever status change to "Park" from other gears". [X] in Manual mode covered (NR1L-RVC-028/-047), but no TC exits Manual Display Mode via Ign != RUN or D->P	Display Arbitration	none|2
SYS-RA-VF551_V3-265	2	If Speed >= c_VEHSPD_MAX, the view must remain for Ttimer2 seconds before closing	COVERED-BY	NR1L-RVCHMI-033	RVCHMI-033 (B, all vehicles): speed 206 (above threshold), manual activation, "Wait 10 seconds ... The RVC+PAM layout is no longer displayed". Caveat: Ttimer2 value not asserted as 10 s in corpus; no A-book TC times the Ttimer2 max-out	—	—
SYS-RA-VF551_V3-265	3	If Speed drops below c_VEHSPD_MAX before Ttimer2 expires, the timer must reset to zero and the view must remain active	COVERED-BY	NR1L-RVC-029	RVC-029 (all vehicles, Manual Display Mode): "VehicleSpeedVSOSig = 206 ... Ttimer2 starts / = 205 ... The rear view camera image stays displayed and Ttimer2 is reset to zero"	—	—
SYS-RA-VF551_V3-266	1	The RVC image must NOT flicker, blank, or restart when the gear shifts to Reverse while a manual RVC session is already active	COVERED-BY	NR1L-RVC-012	RVC-012 (637/2261/376, Manual -> R): "The rear view camera image stays displayed and the mode changes to Automatic Display Mode". Flicker/restart specifics are RD elaboration of "continue to display"	—	—
SYS-RA-VF551_V3-283	1	No valid or stale ReverseGearSts value shall be propagated over LVDS while the CAN signal is in a missing state	COVERED-BY	NR1L-RVC-174;NR1L-RVC-176	RVC-174 (376) / RVC-176 (637): "Stop transmitting STATUS_CCAN4 ... vehicleUpdate_2.ReverseGearSts = SNA is sent over LVDS" (no stale value propagated)	—	—
SYS-RA-VF551_V3-533	1	When the LVDS video signal is restored under Ignition ON working conditions, the Head Unit shall: Clear the corresponding DTC. Automatically recover and resume all related camera functionalities to normal operation.	TRUE-GAP	—	Source: "If in the "Ignition On" "Working Condition", and the Head Unit receives the LVDS Video Signal, the LTM must: o Clear the DTC. o All related functionalities shall revert back to normal operation conditions." Recovery covered only for HDCC27/DT27 (NR1L-RVC-198) and 637 (NR1L-RVC-212 "The DTC is set to not present ... all related functionalities operate normally"); none for 376 (anchor NR1L-RVC-199 is set-only)	Video Pipeline	vehicle|1
