swe_id	test_set	source_id	anchor	vf_chapter	verification_point	axis	tc_count	note
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V2-571	VF551_V2_PHDCC27_VF_1747	1.14.1		—	0	Out of Scope（R-CAM9）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V2-583	VF551_V2_PHDCC27_VF_1660	1.14.1		—	0	Out of Scope（R-CAM9）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V3-194	VF551_V3_P363_VF_426	1.10.1.5		—	0	Out of Scope（R-CAM9）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V3-195	VF551_V3_P363_VF_425	1.10.1.5		—	0	Out of Scope（R-CAM9）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V3-196	VF551_V3_P363_VF_424	1.10.1.5		—	0	Out of Scope（R-CAM9）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V3-527	VF551_V3_P363_VF_123	1.13.2.2.1		—	0	委派 SWE-CAM-004（R-CAM10）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V3-529	VF551_V3_P363_VF_926	1.13.2.2.2		—	0	委派 SWE-CAM-004（R-CAM10）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V3-531	VF551_V3_P363_VF_927	1.13.2.2.3		—	0	委派 SWE-CAM-004（R-CAM10）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V42-583	VF551_V42_P637MCA_VF_628	1.13.2.1.2.0.1		—	0	委派 SWE-CAM-004（R-CAM10）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V42-584	VF551_V42_P637MCA_VF_1993	1.13.2.1.2.0.1		—	0	委派 SWE-CAM-004（R-CAM10）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V42-586	VF551_V42_P637MCA_VF_617	1.13.2.1.2.0.2		—	0	委派 SWE-CAM-004（R-CAM10）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V42-587	VF551_V42_P637MCA_VF_1994	1.13.2.1.2.0.2		—	0	委派 SWE-CAM-004（R-CAM10）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V42-589	VF551_V42_P637MCA_VF_1088	1.13.2.1.2.0.3		—	0	委派 SWE-CAM-004（R-CAM10）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V42-590	VF551_V42_P637MCA_VF_1995	1.13.2.1.2.0.3		—	0	委派 SWE-CAM-004（R-CAM10）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V42-600	VF551_V42_P637MCA_VF_2251	1.13.2.1.2.0.7		—	0	委派 SWE-CAM-004（R-CAM10）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V42-601	VF551_V42_P637MCA_VF_2252	1.13.2.1.2.0.7		—	0	委派 SWE-CAM-004（R-CAM10）
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V2-443	VF551_V2_PHDCC27_VF_1924	1.13.1	gate PROXI Dual_Rear_Wheels_Present to VC_RR_DuallyPrsnt	車型 Atl-Hi	1	
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V2-444	VF551_V2_PHDCC27_VF_1232	1.13.1	gate PROXI Wheelbase to VC_WHL_BASE_LENGTH	車型 Atl-Hi	1	
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V2-445	VF551_V2_PHDCC27_VF_630	1.13.1	gate PROXI CAN node 27 (ASM/ASCM) to NetCfg_ASCM	車型 Atl-Hi	1	
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V2-446	VF551_V2_PHDCC27_VF_1922	1.13.1		—	0	委派 SWE-CAM-002（R-CAM10）
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V2-447	VF551_V2_PHDCC27_VF_1921	1.13.1		—	0	委派 SWE-CAM-002（R-CAM10）
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V2-484	VF551_V2_PHDCC27_VF_599	1.13.1		—	0	委派 SWE-CAM-002（R-CAM10）
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V2-519	VF551_V2_PHDCC27_VF_1574	1.13.2.1.10		—	0	委派 SWE-CAM-002（R-CAM10）
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V2-520	VF551_V2_PHDCC27_VF_1575	1.13.2.2		—	0	委派 SWE-CAM-002（R-CAM10）
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V2-578	VF551_V2_PHDCC27_VF_356	1.14.1		—	0	Out of Scope（R-CAM9）
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V2-580	VF551_V2_PHDCC27_VF_89	1.14.1		—	0	Out of Scope（R-CAM9）
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V2-582	VF551_V2_PHDCC27_VF_1661	1.14.1		—	0	Out of Scope（R-CAM9）
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V2-751	VF551_V2_PDT27_VF_629	1.10.3.2		—	0	委派 SWE-CAM-002（R-CAM10）
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V3-185	VF551_V3_P363_VF_89	1.10.1.1		—	0	Out of Scope（R-CAM9）
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V3-286	VF551_V3_P363_VF_1102	1.10.3.2	Wheelbase a) Invalid -> Not_Used / b) value -> Length_n	車型 376	2	
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V3-287	VF551_V3_P363_VF_629	1.10.3.2		—	0	委派 SWE-CAM-002（R-CAM10）
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V3-288	VF551_V3_P363_VF_1134	1.10.3.2	Gear_Box_Type a) != MTX -> Automatic / b) = MTX -> Manual	車型 376	2	
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V42-323	VF551_V42_P637MCA_VF_2203	1.11.2.1	VC_Trans_Equipped Automatic / Manual per Gear_Box_Type	車型 637	2	
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V42-326	VF551_V42_P637MCA_VF_2476	1.11.2.1	VC_WHL_BASE_LENGTH per Wheelbase enumeration	車型 637	2	73 token，須摘句；列舉多值，取 Invalid ＋ 一個有效值
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V42-322	VF551_V42_P637MCA_VF_1792	1.11.2.1		—	0	委派 SWE-CAM-002（R-CAM10）
SWE-CAM-010	LVDS Messaging	SYS-RA-VF551_V42-327	VF551_V42_P637MCA_VF_2024	1.11.2.1		—	0	委派 SWE-CAM-002（R-CAM10）
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V2-746	VF551_V2_PDT27_VF_1712	1.10.3.2	EPS_FD_1 missing -> LwsAngle = SNA (DT27)	車型 DT27	1	PDT27 anchor
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V3-282	VF551_V3_P363_VF_614	1.10.3.2	gate STATUS_CCAN5.ShiftLeverPosition ＋ a) SNA fallback	車型 376	2	
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V3-283	VF551_V3_P363_VF_613	1.10.3.2	gate STATUS_CCAN4.ReverseGearSts ＋ a) SNA fallback	車型 376	2	a) 子句之標的寫 `LVDS STATUS_CCAN4.ReverseGearSts`，疑似誤植，難點 C
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V2-453	VF551_V2_PHDCC27_VF_613	1.13.1	gate ASCM_FD_2.ASCM_Stat to vehicleUpdate_2.ASCM_Stat	車型 Atl-Hi	1	
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V2-456	VF551_V2_PHDCC27_VF_2036	1.13.1	TRANSM_FD_4 missing and not REPB/FCEV -> ShiftLeverPosition = SNA	車型 HDCC27	1	
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V3-280	VF551_V3_P363_VF_616	1.10.3.2	gate STATUS_CCAN3.VehicleSpeedVSOSig ＋ a) SNA fallback	車型 376	2	
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V2-747	VF551_V2_PDT27_VF_614	1.10.3.2	gate TRANSM_FD_4.ShiftLeverPosition (DT27, BEV 措辭)	車型 DT27	1	與 V2-457 之 hybrid 列舉不同（BEV vs FCEV），逐字相異故分列
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V42-314	VF551_V42_P637MCA_VF_2022	1.11.2.1	GE.LwsAngle missing -> LwsAngle = SNA (637)	車型 637	1	
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V2-748	VF551_V2_PDT27_VF_1713	1.10.3.2	TRANSM_FD_4 missing -> ShiftLeverPosition = SNA (DT27)	車型 DT27	1	
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V2-750	VF551_V2_PDT27_VF_1825	1.10.3.2	—	—	0	**不生成** —— 同上
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V2-458	VF551_V2_PHDCC27_VF_1884	1.13.1	STEERING1 missing -> LwsAngle = SNA	車型 HDCC27	1	
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V2-460	VF551_V2_PHDCC27_VF_1711	1.13.1	speed signal missing -> vehicleUpdate_2.VehicleSpeedVSOSig = SNA	車型 Atl-Hi	1	
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V42-312	VF551_V42_P637MCA_VF_2475	1.11.2.1	STATUS_CCAN3 missing -> VehicleSpeedVSOSig = SNA (637)	車型 637	1	
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V2-749	VF551_V2_PDT27_VF_1824	1.10.3.2	—	—	0	**不生成** —— hybrid 分支（A-CA15）
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V2-455	VF551_V2_PHDCC27_VF_2037	1.13.1	—	—	0	**不生成** —— hybrid 分支之 PT_SYSTEM_FD_1 不可注入（A-CA15）
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V2-442	VF551_V2_PHDCC27_VF_1925	1.13.1	gate PROXI PAM_Tuning_Set to vehicleUpdate_2.PAM_Tuning_Set	車型 Atl-Hi	1	
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V2-448	VF551_V2_PHDCC27_VF_624	1.13.1	gate PROXI Steering_Ratio_Rack_Pinion_Type to VC_Steering_Cfactor	車型 Atl-Hi	1	
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V42-317	VF551_V42_P637MCA_VF_2319	1.11.2.1	—	—	0	covered_by: V42-312 之 TC —— 逐字同句（V42 之另一節）
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V2-745	VF551_V2_PDT27_VF_615	1.10.2	gate EPS_FD_1.LwsAngle to vehicleUpdate_2.LwsAngle (DT27)	車型 DT27	1	PDT27 anchor
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V42-310	VF551_V42_P637MCA_VF_2298	1.11.2.1	ENGINE1 missing -> ReverseGearSts = SNA (637)	車型 637	1	
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V2-483	VF551_V2_PHDCC27_VF_1158	1.13.1	ZoomViewReq is never sent as SNA	車型 Atl-Hi	1	
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V2-454	VF551_V2_PHDCC27_VF_2038	1.13.1	—	—	0	**不生成** —— 同上（hybrid 分支之 SNA 側）
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V3-281	VF551_V3_P363_VF_615	1.10.3.2	gate STATUS_CCAN5.LWSAngle ＋ a) SNA fallback	車型 376	2	來源之 gating 標的疑似誤植（`to LVDS STATUS_CCAN5.LWSAngle`），難點 C
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V2-461	VF551_V2_PHDCC27_VF_616	1.13.1	gate BRAKE_FD_2.VehicleSpeedVSOSig to vehicleUpdate_2	車型 Atl-Hi	1	
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V2-452	VF551_V2_PHDCC27_VF_1714	1.13.1	ASCM_FD_2 missing -> ASCM_Stat = SNA	車型 Atl-Hi	1	
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V3-285	VF551_V3_P363_VF_624	1.10.3.2	VC_Steering_Cfactor a) Type_1 / b) other per PROXI	車型 376	2	
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V2-459	VF551_V2_PHDCC27_VF_1883	1.13.1	gate STEERING1.LwsAngle_SCCM to vehicleUpdate_2.LwsAngle	車型 HDCC27	1	
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V3-271	VF551_V3_P363_VF_596	1.10.2.4	—	—	0	covered_by: V2-483 之 TC —— 逐字同句（Atl-Mi 本）
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V2-457	VF551_V2_PHDCC27_VF_2035	1.13.1	gate TRANSM_FD_4.ShiftLeverPosition when Hybrid_Type is not REPB/FCEV	車型 HDCC27	1	
SWE-CAM-011	LVDS Messaging	SYS-RA-VF551_V42-308	VF551_V42_P637MCA_VF_2020	1.11.2.1	TRANSM2 missing -> ShiftLeverPosition = SNA (637)	車型 637	1	PENDING: DR-CAM-f（TRANSM2 不在四本 DBC）
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V2-205	VF551_V2_PHDCC27_VF_1821	1.10.2	ignition On ＋ gear no longer SNA -> heal the DTC and revert	車型 Atl-Hi	1	
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V2-208	VF551_V2_PHDCC27_VF_1593	1.10.2.1	—	—	0	covered_by: V2-205 之 TC —— 逐字同句（同本之另一節）
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V2-214	VF551_V2_PHDCC27_VF_1591	1.10.2.1	Communications_Timeout = False -> clear the DTC	車型 Atl-Hi	1	
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V2-215	VF551_V2_PHDCC27_VF_927	1.10.2.1	systemStatus.Communications_Timeout = True -> set the DTC	車型 Atl-Hi	1	
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V2-217	VF551_V2_PHDCC27_VF_1590	1.10.2.1	ExternalErrorStatus = False -> clear the DTC	車型 Atl-Hi	1	
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V2-218	VF551_V2_PHDCC27_VF_926	1.10.2.1	systemStatus.ExternalErrorStatus = True -> set the DTC	車型 Atl-Hi	1	
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V2-220	VF551_V2_PHDCC27_VF_1589	1.10.2.1	InternalErrorStatus = False -> clear the DTC	車型 Atl-Hi	1	
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V2-221	VF551_V2_PHDCC27_VF_123	1.10.2.1	systemStatus.InternalErrorStatus = True -> set the DTC	車型 Atl-Hi	1	
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V2-569	VF551_V2_PHDCC27_VF_1748	1.14.1		—	0	Out of Scope（R-CAM9）
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V2-583	VF551_V2_PHDCC27_VF_1660	1.14.1		—	0	Out of Scope（R-CAM9）
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V3-196	VF551_V3_P363_VF_424	1.10.1.5		—	0	Out of Scope（R-CAM9）
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V3-527	VF551_V3_P363_VF_123	1.13.2.2.1	InternalErrorStatus set/clear (Atl-Mi 合併句)	車型 376	1	
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V3-529	VF551_V3_P363_VF_926	1.13.2.2.2	ExternalErrorStatus set/clear (Atl-Mi 合併句)	車型 376	1	
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V3-531	VF551_V3_P363_VF_927	1.13.2.2.3	Communications_Timeout set/clear (Atl-Mi 合併句)	車型 376	1	
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V33-429	VF551_V33_P226MCA_VF_351	1.13.2.1.4	VehicleSpeedVSOSigFailSts = Fail Present beyond threshold -> DTC (2261)	車型 2261	1	65 token，須摘句
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V42-583	VF551_V42_P637MCA_VF_628	1.13.2.1.2.0.1	InternalErrorStatus = True -> specific DTC (637)	車型 637	1	
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V42-584	VF551_V42_P637MCA_VF_1993	1.13.2.1.2.0.1	InternalErrorStatus = False -> DTC not present (637)	車型 637	1	
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V42-586	VF551_V42_P637MCA_VF_617	1.13.2.1.2.0.2	ExternalErrorStatus = True -> specific DTC (637)	車型 637	1	
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V42-587	VF551_V42_P637MCA_VF_1994	1.13.2.1.2.0.2	ExternalErrorStatus = False -> DTC not present (637)	車型 637	1	
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V42-589	VF551_V42_P637MCA_VF_1088	1.13.2.1.2.0.3	Communications_Timeout = True -> specific DTC (637)	車型 637	1	
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V42-590	VF551_V42_P637MCA_VF_1995	1.13.2.1.2.0.3	—	—	0	covered_by: V42-584 之 TC —— 逐字同句（來源誤寫 Internal，難點 D）
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V42-595	VF551_V42_P637MCA_VF_2132	1.13.2.1.2.0.5	STATUS_BH_BCM1 timeout beyond TIME_W_RVC -> fallback ＋ DTC (637)	車型 637	1	49 token
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V42-600	VF551_V42_P637MCA_VF_2251	1.13.2.1.2.0.7	—	—	0	covered_by: V42-586 之 TC —— 逐字同句（另一節）
SWE-CAM-004	Diagnostics	SYS-RA-VF551_V42-601	VF551_V42_P637MCA_VF_2252	1.13.2.1.2.0.7	—	—	0	covered_by: V42-587 之 TC —— 逐字同句（另一節）
SWE-CAM-013	Diagnostics	SYS-RA-VF551_V42-592	VF551_V42_P637MCA_VF_1090	1.13.2.1.2.0.4		—	0	委派 SWE-CAM-006（R-CAM10）
SWE-CAM-013	Diagnostics	SYS-RA-VF551_V42-593	VF551_V42_P637MCA_VF_1996	1.13.2.1.2.0.4		—	0	委派 SWE-CAM-006（R-CAM10）
SWE-CAM-013	Diagnostics	SYS-RA-VF551_V42-595	VF551_V42_P637MCA_VF_2132	1.13.2.1.2.0.5		—	0	委派 SWE-CAM-004（R-CAM10）
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V2-211	VF551_V2_PHDCC27_VF_1592	1.10.2.1	LVDS video restored -> heal the DTC and revert	車型 Atl-Hi	1	
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V2-212	VF551_V2_PHDCC27_VF_931	1.10.2.1	no LVDS video ＋ no cable signal -> DTC True ＋ HMI	車型 Atl-Hi	1	
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V2-539	VF551_V2_PHDCC27_VF_1662	1.14	the listed LVDS signals are received by the HU	車型 Atl-Hi	1	清單完整性（比照 -088／DECISIONS 6-26）
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V3-533	VF551_V3_P363_VF_931	1.13.2.2.4	no LVDS video ＋ no cable -> DTC ＋ HMI (Atl-Mi)	車型 376	1	69 token，須摘句
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V42-210	VF551_V42_P637MCA_VF_2271	1.11.1.2	scale the RVCM image per PROXI Radio_Display_Type	車型 637	1	轉指 HMI／PDO，難點 E
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V42-216	VF551_V42_P637MCA_VF_1777	1.11.1.2	Power_Down False ＋ power within Time_POWER ＋ start reading cable	車型 637	1	34 token；`SWE-CAM-012`／`-014` 之委派對象即本列
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V42-219	VF551_V42_P637MCA_VF_1836	1.11.1.2	Power_Down True ＋ power for TPower ＋ stop reading cable	車型 637	1	57 token，須摘句
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V42-226	VF551_V42_P637MCA_VF_1164	1.11.1.2.0.2	copy the cable video and display within RESPONSE_TIME	車型 637	1	59 token，須摘句；PENDING: DR-CAM-f（TRANSM2）
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V42-237	VF551_V42_P637MCA_VF_2341	1.11.1.2.0.2.2	—	—	0	條件 header（`if one of the following conditions is verified:`），非獨立驗證點
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V42-253	VF551_V42_P637MCA_VF_2357	1.11.1.2.0.3	copy the cable video and display the rearview image	車型 637	1	
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V42-262	VF551_V42_P637MCA_VF_2366	1.11.1.2.0.3.2	Ignition_Off / Initialization -> stop copying and no image	車型 637	1	
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V42-263	VF551_V42_P637MCA_VF_2367	1.11.1.2.0.3.2	ImageDefeat pressed ＋ gear conditions -> stop copying	車型 637	1	73 token，須摘句
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V42-266	VF551_V42_P637MCA_VF_2370	1.11.1.2.0.3.2	continue copying ＋ Enable.Info TRUE ＋ RVC_ACTIVE TRUE	車型 637	1	51 token，須摘句
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V42-268	VF551_V42_P637MCA_VF_2372	1.11.1.2.0.3.2	stop copying ＋ Enable.Info False ＋ RVC_ACTIVE False	車型 637	1	
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V42-271	VF551_V42_P637MCA_VF_2375	1.11.1.2.0.4	—	—	0	covered_by: V42-253 之 TC —— 逐字同句
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V42-274	VF551_V42_P637MCA_VF_2378	1.11.1.2.0.4	do not copy and do not display	車型 637	1	
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V42-277	VF551_V42_P637MCA_VF_2381	1.11.1.2.0.4.1	—	—	0	同上
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V42-285	VF551_V42_P637MCA_VF_2464	1.11.1.2.0.4.1	—	—	0	同上
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V42-301	VF551_V42_P637MCA_VF_2396	1.11.1.2.0.5	stop copying ＋ ImageDefeat.Req Pressed ＋ RVC_ACTIVE FALSE	車型 637	1	
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V42-592	VF551_V42_P637MCA_VF_1090	1.13.2.1.2.0.4	cable not received -> specific DTC (637)	車型 637	1	58 token，須摘句
SWE-CAM-006	Video Pipeline	SYS-RA-VF551_V42-593	VF551_V42_P637MCA_VF_1996	1.13.2.1.2.0.4	LVDS video received -> DTC not present ＋ revert	車型 637	1	
SWE-CAM-006	Video Pipeline	SYS-RA-VF617_V5-195	—	—		—	0	查無（DR-CAM-a）
SWE-CAM-019	Video Pipeline	SYS-RA-VF551_V33-243	VF551_V33_P226MCA_VF_1119	1.11.1.2.2	stop copying Rear_Camera.Data -> no rearview image (FMVSS 111)	車型 2261	1	
SWE-CAM-019	Video Pipeline	SYS-RA-VF551_V33-248	VF551_V33_P226MCA_VF_1128	1.11.1.2.2	—	—	0	covered_by: V33-243 之 TC —— 逐字同句（另一節）
SWE-CAM-019	Video Pipeline	SYS-RA-VF551_V33-234	VF551_V33_P226MCA_VF_1115	1.11.1.2.1	displayed brightness is above 50 % (FMVSS 111 / ECE-REG46)	車型 2261	1	量測型，需亮度治具
