# CAM-28 §4　RD 驗證標準（VC）／驗證方法（VM）↔ A 本 TC 對帳（只對帳不生成；R-CAM13(d)：VC／VM 欄非來源）
# 母體：既有本 CFTS092 37／V2 103／V3 41 列之 VC 非空列（dependency 本逐列同）。state：COVERED／PARTIAL／RD-ONLY（有 TC 者）；NO-TC（037 有引而無 TC 錨）；NOT-CITED（037 未引）
# missing_points 以 ` || ` 分隔，逐字摘自 RD VC；`[not in source]` ＝該點不見於來源 Description
book	sys_ra_id	anchor	tc_ids	state	missing_points	method_gap	plan_note
V2	SYS-RA-VF551_V2-489	VF551_V2_PHDCC27_VF_1765	NR1L-RVC-029	PARTIAL	[not in source] IGN != RUN (BCM_FD_10.CmdIgnSts != RUN) || [not in source] RVC image defeat button is pressed. || [not in source] VehicleSpeed >= c_VEHSPD_MAX and last for 10 seconds (Ttimer2)	10. wait more than 10 seconds ... 10. Still display RVC camera image on screen.	—
V2	SYS-RA-VF551_V2-490	VF551_V2_PHDCC27_VF_1577	—	NO-TC	—	—	covered_by: NR1L-RVC-009 / -010
V2	SYS-RA-VF551_V2-491	VF551_V2_PHDCC27_VF_1578	NR1L-RVC-098	PARTIAL	Precondition: Head Unit is in Manual Display mode || IGN != RUN (BCM_FD_10.CmdIgnSts != RUN) || RVC image defeat button is pressed. || VehicleSpeed >= c_VEHSPD_MAX and last for 10 seconds (Ttimer2)	—	—
V2	SYS-RA-VF551_V2-492	VF551_V2_PHDCC27_VF_486	—	NO-TC	—	—	無 plan 紀錄
V2	SYS-RA-VF551_V2-493	VF551_V2_PHDCC27_VF_487	—	NO-TC	—	—	無 plan 紀錄
V2	SYS-RA-VF551_V2-495	VF551_V2_PHDCC27_VF_1065	NR1L-RVC-013	COVERED	—	—	—
V2	SYS-RA-VF551_V2-496	VF551_V2_PHDCC27_VF_1576	NR1L-RVC-017;NR1L-RVC-018;NR1L-RVC-241;NR1L-RVC-242	COVERED	—	—	—
V2	SYS-RA-VF551_V2-497	VF551_V2_PHDCC27_VF_479	NR1L-RVC-015	PARTIAL	The RVC image shall last for Ttimer1 (10 seconds)	—	—
V2	SYS-RA-VF551_V2-498	VF551_V2_PHDCC27_VF_1378	NR1L-RVC-019;NR1L-RVC-020;NR1L-RVC-003	COVERED	—	—	—
V2	SYS-RA-VF551_V2-500	VF551_V2_PHDCC27_VF_1759	NR1L-RVC-215	COVERED	—	—	—
V2	SYS-RA-VF551_V2-501	VF551_V2_PHDCC27_VF_1758	NR1L-RVC-099	COVERED	—	—	—
V2	SYS-RA-VF551_V2-502	VF551_V2_PHDCC27_VF_1681	—	NO-TC	—	—	無 plan 紀錄
V2	SYS-RA-VF551_V2-503	VF551_V2_PHDCC27_VF_1761	NR1L-RVC-221	COVERED	—	—	—
V2	SYS-RA-VF551_V2-504	VF551_V2_PHDCC27_VF_1760	NR1L-RVC-216	PARTIAL	App shall not interrupt the rear camera image display if Audio Mode is OFF. (anchored TC runs in Audio Mode ON)	—	—
V2	SYS-RA-VF551_V2-505	VF551_V2_PHDCC27_VF_1682	NR1L-RVC-220	PARTIAL	[not in source] The entertainment and non-entertainment features shall be functional as Audio Mode OFF behavior (TC checks non-entertainment only)	—	—
V2	SYS-RA-VF551_V2-506	VF551_V2_PHDCC27_VF_1764	NR1L-RVC-217	COVERED	—	—	—
V2	SYS-RA-VF551_V2-507	VF551_V2_PHDCC27_VF_1762	NR1L-RVC-100	COVERED	—	—	—
V2	SYS-RA-VF551_V2-508	VF551_V2_PHDCC27_VF_1683	—	NO-TC	—	—	無 plan 紀錄
V2	SYS-RA-VF551_V2-509	VF551_V2_PHDCC27_VF_1753	NR1L-RVC-101	COVERED	—	—	—
V2	SYS-RA-VF551_V2-510	VF551_V2_PHDCC27_VF_1752	NR1L-RVC-222	COVERED	—	—	—
V2	SYS-RA-VF551_V2-511	VF551_V2_PHDCC27_VF_1751	NR1L-RVC-218	PARTIAL	when the head unit executes entertainment and non-entertainment features (TC only opens App Drawer; no entertainment feature executed)	—	—
V2	SYS-RA-VF551_V2-512	VF551_V2_PHDCC27_VF_1684	NR1L-RVC-219	COVERED	—	—	—
V2	SYS-RA-VF551_V2-513	VF551_V2_PHDCC27_VF_1680	NR1L-RVC-102	COVERED	—	—	—
V2	SYS-RA-VF551_V2-514	VF551_V2_PHDCC27_VF_1679	NR1L-RVC-103	COVERED	—	—	—
V2	SYS-RA-VF551_V2-519	VF551_V2_PHDCC27_VF_1574	NR1L-RVC-080	COVERED	—	—	—
V2	SYS-RA-VF551_V2-520	VF551_V2_PHDCC27_VF_1575	NR1L-RVC-081	COVERED	—	—	—
V2	SYS-RA-VF551_V2-523	VF551_V2_PHDCC27_VF_1725	NR1L-RVC-104	COVERED	—	—	—
V2	SYS-RA-VF551_V2-524	VF551_V2_PHDCC27_VF_520	NR1L-RVC-105	COVERED	—	—	—
V2	SYS-RA-VF551_V2-526	VF551_V2_PHDCC27_VF_523	NR1L-RVC-233	PARTIAL	accurately reflect the current value of the IPC_VEHICLE_SETUP.LanguageSelection signal received by the Head Unit (TC changes language via HU Settings UI, signal not driven/checked)	Connect the Head Unit to a test bench with a CAN simulator or signal generator	—
V2	SYS-RA-VF551_V2-527	VF551_V2_PHDCC27_VF_1708	NR1L-RVC-235	COVERED	—	—	—
V2	SYS-RA-VF551_V2-528	VF551_V2_PHDCC27_VF_505	NR1L-RVC-049	PARTIAL	(or is 'Open' upon camera activation)	—	—
V2	SYS-RA-VF551_V2-529	VF551_V2_PHDCC27_VF_1572	NR1L-RVC-223	RD-ONLY	—	At various precise time points before 5 seconds (e.g., 1 second, 3 seconds, 4.9 seconds), simulate a transition to a non-camera display	—
V2	SYS-RA-VF551_V2-530	VF551_V2_PHDCC27_VF_1573	NR1L-RVC-236	COVERED	—	—	—
V2	SYS-RA-VF551_V2-531	VF551_V2_PHDCC27_VF_507	NR1L-RVC-053	PARTIAL	for five seconds (TC reads within 5 s but does not verify 5 s display duration)	Systematically trigger transitions from various non-camera display modes	—
V2	SYS-RA-VF551_V2-532	VF551_V2_PHDCC27_VF_534	NR1L-RVC-027	COVERED	—	—	—
V2	SYS-RA-VF551_V2-533	VF551_V2_PHDCC27_VF_1442	NR1L-RVC-021;NR1L-RVC-022	PARTIAL	if and only if ShiftLeverPosition is not R (e.g., P, N, D) (only D verified; P, N not verified; absence of [X] in R not verified)	Set ShiftLeverPosition to P, N, and D sequentially.	—
V2	SYS-RA-VF551_V2-534	VF551_V2_PHDCC27_VF_509	NR1L-RVC-106	PARTIAL	available (enabled and visible) state when BCM_FD_10.CmdIgnSts is exactly RUN || unavailable (greyed out or hidden) state when BCM_FD_10.CmdIgnSts is not RUN (e.g., OFF, ACC) (only ACC verified, OFF not)	—	—
V2	SYS-RA-VF551_V2-535	VF551_V2_PHDCC27_VF_526	NR1L-RVC-107	COVERED	—	—	—
V2	SYS-RA-VF551_V2-536	VF551_V2_PHDCC27_VF_935	NR1L-RVC-085	COVERED	—	—	—
V2	SYS-RA-VF551_V2-537	VF551_V2_PHDCC27_VF_504	—	NOT-CITED	—	—	—
V2	SYS-RA-VF551_V2-538	VF551_V2_PHDCC27_VF_1663	NR1L-RVC-088	PARTIAL	transmit its value on the LVDS interface accurately, reflecting its internal state or the most current vehicle data (TC checks presence only, no values)	provide controlled and varying inputs for vehicle-derived signals (VehicleSpeedVSOSig, LwsAngle, ShiftLeverPosition, VC_WHL_BASE_LENGTH, VC_RR_DuallyPrsnt) ... with the expected values and timing	—
V2	SYS-RA-VF551_V2-539	VF551_V2_PHDCC27_VF_1662	NR1L-RVC-196	PARTIAL	[not in source] continuously receive a stable, correctly formatted video stream from the rear camera || [not in source] available for display with expected resolution and frame rate	verify ... nominal (non-error) states for systemStatus.ExternalErrorStatus, systemStatus.InternalErrorStatus, systemStatus.Communications_Timeout. Verify systemStatus.ZoomViewRes is correctly reported.	—
V2	SYS-RA-VF551_V2-540	VF551_V2_PHDCC27_VF_1707	NR1L-RVC-237	COVERED	—	—	—
V2	SYS-RA-VF551_V2-541	VF551_V2_PHDCC27_VF_1706	—	NO-TC	—	—	委派 SWE-CAM-016（R-CAM10）
V2	SYS-RA-VF551_V2-542	VF551_V2_PHDCC27_VF_1705	NR1L-RVC-238	COVERED	—	—	—
V2	SYS-RA-VF551_V2-543	VF551_V2_PHDCC27_VF_533	—	NO-TC	—	—	委派 SWE-CAM-016（R-CAM10）
V2	SYS-RA-VF551_V2-544	VF551_V2_PHDCC27_VF_1704	—	NO-TC	—	—	無 plan 紀錄
V2	SYS-RA-VF551_V2-545	VF551_V2_PHDCC27_VF_532	NR1L-RVC-005	PARTIAL	set APP_Menu_BACKUP.Req= Pressed (internal signal not checked; TC checks camera display only)	—	—
V2	SYS-RA-VF551_V2-546	VF551_V2_PHDCC27_VF_1703	—	NO-TC	—	—	無 plan 紀錄
V2	SYS-RA-VF551_V2-547	VF551_V2_PHDCC27_VF_531	—	NO-TC	—	—	無 plan 紀錄
V2	SYS-RA-VF551_V2-548	VF551_V2_PHDCC27_VF_1702	—	NO-TC	—	—	無 plan 紀錄
V2	SYS-RA-VF551_V2-549	VF551_V2_PHDCC27_VF_548	NR1L-RVC-006	PARTIAL	set RVC_ImageDefeat.Req = Pressed (internal signal not checked; TC checks screen restore only)	—	—
V2	SYS-RA-VF551_V2-551	VF551_V2_PHDCC27_VF_2034	—	NO-TC	—	—	無 plan 紀錄
V2	SYS-RA-VF551_V2-552	VF551_V2_PHDCC27_VF_2033	—	NO-TC	—	—	**不生成** —— hybrid 分支之 PT_SYSTEM_FD_1.ShiftLeverPosition_PT 不可注入（A-CA15）
V2	SYS-RA-VF551_V2-555	VF551_V2_PHDCC27_VF_1919	NR1L-RVC-086	COVERED	—	—	—
V2	SYS-RA-VF551_V2-743	VF551_V2_PDT27_VF_1808	—	NO-TC	—	—	無 plan 紀錄
V2	SYS-RA-VF551_V2-744	VF551_V2_PDT27_VF_1809	—	NO-TC	—	—	無 plan 紀錄
V2	SYS-RA-VF551_V2-745	VF551_V2_PDT27_VF_615	NR1L-RVC-154	PARTIAL	For every update of EPS_FD_1.LwsAngle (TC sends single value 0.0 deg) || [not in source] end-to-end latency from CAN input to LVDS output shall not exceed the defined system threshold (e.g., <50ms)	sweep EPS_FD_1.LwsAngle from -540.0° to +540.0° || Use a dual-channel oscilloscope to measure the time difference between the CAN message arrival and the LVDS message dispatch	—
V2	SYS-RA-VF551_V2-746	VF551_V2_PDT27_VF_1712	NR1L-RVC-155	PARTIAL	[not in source] within its defined timeout window (e.g., >500ms)	Observe the HMI to ensure the dynamic guidelines are either removed or displayed as "faulty" according to HMI specs.	—
