swe_id	source_requirement_id	book	vf_chapter	category_verbatim	description
SWE-CAM-023	SYS-RA-VF551_V2-569	VF551_V2	1.14.1	Out of Scope	c. When Zoom function is inactive due to internal or external errors, RVCM shall transmit systemStatus.ZoomViewRes = SNA to the Radio via LVDS. Refer to RVCM D
SWE-CAM-023	SYS-RA-VF551_V2-570	VF551_V2	1.14.1	Out of Scope	b. When current view is Backup Zoomed View, RVCM shall transmit systemStatus.ZoomViewRes = 4X to the Radio via LVDS .
SWE-CAM-023	SYS-RA-VF551_V2-571	VF551_V2	1.14.1	Out of Scope	a. When current view is Backup Camera View, RVCM shall transmit systemStatus.ZoomViewRes = 1X to the Radio via LVDS.
SWE-CAM-023	SYS-RA-VF551_V2-578	VF551_V2	1.14.1	Out of Scope	· When all of the following conditions hold true: - RVC display active on the Radio: LVDS message vehicleUpdate_1.TGW_CAMERA_DISP_STAT = DISP_DIGITAL_RVC_CAMERA
SWE-CAM-023	SYS-RA-VF551_V2-580	VF551_V2	1.14.1	Out of Scope	· When all of the following conditions hold true: - RVC display active on the Radio: LVDS message vehicleUpdate_1.TGW_CAMERA_DISP_STAT = DISP_DIGITAL_RVC_CAMERA
SWE-CAM-023	SYS-RA-VF551_V2-582	VF551_V2	1.14.1	Out of Scope	· The RVCM shall acquire the following signals on LVDS: - vehicleUpdate_2.VehicleSpeedVSOSig - vehicleUpdate_2.LwsAngle - vehicleUpdate_2.ShiftLeverPosition -
SWE-CAM-023	SYS-RA-VF551_V2-583	VF551_V2	1.14.1	Out of Scope	· The RVCM shall transmit the following signals on LVDS: - ADAS_LVDS_RRCamera_Cable - systemStatus.ExternalErrorStatus - systemStatus.InternalErrorStatus - sys
SWE-CAM-023	SYS-RA-VF551_V3-185	VF551_V3	1.10.1.1	Out of scope	· The RVCM shall follow below functions when RVC display active on the Radio: LVDS message vehicleUpdate_1.TGW_CAMERA_DISP_STAT = [DISP_DIGITAL_RVC_CAMERA] AND
SWE-CAM-023	SYS-RA-VF551_V3-194	VF551_V3	1.10.1.5	Out of scope	a) The RVCM shall transmit systemStatus.ZoomViewRes = [1X] to the Radio via LVDS when current view is Backup Camera View (1X).
SWE-CAM-023	SYS-RA-VF551_V3-195	VF551_V3	1.10.1.5	Out of scope	b) The RVCM shall transmit systemStatus.ZoomViewRes = [4X] to the Radio via LVDS when current view is Backup Zoomed View.
SWE-CAM-023	SYS-RA-VF551_V3-196	VF551_V3	1.10.1.5	Out of scope	c) The RVCM shall transmit systemStatus.ZoomViewRes = [SNA] to the Radio via LVDS when Zoom function is disabled in the RVC due to internal or external errors.
