row	tc_id_master	D_master	D_delivered	tier	similarity
55	NR1L-SWUpdate-046	SWE1-FOTA-110	SWE1-FOTA-063	sim>=0.6	0.682
56	NR1L-SWUpdate-047	SWE1-FOTA-111	SWE1-FOTA-064	sim<0.6	0.436
57	NR1L-SWUpdate-048	SWE1-FOTA-112	SWE1-FOTA-065	sim<0.6	0.48
58	NR1L-SWUpdate-049	SWE1-FOTA-113	SWE1-FOTA-066	sim>=0.6	0.714
59	NR1L-SWUpdate-050	SWE1-FOTA-114	SWE1-FOTA-067	sim<0.6	0.346
60	NR1L-SWUpdate-051	SWE1-FOTA-115	SWE1-FOTA-069	sim<0.6	0.289
61	NR1L-SWUpdate-052	SWE1-FOTA-116	SWE1-FOTA-070	sim<0.6	0.493
62	NR1L-SWUpdate-053	SWE1-FOTA-117	SWE1-FOTA-071	sim<0.6	0.319
63	NR1L-SWUpdate-054	SWE1-FOTA-118	SWE1-FOTA-080	prefix80	0.466
64	NR1L-SWUpdate-055	SWE1-FOTA-119	SWE1-FOTA-081	sim<0.6	0.352
65	NR1L-SWUpdate-056	SWE1-FOTA-120	SWE1-FOTA-082	sim<0.6	0.36
66	NR1L-SWUpdate-057	SWE1-FOTA-121	SWE1-FOTA-083	sim<0.6	0.029
67	NR1L-SWUpdate-058	SWE1-FOTA-122	SWE1-FOTA-084	sim<0.6	0.285
68	NR1L-SWUpdate-059	SWE1-FOTA-123	SWE1-FOTA-088	sim<0.6	0.517
69	NR1L-SWUpdate-060	SWE1-FOTA-124	SWE1-FOTA-089	prefix80	0.856
70	NR1L-SWUpdate-061	SWE1-FOTA-125	SWE1-FOTA-090	sim<0.6	0.201
71	NR1L-SWUpdate-062	SWE1-FOTA-126	SWE1-FOTA-092	sim>=0.6	0.87
72	NR1L-SWUpdate-063	SWE1-FOTA-127	SWE1-FOTA-093	sim>=0.6	0.864
73	NR1L-SWUpdate-064	SWE1-FOTA-128	SWE1-FOTA-094	sim>=0.6	0.851
74	NR1L-SWUpdate-065	SWE1-FOTA-129	SWE1-FOTA-095	sim>=0.6	0.86
75	NR1L-SWUpdate-066	SWE1-FOTA-130	SWE1-FOTA-097	sim>=0.6	0.871
76	NR1L-SWUpdate-067	SWE1-FOTA-131	SWE1-FOTA-098	sim>=0.6	0.784
77	NR1L-SWUpdate-068	SWE1-FOTA-132	SWE1-FOTA-099	prefix80	0.616
78	NR1L-SWUpdate-069	SWE1-FOTA-133	SWE1-FOTA-100	prefix80	0.54
79	NR1L-SWUpdate-070	SWE1-FOTA-134	SWE1-FOTA-100	prefix80	0.481
80	NR1L-SWUpdate-071	SWE1-FOTA-135	SWE1-FOTA-101	sim>=0.6	0.747
81	NR1L-SWUpdate-072	SWE1-FOTA-136	SWE1-FOTA-102	sim<0.6	0.439
82	NR1L-SWUpdate-073	SWE1-FOTA-137	SWE1-FOTA-103	exact	1.0
83	NR1L-SWUpdate-074	SWE1-FOTA-138	SWE1-FOTA-104	sim<0.6	0.576
84	NR1L-SWUpdate-075	SWE1-FOTA-139	SWE1-FOTA-105	sim>=0.6	0.612
85	NR1L-SWUpdate-076	SWE1-FOTA-140	SWE1-FOTA-106	sim<0.6	0.414
86	NR1L-SWUpdate-077	SWE1-FOTA-141	SWE1-FOTA-107	sim>=0.6	0.724
87	NR1L-SWUpdate-078	SWE1-FOTA-142	SWE1-FOTA-108	sim>=0.6	0.657
88	NR1L-SWUpdate-079	SWE1-FOTA-143	SWE1-FOTA-109	sim>=0.6	0.706
89	NR1L-SWUpdate-080	SWE1-FOTA-144	SWE1-FOTA-111	sim>=0.6	0.742
90	NR1L-SWUpdate-081	SWE1-FOTA-145	SWE1-FOTA-112	sim<0.6	0.461
91	NR1L-SWUpdate-082	SWE1-FOTA-146	SWE1-FOTA-113	sim<0.6	0.499
92	NR1L-SWUpdate-083	SWE1-FOTA-147	SWE1-FOTA-114	sim<0.6	0.282
93	NR1L-SWUpdate-084	SWE1-FOTA-148	SWE1-FOTA-115	prefix80	0.625
94	NR1L-SWUpdate-085	SWE1-FOTA-149	SWE1-FOTA-116	prefix80	0.531
95	NR1L-SWUpdate-086	SWE1-FOTA-150	SWE1-FOTA-116	prefix80	0.531
96	NR1L-SWUpdate-087	SWE1-FOTA-151	SWE1-FOTA-116	prefix80	0.531
97	NR1L-SWUpdate-088	SWE1-FOTA-152	SWE1-FOTA-117	sim<0.6	0.286
98	NR1L-SWUpdate-089	SWE1-FOTA-153	SWE1-FOTA-118	sim<0.6	0.491
99	NR1L-SWUpdate-090	SWE1-FOTA-154	SWE1-FOTA-119	sim>=0.6	0.72
100	NR1L-SWUpdate-091	SWE1-FOTA-155	SWE1-FOTA-120	sim>=0.6	0.717
101	NR1L-SWUpdate-092	SWE1-FOTA-156	SWE1-FOTA-121	sim>=0.6	0.715
102	NR1L-SWUpdate-093	SWE1-FOTA-157	SWE1-FOTA-122	sim>=0.6	0.719
103	NR1L-SWUpdate-094	SWE1-FOTA-158	SWE1-FOTA-123	sim>=0.6	0.746
104	NR1L-SWUpdate-095	SWE1-FOTA-159	SWE1-FOTA-124	sim>=0.6	0.752
105	NR1L-SWUpdate-096	SWE1-FOTA-160	SWE1-FOTA-126	sim<0.6	0.11
106	NR1L-SWUpdate-097	SWE1-FOTA-161	SWE1-FOTA-128	sim<0.6	0.092
107	NR1L-SWUpdate-098	SWE1-FOTA-162	SWE1-FOTA-130	prefix80	0.785
108	NR1L-SWUpdate-099	SWE1-FOTA-163	SWE1-FOTA-130	prefix80	0.785
109	NR1L-SWUpdate-100	SWE1-FOTA-164	SWE1-FOTA-130	prefix80	0.785
110	NR1L-SWUpdate-101	SWE1-FOTA-165	SWE1-FOTA-131	prefix80	0.296
111	NR1L-SWUpdate-102	SWE1-FOTA-166	SWE1-FOTA-132	sim>=0.6	0.681
112	NR1L-SWUpdate-103	SWE1-FOTA-167	SWE1-FOTA-133	sim<0.6	0.423
113	NR1L-SWUpdate-104	SWE1-FOTA-168	SWE1-FOTA-133	sim<0.6	0.334
114	NR1L-SWUpdate-105	SWE1-FOTA-169	SWE1-FOTA-134	sim>=0.6	0.619
115	NR1L-SWUpdate-106	SWE1-FOTA-170	SWE1-FOTA-136	sim>=0.6	0.833
116	NR1L-SWUpdate-107	SWE1-FOTA-171	SWE1-FOTA-136	sim>=0.6	0.833
117	NR1L-SWUpdate-108	SWE1-FOTA-172	SWE1-FOTA-138	sim<0.6	0.365
118	NR1L-SWUpdate-109	SWE1-FOTA-173	SWE1-FOTA-139	prefix80	0.304
119	NR1L-SWUpdate-110	SWE1-FOTA-174	SWE1-FOTA-140	sim<0.6	0.304
120	NR1L-SWUpdate-111	SWE1-FOTA-175	SWE1-FOTA-141	sim<0.6	0.472
121	NR1L-SWUpdate-112	SWE1-FOTA-176	SWE1-FOTA-142	sim>=0.6	0.718
122	NR1L-SWUpdate-113	SWE1-FOTA-177	SWE1-FOTA-143	sim>=0.6	0.632
123	NR1L-SWUpdate-114	SWE1-FOTA-178	SWE1-FOTA-144	sim>=0.6	0.661
124	NR1L-SWUpdate-115	SWE1-FOTA-179	SWE1-FOTA-145	sim>=0.6	0.701
125	NR1L-SWUpdate-116	SWE1-FOTA-180	SWE1-FOTA-146	sim>=0.6	0.721
126	NR1L-SWUpdate-117	SWE1-FOTA-181	SWE1-FOTA-147	sim<0.6	0.577
127	NR1L-SWUpdate-118	SWE1-FOTA-182	SWE1-FOTA-148	sim<0.6	0.408
128	NR1L-SWUpdate-119	SWE1-FOTA-183	SWE1-FOTA-149	sim<0.6	0.521
129	NR1L-SWUpdate-120	SWE1-FOTA-184	SWE1-FOTA-150	sim<0.6	0.09
130	NR1L-SWUpdate-121	SWE1-FOTA-185	SWE1-FOTA-151	sim<0.6	0.434
131	NR1L-SWUpdate-122	SWE1-FOTA-186	SWE1-FOTA-152	sim<0.6	0.311
132	NR1L-SWUpdate-123	SWE1-FOTA-187	SWE1-FOTA-153	prefix80	0.651
133	NR1L-SWUpdate-124	SWE1-FOTA-188	SWE1-FOTA-154	prefix80	0.167
134	NR1L-SWUpdate-125	SWE1-FOTA-189	SWE1-FOTA-155	sim<0.6	0.164
135	NR1L-SWUpdate-126	SWE1-FOTA-190	SWE1-FOTA-156	prefix80	0.727
136	NR1L-SWUpdate-127	SWE1-FOTA-191	SWE1-FOTA-157	prefix80	0.415
137	NR1L-SWUpdate-128	SWE1-FOTA-192	SWE1-FOTA-160	prefix80	0.615
138	NR1L-SWUpdate-129	SWE1-FOTA-193	SWE1-FOTA-161	sim>=0.6	0.631
139	NR1L-SWUpdate-130	SWE1-FOTA-194	SWE1-FOTA-162	sim<0.6	0.013
140	NR1L-SWUpdate-131	SWE1-FOTA-195	SWE1-FOTA-163	sim>=0.6	0.752
141	NR1L-SWUpdate-132	SWE1-FOTA-196	SWE1-FOTA-165	sim<0.6	0.203
142	NR1L-SWUpdate-133	SWE1-FOTA-197	SWE1-FOTA-167	prefix80	0.385
143	NR1L-SWUpdate-134	SWE1-FOTA-198	SWE1-FOTA-169	sim<0.6	0.137
144	NR1L-SWUpdate-135	SWE1-FOTA-199	SWE1-FOTA-171	sim<0.6	0.43
145	NR1L-SWUpdate-136	SWE1-FOTA-200	SWE1-FOTA-172	sim<0.6	0.186
146	NR1L-SWUpdate-137	SWE1-FOTA-201	SWE1-FOTA-173	prefix80	0.484
147	NR1L-SWUpdate-138	SWE1-FOTA-202	SWE1-FOTA-174	sim<0.6	0.312
148	NR1L-SWUpdate-139	SWE1-FOTA-203	SWE1-FOTA-175	sim<0.6	0.451
149	NR1L-SWUpdate-140	SWE1-FOTA-204	SWE1-FOTA-176	prefix80	0.635
150	NR1L-SWUpdate-141	SWE1-FOTA-205	SWE1-FOTA-176	sim>=0.6	0.694
151	NR1L-SWUpdate-142	SWE1-FOTA-206	SWE1-FOTA-177	exact	1.0
152	NR1L-SWUpdate-143	SWE1-FOTA-207	SWE1-FOTA-179	sim<0.6	0.522
153	NR1L-SWUpdate-144	SWE1-FOTA-208	SWE1-FOTA-180	prefix80	0.717
154	NR1L-SWUpdate-145	SWE1-FOTA-209	SWE1-FOTA-181	sim<0.6	0.561
155	NR1L-SWUpdate-146	SWE1-FOTA-210	SWE1-FOTA-182	prefix80	0.729
156	NR1L-SWUpdate-147	SWE1-FOTA-211	SWE1-FOTA-183	sim<0.6	0.03
157	NR1L-SWUpdate-148	SWE1-FOTA-212	SWE1-FOTA-184	prefix80	0.62
158	NR1L-SWUpdate-149	SWE1-FOTA-213	SWE1-FOTA-187	sim>=0.6	0.778
159	NR1L-SWUpdate-150	SWE1-FOTA-214	SWE1-FOTA-189	prefix80	0.647
160	NR1L-SWUpdate-151	SWE1-FOTA-215	SWE1-FOTA-190	sim<0.6	0.414
161	NR1L-SWUpdate-152	SWE1-FOTA-216	SWE1-FOTA-191	prefix80	0.34
162	NR1L-SWUpdate-153	SWE1-FOTA-217	SWE1-FOTA-195	sim<0.6	0.411
163	NR1L-SWUpdate-154	SWE1-FOTA-218	SWE1-FOTA-198	prefix80	0.718
164	NR1L-SWUpdate-155	SWE1-FOTA-219	SWE1-FOTA-199	prefix80	0.848
165	NR1L-SWUpdate-156	SWE1-FOTA-220	SWE1-FOTA-201	sim<0.6	0.533
166	NR1L-SWUpdate-157	SWE1-FOTA-221	SWE1-FOTA-203	sim<0.6	0.474
167	NR1L-SWUpdate-158	SWE1-FOTA-222	SWE1-FOTA-205	sim<0.6	0.23
168	NR1L-SWUpdate-159	SWE1-FOTA-223	SWE1-FOTA-206	exact	1.0
169	NR1L-SWUpdate-160	SWE1-FOTA-224	SWE1-FOTA-207	exact	1.0
170	NR1L-SWUpdate-161	SWE1-FOTA-225	SWE1-FOTA-208	exact	1.0
171	NR1L-SWUpdate-162	SWE1-FOTA-226	SWE1-FOTA-209	sim<0.6	0.146
172	NR1L-SWUpdate-163	SWE1-FOTA-227	SWE1-FOTA-210	sim>=0.6	0.6
173	NR1L-SWUpdate-164	SWE1-FOTA-228	SWE1-FOTA-211	prefix80	0.791
174	NR1L-SWUpdate-165	SWE1-FOTA-229	SWE1-FOTA-212	prefix80	0.532
175	NR1L-SWUpdate-166	SWE1-FOTA-230	SWE1-FOTA-213	sim>=0.6	0.65
176	NR1L-SWUpdate-167	SWE1-FOTA-231	SWE1-FOTA-215	sim>=0.6	0.763
177	NR1L-SWUpdate-168	SWE1-FOTA-232	SWE1-FOTA-216	sim<0.6	0.106
178	NR1L-SWUpdate-169	SWE1-FOTA-233	SWE1-FOTA-217	sim<0.6	0.177
179	NR1L-SWUpdate-170	SWE1-FOTA-234	SWE1-FOTA-218	exact	1.0
180	NR1L-SWUpdate-171	SWE1-FOTA-235	SWE1-FOTA-219	prefix80	0.639
181	NR1L-SWUpdate-172	SWE1-FOTA-236	SWE1-FOTA-220	exact	1.0
182	NR1L-SWUpdate-173	SWE1-FOTA-237	SWE1-FOTA-221	prefix80	0.766
183	NR1L-SWUpdate-174	SWE1-FOTA-238	SWE1-FOTA-222	sim<0.6	0.217
184	NR1L-SWUpdate-175	SWE1-FOTA-239	SWE1-FOTA-223	prefix80	0.773
185	NR1L-SWUpdate-176	SWE1-FOTA-240	SWE1-FOTA-224	prefix80	0.771
186	NR1L-SWUpdate-177	SWE1-FOTA-241	SWE1-FOTA-225	sim>=0.6	0.695
187	NR1L-SWUpdate-178	SWE1-FOTA-242	SWE1-FOTA-226	sim<0.6	0.147
188	NR1L-SWUpdate-179	SWE1-FOTA-243	SWE1-FOTA-227	sim<0.6	0.47
189	NR1L-SWUpdate-180	SWE1-FOTA-244	SWE1-FOTA-228	prefix80	0.716
190	NR1L-SWUpdate-181	SWE1-FOTA-245	SWE1-FOTA-229	prefix80	0.586
191	NR1L-SWUpdate-182	SWE1-FOTA-246	SWE1-FOTA-230	sim<0.6	0.374
192	NR1L-SWUpdate-183	SWE1-FOTA-247	SWE1-FOTA-231	prefix80	0.492
193	NR1L-SWUpdate-184	SWE1-FOTA-248	SWE1-FOTA-232	prefix80	0.417
194	NR1L-SWUpdate-185	SWE1-FOTA-249	SWE1-FOTA-233	prefix80	0.615
195	NR1L-SWUpdate-186	SWE1-FOTA-250	SWE1-FOTA-234	sim<0.6	0.451
196	NR1L-SWUpdate-187	SWE1-FOTA-251	SWE1-FOTA-235	sim>=0.6	0.728
197	NR1L-SWUpdate-188	SWE1-FOTA-252	SWE1-FOTA-236	prefix80	0.526
198	NR1L-SWUpdate-189	SWE1-FOTA-253	SWE1-FOTA-237	prefix80	0.492
199	NR1L-SWUpdate-190	SWE1-FOTA-254	SWE1-FOTA-238	prefix80	0.347
200	NR1L-SWUpdate-191	SWE1-FOTA-255	SWE1-FOTA-239	prefix80	0.556
201	NR1L-SWUpdate-192	SWE1-FOTA-256	SWE1-FOTA-240	sim>=0.6	0.799
202	NR1L-SWUpdate-193	SWE1-FOTA-257	SWE1-FOTA-241	prefix80	0.558
203	NR1L-SWUpdate-194	SWE1-FOTA-258	SWE1-FOTA-242	sim<0.6	0.541
204	NR1L-SWUpdate-195	SWE1-FOTA-259	SWE1-FOTA-243	sim<0.6	0.545
205	NR1L-SWUpdate-196	SWE1-FOTA-260	SWE1-FOTA-244	prefix80	0.613
206	NR1L-SWUpdate-197	SWE1-FOTA-261	SWE1-FOTA-245	prefix80	0.824
207	NR1L-SWUpdate-198	SWE1-FOTA-262	SWE1-FOTA-246	prefix80	0.64
208	NR1L-SWUpdate-199	SWE1-FOTA-263	SWE1-FOTA-247	exact	1.0
209	NR1L-SWUpdate-200	SWE1-FOTA-264	SWE1-FOTA-248	exact	1.0
210	NR1L-SWUpdate-201	SWE1-FOTA-265	SWE1-FOTA-249	exact	1.0
211	NR1L-SWUpdate-202	SWE1-FOTA-266	SWE1-FOTA-250	prefix80	0.714
212	NR1L-SWUpdate-203	SWE1-FOTA-267	SWE1-FOTA-252	sim>=0.6	0.631
213	NR1L-SWUpdate-204	SWE1-FOTA-268	SWE1-FOTA-253	prefix80	0.496
214	NR1L-SWUpdate-205	SWE1-FOTA-269	SWE1-FOTA-254	prefix80	0.718
215	NR1L-SWUpdate-206	SWE1-FOTA-270	SWE1-FOTA-255	prefix80	0.627
216	NR1L-SWUpdate-207	SWE1-FOTA-271	SWE1-FOTA-256	prefix80	0.786
217	NR1L-SWUpdate-208	SWE1-FOTA-272	SWE1-FOTA-257	sim>=0.6	0.668
218	NR1L-SWUpdate-209	SWE1-FOTA-273	SWE1-FOTA-258	prefix80	0.65
219	NR1L-SWUpdate-210	SWE1-FOTA-274	SWE1-FOTA-260	prefix80	0.58
220	NR1L-SWUpdate-211	SWE1-FOTA-275	SWE1-FOTA-261	sim>=0.6	0.715
221	NR1L-SWUpdate-212	SWE1-FOTA-276	SWE1-FOTA-262	sim<0.6	0.223
222	NR1L-SWUpdate-213	SWE1-FOTA-277	SWE1-FOTA-264	sim<0.6	0.58
223	NR1L-SWUpdate-214	SWE1-FOTA-278	SWE1-FOTA-265	sim>=0.6	0.849
224	NR1L-SWUpdate-215	SWE1-FOTA-279	SWE1-FOTA-267	prefix80	0.19
225	NR1L-SWUpdate-216	SWE1-FOTA-280	SWE1-FOTA-268	prefix80	0.55
226	NR1L-SWUpdate-217	SWE1-FOTA-281	SWE1-FOTA-269	sim<0.6	0.553
227	NR1L-SWUpdate-218	SWE1-FOTA-282	SWE1-FOTA-270	sim<0.6	0.328
228	NR1L-SWUpdate-219	SWE1-FOTA-283	SWE1-FOTA-272	exact	1.0
229	NR1L-SWUpdate-220	SWE1-FOTA-284	SWE1-FOTA-273	sim>=0.6	0.679
230	NR1L-SWUpdate-221	SWE1-FOTA-285	SWE1-FOTA-274	exact	1.0
231	NR1L-SWUpdate-222	SWE1-FOTA-286	SWE1-FOTA-275	prefix80	0.77
232	NR1L-SWUpdate-223	SWE1-FOTA-287	SWE1-FOTA-276	exact	1.0
233	NR1L-SWUpdate-224	SWE1-FOTA-288	SWE1-FOTA-277	sim>=0.6	0.673
234	NR1L-SWUpdate-225	SWE1-FOTA-289	SWE1-FOTA-279	sim>=0.6	0.678
235	NR1L-SWUpdate-226	SWE1-FOTA-290	SWE1-FOTA-281	prefix80	0.789
236	NR1L-SWUpdate-227	SWE1-FOTA-291	SWE1-FOTA-282	prefix80	0.599
237	NR1L-SWUpdate-228	SWE1-FOTA-292	SWE1-FOTA-283	sim>=0.6	0.806
238	NR1L-SWUpdate-229	SWE1-FOTA-293	SWE1-FOTA-284	exact	1.0
239	NR1L-SWUpdate-230	SWE1-FOTA-294	SWE1-FOTA-286	prefix80	0.641
240	NR1L-SWUpdate-231	SWE1-FOTA-295	SWE1-FOTA-288	sim>=0.6	0.796
241	NR1L-SWUpdate-232	SWE1-FOTA-296	SWE1-FOTA-289	sim>=0.6	0.606
242	NR1L-SWUpdate-233	SWE1-FOTA-297	SWE1-FOTA-290	sim<0.6	0.264
243	NR1L-SWUpdate-234	SWE1-FOTA-298	SWE1-FOTA-292	prefix80	0.69
244	NR1L-SWUpdate-235	SWE1-FOTA-299	SWE1-FOTA-293	sim<0.6	0.011
245	NR1L-SWUpdate-236	SWE1-FOTA-300	SWE1-FOTA-294	sim<0.6	0.026
246	NR1L-SWUpdate-237	SWE1-FOTA-301	SWE1-FOTA-295	sim<0.6	0.543
247	NR1L-SWUpdate-238	SWE1-FOTA-302	SWE1-FOTA-297	sim<0.6	0.461
248	NR1L-SWUpdate-239	SWE1-FOTA-303	SWE1-FOTA-298	prefix80	0.662
249	NR1L-SWUpdate-240	SWE1-FOTA-304	SWE1-FOTA-299	prefix80	0.786
250	NR1L-SWUpdate-241	SWE1-FOTA-305	SWE1-FOTA-300	prefix80	0.674
251	NR1L-SWUpdate-242	SWE1-FOTA-306	SWE1-FOTA-301	prefix80	0.501
252	NR1L-SWUpdate-243	SWE1-FOTA-307	SWE1-FOTA-302	prefix80	0.637
253	NR1L-SWUpdate-244	SWE1-FOTA-308	SWE1-FOTA-303	prefix80	0.71
254	NR1L-SWUpdate-245	SWE1-FOTA-309	SWE1-FOTA-304	prefix80	0.698
255	NR1L-SWUpdate-246	SWE1-FOTA-310	SWE1-FOTA-305	prefix80	0.74
256	NR1L-SWUpdate-247	SWE1-FOTA-311	SWE1-FOTA-306	prefix80	0.679
257	NR1L-SWUpdate-248	SWE1-FOTA-312	SWE1-FOTA-307	prefix80	0.767
258	NR1L-SWUpdate-249	SWE1-FOTA-313	SWE1-FOTA-308	sim>=0.6	0.658
259	NR1L-SWUpdate-250	SWE1-FOTA-314	SWE1-FOTA-310	sim<0.6	0.577
260	NR1L-SWUpdate-251	SWE1-FOTA-315	SWE1-FOTA-311	prefix80	0.563
261	NR1L-SWUpdate-252	SWE1-FOTA-316	SWE1-FOTA-312	sim<0.6	0.09
262	NR1L-SWUpdate-253	SWE1-FOTA-317	SWE1-FOTA-313	sim>=0.6	0.674
263	NR1L-SWUpdate-254	SWE1-FOTA-318	SWE1-FOTA-315	exact	1.0
264	NR1L-SWUpdate-255	SWE1-FOTA-319	SWE1-FOTA-316	exact	1.0
265	NR1L-SWUpdate-256	SWE1-FOTA-320	SWE1-FOTA-317	exact	1.0
266	NR1L-SWUpdate-257	SWE1-FOTA-321	SWE1-FOTA-318	exact	1.0
267	NR1L-SWUpdate-258	SWE1-FOTA-322	SWE1-FOTA-319	exact	1.0
268	NR1L-SWUpdate-259	SWE1-FOTA-323	SWE1-FOTA-320	prefix80	0.755
269	NR1L-SWUpdate-260	SWE1-FOTA-324	SWE1-FOTA-321	prefix80	0.736
270	NR1L-SWUpdate-261	SWE1-FOTA-325	SWE1-FOTA-322	prefix80	0.751
271	NR1L-SWUpdate-262	SWE1-FOTA-326	SWE1-FOTA-323	exact	1.0
272	NR1L-SWUpdate-263	SWE1-FOTA-327	SWE1-FOTA-324	exact	1.0
273	NR1L-SWUpdate-264	SWE1-FOTA-328	SWE1-FOTA-325	exact	1.0
274	NR1L-SWUpdate-265	SWE1-FOTA-329	SWE1-FOTA-326	sim<0.6	0.351
275	NR1L-SWUpdate-266	SWE1-FOTA-330	SWE1-FOTA-327	exact	1.0
276	NR1L-SWUpdate-267	SWE1-FOTA-331	SWE1-FOTA-328	exact	1.0
277	NR1L-SWUpdate-268	SWE1-FOTA-332	SWE1-FOTA-329	exact	1.0
278	NR1L-SWUpdate-269	SWE1-FOTA-333	SWE1-FOTA-330	exact	1.0
279	NR1L-SWUpdate-270	SWE1-FOTA-334	SWE1-FOTA-331	exact	1.0
280	NR1L-SWUpdate-271	SWE1-FOTA-335	SWE1-FOTA-332	exact	1.0
281	NR1L-SWUpdate-272	SWE1-FOTA-336	SWE1-FOTA-333	exact	1.0
282	NR1L-SWUpdate-273	SWE1-FOTA-337	SWE1-FOTA-334	sim<0.6	0.456
283	NR1L-SWUpdate-274	SWE1-FOTA-338	SWE1-FOTA-336	sim<0.6	0.405
284	NR1L-SWUpdate-275	SWE1-FOTA-339	SWE1-FOTA-337	sim<0.6	0.242
285	NR1L-SWUpdate-276	SWE1-FOTA-340	SWE1-FOTA-338	sim>=0.6	0.669
286	NR1L-SWUpdate-277	SWE1-FOTA-341	SWE1-FOTA-339	sim>=0.6	0.624
