規格原名	類別	排除(A-VT21)	抽名來源	段2主值(Atlantis)	Atlantis CAN	段1命中處	段3(P363)	結果	備註
BRAKE1.VehicleSpeedVSOSig	CAN		段落				P363:STATUS_CCAN3	訊息名不符(R-13)	上游弧（R-VT13(c)）；段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3：SG_ `VehicleSpeedVSOSig` 存在，但其 BO_ 為 STATUS_CCAN3，與規格訊息 `BRAKE1` 不符；**架構性，非上游錯誤** —— 依 R-VT13(c) 本名為上游弧（VF408→BCM），其 BH-CAN 側對應即 `STATUS_CCAN3.*`（LTM 觀察弧），故不入 DR-VT3；R1 DBC（Atlantis High）旁證：BHCAN2:STATUS_CCAN3;FDCAN8:BRAKE_FD_2
BRAKE1.VehicleSpeedVSOSigFailSts	CAN		段落				P363:STATUS_CCAN3	訊息名不符(R-13)	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3：SG_ `VehicleSpeedVSOSigFailSts` 存在，但其 BO_ 為 STATUS_CCAN3，與規格訊息 `BRAKE1` 不符；**架構性，非上游錯誤** —— 依 R-VT13(c) 本名為上游弧（VF408→BCM），其 BH-CAN 側對應即 `STATUS_CCAN3.*`（LTM 觀察弧），故不入 DR-VT3
Brand_Configuration_2	PROXI		段落					PROXI路徑(R-P375b/c)	PROXI `Format` r566：`Brand_Configuration_2`
Brand_configuration_2	PROXI		表格					PROXI路徑(R-P375b/c)	PROXI `Format` r566：`Brand_Configuration_2`
CAN Node 35 (TBM)	PROXI	y	段落					未解得(止於段1)	【A-VT21 抽名偽陽性】不列為實質缺口
CAN node 24 (PAM )	PROXI	y	段落					未解得(止於段1)	【A-VT21 抽名偽陽性】不列為實質缺口
CAN node 24 (PAM)	PROXI	y	段落					未解得(止於段1)	【A-VT21 抽名偽陽性】不列為實質缺口
ClearPersonalData.Info	內部		段落	SERVICE_SETUP.ClearPersonalData			P363:SERVICE_SETUP	解得	段 3（P363）直查同名 SG_ `ClearPersonalData` → BO_ SERVICE_SETUP；VAL_ 有。⚠ 本列**未經段 1／段 2 之 LID 解析**（LID 不收 `X.Info` 形），係以 DBC 實名直查；R-P368(a) 之三段鏈僅段 3 過，判準待裁
ClearPersonalData_Enable.Req	內部		段落					未解得(止於段1)	
Cluster_Display_Type	PROXI		段落;表格		PROXI	LID/Proxi & Configuration/r39		PROXI路徑(R-P375b/c)	PROXI `Format` r489：`Cluster_Display_Type`
Component	PROXI	y	表格					未解得(止於段1)	【A-VT21 抽名偽陽性】不列為實質缺口
Consumption_Unit_Setting.Req	內部		段落					未解得(止於段1)	
Cornering_Enable.Req	內部		段落					未解得(止於段1)	
Cornering_Light	PROXI		段落;表格					PROXI路徑(R-P375b/c)	PROXI `Format` r275：`Cornering_Light`
Cornering_Lights	PROXI		段落					UI路徑(R-P375b)	"UI：""Cornering Lights""（HMI Settings r501B，Technical Reference=VF230/665）"
Country_Code	PROXI		段落;表格		PROXI	LID/Proxi & Configuration/r250		PROXI路徑(R-P375b/c)	PROXI `Format` r468：`Country_Code`
DRL_Enable.Req	內部		段落					未解得(止於段1)	
DRL_Menù_Enable	PROXI		段落					PROXI路徑(R-P375b/c)	重音正規化；PROXI `Format` r479：`DRL_Menu_Enable`
Day1_Setting.Info	內部		段落					未解得(止於段1)	
Day1_Setting.Req	內部		段落					未解得(止於段1)	
Day2_Setting.Info	內部		段落					未解得(止於段1)	
Day2_Setting.Req	內部		段落					未解得(止於段1)	
Distance_Unit_Setting.Req	內部		段落					未解得(止於段1)	
EPB_Maintenance_Menu	PROXI		段落;表格					PROXI路徑(R-P375b/c)	PROXI `Format` r585：`EPB_Maintenance_Menu`
External_Light_Sensor_Level.Req	內部		段落					未解得(止於段1)	
External_Light_Sensor_Level_Setting.Req	內部		段落					未解得(止於段1)	
External_Temperature_Sensor	PROXI		段落;表格					PROXI路徑(R-P375b/c)	PROXI `Format` r482：`External_Temperature_Sensor`
FOTA_State.Info	內部		段落					未解得(止於段1)	
FSCWPlus_Activation_Mode_Setting.Req	內部		段落					未解得(止於段1)	
FSCWPlus_Setting.Req	內部		段落					未解得(止於段1)	
Flash_Light_With_Lock_Enable.Req	內部		段落					未解得(止於段1)	
Flash_Light_With_Lock_Menu	PROXI		段落;表格					PROXI路徑(R-P375b/c)	PROXI `Format` r584：`Flash_Light_With_Lock_Menu`
Forward_Collision_Mitigation	PROXI		段落;表格		PROXI	LID/Proxi & Configuration/r285		PROXI路徑(R-P375b/c)	PROXI `Format` r403：`Forward_Collision_Mitigation`
Fuel_Type	PROXI		段落;表格		PROXI	LID/Proxi & Configuration/r89		PROXI路徑(R-P375b/c)	PROXI `Format` r284：`Fuel_Type`
GPS_Automatic_Time_Adj_Enable.Req	內部		段落					未解得(止於段1)	
GPS_Automatic_Time_Adj_Setup.Info	內部		段落					未解得(止於段1)	
Geolocation_Enable.Req	內部		段落					未解得(止於段1)	
Geolocation_Menu	PROXI		段落;表格		PROXI	LID/Proxi & Configuration/r91		UI+PROXI 雙路徑	"UI：""Geolocation""（HMI Settings r647B，Technical Reference=CFTS022, CFTS041）／PROXI：`Geolocation_Menu`（Format r734）；Procedure 用 UI、Pre-Condition 用 PROXI（R-P375(b)）"
GreetingLights_Enable.Req	內部		段落					未解得(止於段1)	
Greeting_Lights_Menù	PROXI		段落					UI+PROXI 雙路徑	"重音正規化；UI：""Greeting Lights""（HMI Settings r494B，Technical Reference=VF230/665）／PROXI：`Greeting_Lights_Menu`（Format r475）；Procedure 用 UI、Pre-Condition 用 PROXI（R-P375(b)）"
Half_HMI_Setting	PROXI		段落;表格					PROXI路徑(R-P375b/c)	PROXI `Format` r555：`Half_HMI_Setting`
Half_Torque_Sensibility	PROXI		段落;表格					PROXI路徑(R-P375b/c)	PROXI `Format` r556：`Half_Torque_Sensibility`
Headlights_Off_Delay_Setting.Req	內部		段落					未解得(止於段1)	
Horn_Chirp_Menu	PROXI		段落;表格					PROXI路徑(R-P375b/c)	PROXI `Format` r523：`Horn_Chirp_Menu`
Horn_Chirp_Menù	PROXI		段落					PROXI路徑(R-P375b/c)	重音正規化；PROXI `Format` r523：`Horn_Chirp_Menu`
Hour1_Setting.Info	內部		段落					未解得(止於段1)	
Hour1_Setting.Req	內部		段落					未解得(止於段1)	
Hour2_Setting.Info	內部		段落					未解得(止於段1)	
Hour2_Setting.Req	內部		段落					未解得(止於段1)	
Hour_Mode_Setting.Req	內部		段落					未解得(止於段1)	
IPC_VEHICLE_SETUP.AmbientLightingLevel	CAN		段落	IPC_VEHICLE_SETUP.AmbientLightingLevel		LID/CAN Mapping/r71	P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`IPC_VEHICLE_SETUP.AmbientLightingLevel`（LID/CAN Mapping/r71，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `AmbientLightingLevel`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP.AutoHighBeamEnable	CAN		段落				P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `AutoHighBeamEnable`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP.AutoParkBrake	CAN		段落;表格				P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `AutoParkBrake`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP.BSDEnable	CAN		段落;表格					未解得（CAN-C DBC 未到件）	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3：P363 BH-CAN 查無 SG_ `BSDEnable`；依 R-VT15(c) 記待 CAN-C DBC；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP.ConsumptionUnit	CAN		段落	IPC_VEHICLE_SETUP.ConsumptionUnit		LID/CAN Mapping/r387	P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`IPC_VEHICLE_SETUP.ConsumptionUnit`（LID/CAN Mapping/r387，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `ConsumptionUnit`；VAL_ 有
IPC_VEHICLE_SETUP.CorneringEnable	CAN		段落				P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `CorneringEnable`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP.CorneringLightsEnable	CAN		段落					未解得（CAN-C DBC 未到件）	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3：P363 BH-CAN 查無 SG_ `CorneringLightsEnable`；依 R-VT15(c) 記待 CAN-C DBC
IPC_VEHICLE_SETUP.DRLEnable	CAN		段落				P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `DRLEnable`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP.DistanceUnit	CAN		段落	IPC_VEHICLE_SETUP.DistanceUnit		LID/CAN Mapping/r459	P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`IPC_VEHICLE_SETUP.DistanceUnit`（LID/CAN Mapping/r459，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `DistanceUnit`；VAL_ 有
IPC_VEHICLE_SETUP.DynamicGrid	CAN		段落;表格				P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `DynamicGrid`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP.ExternalLightSensorLevel	CAN		段落	IPC_VEHICLE_SETUP.ExternalLightSensorLevel		LID/CAN Mapping/r751	P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`IPC_VEHICLE_SETUP.ExternalLightSensorLevel`（LID/CAN Mapping/r751，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `ExternalLightSensorLevel`；VAL_ 有
IPC_VEHICLE_SETUP.GreetingLightsEnable	CAN		段落				P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `GreetingLightsEnable`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP.HourMode	CAN		段落	IPC_VEHICLE_SETUP.HourMode		LID/CAN Mapping/r407	P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`IPC_VEHICLE_SETUP.HourMode`（LID/CAN Mapping/r407，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `HourMode`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP.LanguageSelection	CAN		段落	IPC_VEHICLE_SETUP.LanguageSelection		LID/CAN Mapping/r1111	P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`IPC_VEHICLE_SETUP.LanguageSelection`（LID/CAN Mapping/r1111，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `LanguageSelection`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP.NavRepetition	CAN		段落				P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `NavRepetition`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP.PamAlertMode	CAN		段落	IPC_VEHICLE_SETUP.PamAlertMode		LID/CAN Mapping/r1293	P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`IPC_VEHICLE_SETUP.PamAlertMode`（LID/CAN Mapping/r1293，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `PamAlertMode`；VAL_ 有
IPC_VEHICLE_SETUP.PamChimeVolumeFront	CAN		段落	IPC_VEHICLE_SETUP.PamChimeVolumeFront		LID/CAN Mapping/r1301	P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`IPC_VEHICLE_SETUP.PamChimeVolumeFront`（LID/CAN Mapping/r1301，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `PamChimeVolumeFront`；VAL_ 有；R1 DBC（Atlantis High）旁證：BHCAN2:IPC_VEHICLE_SETUP;FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP.PamChimeVolumeRear	CAN		段落	IPC_VEHICLE_SETUP.PamChimeVolumeRear		LID/CAN Mapping/r1302	P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`IPC_VEHICLE_SETUP.PamChimeVolumeRear`（LID/CAN Mapping/r1302，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `PamChimeVolumeRear`；VAL_ 有；R1 DBC（Atlantis High）旁證：BHCAN2:IPC_VEHICLE_SETUP;FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP.PassiveEntry	CAN		段落				P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `PassiveEntry`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP.PhoneRepetition	CAN		段落				P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `PhoneRepetition`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP.RainSensorLevel	CAN		段落;表格					未解得（CAN-C DBC 未到件）	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3：P363 BH-CAN 查無 SG_ `RainSensorLevel`；依 R-VT15(c) 記待 CAN-C DBC；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP.RemoteDoorUnlock	CAN		段落				P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `RemoteDoorUnlock`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP.Sdw	CAN		段落	IPC_VEHICLE_SETUP.Sdw		LID/CAN Mapping/r1660	P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`IPC_VEHICLE_SETUP.Sdw`（LID/CAN Mapping/r1660，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `Sdw`；VAL_ 有
IPC_VEHICLE_SETUP.SdwChimeVolume	CAN		段落	IPC_VEHICLE_SETUP.SdwChimeVolume		LID/CAN Mapping/r1669	P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`IPC_VEHICLE_SETUP.SdwChimeVolume`（LID/CAN Mapping/r1669，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `SdwChimeVolume`；VAL_ 有
IPC_VEHICLE_SETUP.SpeedLockDoorEnable	CAN		段落				P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `SpeedLockDoorEnable`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP.TelematicSetupACK	CAN		段落				P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `TelematicSetupACK`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP.TemperatureUnit	CAN		段落	IPC_VEHICLE_SETUP.TemperatureUnit		LID/CAN Mapping/r2070	P363:IPC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`IPC_VEHICLE_SETUP.TemperatureUnit`（LID/CAN Mapping/r2070，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP` / SG_ `TemperatureUnit`；VAL_ 有
IPC_VEHICLE_SETUP2.AutoUnlockDoorExit	CAN		段落				P363:IPC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP2` / SG_ `AutoUnlockDoorExit`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP2.Backup_Cam_Delay	CAN		段落;表格				P363:IPC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP2` / SG_ `Backup_Cam_Delay`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP2.EPB_MaintenanceMode	CAN		段落;表格				P363:IPC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP2` / SG_ `EPB_MaintenanceMode`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk	CAN		段落;表格				P363:IPC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP2` / SG_ `EPB_Maintenance_Fdbk`；VAL_ 有
IPC_VEHICLE_SETUP2.FSFCWPlusActivationMode	CAN		段落				P363:IPC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP2` / SG_ `FSFCWPlusActivationMode`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP2.FSFCWPlusSetting	CAN		段落				P363:IPC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP2` / SG_ `FSFCWPlusSetting`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP2.FlashLightWLock	CAN		段落				P363:IPC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP2` / SG_ `FlashLightWLock`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP2.HeadlightsOffDelay	CAN		段落				P363:IPC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP2` / SG_ `HeadlightsOffDelay`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP2.LDW_Intensity	CAN		段落				P363:IPC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP2` / SG_ `LDW_Intensity`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP2.LDW_Sensibility	CAN		段落				P363:IPC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP2` / SG_ `LDW_Sensibility`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
IPC_VEHICLE_SETUP2.RainSensorSensibility	CAN		段落;表格				P363:IPC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP2` / SG_ `RainSensorSensibility`；VAL_ 有
IPC_VEHICLE_SETUP2.TyrePressureUnit	CAN		段落				P363:IPC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP2` / SG_ `TyrePressureUnit`；VAL_ 有
IPC_VEHICLE_SETUP3.SoundHornLockUnlock	CAN		段落				P363:IPC_VEHICLE_SETUP3	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `IPC_VEHICLE_SETUP3` / SG_ `SoundHornLockUnlock`；VAL_ 有
Impact	PROXI	y	表格					未解得(止於段1)	【A-VT21 抽名偽陽性】不列為實質缺口
Implementation	PROXI	y	表格					未解得(止於段1)	【A-VT21 抽名偽陽性】不列為實質缺口
InfoLTM_CmdIgnSts.Info	內部		表格					未解得(止於段1)	
LDW_Intensity_Setting.Req	內部		段落					未解得(止於段1)	
LDW_Sensibility_Setting.Req	內部		段落					未解得(止於段1)	
LTM	PROXI		表格					未解得(止於段1)	【A-VT23】抽名偽陽性（v2／v3 catch-all 之誤），排除旗標待裁
LTM_CmdIgnSts.Info	內部		段落					未解得(止於段1)	
LTM_OperationalModeSts.Info	內部		段落					未解得(止於段1)	
Language_Setting.Req	內部		段落					未解得(止於段1)	
Maintenance_Mode_Enable.Req	內部		段落;表格					未解得(止於段1)	
Minute1_Setting.Info	內部		段落					未解得(止於段1)	
Minute1_Setting.Req	內部		段落					未解得(止於段1)	
Minute2_Setting.Info	內部		段落					未解得(止於段1)	
Minute2_Setting.Req	內部		段落					未解得(止於段1)	
Model_Year	PROXI		段落;表格					PROXI路徑(R-P375b/c)	PROXI `Format` r553：`Model_Year`
Month1_Setting.Info	內部		段落					未解得(止於段1)	
Month1_Setting.Req	內部		段落					未解得(止於段1)	
Month2_Setting.Info	內部		段落					未解得(止於段1)	
Month2_Setting.Req	內部		段落					未解得(止於段1)	
NAV_Presence	PROXI		段落;表格		PROXI	LID/Proxi & Configuration/r123		PROXI路徑(R-P375b/c)	PROXI `Format` r528：`NAV_Presence`
NavigationRepetition.Info	內部		段落					未解得(止於段1)	
Odo_Units Change	PROXI		段落					PROXI路徑(R-P375b/c)	PROXI `Format` r477：`Odo_Units_Change`
Odo_Units_Change	PROXI		段落;表格					PROXI路徑(R-P375b/c)	PROXI `Format` r477：`Odo_Units_Change`
PAM_Configuration	PROXI		段落;表格		PROXI	LID/Proxi & Configuration/r150		PROXI路徑(R-P375b/c)	PROXI `Format` r516：`PAM_Configuration`
PROXI.First	CAN		表格					未解得（CAN-C DBC 未到件）	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3：P363 BH-CAN 查無 SG_ `First`；依 R-VT15(c) 記待 CAN-C DBC
Pam_AlertMode_Setting.Req	內部		段落					未解得(止於段1)	
Pam_Chime_Volume_Front_Setting.Req	內部		段落					未解得(止於段1)	
Pam_Chime_Volume_Rear_Setting.Req	內部		段落					未解得(止於段1)	
Passive_Entry_Enable.Req	內部		段落					未解得(止於段1)	
Passive_Entry_Menu	PROXI		段落;表格					PROXI路徑(R-P375b/c)	PROXI `Format` r298：`Passive_Entry`
