規格原名	BO_(訊息)	SG_(訊號)	GenSigSendType
TELEMATIC_VEHICLE_SETUP.DistanceUnit_Req	TELEMATIC_VEHICLE_SETUP	DistanceUnit_Req	1
TELEMATIC_VEHICLE_SETUP.DynamicGrid_Req	TELEMATIC_VEHICLE_SETUP	DynamicGrid_Req	1
TELEMATIC_VEHICLE_SETUP.ExternalLightSensorLevel_Req	TELEMATIC_VEHICLE_SETUP	ExternalLightSensorLevel_Req	1
TELEMATIC_VEHICLE_SETUP.GreetingLightsEnable_Req	TELEMATIC_VEHICLE_SETUP	GreetingLightsEnable_Req	1
TELEMATIC_VEHICLE_SETUP.HourMode_Req	TELEMATIC_VEHICLE_SETUP	HourMode_Req	1
TELEMATIC_VEHICLE_SETUP.LanguageSelection_Req	TELEMATIC_VEHICLE_SETUP	LanguageSelection_Req	1
TELEMATIC_VEHICLE_SETUP.PamAlertMode_Req	TELEMATIC_VEHICLE_SETUP	PamAlertMode_Req	1
TELEMATIC_VEHICLE_SETUP.PamChimeVolumeFront_Req	TELEMATIC_VEHICLE_SETUP	PamChimeVolumeFront_Req	1
TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req	TELEMATIC_VEHICLE_SETUP	PamChimeVolumeRear_Req	1
TELEMATIC_VEHICLE_SETUP.PassiveEntry_Req	TELEMATIC_VEHICLE_SETUP	PassiveEntry_Req	1
TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock_Req	TELEMATIC_VEHICLE_SETUP	RemoteDoorUnlock_Req	1
TELEMATIC_VEHICLE_SETUP.SdwChimeVolume_Req	TELEMATIC_VEHICLE_SETUP	SdwChimeVolume_Req	1
TELEMATIC_VEHICLE_SETUP.Sdw_Req	TELEMATIC_VEHICLE_SETUP	Sdw_Req	1
TELEMATIC_VEHICLE_SETUP.SpeedLockDoorEnable_Req	TELEMATIC_VEHICLE_SETUP	SpeedLockDoorEnable_Req	1
TELEMATIC_VEHICLE_SETUP.TemperatureUnit_Req	TELEMATIC_VEHICLE_SETUP	TemperatureUnit_Req	1
TELEMATIC_VEHICLE_SETUP2.AutoUnlockDoorExit_Req	TELEMATIC_VEHICLE_SETUP2	AutoUnlockDoorExit_Req	1
TELEMATIC_VEHICLE_SETUP2.Backup_Cam_Delay_Req	TELEMATIC_VEHICLE_SETUP2	Backup_Cam_Delay_Req	1
TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req	TELEMATIC_VEHICLE_SETUP2	EPB_MaintenanceMode_Req	1
TELEMATIC_VEHICLE_SETUP2.FSFCWPlusActivationMode_Req	TELEMATIC_VEHICLE_SETUP2	FSFCWPlusActivationMode_Req	1
TELEMATIC_VEHICLE_SETUP2.FSFCWPlusSetting_Req	TELEMATIC_VEHICLE_SETUP2	FSFCWPlusSetting_Req	1
TELEMATIC_VEHICLE_SETUP2.FlashLightWLock_Req	TELEMATIC_VEHICLE_SETUP2	FlashLightWLock_Req	1
TELEMATIC_VEHICLE_SETUP2.HeadlightsOffDelay_Req	TELEMATIC_VEHICLE_SETUP2	HeadlightsOffDelay_Req	1
TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req	TELEMATIC_VEHICLE_SETUP2	LDW_Intensity_Req	1
TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req	TELEMATIC_VEHICLE_SETUP2	LDW_Sensibility_Req	1
TELEMATIC_VEHICLE_SETUP2.RainSensorSensibility_Req	TELEMATIC_VEHICLE_SETUP2	RainSensorSensibility_Req	1
TELEMATIC_VEHICLE_SETUP2.TyrePressureUnit_Req	TELEMATIC_VEHICLE_SETUP2	TyrePressureUnit_Req	1
TELEMATIC_VEHICLE_SETUP3.SoundHornLockUnlock_Req	TELEMATIC_VEHICLE_SETUP3	SoundHornLockUnlock_Req	1
