sheet_row	sys_ra_feature_id	title_source_description	chapter_for_vf	vf_suffix	document_id	signal_names_in_description	n_signals	n_solved_signals	tc_status
1210	Sys-RA-VF665_V43_VSM-1209	34 AHBM_Feature_Menu ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_2611	(空)	AHBM_Feature_Menu	1	0	ISOLATED (DR-VT2)
1211	Sys-RA-VF665_V43_VSM-1210	36 T_EPB_MM 35000 [0;50000] 200 ms LTM DEFINE No N.A. Waiting Time of feedback from IPC for EPB setting	01.14.01	VF_2920	(空)		0	0	ISOLATED (DR-VT2)
1213	Sys-RA-VF665_V43_VSM-1212	40 NAV_Presence ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_3210	(空)	NAV_Presence	1	0	ISOLATED (DR-VT2)
1214	Sys-RA-VF665_V43_VSM-1213	41 Ambient_Lighting_Function ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_3222	(空)	Ambient_Lighting_Function	1	0	ISOLATED (DR-VT2)
1215	Sys-RA-VF665_V43_VSM-1214	42 Ambient_Dimmer_Switch ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_3234	(空)	Ambient_Dimmer_Switch	1	0	ISOLATED (DR-VT2)
1216	Sys-RA-VF665_V43_VSM-1215	43 Model_Year ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_3307	(空)	Model_Year	1	0	ISOLATED (DR-VT2)
1217	Sys-RA-VF665_V43_VSM-1216	44 CAN Node 35 (TBM/FTM) ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_3421	(空)		0	0	ISOLATED (DR-VT2)
1218	Sys-RA-VF665_V43_VSM-1217	45 T_REC_TBM 2500 [0;10000] 500 ms LTM SUPPLIER EOL_2 No Diagnosis See ID Description	01.14.01	VF_3433	(空)		0	0	ISOLATED (DR-VT2)
1241	Sys-RA-VF665_V43_VSM-1240	48 Geolocation_Menu ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_3533	(空)	Geolocation_Menu	1	0	ISOLATED (DR-VT2)
1242	Sys-RA-VF665_V43_VSM-1241	49 Forward_Collision_Mitigation ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_3469	(空)	Forward_Collision_Mitigation	1	0	ISOLATED (DR-VT2)
1243	Sys-RA-VF665_V43_VSM-1242	50 EPB_Maintenance_Menu ** ** ** ** LTM PROXI No N.A Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_3711	(空)	EPB_Maintenance_Menu	1	0	ISOLATED (DR-VT2)
1244	Sys-RA-VF665_V43_VSM-1243	51 Auto_Park_Brake_Menu ** ** ** ** LTM PROXI No N.A Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_3723	(空)	Auto_Park_Brake_Menu	1	0	ISOLATED (DR-VT2)
1245	Sys-RA-VF665_V43_VSM-1244	52 Brand_configuration_2 ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_3751	(空)	Brand_configuration_2	1	0	ISOLATED (DR-VT2)
1247	Sys-RA-VF665_V43_VSM-1246	"The ""Passive_Entry_Menu"" PROXI parameter is used to show or hide the ""Passive Entry"" menu item."	01.14.02.01.12	VF_1643	(空)	Passive_Entry_Menu	1	0	ISOLATED (DR-VT2)
1249	Sys-RA-VF665_V43_VSM-1248	"The ""Remote_Door_Unlock _Menu"" PROXI parameter is used to show or hide the ""Remote Door Unlock"" menu item."	01.14.02.01.13	VF_1644	(空)	Remote_Door_Unlock _Menu	1	0	ISOLATED (DR-VT2)
1251	Sys-RA-VF665_V43_VSM-1250	"The ""Sound_Horn_Remote_Start _Menu"" PROXI parameter is used to show or hide the ""Sound Horn Remote Start"" menu item."	01.14.02.01.14	VF_1645	(空)	Sound_Horn_Remote_Start _Menu	1	0	ISOLATED (DR-VT2)
1253	Sys-RA-VF665_V43_VSM-1252	"The ""Horn_Chirp_Menù"" PROXI parameter is used to show or hide the ""Sound Horn With Lock"" menu item (if Model_Year<20) OR ""Sound Horn with Lock Unlock"" menu item (if Model_Year>=20)"	01.14.02.01.15	VF_1646	(空)	Horn_Chirp_Menù | Model_Year	2	0	ISOLATED (DR-VT2)
1255	Sys-RA-VF665_V43_VSM-1254	"The ""Flash_Light_With_Lock_Menu"" PROXI parameter is used to show or hide the ""Flash Light with Lock"" menu item."	01.14.02.01.16	VF_2013	(空)	Flash_Light_With_Lock_Menu	1	0	ISOLATED (DR-VT2)
1257	Sys-RA-VF665_V43_VSM-1256	"The "" Tyre_Pressure_Unit_Menu ""PROXI parameter is used to show or hide the ""Tyre Pressure"" menu item."	01.14.02.01.17	VF_2321	(空)	Tyre_Pressure_Unit_Menu	1	0	ISOLATED (DR-VT2)
1259	Sys-RA-VF665_V43_VSM-1258	"The ""CAN node 24 (PAM) "" PROXI parameter is used to detect the presence the ""Park Assist Module"""	01.14.02.01.18	VF_2327	(空)		0	0	ISOLATED (DR-VT2)
1261	Sys-RA-VF665_V43_VSM-1260	"The "" Side_Distance_Warning ""PROXI parameter is used to show or hide the "" Side Distance Warning "" menu item."	01.14.02.01.19	VF_2328	(空)	Side_Distance_Warning	1	0	ISOLATED (DR-VT2)
1263	Sys-RA-VF665_V43_VSM-1262	"The ""PAM_Configuration"" PROXI parameter is used to show or hide the ""Park Assist Module"" menu item."	01.14.02.01.20	VF_2329	(空)	PAM_Configuration	1	0	ISOLATED (DR-VT2)
1265	Sys-RA-VF665_V43_VSM-1264	"The ""Auto_Door_Unlock_Menu"" PROXI parameter is used to show or hide the ""Auto Door Unlock On Exit"" menu item."	01.14.02.01.21	VF_2096	(空)	Auto_Door_Unlock_Menu	1	0	ISOLATED (DR-VT2)
1267	Sys-RA-VF665_V43_VSM-1266	"The "" Half_HMI_Setting "" PROXI parameter is used to show or hide the "" LDW Intensity"" menu item."	01.14.02.01.22	VF_2428	(空)	Half_HMI_Setting	1	0	ISOLATED (DR-VT2)
1269	Sys-RA-VF665_V43_VSM-1268	"The "" Half_Torque_Sensibility "" PROXI parameter is used to show or hide the "" LDW Sensibility"" menu item."	01.14.02.01.23	VF_2430	(空)	Half_Torque_Sensibility	1	0	ISOLATED (DR-VT2)
1271	Sys-RA-VF665_V43_VSM-1270	"The "" AHBM_Feature_Menu "" PROXI parameter is used to show or hide the "" Auto High Beam Menu"" menu item."	01.14.02.01.24	VF_2647	(空)	AHBM_Feature_Menu	1	0	ISOLATED (DR-VT2)
1273	Sys-RA-VF665_V43_VSM-1272	"The ""NAV_Presence"" PROXI parameter identifies the presence of Navigation functionalities"	01.14.02.01.25	VF_3248	(空)	NAV_Presence	1	0	ISOLATED (DR-VT2)
1275	Sys-RA-VF665_V43_VSM-1274	"The "" Ambient_Lighting_Function"" PROXI parameter is used to show or hide the ""Interior Ambient Light"" menu item."	01.14.02.01.26	VF_3249	(空)	Ambient_Lighting_Function	1	0	ISOLATED (DR-VT2)
1277	Sys-RA-VF665_V43_VSM-1276	"The "" Ambient_Dimmer_Switch"" PROXI parameter is used to show or hide the "" Interior Ambient Light"" menu item."	01.14.02.01.27	VF_3250	(空)	Ambient_Dimmer_Switch	1	0	ISOLATED (DR-VT2)
1279	Sys-RA-VF665_V43_VSM-1278	"The ""Brand_Configuration_2"" PROXI parameter is used to show or hide the ""Headlights Off Delay"" menu item."	01.14.02.01.28	VF_3763	(空)	Brand_Configuration_2	1	0	ISOLATED (DR-VT2)
