sheet_row	polarion_id	melco_id	chapter_for_vf	document_id	function_level1	verification_method_trunc	denominator	mark
486	NRL-375945		01.11.01.01.08.01	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
489	NRL-375948		01.11.01.01.08.02	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
490	NRL-375949		01.11.01.01.08.02	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
491	NRL-375950		01.11.01.01.08.02	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
492	NRL-375951		01.11.01.01.08.02	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
494	NRL-375953		01.11.01.01.08.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
495	NRL-375954		01.11.01.01.08.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
496	NRL-375955		01.11.01.01.08.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
498	NRL-375957		01.11.01.01.08.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
500	NRL-375959		01.11.01.01.08.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
502	NRL-375961		01.11.01.01.08.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
504	NRL-375963		01.11.01.01.08.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
506	NRL-375965		01.11.01.01.08.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
508	NRL-375967		01.11.01.01.08.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
510	NRL-375969		01.11.01.01.08.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
512	NRL-375971		01.11.01.01.08.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
514	NRL-375973		01.11.01.01.09	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
515	NRL-375974		01.11.01.01.09	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
516	NRL-375975		01.11.01.01.09	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
517	NRL-375976		01.11.01.01.09	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
518	NRL-375977		01.11.01.01.09	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
520	NRL-375979		01.11.01.01.10	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
522	NRL-375981		01.11.01.01.10.01	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
523	NRL-375982		01.11.01.01.10.01	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
524	NRL-375983		01.11.01.01.10.01	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
525	NRL-375984		01.11.01.01.10.01	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
526	NRL-375985		01.11.01.01.10.01	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
528	NRL-375987		01.11.01.01.10.02	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
529	NRL-375988		01.11.01.01.10.02	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
530	NRL-375989		01.11.01.01.10.02	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
531	NRL-375990		01.11.01.01.10.02	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
532	NRL-375991		01.11.01.01.10.02	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
534	NRL-375993		01.11.01.01.10.02	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
535	NRL-375994		01.11.01.01.10.02	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
536	NRL-375995		01.11.01.01.10.02	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
537	NRL-375996		01.11.01.01.10.02	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
539	NRL-375998		01.11.01.01.10.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
540	NRL-375999		01.11.01.01.10.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
541	NRL-376000		01.11.01.01.10.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
542	NRL-376001		01.11.01.01.10.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
543	NRL-376002		01.11.01.01.10.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
545	NRL-376004		01.11.01.01.10.04	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
546	NRL-376005		01.11.01.01.10.04	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
547	NRL-376006		01.11.01.01.10.04	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
548	NRL-376007		01.11.01.01.10.04	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
549	NRL-376008		01.11.01.01.10.04	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
550	NRL-376009		01.11.01.01.10.04	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
553	NRL-376012		01.11.01.01.11	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
554	NRL-376013		01.11.01.01.11	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
555	NRL-376014		01.11.01.01.11	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
556	NRL-376015		01.11.01.01.11	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
558	NRL-376017		01.11.01.01.12	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
559	NRL-376018		01.11.01.01.12	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
560	NRL-376019		01.11.01.01.12	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
561	NRL-376020		01.11.01.01.12	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
562	NRL-376021		01.11.01.01.12	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
564	NRL-376023		01.11.01.01.13	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
565	NRL-376024		01.11.01.01.13	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
566	NRL-376025		01.11.01.01.13	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
567	NRL-376026		01.11.01.01.13	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
568	NRL-376027		01.11.01.01.13	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
569	NRL-376028		01.11.01.01.13	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
571	NRL-376030		01.11.01.01.14	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
572	NRL-376031		01.11.01.01.14	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
573	NRL-376032		01.11.01.01.14	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
574	NRL-376033		01.11.01.01.14	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
575	NRL-376034		01.11.01.01.14	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
576	NRL-376035		01.11.01.01.14	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
578	NRL-376037		01.11.01.01.15	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
579	NRL-376038		01.11.01.01.15	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
580	NRL-376039		01.11.01.01.15	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
581	NRL-376040		01.11.01.01.15	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
582	NRL-376041		01.11.01.01.15	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
583	NRL-376042		01.11.01.01.15	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
585	NRL-376044		01.11.01.01.16	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
586	NRL-376045		01.11.01.01.16	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
587	NRL-376046		01.11.01.01.16	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
588	NRL-376047		01.11.01.01.16	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
589	NRL-376048		01.11.01.01.16	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
591	NRL-376050		01.11.01.01.17	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
592	NRL-376051		01.11.01.01.17	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
593	NRL-376052		01.11.01.01.17	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
594	NRL-376053		01.11.01.01.17	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
595	NRL-376054		01.11.01.01.17	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
597	NRL-376056		01.11.01.01.18	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
598	NRL-376057		01.11.01.01.18	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
599	NRL-376058		01.11.01.01.18	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
600	NRL-376059		01.11.01.01.18	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
601	NRL-376060		01.11.01.01.18	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
603	NRL-376062		01.11.01.01.19	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
604	NRL-376063		01.11.01.01.19	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
605	NRL-376064		01.11.01.01.19	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
606	NRL-376065		01.11.01.01.19	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
607	NRL-376066		01.11.01.01.19	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
609	NRL-376068		01.11.01.01.20	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
610	NRL-376069		01.11.01.01.20	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
611	NRL-376070		01.11.01.01.20	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
612	NRL-376071		01.11.01.01.20	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
613	NRL-376072		01.11.01.01.20	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
