來源ID	來源chapter	分類	暫代母體對應ID	Jaccard	對應chapter	來源Description(正規化,截110)
Sys-RA-VF665_V43_VSM-1017	01.11.01.01.10.03	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-540	1.0	01.11.01.01.10.03	"IF the user sets ""Temperature_Unit_Setting.Req"" internal signals to ""°C"" THEN TLM shall set ""TELEMATIC_VEHICLE"
Sys-RA-VF665_V43_VSM-1018	01.11.01.01.10.03	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-541	1.0	01.11.01.01.10.03	"IF the user sets ""Temperature_Unit_Setting.Req"" internal signals to ""°F"" THEN TLM shall set ""TELEMATIC_VEHICLE"
Sys-RA-VF665_V43_VSM-1019	01.11.01.01.10.03	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-542	1.0	01.11.01.01.10.03	"WHEN TLM receives ""IPC_VEHICLE_SETUP.TemperatureUnit"" message THEN TLM updates the External TemperatureMeasure"
Sys-RA-VF665_V43_VSM-1021	01.11.01.01.10.04	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-544	1.0	01.11.01.01.10.04	"IF ""Tyre_Pressure_Unit_Menu"" PROXI parameter is equal to ""Absent"" THEN TLM shall not display the Tyre Pressure"
Sys-RA-VF665_V43_VSM-1022	01.11.01.01.10.04	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-545	1.0	01.11.01.01.10.04	"IF ""Tyre_Pressure_Unit_Menu"" PROXI parameter is equal to ""Present"" THEN TLM shall display the Tyre Pressure Un"
Sys-RA-VF665_V43_VSM-1023	01.11.01.01.10.04	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-546	1.0	01.11.01.01.10.04	"IF the user sets ""Tyre_Pressure_Unit_Setting.Req"" internal signals to "" kPa"" THEN TLM shall set ""TELEMATIC_VEH"
Sys-RA-VF665_V43_VSM-1024	01.11.01.01.10.04	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-547	1.0	01.11.01.01.10.04	"IF the user sets ""Tyre_Pressure_Unit_Setting.Req"" internal signals to "" psi"" THEN TLM shall set ""TELEMATIC_VEH"
Sys-RA-VF665_V43_VSM-1025	01.11.01.01.10.04	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-548	1.0	01.11.01.01.10.04	"IF the user sets ""TyrePressureUnit_Req"" internal signals to "" bar"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP"
Sys-RA-VF665_V43_VSM-1026	01.11.01.01.10.04	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-549	1.0	01.11.01.01.10.04	"WHEN TLM receives ""IPC_VEHICLE_SETUP2.TyrePressureUnit"" message THEN TLM updates the Tyre Pressure Unit inform"
Sys-RA-VF665_V43_VSM-1028	01.11.01.01.11	無對應		0.72		"IF ""EPB_Maintenance_Menu"" PROXI parameter is equal to ""Absent"" THEN TLM shall not display the EPB Maintance Mo"
Sys-RA-VF665_V43_VSM-1029	01.11.01.01.11	無對應		0.696		"IF "" EPB_Maintenance_Menu "" PROXI parameter is equal to ""Present"" THEN TLM shall display the EPB Maintance Mod"
Sys-RA-VF665_V43_VSM-1030	01.11.01.01.11	無對應		0.472		"IF the user sets ""Maintenance_Mode_Enable.Req"" internal signals equal to "" On"" THEN TLM shall: Set ""TELEMATIC_"
Sys-RA-VF665_V43_VSM-1031	01.11.01.01.11	無對應		0.267		T_EPB_MM is the timeout for the EPB Maintenance Mode setting
Sys-RA-VF665_V43_VSM-1033	01.11.01.01.11	無對應		0.205		"IF ""IPC_VEHICLE_SETUP2.EPB_MaintenanceMode"" B CAN signal change from ""Off"" to ""On"" THEN TLM shall: activate an"
Sys-RA-VF665_V43_VSM-1034	01.11.01.01.11	無對應		0.19		"IF TLM receives ""IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk"" set to "" 2 "" THEN TLM sall: activate and display the"
Sys-RA-VF665_V43_VSM-1035	01.11.01.01.11	無對應		0.19		"IF TLM receives ""IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk"" set to "" 3 "" THEN TLM sall: activate and display the"
Sys-RA-VF665_V43_VSM-1036	01.11.01.01.11	無對應		0.163		"IF TLM receives ""IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk"" set to "" 4 "" THEN TLM sall: activate and display the"
Sys-RA-VF665_V43_VSM-1037	01.11.01.01.11	無對應		0.163		"IF TLM receives ""IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk"" set to "" 5 "" THEN TLM sall: activate and display the"
Sys-RA-VF665_V43_VSM-1038	01.11.01.01.11	無對應		0.163		"IF TLM receives ""IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk"" set to "" 6 "" THEN TLM sall: activate and display the"
Sys-RA-VF665_V43_VSM-1039	01.11.01.01.11	無對應		0.219		"ELSE THEN TLM shall: activate and display the Popup related to "" no response from EPB module "" like described "
Sys-RA-VF665_V43_VSM-1040	01.11.01.01.11	無對應		0.158		"IF TLM receives ""IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk"" set to "" 8 "" THEN TLM sall: activate and display the"
Sys-RA-VF665_V43_VSM-1041	01.11.01.01.11	無對應		0.2		"IF TLM receives ""IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk"" set to "" 9 "" THEN TLM sall: activate and display the"
Sys-RA-VF665_V43_VSM-1042	01.11.01.01.11	無對應		0.184		"IF TLM receives ""IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk"" set to "" 10 "" THEN TLM sall: activate and display th"
Sys-RA-VF665_V43_VSM-1043	01.11.01.01.11	無對應		0.167		"IF TLM receives ""IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk"" set to "" 11 "" THEN TLM sall: activate and display th"
Sys-RA-VF665_V43_VSM-1044	01.11.01.01.11	無對應		0.231		"IF ""IPC_VEHICLE_SETUP2.EPB_MaintenanceMode"" B CAN signal is equal to ""On"" THEN"
Sys-RA-VF665_V43_VSM-1045	01.11.01.01.11	無對應		0.188		"IF ""STATUS_CCAN3.VehicleSpeedVSOSig"" B CAN signal changes from a value ≤ ""V_Car_Moving"" to a value > ""V_Car_Mo"
Sys-RA-VF665_V43_VSM-1046	01.11.01.01.11	無對應		0.636		"WHEN TLM receives ""IPC_VEHICLE_SETUP2.EPB_MaintenanceMode"" message THEN TLM shall update the EPB Maintenance M"
Sys-RA-VF665_V43_VSM-1047	01.11.01.01.11	無對應		0.098		"Fore more information about the Popup visualizzation for the EPB Maintenance Mode settings, refer to ""Service "
Sys-RA-VF665_V43_VSM-1049	01.11.01.01.12	無對應		0.76		"IF ""Auto_Park_Brake_Menu"" PROXI parameter is equal to ""Absent"" THEN TLM shall not display the Auto Park Brake "
Sys-RA-VF665_V43_VSM-1050	01.11.01.01.12	無對應		0.739		"IF ""Auto_Park_Brake_Menu"" PROXI parameter is equal to ""Present"" THEN TLM shall display the Auto Park Brake men"
Sys-RA-VF665_V43_VSM-1051	01.11.01.01.12	近似對（Jaccard ≥ 0.8）	Sys-RA-VF665_V43_VSM-489	0.8		"IF the user sets ""Auto_Park_Brake_Enable.Req"" internal signals to ""On"" THEN TLM shall set ""TELEMATIC_VEHICLE_S"
Sys-RA-VF665_V43_VSM-1052	01.11.01.01.12	近似對（Jaccard ≥ 0.8）	Sys-RA-VF665_V43_VSM-443	0.81		"IF the user sets ""Auto_Park_Brake_Enable.Req"" internal signals to ""Off"" THEN TLM shall set ""TELEMATIC_VEHICLE_"
Sys-RA-VF665_V43_VSM-1053	01.11.01.01.12	無對應		0.714		"WHEN TLM receives ""IPC_VEHICLE_SETUP.AutoParkBrake"" message THEN TLM updates the Auto Park Brake information o"
Sys-RA-VF665_V43_VSM-1056	01.11.01.01.13	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-552	1.0	01.11.01.01.11	"display the ""Language"" menu item. display the language SETS described in ""Market Configuration Table"" document"
Sys-RA-VF665_V43_VSM-1057	01.11.01.01.13	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-553	1.0	01.11.01.01.11	"IF the user sets a language througt ""Language_Setting.Req"" internal signal THEN TLM shall set ""TELEMATIC_VEHIC"
Sys-RA-VF665_V43_VSM-1058	01.11.01.01.13	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-554	1.0	01.11.01.01.11	"WHEN TLM receives ""IPC_VEHICLE_SETUP.LanguageSelection"" message THEN TLM updates the Language information on i"
Sys-RA-VF665_V43_VSM-1059	01.11.01.01.13	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-555	1.0	01.11.01.01.11	IF TLM receives a negative Ack from IPC THEN the TLM has to maintain the language previously selected.
Sys-RA-VF665_V43_VSM-1061	01.11.01.01.14	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-557	1.0	01.11.01.01.12	"IF ""DRL_Menù_Enable"" PROXI parameter is equal to ""Disabled"" THEN TLM shall not display the DRL menu item and t"
Sys-RA-VF665_V43_VSM-1062	01.11.01.01.14	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-558	1.0	01.11.01.01.12	"IF ""DRL_Menù_Enable"" PROXI parameter is equal to ""Enabled"" THEN TLM shall display the DRL menu item and the us"
Sys-RA-VF665_V43_VSM-1063	01.11.01.01.14	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-559	1.0	01.11.01.01.12	"IF the user sets ""DRL_Enable.Req"" internal signals to ""Enable"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.DRL"
Sys-RA-VF665_V43_VSM-1064	01.11.01.01.14	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-560	1.0	01.11.01.01.12	"IF the user sets ""DRL_Enable.Req"" internal signals to ""Disable"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.DR"
Sys-RA-VF665_V43_VSM-1065	01.11.01.01.14	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-561	1.0	01.11.01.01.12	"WHEN TLM receives ""IPC_VEHICLE_SETUP.DRLEnable"" message THEN TLM updates the DRL information on its display th"
Sys-RA-VF665_V43_VSM-1067	01.11.01.01.15	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-563	1.0	01.11.01.01.13	"IF ""Twilight_Sensor"" PROXI parameter is equal to ""absent"" THEN TLM shall not display the External Light Sensor"
Sys-RA-VF665_V43_VSM-1068	01.11.01.01.15	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-564	1.0	01.11.01.01.13	"IF ""Twilight_Sensor"" PROXI parameter is equal to ""present"" THEN TLM shall display the External Light Sensor me"
Sys-RA-VF665_V43_VSM-1069	01.11.01.01.15	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-565	1.0	01.11.01.01.13	"IF the user sets ""External_Light_Sensor_Level.Req"" internal signal to ""Level_1"" THEN TLM shall set ""TELEMATIC_"
Sys-RA-VF665_V43_VSM-1070	01.11.01.01.15	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-566	1.0	01.11.01.01.13	"IF the user sets ""External_Light_Sensor_Level_Setting.Req"" internal signal to ""Level_2"" THEN TLM shall set ""TE"
Sys-RA-VF665_V43_VSM-1071	01.11.01.01.15	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-567	1.0	01.11.01.01.13	"IF the user sets ""External_Light_Sensor_Level_Setting.Req"" internal signal to ""Level_3"" THEN TLM shall set ""TE"
Sys-RA-VF665_V43_VSM-1072	01.11.01.01.15	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-568	1.0	01.11.01.01.13	"WHEN TLM receives ""IPC_VEHICLE_SETUP.ExternalLightSensorLevel"" message THEN TLM updates the External light Sen"
Sys-RA-VF665_V43_VSM-1074	01.11.01.01.16	近似對（Jaccard ≥ 0.8）	Sys-RA-VF665_V43_VSM-570	0.824		"IF ""Brand_configuration_2"" == ""Jeep"" THEN TLM shall display the Headlights Off Delay menu item and the user ca"
Sys-RA-VF665_V43_VSM-1075	01.11.01.01.16	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-571	1.0	01.11.01.01.14	"IF the user sets ""Headlights_Off_Delay_Setting.Req"" internal signal to "" 0 "" THEN TLM shall set ""TELEMATIC_VEH"
Sys-RA-VF665_V43_VSM-1076	01.11.01.01.16	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-572	1.0	01.11.01.01.14	"IF the user sets ""Headlights_Off_Delay_Setting.Req "" internal signal to "" 30 "" THEN TLM shall set ""TELEMATIC_V"
Sys-RA-VF665_V43_VSM-1077	01.11.01.01.16	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-573	1.0	01.11.01.01.14	"IF the user sets ""Headlights_Off_Delay_Setting.Req "" internal signal to "" 60 "" THEN TLM shall set ""TELEMATIC_V"
Sys-RA-VF665_V43_VSM-1078	01.11.01.01.16	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-574	1.0	01.11.01.01.14	"IF the user sets ""Headlights_Off_Delay_Setting.Req "" internal signal to "" 90 "" THEN TLM shall set ""TELEMATIC_V"
Sys-RA-VF665_V43_VSM-1079	01.11.01.01.16	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-575	1.0	01.11.01.01.14	"WHEN TLM receives ""IPC_VEHICLE_SETUP2.HeadlightsOffDelay"" message THEN TLM updates the Headlights Off Delay in"
Sys-RA-VF665_V43_VSM-1081	01.11.01.01.17	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-584	1.0	01.11.01.01.16	"IF ""Passive_Entry_Menu"" PROXI parameter is equal to ""Absent"" THEN TLM shall not display the Passive Entry menu"
Sys-RA-VF665_V43_VSM-1082	01.11.01.01.17	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-585	1.0	01.11.01.01.16	"IF ""Passive_Entry_Menu"" PROXI parameter is equal to ""Present"" THEN TLM shall display the Passive Entry menu it"
Sys-RA-VF665_V43_VSM-1083	01.11.01.01.17	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-586	1.0	01.11.01.01.16	"IF the user sets ""Passive_Entry_Enable.Req"" internal signals to ""On"" THEN TLM shall set ""TELEMATIC_VEHICLE_SET"
Sys-RA-VF665_V43_VSM-1084	01.11.01.01.17	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-587	1.0	01.11.01.01.16	"IF the user sets ""Passive_Entry_Enable.Req"" internal signals to ""Off"" THEN TLM shall set ""TELEMATIC_VEHICLE_SE"
Sys-RA-VF665_V43_VSM-1085	01.11.01.01.17	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-588	1.0	01.11.01.01.16	"WHEN TLM receives ""IPC_VEHICLE_SETUP.PassiveEntry"" message THEN TLM updates the Passive Entry information on i"
Sys-RA-VF665_V43_VSM-1087	01.11.01.01.18	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-590	1.0	01.11.01.01.17	"IF ""Remote_Door_Unlock_Menu"" PROXI parameter is equal to ""Absent"" THEN TLM shall not display the Remote Door U"
Sys-RA-VF665_V43_VSM-1088	01.11.01.01.18	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-591	1.0	01.11.01.01.17	"IF ""Remote_Door_Unlock_Menu"" PROXI parameter is equal to ""Present"" THEN TLM shall display the Remote Door Unlo"
Sys-RA-VF665_V43_VSM-1089	01.11.01.01.18	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-592	1.0	01.11.01.01.17	"IF the user sets ""Remote_Door_Unlock_Setting.Req"" internal signals to ""Driver"" THEN TLM shall set ""TELEMATIC_V"
Sys-RA-VF665_V43_VSM-1090	01.11.01.01.18	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-593	1.0	01.11.01.01.17	"IF the user sets ""Remote_Door_Unlock_Setting.Req"" internal signals to ""All"" THEN TLM shall set ""TELEMATIC_VEHI"
Sys-RA-VF665_V43_VSM-1091	01.11.01.01.18	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-594	1.0	01.11.01.01.17	"WHEN TLM receives ""IPC_VEHICLE_SETUP.RemoteDoorUnlock"" message THEN TLM updates the Remote Door Unlock informa"
Sys-RA-VF665_V43_VSM-1093	01.11.01.01.19	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-596	1.0	01.11.01.01.18	"IF ""Horn_Chirp_Menu"" PROXI parameter is equal to ""Absent"" THEN TLM shall not display the Sound Horn with Lock "
Sys-RA-VF665_V43_VSM-1094	01.11.01.01.19	近似對（Jaccard ≥ 0.8）	Sys-RA-VF665_V43_VSM-597	0.957		"IF ""Horn_Chirp_Menu"" PROXI parameter is equal to ""Present"" THEN TLM shall display the Sound Horn with Lock Unl"
Sys-RA-VF665_V43_VSM-1095	01.11.01.01.19	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-598	1.0	01.11.01.01.18	"IF the user sets ""Sound_Horn_Lock_Unlock_Setting.Req"" internal signals to ""Off"" THEN TLM shall set ""TELEMATIC_"
Sys-RA-VF665_V43_VSM-1096	01.11.01.01.19	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-599	1.0	01.11.01.01.18	"IF the user sets ""Sound_Horn_Lock_Unlock_Setting.Req"" internal signals to ""On"" THEN TLM shall set ""TELEMATIC_V"
Sys-RA-VF665_V43_VSM-1097	01.11.01.01.19	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-600	1.0	01.11.01.01.18	"WHEN TLM receives ""IPC_VEHICLE_SETUP3.SoundHornLockUnlock"" message THEN TLM updates the Sound Horn with Lock U"
Sys-RA-VF665_V43_VSM-1099	01.11.01.01.20	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-602	1.0	01.11.01.01.19	"IF ""Auto_Door_Unlock_Menu"" PROXI parameter is equal to ""Absent"" THEN TLM shall not display the Auto Unlock Doo"
Sys-RA-VF665_V43_VSM-1100	01.11.01.01.20	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-603	1.0	01.11.01.01.19	"IF ""Auto_Door_Unlock_Menu"" PROXI parameter is equal to ""Present"" THEN TLM shall display the Auto Unlock Door E"
Sys-RA-VF665_V43_VSM-1101	01.11.01.01.20	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-604	1.0	01.11.01.01.19	"IF the user sets ""Auto_Unlock_Door_Exit_Enable.Req"" internal signals to "" Enable"" THEN TLM shall set ""TELEMATI"
Sys-RA-VF665_V43_VSM-1102	01.11.01.01.20	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-605	1.0	01.11.01.01.19	"IF the user sets ""Auto_Unlock_Door_Exit_Enable.Req"" internal signals to "" Not_Enable"" THEN TLM shall set ""TELE"
Sys-RA-VF665_V43_VSM-1103	01.11.01.01.20	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-606	1.0	01.11.01.01.19	"WHEN TLM receives ""IPC_VEHICLE_SETUP2.AutoUnlockDoorExit"" message THEN TLM updates the Auto Unlock Door Exit i"
Sys-RA-VF665_V43_VSM-1105	01.11.01.01.21	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-608	1.0	01.11.01.01.20	"IF ""Flash_Light_With_Lock_Menu"" PROXI parameter is equal to ""Absent"" THEN TLM shall not display the Flash Ligh"
Sys-RA-VF665_V43_VSM-1106	01.11.01.01.21	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-609	1.0	01.11.01.01.20	"IF ""Flash_Light_With_Lock_Menu"" PROXI parameter is equal to ""Present"" THEN TLM shall display the Flash Light W"
Sys-RA-VF665_V43_VSM-1107	01.11.01.01.21	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-610	1.0	01.11.01.01.20	"IF the user sets "" Flash_Light_With_Lock_Enable.Req "" internal signal to "" Off"" THEN TLM shall set ""TELEMATIC_"
Sys-RA-VF665_V43_VSM-1108	01.11.01.01.21	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-611	1.0	01.11.01.01.20	"IF the user sets "" Flash_Light_With_Lock_Enable.Req "" internal signal to "" On"" THEN TLM shall set ""TELEMATIC_V"
Sys-RA-VF665_V43_VSM-1109	01.11.01.01.21	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-612	1.0	01.11.01.01.20	"WHEN TLM receives ""IPC_VEHICLE_SETUP2.FlashLightWLock"" message THEN TLM updates the Flash Light With Lock info"
Sys-RA-VF665_V43_VSM-1111	01.11.01.01.22	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-614	1.0	01.11.01.01.21	"IF ""NAV_Presence"" PROXI parameter is equal to ""Absent"" THEN TLM shall not display the GPS Automatic Time Adjus"
Sys-RA-VF665_V43_VSM-1112	01.11.01.01.22	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-615	1.0	01.11.01.01.21	"IF ""NAV_Presence"" PROXI parameter is equal to ""Present"" THEN TLM shall display the GPS Automatic Time Adjustme"
Sys-RA-VF665_V43_VSM-1113	01.11.01.01.22	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-616	1.0	01.11.01.01.21	"IF the user sets ""GPS_Automatic_Time_Adj_Enable.Req"" internal signals to ""Not_Enable"" THEN TLM updates and sen"
Sys-RA-VF665_V43_VSM-1114	01.11.01.01.22	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-617	1.0	01.11.01.01.21	"IF the user sets ""GPS_Automatic_Time_Adj_Enable.Req"" internal signals to ""Enable"" THEN TLM updates and sends t"
Sys-RA-VF665_V43_VSM-1116	01.11.01.01.23	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-619	1.0	01.11.01.01.22	"IF TLM receives ""IPC_VEHICLE_SETUP.PhoneRepetition""set to ""Present"" THEN TLM updates and sends the information"
