old_tc_id	new_tc_id	changed_cols	reason
NR1L-PowerManagement-077		12	P-v3→v4:bare
NR1L-PowerManagement-078		12	P-v3→v4:bare
NR1L-PowerManagement-079		12	P-v3→v4:bare
NR1L-PowerManagement-080		12	P-v3→v4:bare
NR1L-PowerManagement-081		12,nav	P-v3→v4:bare；X-nav
NR1L-PowerManagement-082		12	P-v3→v4:bare
NR1L-PowerManagement-083		12	P-v3→v4:bare
NR1L-PowerManagement-084		12	P-v3→v4:bare
NR1L-PowerManagement-086		12	P-v3→v4:bare
NR1L-PowerManagement-087		12	P-v3→v4:bare
NR1L-PowerManagement-088		12	P-v3→v4:bare
NR1L-PowerManagement-090		12	P-v3→v4:bare
NR1L-PowerManagement-091		12	P-v3→v4:bare
NR1L-PowerManagement-092		12	P-v3→v4:bare
NR1L-PowerManagement-093		12	P-v3→v4:bare；P-v3→v4:send
NR1L-PowerManagement-094		12	P-v3→v4:bare
NR1L-PowerManagement-095		12	P-v3→v4:bare；P-v3→v4:send
NR1L-PowerManagement-096		12	P-v3→v4:bare
NR1L-PowerManagement-099		12	P-v3→v4:bare
NR1L-PowerManagement-100		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-101		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-102		12	P-v3→v4:bare
NR1L-PowerManagement-103		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-104		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-105		nav	X-nav
NR1L-PowerManagement-106		nav	X-nav
NR1L-PowerManagement-107		12	P-v3→v4:bare
NR1L-PowerManagement-108		12	P-v3→v4:bare
NR1L-PowerManagement-109		12	P-v3→v4:bare
NR1L-PowerManagement-110		12	P-v3→v4:bare
NR1L-PowerManagement-112		12	P-v3→v4:bare
NR1L-PowerManagement-113		12	P-v3→v4:bare
NR1L-PowerManagement-114		12	P-v3→v4:bare
NR1L-PowerManagement-115		12	P-v3→v4:bare
NR1L-PowerManagement-116		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-117		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-118		12,13	P-v3→v4:bare；P-v3→v4:send
NR1L-PowerManagement-119		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-120		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-123		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-125		12	P-v3→v4:bare
NR1L-PowerManagement-127		nav	X-nav
NR1L-PowerManagement-128		nav	X-nav
NR1L-PowerManagement-133		12	P-v3→v4:bare
NR1L-PowerManagement-134		12	P-v3→v4:bare
NR1L-PowerManagement-135		nav	X-nav
NR1L-PowerManagement-136		nav	X-nav
NR1L-PowerManagement-137		12	P-v3→v4:bare
NR1L-PowerManagement-138		12	P-v3→v4:bare
NR1L-PowerManagement-139		12	P-v3→v4:bare
NR1L-PowerManagement-140		12	P-v3→v4:bare
NR1L-PowerManagement-141		12	P-v3→v4:bare
NR1L-PowerManagement-142		12	P-v3→v4:bare
NR1L-PowerManagement-144		12	P-v3→v4:bare
NR1L-PowerManagement-145		12	P-v3→v4:bare
NR1L-PowerManagement-146		12	P-v3→v4:bare
NR1L-PowerManagement-147		12	P-v3→v4:bare
NR1L-PowerManagement-148		nav	X-nav
NR1L-PowerManagement-149		nav	X-nav
NR1L-PowerManagement-150		nav	X-nav
NR1L-PowerManagement-151		nav	X-nav
NR1L-PowerManagement-152		nav	X-nav
NR1L-PowerManagement-153		nav	X-nav
NR1L-PowerManagement-154		nav	X-nav
NR1L-PowerManagement-155		nav	X-nav
NR1L-PowerManagement-157		12	P-v3→v4:bare
NR1L-PowerManagement-159		12,nav	P-v3→v4:bare；X-nav
NR1L-PowerManagement-160		12,nav	P-v3→v4:bare；X-nav
NR1L-PowerManagement-161		12,nav	P-v3→v4:bare；X-nav
NR1L-PowerManagement-162		12	P-v3→v4:bare
NR1L-PowerManagement-163		12	P-v3→v4:bare
NR1L-PowerManagement-164		12	P-v3→v4:bare
NR1L-PowerManagement-165		nav	X-nav
NR1L-PowerManagement-166		12	P-v3→v4:bare
NR1L-PowerManagement-167		12	P-v3→v4:bare
NR1L-PowerManagement-168		12	P-v3→v4:bare
NR1L-PowerManagement-169		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-170		12,nav	P-v3→v4:bare；X-nav
NR1L-PowerManagement-171		12	P-v3→v4:bare
NR1L-PowerManagement-173		nav	X-nav
NR1L-PowerManagement-178		nav	X-nav
NR1L-PowerManagement-179		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send；X-nav
NR1L-PowerManagement-180		12,nav	P-v3→v4:bare；X-nav
NR1L-PowerManagement-182		nav	X-nav
NR1L-PowerManagement-183		nav	X-nav
NR1L-PowerManagement-184		12,nav	P-v3→v4:bare；X-nav
NR1L-PowerManagement-185		nav	X-nav
NR1L-PowerManagement-192		nav	X-nav
NR1L-PowerManagement-193		nav	X-nav
NR1L-PowerManagement-194		nav	X-nav
NR1L-PowerManagement-195		nav	X-nav
NR1L-PowerManagement-196		nav	X-nav
NR1L-PowerManagement-197		nav	X-nav
NR1L-PowerManagement-202		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-203		nav	X-nav
NR1L-PowerManagement-204		nav	X-nav
NR1L-PowerManagement-216		nav	X-nav
NR1L-PowerManagement-217		nav	X-nav
NR1L-PowerManagement-218		nav	X-nav
NR1L-PowerManagement-219		nav	X-nav
NR1L-PowerManagement-220		nav	X-nav
NR1L-PowerManagement-221		nav	X-nav
NR1L-PowerManagement-222		nav	X-nav
NR1L-PowerManagement-223		nav	X-nav
NR1L-PowerManagement-224		nav	X-nav
NR1L-PowerManagement-225		12	P-v3→v4:bare
NR1L-PowerManagement-226		nav	X-nav
NR1L-PowerManagement-228		nav	X-nav
NR1L-PowerManagement-229		nav	X-nav
NR1L-PowerManagement-230		nav	X-nav
NR1L-PowerManagement-231		12	P-v3→v4:bare
NR1L-PowerManagement-232		12	P-v3→v4:bare
NR1L-PowerManagement-233		nav	X-nav
NR1L-PowerManagement-234		nav	X-nav
NR1L-PowerManagement-235		nav	X-nav
NR1L-PowerManagement-239		nav	X-nav
NR1L-PowerManagement-240		nav	X-nav
NR1L-PowerManagement-241		nav	X-nav
NR1L-PowerManagement-242		nav	X-nav
NR1L-PowerManagement-243		nav	X-nav
NR1L-PowerManagement-246		12	P-v3→v4:bare
NR1L-PowerManagement-247		12	P-v3→v4:bare
NR1L-PowerManagement-249		nav	X-nav
NR1L-PowerManagement-250		nav	X-nav
NR1L-PowerManagement-261		12,nav	P-v3→v4:bare；X-nav
NR1L-PowerManagement-262		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-264		12,nav	P-v3→v4:bare；X-nav
NR1L-PowerManagement-267		12,nav	P-v3→v4:bare；X-nav
NR1L-PowerManagement-268		12	P-v3→v4:send
NR1L-PowerManagement-270		12	P-v3→v4:bare
NR1L-PowerManagement-271		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-272		nav	X-nav
NR1L-PowerManagement-273		12,nav	P-v3→v4:bare；X-nav
NR1L-PowerManagement-275		12,nav	P-v3→v4:bare；X-nav
NR1L-PowerManagement-277		12,nav	P-v3→v4:bare；X-nav
NR1L-PowerManagement-278		12	P-v3→v4:bare
NR1L-PowerManagement-280		12	P-v3→v4:bare
NR1L-PowerManagement-281		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-284		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-285		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send；X-nav
NR1L-PowerManagement-286		nav	X-nav
NR1L-PowerManagement-287		nav	X-nav
