sheet	row	col	tc_id	rule	old_text	new_text	mechanical
Test Case Specification&Result	34	12	NR1L-PowerManagement-044	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	35	12	NR1L-PowerManagement-045	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	36	12	NR1L-PowerManagement-046	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	37	12	NR1L-PowerManagement-047	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	38	12	NR1L-PowerManagement-048	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	39	12	NR1L-PowerManagement-049	P-v3→v4:send	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 4 (Ignition_On)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 4 (Ignition_On)	Y
Test Case Specification&Result	39	12	NR1L-PowerManagement-049	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	39	12	NR1L-PowerManagement-049	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	39	13	NR1L-PowerManagement-049	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	39	13	NR1L-PowerManagement-049	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	41	12	NR1L-PowerManagement-051	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	42	12	NR1L-PowerManagement-052	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	43	12	NR1L-PowerManagement-053	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	44	12	NR1L-PowerManagement-054	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	45	12	NR1L-PowerManagement-055	P-v3→v4:send	Send the signal $PARK_INFO.ChimeActivation_LHF$ = 1 (Active)	Send CAN: PARK_INFO.ChimeActivation_LHF = 1 (Active)	Y
Test Case Specification&Result	45	12	NR1L-PowerManagement-055	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	45	13	NR1L-PowerManagement-055	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 7 (Partial_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 7 (Partial_Operation) is sent	Y
Test Case Specification&Result	47	12	NR1L-PowerManagement-057	P-v3→v4:send	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 2 (Ignition_Off)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 2 (Ignition_Off)	Y
Test Case Specification&Result	47	12	NR1L-PowerManagement-057	P-v3→v4:send	Send the signal $STATUS_BH_BCM2.RemStActvSts$ = 0 (Remote Start Not Active)	Send CAN: STATUS_BH_BCM2.RemStActvSts = 0 (Remote Start Not Active)	Y
Test Case Specification&Result	47	12	NR1L-PowerManagement-057	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	47	13	NR1L-PowerManagement-057	P-v3→v4:recv	The signal value $STATUS_BH_BCM1.OperationalModeSts$ = 2 (Ignition_Off) is received	STATUS_BH_BCM1.OperationalModeSts = 2 (Ignition_Off) is sent	Y
Test Case Specification&Result	47	13	NR1L-PowerManagement-057	P-v3→v4:recv	The signal value $STATUS_BH_BCM2.RemStActvSts$ = 0 (Remote Start Not Active) is received	STATUS_BH_BCM2.RemStActvSts = 0 (Remote Start Not Active) is sent	Y
Test Case Specification&Result	47	13	NR1L-PowerManagement-057	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	49	12	NR1L-PowerManagement-059	P-v3→v4:bare	$STATUS_BH_BCM1.OperationalModeSts$		N
Test Case Specification&Result	49	12	NR1L-PowerManagement-059	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	49	13	NR1L-PowerManagement-059	P-v3→v4:bare	$STATUS_BH_BCM1.OperationalModeSts$		N
Test Case Specification&Result	50	12	NR1L-PowerManagement-060	P-v3→v4:bare	$STATUS_BH_BCM1.OperationalModeSts$		N
Test Case Specification&Result	50	12	NR1L-PowerManagement-060	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	50	13	NR1L-PowerManagement-060	P-v3→v4:bare	$STATUS_BH_BCM1.OperationalModeSts$		N
Test Case Specification&Result	51	12	NR1L-PowerManagement-061	P-v3→v4:send	Send the signal $STATUS_BH_BCM1.DriverDoorSts$ = 1 (Open)	Send CAN: STATUS_BH_BCM1.DriverDoorSts = 1 (Open)	Y
Test Case Specification&Result	51	12	NR1L-PowerManagement-061	P-v3→v4:bare	$STATUS_BH_BCM1.OperationalModeSts$		N
Test Case Specification&Result	51	12	NR1L-PowerManagement-061	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	52	12	NR1L-PowerManagement-062	P-v3→v4:bare	$STATUS_BH_BCM1.OperationalModeSts$		N
Test Case Specification&Result	52	12	NR1L-PowerManagement-062	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	52	13	NR1L-PowerManagement-062	P-v3→v4:bare	$STATUS_BH_BCM1.OperationalModeSts$		N
Test Case Specification&Result	53	12	NR1L-PowerManagement-063	P-v3→v4:bare	$STATUS_BH_BCM1.OperationalModeSts$		N
Test Case Specification&Result	53	12	NR1L-PowerManagement-063	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	53	13	NR1L-PowerManagement-063	P-v3→v4:bare	$STATUS_BH_BCM1.OperationalModeSts$		N
Test Case Specification&Result	54	12	NR1L-PowerManagement-064	P-v3→v4:bare	$STATUS_BH_BCM1.OperationalModeSts$		N
Test Case Specification&Result	54	12	NR1L-PowerManagement-064	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	54	13	NR1L-PowerManagement-064	P-v3→v4:bare	$STATUS_BH_BCM1.OperationalModeSts$		N
Test Case Specification&Result	55	12	NR1L-PowerManagement-065	P-v3→v4:send	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 10 (Ignition_Pre_Off)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 10 (Ignition_Pre_Off)	Y
Test Case Specification&Result	55	12	NR1L-PowerManagement-065	P-v3→v4:send	Send the signal $STATUS_BH_BCM2.RemStActvSts$ = 0 (Remote Start Not Active)	Send CAN: STATUS_BH_BCM2.RemStActvSts = 0 (Remote Start Not Active)	Y
Test Case Specification&Result	55	12	NR1L-PowerManagement-065	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	55	13	NR1L-PowerManagement-065	P-v3→v4:recv	The signal value $STATUS_BH_BCM1.OperationalModeSts$ = 10 (Ignition_Pre_Off) is received	STATUS_BH_BCM1.OperationalModeSts = 10 (Ignition_Pre_Off) is sent	Y
Test Case Specification&Result	55	13	NR1L-PowerManagement-065	P-v3→v4:recv	The signal value $STATUS_BH_BCM2.RemStActvSts$ = 0 (Remote Start Not Active) is received	STATUS_BH_BCM2.RemStActvSts = 0 (Remote Start Not Active) is sent	Y
Test Case Specification&Result	55	13	NR1L-PowerManagement-065	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	56	12	NR1L-PowerManagement-066	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	57	12	NR1L-PowerManagement-067	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	58	12	NR1L-PowerManagement-068	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	59	12	NR1L-PowerManagement-069	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	62	12	NR1L-PowerManagement-072	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	63	12	NR1L-PowerManagement-073	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	64	12	NR1L-PowerManagement-074	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	65	12	NR1L-PowerManagement-075	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	66	12	NR1L-PowerManagement-076	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	67	12	NR1L-PowerManagement-077	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	68	12	NR1L-PowerManagement-078	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	69	12	NR1L-PowerManagement-079	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	70	12	NR1L-PowerManagement-080	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	71	12	NR1L-PowerManagement-081	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	72	12	NR1L-PowerManagement-082	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	73	12	NR1L-PowerManagement-083	P-v3→v4:bare	$STATUS_BH_BCM1.OperationalModeSts$		N
Test Case Specification&Result	73	12	NR1L-PowerManagement-083	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	74	12	NR1L-PowerManagement-084	P-v3→v4:bare	$STATUS_BH_BCM1.OperationalModeSts$		N
Test Case Specification&Result	76	12	NR1L-PowerManagement-086	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	77	12	NR1L-PowerManagement-087	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	78	12	NR1L-PowerManagement-088	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	80	12	NR1L-PowerManagement-090	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	81	12	NR1L-PowerManagement-091	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	82	12	NR1L-PowerManagement-092	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	83	12	NR1L-PowerManagement-093	P-v3→v4:send	Send the signal $STATUS_BH_BCM1.DriverDoorSts$ = 1 (Open)	Send CAN: STATUS_BH_BCM1.DriverDoorSts = 1 (Open)	Y
Test Case Specification&Result	83	12	NR1L-PowerManagement-093	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	84	12	NR1L-PowerManagement-094	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	85	12	NR1L-PowerManagement-095	P-v3→v4:send	Send the signal $STATUS_BH_BCM1.DriverDoorSts$ = 1 (Open)	Send CAN: STATUS_BH_BCM1.DriverDoorSts = 1 (Open)	Y
Test Case Specification&Result	85	12	NR1L-PowerManagement-095	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	86	12	NR1L-PowerManagement-096	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	89	12	NR1L-PowerManagement-099	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	90	12	NR1L-PowerManagement-100	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	90	12	NR1L-PowerManagement-100	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	90	13	NR1L-PowerManagement-100	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	Y
Test Case Specification&Result	90	13	NR1L-PowerManagement-100	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	90	13	NR1L-PowerManagement-100	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	91	12	NR1L-PowerManagement-101	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	91	12	NR1L-PowerManagement-101	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	91	13	NR1L-PowerManagement-101	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	Y
Test Case Specification&Result	91	13	NR1L-PowerManagement-101	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	91	13	NR1L-PowerManagement-101	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	92	12	NR1L-PowerManagement-102	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	93	12	NR1L-PowerManagement-103	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	93	12	NR1L-PowerManagement-103	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	93	13	NR1L-PowerManagement-103	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	Y
Test Case Specification&Result	93	13	NR1L-PowerManagement-103	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	94	12	NR1L-PowerManagement-104	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	94	12	NR1L-PowerManagement-104	P-v3→v4:bare	$BCM_FD_27.Comfort_Enable_Time$		N
Test Case Specification&Result	94	12	NR1L-PowerManagement-104	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	94	13	NR1L-PowerManagement-104	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	Y
Test Case Specification&Result	94	13	NR1L-PowerManagement-104	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	94	13	NR1L-PowerManagement-104	P-v3→v4:bare	$BCM_FD_27.Comfort_Enable_Time$		N
Test Case Specification&Result	97	12	NR1L-PowerManagement-107	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	98	12	NR1L-PowerManagement-108	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	99	12	NR1L-PowerManagement-109	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	100	12	NR1L-PowerManagement-110	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	102	12	NR1L-PowerManagement-112	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	103	12	NR1L-PowerManagement-113	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	104	12	NR1L-PowerManagement-114	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	105	12	NR1L-PowerManagement-115	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	106	12	NR1L-PowerManagement-116	P-v3→v4:send	Send the signal $STATUS_BH_BCM2.RemStActvSts$ = 1 (Remote Start Active)	Send CAN: STATUS_BH_BCM2.RemStActvSts = 1 (Remote Start Active)	Y
Test Case Specification&Result	106	12	NR1L-PowerManagement-116	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	106	13	NR1L-PowerManagement-116	P-v3→v4:recv	The signal value $STATUS_BH_BCM2.RemStActvSts$ = 1 (Remote Start Active) is received	STATUS_BH_BCM2.RemStActvSts = 1 (Remote Start Active) is sent	Y
Test Case Specification&Result	106	13	NR1L-PowerManagement-116	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 7 (Partial_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 7 (Partial_Operation) is sent	Y
Test Case Specification&Result	107	12	NR1L-PowerManagement-117	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	107	13	NR1L-PowerManagement-117	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	109	12	NR1L-PowerManagement-033	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	111	12	NR1L-PowerManagement-035	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	111	13	NR1L-PowerManagement-035	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	113	12	NR1L-PowerManagement-037	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	113	13	NR1L-PowerManagement-037	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	116	12	NR1L-PowerManagement-040	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	116	13	NR1L-PowerManagement-040	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	119	12	NR1L-PowerManagement-118	P-v3→v4:send	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 15 (SNA)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 15 (SNA)	Y
Test Case Specification&Result	119	12	NR1L-PowerManagement-118	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	119	12	NR1L-PowerManagement-118	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	119	13	NR1L-PowerManagement-118	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	119	13	NR1L-PowerManagement-118	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	120	12	NR1L-PowerManagement-119	P-v3→v4:send	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 2 (Ignition_Off)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 2 (Ignition_Off)	Y
Test Case Specification&Result	120	12	NR1L-PowerManagement-119	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	120	12	NR1L-PowerManagement-119	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	120	13	NR1L-PowerManagement-119	P-v3→v4:recv	The signal value $STATUS_BH_BCM1.OperationalModeSts$ = 2 (Ignition_Off) is received	STATUS_BH_BCM1.OperationalModeSts = 2 (Ignition_Off) is sent	Y
Test Case Specification&Result	120	13	NR1L-PowerManagement-119	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	Y
Test Case Specification&Result	120	13	NR1L-PowerManagement-119	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	121	12	NR1L-PowerManagement-120	P-v3→v4:send	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 2 (Ignition_Off)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 2 (Ignition_Off)	Y
Test Case Specification&Result	121	12	NR1L-PowerManagement-120	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	121	12	NR1L-PowerManagement-120	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	121	13	NR1L-PowerManagement-120	P-v3→v4:recv	The signal value $STATUS_BH_BCM1.OperationalModeSts$ = 2 (Ignition_Off) is received	STATUS_BH_BCM1.OperationalModeSts = 2 (Ignition_Off) is sent	Y
Test Case Specification&Result	121	13	NR1L-PowerManagement-120	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	Y
Test Case Specification&Result	121	13	NR1L-PowerManagement-120	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	124	12	NR1L-PowerManagement-123	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
