new_id	title	sys2	swe1_ids	class	covering_tc_ids	gap_axis	swe1_via_sys2_only	required_axes	covered_axes	disposition
NEW-REV-L3	Reject actual update after L3 revocation	SYS-RA-SEC-383;SYS-RA-SEC-529;SYS-RA-SEC-532;SYS-RA-SEC-539	SWE1-CertProvider-001;SWE1-CertProvider-002;SWE1-CertProvider-003;SWE1-CertProvider-004;SWE1-CertProvider-005;SWE1-CertProvider-006;SWE1-CertProvider-007;SWE1-CertProvider-008;SWE1-CertProvider-009;SWE1-CertProvider-010;SWE1-CertProvider-011	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-003;NR1L-CP-004;NR1L-CP-005;NR1L-CP-006;NR1L-CP-007;NR1L-CP-008;NR1L-CP-009;NR1L-CP-010;NR1L-CP-011;NR1L-CP-012;NR1L-CP-013;NR1L-CP-014;NR1L-CP-015;NR1L-CP-016;NR1L-CP-017;NR1L-CP-018;NR1L-CP-019;NR1L-CP-020;NR1L-CP-021;NR1L-CP-022;NR1L-CP-023			environment;negative	boundary;environment;negative;variant	
NEW-REV-L2	Reject actual update after L2 revocation	SYS-RA-SEC-383;SYS-RA-SEC-529;SYS-RA-SEC-532;SYS-RA-SEC-539	SWE1-CertProvider-001;SWE1-CertProvider-002;SWE1-CertProvider-003;SWE1-CertProvider-004;SWE1-CertProvider-005;SWE1-CertProvider-006;SWE1-CertProvider-007;SWE1-CertProvider-008;SWE1-CertProvider-009;SWE1-CertProvider-010;SWE1-CertProvider-011	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-003;NR1L-CP-004;NR1L-CP-005;NR1L-CP-006;NR1L-CP-007;NR1L-CP-008;NR1L-CP-009;NR1L-CP-010;NR1L-CP-011;NR1L-CP-012;NR1L-CP-013;NR1L-CP-014;NR1L-CP-015;NR1L-CP-016;NR1L-CP-017;NR1L-CP-018;NR1L-CP-019;NR1L-CP-020;NR1L-CP-021;NR1L-CP-022;NR1L-CP-023			environment;negative	boundary;environment;negative;variant	
NEW-REV-L1	Reject actual update after L1 revocation	SYS-RA-SEC-383;SYS-RA-SEC-529;SYS-RA-SEC-532;SYS-RA-SEC-539	SWE1-CertProvider-001;SWE1-CertProvider-002;SWE1-CertProvider-003;SWE1-CertProvider-004;SWE1-CertProvider-005;SWE1-CertProvider-006;SWE1-CertProvider-007;SWE1-CertProvider-008;SWE1-CertProvider-009;SWE1-CertProvider-010;SWE1-CertProvider-011	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-003;NR1L-CP-004;NR1L-CP-005;NR1L-CP-006;NR1L-CP-007;NR1L-CP-008;NR1L-CP-009;NR1L-CP-010;NR1L-CP-011;NR1L-CP-012;NR1L-CP-013;NR1L-CP-014;NR1L-CP-015;NR1L-CP-016;NR1L-CP-017;NR1L-CP-018;NR1L-CP-019;NR1L-CP-020;NR1L-CP-021;NR1L-CP-022;NR1L-CP-023			environment;negative	boundary;environment;negative;variant	
NEW-REV-L0	Reject actual update after L0 revocation	SYS-RA-SEC-383;SYS-RA-SEC-529;SYS-RA-SEC-532;SYS-RA-SEC-539	SWE1-CertProvider-001;SWE1-CertProvider-002;SWE1-CertProvider-003;SWE1-CertProvider-004;SWE1-CertProvider-005;SWE1-CertProvider-006;SWE1-CertProvider-007;SWE1-CertProvider-008;SWE1-CertProvider-009;SWE1-CertProvider-010;SWE1-CertProvider-011	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-003;NR1L-CP-004;NR1L-CP-005;NR1L-CP-006;NR1L-CP-007;NR1L-CP-008;NR1L-CP-009;NR1L-CP-010;NR1L-CP-011;NR1L-CP-012;NR1L-CP-013;NR1L-CP-014;NR1L-CP-015;NR1L-CP-016;NR1L-CP-017;NR1L-CP-018;NR1L-CP-019;NR1L-CP-020;NR1L-CP-021;NR1L-CP-022;NR1L-CP-023			environment;negative	boundary;environment;negative;variant	
NEW-CERT-11	Reject untrusted app/update signer end to end	SYS-RA-SEC-341;SYS-RA-SEC-342;SYS-RA-SEC-386;SYS-RA-SEC-387;SYS-RA-SEC-462;SYS-RA-SEC-463	SWE1-SRA-SECURITY-SWDL-001;SWE1-SRA-SECURITY-SWDL-002;SWE1-SRA-SECURITY-SWDL-003;SWE1-SRA-SECURITY-SWDL-004;SWE1-SRA-SECURITY-SWDL-005	COVERED	NR1L-SWDL-001;NR1L-SWDL-002;NR1L-SWDL-003;NR1L-SWDL-004;NR1L-SWDL-005;NR1L-SWDL-006;NR1L-SWDL-007;NR1L-SWDL-008;NR1L-SWDL-009;NR1L-SWDL-010;NR1L-SWDL-011			negative	boundary;negative;variant	
NEW-CERT-12	Verify complete APK before compilation and launch	SYS-RA-SEC-302;SYS-RA-SEC-303;SYS-RA-SEC-459;SYS-RA-SEC-463	SWE1-CertProvider-001;SWE1-CertProvider-002;SWE1-CertProvider-003;SWE1-CertProvider-004;SWE1-CertProvider-005;SWE1-CertProvider-006;SWE1-CertProvider-007;SWE1-CertProvider-008;SWE1-CertProvider-009;SWE1-CertProvider-010;SWE1-CertProvider-011	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-003;NR1L-CP-004;NR1L-CP-005;NR1L-CP-006;NR1L-CP-007;NR1L-CP-008;NR1L-CP-009;NR1L-CP-010;NR1L-CP-011;NR1L-CP-012;NR1L-CP-013;NR1L-CP-014;NR1L-CP-015;NR1L-CP-016;NR1L-CP-017;NR1L-CP-018;NR1L-CP-019;NR1L-CP-020;NR1L-CP-021;NR1L-CP-022;NR1L-CP-023			negative;variant	boundary;environment;negative;variant	
NEW-CERT-13	Verify JAR at installation and each start	SYS-RA-SEC-460;SYS-RA-SEC-461;SYS-RA-SEC-464	SWE1-CertProvider-001;SWE1-CertProvider-002;SWE1-CertProvider-003;SWE1-CertProvider-004;SWE1-CertProvider-005;SWE1-CertProvider-006;SWE1-CertProvider-007;SWE1-CertProvider-008;SWE1-CertProvider-009;SWE1-CertProvider-010;SWE1-CertProvider-011	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-003;NR1L-CP-004;NR1L-CP-005;NR1L-CP-006;NR1L-CP-007;NR1L-CP-008;NR1L-CP-009;NR1L-CP-010;NR1L-CP-011;NR1L-CP-012;NR1L-CP-013;NR1L-CP-014;NR1L-CP-015;NR1L-CP-016;NR1L-CP-017;NR1L-CP-018;NR1L-CP-019;NR1L-CP-020;NR1L-CP-021;NR1L-CP-022;NR1L-CP-023			negative;variant	boundary;environment;negative;variant	
NEW-REV-01	Check OCSP before remote certificate use	SYS-RA-SEC-530	SWE1-CertProvider-001;SWE1-CertProvider-002;SWE1-CertProvider-003;SWE1-CertProvider-004;SWE1-CertProvider-005;SWE1-CertProvider-006;SWE1-CertProvider-010;SWE1-CertProvider-011	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-003;NR1L-CP-004;NR1L-CP-005;NR1L-CP-006;NR1L-CP-007;NR1L-CP-008;NR1L-CP-009;NR1L-CP-010;NR1L-CP-011;NR1L-CP-012;NR1L-CP-013;NR1L-CP-014;NR1L-CP-021;NR1L-CP-022;NR1L-CP-023			negative	boundary;environment;negative;variant	
NEW-REV-02	Verify applicable OCSP stapling behavior	SYS-RA-SEC-531	SWE1-CertProvider-001;SWE1-CertProvider-002;SWE1-CertProvider-003;SWE1-CertProvider-004;SWE1-CertProvider-005;SWE1-CertProvider-006;SWE1-CertProvider-010;SWE1-CertProvider-011	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-003;NR1L-CP-004;NR1L-CP-005;NR1L-CP-006;NR1L-CP-007;NR1L-CP-008;NR1L-CP-009;NR1L-CP-010;NR1L-CP-011;NR1L-CP-012;NR1L-CP-013;NR1L-CP-014;NR1L-CP-021;NR1L-CP-022;NR1L-CP-023			negative;variant	boundary;environment;negative;variant	
NEW-REV-03	Persist and protect local revocation data	SYS-RA-SEC-532;SYS-RA-SEC-533;SYS-RA-SEC-539	SWE1-CertProvider-001;SWE1-CertProvider-002;SWE1-CertProvider-003;SWE1-CertProvider-004;SWE1-CertProvider-005;SWE1-CertProvider-006;SWE1-CertProvider-007;SWE1-CertProvider-009;SWE1-CertProvider-010;SWE1-CertProvider-011	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-003;NR1L-CP-004;NR1L-CP-005;NR1L-CP-006;NR1L-CP-007;NR1L-CP-008;NR1L-CP-009;NR1L-CP-010;NR1L-CP-011;NR1L-CP-012;NR1L-CP-013;NR1L-CP-014;NR1L-CP-015;NR1L-CP-016;NR1L-CP-019;NR1L-CP-020;NR1L-CP-021;NR1L-CP-022;NR1L-CP-023			boundary;environment;negative	boundary;environment;negative;variant	
NEW-REV-04	Update revocation state over OTA	SYS-RA-SEC-540;SYS-RA-SEC-529	SWE1-CertProvider-001;SWE1-CertProvider-002;SWE1-CertProvider-003;SWE1-CertProvider-004;SWE1-CertProvider-005;SWE1-CertProvider-006;SWE1-CertProvider-007;SWE1-CertProvider-009;SWE1-CertProvider-010;SWE1-CertProvider-011	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-003;NR1L-CP-004;NR1L-CP-005;NR1L-CP-006;NR1L-CP-007;NR1L-CP-008;NR1L-CP-009;NR1L-CP-010;NR1L-CP-011;NR1L-CP-012;NR1L-CP-013;NR1L-CP-014;NR1L-CP-015;NR1L-CP-016;NR1L-CP-019;NR1L-CP-020;NR1L-CP-021;NR1L-CP-022;NR1L-CP-023			environment;negative	boundary;environment;negative;variant	
NEW-REV-05	Process revocation triggers and approvals	SYS-RA-SEC-535;SYS-RA-SEC-536;SYS-RA-SEC-537;SYS-RA-SEC-538		NO_SWE1				variant		
NEW-CERT-14	Protect certificates and private-key storage	SYS-RA-SEC-291;SYS-RA-SEC-542;SYS-RA-SEC-545;SYS-RA-SEC-575	SWE1-CertProvider-001;SWE1-CertProvider-007;SWE1-CertProvider-009;SYSAD_SEC_ECUCERT_ECUONLINE	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-015;NR1L-CP-016;NR1L-CP-019;NR1L-CP-020;NR1L-ECUC-013;NR1L-ECUC-014			negative	environment;negative;variant	
NEW-CERT-15	Enforce immutable code-signing and HTA roots	SYS-RA-SEC-389;SYS-RA-SEC-543	SWE1-CertProvider-001;SWE1-CertProvider-007;SWE1-CertProvider-009	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-015;NR1L-CP-016;NR1L-CP-019;NR1L-CP-020			environment;negative	environment;negative;variant	
NEW-CERT-16	Update ECU identity root only by USB/FOTA	SYS-RA-SEC-546	SWE1-CertProvider-001;SWE1-CertProvider-007;SWE1-CertProvider-009	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-015;NR1L-CP-016;NR1L-CP-019;NR1L-CP-020			environment;negative	environment;negative;variant	
NEW-CERT-17	Bind ECU identity root to secure boot	SYS-RA-SEC-547	SWE1-CertProvider-001;SWE1-CertProvider-007;SWE1-CertProvider-009	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-015;NR1L-CP-016;NR1L-CP-019;NR1L-CP-020			environment;negative	environment;negative;variant	
NEW-CERT-18	Separate development and production signing states	SYS-RA-SEC-343;SYS-RA-SEC-544;SYS-RA-SEC-551;SYS-RA-SEC-588	SWE1-CertProvider-001;SWE1-CertProvider-007;SWE1-CertProvider-009;SWE1-KeyInsyall-001;SWE1-KeyInsyall-002;SWE1-KeyInsyall-003;SWE1-KeyInsyall-004;SWE1-KeyInsyall-005;SWE1-KeyInsyall-006;SWE1-KeyInsyall-007;SWE1-KeyInsyall-008;SWE1-KeyInsyall-009;SWE1-KeyInsyall-010;SWE1-KeyInsyall-011;SWE1-KeyInsyall-012;SWE1-KeyInsyall-013	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-015;NR1L-CP-016;NR1L-CP-019;NR1L-CP-020;NR1L-KI-001;NR1L-KI-002;NR1L-KI-003;NR1L-KI-004;NR1L-KI-005;NR1L-KI-006;NR1L-KI-007;NR1L-KI-008;NR1L-KI-009;NR1L-KI-010;NR1L-KI-011;NR1L-KI-012;NR1L-KI-013;NR1L-KI-014;NR1L-KI-015;NR1L-KI-016;NR1L-KI-017;NR1L-KI-018;NR1L-KI-019;NR1L-KI-020;NR1L-KI-021;NR1L-KI-022;NR1L-KI-023;NR1L-KI-024;NR1L-KI-025			environment;negative	boundary;environment;negative;variant	
NEW-CRYPTO-01	Review cryptographic algorithm and key strength	SYS-RA-SEC-376;SYS-RA-SEC-506;SYS-RA-SEC-507;SYS-RA-SEC-508;SYS-RA-SEC-509;SYS-RA-SEC-510;SYS-RA-SEC-511;SYS-RA-SEC-512;SYS-RA-SEC-513;SYS-RA-SEC-514	SWE1-CertProvider-001;SWE1-CertProvider-007;SWE1-CertProvider-009;SWE1-KeyInsyall-001;SWE1-KeyInsyall-002;SWE1-KeyInsyall-003;SWE1-KeyInsyall-004;SWE1-KeyInsyall-005;SWE1-KeyInsyall-006;SWE1-KeyInsyall-007;SWE1-KeyInsyall-008;SWE1-KeyInsyall-009;SWE1-KeyInsyall-010;SWE1-KeyInsyall-011;SWE1-KeyInsyall-012;SWE1-KeyInsyall-013	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-015;NR1L-CP-016;NR1L-CP-019;NR1L-CP-020;NR1L-KI-001;NR1L-KI-002;NR1L-KI-003;NR1L-KI-004;NR1L-KI-005;NR1L-KI-006;NR1L-KI-007;NR1L-KI-008;NR1L-KI-009;NR1L-KI-010;NR1L-KI-011;NR1L-KI-012;NR1L-KI-013;NR1L-KI-014;NR1L-KI-015;NR1L-KI-016;NR1L-KI-017;NR1L-KI-018;NR1L-KI-019;NR1L-KI-020;NR1L-KI-021;NR1L-KI-022;NR1L-KI-023;NR1L-KI-024;NR1L-KI-025				boundary;environment;negative;variant	
NEW-CERT-19	Complete referenced certificate-validation checklist	SYS-RA-SEC-548;SYS-RA-SEC-462	SWE1-CertProvider-001;SWE1-CertProvider-007;SWE1-CertProvider-009	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-015;NR1L-CP-016;NR1L-CP-019;NR1L-CP-020			negative	environment;negative;variant	
NEW-ID-01	Validate all identity-certificate installation fields	SYS-RA-SEC-570	SYSAD_SEC_ECUCERT_ECUCERT_API;SYSAD_SEC_ECUCERT_ECUCERT_SERVICE;SYSAD_SEC_ECUCERT_ECUONLINE;SYSAD_SEC_ECUCERT_ECUONLINE_DOWNLOADCERT_INTF	ACCEPTED_GAP	NR1L-ECUC-001;NR1L-ECUC-002;NR1L-ECUC-003;NR1L-ECUC-004;NR1L-ECUC-013;NR1L-ECUC-014;NR1L-ECUC-019;NR1L-ECUC-020	environment		environment;negative;variant	negative;variant	A-SEC-9 (ECUCert 037 十三列無 reboot／recovery／restart／power cycle，不拆)
NEW-ID-02	Generate and lock ECU identity keys during manufacture	SYS-RA-SEC-556;SYS-RA-SEC-558;SYS-RA-SEC-559;SYS-RA-SEC-560;SYS-RA-SEC-561	SYSAD_SEC_ECUCERT_DEALER;SYSAD_SEC_ECUCERT_DIAG;SYSAD_SEC_ECUCERT_ECUCERT_API;SYSAD_SEC_ECUCERT_ECUCERT_JNI;SYSAD_SEC_ECUCERT_ECUCERT_SERVICE;SYSAD_SEC_ECUCERT_ECUCERT_SERVICE_BINDER;SYSAD_SEC_ECUCERT_ECUCERT_SRV_EXPORTCERT_INTF;SYSAD_SEC_ECUCERT_ECUCERT_SRV_EXPORTCSR_INTF;SYSAD_SEC_ECUCERT_ECUCERT_SRV_IMPORTCERT_INTF;SYSAD_SEC_ECUCERT_ECUCERT_STORAGE_IO;SYSAD_SEC_ECUCERT_ECUONLINE;SYSAD_SEC_ECUCERT_ECUONLINE_BINDER;SYSAD_SEC_ECUCERT_ECUONLINE_DOWNLOADCERT_INTF	COVERED	NR1L-ECUC-001;NR1L-ECUC-002;NR1L-ECUC-003;NR1L-ECUC-004;NR1L-ECUC-005;NR1L-ECUC-006;NR1L-ECUC-007;NR1L-ECUC-008;NR1L-ECUC-009;NR1L-ECUC-010;NR1L-ECUC-011;NR1L-ECUC-012;NR1L-ECUC-013;NR1L-ECUC-014;NR1L-ECUC-015;NR1L-ECUC-016;NR1L-ECUC-017;NR1L-ECUC-018;NR1L-ECUC-019;NR1L-ECUC-020			environment;negative	boundary;environment;negative;variant	
NEW-ID-03	Export CSR and verify identity binding	SYS-RA-SEC-562;SYS-RA-SEC-563;SYS-RA-SEC-564;SYS-RA-SEC-565	SYSAD_SEC_ECUCERT_DEALER;SYSAD_SEC_ECUCERT_DIAG;SYSAD_SEC_ECUCERT_ECUCERT_SERVICE;SYSAD_SEC_ECUCERT_ECUCERT_SRV_EXPORTCSR_INTF;SYSAD_SEC_ECUCERT_ECUONLINE_DOWNLOADCERT_INTF	COVERED	NR1L-ECUC-003;NR1L-ECUC-004;NR1L-ECUC-005;NR1L-ECUC-006;NR1L-ECUC-007;NR1L-ECUC-008;NR1L-ECUC-009;NR1L-ECUC-010;NR1L-ECUC-019;NR1L-ECUC-020			environment;variant	boundary;environment;negative;variant	
NEW-ID-04	Import and renew client certificate	SYS-RA-SEC-553;SYS-RA-SEC-554;SYS-RA-SEC-567;SYS-RA-SEC-569;SYS-RA-SEC-577	SYSAD_SEC_ECUCERT_DEALER;SYSAD_SEC_ECUCERT_DIAG;SYSAD_SEC_ECUCERT_ECUCERT_API;SYSAD_SEC_ECUCERT_ECUCERT_JNI;SYSAD_SEC_ECUCERT_ECUCERT_SERVICE;SYSAD_SEC_ECUCERT_ECUCERT_SERVICE_BINDER;SYSAD_SEC_ECUCERT_ECUCERT_SRV_EXPORTCERT_INTF;SYSAD_SEC_ECUCERT_ECUCERT_SRV_EXPORTCSR_INTF;SYSAD_SEC_ECUCERT_ECUCERT_SRV_IMPORTCERT_INTF;SYSAD_SEC_ECUCERT_ECUCERT_STORAGE_IO;SYSAD_SEC_ECUCERT_ECUONLINE;SYSAD_SEC_ECUCERT_ECUONLINE_BINDER;SYSAD_SEC_ECUCERT_ECUONLINE_DOWNLOADCERT_INTF	COVERED	NR1L-ECUC-001;NR1L-ECUC-002;NR1L-ECUC-003;NR1L-ECUC-004;NR1L-ECUC-005;NR1L-ECUC-006;NR1L-ECUC-007;NR1L-ECUC-008;NR1L-ECUC-009;NR1L-ECUC-010;NR1L-ECUC-011;NR1L-ECUC-012;NR1L-ECUC-013;NR1L-ECUC-014;NR1L-ECUC-015;NR1L-ECUC-016;NR1L-ECUC-017;NR1L-ECUC-018;NR1L-ECUC-019;NR1L-ECUC-020			environment;variant	boundary;environment;negative;variant	
NEW-ID-05	Use ECU identity in mutual TLS and HTA operations	SYS-RA-SEC-571;SYS-RA-SEC-572;SYS-RA-SEC-573;SYS-RA-SEC-574;SYS-RA-SEC-575;SYS-RA-SEC-576	SYSAD_SEC_ECUCERT_ECUCERT_API;SYSAD_SEC_ECUCERT_ECUCERT_SERVICE;SYSAD_SEC_ECUCERT_ECUONLINE;SYSAD_SEC_ECUCERT_ECUONLINE_DOWNLOADCERT_INTF	COVERED	NR1L-ECUC-001;NR1L-ECUC-002;NR1L-ECUC-003;NR1L-ECUC-004;NR1L-ECUC-013;NR1L-ECUC-014;NR1L-ECUC-019;NR1L-ECUC-020			negative	negative;variant	
NEW-BOOT-01	Authenticate complete startup and execution scope	SYS-RA-SEC-299;SYS-RA-SEC-300;SYS-RA-SEC-301;SYS-RA-SEC-302;SYS-RA-SEC-304;SYS-RA-SEC-309		NO_SWE1				negative		
NEW-BOOT-02	Verify bus-micro key separation and HTA chain	SYS-RA-SEC-295;SYS-RA-SEC-306;SYS-RA-SEC-307;SYS-RA-SEC-356;SYS-RA-SEC-358	SWE1-KeyInsyall-003;SWE1-KeyInsyall-007;SWE1-SRA-SECURITY-SWDL-001	COVERED	NR1L-KI-004;NR1L-KI-005;NR1L-KI-012;NR1L-KI-013;NR1L-SWDL-007;NR1L-SWDL-008			negative	environment;negative;variant	
NEW-UPD-01	Reject forbidden software and key rollback	SYS-RA-SEC-344;SYS-RA-SEC-352;SYS-RA-SEC-353;SYS-RA-SEC-354	SWE1-SRA-SECURITY-SWDL-001	ACCEPTED_GAP	NR1L-SWDL-007;NR1L-SWDL-008	negative		negative	variant	A-SEC-11 (037 SWDL-001 VC 無負向要件，不拆)
NEW-DIAG-01	Verify approved diagnostic role permissions	SYS-RA-SEC-149;SYS-RA-SEC-277;SYS-RA-SEC-279		NO_SWE1				negative;variant		
