ruling_id	舊 sha8	新 sha8	kind	source	變動原因
R-VF131	—	2dbc4748	ruling	features/vehicle_setting/RULINGS.md	VS 線 V34–V70 之落檔，舊 tsv 產於其前（本包不動其內容）
R-VF132	—	b05d4582	ruling	features/vehicle_setting/RULINGS.md	VS 線 V34–V70 之落檔，舊 tsv 產於其前（本包不動其內容）
R-VF133	—	f853cbd1	ruling	features/vehicle_setting/RULINGS.md	VS 線 V34–V70 之落檔，舊 tsv 產於其前（本包不動其內容）
R-VF134	—	3df00b46	ruling	features/vehicle_setting/RULINGS.md	VS 線 V34–V70 之落檔，舊 tsv 產於其前（本包不動其內容）
R-VF135	—	f6ad9943	ruling	features/vehicle_setting/RULINGS.md	VS 線 V34–V70 之落檔，舊 tsv 產於其前（本包不動其內容）
R-VF136	—	df62fc6f	ruling	features/vehicle_setting/RULINGS.md	VS 線 V34–V70 之落檔，舊 tsv 產於其前（本包不動其內容）
R-VF137	—	1a9d3d72	ruling	features/vehicle_setting/RULINGS.md	VS 線 V34–V70 之落檔，舊 tsv 產於其前（本包不動其內容）
R-VF138	—	681b3ea3	ruling	features/vehicle_setting/RULINGS.md	VS 線 V34–V70 之落檔，舊 tsv 產於其前（本包不動其內容）
R-VF139	—	26c01f14	ruling	features/vehicle_setting/RULINGS.md	VS 線 V34–V70 之落檔，舊 tsv 產於其前（本包不動其內容）
R-VF140	—	f2afc86f	ruling	features/vehicle_setting/RULINGS.md	VS 線 V34–V70 之落檔，舊 tsv 產於其前（本包不動其內容）
R-VF141	—	3561aa7f	ruling	features/vehicle_setting/RULINGS.md	VS 線 V34–V70 之落檔，舊 tsv 產於其前（本包不動其內容）
R-VF142	—	88a3c9a5	ruling	features/vehicle_setting/RULINGS.md	VS 線 V34–V70 之落檔，舊 tsv 產於其前（本包不動其內容）
R-VF96	—	a9a84fe8	ruling	features/vehicle_setting/RULINGS.md	VS 線 V34–V70 之落檔，舊 tsv 產於其前（本包不動其內容）
R-VF97	—	d9f44e3e	ruling	features/vehicle_setting/RULINGS.md	VS 線 V34–V70 之落檔，舊 tsv 產於其前（本包不動其內容）
R-VF98	—	3a5f2be8	ruling	features/vehicle_setting/RULINGS.md	VS 線 V34–V70 之落檔，舊 tsv 產於其前（本包不動其內容）
R-VF95	876654d9	876654d9	superseded→ruling	features/vehicle_setting/RULINGS.md	`rulings_hash.py` 之 `<details>` 巢深誤計已修 —— 敘述行以反引號談論該標籤者不再計為開啟摺疊區；本筆之 superseded 為誤判，sha 未變
R-VS82	12177e4f	12177e4f	superseded→ruling	features/vehicle_setting/RULINGS.md	`rulings_hash.py` 之 `<details>` 巢深誤計已修 —— 敘述行以反引號談論該標籤者不再計為開啟摺疊區；本筆之 superseded 為誤判，sha 未變
R-VS83	1936a6ab	1936a6ab	superseded→ruling	features/vehicle_setting/RULINGS.md	`rulings_hash.py` 之 `<details>` 巢深誤計已修 —— 敘述行以反引號談論該標籤者不再計為開啟摺疊區；本筆之 superseded 為誤判，sha 未變
