path	sha8	which	sheets
features/power/sandbox/delivery_backup/20260824T075848Z/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerManagement_20260821.xlsx	611fab59	A(&Result)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification&Result | Reference | Test Case Framework | QS Suggestion | 下拉選單
features/power/sandbox/delivery_backup/20260824T075848Z/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerManagement_20260820.xlsx	c80ee6da	A(&Result)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification&Result | Reference | Test Case Framework | QS Suggestion | 下拉選單
features/power/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerManagement_20260816.xlsx	ce931747	A(&Result)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification&Result | Reference | Test Case Framework | QS Suggestion | 下拉選單
features/audio_mgmt/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Audio(AACP)_20260624.xlsx	caf9cb24	A(&Result)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification&Result | Test Case Framework | Reference | QS Suggestion | 下拉選單
features/audio_mgmt/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	6372fb6b	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/popup/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Popup_20260828.xlsx	a13559d5	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/popup/sandbox/pilot01/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	dc0963d7	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/popup/sandbox/base/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	6372fb6b	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/vehicle_setting/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_VF230_20260902.presl07.bak.xlsx	49b1bf94	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | Test Case Framework | QS Suggestion | 下拉選單
features/vehicle_setting/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_VF230_20260902.presl09.bak.xlsx	6c3067ea	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | Test Case Framework | QS Suggestion | 下拉選單
features/vehicle_setting/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_VF230_20260902.xlsx	aed08b4d	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | Test Case Framework | QS Suggestion | 下拉選單
features/vehicle_setting/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_CFTS044_Vehicle Controls_20260819.xlsx	ebe5a65f	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | Test Case Framework | QS Suggestion | 下拉選單
features/vehicle_setting/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_VF230_20260819.xlsx	adee5dc4	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | Test Case Framework | QS Suggestion | 下拉選單
features/privacy/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Privacy_20260813_regen-v1.xlsx	ad595ed0	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/privacy/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Privacy_20260813_prepared.xlsx	ed741d8d	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/privacy/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260121.xlsx	cd876c20	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/ics_management/delivered/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_ICSManagement_20260830.xlsx	cb5697db	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/user_profiles/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_UserProfiles_20260819.xlsx	0e40ff5b	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/user_profiles/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_UserProfiles_20260820_itemdata.xlsx	570eb7cd	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/user_profiles/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_UserProfiles_20260820_itemgap.xlsx	cbd04af6	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/user_profiles/inputs/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	6372fb6b	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_SWUpdate_EMPTY_20260828.xlsx	3d439541	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch8/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	ab9415bb	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch6/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	6af353ee	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/rov_a/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	40ecacdb	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch7/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	663d8b02	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch9/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	5b1e785c	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch03/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	52ae3b17	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/pilot05/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	c349aefd	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/pilot02/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	cc5ac549	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/pilot03/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	5a881012	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/pilot04/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	aadfb087	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/probe_sibling9/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	81afdf7f	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch21/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	528f56ed	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch19/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	26407fb9	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch10/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	904998e5	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch17/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	ce2aa160	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/probe_all10/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	45da648e	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch16/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	bc66d5b5	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch11/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	3bf20ab4	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/probe_all17/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	201bfeb0	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch18/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	32391150	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch20/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	93320f41	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/rov_cd/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	7efbc509	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch01/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	ad131475	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch02a/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	2a956804	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch5/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	ab27fcce	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch4/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	abbe7b95	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/rov_b/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	032c2cd3	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/pilot01/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	f8eaca24	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/pilot06/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	34253730	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch22/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	b164dc6a	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch14/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	20902564	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch13/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	05e330dd	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch12/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	d3dde30c	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch15/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	e0daffc0	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/sandbox/batch23/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	2ea0cf03	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/sw_update/delivered/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_SWUpdate_20260830.xlsx	4f6caa35	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
