needle	path	line	category	text
FICTITIOUS	tests/test_writer.py	629	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	665	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_api_server.py	19	test fixture	"ws_tc = wb.create_sheet(""Test Case Specification&Result"")"
FICTITIOUS	tests/test_api_server.py	41	test fixture	"ws_tc = wb.create_sheet(""Test Case Specification&Result"")"
FICTITIOUS	tests/test_api_server.py	506	test fixture	"ws_tc = wb.create_sheet(""Test Case Specification&Result"")"
FICTITIOUS	tests/test_api_server.py	867	test fixture	"ws = workbook[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_api_server.py	920	test fixture	"ws = workbook[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_api_server.py	969	test fixture	"ws = workbook[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_api_server.py	1024	test fixture	"ws = workbook[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_api_server.py	2037	test fixture	"ws_tc = wb.create_sheet(""Test Case Specification&Result"")"
MASTER	tests/test_lint036.py	52	test other	"ws.title = ""Test Case Specification 測試用例規範"""
FICTITIOUS	tests/test_tool_inspect_jobs.py	30	test fixture	"tc = wb.create_sheet(""Test Case Specification&Result"")"
FICTITIOUS	tests/test_tool_inspect_jobs.py	50	test other	"assert ""Test Case Specification&Result"" in out[""sheets""]"
FICTITIOUS	tests/test_parser_for_review.py	26	test fixture	"ws_tc = wb.create_sheet(""Test Case Specification&Result"")"
MASTER	tests/test_lint_docs036.py	332	test other	`Test Case Specification 測試用例規範` 分頁第 10–11 列帶範本示例殘留：
MASTER	tests/test_xlsx_surgical_invariant.py	42	test other	"SHEET = ""Test Case Specification 測試用例規範"""
FICTITIOUS	tests/test_main.py	24	test fixture	"ws_tc = wb.create_sheet(""Test Case Specification&Result"")"
FICTITIOUS	tests/test_main.py	135	test fixture	"ws = loaded[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_main.py	263	test fixture	"ws_tc = wb.create_sheet(""Test Case Specification&Result"")"
FICTITIOUS	tests/test_review_engine.py	55	test fixture	"ws_tc = wb.create_sheet(""Test Case Specification&Result"")"
FICTITIOUS	tests/test_tool_write.py	19	test fixture	"ws_tc = wb.create_sheet(""Test Case Specification&Result"")"
FICTITIOUS	tests/test_tool_write.py	61	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_tool_write.py	122	test fixture	"ws = wb[""Test Case Specification&Result""]"
MASTER	tests/test_lint_delivery_spec.py	47	test other	"ws.title = ""Test Case Specification 測試用例規範"""
MASTER	docs/runtime/ASPICE_SWE6_AI_Review.md	2	doc	Audit existing TCs against SWE.6 (deterministic, reproducible, auditable, traceable, no FP/FF). Input = a batch of TCs from an Excel workbook (`Test Case Specif
MASTER	docs/runtime/ASPICE_SWE6_AI_Review.md	52	doc	1. **Parse workbook** — locate `Test Case Specification 測試用例規範` sheet; identify header row (typically row 9); extract data rows where `Test Case ID` is present.
MASTER	docs/runtime/ASPICE_SWE6_AI_Review.md	202	doc	"""sheet"": ""Test Case Specification 測試用例規範"","
FICTITIOUS	docs/runtime/profiles/FW036_R1L_Power_Profile.md	24	doc	- **範本版本與 Comfort / Privacy 不同**（A-PW47）：分頁名 `Test Case Specification&Result`
MASTER	docs/runtime/profiles/FW036_R1L_Power_Profile.md	25	doc	（另二者為 `Test Case Specification 測試用例規範`）、**35 欄**（另二者 34 欄）
MASTER	docs/runtime/profiles/FW036_R1L_Comfort_Profile.md	35	doc	資料工作表 `Test Case Specification 測試用例規範`
MASTER	docs/runtime/profiles/FW036_R1L_Privacy_Profile.md	38	doc	`Product Document 記錄封面頁`, `Test Case Specification 測試用例規範`,
MASTER	docs/runtime/profiles/FW036_R1L_PowerModing_Profile.md	25	doc	- 分頁 `Test Case Specification 測試用例規範`，**34 欄（rev C）**，
MASTER	docs/fw036/handoff/up/20260905_GC-01.md	234	doc	**`Test Case Specification 測試用例規範`**／`Reference`／`QS Suggestion`／`下拉選單`。
FICTITIOUS	docs/fw036/handoff/up/20260905_GC-01.md	235	doc	`Test Case Specification&Result` **不在其中**。目標表維度 `A1:AH1411`。
FICTITIOUS	docs/fw036/handoff/up/20260905_GC-01.md	241	doc	| `sheet` | `Test Case Specification&Result` | `Test Case Specification 測試用例規範` | **誤** | —（該名不存在）|
MASTER	docs/fw036/handoff/up/20260905_GC-01.md	241	doc	| `sheet` | `Test Case Specification&Result` | `Test Case Specification 測試用例規範` | **誤** | —（該名不存在）|
FICTITIOUS	docs/fw036/handoff/up/20260905_GC-01.md	262	doc	"以 `wb.create_sheet(""Test Case Specification&Result"")` 自建 fixture，"
FICTITIOUS	docs/fw036/handoff/up/20260905_GC-01.md	412	doc	| 測試夾具之 `Test Case Specification&Result` | 見 §6 末 |
FICTITIOUS	docs/fw036/handoff/down/20260905_GC-01_review.md	60	doc	測試夾具 `Test Case Specification&Result`（`test_parser.py`／`test_writer.py`／`test_tool_parse.py`）為不存在之表名擴散——裁：夾具改為母本實測表名 `Test Case Specification 測試用例規範`，並加一支「夾具表名 
MASTER	docs/fw036/handoff/down/20260905_GC-01_review.md	60	doc	測試夾具 `Test Case Specification&Result`（`test_parser.py`／`test_writer.py`／`test_tool_parse.py`）為不存在之表名擴散——裁：夾具改為母本實測表名 `Test Case Specification 測試用例規範`，並加一支「夾具表名 
FICTITIOUS	docs/fw036/handoff/down/20260905_GC-02.md	41	doc	`Test Case Specification&Result` 與 `Test Case Specification 測試用例規範`，逐處列檔／行／類別（code 讀取／code 寫入／test fixture／doc／feature.yaml）。
MASTER	docs/fw036/handoff/down/20260905_GC-02.md	41	doc	`Test Case Specification&Result` 與 `Test Case Specification 測試用例規範`，逐處列檔／行／類別（code 讀取／code 寫入／test fixture／doc／feature.yaml）。
FICTITIOUS	docs/fw036/handoff/down/20260905_GC-01.md	108	doc	sheet 名（模板 `Test Case Specification&Result`，實為 `Test Case Specification 測試用例規範`）、
MASTER	docs/fw036/handoff/down/20260905_GC-01.md	108	doc	sheet 名（模板 `Test Case Specification&Result`，實為 `Test Case Specification 測試用例規範`）、
FICTITIOUS	docs/fw036/templates/feature.yaml	25	feature.yaml	# sheet `Test Case Specification&Result`（該名不存在）、design_method `Q`
MASTER	docs/fw036/templates/feature.yaml	28	feature.yaml	"sheet: ""Test Case Specification 測試用例規範"""
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_26341ffe_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_da955241_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/UserProfiles_0e40ff5b_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_086e471c_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/Privacy_ad595ed0_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_ff976761_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/SWUpdate__sw_update_7f019b37_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_32391150_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_6af353ee_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_ad131475_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_ab9415bb_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/Display__display_06972455_20260827.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_f00f2a75_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/BedLowering_efa1da4c_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_93320f41_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_ab27fcce_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
FICTITIOUS	docs/fw036/lint_reports/pm_29__power_35305835_20260824.md	5	doc	- sheet：`Test Case Specification&Result`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_0a66e037_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/UserProfiles_cbd04af6_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_81afdf7f_20260828.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_2a956804_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_1324e85f_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_7efbc509_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_904998e5_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/BT_20260821.json	73	doc	"""sheet"": ""Test Case Specification 測試用例規範"","
FICTITIOUS	docs/fw036/lint_reports/pm_27__power_20260824.md	5	doc	- sheet：`Test Case Specification&Result`（header 第 9 列）
MASTER	docs/fw036/lint_reports/Comfort_b68117a2_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/BT_20260821.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_7c5e94c3_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
FICTITIOUS	docs/fw036/lint_reports/pm_29_35305835_20260829.md	5	doc	- sheet：`Test Case Specification&Result`（header 第 9 列）
MASTER	docs/fw036/lint_reports/Comfort_235f2ca7_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/CFTS026_HandsFreePhone_20260821.json	73	doc	"""sheet"": ""Test Case Specification 測試用例規範"","
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_aadfb087_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_8a78b9e6_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_cc5ac549_20260828.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/Comfort_6d53056e_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_8ee0c46a_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/Privacy_ed741d8d_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_52ae3b17_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/Projection_20260821.json	73	doc	"""sheet"": ""Test Case Specification 測試用例規範"","
MASTER	docs/fw036/lint_reports/SWUpdate_EMPTY_3d439541_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/AMFM_20260821.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/Home_20260821.json	73	doc	"""sheet"": ""Test Case Specification 測試用例規範"","
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_bc66d5b5_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_d3dde30c_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_05e330dd_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_e0daffc0_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_abbe7b95_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/MediaHMI_20260821.json	73	doc	"""sheet"": ""Test Case Specification 測試用例規範"","
MASTER	docs/fw036/lint_reports/prepared_step1_cleared_b68117a2_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/Home_20260821.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_bff1d63b_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_c349aefd_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/PowerModing_8f471ddf_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_528f56ed_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/PowerModing_070ef73c_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
FICTITIOUS	docs/fw036/lint_reports/CFTS012_DealerMode_20260821.json	73	doc	"""sheet"": ""Test Case Specification&Result"","
FICTITIOUS	docs/fw036/lint_reports/CFTS012_DealerMode_20260821.md	5	doc	- sheet：`Test Case Specification&Result`（header 第 9 列）
FICTITIOUS	docs/fw036/lint_reports/pm_28__power_20260824.md	5	doc	- sheet：`Test Case Specification&Result`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_5caa4794_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
FICTITIOUS	docs/fw036/lint_reports/pm_25__power_20260824.md	5	doc	- sheet：`Test Case Specification&Result`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_36593403_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
FICTITIOUS	docs/fw036/lint_reports/PowerManagement_20260821.md	5	doc	- sheet：`Test Case Specification&Result`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_201bfeb0_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_e06d54b8_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_40ecacdb_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_8d4aa2ca_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
FICTITIOUS	docs/fw036/lint_reports/pm_29__power_35305835_20260824.json	94	doc	"""sheet"": ""Test Case Specification&Result"","
FICTITIOUS	docs/fw036/lint_reports/pm_26__power_20260824.md	5	doc	- sheet：`Test Case Specification&Result`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_34253730_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_711a5854_20260828.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/SXM_0b9cb4f6_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_26407fb9_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_20902564_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_4c6ca79c_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/AMFM_20260821.json	73	doc	"""sheet"": ""Test Case Specification 測試用例規範"","
MASTER	docs/fw036/lint_reports/SWUpdate__sw_update_4f6caa35_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_faaeeea9_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/PowerModing_01e917b8_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_b164dc6a_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/VehicleCategory_c470defd_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/UserProfiles_570eb7cd_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_5a881012_20260828.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/Projection_20260821.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_7bab8660_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/CFTS026_HandsFreePhone_20260821.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_c94963b8_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/Display_06972455_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_45da648e_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_4b398976_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
FICTITIOUS	docs/fw036/lint_reports/PowerManagement_20260821.json	77	doc	"""sheet"": ""Test Case Specification&Result"","
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_032c2cd3_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_ce2aa160_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_2ea0cf03_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_f8eaca24_20260828.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/driver_distraction_00__driver_distraction_f5a16c7b_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/time_management_20260825_717d48d8_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_6d907b29_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_f41e1abb_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/MediaHMI_20260821.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_a3633876_20260828.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_57f80b7c_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_5b1e785c_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_663d8b02_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/sw_update_20260817_ext__sw_update_3bf20ab4_20260830.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
MASTER	docs/fw036/lint_reports/Popup_a13559d5_20260829.md	5	doc	- sheet：`Test Case Specification 測試用例規範`（header 第 9 列）
FICTITIOUS	docs/fw036/upstream/00_lint_bootstrap.md	53	doc	`Test Case Specification 測試用例規範` 與 `Test Case Specification&Result`。
MASTER	docs/fw036/upstream/00_lint_bootstrap.md	53	doc	`Test Case Specification 測試用例規範` 與 `Test Case Specification&Result`。
