tc_id	class	itd_len	itd_lines	last_step_words	inline_words_est	disposition
NR1L-PowerManagement-083	b	65	1	9	10	單行逾 60 字元，逐條檢；逾 18 字則拆步，不得刪資料
NR1L-PowerManagement-084	b	65	1	10	10	單行逾 60 字元，逐條檢；逾 18 字則拆步，不得刪資料
NR1L-PowerManagement-093	a	37	1	12	6	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-094	a	36	1	9	6	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-095	a	37	1	9	6	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-096	a	37	1	11	6	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-097	a	42	1	13	6	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-098	a	42	1	13	6	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-099	a	38	1	10	6	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-102	a	38	1	10	6	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-107	c	44	1	13	10	IN §4.5 第 3 類獨立資料集 → 保留 ITD，Remarks 說明
NR1L-PowerManagement-108	b	79	1	8	12	單行逾 60 字元，逐條檢；逾 18 字則拆步，不得刪資料
NR1L-PowerManagement-109	a	56	1	9	9	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-110	a	52	1	9	8	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-111	a	49	1	12	7	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-112	a	37	1	15	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-113	a	37	1	13	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-114	a	37	1	12	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-115	a	37	1	13	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-129	a	49	1	12	7	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-130	a	49	1	12	7	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-131	a	53	1	12	7	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-132	a	53	1	12	7	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-133	a	41	1	13	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-134	a	41	1	13	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-135	a	36	1	14	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-136	a	41	1	14	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-137	a	41	1	15	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-138	a	41	1	15	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-139	a	37	1	13	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-140	a	37	1	13	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-141	a	37	1	9	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-142	a	37	1	9	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-144	a	41	1	15	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-146	a	37	1	17	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-147	a	41	1	15	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-153	a	36	1	12	6	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-154	a	34	1	12	6	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-157	a	23	1	13	7	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-158	a	23	1	18	7	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-159	a	21	1	15	8	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-160	a	24	1	15	8	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-161	a	34	1	15	9	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-162	a	22	1	13	10	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-163	a	49	1	12	17	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-164	a	49	1	12	17	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-165	a	49	1	15	17	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-166	a	37	1	12	11	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-167	a	35	1	12	11	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-168	a	35	1	12	11	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-171	a	31	1	10	7	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-173	a	54	1	10	9	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-174	a	37	1	11	7	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-175	a	37	1	11	7	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-176	a	37	1	11	7	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-177	a	32	1	10	10	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-178	a	59	1	11	18	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-180	a	44	1	11	15	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-181	a	41	1	10	12	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-184	a	57	1	12	9	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-188	b	64	1	12	18	單行逾 60 字元，逐條檢；逾 18 字則拆步，不得刪資料
NR1L-PowerManagement-190	b	66	1	12	19	單行逾 60 字元，逐條檢；逾 18 字則拆步，不得刪資料
NR1L-PowerManagement-196	a	36	1	12	6	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-197	a	34	1	12	6	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-208	a	47	1	10	19	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-209	a	52	1	10	20	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-210	a	48	1	10	19	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-211	a	48	1	10	19	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-212	a	48	1	10	19	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-213	a	53	1	10	21	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-214	a	45	1	10	20	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-218	c	66	1	10	26	IN §4.5 第 3 類獨立資料集 → 保留 ITD，Remarks 說明
NR1L-PowerManagement-225	a	22	1	13	10	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-226	a	49	1	15	17	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-227	b	63	1	12	12	單行逾 60 字元，逐條檢；逾 18 字則拆步，不得刪資料
NR1L-PowerManagement-228	a	23	1	12	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-229	a	56	1	12	13	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-230	b	72	1	13	17	單行逾 60 字元，逐條檢；逾 18 字則拆步，不得刪資料
NR1L-PowerManagement-232	a	59	1	9	12	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-233	a	26	1	11	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-234	a	22	1	11	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-235	a	22	1	11	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-236	a	26	1	12	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-237	a	22	1	12	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-238	a	22	1	12	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-239	a	22	1	14	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-240	a	22	1	14	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-241	a	24	1	14	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-242	b	87	1	12	11	單行逾 60 字元，逐條檢；逾 18 字則拆步，不得刪資料
NR1L-PowerManagement-243	a	45	1	12	8	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-244	b	87	1	12	11	單行逾 60 字元，逐條檢；逾 18 字則拆步，不得刪資料
NR1L-PowerManagement-245	a	45	1	12	8	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-247	a	59	1	9	12	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-248	a	21	1	12	5	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-249	a	40	1	13	9	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-250	a	46	1	11	9	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-251	a	42	1	11	8	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-252	a	44	1	11	8	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-255	a	51	1	10	15	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-256	a	48	1	10	15	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-257	a	47	1	10	15	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-258	a	52	1	10	15	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-262	c	105	1	15	24	IN §4.5 第 3 類獨立資料集 → 保留 ITD，Remarks 說明
NR1L-PowerManagement-267	a	51	1	14	8	內聯至 Procedure 該步，ITD 改 NA
