provisional_tc_id	final_tc_id	req_id	split_index
NR1L-PowerManagement-105	NR1L-PowerManagement-063	SWE-PM-030	1
NR1L-PowerManagement-106	NR1L-PowerManagement-064	SWE-PM-030	2
NR1L-PowerManagement-107	NR1L-PowerManagement-065	SWE-PM-031	1
NR1L-PowerManagement-108	NR1L-PowerManagement-066	SWE-PM-032	1
NR1L-PowerManagement-109	NR1L-PowerManagement-067	SWE-PM-033	1
NR1L-PowerManagement-110	NR1L-PowerManagement-068	SWE-PM-033	2
NR1L-PowerManagement-111	NR1L-PowerManagement-069	SWE-PM-034	1
NR1L-PowerManagement-112	NR1L-PowerManagement-070	SWE-PM-035	1
NR1L-PowerManagement-113	NR1L-PowerManagement-071	SWE-PM-035	2
NR1L-PowerManagement-114	NR1L-PowerManagement-072	SWE-PM-035	3
NR1L-PowerManagement-115	NR1L-PowerManagement-073	SWE-PM-035	4
NR1L-PowerManagement-116	NR1L-PowerManagement-074	SWE-PM-036	1
NR1L-PowerManagement-117	NR1L-PowerManagement-075	SWE-PM-037	1
NR1L-PowerManagement-032	NR1L-PowerManagement-076	SWE-PM-038	1
NR1L-PowerManagement-033	NR1L-PowerManagement-077	SWE-PM-038	2
NR1L-PowerManagement-034	NR1L-PowerManagement-078	SWE-PM-038	3
NR1L-PowerManagement-035	NR1L-PowerManagement-079	SWE-PM-038	4
NR1L-PowerManagement-036	NR1L-PowerManagement-080	SWE-PM-038	5
NR1L-PowerManagement-037	NR1L-PowerManagement-081	SWE-PM-038	6
NR1L-PowerManagement-038	NR1L-PowerManagement-082	SWE-PM-038	7
NR1L-PowerManagement-039	NR1L-PowerManagement-083	SWE-PM-038	8
NR1L-PowerManagement-040	NR1L-PowerManagement-084	SWE-PM-038	9
NR1L-PowerManagement-041	NR1L-PowerManagement-085	SWE-PM-038	10
NR1L-PowerManagement-042	NR1L-PowerManagement-086	SWE-PM-038	11
NR1L-PowerManagement-118	NR1L-PowerManagement-087	SWE-PM-039	1
NR1L-PowerManagement-119	NR1L-PowerManagement-088	SWE-PM-039	2
NR1L-PowerManagement-120	NR1L-PowerManagement-089	SWE-PM-039	3
NR1L-PowerManagement-121	NR1L-PowerManagement-090	SWE-PM-039	4
NR1L-PowerManagement-122	NR1L-PowerManagement-091	SWE-PM-040	1
NR1L-PowerManagement-123	NR1L-PowerManagement-092	SWE-PM-041	1
NR1L-PowerManagement-124	NR1L-PowerManagement-093	SWE-PM-041	2
NR1L-PowerManagement-125	NR1L-PowerManagement-094	SWE-PM-042	1
NR1L-PowerManagement-126	NR1L-PowerManagement-095	SWE-PM-042	2
NR1L-PowerManagement-127	NR1L-PowerManagement-096	SWE-PM-043	1
NR1L-PowerManagement-128	NR1L-PowerManagement-097	SWE-PM-043	2
NR1L-PowerManagement-129	NR1L-PowerManagement-098	SWE-PM-044	1
NR1L-PowerManagement-130	NR1L-PowerManagement-099	SWE-PM-044	2
NR1L-PowerManagement-131	NR1L-PowerManagement-100	SWE-PM-044	3
NR1L-PowerManagement-132	NR1L-PowerManagement-101	SWE-PM-044	4
NR1L-PowerManagement-133	NR1L-PowerManagement-102	SWE-PM-045	1
NR1L-PowerManagement-134	NR1L-PowerManagement-103	SWE-PM-045	2
NR1L-PowerManagement-135	NR1L-PowerManagement-104	SWE-PM-046	1
NR1L-PowerManagement-136	NR1L-PowerManagement-105	SWE-PM-046	2
NR1L-PowerManagement-137	NR1L-PowerManagement-106	SWE-PM-047	1
NR1L-PowerManagement-138	NR1L-PowerManagement-107	SWE-PM-047	2
NR1L-PowerManagement-139	NR1L-PowerManagement-108	SWE-PM-048	1
NR1L-PowerManagement-140	NR1L-PowerManagement-109	SWE-PM-048	2
NR1L-PowerManagement-141	NR1L-PowerManagement-110	SWE-PM-048	3
NR1L-PowerManagement-142	NR1L-PowerManagement-111	SWE-PM-048	4
NR1L-PowerManagement-143	NR1L-PowerManagement-112	SWE-PM-048	5
NR1L-PowerManagement-144	NR1L-PowerManagement-113	SWE-PM-049	1
NR1L-PowerManagement-145	NR1L-PowerManagement-114	SWE-PM-050	1
NR1L-PowerManagement-146	NR1L-PowerManagement-115	SWE-PM-051	1
NR1L-PowerManagement-147	NR1L-PowerManagement-116	SWE-PM-052	1
NR1L-PowerManagement-148	NR1L-PowerManagement-117	SWE-PM-053	1
NR1L-PowerManagement-149	NR1L-PowerManagement-118	SWE-PM-054	1
NR1L-PowerManagement-150	NR1L-PowerManagement-119	SWE-PM-054	2
NR1L-PowerManagement-151	NR1L-PowerManagement-120	SWE-PM-054	3
NR1L-PowerManagement-152	NR1L-PowerManagement-121	SWE-PM-054	4
NR1L-PowerManagement-153	NR1L-PowerManagement-122	SWE-PM-055	1
NR1L-PowerManagement-154	NR1L-PowerManagement-123	SWE-PM-055	2
NR1L-PowerManagement-155	NR1L-PowerManagement-124	SWE-PM-056	1
NR1L-PowerManagement-017	NR1L-PowerManagement-125	SWE-PM-057	1
NR1L-PowerManagement-018	NR1L-PowerManagement-126	SWE-PM-057	2
NR1L-PowerManagement-019	NR1L-PowerManagement-127	SWE-PM-057	3
NR1L-PowerManagement-156	NR1L-PowerManagement-128	SWE-PM-058	1
NR1L-PowerManagement-157	NR1L-PowerManagement-129	SWE-PM-059	1
NR1L-PowerManagement-158	NR1L-PowerManagement-130	SWE-PM-059	2
NR1L-PowerManagement-020	NR1L-PowerManagement-131	SWE-PM-060	1
NR1L-PowerManagement-021	NR1L-PowerManagement-132	SWE-PM-060	2
NR1L-PowerManagement-022	NR1L-PowerManagement-133	SWE-PM-061	1
NR1L-PowerManagement-023	NR1L-PowerManagement-134	SWE-PM-061	2
NR1L-PowerManagement-024	NR1L-PowerManagement-135	SWE-PM-062	1
NR1L-PowerManagement-025	NR1L-PowerManagement-136	SWE-PM-062	2
NR1L-PowerManagement-026	NR1L-PowerManagement-137	SWE-PM-062	3
NR1L-PowerManagement-027	NR1L-PowerManagement-138	SWE-PM-063	1
NR1L-PowerManagement-028	NR1L-PowerManagement-139	SWE-PM-064	1
NR1L-PowerManagement-029	NR1L-PowerManagement-140	SWE-PM-064	2
NR1L-PowerManagement-030	NR1L-PowerManagement-141	SWE-PM-065	1
NR1L-PowerManagement-031	NR1L-PowerManagement-142	SWE-PM-065	2
NR1L-PowerManagement-159	NR1L-PowerManagement-143	SWE-PM-066	1
NR1L-PowerManagement-160	NR1L-PowerManagement-144	SWE-PM-066	2
NR1L-PowerManagement-161	NR1L-PowerManagement-145	SWE-PM-067	1
NR1L-PowerManagement-162	NR1L-PowerManagement-146	SWE-PM-068	1
NR1L-PowerManagement-163	NR1L-PowerManagement-147	SWE-PM-069	1
NR1L-PowerManagement-164	NR1L-PowerManagement-148	SWE-PM-069	2
NR1L-PowerManagement-165	NR1L-PowerManagement-149	SWE-PM-070	1
NR1L-PowerManagement-001	NR1L-PowerManagement-150	SWE-PM-071	1
NR1L-PowerManagement-002	NR1L-PowerManagement-151	SWE-PM-071	2
NR1L-PowerManagement-003	NR1L-PowerManagement-152	SWE-PM-071	3
NR1L-PowerManagement-004	NR1L-PowerManagement-153	SWE-PM-071	4
NR1L-PowerManagement-005	NR1L-PowerManagement-154	SWE-PM-072	1
NR1L-PowerManagement-006	NR1L-PowerManagement-155	SWE-PM-073	1
NR1L-PowerManagement-007	NR1L-PowerManagement-156	SWE-PM-073	2
NR1L-PowerManagement-008	NR1L-PowerManagement-157	SWE-PM-073	3
NR1L-PowerManagement-009	NR1L-PowerManagement-158	SWE-PM-073	4
NR1L-PowerManagement-010	NR1L-PowerManagement-159	SWE-PM-073	5
NR1L-PowerManagement-011	NR1L-PowerManagement-160	SWE-PM-073	6
NR1L-PowerManagement-012	NR1L-PowerManagement-161	SWE-PM-073	7
NR1L-PowerManagement-013	NR1L-PowerManagement-162	SWE-PM-073	8
NR1L-PowerManagement-014	NR1L-PowerManagement-163	SWE-PM-073	9
NR1L-PowerManagement-015	NR1L-PowerManagement-164	SWE-PM-073	10
NR1L-PowerManagement-016	NR1L-PowerManagement-165	SWE-PM-073	11
NR1L-PowerManagement-166	NR1L-PowerManagement-166	SWE-PM-074	1
NR1L-PowerManagement-167	NR1L-PowerManagement-167	SWE-PM-074	2
NR1L-PowerManagement-168	NR1L-PowerManagement-168	SWE-PM-074	3
NR1L-PowerManagement-169	NR1L-PowerManagement-169	SWE-PM-075	1
NR1L-PowerManagement-170	NR1L-PowerManagement-170	SWE-PM-075	2
NR1L-PowerManagement-171	NR1L-PowerManagement-171	SWE-PM-075	3
NR1L-PowerManagement-172	NR1L-PowerManagement-172	SWE-PM-076	1
NR1L-PowerManagement-173	NR1L-PowerManagement-173	SWE-PM-076	2
NR1L-PowerManagement-227	NR1L-PowerManagement-174	SWE-PM-077	1
NR1L-PowerManagement-228	NR1L-PowerManagement-175	SWE-PM-078	1
NR1L-PowerManagement-229	NR1L-PowerManagement-176	SWE-PM-078	2
NR1L-PowerManagement-230	NR1L-PowerManagement-177	SWE-PM-079	1
NR1L-PowerManagement-231	NR1L-PowerManagement-178	SWE-PM-080	1
NR1L-PowerManagement-232	NR1L-PowerManagement-179	SWE-PM-080	2
NR1L-PowerManagement-233	NR1L-PowerManagement-180	SWE-PM-081	1
NR1L-PowerManagement-234	NR1L-PowerManagement-181	SWE-PM-081	2
NR1L-PowerManagement-235	NR1L-PowerManagement-182	SWE-PM-081	3
NR1L-PowerManagement-236	NR1L-PowerManagement-183	SWE-PM-082	1
NR1L-PowerManagement-237	NR1L-PowerManagement-184	SWE-PM-082	2
NR1L-PowerManagement-238	NR1L-PowerManagement-185	SWE-PM-082	3
NR1L-PowerManagement-239	NR1L-PowerManagement-186	SWE-PM-083	1
NR1L-PowerManagement-240	NR1L-PowerManagement-187	SWE-PM-083	2
NR1L-PowerManagement-241	NR1L-PowerManagement-188	SWE-PM-083	3
NR1L-PowerManagement-242	NR1L-PowerManagement-189	SWE-PM-084	1
NR1L-PowerManagement-243	NR1L-PowerManagement-190	SWE-PM-084	2
NR1L-PowerManagement-244	NR1L-PowerManagement-191	SWE-PM-085	1
NR1L-PowerManagement-245	NR1L-PowerManagement-192	SWE-PM-085	2
NR1L-PowerManagement-246	NR1L-PowerManagement-193	SWE-PM-086	1
NR1L-PowerManagement-247	NR1L-PowerManagement-194	SWE-PM-086	2
NR1L-PowerManagement-248	NR1L-PowerManagement-195	SWE-PM-087	1
NR1L-PowerManagement-249	NR1L-PowerManagement-196	SWE-PM-087	2
NR1L-PowerManagement-250	NR1L-PowerManagement-197	SWE-PM-088	1
NR1L-PowerManagement-251	NR1L-PowerManagement-198	SWE-PM-090	1
NR1L-PowerManagement-252	NR1L-PowerManagement-199	SWE-PM-090	2
NR1L-PowerManagement-253	NR1L-PowerManagement-200	SWE-PM-091	1
NR1L-PowerManagement-254	NR1L-PowerManagement-201	SWE-PM-092	1
NR1L-PowerManagement-174	NR1L-PowerManagement-202	SWE-PM-093	1
NR1L-PowerManagement-175	NR1L-PowerManagement-203	SWE-PM-093	2
NR1L-PowerManagement-176	NR1L-PowerManagement-204	SWE-PM-093	3
NR1L-PowerManagement-177	NR1L-PowerManagement-205	SWE-PM-093	4
NR1L-PowerManagement-178	NR1L-PowerManagement-206	SWE-PM-093	5
NR1L-PowerManagement-179	NR1L-PowerManagement-207	SWE-PM-093	6
NR1L-PowerManagement-180	NR1L-PowerManagement-208	SWE-PM-093	7
NR1L-PowerManagement-181	NR1L-PowerManagement-209	SWE-PM-093	8
NR1L-PowerManagement-182	NR1L-PowerManagement-210	SWE-PM-093	9
NR1L-PowerManagement-183	NR1L-PowerManagement-211	SWE-PM-094	1
NR1L-PowerManagement-184	NR1L-PowerManagement-212	SWE-PM-095	1
NR1L-PowerManagement-255	NR1L-PowerManagement-213	SWE-PM-096	1
NR1L-PowerManagement-256	NR1L-PowerManagement-214	SWE-PM-096	2
NR1L-PowerManagement-257	NR1L-PowerManagement-215	SWE-PM-096	3
NR1L-PowerManagement-258	NR1L-PowerManagement-216	SWE-PM-096	4
NR1L-PowerManagement-259	NR1L-PowerManagement-217	SWE-PM-096	5
NR1L-PowerManagement-260	NR1L-PowerManagement-218	SWE-PM-096	6
NR1L-PowerManagement-185	NR1L-PowerManagement-219	SWE-PM-097	1
NR1L-PowerManagement-186	NR1L-PowerManagement-220	SWE-PM-098	1
NR1L-PowerManagement-187	NR1L-PowerManagement-221	SWE-PM-099	1
NR1L-PowerManagement-188	NR1L-PowerManagement-222	SWE-PM-099	2
NR1L-PowerManagement-189	NR1L-PowerManagement-223	SWE-PM-099	3
NR1L-PowerManagement-190	NR1L-PowerManagement-224	SWE-PM-099	4
NR1L-PowerManagement-191	NR1L-PowerManagement-225	SWE-PM-100	1
NR1L-PowerManagement-192	NR1L-PowerManagement-226	SWE-PM-101	1
NR1L-PowerManagement-193	NR1L-PowerManagement-227	SWE-PM-101	2
NR1L-PowerManagement-194	NR1L-PowerManagement-228	SWE-PM-101	3
NR1L-PowerManagement-195	NR1L-PowerManagement-229	SWE-PM-101	4
NR1L-PowerManagement-196	NR1L-PowerManagement-230	SWE-PM-102	1
NR1L-PowerManagement-197	NR1L-PowerManagement-231	SWE-PM-102	2
NR1L-PowerManagement-198	NR1L-PowerManagement-232	SWE-PM-103	1
NR1L-PowerManagement-199	NR1L-PowerManagement-233	SWE-PM-103	2
NR1L-PowerManagement-200	NR1L-PowerManagement-234	SWE-PM-103	3
NR1L-PowerManagement-201	NR1L-PowerManagement-235	SWE-PM-103	4
NR1L-PowerManagement-202	NR1L-PowerManagement-236	SWE-PM-103	5
NR1L-PowerManagement-203	NR1L-PowerManagement-237	SWE-PM-104	1
NR1L-PowerManagement-204	NR1L-PowerManagement-238	SWE-PM-104	2
NR1L-PowerManagement-205	NR1L-PowerManagement-239	SWE-PM-104	3
NR1L-PowerManagement-206	NR1L-PowerManagement-240	SWE-PM-104	4
NR1L-PowerManagement-207	NR1L-PowerManagement-241	SWE-PM-104	5
NR1L-PowerManagement-208	NR1L-PowerManagement-242	SWE-PM-105	1
NR1L-PowerManagement-209	NR1L-PowerManagement-243	SWE-PM-105	2
NR1L-PowerManagement-210	NR1L-PowerManagement-244	SWE-PM-105	3
NR1L-PowerManagement-211	NR1L-PowerManagement-245	SWE-PM-105	4
NR1L-PowerManagement-212	NR1L-PowerManagement-246	SWE-PM-105	5
NR1L-PowerManagement-213	NR1L-PowerManagement-247	SWE-PM-105	6
NR1L-PowerManagement-214	NR1L-PowerManagement-248	SWE-PM-105	7
NR1L-PowerManagement-215	NR1L-PowerManagement-249	SWE-PM-105	8
NR1L-PowerManagement-216	NR1L-PowerManagement-250	SWE-PM-106	1
NR1L-PowerManagement-217	NR1L-PowerManagement-251	SWE-PM-107	1
NR1L-PowerManagement-218	NR1L-PowerManagement-252	SWE-PM-108	1
NR1L-PowerManagement-219	NR1L-PowerManagement-253	SWE-PM-109	1
NR1L-PowerManagement-220	NR1L-PowerManagement-254	SWE-PM-110	1
NR1L-PowerManagement-221	NR1L-PowerManagement-255	SWE-PM-110	2
NR1L-PowerManagement-222	NR1L-PowerManagement-256	SWE-PM-111	1
NR1L-PowerManagement-223	NR1L-PowerManagement-257	SWE-PM-111	2
NR1L-PowerManagement-224	NR1L-PowerManagement-258	SWE-PM-113	1
NR1L-PowerManagement-225	NR1L-PowerManagement-259	SWE-PM-114	1
NR1L-PowerManagement-226	NR1L-PowerManagement-260	SWE-PM-115	1
