tc_id	batch	did_sid	原觸發串	改後串	描述行改法
NR1L-DIAG-292	batch5	22 2848	$ 22 28 48	$ 22 28	位元組＋描述
NR1L-DIAG-300	batch5	22 2846	$ 22 28 46	$ 22 28	位元組＋描述
NR1L-DIAG-304	batch5	22 2845	$ 22 28 45	$ 22 28	位元組＋描述
NR1L-DIAG-308	batch5	22 2844	$ 22 28 44	$ 22 28	位元組＋描述
NR1L-DIAG-312	batch5	22 2844	$ 22 28 44	$ 22 28	位元組＋描述
NR1L-DIAG-316	batch5	22 2844	$ 22 28 44	$ 22 28	位元組＋描述
NR1L-DIAG-320	batch5	22 2844	$ 22 28 44	$ 22 28	位元組＋描述
NR1L-DIAG-324	batch5	22 2844	$ 22 28 44	$ 22 28	位元組＋描述
NR1L-DIAG-328	batch5	22 2844	$ 22 28 44	$ 22 28	位元組＋描述
NR1L-DIAG-332	batch5	22 2844	$ 22 28 44	$ 22 28	位元組＋描述
NR1L-DIAG-336	batch5	22 2844	$ 22 28 44	$ 22 28	位元組＋描述
NR1L-DIAG-340	batch5	31 0103	$ 31 01 03 09 <Package Indication value>	$ 31 01 03 09	位元組＋描述
NR1L-DIAG-343	batch5	31 0103	$ 31 01 03 09 <Package Indication value>	$ 31 01 03 09	位元組＋描述
NR1L-DIAG-359	batch6	22 2843	$ 22 28 43	$ 22 28	位元組＋描述
NR1L-DIAG-362	batch6	22 2843	$ 22 28 43	$ 22 28	位元組＋描述
NR1L-DIAG-366	batch6	22 2843	$ 22 28 43	$ 22 28	位元組＋描述
NR1L-DIAG-370	batch6	22 2843	$ 22 28 43	$ 22 28	位元組＋描述
NR1L-DIAG-374	batch6	22 2843	$ 22 28 43	$ 22 28	位元組＋描述
NR1L-DIAG-378	batch6	22 2843	$ 22 28 43	$ 22 28	位元組＋描述
NR1L-DIAG-382	batch6	22 2843	$ 22 28 43	$ 22 28	位元組＋描述
NR1L-DIAG-386	batch6	22 2843	$ 22 28 43	$ 22 28	位元組＋描述
NR1L-DIAG-390	batch6	22 2843	$ 22 28 43	$ 22 28	位元組＋描述
NR1L-DIAG-394	batch6	22 2843	$ 22 28 43	$ 22 28	位元組＋描述
NR1L-DIAG-398	batch6	22 2843	$ 22 28 43	$ 22 28	位元組＋描述
NR1L-DIAG-402	batch6	22 2843	$ 22 28 43	$ 22 28	位元組＋描述
NR1L-DIAG-406	batch6	22 2843	$ 22 28 43	$ 22 28	位元組＋描述
NR1L-DIAG-410	batch6	22 2843	$ 22 28 43	$ 22 28	位元組＋描述
NR1L-DIAG-414	batch6	22 2843	$ 22 28 43	$ 22 28	位元組＋描述
NR1L-DIAG-418	batch6	22 2843	$ 22 28 43	$ 22 28	位元組＋描述
NR1L-DIAG-422	batch6	22 2843	$ 22 28 43	$ 22 28	位元組＋描述
NR1L-DIAG-426	batch6	22 2843	$ 22 28 43	$ 22 28	位元組＋描述
NR1L-DIAG-430	batch6	22 2843	$ 22 28 43	$ 22 28	位元組＋描述
