tc_id	batch	sid	原請求串	改後請求串	下半 token 前	下半 token 後
NR1L-DIAG-254	batch4	22	$ 22 28 12	$ 22 <unsupported DID>	($2812, NRC 31 requestOutOfRange)	($2812, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-258	batch4	22	$ 22 28 12	$ 22 <unsupported DID>	($2812, NRC 31 requestOutOfRange)	($2812, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-262	batch4	22	$ 22 28 12	$ 22 <unsupported DID>	($2812, NRC 31 requestOutOfRange)	($2812, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-266	batch4	22	$ 22 28 12	$ 22 <unsupported DID>	($2812, NRC 31 requestOutOfRange)	($2812, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-270	batch4	22	$ 22 28 12	$ 22 <unsupported DID>	($2812, NRC 31 requestOutOfRange)	($2812, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-274	batch4	22	$ 22 28 12	$ 22 <unsupported DID>	($2812, NRC 31 requestOutOfRange)	($2812, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-293	batch5	22	$ 22 28 48	$ 22 <unsupported DID>	($2848, NRC 31 requestOutOfRange)	($2848, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-301	batch5	22	$ 22 28 46	$ 22 <unsupported DID>	($2846, NRC 31 requestOutOfRange)	($2846, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-305	batch5	22	$ 22 28 45	$ 22 <unsupported DID>	($2845, NRC 31 requestOutOfRange)	($2845, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-309	batch5	22	$ 22 28 44	$ 22 <unsupported DID>	($2844, NRC 31 requestOutOfRange)	($2844, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-313	batch5	22	$ 22 28 44	$ 22 <unsupported DID>	($2844, NRC 31 requestOutOfRange)	($2844, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-317	batch5	22	$ 22 28 44	$ 22 <unsupported DID>	($2844, NRC 31 requestOutOfRange)	($2844, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-321	batch5	22	$ 22 28 44	$ 22 <unsupported DID>	($2844, NRC 31 requestOutOfRange)	($2844, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-325	batch5	22	$ 22 28 44	$ 22 <unsupported DID>	($2844, NRC 31 requestOutOfRange)	($2844, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-329	batch5	22	$ 22 28 44	$ 22 <unsupported DID>	($2844, NRC 31 requestOutOfRange)	($2844, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-333	batch5	22	$ 22 28 44	$ 22 <unsupported DID>	($2844, NRC 31 requestOutOfRange)	($2844, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-337	batch5	22	$ 22 28 44	$ 22 <unsupported DID>	($2844, NRC 31 requestOutOfRange)	($2844, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-360	batch6	22	$ 22 28 43	$ 22 <unsupported DID>	($2843, NRC 31 requestOutOfRange)	($2843, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-363	batch6	22	$ 22 28 43	$ 22 <unsupported DID>	($2843, NRC 31 requestOutOfRange)	($2843, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-367	batch6	22	$ 22 28 43	$ 22 <unsupported DID>	($2843, NRC 31 requestOutOfRange)	($2843, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-371	batch6	22	$ 22 28 43	$ 22 <unsupported DID>	($2843, NRC 31 requestOutOfRange)	($2843, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-375	batch6	22	$ 22 28 43	$ 22 <unsupported DID>	($2843, NRC 31 requestOutOfRange)	($2843, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-379	batch6	22	$ 22 28 43	$ 22 <unsupported DID>	($2843, NRC 31 requestOutOfRange)	($2843, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-383	batch6	22	$ 22 28 43	$ 22 <unsupported DID>	($2843, NRC 31 requestOutOfRange)	($2843, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-387	batch6	22	$ 22 28 43	$ 22 <unsupported DID>	($2843, NRC 31 requestOutOfRange)	($2843, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-391	batch6	22	$ 22 28 43	$ 22 <unsupported DID>	($2843, NRC 31 requestOutOfRange)	($2843, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-395	batch6	22	$ 22 28 43	$ 22 <unsupported DID>	($2843, NRC 31 requestOutOfRange)	($2843, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-399	batch6	22	$ 22 28 43	$ 22 <unsupported DID>	($2843, NRC 31 requestOutOfRange)	($2843, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-403	batch6	22	$ 22 28 43	$ 22 <unsupported DID>	($2843, NRC 31 requestOutOfRange)	($2843, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-407	batch6	22	$ 22 28 43	$ 22 <unsupported DID>	($2843, NRC 31 requestOutOfRange)	($2843, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-411	batch6	22	$ 22 28 43	$ 22 <unsupported DID>	($2843, NRC 31 requestOutOfRange)	($2843, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-415	batch6	22	$ 22 28 43	$ 22 <unsupported DID>	($2843, NRC 31 requestOutOfRange)	($2843, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-419	batch6	22	$ 22 28 43	$ 22 <unsupported DID>	($2843, NRC 31 requestOutOfRange)	($2843, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-423	batch6	22	$ 22 28 43	$ 22 <unsupported DID>	($2843, NRC 31 requestOutOfRange)	($2843, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-427	batch6	22	$ 22 28 43	$ 22 <unsupported DID>	($2843, NRC 31 requestOutOfRange)	($2843, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-431	batch6	22	$ 22 28 43	$ 22 <unsupported DID>	($2843, NRC 31 requestOutOfRange)	($2843, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-435	batch7	22	$ 22 28 41	$ 22 <unsupported DID>	($2841, NRC 31 requestOutOfRange)	($2841, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-439	batch7	22	$ 22 28 41	$ 22 <unsupported DID>	($2841, NRC 31 requestOutOfRange)	($2841, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-447	batch7	22	$ 22 28 41	$ 22 <unsupported DID>	($2841, NRC 31 requestOutOfRange)	($2841, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-451	batch7	22	$ 22 28 42	$ 22 <unsupported DID>	($2842, NRC 31 requestOutOfRange)	($2842, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-454	batch7	22	$ 22 28 42	$ 22 <unsupported DID>	($2842, NRC 31 requestOutOfRange)	($2842, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-457	batch7	22	$ 22 28 42	$ 22 <unsupported DID>	($2842, NRC 31 requestOutOfRange)	($2842, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-460	batch7	22	$ 22 28 42	$ 22 <unsupported DID>	($2842, NRC 31 requestOutOfRange)	($2842, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-463	batch7	22	$ 22 28 42	$ 22 <unsupported DID>	($2842, NRC 31 requestOutOfRange)	($2842, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-466	batch7	22	$ 22 28 42	$ 22 <unsupported DID>	($2842, NRC 31 requestOutOfRange)	($2842, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-469	batch7	22	$ 22 28 42	$ 22 <unsupported DID>	($2842, NRC 31 requestOutOfRange)	($2842, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-472	batch7	22	$ 22 28 42	$ 22 <unsupported DID>	($2842, NRC 31 requestOutOfRange)	($2842, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-475	batch7	22	$ 22 28 42	$ 22 <unsupported DID>	($2842, NRC 31 requestOutOfRange)	($2842, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-478	batch7	22	$ 22 28 42	$ 22 <unsupported DID>	($2842, NRC 31 requestOutOfRange)	($2842, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-481	batch7	22	$ 22 28 42	$ 22 <unsupported DID>	($2842, NRC 31 requestOutOfRange)	($2842, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-484	batch7	22	$ 22 28 42	$ 22 <unsupported DID>	($2842, NRC 31 requestOutOfRange)	($2842, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-487	batch7	22	$ 22 28 41	$ 22 <unsupported DID>	($2841, NRC 31 requestOutOfRange)	($2841, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-490	batch7	22	$ 22 28 41	$ 22 <unsupported DID>	($2841, NRC 31 requestOutOfRange)	($2841, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-492	batch7	22	$ 22 28 41	$ 22 <unsupported DID>	($2841, NRC 31 requestOutOfRange)	($2841, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-495	batch7	22	$ 22 28 41	$ 22 <unsupported DID>	($2841, NRC 31 requestOutOfRange)	($2841, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-498	batch7	22	$ 22 28 41	$ 22 <unsupported DID>	($2841, NRC 31 requestOutOfRange)	($2841, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-501	batch7	22	$ 22 28 41	$ 22 <unsupported DID>	($2841, NRC 31 requestOutOfRange)	($2841, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-504	batch7	22	$ 22 28 41	$ 22 <unsupported DID>	($2841, NRC 31 requestOutOfRange)	($2841, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-507	batch7	22	$ 22 28 41	$ 22 <unsupported DID>	($2841, NRC 31 requestOutOfRange)	($2841, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-510	batch7	22	$ 22 28 41	$ 22 <unsupported DID>	($2841, NRC 31 requestOutOfRange)	($2841, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-513	batch7	22	$ 22 28 41	$ 22 <unsupported DID>	($2841, NRC 31 requestOutOfRange)	($2841, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-516	batch7	22	$ 22 28 41	$ 22 <unsupported DID>	($2841, NRC 31 requestOutOfRange)	($2841, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-519	batch7	22	$ 22 28 41	$ 22 <unsupported DID>	($2841, NRC 31 requestOutOfRange)	($2841, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-522	batch7	22	$ 22 28 41	$ 22 <unsupported DID>	($2841, NRC 31 requestOutOfRange)	($2841, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-525	batch7	22	$ 22 28 40	$ 22 <unsupported DID>	($2840, NRC 31 requestOutOfRange)	($2840, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-529	batch7	22	$ 22 28 40	$ 22 <unsupported DID>	($2840, NRC 31 requestOutOfRange)	($2840, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-532	batch7	22	$ 22 28 40	$ 22 <unsupported DID>	($2840, NRC 31 requestOutOfRange)	($2840, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-535	batch7	22	$ 22 28 40	$ 22 <unsupported DID>	($2840, NRC 31 requestOutOfRange)	($2840, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-540	batch7	22	$ 22 28 40	$ 22 <unsupported DID>	($2840, NRC 31 requestOutOfRange)	($2840, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-543	batch7	22	$ 22 28 42	$ 22 <unsupported DID>	($2842, NRC 31 requestOutOfRange)	($2842, unsupported DID, NRC 31 requestOutOfRange)
