kind	target	file	line	text	prune_class
anomaly	A-VC8	ANOMALIES.md	805	(c) 二者**與 R-VC8 之授權非同一件，不得併案**（同 A-VC8／A-VC11 之邊界）。	a 純編號引用
anomaly	A-VC8	ANOMALIES.md	812	狀態：PENDING（全域排程）。與 A-VC4／A-VC8／A-VC11／A-VC13 通則同批。	a 純編號引用
anomaly	A-VC8	ANOMALIES.md	1137	—— 屬全域排程，與 A-VC4／A-VC8／A-VC11／A-VC13 同批。	a 純編號引用
anomaly	A-VC8	ANOMALIES.md	1156	狀態：**PENDING（全域排程）**。與 A-VC4／A-VC8／A-VC11／A-VC13 同批。	a 純編號引用
anomaly	A-VC8	docs/REVISIONS.md	55	並負 R-VC9 之逐包揭露義務。A-VC8 記其工具面缺口。	a 純編號引用
anomaly	A-VC8	docs/runtime/profiles/FW036_R1L_VehicleCategory_Profile.md	9	避免 A-VC8 家族之「宣告一個不被讀的東西」。	a 純編號引用
anomaly	A-VC9	RULINGS.md	319	**該欄係按規格章節整批賦值，非逐 leaf 判斷**（證據見 A-VC9）：	a 純編號引用
anomaly	A-VC9	RULINGS.md	439	作廢理由：A-VC9 已證 037 `Priority` 之粒度為**章**（十一章章內單一值，	a 純編號引用
anomaly	A-VC9	ANOMALIES.md	18	| A-VC9 | 037 Priority 按章節整批賦值 | PENDING | 待 DR-VC7 |	b 清單成員
anomaly	A-VC9	ANOMALIES.md	368	## A-VC9 —— 037 Priority 按章節整批賦值（新立，下放包 03 §三）	a 純編號引用
anomaly	A-VC9	ANOMALIES.md	373	A-VC9（037 Priority 按章節整批賦值）	a 純編號引用
anomaly	A-VC9	DECISIONS.md	92	- **不得建立 High/Medium/Low → P0–P3 之機械映射表**（A-VC9：037 該欄	a 純編號引用
anomaly	A-VC9	docs/REVISIONS.md	106	- **作廢理由**：A-VC9 已證 037 `Priority` 之粒度為**章**（十一章章內單一值、	a 純編號引用
dr	DR-VC1	DATA_REQUESTS.md	36	## DR-VC1 —— Privacy Lock 彈窗之實際 PU 編號	a 純編號引用
dr	DR-VC10	ANOMALIES.md	963	**帶 `PENDING: DR-VC10 PU0091 popup string`**，	a 純編號引用
dr	DR-VC10	ANOMALIES.md	965	- 以 **DR-VC10** 詢問：`PU0091` 之權威字串為何，及規格側是否需更正。	a 純編號引用
dr	DR-VC10	ANOMALIES.md	969	狀態：PENDING（待 DR-VC10）。	a 純編號引用
dr	DR-VC10	ANOMALIES.md	1023	`061` 之 Procedure 帶 `PENDING: DR-VC10 Software Updates entry path in Key Off`；	a 純編號引用
dr	DR-VC10	ANOMALIES.md	1024	本節之否定性判斷與其搜尋範圍併入 **DR-VC10 第（二）問**。	a 純編號引用
dr	DR-VC10	ANOMALIES.md	1026	狀態：PENDING（待 DR-VC10(二)）。	a 純編號引用
dr	DR-VC10	DATA_REQUESTS.md	30	**DR-VC10（下放包 24 T128 新立）獨立發送**（下放包 25 §2.5 裁定）——	a 純編號引用
dr	DR-VC10	DATA_REQUESTS.md	269	## DR-VC10 —— 章 13 之二問：`PU0091` 之字 ＋ `061` 之進入路徑	a 純編號引用
dr	DR-VC10	DATA_REQUESTS.md	336	`PENDING: DR-VC10 Software Updates entry path in Key Off`。	a 純編號引用
dr	DR-VC2	RULINGS.md	151	惟交付前須有 DR-VC2 之答覆以完成雙向追溯。	a 純編號引用
dr	DR-VC2	ANOMALIES.md	104	裁：**不單獨發 DR**。於 DR-VC2 發出時（同為對 037 作者之查詢）	a 純編號引用
dr	DR-VC2	ANOMALIES.md	106	單獨往返一輪之成本高於其資訊價值。維持 PENDING 至 DR-VC2 回覆。	a 純編號引用
dr	DR-VC2	DATA_REQUESTS.md	8	下放包 02 §四之裁定已併入：A-VC2 附於 DR-VC2，不單獨發。	a 純編號引用
dr	DR-VC2	DATA_REQUESTS.md	26	DR-VC2、DR-VC7、**DR-VC8**、A-VC2 之封面一問、A-VC10 之	a 純編號引用
dr	DR-VC2	DATA_REQUESTS.md	45	## DR-VC2 —— `SYS-HMI-RA-VC-###` 之來源系統與對應關係	a 純編號引用
dr	DR-VC2	DATA_REQUESTS.md	166	- **批次**：同批 A —— 與 DR-VC2、A-VC2 之封面一問、A-VC10 之一問同發。	a 純編號引用
dr	DR-VC3	RULINGS.md	401	(b) DR-VC3 對該三節之提問同此措辭（執行層已實作，予以追認）。	a 純編號引用
dr	DR-VC3	RULINGS.md	582	不需另設例外。條件性生效，待 DR-VC3。	a 純編號引用
dr	DR-VC3	RULINGS.md	763	6  `Brake Service`            2 leaf   DR-VC3（邊界待重審）	a 純編號引用
dr	DR-VC3	RULINGS.md	764	7  `Cabrio Widget`            1 leaf   DR-VC3（同上）	a 純編號引用
dr	DR-VC3	RULINGS.md	770	第 6／7 批置末之理由：R-VC16(c) 明文其邊界待 DR-VC3 重審，	a 純編號引用
dr	DR-VC3	ANOMALIES.md	21	| A-VC12 | §11.9 群與 §12.3 群之行為重疊 | PENDING | 條件性，待 DR-VC3 |	b 清單成員
dr	DR-VC3	ANOMALIES.md	117	**提案處置**：併入 DR-VC3 一併查詢，**不單獨發 DR**。	a 純編號引用
dr	DR-VC3	ANOMALIES.md	645	狀態：PENDING（條件性，待 DR-VC3）。	a 純編號引用
dr	DR-VC3	ANOMALIES.md	658	狀態：PENDING（條件性，待 DR-VC3）。	a 純編號引用
dr	DR-VC3	DATA_REQUESTS.md	85	DR-VC3 回覆前不催。	a 純編號引用
dr	DR-VC3	DATA_REQUESTS.md	127	DR-VC3 回覆前不催。	a 純編號引用
dr	DR-VC3	DATA_REQUESTS.md	257	| **(一)** 索取 PDO Graphics | **規格作者** | **獨立發，不等 DR-VC3** |	b 清單成員
dr	DR-VC3	DATA_REQUESTS.md	260	(一) 不併入 DR-VC4／DR-VC6 之理由：該二筆為**條件性**（待 DR-VC3 回覆為	a 純編號引用
dr	DR-VC3	DECISIONS.md	121	- 表 B（覆蓋落差揭露，17 節）為草稿，最終措辭待 DR-VC3 回覆。	a 純編號引用
dr	DR-VC3	framework.md	171	**17 section**（66 section 母體外）。若 DR-VC3 回覆「應補」而該群進入範圍：	a 純編號引用
dr	DR-VC3	framework.md	324	草稿見 `data/tableB_draft.md`，最終措辭待 DR-VC3 回覆。	a 純編號引用
dr	DR-VC3	data/tableB_draft.md	3	> **草稿，非交付件。** 最終措辭待 DR-VC3 回覆（R-VC12 二(b)、下放包 03 T23）。	a 純編號引用
dr	DR-VC3	data/tableB_draft.md	20	### ⚠ 待 DR-VC3 之**四處**（下放包 28 §2.1 追認；下放包 27 §2.2 原列三處）	a 純編號引用
dr	DR-VC3	data/tableB_draft.md	22	| 處 | 涉及列 | 若 DR-VC3 回覆「應補」之後果 |	b 清單成員
dr	DR-VC3	data/tableB_draft.md	27	| **§11.9 群**（執行層補列，下放包 28 §2.1 **追認**）| 10–13 | 其歸 #5 為**條件性生效**，待 DR-VC3（R-VC16(d)）|	b 清單成員
dr	DR-VC3	data/tableB_draft.md	73	R-VC16(d) 明文「11.9 群歸 #5 …**條件性生效，待 DR-VC3**」。	a 純編號引用
dr	DR-VC4	DATA_REQUESTS.md	260	(一) 不併入 DR-VC4／DR-VC6 之理由：該二筆為**條件性**（待 DR-VC3 回覆為	a 純編號引用
dr	DR-VC5	RULINGS.md	762	5  `Ignition Availability`   16 leaf   DR-VC5（FROP 跨域全 16 筆）	a 純編號引用
dr	DR-VC5	DATA_REQUESTS.md	87	## DR-VC5 —— FROP 跨域 17 列之承接單位	a 純編號引用
dr	DR-VC6	ANOMALIES.md	1106	- **DR-VC6 之問法改為三問**（R-VC27 末段，T148 已落）。	a 純編號引用
dr	DR-VC6	DATA_REQUESTS.md	260	(一) 不併入 DR-VC4／DR-VC6 之理由：該二筆為**條件性**（待 DR-VC3 回覆為	a 純編號引用
dr	DR-VC6	data/tableB_draft.md	65	**DR-VC6 之問法隨之改為三問**（見 `DATA_REQUESTS.md`）。	a 純編號引用
dr	DR-VC7	ANOMALIES.md	18	| A-VC9 | 037 Priority 按章節整批賦值 | PENDING | 待 DR-VC7 |	b 清單成員
dr	DR-VC7	ANOMALIES.md	403	狀態：PENDING（待 DR-VC7）。	a 純編號引用
dr	DR-VC7	ANOMALIES.md	467	併入 DR-VC7 之同批查詢（同為 037 欄位語意之說明性問題）。	a 純編號引用
dr	DR-VC7	ANOMALIES.md	515	狀態：PENDING（併 DR-VC7，同批 A）。	a 純編號引用
dr	DR-VC7	ANOMALIES.md	579	狀態：PENDING（併 DR-VC7，同批 A）。	a 純編號引用
dr	DR-VC7	DATA_REQUESTS.md	26	DR-VC2、DR-VC7、**DR-VC8**、A-VC2 之封面一問、A-VC10 之	a 純編號引用
dr	DR-VC7	DATA_REQUESTS.md	156	## DR-VC7 —— 037 Priority 欄之賦值判準	a 純編號引用
dr	DR-VC8	RULINGS.md	657	`PENDING: DR-VC8 Glove Box lockout threshold`（IN §8.4.3）。	a 純編號引用
dr	DR-VC8	RULINGS.md	658	DR-VC8 回覆後另裁是否補拆為 2–3 筆。	a 純編號引用
dr	DR-VC8	RULINGS.md	740	DR-VC8 回覆後，本筆依其值 Revise，並依 R-VC18 另裁是否補拆	a 純編號引用
dr	DR-VC8	ANOMALIES.md	731	（DR-VC8），非選擇。	a 純編號引用
dr	DR-VC8	ANOMALIES.md	733	`PENDING: DR-VC8 Glove Box lockout threshold`（IN §8.4.3）。	a 純編號引用
dr	DR-VC8	ANOMALIES.md	754	狀態：PENDING（待 DR-VC8）。	a 純編號引用
dr	DR-VC8	ANOMALIES.md	775	狀態：PENDING（待 DR-VC8）。	a 純編號引用
dr	DR-VC8	DATA_REQUESTS.md	26	DR-VC2、DR-VC7、**DR-VC8**、A-VC2 之封面一問、A-VC10 之	a 純編號引用
dr	DR-VC8	DATA_REQUESTS.md	180	## DR-VC8 —— `VC-033-01` 之鎖定門檻與計時起點	a 純編號引用
dr	DR-VC8	DATA_REQUESTS.md	194	`PENDING: DR-VC8 Glove Box lockout threshold`（IN §8.4.3），	a 純編號引用
dr	DR-VC8	docs/REVISIONS.md	227	成立）；惟 `VC-033-01` 因 **A-VC14／DR-VC8** 而帶**一筆 PENDING**。	a 純編號引用
dr	DR-VC9	RULINGS.md	810	阻斷於 DR-VC9(二)）。	a 純編號引用
dr	DR-VC9	ANOMALIES.md	916	- 三筆之 TC 帶 `PENDING: DR-VC9 PDO graphics`。	a 純編號引用
dr	DR-VC9	ANOMALIES.md	917	- 以 **DR-VC9** 索取 PDO Graphics 並詢問三筆之 leaf 地位。	a 純編號引用
dr	DR-VC9	ANOMALIES.md	919	狀態：PENDING（待 DR-VC9）。	a 純編號引用
dr	DR-VC9	DATA_REQUESTS.md	202	## DR-VC9 —— PDO Graphics 素材，及純交叉引用型 leaf 之地位	a 純編號引用
dr	DR-VC9	DATA_REQUESTS.md	248	`PENDING: DR-VC9 Dashboard content table`／	a 純編號引用
dr	DR-VC9	DATA_REQUESTS.md	249	`PENDING: DR-VC9 PDO graphics`／	a 純編號引用
dr	DR-VC9	DATA_REQUESTS.md	250	`PENDING: DR-VC9 Controls table reference`。	a 純編號引用
dr	DR-VC9	DATA_REQUESTS.md	271	> **範圍於下放包 25 §2.1 擴為二問**（沿 DR-VC9 之雙標的先例，一封信兩問）——	a 純編號引用
dr	DR-VC9	docs/runtime/profiles/FW036_R1L_VehicleCategory_Profile.md	269	3. ... and compare it against PENDING: DR-VC9 Dashboard content table	a 純編號引用
dr	DR-VC9	docs/runtime/profiles/FW036_R1L_VehicleCategory_Profile.md	328	| `VC-013-04` | **24 字元**（`Refer to PDO graphics.`）| 第 1 批 b 段，待 DR-VC9(二) |	b 清單成員
dr	DR-VC9	docs/runtime/profiles/FW036_R1L_VehicleCategory_Profile.md	329	| `VC-007-01` | **30 字元**（`Vehicle Tab Labels and Order.`）| 第 1 批 b 段，待 DR-VC9(二) |	b 清單成員
dr	DR-VC9	docs/runtime/profiles/FW036_R1L_VehicleCategory_Profile.md	330	| `VC-025-01` | **27 字元**（`C1.) Controls Button Table.`）| 第 3 批 b 段，待 DR-VC9(二) |	b 清單成員
leaf	SWE1-HMI-VC-013-04	DATA_REQUESTS.md	218	| `SWE1-HMI-VC-013-04` | 2.6.3 | `Refer to PDO graphics.` | 純交叉引用 |	b 清單成員
leaf	SWE1-HMI-VC-021	DATA_REQUESTS.md	41	`PUXXXX`**，非實 id；037 `SWE1-HMI-VC-021` 原樣沿用。請提供實際 PU 編號。	a 純編號引用
leaf	SWE1-HMI-VC-025-01	DATA_REQUESTS.md	220	| `SWE1-HMI-VC-025-01` | 3.9 | `C1.) Controls Button Table.` | 表格題名 |	b 清單成員
leaf	SWE1-HMI-VC-026-01	RULINGS.md	643	4.1  SWE1-HMI-VC-026-01 / -026-02 / -026-03	a 純編號引用
leaf	SWE1-HMI-VC-027	RULINGS.md	644	4.2  SWE1-HMI-VC-027	a 純編號引用
leaf	SWE1-HMI-VC-028-01	RULINGS.md	645	5.1  SWE1-HMI-VC-028-01 / -028-02	a 純編號引用
leaf	SWE1-HMI-VC-029	RULINGS.md	646	5.2  SWE1-HMI-VC-029	a 純編號引用
leaf	SWE1-HMI-VC-030	RULINGS.md	647	6.1  SWE1-HMI-VC-030	a 純編號引用
leaf	SWE1-HMI-VC-031	RULINGS.md	648	6.2  SWE1-HMI-VC-031	a 純編號引用
leaf	SWE1-HMI-VC-032	RULINGS.md	649	6.3  SWE1-HMI-VC-032	a 純編號引用
leaf	SWE1-HMI-VC-033-01	RULINGS.md	650	7.1  SWE1-HMI-VC-033-01 / -033-02	a 純編號引用
leaf	SWE1-HMI-VC-033-01	RULINGS.md	654	`SWE1-HMI-VC-033-01` 之 boundary 拆分（§8.3：門檻−1 / =門檻 /	a 純編號引用
leaf	SWE1-HMI-VC-033-01	RULINGS.md	735	即時適用：`SWE1-HMI-VC-033-01` 依 (a) 保留 Title 之	a 純編號引用
leaf	SWE1-HMI-VC-033-01	ANOMALIES.md	715	`SWE1-HMI-VC-033-01`（§7.1，Glove Box 停用之錯誤鎖定）：	a 純編號引用
leaf	SWE1-HMI-VC-034	ANOMALIES.md	68	（列 70 `SWE1-HMI-VC-034`、列 118 `SWE1-HMI-VC-052`、列 142 `SWE1-HMI-VC-063`）	a 純編號引用
leaf	SWE1-HMI-VC-035-03	RULINGS.md	488	SWE1-HMI-VC-035-03（restore-defaults 之 Cancel）—— (a)，維持 **P0**	a 純編號引用
leaf	SWE1-HMI-VC-035-03	ANOMALIES.md	445	SWE1-HMI-VC-035-03	a 純編號引用
leaf	SWE1-HMI-VC-035-03	ANOMALIES.md	522	| `SWE1-HMI-VC-035-03` | Title | `Selecting 'Cancel' on the restore-defaults prompt returns the user to the previous screen without changing any settings` |	b 清單成員
leaf	SWE1-HMI-VC-035-03	DATA_REQUESTS.md	170	最鮮明之一例：`SWE1-HMI-VC-035-03` 與 `SWE1-HMI-VC-036-02` 之	a 純編號引用
leaf	SWE1-HMI-VC-036-01	RULINGS.md	486	SWE1-HMI-VC-036-01（選 Yes 清除個人資料並顯示確認彈窗）	a 純編號引用
leaf	SWE1-HMI-VC-036-02	RULINGS.md	489	SWE1-HMI-VC-036-02（clear-personal-data 之 Cancel）—— (a)，維持 **P0**	a 純編號引用
leaf	SWE1-HMI-VC-036-02	ANOMALIES.md	450	SWE1-HMI-VC-036-02	a 純編號引用
leaf	SWE1-HMI-VC-036-02	ANOMALIES.md	524	| `SWE1-HMI-VC-036-02` | Title | `Selecting 'Cancel' on the clear-personal-data prompt returns the user to the previous screen without clearing any data` |	b 清單成員
leaf	SWE1-HMI-VC-036-02	DATA_REQUESTS.md	170	最鮮明之一例：`SWE1-HMI-VC-035-03` 與 `SWE1-HMI-VC-036-02` 之	a 純編號引用
leaf	SWE1-HMI-VC-048-02	framework.md	134	（`SWE1-HMI-VC-048-02`，§12.3.2）落在 **#5 `Settings List`**。	a 純編號引用
leaf	SWE1-HMI-VC-052	ANOMALIES.md	68	（列 70 `SWE1-HMI-VC-034`、列 118 `SWE1-HMI-VC-052`、列 142 `SWE1-HMI-VC-063`）	a 純編號引用
leaf	SWE1-HMI-VC-063	ANOMALIES.md	68	（列 70 `SWE1-HMI-VC-034`、列 118 `SWE1-HMI-VC-052`、列 142 `SWE1-HMI-VC-063`）	a 純編號引用
revision	REV-02	docs/REVISIONS.md	22	## REV-02 —— 下放包 01 §3.1 規格 PDF 之位元組數	a 純編號引用
