kind	target	owner	file	line	text
anomaly	A-VC10		ANOMALIES.md	435	## A-VC10 —— 037 Requirement Title 之資訊量大於 Requirement Description（新立，下放包 04 §四）
anomaly	A-VC10		ANOMALIES.md	440	A-VC10（037 Requirement Title 之資訊量大於 Requirement Description）
anomaly	A-VC10		ANOMALIES.md	724	與 A-VC10 之區別：A-VC10 為「Title 多載 Description 未載之條件」，
anomaly	A-VC10		ANOMALIES.md	895	> A-VC10（Title 資訊量大於 Description）在此顯出其**另一面**：
anomaly	A-VC10		DATA_REQUESTS.md	26	DR-VC2、DR-VC7、**DR-VC8**、A-VC2 之封面一問、A-VC10 之
anomaly	A-VC10		DATA_REQUESTS.md	207	- **批次**：同批 A —— 與 DR-VC2、A-VC2 之封面一問、A-VC10 之一問同發。
anomaly	A-VC10		DATA_REQUESTS.md	209	- **附帶一問（A-VC10，下放包 04 §四）**：037 於部分 leaf 上，
anomaly	A-VC10		DECISIONS.md	119	＋ A-VC2 ＋ A-VC10。
anomaly	A-VC10		DECISIONS.md	127	- **A 七筆未結**：A-VC2、A-VC3、A-VC4、A-VC8、A-VC9、A-VC10、A-VC11。
anomaly	A-VC11		ANOMALIES.md	20	| A-VC11 | `recon.py` 之 DECISIONS 顯示層將 null 印為字面 `None` | PENDING | 全域排程（包 05 §一）|
anomaly	A-VC11		ANOMALIES.md	583	## A-VC11 —— `recon.py` 之 DECISIONS 顯示層將 null 印為字面 `None`（新立，下放包 05 §一）
anomaly	A-VC11		ANOMALIES.md	588	A-VC11（recon.py 之 DECISIONS 顯示層將 null 印為字面 None）
anomaly	A-VC11		ANOMALIES.md	685	與 A-VC4／A-VC8／A-VC11 同批）。
anomaly	A-VC11		ANOMALIES.md	704	A-VC11 同批）。
anomaly	A-VC11		ANOMALIES.md	805	(c) 二者**與 R-VC8 之授權非同一件，不得併案**（同 A-VC8／A-VC11 之邊界）。
anomaly	A-VC11		ANOMALIES.md	812	狀態：PENDING（全域排程）。與 A-VC4／A-VC8／A-VC11／A-VC13 通則同批。
anomaly	A-VC11		ANOMALIES.md	1137	—— 屬全域排程，與 A-VC4／A-VC8／A-VC11／A-VC13 同批。
anomaly	A-VC11		ANOMALIES.md	1156	狀態：**PENDING（全域排程）**。與 A-VC4／A-VC8／A-VC11／A-VC13 同批。
anomaly	A-VC11		DECISIONS.md	70	> 非裁定值（A-VC11）。依下放包 05 §一裁定：**簽署時手動覆蓋，不修腳本**。
anomaly	A-VC11		DECISIONS.md	127	- **A 七筆未結**：A-VC2、A-VC3、A-VC4、A-VC8、A-VC9、A-VC10、A-VC11。
anomaly	A-VC12		ANOMALIES.md	21	| A-VC12 | §11.9 群與 §12.3 群之行為重疊 | PENDING | 條件性，待 DR-VC3 |
anomaly	A-VC12		ANOMALIES.md	621	## A-VC12 —— §11.9 群與 §12.3 群之行為重疊（條件性，新立，下放包 06 §二）
anomaly	A-VC12		ANOMALIES.md	626	A-VC12（11.9 群與 12.3 群之行為重疊，條件性）
anomaly	A-VC12		framework.md	181	連帶之行為重疊（11.9.1 ↔ 12.3、11.9.3 ↔ 12.3.1）已登記 **A-VC12**，
anomaly	A-VC13		ANOMALIES.md	22	| A-VC13 | 送簽稿含自我描述之狀態元資料 | 本 feature 已處置；通則 PENDING | 全域排程（包 08 §一）|
anomaly	A-VC13		ANOMALIES.md	662	## A-VC13 —— 送簽稿含自我描述之狀態元資料（新立，下放包 08 §一）
anomaly	A-VC13		ANOMALIES.md	667	A-VC13（送簽稿含自我描述之狀態元資料）
anomaly	A-VC13		ANOMALIES.md	812	狀態：PENDING（全域排程）。與 A-VC4／A-VC8／A-VC11／A-VC13 通則同批。
anomaly	A-VC13		ANOMALIES.md	1137	—— 屬全域排程，與 A-VC4／A-VC8／A-VC11／A-VC13 同批。
anomaly	A-VC13		ANOMALIES.md	1156	狀態：**PENDING（全域排程）**。與 A-VC4／A-VC8／A-VC11／A-VC13 同批。
anomaly	A-VC14		RULINGS.md	655	鎖定期滿）**本輪不做** —— 其門檻因 A-VC14 而未定，拆分點無從定值。
anomaly	A-VC14		ANOMALIES.md	23	| A-VC14 | 037 Title 與 Description 之數值矛盾（`VC-033-01`）| PENDING | 待 DR-VC8 |
anomaly	A-VC14		ANOMALIES.md	477	| 二 · **數值矛盾** | 二欄之可測門檻相互矛盾 | `033-01`（`After three` vs `more than three`）| **A-VC14** |
anomaly	A-VC14		ANOMALIES.md	541	| 二 · **數值矛盾** | 二欄之可測門檻相互矛盾 | `033-01`（`After three` vs `more than three`）| **A-VC14** |
anomaly	A-VC14		ANOMALIES.md	708	## A-VC14 —— 037 Title 與 Description 之數值矛盾（新立，下放包 09 §三）
anomaly	A-VC14		ANOMALIES.md	713	A-VC14（037 Title 與 Description 之數值矛盾）
anomaly	A-VC14		DATA_REQUESTS.md	236	不得留空、不得填 NA、**不得自行取 3 或 4**（A-VC14(a)）。
anomaly	A-VC14		docs/REVISIONS.md	227	成立）；惟 `VC-033-01` 因 **A-VC14／DR-VC8** 而帶**一筆 PENDING**。
anomaly	A-VC15		ANOMALIES.md	24	| A-VC15 | `lint036.py --profile` 不讀 profile 內容，無法實作 R-VC19(c) | PENDING | 全域排程（工具修法）|
anomaly	A-VC15		ANOMALIES.md	779	## A-VC15 —— `lint036.py --profile` 不讀 profile 內容（新立，包 11 §2.3 第 3 項）
anomaly	A-VC15		docs/REVISIONS.md	259	條文不會自己執行 —— 同 A-VC15（`lint036 --profile` 不讀 profile）、
anomaly	A-VC15		docs/runtime/profiles/FW036_R1L_VehicleCategory_Profile.md	80	→ 登記為 **A-VC15**（`features/vehicle_category/ANOMALIES.md`）。
anomaly	A-VC16		ANOMALIES.md	25	| A-VC16 | pilot 之 §9 判讀漏檢二形態（檢查覆蓋不足，非規則缺失）| **RESOLVED（包 12）** | — |
anomaly	A-VC16		ANOMALIES.md	816	## A-VC16 —— pilot 之 §9 判讀漏檢二形態 —— **RESOLVED（下放包 12）**
anomaly	A-VC17		ANOMALIES.md	26	| A-VC17 | 037 之 leaf 中存在純交叉引用／表格題名者（3 筆）| PENDING | 待 DR-VC9 |
anomaly	A-VC17		ANOMALIES.md	863	## A-VC17 —— 037 之 leaf 中存在純交叉引用／表格題名者（新立，下放包 14 §2.1）
anomaly	A-VC18		ANOMALIES.md	923	## A-VC18 —— `PU0091` 之彈窗文字：規格作 `Feature`，彈窗清單作 `Function`（新立，下放包 24 T128(c)）
anomaly	A-VC18		DATA_REQUESTS.md	320	**由來**：A-VC18。同一彈窗，規格側作 `Feature not available while vehicle
anomaly	A-VC19		ANOMALIES.md	973	## A-VC19 —— `061` 之 Software Updates 於 Key Off 之進入路徑未載（新立，下放包 24 T128(b)）
anomaly	A-VC19		DATA_REQUESTS.md	349	**由來**：A-VC19。章 13 為三個「他路徑仍可用」之需求給出路徑，**獨缺其一**：
anomaly	A-VC2		ANOMALIES.md	11	| A-VC2 | 037 封面 `Reviewer：` 空、`Date：` 為 2020/09/05 | PENDING | 附於 DR-VC2（包 02 §四）|
anomaly	A-VC2		ANOMALIES.md	94	## A-VC2 —— 037 封面之 Reviewer 空白與日期矛盾（下放包 §七原文）
anomaly	A-VC2		DATA_REQUESTS.md	8	下放包 02 §四之裁定已併入：A-VC2 附於 DR-VC2，不單獨發。
anomaly	A-VC2		DATA_REQUESTS.md	26	DR-VC2、DR-VC7、**DR-VC8**、A-VC2 之封面一問、A-VC10 之
anomaly	A-VC2		DATA_REQUESTS.md	55	- **附帶一問（A-VC2，下放包 02 §四裁定）**：037 封面 `Reviewer：` 為空、
anomaly	A-VC2		DATA_REQUESTS.md	207	- **批次**：同批 A —— 與 DR-VC2、A-VC2 之封面一問、A-VC10 之一問同發。
anomaly	A-VC2		DATA_REQUESTS.md	219	**不單獨發 DR**（同 A-VC2 之處理）。
anomaly	A-VC2		DECISIONS.md	119	＋ A-VC2 ＋ A-VC10。
anomaly	A-VC2		DECISIONS.md	127	- **A 七筆未結**：A-VC2、A-VC3、A-VC4、A-VC8、A-VC9、A-VC10、A-VC11。
anomaly	A-VC20		RULINGS.md	421	> simultaneously` 為實質需求敘述（上繳包 27 §2，A-VC20）。
anomaly	A-VC20		ANOMALIES.md	1030	## A-VC20 —— 「§10.1／§10.2／§15 之內容僅存於圖，SYS1 匯出未帶文字」不成立（新立，下放包 27 T143）
anomaly	A-VC20		DATA_REQUESTS.md	98	係據 R-VC12 二(a) 而寫，該款已由 **R-VC27 作廢**（A-VC20）。
anomaly	A-VC20		DATA_REQUESTS.md	112	> simultaneously`，為可讀、可測之需求敘述（A-VC20，上繳包 31 §0）。
anomaly	A-VC20		DATA_REQUESTS.md	144	僅存於圖，請提供文字版本」——**其前提於 §10.1／§10.2 不成立**（A-VC20）。
anomaly	A-VC20		DATA_REQUESTS.md	175	（下放包 28 §一／A-VC20）。**同一 repo 內，正解與錯解並存了 24 個包** ——
anomaly	A-VC20		DATA_REQUESTS.md	178	記於此，因為它改變了 A-VC20 之教訓：光是「重測」不夠，
anomaly	A-VC20		DATA_REQUESTS.md	181	- **本欄正式列為 A-VC20 之成因補充（下放包 29 §四，T156）**：
anomaly	A-VC20		DATA_REQUESTS.md	182	A-VC20 原記其成因為「R-VC12 二(a) 是用它自己所禁之方法立的」；
anomaly	A-VC20		data/tableB_draft.md	63	（A-VC20）—— 該二節之文字含實質需求敘述
anomaly	A-VC20		data/tableB_draft.md	76	6. **A-VC20 已解**（R-VC27，下放包 28 §一）。其成因值得留在這裡：
anomaly	A-VC21		RULINGS.md	1015	全域三種前綴並存之登記見 A-VC21（PENDING，全域排程）。
anomaly	A-VC21		ANOMALIES.md	1112	## A-VC21 —— TC ID 之 `{project}` 前綴，全域三種並存（新立，下放包 29 §3.3）
anomaly	A-VC21		ANOMALIES.md	1117	A-VC21（TC ID 之 {project} 前綴，全域三種並存）
anomaly	A-VC3		ANOMALIES.md	12	| A-VC3 | §16.2 之 `SWE1-HMI-VC-066` 僅涵蓋標題一句 | PENDING | 併入 DR-VC3 |
anomaly	A-VC3		ANOMALIES.md	112	## A-VC3 —— §16.2 之需求涵蓋不足（下放包 §七原文）
anomaly	A-VC3		DATA_REQUESTS.md	68	- **關聯**：A-VC3 併入本 DR，不單獨發。
anomaly	A-VC3		DECISIONS.md	127	- **A 七筆未結**：A-VC2、A-VC3、A-VC4、A-VC8、A-VC9、A-VC10、A-VC11。
anomaly	A-VC4		ANOMALIES.md	13	| A-VC4 | `new_feature.py` 之 abbr 推導得 `VE`，非 R-VC1 之 `VC` | PENDING | 全域排程（包 02 §四）|
anomaly	A-VC4		ANOMALIES.md	123	## A-VC4 —— `new_feature.py` 之 abbr 推導無法產生規定之前綴
anomaly	A-VC4		ANOMALIES.md	128	A-VC4（new_feature.py 之 abbr 推導無法產生規定之前綴）
anomaly	A-VC4		ANOMALIES.md	145	裁：A-VC4 與 A-TM04 **兩者維持 PENDING**。理由：A-VC4 已由 T0b 之事後
anomaly	A-VC4		ANOMALIES.md	150	**R-VC8 之修法不得順手併入 A-VC4 / A-TM04** —— 三者標的不同
anomaly	A-VC4		ANOMALIES.md	355	處置同 A-VC4。理由：117 之守護目前由 T4／T12 之**集合相等**判定承擔
anomaly	A-VC4		ANOMALIES.md	360	**授權邊界再申明**：R-VC8 之修法不得順手併入 A-VC4（`new_feature.py`
anomaly	A-VC4		ANOMALIES.md	603	不得併案**（同 A-VC8 之邊界）。與 A-VC4／A-VC8 併入全域排程。
anomaly	A-VC4		ANOMALIES.md	615	（同 A-VC8 之邊界）。與 A-VC4／A-VC8 併入全域排程。
anomaly	A-VC4		ANOMALIES.md	685	與 A-VC4／A-VC8／A-VC11 同批）。
anomaly	A-VC4		ANOMALIES.md	703	狀態：本 feature 已處置；通則 PENDING（全域排程，與 A-VC4／A-VC8／
anomaly	A-VC4		ANOMALIES.md	812	狀態：PENDING（全域排程）。與 A-VC4／A-VC8／A-VC11／A-VC13 通則同批。
anomaly	A-VC4		ANOMALIES.md	1137	—— 屬全域排程，與 A-VC4／A-VC8／A-VC11／A-VC13 同批。
anomaly	A-VC4		ANOMALIES.md	1156	狀態：**PENDING（全域排程）**。與 A-VC4／A-VC8／A-VC11／A-VC13 同批。
anomaly	A-VC4		DECISIONS.md	127	- **A 七筆未結**：A-VC2、A-VC3、A-VC4、A-VC8、A-VC9、A-VC10、A-VC11。
anomaly	A-VC5		ANOMALIES.md	14	| A-VC5 | 下放包 01 §3.3 與 repo 037 複本不一致（A-VC1 之成因）| **RESOLVED（包 02 §一）** | — |
anomaly	A-VC5		ANOMALIES.md	77	(c) 成因見 A-VC5。在 A-VC5 裁定前，本項不得標為 RESOLVED。
anomaly	A-VC5		ANOMALIES.md	84	(c) 已解：A-VC5 之成因由下放包 02 §一裁明，標為 RESOLVED。
anomaly	A-VC5		ANOMALIES.md	159	## A-VC5 —— 下放包 01 §3.3 之量測對象與 repo 內複本不一致 —— **RESOLVED（包 02 §一）**
anomaly	A-VC5		docs/REVISIONS.md	232	- **性質**：與 A-VC5（未量測即下全稱斷言）、R-VC12 二（以衍生物判讀充當
anomaly	A-VC6		RULINGS.md	216	採上繳包 A-VC6 之提案 (b)：**`spec_reference_template` 為 null 時，
anomaly	A-VC6		ANOMALIES.md	15	| A-VC6 | `recon.py` 於 `spec_reference_template: null` 崩潰 | **RESOLVED（R-VC8）** | — |
anomaly	A-VC6		ANOMALIES.md	225	## A-VC6 —— `recon.py` 於 `spec_reference_template: null` 崩潰 —— **RESOLVED（R-VC8）**
anomaly	A-VC7		ANOMALIES.md	16	| A-VC7 | 規格 PDF 之位元組數與下放包 01 §3.1 不符 | **RESOLVED（R-VC7）** | — |
anomaly	A-VC7		ANOMALIES.md	280	## A-VC7 —— 規格 PDF 之位元組數與下放包 01 §3.1 不符 —— **RESOLVED（R-VC7）**
anomaly	A-VC7		docs/REVISIONS.md	29	- **連帶**：A-VC7 RESOLVED；衍生物不得作為任何判準之來源。
anomaly	A-VC8		ANOMALIES.md	17	| A-VC8 | `recon.py` 缺 `leaf_count` assertion | PENDING | 全域排程（包 03 §五）|
anomaly	A-VC8		ANOMALIES.md	322	## A-VC8 —— `recon.py` 缺 `leaf_count` assertion（新立，下放包 02 §三）
anomaly	A-VC8		ANOMALIES.md	327	A-VC8（recon.py 缺 leaf_count assertion）
anomaly	A-VC8		ANOMALIES.md	361	之 abbr 推導）、A-TM04（slugify）、A-VC8（本項）。四者標的各異，
anomaly	A-VC8		ANOMALIES.md	603	不得併案**（同 A-VC8 之邊界）。與 A-VC4／A-VC8 併入全域排程。
anomaly	A-VC8		ANOMALIES.md	615	（同 A-VC8 之邊界）。與 A-VC4／A-VC8 併入全域排程。
anomaly	A-VC8		ANOMALIES.md	685	與 A-VC4／A-VC8／A-VC11 同批）。
anomaly	A-VC8		ANOMALIES.md	703	狀態：本 feature 已處置；通則 PENDING（全域排程，與 A-VC4／A-VC8／
anomaly	A-VC8		ANOMALIES.md	805	(c) 二者**與 R-VC8 之授權非同一件，不得併案**（同 A-VC8／A-VC11 之邊界）。
anomaly	A-VC8		ANOMALIES.md	812	狀態：PENDING（全域排程）。與 A-VC4／A-VC8／A-VC11／A-VC13 通則同批。
anomaly	A-VC8		ANOMALIES.md	1137	—— 屬全域排程，與 A-VC4／A-VC8／A-VC11／A-VC13 同批。
anomaly	A-VC8		ANOMALIES.md	1156	狀態：**PENDING（全域排程）**。與 A-VC4／A-VC8／A-VC11／A-VC13 同批。
anomaly	A-VC8		DECISIONS.md	43	> **117 與覆蓋落差 17 無對應之 assertion 實作（A-VC8），
anomaly	A-VC8		DECISIONS.md	127	- **A 七筆未結**：A-VC2、A-VC3、A-VC4、A-VC8、A-VC9、A-VC10、A-VC11。
anomaly	A-VC8		docs/REVISIONS.md	55	並負 R-VC9 之逐包揭露義務。A-VC8 記其工具面缺口。
anomaly	A-VC8		docs/runtime/profiles/FW036_R1L_VehicleCategory_Profile.md	9	避免 A-VC8 家族之「宣告一個不被讀的東西」。
anomaly	A-VC9		RULINGS.md	319	**該欄係按規格章節整批賦值，非逐 leaf 判斷**（證據見 A-VC9）：
anomaly	A-VC9		RULINGS.md	439	作廢理由：A-VC9 已證 037 `Priority` 之粒度為**章**（十一章章內單一值，
anomaly	A-VC9		ANOMALIES.md	18	| A-VC9 | 037 Priority 按章節整批賦值 | PENDING | 待 DR-VC7 |
anomaly	A-VC9		ANOMALIES.md	368	## A-VC9 —— 037 Priority 按章節整批賦值（新立，下放包 03 §三）
anomaly	A-VC9		ANOMALIES.md	373	A-VC9（037 Priority 按章節整批賦值）
anomaly	A-VC9		DATA_REQUESTS.md	202	（High 28 / Medium 88 / Low 1，每章內部無例外，證據見 A-VC9），
anomaly	A-VC9		DECISIONS.md	92	- **不得建立 High/Medium/Low → P0–P3 之機械映射表**（A-VC9：037 該欄
anomaly	A-VC9		DECISIONS.md	127	- **A 七筆未結**：A-VC2、A-VC3、A-VC4、A-VC8、A-VC9、A-VC10、A-VC11。
anomaly	A-VC9		docs/REVISIONS.md	106	- **作廢理由**：A-VC9 已證 037 `Priority` 之粒度為**章**（十一章章內單一值、
dr	DR-VC1		RULINGS.md	760	3  `Controls`                17 leaf   DR-VC1（僅 `VC-021` 一筆）
dr	DR-VC1		DATA_REQUESTS.md	12	| DR-VC1 | **未結** | 037 作者 | 僅 `SWE1-HMI-VC-021` |
dr	DR-VC1		DATA_REQUESTS.md	29	DR-VC6 待 DR-VC3 回覆後另批。DR-VC1／DR-VC3／DR-VC5 之批次未指定。
dr	DR-VC1		DATA_REQUESTS.md	36	## DR-VC1 —— Privacy Lock 彈窗之實際 PU 編號
dr	DR-VC1		DATA_REQUESTS.md	43	`PENDING: DR-VC1 Privacy Lock popup ID`（IN §8.4.3），不得留空、不得填 NA。
dr	DR-VC1		DECISIONS.md	118	- **DR 七筆全未結**（DR-VC1 ~ DR-VC7）。同批 A ＝ DR-VC2 ＋ DR-VC7
dr	DR-VC10		ANOMALIES.md	963	**帶 `PENDING: DR-VC10 PU0091 popup string`**，
dr	DR-VC10		ANOMALIES.md	965	- 以 **DR-VC10** 詢問：`PU0091` 之權威字串為何，及規格側是否需更正。
dr	DR-VC10		ANOMALIES.md	969	狀態：PENDING（待 DR-VC10）。
dr	DR-VC10		ANOMALIES.md	1023	`061` 之 Procedure 帶 `PENDING: DR-VC10 Software Updates entry path in Key Off`；
dr	DR-VC10		ANOMALIES.md	1024	本節之否定性判斷與其搜尋範圍併入 **DR-VC10 第（二）問**。
dr	DR-VC10		ANOMALIES.md	1026	狀態：PENDING（待 DR-VC10(二)）。
dr	DR-VC10		DATA_REQUESTS.md	21	| **DR-VC10** | **未結** | 規格作者／HMI 彈窗清單維護者 | **二問**：(一) 四筆之 ER 文字；(二) `061` 之進入路徑 |
dr	DR-VC10		DATA_REQUESTS.md	30	**DR-VC10（下放包 24 T128 新立）獨立發送**（下放包 25 §2.5 裁定）——
dr	DR-VC10		DATA_REQUESTS.md	310	## DR-VC10 —— 章 13 之二問：`PU0091` 之字 ＋ `061` 之進入路徑
dr	DR-VC10		DATA_REQUESTS.md	377	`PENDING: DR-VC10 Software Updates entry path in Key Off`。
dr	DR-VC2		RULINGS.md	151	惟交付前須有 DR-VC2 之答覆以完成雙向追溯。
dr	DR-VC2		ANOMALIES.md	11	| A-VC2 | 037 封面 `Reviewer：` 空、`Date：` 為 2020/09/05 | PENDING | 附於 DR-VC2（包 02 §四）|
dr	DR-VC2		ANOMALIES.md	104	裁：**不單獨發 DR**。於 DR-VC2 發出時（同為對 037 作者之查詢）
dr	DR-VC2		ANOMALIES.md	106	單獨往返一輪之成本高於其資訊價值。維持 PENDING 至 DR-VC2 回覆。
dr	DR-VC2		ANOMALIES.md	108	狀態：PENDING（附於 DR-VC2）。本輪未對封面另作重測（不在 T4 之列舉範圍）。
dr	DR-VC2		DATA_REQUESTS.md	8	下放包 02 §四之裁定已併入：A-VC2 附於 DR-VC2，不單獨發。
dr	DR-VC2		DATA_REQUESTS.md	13	| DR-VC2 | **未結** | 037 作者 | 不阻斷生成；交付前須有答覆 |
dr	DR-VC2		DATA_REQUESTS.md	26	DR-VC2、DR-VC7、**DR-VC8**、A-VC2 之封面一問、A-VC10 之
dr	DR-VC2		DATA_REQUESTS.md	45	## DR-VC2 —— `SYS-HMI-RA-VC-###` 之來源系統與對應關係
dr	DR-VC2		DATA_REQUESTS.md	207	- **批次**：同批 A —— 與 DR-VC2、A-VC2 之封面一問、A-VC10 之一問同發。
dr	DR-VC2		DECISIONS.md	118	- **DR 七筆全未結**（DR-VC1 ~ DR-VC7）。同批 A ＝ DR-VC2 ＋ DR-VC7
dr	DR-VC3		RULINGS.md	203	DR-VC3 發出前須以 repo `inputs/` 之 PDF 逐節重驗；重驗前該摘要不得
dr	DR-VC3		RULINGS.md	401	(b) DR-VC3 對該三節之提問同此措辭（執行層已實作，予以追認）。
dr	DR-VC3		RULINGS.md	576	與 16.2.2）。DR-VC3 回覆為「應補」時，此二組之邊界**須重審**：
dr	DR-VC3		RULINGS.md	582	不需另設例外。條件性生效，待 DR-VC3。
dr	DR-VC3		RULINGS.md	763	6  `Brake Service`            2 leaf   DR-VC3（邊界待重審）
dr	DR-VC3		RULINGS.md	764	7  `Cabrio Widget`            1 leaf   DR-VC3（同上）
dr	DR-VC3		RULINGS.md	770	第 6／7 批置末之理由：R-VC16(c) 明文其邊界待 DR-VC3 重審，
dr	DR-VC3		ANOMALIES.md	12	| A-VC3 | §16.2 之 `SWE1-HMI-VC-066` 僅涵蓋標題一句 | PENDING | 併入 DR-VC3 |
dr	DR-VC3		ANOMALIES.md	21	| A-VC12 | §11.9 群與 §12.3 群之行為重疊 | PENDING | 條件性，待 DR-VC3 |
dr	DR-VC3		ANOMALIES.md	117	**提案處置**：併入 DR-VC3 一併查詢，**不單獨發 DR**。
dr	DR-VC3		ANOMALIES.md	315	**摘要文字未經權威複本確認**。DR-VC3 發出前須以 repo `inputs/` 之 PDF
dr	DR-VC3		ANOMALIES.md	640	風險：若 DR-VC3 回覆為「應補」而 11.9 群進入範圍，兩群各自產 TC
dr	DR-VC3		ANOMALIES.md	645	狀態：PENDING（條件性，待 DR-VC3）。
dr	DR-VC3		ANOMALIES.md	658	狀態：PENDING（條件性，待 DR-VC3）。
dr	DR-VC3		DATA_REQUESTS.md	14	| DR-VC3 | **未結** | 037 作者 | 不阻斷本次交付；表 B 措辭取決於此 |
dr	DR-VC3		DATA_REQUESTS.md	15	| DR-VC4 | **未結** | 規格作者 | 條件性 —— 待 DR-VC3 回覆 |
dr	DR-VC3		DATA_REQUESTS.md	17	| DR-VC6 | **未結** | 規格作者 | 條件性 —— 待 DR-VC3 回覆 |
dr	DR-VC3		DATA_REQUESTS.md	29	DR-VC6 待 DR-VC3 回覆後另批。DR-VC1／DR-VC3／DR-VC5 之批次未指定。
dr	DR-VC3		DATA_REQUESTS.md	60	## DR-VC3 —— 18 節有內容而 037 零涵蓋
dr	DR-VC3		DATA_REQUESTS.md	117	> **DR-VC3 之發送狀態與已發時之更正函，屬 Pei（Tier 3）**（下放包 32 §1.2）。
dr	DR-VC3		DATA_REQUESTS.md	125	- **阻斷範圍**：**條件性** —— DR-VC3 回覆為「應補」時始為必要素材。
dr	DR-VC3		DATA_REQUESTS.md	126	DR-VC3 回覆前不催。
dr	DR-VC3		DATA_REQUESTS.md	167	依 R-VC3 本次不產出 TC。**僅當 DR-VC3 回覆為「應補」時始為必要素材**；
dr	DR-VC3		DATA_REQUESTS.md	168	DR-VC3 回覆前不催。
dr	DR-VC3		DATA_REQUESTS.md	298	| **(一)** 索取 PDO Graphics | **規格作者** | **獨立發，不等 DR-VC3** |
dr	DR-VC3		DATA_REQUESTS.md	301	(一) 不併入 DR-VC4／DR-VC6 之理由：該二筆為**條件性**（待 DR-VC3 回覆為
dr	DR-VC3		DECISIONS.md	128	- 表 B（覆蓋落差揭露，17 節）為草稿，最終措辭待 DR-VC3 回覆。
dr	DR-VC3		framework.md	164	DR-VC3 回覆為「應補」時，此二組之邊界**須重審**：屆時章 8／9 之
dr	DR-VC3		framework.md	171	**17 section**（66 section 母體外）。若 DR-VC3 回覆「應補」而該群進入範圍：
dr	DR-VC3		framework.md	324	草稿見 `data/tableB_draft.md`，最終措辭待 DR-VC3 回覆。
dr	DR-VC3		data/tableB_draft.md	3	> **草稿，非交付件。** 最終措辭待 DR-VC3 回覆（R-VC12 二(b)、下放包 03 T23）。
dr	DR-VC3		data/tableB_draft.md	20	### ⚠ 待 DR-VC3 之**四處**（下放包 28 §2.1 追認；下放包 27 §2.2 原列三處）
dr	DR-VC3		data/tableB_draft.md	22	| 處 | 涉及列 | 若 DR-VC3 回覆「應補」之後果 |
dr	DR-VC3		data/tableB_draft.md	27	| **§11.9 群**（執行層補列，下放包 28 §2.1 **追認**）| 10–13 | 其歸 #5 為**條件性生效**，待 DR-VC3（R-VC16(d)）|
dr	DR-VC3		data/tableB_draft.md	33	| # | 章節 | 群 | 內容（SYS1 `Description`） | 處置 | 待 DR-VC3 |
dr	DR-VC3		data/tableB_draft.md	72	5. **§11.9 群為執行層補列之第四處待 DR-VC3**（下放包 27 §2.2 只列三處）——
dr	DR-VC3		data/tableB_draft.md	73	R-VC16(d) 明文「11.9 群歸 #5 …**條件性生效，待 DR-VC3**」。
dr	DR-VC3		docs/TABLE_A_frop_crossdomain.md	104	若 DR-VC3 回覆為「應補」，章 8／9 另立 `Cabrio Rooftop` 將使組數變 9，
dr	DR-VC4		DATA_REQUESTS.md	15	| DR-VC4 | **未結** | 規格作者 | 條件性 —— 待 DR-VC3 回覆 |
dr	DR-VC4		DATA_REQUESTS.md	119	## DR-VC4 —— VF507 / VF352 兩份未附文件
